* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03/11/2022 9:01:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JD7 - R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 65.827 43.7510
1.015000 66.043 42.4479
1.030000 66.257 41.2481
1.044000 66.455 40.2149
1.060000 66.680 39.1283
1.075000 66.890 38.1929
1.090000 67.097 37.3306
1.106000 67.317 36.4826
1.120000 67.508 35.7943
1.138000 67.752 34.9728
1.150000 67.913 34.4587
1.172000 68.206 33.5716
1.180000 68.312 33.2629
1.206000 68.652 32.2926
1.220000 68.834 31.7809
1.241000 69.103 31.0105
1.250000 69.218 30.6749
1.265000 69.408 30.1021
1.280000 69.596 29.5061
1.315000 70.029 27.9819
1.320000 70.090 27.7448
1.340000 70.333 26.7367
1.360000 70.573 25.6375
1.380000 70.810 24.4914
1.400000 71.044 23.3073
1.430000 71.390 21.4740
1.450000 71.617 20.2228
1.475000 71.897 18.6375
1.500000 72.172 17.0399
1.525000 72.443 15.4424
1.550000 72.711 13.8575
1.575000 72.974 12.2975
1.600000 73.233 10.7748
1.625000 73.488 9.3017
1.650000 73.739 7.8906
1.675000 73.987 6.5539
1.700000 74.230 5.2971
1.725000 74.469 4.1034
1.750000 74.704 2.9646
1.775000 74.934 1.8737
1.800000 75.160 0.8232
1.825000 75.382 -0.1940
1.850000 75.601 -1.1852
1.875000 75.815 -2.1577
1.900000 76.026 -3.1187
1.925000 76.234 -4.0754
1.950000 76.439 -5.0351
1.975000 76.640 -6.0051
2.000000 76.839 -6.9926
2.030000 77.073 -8.2080
2.060000 77.302 -9.4346
2.090000 77.526 -10.6631
2.120000 77.745 -11.8912
2.140000 77.888 -12.7088
2.180000 78.168 -14.3377
2.200000 78.305 -15.1478
2.240000 78.573 -16.7560
2.270000 78.769 -17.9489
2.300000 78.962 -19.1281
2.330000 79.152 -20.2911
2.360000 79.337 -21.4361
2.400000 79.579 -22.9450
2.430000 79.755 -24.0664
2.470000 79.983 -25.5454
2.500000 80.149 -26.6409
2.540000 80.365 -28.0810
2.580000 80.575 -29.4948
2.620000 80.780 -30.8794
2.650000 80.930 -31.8970
2.690000 81.126 -33.2235
2.720000 81.269 -34.1922
2.760000 81.455 -35.4470
2.800000 81.634 -36.6656
2.850000 81.851 -38.1477
2.900000 82.059 -39.5959
2.950000 82.261 -41.0226
3.000000 82.457 -42.4405
3.040000 82.611 -43.5767
3.070000 82.723 -44.4315
3.110000 82.868 -45.5704
3.150000 83.008 -46.7028
3.200000 83.178 -48.0998
3.250000 83.343 -49.4651
3.300000 83.503 -50.7870
3.350000 83.660 -52.0535
3.400000 83.813 -53.2537
3.450000 83.961 -54.3902
3.500000 84.104 -55.4759
3.550000 84.243 -56.5234
3.600000 84.379 -57.5457
3.650000 84.513 -58.5558
3.700000 84.645 -59.5664
3.750000 84.775 -60.5780
3.820000 84.951 -61.9756
3.870000 85.074 -62.9557
3.950000 85.267 -64.4821
4.000000 85.386 -65.4042
4.060000 85.528 -66.4715
4.120000 85.667 -67.4883
4.180000 85.804 -68.4646
4.250000 85.962 -69.5706
4.310000 86.095 -70.5059
4.370000 86.227 -71.4436
4.440000 86.379 -72.5406
4.500000 86.507 -73.4719
4.550000 86.613 -74.2416
4.620000 86.759 -75.3092
4.680000 86.881 -76.2147
4.750000 87.022 -77.2592
4.820000 87.159 -78.2890
4.870000 87.256 -79.0171
4.940000 87.389 -80.0284
5.000000 87.499 -80.8899
5.080000 87.642 -82.0346
5.150000 87.764 -83.0322
5.220000 87.881 -84.0235
5.300000 88.011 -85.1453
5.380000 88.135 -86.2514
5.450000 88.239 -87.2083
5.520000 88.339 -88.1572
5.600000 88.448 -89.2261
5.700000 88.578 -90.5288
5.800000 88.700 -91.7888
5.900000 88.814 -93.0121
6.000000 88.922 -94.1960
6.080000 89.005 -95.1126
6.150000 89.075 -95.8932
6.220000 89.141 -96.6538
6.300000 89.215 -97.4980
6.400000 89.306 -98.5141
6.500000 89.394 -99.4816
6.600000 89.479 -100.4055
6.700000 89.563 -101.2974
6.800000 89.647 -102.1621
6.900000 89.731 -102.9931
7.000000 89.814 -103.8005
7.100000 89.898 -104.5945
7.200000 89.982 -105.3677
7.300000 90.067 -106.1262
7.400000 90.151 -106.8816
7.500000 90.235 -107.6356
7.620000 90.335 -108.5344
7.750000 90.441 -109.5099
7.880000 90.545 -110.4907
8.000000 90.638 -111.3975
8.120000 90.727 -112.3046
8.250000 90.819 -113.2903
8.380000 90.905 -114.2711
8.500000 90.980 -115.1677
8.620000 91.050 -116.0584
8.750000 91.121 -117.0053
8.850000 91.171 -117.7191
9.000000 91.242 -118.7673
9.120000 91.294 -119.5795
9.250000 91.347 -120.4331
9.380000 91.396 -121.2591
9.500000 91.440 -121.9950
9.620000 91.481 -122.7057
9.750000 91.525 -123.4513
9.880000 91.568 -124.1721
10.000000 91.607 -124.8160
10.150000 91.656 -125.6000
10.300000 91.704 -126.3589
10.440000 91.749 -127.0513
10.600000 91.800 -127.8259
10.750000 91.848 -128.5375
10.900000 91.895 -129.2378
11.060000 91.945 -129.9718
11.200000 91.988 -130.6043
11.380000 92.043 -131.4041
11.500000 92.080 -131.9301
11.720000 92.147 -132.8793
11.800000 92.172 -133.2225
12.060000 92.252 -134.3292
12.200000 92.296 -134.9292
12.410000 92.361 -135.8370
12.500000 92.388 -136.2330
12.650000 92.433 -136.9021
12.800000 92.475 -137.5809
13.150000 92.558 -139.1992
13.200000 92.568 -139.4311
13.400000 92.600 -140.3531
13.600000 92.623 -141.2374
13.800000 92.637 -142.0719
14.000000 92.644 -142.8306
14.300000 92.653 -143.8109
14.500000 92.663 -144.3666
14.750000 92.686 -144.9694
15.000000 92.727 -145.5379
15.250000 92.783 -146.1299
15.500000 92.849 -146.7904
15.750000 92.918 -147.5544
16.000000 92.977 -148.4089
16.250000 93.023 -149.3156
16.500000 93.052 -150.2310
16.750000 93.064 -151.0973
17.000000 93.065 -151.8739
17.250000 93.063 -152.5542
17.500000 93.063 -153.1432
17.750000 93.070 -153.6711
18.000000 93.085 -154.1801
18.250000 93.106 -154.6957
18.500000 93.131 -155.2377
18.750000 93.155 -155.8123
19.000000 93.176 -156.4082
19.250000 93.193 -157.0150
19.500000 93.205 -157.6219
19.750000 93.213 -158.2209
20.000000 93.217 -158.8099
20.299999 93.217 -159.4993
20.600000 93.211 -160.1602
20.900000 93.200 -160.7758
21.200001 93.188 -161.3290
21.400000 93.181 -161.6589
21.799999 93.178 -162.2545
22.000000 93.184 -162.5442
22.400000 93.210 -163.1685
22.700001 93.234 -163.7198
23.000000 93.255 -164.3460
23.299999 93.266 -165.0189
23.600000 93.265 -165.6921
24.000000 93.248 -166.5136
24.299999 93.233 -167.0502
24.700001 93.218 -167.6810
25.000000 93.213 -168.1283
25.400000 93.212 -168.7314
25.799999 93.212 -169.3469
26.200001 93.209 -169.9489
26.500000 93.207 -170.3806
26.900000 93.205 -170.9395
27.200001 93.205 -171.3589
27.600000 93.203 -171.9234
28.000000 93.196 -172.4736
28.500000 93.184 -173.1027
29.000000 93.179 -173.7003
29.500000 93.178 -174.3636
30.000000 93.158 -175.0973
30.400000 93.122 -175.6301
30.700001 93.089 -175.9335
31.100000 93.053 -176.1944
31.500000 93.043 -176.3824
32.000000 93.065 -176.7524
32.500000 93.091 -177.4216
33.000000 93.082 -178.2556
33.500000 93.037 -178.9937
34.000000 92.988 -179.5303
34.500000 92.960 -179.9834
35.000000 92.945 179.4932
35.500000 92.925 178.8905
36.000000 92.893 178.3064
36.500000 92.858 177.7963
37.000000 92.830 177.3261
37.500000 92.805 176.8533
38.200001 92.771 176.2090
38.700001 92.751 175.7798
39.500000 92.731 175.0432
40.000000 92.715 174.5118
40.599998 92.680 173.8850
41.200001 92.638 173.3709
41.799999 92.605 172.9440
42.500000 92.578 172.4150
43.099998 92.545 171.9409
43.700001 92.506 171.5651
44.400002 92.475 171.2360
45.000000 92.463 170.8748
45.500000 92.444 170.4844
46.200001 92.390 169.9641
46.799999 92.336 169.6328
47.500000 92.280 169.2462
48.200001 92.208 168.8257
48.700001 92.147 168.6334
49.400002 92.090 168.5170
50.000000 92.082 168.2729
50.799999 92.062 167.4897
51.500000 91.992 166.7258
52.200001 91.908 166.2074
53.000000 91.842 165.7419
53.799999 91.790 165.1903
54.500000 91.738 164.6960
55.200001 91.679 164.2489
56.000000 91.605 163.8298
57.000000 91.517 163.4550
58.000000 91.434 163.0647
59.000000 91.335 162.7116
60.000000 91.246 162.4149
60.799999 91.177 162.0311
61.500000 91.095 161.6328
62.200001 90.991 161.2935
63.000000 90.855 161.0528
64.000000 90.675 161.0371
65.000000 90.504 161.2951
66.000000 90.334 161.7802
67.000000 90.176 162.7280
68.000000 90.105 164.1129
69.000000 90.163 165.4226
70.000000 90.318 166.1789
71.000000 90.504 166.2291
72.000000 90.673 165.6968
73.000000 90.789 164.7396
74.000000 90.827 163.6843
75.000000 90.814 162.8608
76.199997 90.777 162.0891
77.500000 90.716 161.3875
78.800003 90.644 160.6870
80.000000 90.550 160.0572
81.199997 90.460 159.6256
82.500000 90.396 159.1564
83.800003 90.324 158.6120
85.000000 90.231 158.2841
86.199997 90.120 158.2389
87.500000 90.011 158.4857
88.500000 89.940 158.5868
90.000000 89.787 158.5918
91.199997 89.654 158.7615
92.500000 89.558 158.9811
93.800003 89.508 159.0470
95.000000 89.473 159.0584
96.199997 89.438 159.3014
97.500000 89.442 159.9975
98.800003 89.535 160.6843
100.000000 89.650 160.7318
101.500000 89.716 160.0823
103.000000 89.700 159.2867
104.400002 89.660 158.5567
106.000000 89.596 157.8011
107.500000 89.524 157.2725
109.000000 89.448 156.8780
110.599998 89.351 156.5166
112.000000 89.255 156.3102
113.800003 89.139 156.2285
115.000000 89.077 156.2896
117.199997 88.993 156.5545
118.000000 88.972 156.6794
120.599998 88.943 156.9759
122.000000 88.948 156.9233
124.099998 88.958 156.5330
125.000000 88.955 156.2947
126.500000 88.935 155.8713
128.000000 88.895 155.4690
131.500000 88.751 154.7067
132.000000 88.728 154.6205
134.000000 88.639 154.3052
136.000000 88.552 154.0240
138.000000 88.462 153.7885
140.000000 88.368 153.6321
143.000000 88.235 153.4777
145.000000 88.151 153.3713
147.500000 88.050 153.2368
150.000000 87.948 153.1585
152.500000 87.854 153.1861
155.000000 87.768 153.2024
157.500000 87.678 153.2181
160.000000 87.589 153.2503
162.500000 87.503 153.2838
165.000000 87.421 153.3009
167.500000 87.339 153.3098
170.000000 87.256 153.3370
172.500000 87.173 153.3902
175.000000 87.091 153.4594
177.500000 87.010 153.5361
180.000000 86.931 153.6144
182.500000 86.854 153.7067
185.000000 86.780 153.8125
187.500000 86.707 153.9286
190.000000 86.634 154.0508
192.500000 86.566 154.1827
195.000000 86.500 154.3448
197.500000 86.433 154.5427
200.000000 86.369 154.7189
203.000000 86.294 154.8325
206.000000 86.220 154.9420
209.000000 86.147 155.0966
212.000000 86.075 155.2592
214.000000 86.031 155.3735
218.000000 85.944 155.6345
220.000000 85.898 155.7710
224.000000 85.806 156.0198
227.000000 85.739 156.1905
230.000000 85.673 156.3692
233.000000 85.612 156.5685
236.000000 85.553 156.7859
240.000000 85.472 157.0701
243.000000 85.409 157.2786
247.000000 85.327 157.5674
250.000000 85.266 157.7859
254.000000 85.195 158.0759
258.000000 85.127 158.3702
262.000000 85.059 158.6734
265.000000 85.007 158.9146
269.000000 84.938 159.2336
272.000000 84.888 159.4621
276.000000 84.822 159.7747
280.000000 84.758 160.0918
285.000000 84.682 160.4909
290.000000 84.608 160.8951
295.000000 84.532 161.3163
300.000000 84.452 161.7464
304.000000 84.403 162.0552
307.000000 84.369 162.2824
311.000000 84.320 162.6009
315.000000 84.269 162.9333
320.000000 84.207 163.3564
325.000000 84.147 163.7622
