* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/03/2023 3:47:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kublai Khan R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 77.528 6.4669
1.015000 77.739 4.4224
1.030000 77.950 2.5448
1.044000 78.148 0.9299
1.060000 78.375 -0.7648
1.075000 78.589 -2.2192
1.090000 78.803 -3.5549
1.106000 79.032 -4.8616
1.120000 79.232 -5.9154
1.138000 79.488 -7.1628
1.150000 79.658 -7.9360
1.172000 79.968 -9.2539
1.180000 80.080 -9.7067
1.206000 80.441 -11.1086
1.220000 80.632 -11.8341
1.241000 80.916 -12.9088
1.250000 81.035 -13.3709
1.265000 81.232 -14.1523
1.280000 81.426 -14.9572
1.315000 81.863 -16.9904
1.320000 81.923 -17.3046
1.340000 82.161 -18.6377
1.360000 82.390 -20.0812
1.380000 82.613 -21.5573
1.400000 82.830 -23.0556
1.430000 83.146 -25.3323
1.450000 83.349 -26.8615
1.475000 83.597 -28.7759
1.500000 83.837 -30.6832
1.525000 84.070 -32.5725
1.550000 84.298 -34.4327
1.575000 84.519 -36.2529
1.600000 84.736 -38.0222
1.625000 84.947 -39.7294
1.650000 85.155 -41.3637
1.675000 85.358 -42.9141
1.700000 85.558 -44.3730
1.725000 85.751 -45.7490
1.750000 85.938 -47.0513
1.775000 86.119 -48.2889
1.800000 86.295 -49.4706
1.825000 86.465 -50.6055
1.850000 86.631 -51.7025
1.875000 86.792 -52.7705
1.900000 86.948 -53.8185
1.925000 87.101 -54.8553
1.950000 87.250 -55.8900
1.975000 87.396 -56.9314
2.000000 87.539 -57.9885
2.030000 87.707 -59.2865
2.060000 87.869 -60.5862
2.090000 88.024 -61.8767
2.120000 88.173 -63.1565
2.140000 88.269 -64.0030
2.180000 88.455 -65.6783
2.200000 88.544 -66.5062
2.240000 88.718 -68.1404
2.270000 88.843 -69.3455
2.300000 88.965 -70.5315
2.330000 89.083 -71.6968
2.360000 89.200 -72.8402
2.400000 89.348 -74.3392
2.430000 89.454 -75.4461
2.470000 89.588 -76.8964
2.500000 89.685 -77.9633
2.540000 89.808 -79.3555
2.580000 89.925 -80.7103
2.620000 90.039 -82.0245
2.650000 90.121 -82.9818
2.690000 90.228 -84.2177
2.720000 90.306 -85.1086
2.760000 90.404 -86.2437
2.800000 90.497 -87.3275
2.850000 90.607 -88.6251
2.900000 90.711 -89.8773
2.950000 90.810 -91.1034
3.000000 90.906 -92.3228
3.040000 90.981 -93.3058
3.070000 91.035 -94.0463
3.110000 91.104 -95.0313
3.150000 91.170 -96.0081
3.200000 91.249 -97.2083
3.250000 91.324 -98.3746
3.300000 91.398 -99.4951
3.350000 91.470 -100.5581
3.400000 91.541 -101.5502
3.450000 91.609 -102.4699
3.500000 91.675 -103.3338
3.550000 91.739 -104.1596
3.600000 91.801 -104.9646
3.650000 91.863 -105.7666
3.700000 91.924 -106.5829
3.750000 91.984 -107.4142
3.820000 92.066 -108.5761
3.870000 92.124 -109.3975
3.950000 92.214 -110.6827
4.000000 92.269 -111.4598
4.060000 92.333 -112.3567
4.120000 92.397 -113.2108
4.180000 92.460 -114.0321
4.250000 92.531 -114.9649
4.310000 92.591 -115.7562
4.370000 92.648 -116.5527
4.440000 92.713 -117.4924
4.500000 92.767 -118.2972
4.550000 92.810 -118.9638
4.620000 92.869 -119.8853
4.680000 92.917 -120.6591
4.750000 92.971 -121.5386
4.820000 93.021 -122.3982
4.870000 93.056 -123.0011
4.940000 93.102 -123.8300
5.000000 93.140 -124.5270
5.080000 93.188 -125.4376
5.150000 93.228 -126.2168
5.220000 93.265 -126.9789
5.300000 93.305 -127.8287
5.380000 93.344 -128.6553
5.450000 93.377 -129.3587
5.520000 93.409 -130.0438
5.600000 93.444 -130.8058
5.700000 93.486 -131.7290
5.800000 93.529 -132.6170
5.900000 93.571 -133.4681
6.000000 93.613 -134.2974
6.080000 93.647 -134.9552
6.150000 93.677 -135.5234
6.220000 93.707 -136.0838
6.300000 93.742 -136.7173
6.400000 93.784 -137.5024
6.500000 93.826 -138.2787
6.600000 93.868 -139.0460
6.700000 93.908 -139.8090
6.800000 93.946 -140.5723
6.900000 93.982 -141.3348
7.000000 94.016 -142.0898
7.100000 94.048 -142.8317
7.200000 94.076 -143.5643
7.300000 94.103 -144.2846
7.400000 94.126 -144.9868
7.500000 94.148 -145.6702
7.620000 94.171 -146.4675
7.750000 94.194 -147.2966
7.880000 94.215 -148.0858
8.000000 94.233 -148.7833
8.120000 94.253 -149.4555
8.250000 94.274 -150.1506
8.380000 94.297 -150.8235
8.500000 94.320 -151.4329
8.620000 94.344 -152.0273
8.750000 94.370 -152.6664
8.850000 94.391 -153.1572
9.000000 94.424 -153.8895
9.120000 94.449 -154.4769
9.250000 94.475 -155.1165
9.380000 94.499 -155.7545
9.500000 94.520 -156.3390
9.620000 94.538 -156.9209
9.750000 94.557 -157.5415
9.880000 94.572 -158.1490
10.000000 94.585 -158.6994
10.150000 94.600 -159.3691
10.300000 94.613 -160.0173
10.440000 94.625 -160.6098
10.600000 94.639 -161.2717
10.750000 94.652 -161.8849
10.900000 94.664 -162.4987
11.060000 94.676 -163.1532
11.200000 94.684 -163.7321
11.380000 94.691 -164.4812
11.500000 94.692 -164.9771
11.720000 94.686 -165.8795
11.800000 94.681 -166.1937
12.060000 94.654 -167.1664
12.200000 94.636 -167.6329
12.410000 94.604 -168.2543
12.500000 94.592 -168.4874
12.650000 94.573 -168.8292
12.800000 94.560 -169.1329
13.150000 94.558 -169.7292
13.200000 94.562 -169.8136
13.400000 94.587 -170.1629
13.600000 94.624 -170.5944
13.800000 94.668 -171.1170
14.000000 94.712 -171.7619
14.300000 94.761 -172.9156
14.500000 94.776 -173.7669
14.750000 94.767 -174.8616
15.000000 94.730 -175.8803
15.250000 94.674 -176.7588
15.500000 94.609 -177.4586
15.750000 94.549 -177.9714
16.000000 94.506 -178.3598
16.250000 94.485 -178.6962
16.500000 94.483 -179.0488
16.750000 94.497 -179.4873
17.000000 94.512 179.9689
17.250000 94.522 179.3396
17.500000 94.521 178.6561
17.750000 94.505 177.9750
18.000000 94.478 177.3453
18.250000 94.445 176.7869
18.500000 94.411 176.3090
18.750000 94.382 175.8968
19.000000 94.361 175.5182
19.250000 94.347 175.1487
19.500000 94.338 174.7661
19.750000 94.332 174.3560
20.000000 94.326 173.9225
20.299999 94.315 173.3832
20.600000 94.300 172.8448
20.900000 94.280 172.3287
21.200001 94.260 171.8472
21.400000 94.247 171.5458
21.799999 94.228 170.9665
22.000000 94.223 170.6722
22.400000 94.219 170.0354
22.700001 94.216 169.4876
23.000000 94.207 168.8796
23.299999 94.186 168.2367
23.600000 94.150 167.6037
24.000000 94.084 166.8620
24.299999 94.029 166.4200
24.700001 93.963 165.9727
25.000000 93.927 165.6903
25.400000 93.895 165.2958
25.799999 93.874 164.8155
26.200001 93.850 164.2500
26.500000 93.827 163.7942
26.900000 93.789 163.1712
27.200001 93.756 162.7001
27.600000 93.703 162.0806
28.000000 93.639 161.5079
28.500000 93.554 160.9374
29.000000 93.486 160.5145
29.500000 93.449 160.0545
30.000000 93.413 159.3876
30.400000 93.356 158.7849
30.700001 93.294 158.4206
31.100000 93.201 158.1948
31.500000 93.133 158.2820
32.000000 93.128 158.5306
32.500000 93.201 158.4468
33.000000 93.280 157.7911
33.500000 93.304 156.7674
34.000000 93.266 155.7487
34.500000 93.191 154.9296
35.000000 93.108 154.2856
35.500000 93.021 153.7390
36.000000 92.927 153.2828
36.500000 92.831 152.9600
37.000000 92.745 152.7808
37.500000 92.687 152.6772
38.200001 92.655 152.4019
38.700001 92.648 151.9589
39.500000 92.602 150.8933
40.000000 92.538 150.2357
40.599998 92.448 149.6480
41.200001 92.373 149.2424
41.799999 92.322 148.8756
42.500000 92.279 148.3626
43.099998 92.239 147.8295
43.700001 92.181 147.2718
44.400002 92.091 146.7411
45.000000 92.013 146.4477
45.500000 91.958 146.2646
46.200001 91.896 145.9836
46.799999 91.849 145.6692
47.500000 91.791 145.2121
48.200001 91.719 144.6854
48.700001 91.654 144.3250
49.400002 91.554 143.9529
50.000000 91.477 143.7692
50.799999 91.402 143.5743
51.500000 91.353 143.3262
52.200001 91.303 143.0067
53.000000 91.237 142.6265
53.799999 91.168 142.2521
54.500000 91.106 141.8938
55.200001 91.034 141.5070
56.000000 90.941 141.1024
57.000000 90.827 140.6939
58.000000 90.726 140.3061
59.000000 90.635 139.9150
60.000000 90.551 139.5326
60.799999 90.489 139.2495
61.500000 90.437 138.9904
62.200001 90.379 138.7430
63.000000 90.310 138.5636
64.000000 90.246 138.3850
65.000000 90.183 138.0470
66.000000 90.098 137.7238
67.000000 90.014 137.4806
68.000000 89.932 137.2143
69.000000 89.849 137.0015
70.000000 89.786 136.7712
71.000000 89.714 136.3851
72.000000 89.623 136.1389
73.000000 89.559 135.9499
74.000000 89.490 135.6060
75.000000 89.402 135.3907
76.199997 89.329 135.2702
77.500000 89.258 134.8642
78.800003 89.146 134.5443
80.000000 89.063 134.3648
81.199997 88.987 134.0380
82.500000 88.894 133.6751
83.800003 88.799 133.3503
85.000000 88.716 133.1422
86.199997 88.644 132.9456
87.500000 88.563 132.6989
88.500000 88.498 132.5186
90.000000 88.395 132.2877
91.199997 88.323 132.1393
92.500000 88.252 131.9463
93.800003 88.183 131.7870
95.000000 88.125 131.6651
96.199997 88.065 131.5261
97.500000 87.989 131.3884
98.800003 87.903 131.2833
100.000000 87.825 131.2130
101.500000 87.727 131.0811
103.000000 87.629 130.9306
104.400002 87.539 130.7671
106.000000 87.449 130.6146
107.500000 87.378 130.4766
109.000000 87.326 130.3940
110.599998 87.266 130.1770
112.000000 87.173 130.0836
113.800003 87.051 130.2279
115.000000 86.999 130.3066
117.199997 86.972 129.7584
118.000000 86.937 129.3011
120.599998 86.689 129.1306
122.000000 86.644 129.6496
124.099998 86.610 129.3751
125.000000 86.549 129.0278
126.500000 86.418 128.6924
128.000000 86.344 128.8058
131.500000 86.396 128.9116
132.000000 86.382 128.9077
134.000000 86.273 129.1497
136.000000 86.153 129.1992
138.000000 85.990 128.7751
140.000000 85.836 128.9250
143.000000 85.834 129.6149
145.000000 85.843 129.3765
147.500000 85.705 128.8936
150.000000 85.537 129.0816
152.500000 85.444 129.8889
155.000000 85.445 130.9968
157.500000 85.571 132.4421
160.000000 85.767 133.3387
162.500000 85.848 133.7014
165.000000 85.895 133.2521
167.500000 85.932 131.6505
170.000000 85.952 130.2452
172.500000 85.999 129.7738
175.000000 85.999 129.5152
177.500000 85.902 129.1339
180.000000 85.769 129.0881
182.500000 85.661 129.5718
185.000000 85.547 129.7632
187.500000 85.413 128.7767
190.000000 85.341 126.9577
192.500000 85.330 125.5553
195.000000 85.292 125.4761
197.500000 85.223 126.2358
200.000000 85.170 126.7600
203.000000 85.080 126.6927
206.000000 84.945 126.6199
209.000000 84.896 126.5709
212.000000 84.891 126.4514
214.000000 84.861 126.4229
218.000000 84.769 126.1786
220.000000 84.738 126.0845
224.000000 84.710 126.2000
227.000000 84.696 126.2437
230.000000 84.682 126.2851
233.000000 84.656 126.3076
236.000000 84.626 126.1454
240.000000 84.607 125.8934
243.000000 84.588 125.7881
247.000000 84.537 125.5956
250.000000 84.518 125.4600
254.000000 84.529 125.2860
258.000000 84.528 125.0941
262.000000 84.485 124.8322
265.000000 84.448 124.5492
269.000000 84.414 124.1512
272.000000 84.398 123.8732
276.000000 84.369 123.4328
280.000000 84.320 122.9066
285.000000 84.252 122.1154
290.000000 84.143 121.2902
295.000000 84.010 120.6734
300.000000 83.813 119.7130
304.000000 83.559 119.1705
307.000000 83.324 119.2521
311.000000 83.032 120.2055
315.000000 82.841 121.6979
320.000000 82.742 123.7171
325.000000 82.812 125.3392
