* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04/04/2023 9:01:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legato L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.619 60.1203
1.015000 68.888 59.0458
1.030000 69.153 58.0432
1.044000 69.397 57.1675
1.060000 69.673 56.2318
1.075000 69.928 55.4120
1.090000 70.180 54.6421
1.106000 70.446 53.8698
1.120000 70.675 53.2303
1.138000 70.967 52.4503
1.150000 71.160 51.9524
1.172000 71.508 51.0749
1.180000 71.633 50.7645
1.206000 72.035 49.7738
1.220000 72.249 49.2446
1.241000 72.566 48.4444
1.250000 72.700 48.0959
1.265000 72.923 47.5031
1.280000 73.144 46.8907
1.315000 73.651 45.3547
1.320000 73.723 45.1201
1.340000 74.008 44.1353
1.360000 74.289 43.0786
1.380000 74.567 41.9788
1.400000 74.840 40.8431
1.430000 75.241 39.0843
1.450000 75.504 37.8829
1.475000 75.827 36.3585
1.500000 76.144 34.8187
1.525000 76.456 33.2744
1.550000 76.762 31.7363
1.575000 77.063 30.2151
1.600000 77.359 28.7217
1.625000 77.650 27.2666
1.650000 77.937 25.8606
1.675000 78.219 24.5145
1.700000 78.497 23.2319
1.725000 78.770 21.9957
1.750000 79.036 20.7996
1.775000 79.298 19.6385
1.800000 79.554 18.5069
1.825000 79.805 17.3998
1.850000 80.052 16.3119
1.875000 80.294 15.2378
1.900000 80.531 14.1725
1.925000 80.765 13.1105
1.950000 80.995 12.0468
1.975000 81.221 10.9759
2.000000 81.444 9.8928
2.030000 81.708 8.5712
2.060000 81.965 7.2408
2.090000 82.215 5.9082
2.120000 82.459 4.5756
2.140000 82.619 3.6883
2.180000 82.931 1.9191
2.200000 83.083 1.0384
2.240000 83.381 -0.7116
2.270000 83.599 -2.0119
2.300000 83.813 -3.2991
2.330000 84.023 -4.5713
2.360000 84.229 -5.8263
2.400000 84.495 -7.4831
2.430000 84.690 -8.7159
2.470000 84.941 -10.3445
2.500000 85.124 -11.5531
2.540000 85.361 -13.1454
2.580000 85.591 -14.7132
2.620000 85.814 -16.2539
2.650000 85.978 -17.3900
2.690000 86.192 -18.8768
2.720000 86.348 -19.9686
2.760000 86.549 -21.3928
2.800000 86.744 -22.7850
2.850000 86.978 -24.4871
2.900000 87.202 -26.1549
2.950000 87.419 -27.7973
3.000000 87.628 -29.4228
3.040000 87.792 -30.7170
3.070000 87.911 -31.6859
3.110000 88.064 -32.9725
3.150000 88.212 -34.2484
3.200000 88.390 -35.8205
3.250000 88.562 -37.3580
3.300000 88.729 -38.8511
3.350000 88.891 -40.2900
3.400000 89.049 -41.6659
3.450000 89.201 -42.9820
3.500000 89.346 -44.2481
3.550000 89.487 -45.4738
3.600000 89.624 -46.6688
3.650000 89.758 -47.8430
3.700000 89.890 -49.0061
3.750000 90.020 -50.1576
3.820000 90.194 -51.7351
3.870000 90.316 -52.8341
3.950000 90.505 -54.5388
4.000000 90.622 -55.5673
4.060000 90.762 -56.7593
4.120000 90.899 -57.8957
4.180000 91.034 -58.9854
4.250000 91.190 -60.2157
4.310000 91.322 -61.2501
4.370000 91.454 -62.2802
4.440000 91.608 -63.4732
4.500000 91.738 -64.4767
4.550000 91.846 -65.3017
4.620000 91.997 -66.4435
4.680000 92.124 -67.4131
4.750000 92.272 -68.5353
4.820000 92.419 -69.6401
4.870000 92.523 -70.4211
4.940000 92.668 -71.5076
5.000000 92.789 -72.4370
5.080000 92.948 -73.6792
5.150000 93.085 -74.7657
5.220000 93.219 -75.8495
5.300000 93.369 -77.0841
5.380000 93.514 -78.3137
5.450000 93.637 -79.3874
5.520000 93.757 -80.4601
5.600000 93.890 -81.6796
5.700000 94.049 -83.1853
5.800000 94.199 -84.6667
5.900000 94.342 -86.1291
6.000000 94.478 -87.5659
6.080000 94.582 -88.6925
6.150000 94.669 -89.6644
6.220000 94.753 -90.6228
6.300000 94.845 -91.6985
6.400000 94.956 -93.0078
6.500000 95.062 -94.2764
6.600000 95.162 -95.5077
6.700000 95.259 -96.7042
6.800000 95.352 -97.8668
6.900000 95.442 -98.9940
7.000000 95.529 -100.0885
7.100000 95.614 -101.1524
7.200000 95.696 -102.1834
7.300000 95.776 -103.1841
7.400000 95.855 -104.1590
7.500000 95.931 -105.1085
7.620000 96.021 -106.2130
7.750000 96.115 -107.3711
7.880000 96.207 -108.4890
8.000000 96.290 -109.4867
8.120000 96.372 -110.4555
8.250000 96.459 -111.4694
8.380000 96.545 -112.4541
8.500000 96.623 -113.3417
8.620000 96.702 -114.2063
8.750000 96.786 -115.1298
8.850000 96.850 -115.8324
9.000000 96.946 -116.8736
9.120000 97.020 -117.7068
9.250000 97.098 -118.6104
9.380000 97.173 -119.5132
9.500000 97.238 -120.3478
9.620000 97.299 -121.1844
9.750000 97.359 -122.0798
9.880000 97.412 -122.9631
10.000000 97.455 -123.7647
10.150000 97.501 -124.7206
10.300000 97.538 -125.6300
10.440000 97.569 -126.4192
10.600000 97.599 -127.2390
10.750000 97.627 -127.9368
10.900000 97.658 -128.5602
11.060000 97.696 -129.1608
11.200000 97.739 -129.6597
11.380000 97.805 -130.2670
11.500000 97.856 -130.6969
11.720000 97.965 -131.5293
11.800000 98.006 -131.8700
12.060000 98.147 -133.1190
12.200000 98.217 -133.8911
12.410000 98.312 -135.1729
12.500000 98.344 -135.7495
12.650000 98.389 -136.7584
12.800000 98.421 -137.7733
13.150000 98.437 -140.0799
13.200000 98.434 -140.3867
13.400000 98.410 -141.5499
13.600000 98.378 -142.5663
13.800000 98.344 -143.4482
14.000000 98.316 -144.2009
14.300000 98.296 -145.1936
14.500000 98.298 -145.8209
14.750000 98.318 -146.6325
15.000000 98.346 -147.5207
15.250000 98.373 -148.4762
15.500000 98.393 -149.4761
15.750000 98.403 -150.4733
16.000000 98.406 -151.4191
16.250000 98.407 -152.2995
16.500000 98.410 -153.1129
16.750000 98.419 -153.8793
17.000000 98.436 -154.6348
17.250000 98.457 -155.3988
17.500000 98.480 -156.1836
17.750000 98.500 -156.9864
18.000000 98.515 -157.7854
18.250000 98.524 -158.5630
18.500000 98.529 -159.3032
18.750000 98.532 -159.9962
19.000000 98.535 -160.6485
19.250000 98.539 -161.2697
19.500000 98.546 -161.8715
19.750000 98.554 -162.4678
20.000000 98.561 -163.0633
20.299999 98.567 -163.7777
20.600000 98.569 -164.4866
20.900000 98.566 -165.1799
21.200001 98.558 -165.8460
21.400000 98.549 -166.2692
21.799999 98.529 -167.0528
22.000000 98.519 -167.4098
22.400000 98.502 -168.0589
22.700001 98.497 -168.5073
23.000000 98.500 -168.9502
23.299999 98.511 -169.4160
23.600000 98.526 -169.9276
24.000000 98.547 -170.6954
24.299999 98.558 -171.3224
24.700001 98.561 -172.1869
25.000000 98.557 -172.8266
25.400000 98.544 -173.6416
25.799999 98.529 -174.4071
26.200001 98.513 -175.1335
26.500000 98.501 -175.6593
26.900000 98.486 -176.3379
27.200001 98.474 -176.8292
27.600000 98.460 -177.4616
28.000000 98.447 -178.0750
28.500000 98.433 -178.8338
29.000000 98.418 -179.6010
29.500000 98.398 179.6270
30.000000 98.371 178.8753
30.400000 98.346 178.3053
30.700001 98.326 177.8988
31.100000 98.302 177.3782
31.500000 98.280 176.8666
32.000000 98.254 176.2160
32.500000 98.226 175.5490
33.000000 98.194 174.8924
33.500000 98.158 174.2750
34.000000 98.125 173.6955
34.500000 98.097 173.1243
35.000000 98.071 172.5363
35.500000 98.043 171.9358
36.000000 98.011 171.3435
36.500000 97.977 170.7680
37.000000 97.941 170.2047
37.500000 97.902 169.6599
38.200001 97.842 168.9772
38.700001 97.805 168.5538
39.500000 97.766 167.8688
40.000000 97.745 167.3726
40.599998 97.712 166.7346
41.200001 97.670 166.1251
41.799999 97.627 165.5741
42.500000 97.582 164.9709
43.099998 97.546 164.4533
43.700001 97.510 163.9254
44.400002 97.462 163.3144
45.000000 97.417 162.8174
45.500000 97.380 162.4192
46.200001 97.327 161.8629
46.799999 97.279 161.3930
47.500000 97.223 160.8740
48.200001 97.172 160.3354
48.700001 97.133 159.9127
49.400002 97.065 159.3519
50.000000 97.006 158.9878
50.799999 96.955 158.5828
51.500000 96.927 158.1258
52.200001 96.891 157.5887
53.000000 96.837 157.0282
53.799999 96.784 156.5391
54.500000 96.738 156.1295
55.200001 96.692 155.7319
56.000000 96.639 155.2810
57.000000 96.566 154.7265
58.000000 96.493 154.2005
59.000000 96.422 153.6518
60.000000 96.347 153.0871
60.799999 96.284 152.6628
61.500000 96.230 152.3197
62.200001 96.179 151.9966
63.000000 96.125 151.6365
64.000000 96.059 151.1747
65.000000 95.989 150.7112
66.000000 95.916 150.2776
67.000000 95.844 149.8600
68.000000 95.772 149.4523
69.000000 95.701 149.0602
70.000000 95.633 148.6740
71.000000 95.565 148.2951
72.000000 95.498 147.9301
73.000000 95.433 147.5768
74.000000 95.368 147.2283
75.000000 95.304 146.8858
76.199997 95.226 146.4815
77.500000 95.142 146.0436
78.800003 95.057 145.6105
80.000000 94.978 145.2201
81.199997 94.900 144.8376
82.500000 94.814 144.4345
83.800003 94.727 144.0799
85.000000 94.654 143.7679
86.199997 94.582 143.4217
87.500000 94.497 143.0475
88.500000 94.429 142.7986
90.000000 94.332 142.4720
91.199997 94.257 142.2120
92.500000 94.175 141.9141
93.800003 94.088 141.6345
95.000000 94.011 141.3867
96.199997 93.935 141.1269
97.500000 93.853 140.8534
98.800003 93.773 140.5671
100.000000 93.691 140.3416
101.500000 93.593 140.1994
103.000000 93.504 140.0791
104.400002 93.422 139.9919
106.000000 93.337 139.9083
107.500000 93.267 139.7960
109.000000 93.201 139.6502
110.599998 93.135 139.5231
112.000000 93.079 139.3915
113.800003 93.003 139.2370
115.000000 92.956 139.1213
117.199997 92.871 138.7658
118.000000 92.838 138.6078
120.599998 92.722 138.1131
122.000000 92.655 137.8589
124.099998 92.552 137.5250
125.000000 92.508 137.3871
126.500000 92.432 137.1690
128.000000 92.356 136.9809
131.500000 92.185 136.5866
132.000000 92.160 136.5362
134.000000 92.064 136.3488
136.000000 91.971 136.1692
138.000000 91.877 136.0424
140.000000 91.789 135.9366
143.000000 91.663 135.7157
145.000000 91.581 135.5786
147.500000 91.477 135.5790
150.000000 91.386 135.5786
152.500000 91.267 135.3121
155.000000 91.138 135.1019
157.500000 91.033 134.9886
160.000000 90.942 134.9324
162.500000 90.852 134.8692
165.000000 90.763 134.7732
167.500000 90.676 134.6617
170.000000 90.586 134.5555
172.500000 90.494 134.4507
175.000000 90.402 134.3492
177.500000 90.310 134.2616
180.000000 90.219 134.1901
182.500000 90.128 134.1378
185.000000 90.040 134.0974
187.500000 89.953 134.0568
190.000000 89.866 134.0217
192.500000 89.780 133.9968
195.000000 89.695 133.9747
197.500000 89.612 133.9497
200.000000 89.531 133.9312
203.000000 89.435 133.9479
206.000000 89.340 133.9866
209.000000 89.244 134.0180
212.000000 89.152 134.0455
214.000000 89.093 134.0649
218.000000 88.976 134.1072
220.000000 88.918 134.1316
224.000000 88.801 134.1877
227.000000 88.715 134.2378
230.000000 88.631 134.2957
233.000000 88.548 134.3620
236.000000 88.466 134.4347
240.000000 88.360 134.5197
243.000000 88.280 134.5914
247.000000 88.163 134.7350
250.000000 88.079 134.8552
254.000000 87.993 134.9412
258.000000 87.908 135.0263
262.000000 87.816 135.1458
265.000000 87.746 135.2427
269.000000 87.652 135.3887
272.000000 87.584 135.4988
276.000000 87.496 135.6481
280.000000 87.410 135.8056
285.000000 87.305 135.9934
290.000000 87.201 136.1818
295.000000 87.099 136.3845
300.000000 87.000 136.5915
304.000000 86.922 136.7639
307.000000 86.865 136.8956
311.000000 86.791 137.0718
315.000000 86.717 137.2497
320.000000 86.626 137.4666
325.000000 86.538 137.6875
330.000000 86.451 137.9163
335.000000 86.366 138.1483
