* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04/04/2023 8:59:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Legato R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 71.378 56.3565
1.015000 71.583 55.0277
1.030000 71.787 53.7929
1.044000 71.978 52.7182
1.060000 72.195 51.5748
1.075000 72.398 50.5782
1.090000 72.600 49.6477
1.106000 72.816 48.7205
1.120000 73.004 47.9583
1.138000 73.244 47.0364
1.150000 73.404 46.4531
1.172000 73.695 45.4356
1.180000 73.801 45.0789
1.206000 74.141 43.9527
1.220000 74.323 43.3583
1.241000 74.594 42.4677
1.250000 74.709 42.0825
1.265000 74.900 41.4304
1.280000 75.090 40.7599
1.315000 75.526 39.0868
1.320000 75.587 38.8317
1.340000 75.832 37.7614
1.360000 76.073 36.6155
1.380000 76.312 35.4339
1.400000 76.548 34.2243
1.430000 76.899 32.3687
1.450000 77.130 31.1117
1.475000 77.415 29.5271
1.500000 77.697 27.9371
1.525000 77.975 26.3517
1.550000 78.249 24.7811
1.575000 78.520 23.2354
1.600000 78.786 21.7246
1.625000 79.049 20.2589
1.650000 79.308 18.8484
1.675000 79.563 17.5031
1.700000 79.814 16.2283
1.725000 80.061 15.0121
1.750000 80.304 13.8474
1.775000 80.542 12.7275
1.800000 80.777 11.6457
1.825000 81.008 10.5954
1.850000 81.236 9.5700
1.875000 81.460 8.5629
1.900000 81.680 7.5674
1.925000 81.897 6.5769
1.950000 82.111 5.5847
1.975000 82.322 4.5842
2.000000 82.530 3.5688
2.030000 82.776 2.3239
2.060000 83.017 1.0716
2.090000 83.252 -0.1799
2.120000 83.482 -1.4290
2.140000 83.633 -2.2596
2.180000 83.929 -3.9134
2.200000 84.074 -4.7357
2.240000 84.358 -6.3686
2.270000 84.567 -7.5811
2.300000 84.772 -8.7814
2.330000 84.973 -9.9680
2.360000 85.170 -11.1392
2.400000 85.427 -12.6849
2.430000 85.615 -13.8345
2.470000 85.859 -15.3524
2.500000 86.037 -16.4782
2.540000 86.268 -17.9609
2.580000 86.494 -19.4200
2.620000 86.714 -20.8534
2.650000 86.875 -21.9101
2.690000 87.085 -23.2926
2.720000 87.240 -24.3066
2.760000 87.440 -25.6263
2.800000 87.633 -26.9141
2.850000 87.867 -28.4876
2.900000 88.093 -30.0308
2.950000 88.311 -31.5546
3.000000 88.523 -33.0697
3.040000 88.688 -34.2829
3.070000 88.809 -35.1952
3.110000 88.965 -36.4110
3.150000 89.117 -37.6208
3.200000 89.300 -39.1161
3.250000 89.477 -40.5822
3.300000 89.649 -42.0079
3.350000 89.817 -43.3821
3.400000 89.980 -44.6955
3.450000 90.137 -45.9520
3.500000 90.289 -47.1621
3.550000 90.436 -48.3362
3.600000 90.579 -49.4846
3.650000 90.719 -50.6177
3.700000 90.856 -51.7459
3.750000 90.991 -52.8701
3.820000 91.173 -54.4215
3.870000 91.298 -55.5084
3.950000 91.495 -57.2008
4.000000 91.616 -58.2236
4.060000 91.759 -59.4087
4.120000 91.900 -60.5409
4.180000 92.038 -61.6297
4.250000 92.196 -62.8619
4.310000 92.330 -63.8999
4.370000 92.462 -64.9346
4.440000 92.616 -66.1352
4.500000 92.746 -67.1479
4.550000 92.853 -67.9817
4.620000 93.002 -69.1359
4.680000 93.128 -70.1154
4.750000 93.274 -71.2468
4.820000 93.418 -72.3596
4.870000 93.519 -73.1458
4.940000 93.660 -74.2394
5.000000 93.779 -75.1746
5.080000 93.933 -76.4249
5.150000 94.066 -77.5177
5.220000 94.196 -78.6077
5.300000 94.341 -79.8500
5.380000 94.481 -81.0889
5.450000 94.600 -82.1724
5.520000 94.715 -83.2558
5.600000 94.842 -84.4888
5.700000 94.994 -86.0138
5.800000 95.137 -87.5177
5.900000 95.271 -89.0057
6.000000 95.398 -90.4699
6.080000 95.495 -91.6190
6.150000 95.574 -92.6121
6.220000 95.650 -93.5927
6.300000 95.733 -94.6933
6.400000 95.832 -96.0309
6.500000 95.925 -97.3248
6.600000 96.011 -98.5790
6.700000 96.094 -99.7941
6.800000 96.174 -100.9698
6.900000 96.250 -102.1051
7.000000 96.323 -103.2038
7.100000 96.395 -104.2690
7.200000 96.465 -105.2960
7.300000 96.534 -106.2906
7.400000 96.602 -107.2619
7.500000 96.669 -108.2099
7.620000 96.749 -109.3148
7.750000 96.834 -110.4855
7.880000 96.918 -111.6306
8.000000 96.994 -112.6654
8.120000 97.068 -113.6855
8.250000 97.146 -114.7730
8.380000 97.222 -115.8421
8.500000 97.288 -116.8141
8.620000 97.352 -117.7714
8.750000 97.418 -118.7887
8.850000 97.466 -119.5567
9.000000 97.535 -120.6853
9.120000 97.586 -121.5652
9.250000 97.639 -122.4958
9.380000 97.689 -123.4017
9.500000 97.733 -124.2145
9.620000 97.775 -125.0053
9.750000 97.818 -125.8376
9.880000 97.859 -126.6444
10.000000 97.896 -127.3668
10.150000 97.941 -128.2421
10.300000 97.984 -129.0853
10.440000 98.025 -129.8488
10.600000 98.070 -130.6937
10.750000 98.114 -131.4646
10.900000 98.157 -132.2201
11.060000 98.205 -133.0117
11.200000 98.247 -133.7018
11.380000 98.302 -134.5847
11.500000 98.338 -135.1786
11.720000 98.404 -136.2769
11.800000 98.426 -136.6812
12.060000 98.496 -138.0137
12.200000 98.529 -138.7379
12.410000 98.573 -139.8301
12.500000 98.589 -140.2942
12.650000 98.613 -141.0650
12.800000 98.632 -141.8218
13.150000 98.665 -143.5172
13.200000 98.668 -143.7493
13.400000 98.680 -144.6535
13.600000 98.690 -145.5183
13.800000 98.699 -146.3476
14.000000 98.709 -147.1476
14.300000 98.725 -148.3065
14.500000 98.735 -149.0565
14.750000 98.749 -149.9717
15.000000 98.762 -150.8590
15.250000 98.776 -151.7169
15.500000 98.791 -152.5467
15.750000 98.808 -153.3537
16.000000 98.828 -154.1525
16.250000 98.850 -154.9537
16.500000 98.871 -155.7644
16.750000 98.890 -156.5871
17.000000 98.903 -157.4089
17.250000 98.910 -158.2140
17.500000 98.911 -158.9865
17.750000 98.907 -159.7091
18.000000 98.902 -160.3774
18.250000 98.897 -160.9968
18.500000 98.895 -161.5762
18.750000 98.895 -162.1326
19.000000 98.898 -162.6787
19.250000 98.902 -163.2200
19.500000 98.906 -163.7588
19.750000 98.909 -164.2912
20.000000 98.911 -164.8129
20.299999 98.914 -165.4247
20.600000 98.918 -166.0269
20.900000 98.924 -166.6337
21.200001 98.932 -167.2610
21.400000 98.936 -167.6962
21.799999 98.939 -168.6030
22.000000 98.937 -169.0672
22.400000 98.924 -169.9919
22.700001 98.907 -170.6579
23.000000 98.888 -171.2870
23.299999 98.869 -171.8768
23.600000 98.853 -172.4356
24.000000 98.840 -173.1616
24.299999 98.835 -173.7169
24.700001 98.833 -174.4987
25.000000 98.830 -175.1180
25.400000 98.818 -175.9658
25.799999 98.797 -176.7907
26.200001 98.769 -177.5461
26.500000 98.749 -178.0578
26.900000 98.728 -178.6888
27.200001 98.718 -179.1494
27.600000 98.709 -179.7809
28.000000 98.699 179.5595
28.500000 98.676 178.7363
29.000000 98.645 177.9857
29.500000 98.615 177.3265
30.000000 98.593 176.7038
30.400000 98.581 176.1888
30.700001 98.571 175.7843
31.100000 98.555 175.2294
31.500000 98.533 174.6785
32.000000 98.502 174.0209
32.500000 98.471 173.3976
33.000000 98.441 172.7841
33.500000 98.408 172.1686
34.000000 98.372 171.5726
34.500000 98.333 171.0282
35.000000 98.299 170.5316
35.500000 98.274 170.0309
36.000000 98.250 169.4760
36.500000 98.218 168.8848
37.000000 98.174 168.3390
37.500000 98.130 167.8915
38.200001 98.094 167.3105
38.700001 98.079 166.7829
39.500000 98.027 165.7596
40.000000 97.971 165.1917
40.599998 97.905 164.6820
41.200001 97.860 164.2398
41.799999 97.826 163.7383
42.500000 97.781 163.1037
43.099998 97.738 162.5908
43.700001 97.696 162.0986
44.400002 97.645 161.5315
45.000000 97.599 161.0775
45.500000 97.562 160.7115
46.200001 97.512 160.1620
46.799999 97.462 159.6599
47.500000 97.397 159.0975
48.200001 97.332 158.5377
48.700001 97.282 158.1214
49.400002 97.204 157.6087
50.000000 97.145 157.2935
50.799999 97.106 156.8687
51.500000 97.082 156.3198
52.200001 97.039 155.7360
53.000000 96.986 155.2159
53.799999 96.944 154.7423
54.500000 96.903 154.3023
55.200001 96.850 153.9152
56.000000 96.789 153.5550
57.000000 96.717 153.0939
58.000000 96.638 152.5730
59.000000 96.554 152.0307
60.000000 96.472 151.4681
60.799999 96.411 151.0057
61.500000 96.361 150.5955
62.200001 96.312 150.1862
63.000000 96.253 149.7555
64.000000 96.180 149.3307
65.000000 96.115 148.9858
66.000000 96.052 148.6288
67.000000 95.982 148.2598
68.000000 95.907 147.8918
69.000000 95.833 147.4870
70.000000 95.756 147.0367
71.000000 95.675 146.5981
72.000000 95.597 146.2178
73.000000 95.527 145.8790
74.000000 95.460 145.5444
75.000000 95.389 145.2163
76.199997 95.300 144.8570
77.500000 95.209 144.4660
78.800003 95.118 143.9915
80.000000 95.028 143.5844
81.199997 94.944 143.2793
82.500000 94.867 143.0021
83.800003 94.787 142.6422
85.000000 94.677 142.2910
86.199997 94.554 142.0929
87.500000 94.435 141.8491
88.500000 94.350 141.6758
90.000000 94.287 141.4255
91.199997 94.265 140.9171
92.500000 94.208 140.3757
93.800003 94.144 140.0206
95.000000 94.076 139.6541
96.199997 93.978 139.2443
97.500000 93.843 138.8350
98.800003 93.700 138.6757
100.000000 93.616 138.7929
101.500000 93.593 138.9187
103.000000 93.568 138.9144
104.400002 93.511 139.0959
106.000000 93.425 139.4676
107.500000 93.344 139.6499
109.000000 93.259 139.5733
110.599998 93.176 139.2558
112.000000 93.115 138.9307
113.800003 93.034 138.5366
115.000000 92.982 138.3369
117.199997 92.868 138.0409
118.000000 92.830 137.9455
120.599998 92.717 137.7448
122.000000 92.665 137.6381
124.099998 92.583 137.5908
125.000000 92.548 137.5296
126.500000 92.488 137.4099
128.000000 92.441 137.1823
131.500000 92.327 136.5032
132.000000 92.309 136.3957
134.000000 92.223 136.0929
136.000000 92.139 135.8308
138.000000 92.039 135.5733
140.000000 91.944 135.3267
143.000000 91.794 134.9785
145.000000 91.709 134.8044
147.500000 91.607 134.7247
150.000000 91.525 134.6188
152.500000 91.384 134.3456
155.000000 91.246 134.2368
157.500000 91.139 134.0652
160.000000 91.033 133.9267
162.500000 90.918 133.8416
165.000000 90.812 133.8408
167.500000 90.725 133.7215
170.000000 90.625 133.6166
172.500000 90.522 133.5587
175.000000 90.414 133.5828
177.500000 90.328 133.6754
180.000000 90.256 133.6152
182.500000 90.163 133.4852
185.000000 90.058 133.4794
187.500000 89.969 133.5542
190.000000 89.891 133.5712
192.500000 89.805 133.5660
195.000000 89.712 133.5897
197.500000 89.614 133.6516
200.000000 89.521 133.8405
203.000000 89.442 134.1699
206.000000 89.374 134.3127
209.000000 89.274 134.2903
212.000000 89.159 134.2055
214.000000 89.089 134.1103
218.000000 88.978 133.8977
220.000000 88.935 133.8497
224.000000 88.843 133.8951
227.000000 88.760 133.9355
230.000000 88.680 133.9727
233.000000 88.600 134.0546
236.000000 88.513 134.1309
240.000000 88.404 134.1818
243.000000 88.330 134.2993
247.000000 88.219 134.5719
250.000000 88.138 134.7159
254.000000 88.046 134.7441
258.000000 87.954 134.8153
262.000000 87.860 134.9827
265.000000 87.788 135.1079
269.000000 87.696 135.2328
272.000000 87.633 135.3406
276.000000 87.549 135.5262
280.000000 87.463 135.6792
285.000000 87.360 135.8519
290.000000 87.261 136.0358
295.000000 87.161 136.2167
300.000000 87.061 136.4181
304.000000 86.982 136.6009
307.000000 86.924 136.7383
311.000000 86.847 136.9123
315.000000 86.774 137.0908
320.000000 86.684 137.3349
325.000000 86.598 137.5785
330.000000 86.513 137.8106
