* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 10:19:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 BA - L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.696 21.3344
1.015000 75.745 20.6386
1.030000 75.788 19.9320
1.044000 75.823 19.2607
1.060000 75.857 18.4809
1.075000 75.882 17.7386
1.090000 75.903 16.9867
1.106000 75.919 16.1754
1.120000 75.929 15.4586
1.138000 75.936 14.5291
1.150000 75.938 13.9054
1.172000 75.934 12.7556
1.180000 75.931 12.3361
1.206000 75.914 10.9699
1.220000 75.901 10.2341
1.241000 75.877 9.1327
1.250000 75.865 8.6622
1.265000 75.844 7.8808
1.280000 75.821 7.1040
1.315000 75.761 5.3156
1.320000 75.752 5.0635
1.340000 75.715 4.0651
1.360000 75.676 3.0811
1.380000 75.635 2.1025
1.400000 75.590 1.1286
1.430000 75.518 -0.3240
1.450000 75.464 -1.2871
1.475000 75.392 -2.4852
1.500000 75.312 -3.6774
1.525000 75.224 -4.8640
1.550000 75.128 -6.0453
1.575000 75.022 -7.2216
1.600000 74.905 -8.3934
1.625000 74.778 -9.5608
1.650000 74.639 -10.7244
1.675000 74.488 -11.8844
1.700000 74.325 -13.0495
1.725000 74.155 -14.2396
1.750000 73.977 -15.4479
1.775000 73.790 -16.6661
1.800000 73.593 -17.8861
1.825000 73.387 -19.0996
1.850000 73.169 -20.2984
1.875000 72.939 -21.4742
1.900000 72.698 -22.6187
1.925000 72.442 -23.7237
1.950000 72.173 -24.7810
1.975000 71.889 -25.7824
2.000000 71.590 -26.7195
2.030000 71.209 -27.7724
2.060000 70.812 -28.9683
2.090000 70.399 -30.2980
2.120000 69.969 -31.6796
2.140000 69.671 -32.5889
2.180000 69.050 -34.2701
2.200000 68.725 -34.9933
2.240000 68.044 -36.0834
2.270000 67.505 -36.4936
2.300000 66.941 -36.4634
2.330000 66.349 -35.9107
2.360000 65.727 -34.7546
2.400000 64.759 -32.2882
2.430000 63.927 -29.8371
2.470000 62.731 -25.8873
2.500000 61.804 -22.4954
2.540000 60.582 -17.5204
2.580000 59.438 -12.1653
2.620000 58.437 -6.5797
2.650000 57.820 -2.3293
2.690000 57.230 3.2995
2.720000 56.979 7.6805
2.760000 56.855 14.1491
2.800000 56.928 21.1145
2.850000 57.220 30.1519
2.900000 57.647 39.1165
2.950000 58.113 47.5365
3.000000 58.522 54.9400
3.040000 58.752 59.8232
3.070000 58.916 62.8713
3.110000 59.154 66.2791
3.150000 59.406 69.1040
3.200000 59.724 72.0933
3.250000 60.026 74.8131
3.300000 60.293 77.6196
3.350000 60.506 80.8691
3.400000 60.621 84.7189
3.450000 60.601 88.7705
3.500000 60.508 92.9503
3.550000 60.410 97.2128
3.600000 60.378 101.5124
3.650000 60.478 105.8035
3.700000 60.780 110.0404
3.750000 61.323 114.4960
3.820000 62.396 121.2773
3.870000 63.304 126.1219
3.950000 64.833 133.0846
4.000000 65.741 136.4989
4.060000 66.698 139.2009
4.120000 67.614 140.5069
4.180000 68.510 140.7504
4.250000 69.511 140.0820
4.310000 70.312 139.0275
4.370000 71.041 137.8372
4.440000 71.797 136.1178
4.500000 72.376 134.0937
4.550000 72.816 132.1463
4.620000 73.374 129.2180
4.680000 73.806 126.7025
4.750000 74.259 123.9153
4.820000 74.647 121.0669
4.870000 74.886 118.9831
4.940000 75.172 116.0154
5.000000 75.377 113.4413
5.080000 75.598 109.9746
5.150000 75.738 106.8317
5.220000 75.826 103.6393
5.300000 75.867 100.0359
5.380000 75.847 96.5981
5.450000 75.781 93.7090
5.520000 75.666 90.8667
5.600000 75.478 87.7670
5.700000 75.156 84.2720
5.800000 74.731 81.1165
5.900000 74.200 78.1909
6.000000 73.594 76.1450
6.080000 73.070 75.5704
6.150000 72.528 75.7874
6.220000 71.941 76.5849
6.300000 71.290 78.1828
6.400000 70.643 81.1718
6.500000 70.150 85.8289
6.600000 69.789 91.6620
6.700000 69.667 97.3445
6.800000 69.901 102.1636
6.900000 70.474 106.8112
7.000000 71.177 110.6573
7.100000 71.817 112.9993
7.200000 72.472 113.7640
7.300000 73.124 113.4522
7.400000 73.691 112.5698
7.500000 74.145 111.0755
7.620000 74.587 108.4109
7.750000 74.948 105.4186
7.880000 75.175 102.4666
8.000000 75.283 99.7604
8.120000 75.322 97.4298
8.250000 75.268 95.2124
8.380000 75.162 93.4969
8.500000 75.048 92.5724
8.620000 74.903 92.2024
8.750000 74.791 92.2947
8.850000 74.753 92.7811
9.000000 74.760 94.0330
9.120000 74.859 95.0112
9.250000 75.076 96.1438
9.380000 75.363 97.1000
9.500000 75.663 97.5168
9.620000 76.012 97.5909
9.750000 76.387 97.2751
9.880000 76.735 96.4719
10.000000 77.041 95.3724
10.150000 77.365 93.7760
10.300000 77.626 91.8724
10.440000 77.814 90.0654
10.600000 77.959 88.0404
10.750000 78.040 86.2691
10.900000 78.077 84.7687
11.060000 78.076 83.4406
11.200000 78.065 82.5929
11.380000 78.035 81.8964
11.500000 78.029 81.6311
11.720000 78.042 81.5623
11.800000 78.063 81.5847
12.060000 78.186 81.8481
12.200000 78.281 81.9333
12.410000 78.459 81.9599
12.500000 78.537 81.8927
12.650000 78.676 81.6797
12.800000 78.810 81.3617
13.150000 79.089 80.2469
13.200000 79.123 80.0630
13.400000 79.247 79.2812
13.600000 79.351 78.5028
13.800000 79.439 77.7372
14.000000 79.517 77.0161
14.300000 79.624 75.9919
14.500000 79.694 75.3277
14.750000 79.783 74.4871
15.000000 79.871 73.5991
15.250000 79.953 72.6601
15.500000 80.028 71.6779
15.750000 80.091 70.6785
16.000000 80.144 69.7034
16.250000 80.191 68.7769
16.500000 80.234 67.9164
16.750000 80.278 67.1285
17.000000 80.328 66.4021
17.250000 80.384 65.7259
17.500000 80.447 65.0888
17.750000 80.517 64.4805
18.000000 80.593 63.8930
18.250000 80.677 63.3165
18.500000 80.767 62.7394
18.750000 80.861 62.1429
19.000000 80.956 61.5125
19.250000 81.047 60.8463
19.500000 81.131 60.1496
19.750000 81.202 59.4485
20.000000 81.261 58.7800
20.299999 81.318 58.0586
20.600000 81.368 57.4541
20.900000 81.420 56.9560
21.200001 81.481 56.5133
21.400000 81.527 56.2129
21.799999 81.624 55.5338
22.000000 81.669 55.1463
22.400000 81.744 54.3119
22.700001 81.786 53.6961
23.000000 81.820 53.1337
23.299999 81.854 52.6342
23.600000 81.895 52.1725
24.000000 81.964 51.5329
24.299999 82.021 50.9881
24.700001 82.093 50.1682
25.000000 82.138 49.5264
25.400000 82.186 48.7130
25.799999 82.232 48.0003
26.200001 82.288 47.3658
26.500000 82.339 46.8984
26.900000 82.412 46.2383
27.200001 82.466 45.7076
27.600000 82.530 44.9797
28.000000 82.583 44.2693
28.500000 82.637 43.4455
29.000000 82.681 42.6946
29.500000 82.716 42.0162
30.000000 82.744 41.4246
30.400000 82.767 41.0044
30.700001 82.785 40.7023
31.100000 82.809 40.2990
31.500000 82.830 39.9014
32.000000 82.853 39.4599
32.500000 82.885 39.0986
33.000000 82.937 38.7204
33.500000 83.000 38.1987
34.000000 83.049 37.5386
34.500000 83.074 36.8858
35.000000 83.090 36.3606
35.500000 83.117 35.9243
36.000000 83.155 35.4504
36.500000 83.189 34.8937
37.000000 83.207 34.3298
37.500000 83.216 33.8395
38.200001 83.233 33.2503
38.700001 83.250 32.8320
39.500000 83.276 32.1731
40.000000 83.297 31.7979
40.599998 83.332 31.3413
41.200001 83.370 30.8324
41.799999 83.403 30.3086
42.500000 83.435 29.7526
43.099998 83.459 29.3162
43.700001 83.476 28.9238
44.400002 83.490 28.5878
45.000000 83.511 28.3422
45.500000 83.529 28.0668
46.200001 83.529 27.6036
46.799999 83.513 27.2749
47.500000 83.503 26.8553
48.200001 83.465 26.1807
48.700001 83.389 25.7977
49.400002 83.284 25.9541
50.000000 83.308 26.4403
50.799999 83.484 26.2621
51.500000 83.590 25.1878
52.200001 83.605 24.1863
53.000000 83.617 23.5290
53.799999 83.658 22.9563
54.500000 83.684 22.4851
55.200001 83.705 22.1448
56.000000 83.734 21.8276
57.000000 83.762 21.4316
58.000000 83.774 21.0481
59.000000 83.776 20.6824
60.000000 83.778 20.3034
60.799999 83.779 19.9876
61.500000 83.783 19.7142
62.200001 83.790 19.4294
63.000000 83.800 19.0935
64.000000 83.814 18.6928
65.000000 83.830 18.2937
66.000000 83.842 17.8962
67.000000 83.848 17.5301
68.000000 83.854 17.1827
69.000000 83.857 16.8553
70.000000 83.864 16.5409
71.000000 83.871 16.2157
72.000000 83.877 15.8937
73.000000 83.880 15.6022
74.000000 83.885 15.3462
75.000000 83.893 15.0943
76.199997 83.903 14.7649
77.500000 83.909 14.4035
78.800003 83.913 14.0314
80.000000 83.913 13.6957
81.199997 83.914 13.3891
82.500000 83.918 13.0855
83.800003 83.930 12.7675
85.000000 83.934 12.4415
86.199997 83.933 12.1718
87.500000 83.935 11.9016
88.500000 83.935 11.6840
90.000000 83.931 11.3774
91.199997 83.930 11.1336
92.500000 83.930 10.8553
93.800003 83.931 10.5905
95.000000 83.936 10.3924
96.199997 83.949 10.2490
97.500000 83.968 10.1237
98.800003 83.995 10.0334
100.000000 84.024 9.7753
101.500000 84.006 9.3007
103.000000 83.962 9.0070
104.400002 83.934 8.7752
106.000000 83.919 8.4935
107.500000 83.917 8.2352
109.000000 83.921 7.9995
110.599998 83.921 7.7588
112.000000 83.916 7.5738
113.800003 83.908 7.3190
115.000000 83.901 7.1361
117.199997 83.890 6.8194
118.000000 83.887 6.7120
120.599998 83.881 6.3643
122.000000 83.874 6.1805
124.099998 83.861 5.9366
125.000000 83.856 5.8397
126.500000 83.849 5.6798
128.000000 83.842 5.5225
131.500000 83.820 5.1851
132.000000 83.816 5.1406
134.000000 83.803 4.9601
136.000000 83.790 4.7785
138.000000 83.776 4.6008
140.000000 83.762 4.4375
143.000000 83.741 4.2423
145.000000 83.729 4.1484
147.500000 83.716 4.0943
150.000000 83.712 4.0329
152.500000 83.701 3.8675
155.000000 83.684 3.7178
157.500000 83.671 3.6091
160.000000 83.659 3.5208
162.500000 83.640 3.4687
165.000000 83.625 3.4894
167.500000 83.621 3.5672
170.000000 83.628 3.6888
172.500000 83.650 3.8043
175.000000 83.683 3.8563
177.500000 83.726 3.8563
180.000000 83.777 3.7864
182.500000 83.831 3.5986
185.000000 83.876 3.3074
187.500000 83.909 2.9579
190.000000 83.933 2.5710
192.500000 83.947 2.1816
195.000000 83.950 1.8227
197.500000 83.940 1.4870
200.000000 83.928 1.1686
203.000000 83.925 0.7370
206.000000 83.918 0.3190
209.000000 83.902 -0.0197
212.000000 83.880 -0.3230
214.000000 83.864 -0.5104
218.000000 83.837 -0.8534
220.000000 83.823 -1.0182
224.000000 83.792 -1.3319
227.000000 83.767 -1.5403
230.000000 83.744 -1.7352
233.000000 83.722 -1.9237
236.000000 83.701 -2.1101
240.000000 83.673 -2.3586
243.000000 83.652 -2.5330
247.000000 83.625 -2.7565
250.000000 83.604 -2.9161
254.000000 83.576 -3.1143
258.000000 83.548 -3.3129
262.000000 83.520 -3.5063
265.000000 83.499 -3.6466
269.000000 83.471 -3.8239
272.000000 83.449 -3.9413
276.000000 83.419 -4.0968
280.000000 83.389 -4.2634
285.000000 83.347 -4.4523
290.000000 83.306 -4.6130
295.000000 83.274 -4.7609
300.000000 83.245 -4.8936
304.000000 83.202 -4.9737
307.000000 83.169 -5.0194
311.000000 83.132 -5.0759
315.000000 83.102 -5.1325
320.000000 83.068 -5.1986
325.000000 83.033 -5.2456
330.000000 82.999 -5.3014
335.000000 82.967 -5.3695
340.000000 82.937 -5.4297
345.000000 82.918 -5.4983
350.000000 82.896 -5.5651
355.000000 82.853 -5.5786
360.000000 82.810 -5.5998
365.000000 82.776 -5.6429
