* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 10:17:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 BA - R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.539 -175.2462
1.015000 45.509 -173.3305
1.030000 45.560 -171.2634
1.044000 45.674 -169.1814
1.060000 45.876 -166.6435
1.075000 46.129 -164.1317
1.090000 46.438 -161.5128
1.106000 46.823 -158.6241
1.120000 47.200 -156.0350
1.138000 47.733 -152.6499
1.150000 48.114 -150.3739
1.172000 48.854 -146.2007
1.180000 49.133 -144.6931
1.206000 50.066 -139.8804
1.220000 50.575 -137.3712
1.241000 51.335 -133.7605
1.250000 51.656 -132.2813
1.265000 52.181 -129.9235
1.280000 52.686 -127.7177
1.315000 53.759 -123.2767
1.320000 53.897 -122.7341
1.340000 54.402 -120.8235
1.360000 54.840 -119.3252
1.380000 55.260 -118.1401
1.400000 55.666 -117.2395
1.430000 56.250 -116.3713
1.450000 56.623 -116.0806
1.475000 57.073 -116.0006
1.500000 57.506 -116.1933
1.525000 57.922 -116.6136
1.550000 58.324 -117.2162
1.575000 58.713 -117.9559
1.600000 59.089 -118.7876
1.625000 59.455 -119.6661
1.650000 59.812 -120.5461
1.675000 60.160 -121.3824
1.700000 60.499 -122.2126
1.725000 60.821 -123.2321
1.750000 61.128 -124.4277
1.775000 61.420 -125.7722
1.800000 61.699 -127.2386
1.825000 61.965 -128.7997
1.850000 62.221 -130.4283
1.875000 62.468 -132.0975
1.900000 62.706 -133.7801
1.925000 62.937 -135.4490
1.950000 63.163 -137.0771
1.975000 63.385 -138.6372
2.000000 63.603 -140.1024
2.030000 63.862 -141.7065
2.060000 64.109 -143.2156
2.090000 64.345 -144.6651
2.120000 64.569 -146.0674
2.140000 64.713 -146.9823
2.180000 64.989 -148.7809
2.200000 65.122 -149.6720
2.240000 65.380 -151.4566
2.270000 65.566 -152.8117
2.300000 65.749 -154.1952
2.330000 65.928 -155.6195
2.360000 66.106 -157.0972
2.400000 66.335 -159.1491
2.430000 66.500 -160.7352
2.470000 66.710 -162.8939
2.500000 66.862 -164.5330
2.540000 67.058 -166.7264
2.580000 67.247 -168.9073
2.620000 67.430 -171.0522
2.650000 67.564 -172.6229
2.690000 67.741 -174.6479
2.720000 67.871 -176.1168
2.760000 68.038 -178.0356
2.800000 68.199 -179.9136
2.850000 68.393 177.7895
2.900000 68.579 175.5399
2.950000 68.759 173.3286
3.000000 68.934 171.1464
3.040000 69.071 169.4157
3.070000 69.171 168.1268
3.110000 69.301 166.4236
3.150000 69.426 164.7406
3.200000 69.579 162.6702
3.250000 69.725 160.6423
3.300000 69.868 158.6628
3.350000 70.007 156.7377
3.400000 70.142 154.8674
3.450000 70.273 153.0409
3.500000 70.399 151.2612
3.550000 70.520 149.5320
3.600000 70.638 147.8570
3.650000 70.753 146.2400
3.700000 70.864 144.6848
3.750000 70.972 143.1917
3.820000 71.116 141.2004
3.870000 71.214 139.8466
3.950000 71.366 137.7952
4.000000 71.459 136.5824
4.060000 71.568 135.1948
4.120000 71.672 133.8788
4.180000 71.771 132.6381
4.250000 71.885 131.2917
4.310000 71.983 130.2293
4.370000 72.082 129.2565
4.440000 72.198 128.2478
4.500000 72.296 127.4892
4.550000 72.377 126.9206
4.620000 72.496 126.2047
4.680000 72.603 125.6497
4.750000 72.737 125.0641
4.820000 72.877 124.5838
4.870000 72.980 124.2921
4.940000 73.132 123.9303
5.000000 73.270 123.6407
5.080000 73.466 123.2596
5.150000 73.651 122.9816
5.220000 73.846 122.7357
5.300000 74.077 122.4429
5.380000 74.315 122.0810
5.450000 74.529 121.7045
5.520000 74.752 121.3013
5.600000 75.012 120.7882
5.700000 75.331 120.0351
5.800000 75.641 119.1286
5.900000 75.948 118.0885
6.000000 76.240 116.9425
6.080000 76.456 115.9650
6.150000 76.633 115.0433
6.220000 76.801 114.0694
6.300000 76.979 112.9230
6.400000 77.176 111.4912
6.500000 77.344 110.0339
6.600000 77.484 108.5566
6.700000 77.599 107.1366
6.800000 77.690 105.8141
6.900000 77.753 104.5480
7.000000 77.797 103.3805
7.100000 77.832 102.3573
7.200000 77.849 101.4756
7.300000 77.857 100.7147
7.400000 77.868 100.0589
7.500000 77.883 99.5356
7.620000 77.904 99.0566
7.750000 77.944 98.5628
7.880000 78.009 98.1039
8.000000 78.082 97.6631
8.120000 78.158 97.0583
8.250000 78.254 96.2469
8.380000 78.339 95.2605
8.500000 78.392 94.1427
8.620000 78.428 92.8399
8.750000 78.422 91.3539
8.850000 78.380 90.1382
9.000000 78.262 88.2627
9.120000 78.111 86.9863
9.250000 77.882 85.7361
9.380000 77.610 84.8682
9.500000 77.328 84.6663
9.620000 77.006 84.9449
9.750000 76.694 85.8611
9.880000 76.438 87.6047
10.000000 76.255 89.7671
10.150000 76.217 92.6129
10.300000 76.398 95.8033
10.440000 76.706 98.2860
10.600000 77.244 100.1953
10.750000 77.831 101.0764
10.900000 78.406 100.7478
11.060000 79.010 99.3316
11.200000 79.461 97.4441
11.380000 79.952 94.1384
11.500000 80.210 91.7586
11.720000 80.539 86.9690
11.800000 80.620 85.2736
12.060000 80.731 79.9154
12.200000 80.726 77.3996
12.410000 80.643 74.1520
12.500000 80.602 73.0159
12.650000 80.517 71.4672
12.800000 80.448 70.2581
13.150000 80.404 68.5942
13.200000 80.416 68.4208
13.400000 80.509 67.8265
13.600000 80.651 67.0826
13.800000 80.823 66.1797
14.000000 80.993 65.0269
14.300000 81.201 63.0998
14.500000 81.300 61.8332
14.750000 81.377 60.4671
15.000000 81.433 59.4877
15.250000 81.494 58.8538
15.500000 81.579 58.4755
15.750000 81.699 58.1728
16.000000 81.839 57.7651
16.250000 81.978 57.2084
16.500000 82.099 56.5021
16.750000 82.189 55.7248
17.000000 82.247 54.9939
17.250000 82.284 54.3626
17.500000 82.308 53.8590
17.750000 82.334 53.4580
18.000000 82.367 53.0850
18.250000 82.405 52.6898
18.500000 82.446 52.2327
18.750000 82.481 51.7035
19.000000 82.507 51.1345
19.250000 82.525 50.5540
19.500000 82.538 49.9895
19.750000 82.551 49.4552
20.000000 82.568 48.9356
20.299999 82.598 48.3058
20.600000 82.637 47.6362
20.900000 82.680 46.9123
21.200001 82.723 46.1484
21.400000 82.749 45.6343
21.799999 82.800 44.6412
22.000000 82.825 44.1759
22.400000 82.879 43.3113
22.700001 82.925 42.7083
23.000000 82.973 42.1305
23.299999 83.020 41.5740
23.600000 83.064 41.0472
24.000000 83.116 40.4191
24.299999 83.153 40.0153
24.700001 83.204 39.5480
25.000000 83.245 39.2089
25.400000 83.298 38.7090
25.799999 83.336 38.1317
26.200001 83.349 37.5424
26.500000 83.344 37.1591
26.900000 83.334 36.7688
27.200001 83.337 36.5337
27.600000 83.364 36.1493
28.000000 83.404 35.5231
28.500000 83.426 34.3417
29.000000 83.370 33.0667
29.500000 83.255 32.2098
30.000000 83.163 31.9929
30.400000 83.155 32.1059
30.700001 83.195 32.1841
31.100000 83.294 32.1044
31.500000 83.415 31.7289
32.000000 83.551 30.9077
32.500000 83.640 29.9159
33.000000 83.677 29.0419
33.500000 83.684 28.4854
34.000000 83.697 28.2531
34.500000 83.739 28.1588
35.000000 83.799 27.9758
35.500000 83.850 27.6337
36.000000 83.875 27.2341
36.500000 83.882 26.8894
37.000000 83.885 26.6001
37.500000 83.893 26.2942
38.200001 83.902 25.7791
38.700001 83.903 25.3889
39.500000 83.910 24.7880
40.000000 83.920 24.4172
40.599998 83.936 23.9773
41.200001 83.956 23.5521
41.799999 83.976 23.1434
42.500000 83.997 22.7109
43.099998 84.014 22.3835
43.700001 84.030 22.0472
44.400002 84.036 21.6326
45.000000 84.033 21.3259
45.500000 84.036 21.0848
46.200001 84.048 20.6343
46.799999 84.048 20.1670
47.500000 84.053 19.7027
48.200001 84.099 19.0975
48.700001 84.127 18.3481
49.400002 84.074 17.1975
50.000000 83.964 16.8250
50.799999 83.907 17.3442
51.500000 83.997 17.7073
52.200001 84.098 17.5013
53.000000 84.150 17.1428
53.799999 84.181 16.9446
54.500000 84.201 16.7616
55.200001 84.205 16.5777
56.000000 84.204 16.3843
57.000000 84.199 16.0781
58.000000 84.191 15.7221
59.000000 84.190 15.3214
60.000000 84.194 14.9052
60.799999 84.202 14.5896
61.500000 84.210 14.3371
62.200001 84.219 14.1078
63.000000 84.230 13.8634
64.000000 84.238 13.5765
65.000000 84.242 13.3071
66.000000 84.243 13.0338
67.000000 84.241 12.7432
68.000000 84.239 12.4566
69.000000 84.243 12.1682
70.000000 84.247 11.8710
71.000000 84.250 11.5995
72.000000 84.255 11.3578
73.000000 84.260 11.1206
74.000000 84.261 10.8808
75.000000 84.259 10.6421
76.199997 84.254 10.3550
77.500000 84.248 10.0670
78.800003 84.251 9.8118
80.000000 84.259 9.5520
81.199997 84.263 9.2914
82.500000 84.263 9.0523
83.800003 84.260 8.8353
85.000000 84.255 8.6301
86.199997 84.249 8.4299
87.500000 84.247 8.1990
88.500000 84.247 8.0039
90.000000 84.250 7.7161
91.199997 84.254 7.4968
92.500000 84.252 7.2634
93.800003 84.243 7.0670
95.000000 84.233 6.8983
96.199997 84.227 6.7086
97.500000 84.228 6.3757
98.800003 84.208 5.9054
100.000000 84.170 5.6707
101.500000 84.170 5.6550
103.000000 84.199 5.5121
104.400002 84.211 5.3620
106.000000 84.212 5.2480
107.500000 84.207 5.1338
109.000000 84.198 4.9656
110.599998 84.185 4.7406
112.000000 84.174 4.5446
113.800003 84.168 4.3194
115.000000 84.170 4.1621
117.199997 84.174 3.8431
118.000000 84.172 3.7398
120.599998 84.154 3.4807
122.000000 84.137 3.4115
124.099998 84.125 3.3219
125.000000 84.127 3.2262
126.500000 84.132 2.9439
128.000000 84.120 2.5867
131.500000 84.050 2.2801
132.000000 84.045 2.2873
134.000000 84.037 2.2636
136.000000 84.039 2.1481
138.000000 84.044 1.9572
140.000000 84.042 1.7792
143.000000 84.034 1.5804
145.000000 84.023 1.5006
147.500000 83.999 1.4812
150.000000 83.965 1.4989
152.500000 83.939 1.4336
155.000000 83.929 1.3181
157.500000 83.938 1.2810
160.000000 83.933 1.1139
162.500000 83.895 0.8573
165.000000 83.866 0.6320
167.500000 83.847 0.5410
170.000000 83.815 0.6231
172.500000 83.771 0.7661
175.000000 83.736 0.8930
177.500000 83.718 1.0872
180.000000 83.719 1.4421
182.500000 83.748 1.8551
185.000000 83.805 2.1925
187.500000 83.888 2.3665
190.000000 83.983 2.3001
192.500000 84.069 2.0000
195.000000 84.126 1.5541
197.500000 84.151 1.0667
200.000000 84.164 0.5699
203.000000 84.176 -0.0546
206.000000 84.172 -0.5852
209.000000 84.151 -0.9958
212.000000 84.125 -1.3631
214.000000 84.107 -1.5821
218.000000 84.069 -1.9378
220.000000 84.050 -2.0891
224.000000 84.013 -2.3764
227.000000 83.988 -2.5683
230.000000 83.964 -2.7436
233.000000 83.938 -2.9050
236.000000 83.911 -3.0446
240.000000 83.877 -3.2036
243.000000 83.854 -3.3268
247.000000 83.827 -3.4567
250.000000 83.807 -3.5435
254.000000 83.777 -3.6989
258.000000 83.747 -3.8538
262.000000 83.717 -3.9744
265.000000 83.695 -4.0457
269.000000 83.668 -4.1294
272.000000 83.648 -4.1894
276.000000 83.622 -4.2696
280.000000 83.596 -4.3448
285.000000 83.565 -4.4207
290.000000 83.534 -4.4931
295.000000 83.499 -4.6180
300.000000 83.466 -4.7813
304.000000 83.452 -4.7644
307.000000 83.444 -4.7202
311.000000 83.431 -4.7145
315.000000 83.417 -4.7518
320.000000 83.400 -4.8141
325.000000 83.382 -4.9004
330.000000 83.367 -5.0084
335.000000 83.352 -5.1230
340.000000 83.336 -5.2379
345.000000 83.323 -5.3644
350.000000 83.306 -5.5117
355.000000 83.276 -5.6624
