* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 9:22:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 150ohm Dome - R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 60.348 68.0954
1.015000 60.511 67.7828
1.030000 60.670 67.4234
1.044000 60.814 67.0461
1.060000 60.974 66.5689
1.075000 61.120 66.0806
1.090000 61.262 65.5559
1.106000 61.410 64.9602
1.120000 61.535 64.4114
1.138000 61.693 63.6727
1.150000 61.795 63.1622
1.172000 61.978 62.1953
1.180000 62.042 61.8354
1.206000 62.248 60.6434
1.220000 62.356 59.9919
1.241000 62.513 59.0095
1.250000 62.580 58.5885
1.265000 62.689 57.8897
1.280000 62.796 57.1973
1.315000 63.041 55.6254
1.320000 63.075 55.4077
1.340000 63.212 54.5589
1.360000 63.346 53.7423
1.380000 63.476 52.9356
1.400000 63.602 52.1353
1.430000 63.784 50.9428
1.450000 63.900 50.1503
1.475000 64.040 49.1588
1.500000 64.175 48.1630
1.525000 64.304 47.1590
1.550000 64.427 46.1430
1.575000 64.545 45.1112
1.600000 64.658 44.0597
1.625000 64.766 42.9847
1.650000 64.869 41.8825
1.675000 64.968 40.7491
1.700000 65.061 39.5810
1.725000 65.149 38.3788
1.750000 65.231 37.1465
1.775000 65.307 35.8882
1.800000 65.378 34.6077
1.825000 65.444 33.3093
1.850000 65.505 31.9969
1.875000 65.561 30.6746
1.900000 65.613 29.3463
1.925000 65.661 28.0163
1.950000 65.704 26.6884
1.975000 65.743 25.3668
2.000000 65.779 24.0554
2.030000 65.817 22.4986
2.060000 65.849 20.9402
2.090000 65.874 19.3760
2.120000 65.892 17.8078
2.140000 65.901 16.7613
2.180000 65.910 14.6680
2.200000 65.911 13.6226
2.240000 65.906 11.5369
2.270000 65.896 9.9796
2.300000 65.880 8.4306
2.330000 65.860 6.8918
2.360000 65.836 5.3650
2.400000 65.795 3.3276
2.430000 65.756 1.7955
2.470000 65.697 -0.2448
2.500000 65.646 -1.7677
2.540000 65.571 -3.7803
2.580000 65.488 -5.7634
2.620000 65.398 -7.7069
2.650000 65.327 -9.1325
2.690000 65.227 -10.9826
2.720000 65.147 -12.3469
2.760000 65.031 -14.1658
2.800000 64.905 -15.9668
2.850000 64.739 -18.1628
2.900000 64.565 -20.2617
2.950000 64.388 -22.2255
3.000000 64.212 -24.0157
3.040000 64.074 -25.3001
3.070000 63.965 -26.1946
3.110000 63.812 -27.3080
3.150000 63.654 -28.3286
3.200000 63.458 -29.4708
3.250000 63.270 -30.4603
3.300000 63.101 -31.2928
3.350000 62.959 -31.9641
3.400000 62.844 -32.4456
3.450000 62.738 -32.6932
3.500000 62.647 -32.7551
3.550000 62.578 -32.6847
3.600000 62.538 -32.5352
3.650000 62.534 -32.3598
3.700000 62.574 -32.2118
3.750000 62.663 -32.0207
3.820000 62.860 -31.5699
3.870000 63.042 -31.2029
3.950000 63.386 -30.7129
4.000000 63.622 -30.5662
4.060000 63.918 -30.6430
4.120000 64.254 -30.9123
4.180000 64.625 -31.3348
4.250000 65.080 -32.0123
4.310000 65.471 -32.7439
4.370000 65.845 -33.6077
4.440000 66.268 -34.8270
4.500000 66.632 -36.0642
4.550000 66.932 -37.1937
4.620000 67.341 -38.8689
4.680000 67.674 -40.3392
4.750000 68.039 -42.0609
4.820000 68.384 -43.8826
4.870000 68.619 -45.2270
4.940000 68.932 -47.1282
5.000000 69.185 -48.7385
5.080000 69.499 -50.8119
5.150000 69.751 -52.6129
5.220000 69.984 -54.3949
5.300000 70.230 -56.3722
5.380000 70.457 -58.2457
5.450000 70.641 -59.7960
5.520000 70.807 -61.2832
5.600000 70.981 -62.8964
5.700000 71.182 -64.7665
5.800000 71.367 -66.4566
5.900000 71.532 -67.9762
6.000000 71.685 -69.3496
6.080000 71.804 -70.3571
6.150000 71.904 -71.1565
6.220000 72.000 -71.8852
6.300000 72.106 -72.6522
6.400000 72.235 -73.5473
6.500000 72.362 -74.3629
6.600000 72.485 -75.0944
6.700000 72.601 -75.7717
6.800000 72.711 -76.4156
6.900000 72.816 -77.0131
7.000000 72.913 -77.5596
7.100000 73.000 -78.0533
7.200000 73.076 -78.5060
7.300000 73.144 -78.9001
7.400000 73.204 -79.2101
7.500000 73.256 -79.4332
7.620000 73.307 -79.5947
7.750000 73.362 -79.6144
7.880000 73.415 -79.4486
8.000000 73.467 -79.1621
8.120000 73.535 -78.7853
8.250000 73.623 -78.2402
8.380000 73.730 -77.6457
8.500000 73.850 -77.1149
8.620000 73.990 -76.5718
8.750000 74.157 -76.0698
8.850000 74.296 -75.7684
9.000000 74.520 -75.4307
9.120000 74.700 -75.2961
9.250000 74.898 -75.2953
9.380000 75.093 -75.4202
9.500000 75.265 -75.6351
9.620000 75.431 -75.9537
9.750000 75.601 -76.3775
9.880000 75.760 -76.8701
10.000000 75.899 -77.3888
10.150000 76.060 -78.0885
10.300000 76.210 -78.8495
10.440000 76.339 -79.6018
10.600000 76.474 -80.5084
10.750000 76.590 -81.3932
10.900000 76.694 -82.3042
11.060000 76.792 -83.2936
11.200000 76.868 -84.1479
11.380000 76.951 -85.2306
11.500000 77.000 -85.9075
11.720000 77.078 -87.0609
11.800000 77.106 -87.4390
12.060000 77.199 -88.5113
12.200000 77.259 -89.0061
12.410000 77.364 -89.6535
12.500000 77.417 -89.9262
12.650000 77.517 -90.3616
12.800000 77.627 -90.8236
13.150000 77.913 -92.0789
13.200000 77.955 -92.2842
13.400000 78.122 -93.1589
13.600000 78.276 -94.0821
13.800000 78.417 -95.0175
14.000000 78.543 -95.9010
14.300000 78.716 -97.0369
14.500000 78.829 -97.6516
14.750000 78.979 -98.2629
15.000000 79.147 -98.7960
15.250000 79.328 -99.3329
15.500000 79.515 -99.9325
15.750000 79.694 -100.6284
16.000000 79.854 -101.3753
16.250000 79.992 -102.1152
16.500000 80.109 -102.7980
16.750000 80.213 -103.3822
17.000000 80.312 -103.8887
17.250000 80.408 -104.3567
17.500000 80.501 -104.8241
17.750000 80.585 -105.3232
18.000000 80.653 -105.8208
18.250000 80.703 -106.2629
18.500000 80.741 -106.5917
18.750000 80.779 -106.7496
19.000000 80.836 -106.7737
19.250000 80.923 -106.7497
19.500000 81.045 -106.7884
19.750000 81.193 -107.0480
20.000000 81.344 -107.5898
20.299999 81.502 -108.5855
20.600000 81.606 -109.7979
20.900000 81.650 -110.9569
21.200001 81.653 -111.8013
21.400000 81.652 -112.1130
21.799999 81.705 -112.2727
22.000000 81.776 -112.2634
22.400000 81.997 -112.4351
22.700001 82.195 -112.9784
23.000000 82.377 -113.8894
23.299999 82.515 -115.0246
23.600000 82.598 -116.1676
24.000000 82.645 -117.3693
24.299999 82.661 -117.9186
24.700001 82.700 -118.2213
25.000000 82.761 -118.2537
25.400000 82.892 -118.2392
25.799999 83.072 -118.3738
26.200001 83.279 -118.8490
26.500000 83.432 -119.5041
26.900000 83.596 -120.7524
27.200001 83.670 -121.8624
27.600000 83.698 -123.2873
28.000000 83.670 -124.3681
28.500000 83.635 -125.1045
29.000000 83.673 -125.5734
29.500000 83.765 -126.2768
30.000000 83.846 -127.2242
30.400000 83.895 -127.9274
30.700001 83.938 -128.3592
31.100000 84.021 -128.8834
31.500000 84.130 -129.5210
32.000000 84.260 -130.5826
32.500000 84.344 -131.7143
33.000000 84.397 -132.5882
33.500000 84.462 -133.1966
34.000000 84.544 -133.7675
34.500000 84.620 -134.3682
35.000000 84.686 -134.8548
35.500000 84.775 -135.2252
36.000000 84.897 -135.7847
36.500000 85.007 -136.7896
37.000000 85.044 -138.0403
37.500000 85.007 -139.0191
38.200001 84.972 -139.5206
38.700001 85.043 -139.7486
39.500000 85.222 -141.0574
40.000000 85.275 -142.2465
40.599998 85.286 -143.3750
41.200001 85.324 -144.1429
41.799999 85.404 -145.0153
42.500000 85.462 -146.3294
43.099998 85.454 -147.2607
43.700001 85.451 -147.8257
44.400002 85.490 -148.5011
45.000000 85.508 -149.3835
45.500000 85.474 -150.1507
46.200001 85.380 -150.8349
46.799999 85.327 -151.0618
47.500000 85.331 -151.4489
48.200001 85.331 -152.2050
48.700001 85.305 -152.6834
49.400002 85.307 -152.9704
50.000000 85.401 -153.2676
50.799999 85.570 -154.5194
51.500000 85.636 -156.0335
52.200001 85.653 -157.2149
53.000000 85.701 -158.3190
53.799999 85.739 -159.5306
54.500000 85.742 -160.4098
55.200001 85.759 -161.0900
56.000000 85.793 -161.9911
57.000000 85.782 -163.1314
58.000000 85.781 -163.9492
59.000000 85.802 -165.0053
60.000000 85.780 -166.0811
60.799999 85.768 -166.8136
61.500000 85.758 -167.5174
62.200001 85.730 -168.1856
63.000000 85.697 -168.7701
64.000000 85.678 -169.4337
65.000000 85.666 -170.0777
66.000000 85.675 -170.7616
67.000000 85.673 -171.6646
68.000000 85.637 -172.5579
69.000000 85.582 -173.3363
70.000000 85.526 -173.9429
71.000000 85.488 -174.5200
72.000000 85.448 -175.1048
73.000000 85.428 -175.5551
74.000000 85.446 -176.1457
75.000000 85.460 -176.9615
76.199997 85.445 -177.9678
77.500000 85.399 -178.8356
78.800003 85.348 -179.4200
80.000000 85.301 -179.7931
81.199997 85.259 179.7865
82.500000 85.171 179.2634
83.800003 85.089 178.9203
85.000000 85.036 178.3555
86.199997 84.972 177.7153
87.500000 84.921 176.9882
88.500000 84.874 176.4153
90.000000 84.797 175.8735
91.199997 84.748 175.5971
92.500000 84.689 175.3416
93.800003 84.624 175.0337
95.000000 84.548 174.5358
96.199997 84.447 173.9416
97.500000 84.342 173.2805
98.800003 84.243 172.5985
100.000000 84.167 172.2879
101.500000 84.168 172.1269
103.000000 84.185 171.6682
104.400002 84.142 171.2906
106.000000 84.058 171.0343
107.500000 83.971 170.7679
109.000000 83.892 170.3707
110.599998 83.820 169.8561
112.000000 83.763 169.4004
113.800003 83.679 169.0614
115.000000 83.642 169.0368
117.199997 83.617 168.7597
118.000000 83.603 168.5587
120.599998 83.522 167.8481
122.000000 83.451 167.7104
124.099998 83.378 167.8034
125.000000 83.355 167.7908
126.500000 83.314 167.6565
128.000000 83.271 167.3981
131.500000 83.158 166.6483
132.000000 83.140 166.5782
134.000000 83.075 166.4217
136.000000 83.017 166.2658
138.000000 82.947 166.0771
140.000000 82.880 165.9914
143.000000 82.809 165.8893
145.000000 82.758 165.8286
147.500000 82.695 165.8369
150.000000 82.645 165.8116
152.500000 82.582 165.6342
155.000000 82.514 165.4123
157.500000 82.456 165.1707
160.000000 82.406 165.0764
162.500000 82.369 165.0787
165.000000 82.334 164.9857
167.500000 82.282 164.8654
170.000000 82.219 164.8297
172.500000 82.146 164.8294
175.000000 82.065 164.8561
177.500000 81.987 164.9362
180.000000 81.916 165.0065
182.500000 81.843 164.9987
185.000000 81.770 164.9699
187.500000 81.713 164.9602
190.000000 81.665 164.9562
192.500000 81.605 164.9286
195.000000 81.532 164.8841
197.500000 81.468 164.8252
200.000000 81.415 164.8283
203.000000 81.368 165.0140
206.000000 81.329 165.1707
209.000000 81.282 165.2342
212.000000 81.232 165.3218
214.000000 81.204 165.3708
218.000000 81.163 165.3268
220.000000 81.151 165.3217
224.000000 81.143 165.4583
227.000000 81.151 165.5824
230.000000 81.167 165.6378
233.000000 81.189 165.5719
236.000000 81.212 165.3015
240.000000 81.232 164.5817
243.000000 81.215 163.8440
247.000000 81.124 162.7725
250.000000 81.007 161.9318
254.000000 80.779 160.9127
258.000000 80.499 160.3265
262.000000 80.206 160.3113
265.000000 80.003 160.6391
269.000000 79.775 161.3841
272.000000 79.638 162.0837
276.000000 79.501 163.1626
280.000000 79.420 164.2674
285.000000 79.351 165.3558
290.000000 79.300 166.2195
295.000000 79.267 167.0876
300.000000 79.258 167.9774
304.000000 79.230 168.4124
307.000000 79.202 168.6486
311.000000 79.166 168.9909
