* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 9:52:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 150ohm Big LCP - L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 49.581 16.9700
1.015000 49.655 17.7858
1.030000 49.750 18.6067
1.044000 49.855 19.3868
1.060000 49.995 20.2901
1.075000 50.143 21.1436
1.090000 50.306 21.9987
1.106000 50.494 22.9075
1.120000 50.670 23.6957
1.138000 50.909 24.6930
1.150000 51.075 25.3444
1.172000 51.391 26.5017
1.180000 51.509 26.9084
1.206000 51.899 28.1669
1.220000 52.112 28.7984
1.241000 52.431 29.6749
1.250000 52.567 30.0219
1.265000 52.791 30.5584
1.280000 53.011 31.0386
1.315000 53.498 31.9143
1.320000 53.564 32.0089
1.340000 53.816 32.3046
1.360000 54.053 32.4613
1.380000 54.289 32.4835
1.400000 54.524 32.3818
1.430000 54.874 32.0198
1.450000 55.106 31.6540
1.475000 55.392 31.0753
1.500000 55.676 30.3807
1.525000 55.955 29.5906
1.550000 56.228 28.7255
1.575000 56.497 27.8059
1.600000 56.758 26.8522
1.625000 57.013 25.8849
1.650000 57.261 24.9244
1.675000 57.499 23.9912
1.700000 57.730 23.0773
1.725000 57.953 22.1153
1.750000 58.170 21.1045
1.775000 58.381 20.0488
1.800000 58.585 18.9520
1.825000 58.782 17.8180
1.850000 58.974 16.6506
1.875000 59.160 15.4538
1.900000 59.341 14.2313
1.925000 59.516 12.9871
1.950000 59.685 11.7251
1.975000 59.850 10.4490
2.000000 60.009 9.1628
2.030000 60.195 7.6080
2.060000 60.371 6.0116
2.090000 60.539 4.3704
2.120000 60.699 2.6908
2.140000 60.801 1.5528
2.180000 60.995 -0.7585
2.200000 61.087 -1.9281
2.240000 61.262 -4.2859
2.270000 61.386 -6.0630
2.300000 61.503 -7.8406
2.330000 61.615 -9.6125
2.360000 61.722 -11.3727
2.400000 61.854 -13.7219
2.430000 61.946 -15.4934
2.470000 62.058 -17.8666
2.500000 62.134 -19.6537
2.540000 62.226 -22.0447
2.580000 62.307 -24.4431
2.620000 62.378 -26.8470
2.650000 62.423 -28.6523
2.690000 62.476 -31.0609
2.720000 62.508 -32.8701
2.760000 62.543 -35.2902
2.800000 62.568 -37.7177
2.850000 62.583 -40.7599
2.900000 62.581 -43.8074
2.950000 62.561 -46.8570
3.000000 62.523 -49.9051
3.040000 62.478 -52.3428
3.070000 62.438 -54.1919
3.110000 62.376 -56.6853
3.150000 62.303 -59.1935
3.200000 62.195 -62.3209
3.250000 62.066 -65.4056
3.300000 61.913 -68.4110
3.350000 61.735 -71.3005
3.400000 61.533 -74.0340
3.450000 61.317 -76.6076
3.500000 61.081 -79.0722
3.550000 60.818 -81.4802
3.600000 60.522 -83.8840
3.650000 60.187 -86.3363
3.700000 59.806 -88.8895
3.750000 59.394 -91.9095
3.820000 58.780 -96.9793
3.870000 58.297 -100.6431
3.950000 57.405 -105.4388
4.000000 56.751 -107.1284
4.060000 55.826 -107.2339
4.120000 54.577 -105.7757
4.180000 53.130 -103.0161
4.250000 51.456 -98.2236
4.310000 50.260 -92.8291
4.370000 49.492 -86.3038
4.440000 49.194 -76.0487
4.500000 49.291 -64.8042
4.550000 49.569 -54.7161
4.620000 50.181 -41.0496
4.680000 50.842 -31.2010
4.750000 51.754 -23.1958
4.820000 53.027 -17.4427
4.870000 54.074 -14.4440
4.940000 55.575 -11.6455
5.000000 56.756 -10.4102
5.080000 57.983 -10.4140
5.150000 58.832 -12.8791
5.220000 59.549 -16.9458
5.300000 60.256 -22.2136
5.380000 60.893 -26.6471
5.450000 61.397 -29.4523
5.520000 61.824 -31.9658
5.600000 62.235 -34.6457
5.700000 62.668 -37.9843
5.800000 63.025 -41.5401
5.900000 63.286 -45.1484
6.000000 63.473 -48.6233
6.080000 63.583 -51.1977
6.150000 63.641 -53.3869
6.220000 63.665 -55.4931
6.300000 63.663 -57.6922
6.400000 63.631 -59.9489
6.500000 63.554 -61.6040
6.600000 63.439 -62.7710
6.700000 63.324 -63.5256
6.800000 63.226 -63.8930
6.900000 63.122 -63.8243
7.000000 63.051 -63.4205
7.100000 63.050 -62.7620
7.200000 63.112 -61.6698
7.300000 63.228 -60.3827
7.400000 63.397 -59.2662
7.500000 63.631 -58.3827
7.620000 63.986 -57.4862
7.750000 64.387 -56.9594
7.880000 64.800 -57.0180
8.000000 65.184 -57.4573
8.120000 65.524 -58.1502
8.250000 65.852 -59.2816
8.380000 66.135 -60.5650
8.500000 66.346 -61.7140
8.620000 66.512 -62.9076
8.750000 66.661 -64.0270
8.850000 66.754 -64.7023
9.000000 66.863 -65.4848
9.120000 66.960 -65.8737
9.250000 67.069 -66.0051
9.380000 67.198 -65.9761
9.500000 67.357 -65.8995
9.620000 67.547 -65.7202
9.750000 67.779 -65.6336
9.880000 68.043 -65.7536
10.000000 68.309 -66.0095
10.150000 68.629 -66.6536
10.300000 68.944 -67.6772
10.440000 69.206 -68.8455
10.600000 69.452 -70.4555
10.750000 69.632 -72.0555
10.900000 69.751 -73.5931
11.060000 69.824 -75.1215
11.200000 69.853 -76.1384
11.380000 69.847 -77.0595
11.500000 69.853 -77.3508
11.720000 69.877 -77.2347
11.800000 69.913 -77.0889
12.060000 70.138 -76.1859
12.200000 70.329 -75.8351
12.410000 70.700 -75.5645
12.500000 70.865 -75.6807
12.650000 71.159 -76.1682
12.800000 71.433 -76.9736
13.150000 71.933 -79.9894
13.200000 71.981 -80.4822
13.400000 72.121 -82.5244
13.600000 72.174 -84.2934
13.800000 72.162 -85.7006
14.000000 72.114 -86.5049
14.300000 72.078 -86.7171
14.500000 72.120 -86.4076
14.750000 72.287 -85.8659
15.000000 72.545 -85.7407
15.250000 72.832 -86.2173
15.500000 73.090 -87.3186
15.750000 73.263 -88.8293
16.000000 73.343 -90.2902
16.250000 73.352 -91.4140
16.500000 73.327 -92.0114
16.750000 73.324 -92.0427
17.000000 73.388 -91.8032
17.250000 73.518 -91.5809
17.500000 73.699 -91.6281
17.750000 73.884 -92.1189
18.000000 74.026 -92.9137
18.250000 74.112 -93.7949
18.500000 74.140 -94.5214
18.750000 74.135 -94.8238
19.000000 74.146 -94.6768
19.250000 74.205 -94.2037
19.500000 74.336 -93.5983
19.750000 74.535 -93.1889
20.000000 74.764 -93.1413
20.299999 75.037 -93.5928
20.600000 75.261 -94.4419
20.900000 75.421 -95.3797
21.200001 75.535 -96.1306
21.400000 75.604 -96.4631
21.799999 75.767 -96.8718
22.000000 75.869 -97.0612
22.400000 76.095 -97.6299
22.700001 76.253 -98.2983
23.000000 76.381 -99.0865
23.299999 76.473 -99.8493
23.600000 76.540 -100.4628
24.000000 76.622 -100.9942
24.299999 76.696 -101.2607
24.700001 76.811 -101.5987
25.000000 76.898 -101.8806
25.400000 77.007 -102.2367
25.799999 77.118 -102.4761
26.200001 77.253 -102.6436
26.500000 77.375 -102.8393
26.900000 77.544 -103.3349
27.200001 77.655 -103.8875
27.600000 77.760 -104.6945
28.000000 77.824 -105.3395
28.500000 77.900 -105.7328
29.000000 78.027 -105.9525
29.500000 78.185 -106.4308
30.000000 78.305 -107.1682
30.400000 78.358 -107.6586
30.700001 78.392 -107.8393
31.100000 78.462 -107.8506
31.500000 78.584 -107.8316
32.000000 78.784 -108.1905
32.500000 78.959 -109.0953
33.000000 79.060 -110.1415
33.500000 79.114 -110.8557
34.000000 79.198 -111.1982
34.500000 79.346 -111.5625
35.000000 79.518 -112.3188
35.500000 79.645 -113.4076
36.000000 79.705 -114.4041
36.500000 79.737 -114.9390
37.000000 79.806 -115.0156
37.500000 79.946 -114.9537
38.200001 80.225 -115.2499
38.700001 80.426 -115.8494
39.500000 80.691 -117.1790
40.000000 80.821 -118.1214
40.599998 80.928 -119.3382
41.200001 80.964 -120.4475
41.799999 80.949 -121.0631
42.500000 80.982 -121.0431
43.099998 81.116 -120.9739
43.700001 81.296 -121.4297
44.400002 81.452 -122.4588
45.000000 81.534 -123.2221
45.500000 81.609 -123.6605
46.200001 81.746 -124.2920
46.799999 81.844 -125.0155
47.500000 81.891 -125.5929
48.200001 81.962 -125.3290
48.700001 82.116 -124.9299
49.400002 82.444 -125.2187
50.000000 82.668 -126.6204
50.799999 82.718 -128.8993
51.500000 82.624 -129.9197
52.200001 82.586 -130.1442
53.000000 82.643 -130.5206
53.799999 82.701 -131.2703
54.500000 82.741 -131.8965
55.200001 82.806 -132.4895
56.000000 82.905 -133.3763
57.000000 82.995 -134.7017
58.000000 83.057 -135.6725
59.000000 83.172 -136.3739
60.000000 83.312 -137.2936
60.799999 83.398 -138.1208
61.500000 83.455 -138.7698
62.200001 83.511 -139.3514
63.000000 83.577 -140.0572
64.000000 83.635 -141.0665
65.000000 83.666 -141.9950
66.000000 83.709 -142.9270
67.000000 83.730 -144.0056
68.000000 83.733 -144.8291
69.000000 83.787 -145.5347
70.000000 83.852 -146.5127
71.000000 83.882 -147.4769
72.000000 83.908 -148.2415
73.000000 83.947 -148.9374
74.000000 84.001 -149.6776
75.000000 84.055 -150.5856
76.199997 84.091 -151.7605
77.500000 84.120 -152.9048
78.800003 84.148 -153.9752
80.000000 84.174 -154.8206
81.199997 84.211 -155.6121
82.500000 84.248 -156.6165
83.800003 84.236 -157.7142
85.000000 84.207 -158.4969
86.199997 84.203 -159.2009
87.500000 84.215 -159.9808
88.500000 84.229 -160.6076
90.000000 84.233 -161.5908
91.199997 84.212 -162.3110
92.500000 84.184 -162.9908
93.800003 84.165 -163.7122
95.000000 84.147 -164.4211
96.199997 84.132 -165.0811
97.500000 84.128 -165.6929
98.800003 84.145 -166.2585
100.000000 84.156 -166.9809
101.500000 84.098 -167.9129
103.000000 84.020 -168.5615
104.400002 83.968 -169.1749
106.000000 83.919 -169.9467
107.500000 83.882 -170.6076
109.000000 83.861 -171.2236
110.599998 83.833 -171.9073
112.000000 83.797 -172.4631
113.800003 83.753 -173.1130
115.000000 83.729 -173.5642
117.199997 83.678 -174.4154
118.000000 83.655 -174.6794
120.599998 83.599 -175.4631
122.000000 83.566 -175.9405
124.099998 83.498 -176.6058
125.000000 83.468 -176.8555
126.500000 83.424 -177.2551
128.000000 83.386 -177.6685
131.500000 83.297 -178.6272
132.000000 83.283 -178.7532
134.000000 83.220 -179.2177
136.000000 83.151 -179.6129
138.000000 83.091 -179.9876
140.000000 83.043 179.5721
143.000000 82.959 178.9059
145.000000 82.891 178.5452
147.500000 82.803 178.0806
150.000000 82.722 177.6367
152.500000 82.668 177.2586
155.000000 82.617 176.8993
157.500000 82.550 176.5845
160.000000 82.478 176.2933
162.500000 82.407 175.9714
165.000000 82.341 175.6267
167.500000 82.278 175.2968
170.000000 82.220 175.0437
172.500000 82.159 174.8368
175.000000 82.095 174.6102
177.500000 82.032 174.3855
180.000000 81.975 174.2328
182.500000 81.919 174.0898
185.000000 81.858 173.8678
187.500000 81.795 173.6369
190.000000 81.734 173.5291
192.500000 81.674 173.4988
195.000000 81.619 173.3992
197.500000 81.578 173.2085
200.000000 81.537 173.0630
203.000000 81.468 173.0474
206.000000 81.381 172.9868
209.000000 81.307 172.9119
212.000000 81.271 172.8430
214.000000 81.244 172.7375
218.000000 81.147 172.5446
220.000000 81.096 172.5506
224.000000 81.024 172.6495
227.000000 80.979 172.5910
230.000000 80.922 172.4566
233.000000 80.861 172.3609
236.000000 80.802 172.2690
240.000000 80.727 172.1859
243.000000 80.674 172.1881
247.000000 80.604 172.2411
250.000000 80.551 172.3011
254.000000 80.482 172.3889
258.000000 80.414 172.4480
262.000000 80.357 172.4852
265.000000 80.316 172.4998
269.000000 80.243 172.5290
272.000000 80.182 172.5678
276.000000 80.114 172.6714
280.000000 80.062 172.8740
285.000000 79.977 173.0616
290.000000 79.880 173.1915
295.000000 79.811 173.4100
