* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 9:36:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 100ohm Fiber - L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 60.018 -134.0022
1.015000 60.105 -134.8676
1.030000 60.186 -135.6962
1.044000 60.257 -136.4392
1.060000 60.333 -137.2560
1.075000 60.398 -137.9935
1.090000 60.459 -138.7070
1.106000 60.518 -139.4453
1.120000 60.567 -140.0749
1.138000 60.624 -140.8662
1.150000 60.659 -141.3849
1.172000 60.718 -142.3237
1.180000 60.738 -142.6626
1.206000 60.798 -143.7635
1.220000 60.827 -144.3599
1.241000 60.867 -145.2663
1.250000 60.883 -145.6610
1.265000 60.908 -146.3297
1.280000 60.933 -147.0146
1.315000 60.986 -148.6941
1.320000 60.993 -148.9450
1.340000 61.023 -149.9809
1.360000 61.052 -151.0664
1.380000 61.078 -152.1823
1.400000 61.101 -153.3249
1.430000 61.130 -155.0837
1.450000 61.146 -156.2825
1.475000 61.161 -157.8062
1.500000 61.170 -159.3535
1.525000 61.175 -160.9194
1.550000 61.173 -162.4993
1.575000 61.166 -164.0882
1.600000 61.153 -165.6813
1.625000 61.133 -167.2738
1.650000 61.108 -168.8609
1.675000 61.075 -170.4378
1.700000 61.036 -171.9987
1.725000 60.990 -173.5415
1.750000 60.938 -175.0720
1.775000 60.879 -176.5967
1.800000 60.814 -178.1216
1.825000 60.744 -179.6531
1.850000 60.667 178.8026
1.875000 60.585 177.2392
1.900000 60.498 175.6505
1.925000 60.405 174.0302
1.950000 60.308 172.3721
1.975000 60.206 170.6699
2.000000 60.099 168.9173
2.030000 59.965 166.7451
2.060000 59.820 164.5498
2.090000 59.666 162.3358
2.120000 59.502 160.0908
2.140000 59.389 158.5708
2.180000 59.153 155.4584
2.200000 59.031 153.8586
2.240000 58.782 150.5536
2.270000 58.592 147.9682
2.300000 58.400 145.2776
2.330000 58.207 142.4695
2.360000 58.015 139.5316
2.400000 57.741 135.4229
2.430000 57.519 132.2120
2.470000 57.212 127.7717
2.500000 56.979 124.3316
2.540000 56.671 119.6118
2.580000 56.377 114.7556
2.620000 56.108 109.7800
2.650000 55.929 105.9801
2.690000 55.728 100.8364
2.720000 55.602 96.8640
2.760000 55.450 91.3183
2.800000 55.321 85.5629
2.850000 55.193 78.1990
2.900000 55.107 70.7967
2.950000 55.070 63.5166
3.000000 55.085 56.5194
3.040000 55.140 51.2183
3.070000 55.217 47.3127
3.110000 55.363 42.1487
3.150000 55.549 37.0680
3.200000 55.821 30.8901
3.250000 56.116 24.9712
3.300000 56.412 19.3831
3.350000 56.684 14.1971
3.400000 56.930 9.4672
3.450000 57.182 5.1541
3.500000 57.436 1.2034
3.550000 57.686 -2.4379
3.600000 57.926 -5.8228
3.650000 58.150 -9.0043
3.700000 58.350 -12.0353
3.750000 58.526 -14.8828
3.820000 58.744 -18.4647
3.870000 58.881 -20.7650
3.950000 59.074 -24.0610
4.000000 59.180 -25.9160
4.060000 59.295 -27.9628
4.120000 59.385 -29.7535
4.180000 59.454 -31.2930
4.250000 59.521 -32.8110
4.310000 59.575 -33.9078
4.370000 59.635 -34.8470
4.440000 59.706 -35.6952
4.500000 59.761 -36.1792
4.550000 59.807 -36.4511
4.620000 59.880 -36.6926
4.680000 59.957 -36.8275
4.750000 60.073 -36.9297
4.820000 60.207 -36.8501
4.870000 60.313 -36.7169
4.940000 60.474 -36.4949
5.000000 60.624 -36.3347
5.080000 60.841 -36.2456
5.150000 61.054 -36.1973
5.220000 61.283 -36.1794
5.300000 61.552 -36.2433
5.380000 61.816 -36.4492
5.450000 62.045 -36.7700
5.520000 62.277 -37.1987
5.600000 62.541 -37.7929
5.700000 62.853 -38.6434
5.800000 63.139 -39.6090
5.900000 63.407 -40.7209
6.000000 63.655 -41.8866
6.080000 63.839 -42.7982
6.150000 63.988 -43.6064
6.220000 64.126 -44.4253
6.300000 64.275 -45.3495
6.400000 64.455 -46.4453
6.500000 64.625 -47.4642
6.600000 64.785 -48.4309
6.700000 64.945 -49.3589
6.800000 65.112 -50.2448
6.900000 65.281 -51.0747
7.000000 65.453 -51.9007
7.100000 65.632 -52.7717
7.200000 65.821 -53.6578
7.300000 66.014 -54.5795
7.400000 66.204 -55.5804
7.500000 66.393 -56.6772
7.620000 66.619 -58.0930
7.750000 66.844 -59.7349
7.880000 67.046 -61.5211
8.000000 67.211 -63.2463
8.120000 67.342 -64.9579
8.250000 67.450 -66.8506
8.380000 67.523 -68.6553
8.500000 67.555 -70.1552
8.620000 67.555 -71.5382
8.750000 67.534 -72.7527
8.850000 67.501 -73.4504
9.000000 67.432 -74.1473
9.120000 67.391 -74.3439
9.250000 67.351 -74.1525
9.380000 67.340 -73.6562
9.500000 67.380 -72.9908
9.620000 67.458 -72.0792
9.750000 67.594 -71.0579
9.880000 67.792 -70.0779
10.000000 68.022 -69.1976
10.150000 68.344 -68.3818
10.300000 68.713 -67.8687
10.440000 69.065 -67.6730
10.600000 69.466 -67.8359
10.750000 69.831 -68.2721
10.900000 70.170 -68.9302
11.060000 70.505 -69.8472
11.200000 70.770 -70.7274
11.380000 71.074 -71.9813
11.500000 71.256 -72.8231
11.720000 71.546 -74.3910
11.800000 71.641 -74.9454
12.060000 71.906 -76.6906
12.200000 72.028 -77.5688
12.410000 72.185 -78.8005
12.500000 72.245 -79.2880
12.650000 72.334 -80.0485
12.800000 72.416 -80.7393
13.150000 72.584 -82.0745
13.200000 72.607 -82.2366
13.400000 72.698 -82.8246
13.600000 72.793 -83.3604
13.800000 72.891 -83.8650
14.000000 72.990 -84.3839
14.300000 73.128 -85.2050
14.500000 73.208 -85.7582
14.750000 73.286 -86.4102
15.000000 73.346 -86.8930
15.250000 73.403 -87.1430
15.500000 73.476 -87.1450
15.750000 73.589 -86.9501
16.000000 73.757 -86.7532
16.250000 73.968 -86.7161
16.500000 74.209 -86.9647
16.750000 74.449 -87.5771
17.000000 74.659 -88.4642
17.250000 74.826 -89.4865
17.500000 74.947 -90.4948
17.750000 75.032 -91.3102
18.000000 75.105 -91.8566
18.250000 75.185 -92.1571
18.500000 75.290 -92.2728
18.750000 75.428 -92.3503
19.000000 75.591 -92.5139
19.250000 75.764 -92.8152
19.500000 75.935 -93.2758
19.750000 76.090 -93.8467
20.000000 76.228 -94.4587
20.299999 76.374 -95.1902
20.600000 76.508 -95.8881
20.900000 76.634 -96.5766
21.200001 76.751 -97.2983
21.400000 76.821 -97.8057
21.799999 76.930 -98.8055
22.000000 76.970 -99.2484
22.400000 77.039 -99.9390
22.700001 77.099 -100.2866
23.000000 77.177 -100.5723
23.299999 77.273 -100.8982
23.600000 77.373 -101.3269
24.000000 77.485 -101.9935
24.299999 77.547 -102.4003
24.700001 77.629 -102.5926
25.000000 77.726 -102.4803
25.400000 77.939 -102.2695
25.799999 78.229 -102.4791
26.200001 78.514 -103.3784
26.500000 78.675 -104.3851
26.900000 78.795 -105.7165
27.200001 78.831 -106.4092
27.600000 78.872 -106.7474
28.000000 78.967 -106.6234
28.500000 79.183 -106.5070
29.000000 79.423 -106.8817
29.500000 79.627 -107.5016
30.000000 79.833 -108.1173
30.400000 80.026 -108.8494
30.700001 80.168 -109.7479
31.100000 80.298 -111.4778
31.500000 80.302 -113.4885
32.000000 80.119 -115.3865
32.500000 79.855 -115.6783
33.000000 79.740 -114.6005
33.500000 79.875 -113.4254
34.000000 80.142 -113.2019
34.500000 80.388 -113.8863
35.000000 80.568 -114.8268
35.500000 80.723 -115.6517
36.000000 80.882 -116.4568
36.500000 81.026 -117.3831
37.000000 81.126 -118.2930
37.500000 81.197 -118.9331
38.200001 81.321 -119.4194
38.700001 81.435 -119.8357
39.500000 81.561 -120.7571
40.000000 81.603 -121.0786
40.599998 81.706 -121.1514
41.200001 81.887 -121.5563
41.799999 82.047 -122.6799
42.500000 82.105 -124.1674
43.099998 82.111 -124.8762
43.700001 82.173 -125.2340
44.400002 82.298 -125.8079
45.000000 82.397 -126.4097
45.500000 82.475 -126.8085
46.200001 82.616 -127.2269
46.799999 82.778 -127.7654
47.500000 82.953 -129.0455
48.200001 82.982 -130.8109
48.700001 82.887 -131.6757
49.400002 82.744 -131.5224
50.000000 82.792 -130.7263
50.799999 83.071 -130.7668
51.500000 83.269 -132.1698
52.200001 83.348 -133.8220
53.000000 83.378 -135.4233
53.799999 83.380 -136.7031
54.500000 83.385 -137.3841
55.200001 83.447 -137.7600
56.000000 83.592 -138.3486
57.000000 83.754 -139.7419
58.000000 83.788 -141.0271
59.000000 83.832 -141.5515
60.000000 83.947 -142.2914
60.799999 84.005 -143.1396
61.500000 84.034 -143.7654
62.200001 84.074 -144.2910
63.000000 84.138 -144.9035
64.000000 84.237 -145.8418
65.000000 84.316 -147.0770
66.000000 84.334 -148.2737
67.000000 84.342 -149.1439
68.000000 84.377 -149.9407
69.000000 84.414 -150.8566
70.000000 84.438 -151.7850
71.000000 84.463 -152.6601
72.000000 84.494 -153.5948
73.000000 84.507 -154.5760
74.000000 84.505 -155.4405
75.000000 84.507 -156.1790
76.199997 84.522 -156.9884
77.500000 84.551 -157.9424
78.800003 84.553 -158.9933
80.000000 84.541 -159.8129
81.199997 84.538 -160.6683
82.500000 84.515 -161.5741
83.800003 84.512 -162.3721
85.000000 84.521 -163.2045
86.199997 84.526 -164.0058
87.500000 84.543 -164.7832
88.500000 84.559 -165.3844
90.000000 84.561 -166.3026
91.199997 84.538 -166.9754
92.500000 84.498 -167.6606
93.800003 84.455 -168.3993
95.000000 84.411 -169.2027
96.199997 84.364 -170.0256
97.500000 84.327 -170.9503
98.800003 84.277 -171.8738
100.000000 84.224 -172.3730
101.500000 84.219 -172.7279
103.000000 84.224 -173.2958
104.400002 84.196 -173.8164
106.000000 84.151 -174.3831
107.500000 84.097 -174.9408
109.000000 84.040 -175.4951
110.599998 83.982 -176.0594
112.000000 83.936 -176.5389
113.800003 83.881 -177.1233
115.000000 83.850 -177.5023
117.199997 83.798 -178.1999
118.000000 83.781 -178.4491
120.599998 83.716 -179.4223
122.000000 83.654 -179.9175
124.099998 83.561 179.5026
125.000000 83.527 179.2793
126.500000 83.479 178.9291
128.000000 83.442 178.5459
131.500000 83.319 177.7220
132.000000 83.301 177.6570
134.000000 83.249 177.4003
136.000000 83.208 177.0715
138.000000 83.159 176.6919
140.000000 83.094 176.3305
143.000000 82.989 175.9185
145.000000 82.929 175.6289
147.500000 82.851 175.2777
150.000000 82.789 174.9496
152.500000 82.736 174.4600
155.000000 82.663 173.9536
157.500000 82.588 173.6029
160.000000 82.523 173.3363
162.500000 82.458 173.1074
165.000000 82.389 172.9158
167.500000 82.319 172.6965
170.000000 82.251 172.5057
172.500000 82.188 172.3697
175.000000 82.123 172.2473
177.500000 82.060 172.1063
180.000000 82.004 171.9147
182.500000 81.949 171.7004
185.000000 81.894 171.5191
187.500000 81.846 171.3975
190.000000 81.797 171.2545
192.500000 81.728 171.0923
195.000000 81.667 170.9733
197.500000 81.637 170.8518
200.000000 81.598 170.7336
203.000000 81.502 170.8079
206.000000 81.415 170.8600
209.000000 81.348 170.7061
212.000000 81.294 170.6194
214.000000 81.263 170.5922
218.000000 81.185 170.5594
220.000000 81.133 170.5715
224.000000 81.024 170.6070
227.000000 80.960 170.5691
230.000000 80.896 170.5260
233.000000 80.825 170.5105
236.000000 80.752 170.5046
240.000000 80.655 170.5461
243.000000 80.587 170.6180
247.000000 80.504 170.6765
250.000000 80.437 170.7245
254.000000 80.356 170.7692
258.000000 80.282 170.8253
262.000000 80.200 170.9756
265.000000 80.144 171.0920
269.000000 80.070 171.2611
272.000000 80.004 171.4847
276.000000 79.914 171.7971
280.000000 79.830 172.1294
285.000000 79.726 172.7109
290.000000 79.633 173.1151
295.000000 79.542 173.3348
