* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 9:34:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 100ohm Fiber - R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.441 147.8207
1.015000 45.496 146.5796
1.030000 45.549 145.3190
1.044000 45.596 144.1226
1.060000 45.647 142.7328
1.075000 45.693 141.4090
1.090000 45.738 140.0662
1.106000 45.784 138.6137
1.120000 45.823 137.3268
1.138000 45.873 135.6515
1.150000 45.906 134.5224
1.172000 45.967 132.4290
1.180000 45.989 131.6607
1.206000 46.062 129.1402
1.220000 46.103 127.7693
1.241000 46.167 125.6972
1.250000 46.195 124.8039
1.265000 46.244 123.3088
1.280000 46.295 121.8068
1.315000 46.426 118.2805
1.320000 46.446 117.7747
1.340000 46.530 115.7485
1.360000 46.620 113.7078
1.380000 46.714 111.6268
1.400000 46.811 109.5089
1.430000 46.963 106.2747
1.450000 47.068 104.0882
1.475000 47.204 101.3303
1.500000 47.345 98.5546
1.525000 47.490 95.7717
1.550000 47.639 92.9920
1.575000 47.792 90.2259
1.600000 47.949 87.4840
1.625000 48.109 84.7767
1.650000 48.273 82.1146
1.675000 48.440 79.5080
1.700000 48.610 76.9516
1.725000 48.788 74.4076
1.750000 48.971 71.8766
1.775000 49.160 69.3619
1.800000 49.353 66.8668
1.825000 49.549 64.3945
1.850000 49.749 61.9484
1.875000 49.950 59.5316
1.900000 50.153 57.1475
1.925000 50.357 54.7992
1.950000 50.559 52.4901
1.975000 50.761 50.2234
2.000000 50.961 48.0025
2.030000 51.198 45.4012
2.060000 51.437 42.8629
2.090000 51.678 40.3829
2.120000 51.921 37.9591
2.140000 52.084 36.3732
2.180000 52.408 33.2704
2.200000 52.570 31.7521
2.240000 52.891 28.7782
2.270000 53.129 26.5999
2.300000 53.363 24.4639
2.330000 53.592 22.3676
2.360000 53.816 20.3091
2.400000 54.110 17.6412
2.430000 54.328 15.7014
2.470000 54.613 13.1898
2.500000 54.824 11.3578
2.540000 55.101 8.9776
2.580000 55.371 6.6613
2.620000 55.636 4.4009
2.650000 55.830 2.7375
2.690000 56.082 0.5554
2.720000 56.267 -1.0483
2.760000 56.508 -3.1270
2.800000 56.742 -5.1427
2.850000 57.026 -7.5836
2.900000 57.300 -9.9481
2.950000 57.566 -12.2485
3.000000 57.822 -14.4968
3.040000 58.020 -16.2648
3.070000 58.165 -17.5653
3.110000 58.353 -19.2614
3.150000 58.535 -20.9167
3.200000 58.754 -22.9330
3.250000 58.964 -24.8953
3.300000 59.166 -26.8091
3.350000 59.359 -28.6797
3.400000 59.544 -30.5078
3.450000 59.720 -32.2841
3.500000 59.887 -34.0106
3.550000 60.046 -35.6901
3.600000 60.196 -37.3256
3.650000 60.338 -38.9196
3.700000 60.472 -40.4751
3.750000 60.597 -41.9946
3.820000 60.758 -44.0578
3.870000 60.864 -45.4811
3.950000 61.015 -47.6617
4.000000 61.099 -48.9589
4.060000 61.189 -50.4454
4.120000 61.266 -51.8727
4.180000 61.330 -53.2352
4.250000 61.392 -54.7252
4.310000 61.434 -55.9022
4.370000 61.467 -56.9732
4.440000 61.491 -58.1044
4.500000 61.497 -58.9856
4.550000 61.496 -59.6445
4.620000 61.488 -60.4318
4.680000 61.479 -60.9625
4.750000 61.466 -61.3958
4.820000 61.441 -61.6456
4.870000 61.419 -61.7171
4.940000 61.393 -61.6725
5.000000 61.381 -61.5044
5.080000 61.389 -61.0881
5.150000 61.406 -60.4843
5.220000 61.435 -59.7078
5.300000 61.494 -58.7030
5.380000 61.594 -57.6780
5.450000 61.720 -56.7338
5.520000 61.877 -55.6852
5.600000 62.087 -54.4751
5.700000 62.387 -53.1440
5.800000 62.732 -52.1180
5.900000 63.129 -51.2742
6.000000 63.542 -50.6974
6.080000 63.864 -50.4895
6.150000 64.150 -50.5043
6.220000 64.438 -50.6768
6.300000 64.761 -51.0331
6.400000 65.137 -51.6595
6.500000 65.484 -52.5315
6.600000 65.807 -53.6299
6.700000 66.098 -54.8359
6.800000 66.352 -56.0931
6.900000 66.572 -57.4685
7.000000 66.761 -58.8724
7.100000 66.920 -60.2161
7.200000 67.046 -61.5469
7.300000 67.144 -62.8384
7.400000 67.223 -64.0261
7.500000 67.280 -65.0959
7.620000 67.321 -66.2527
7.750000 67.353 -67.3215
7.880000 67.373 -68.1669
8.000000 67.385 -68.7911
8.120000 67.404 -69.3212
8.250000 67.430 -69.7520
8.380000 67.463 -70.1237
8.500000 67.503 -70.4829
8.620000 67.551 -70.8276
8.750000 67.601 -71.2422
8.850000 67.636 -71.6163
9.000000 67.685 -72.2299
9.120000 67.708 -72.7313
9.250000 67.717 -73.3143
9.380000 67.710 -73.8605
9.500000 67.686 -74.2649
9.620000 67.646 -74.6042
9.750000 67.598 -74.8214
9.880000 67.547 -74.8329
10.000000 67.498 -74.6917
10.150000 67.465 -74.3287
10.300000 67.459 -73.7251
10.440000 67.491 -73.1113
10.600000 67.583 -72.3734
10.750000 67.710 -71.7584
10.900000 67.874 -71.3621
11.060000 68.079 -71.1504
11.200000 68.261 -71.2196
11.380000 68.499 -71.6182
11.500000 68.644 -72.0111
11.720000 68.881 -73.0043
11.800000 68.956 -73.3761
12.060000 69.161 -74.6305
12.200000 69.258 -75.2217
12.410000 69.390 -75.9889
12.500000 69.449 -76.2687
12.650000 69.552 -76.6612
12.800000 69.662 -77.0208
13.150000 69.959 -77.8206
13.200000 70.005 -77.9485
13.400000 70.189 -78.4885
13.600000 70.365 -79.0699
13.800000 70.533 -79.6457
14.000000 70.688 -80.1384
14.300000 70.920 -80.5924
14.500000 71.092 -80.7081
14.750000 71.349 -80.6854
15.000000 71.665 -80.7424
15.250000 72.017 -81.0886
15.500000 72.378 -81.8608
15.750000 72.703 -83.1154
16.000000 72.952 -84.6559
16.250000 73.115 -86.2200
16.500000 73.193 -87.5464
16.750000 73.213 -88.3357
17.000000 73.232 -88.4849
17.250000 73.296 -88.1282
17.500000 73.440 -87.4814
17.750000 73.680 -86.9543
18.000000 73.973 -86.8901
18.250000 74.274 -87.3876
18.500000 74.539 -88.4523
18.750000 74.727 -89.8770
19.000000 74.831 -91.3473
19.250000 74.864 -92.6353
19.500000 74.846 -93.5425
19.750000 74.818 -93.9678
20.000000 74.819 -94.0233
20.299999 74.886 -93.8289
20.600000 75.028 -93.6946
20.900000 75.215 -93.8954
21.200001 75.402 -94.5016
21.400000 75.506 -95.0683
21.799999 75.657 -96.2723
22.000000 75.709 -96.7833
22.400000 75.802 -97.4985
22.700001 75.892 -97.8075
23.000000 76.013 -98.0710
23.299999 76.158 -98.4365
23.600000 76.305 -98.9864
24.000000 76.464 -99.9424
24.299999 76.541 -100.6447
24.700001 76.597 -101.2621
25.000000 76.636 -101.3796
25.400000 76.730 -101.1643
25.799999 76.898 -100.8920
26.200001 77.109 -100.9520
26.500000 77.259 -101.2848
26.900000 77.411 -101.9200
27.200001 77.489 -102.3431
27.600000 77.579 -102.6471
28.000000 77.703 -102.7455
28.500000 77.926 -103.1261
29.000000 78.139 -104.2723
29.500000 78.235 -105.8562
30.000000 78.221 -106.9781
30.400000 78.211 -107.2565
30.700001 78.249 -107.2516
31.100000 78.373 -107.3387
31.500000 78.534 -107.8710
32.000000 78.686 -109.1138
32.500000 78.730 -110.3480
33.000000 78.727 -110.9006
33.500000 78.784 -110.7671
34.000000 78.952 -110.5347
34.500000 79.189 -110.7597
35.000000 79.410 -111.5563
35.500000 79.556 -112.6224
36.000000 79.632 -113.5061
36.500000 79.688 -113.9459
37.000000 79.781 -114.0783
37.500000 79.925 -114.2845
38.200001 80.129 -115.0356
38.700001 80.236 -115.6395
39.500000 80.419 -116.2577
40.000000 80.573 -116.7292
40.599998 80.741 -117.6454
41.200001 80.848 -118.5237
41.799999 80.952 -118.9682
42.500000 81.154 -119.4292
43.099998 81.329 -120.3567
43.700001 81.412 -121.4806
44.400002 81.437 -122.2349
45.000000 81.493 -122.5183
45.500000 81.564 -122.8964
46.200001 81.630 -123.6781
46.799999 81.664 -124.2031
47.500000 81.763 -124.8133
48.200001 81.874 -126.1929
48.700001 81.866 -127.4803
49.400002 81.742 -128.4890
50.000000 81.701 -128.2775
50.799999 81.899 -128.0132
51.500000 82.123 -128.8505
52.200001 82.255 -129.9270
53.000000 82.389 -130.6937
53.799999 82.545 -131.4724
54.500000 82.643 -132.2051
55.200001 82.719 -132.7250
56.000000 82.815 -133.2498
57.000000 82.920 -134.0369
58.000000 83.017 -134.8959
59.000000 83.094 -135.9606
60.000000 83.165 -136.8413
60.799999 83.272 -137.5773
61.500000 83.369 -138.5154
62.200001 83.425 -139.5327
63.000000 83.463 -140.4003
64.000000 83.551 -141.2152
65.000000 83.641 -142.2445
66.000000 83.685 -143.1129
67.000000 83.756 -143.7503
68.000000 83.838 -144.6208
69.000000 83.881 -145.5300
70.000000 83.920 -146.2589
71.000000 83.975 -147.0242
72.000000 84.016 -147.9241
73.000000 84.028 -148.7963
74.000000 84.036 -149.5344
75.000000 84.058 -150.2806
76.199997 84.080 -151.2451
77.500000 84.108 -152.2554
78.800003 84.140 -153.2844
80.000000 84.161 -154.1765
81.199997 84.179 -154.9841
82.500000 84.201 -155.7849
83.800003 84.235 -156.6573
85.000000 84.255 -157.5763
86.199997 84.264 -158.5025
87.500000 84.268 -159.4423
88.500000 84.275 -160.1466
90.000000 84.273 -161.2229
91.199997 84.255 -162.0051
92.500000 84.241 -162.7172
93.800003 84.245 -163.4741
95.000000 84.244 -164.2275
96.199997 84.239 -164.9158
97.500000 84.234 -165.5441
98.800003 84.250 -166.1078
100.000000 84.262 -166.8620
101.500000 84.202 -167.8729
103.000000 84.119 -168.5806
104.400002 84.061 -169.1837
106.000000 84.020 -169.8885
107.500000 84.001 -170.6458
109.000000 83.974 -171.4495
110.599998 83.932 -172.2219
112.000000 83.897 -172.8146
113.800003 83.857 -173.5717
115.000000 83.828 -174.0884
117.199997 83.753 -174.9003
118.000000 83.726 -175.1091
120.599998 83.682 -175.8182
122.000000 83.660 -176.4362
124.099998 83.580 -177.3218
125.000000 83.542 -177.5944
126.500000 83.486 -177.9520
128.000000 83.442 -178.3067
131.500000 83.341 -179.4174
132.000000 83.328 -179.5799
134.000000 83.290 179.7628
136.000000 83.243 179.1714
138.000000 83.175 178.8044
140.000000 83.109 178.5040
143.000000 82.992 177.8402
145.000000 82.921 177.4141
147.500000 82.846 176.9050
150.000000 82.768 176.4077
152.500000 82.681 175.9780
155.000000 82.600 175.5847
157.500000 82.517 175.1420
160.000000 82.426 174.7109
162.500000 82.342 174.3560
165.000000 82.265 174.0472
167.500000 82.181 173.8208
170.000000 82.095 173.6520
172.500000 82.011 173.4663
175.000000 81.929 173.2334
177.500000 81.852 173.0137
180.000000 81.778 172.8256
182.500000 81.703 172.6774
185.000000 81.634 172.5607
187.500000 81.572 172.4634
190.000000 81.508 172.3983
192.500000 81.438 172.3206
195.000000 81.378 172.1498
197.500000 81.337 171.9435
200.000000 81.296 171.8737
203.000000 81.218 172.0530
206.000000 81.131 172.2423
209.000000 81.052 172.3038
212.000000 80.976 172.3892
214.000000 80.920 172.4659
218.000000 80.820 172.6364
220.000000 80.781 172.6608
224.000000 80.696 172.5217
227.000000 80.634 172.4437
230.000000 80.590 172.4796
233.000000 80.547 172.5887
236.000000 80.493 172.7193
240.000000 80.422 172.8997
243.000000 80.385 172.9659
247.000000 80.345 172.9033
250.000000 80.303 172.8315
254.000000 80.222 172.9541
258.000000 80.139 173.1564
262.000000 80.056 173.2251
265.000000 80.001 173.3480
269.000000 79.949 173.6348
272.000000 79.912 173.7971
276.000000 79.863 173.9214
280.000000 79.812 174.0399
285.000000 79.762 174.2719
290.000000 79.714 174.5222
295.000000 79.676 174.7101
300.000000 79.645 174.8892
