* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 9:51:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 150ohm Big LCP - R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 42.700 74.3806
1.015000 42.715 72.8182
1.030000 42.733 71.3083
1.044000 42.751 69.9384
1.060000 42.775 68.4165
1.075000 42.799 67.0295
1.090000 42.825 65.6783
1.106000 42.855 64.2739
1.120000 42.883 63.0737
1.138000 42.921 61.5666
1.150000 42.947 60.5824
1.172000 42.998 58.8157
1.180000 43.018 58.1842
1.206000 43.083 56.1655
1.220000 43.120 55.0967
1.241000 43.177 53.5115
1.250000 43.202 52.8374
1.265000 43.244 51.7187
1.280000 43.287 50.6040
1.315000 43.391 48.0041
1.320000 43.406 47.6314
1.340000 43.467 46.1340
1.360000 43.529 44.6234
1.380000 43.592 43.1051
1.400000 43.657 41.5841
1.430000 43.758 39.3083
1.450000 43.827 37.8020
1.475000 43.917 35.9400
1.500000 44.009 34.1101
1.525000 44.104 32.3219
1.550000 44.202 30.5848
1.575000 44.303 28.9084
1.600000 44.408 27.3023
1.625000 44.516 25.7759
1.650000 44.626 24.3387
1.675000 44.741 23.0005
1.700000 44.858 21.7694
1.725000 44.978 20.6428
1.750000 45.100 19.6111
1.775000 45.226 18.6648
1.800000 45.354 17.7943
1.825000 45.485 16.9900
1.850000 45.620 16.2424
1.875000 45.758 15.5419
1.900000 45.900 14.8789
1.925000 46.046 14.2440
1.950000 46.197 13.6275
1.975000 46.351 13.0199
2.000000 46.510 12.4116
2.030000 46.708 11.6743
2.060000 46.912 10.9891
2.090000 47.124 10.3648
2.120000 47.342 9.7913
2.140000 47.491 9.4320
2.180000 47.796 8.7551
2.200000 47.952 8.4315
2.240000 48.269 7.7984
2.270000 48.512 7.3242
2.300000 48.758 6.8389
2.330000 49.006 6.3324
2.360000 49.257 5.7950
2.400000 49.600 5.0740
2.430000 49.865 4.5428
2.470000 50.227 3.8394
2.500000 50.502 3.3099
2.540000 50.873 2.5932
2.580000 51.245 1.8552
2.620000 51.616 1.0857
2.650000 51.891 0.4820
2.690000 52.253 -0.3667
2.720000 52.522 -1.0330
2.760000 52.883 -1.9468
2.800000 53.244 -2.8908
2.850000 53.694 -4.1147
2.900000 54.139 -5.3895
2.950000 54.575 -6.7175
3.000000 55.000 -8.1008
3.040000 55.329 -9.2498
3.070000 55.572 -10.1457
3.110000 55.891 -11.3847
3.150000 56.204 -12.6654
3.200000 56.587 -14.3104
3.250000 56.959 -15.9865
3.300000 57.319 -17.6747
3.350000 57.665 -19.3562
3.400000 57.998 -21.0252
3.450000 58.320 -22.7081
3.500000 58.629 -24.4040
3.550000 58.926 -26.1096
3.600000 59.210 -27.8220
3.650000 59.482 -29.5382
3.700000 59.742 -31.2550
3.750000 59.989 -32.9844
3.820000 60.313 -35.4360
3.870000 60.529 -37.1925
3.950000 60.851 -39.9780
4.000000 61.036 -41.6844
4.060000 61.243 -43.6807
4.120000 61.432 -45.6460
4.180000 61.604 -47.5824
4.250000 61.782 -49.7939
4.310000 61.918 -51.6391
4.370000 62.038 -53.4291
4.440000 62.157 -55.4637
4.500000 62.240 -57.1705
4.550000 62.297 -58.5534
4.620000 62.360 -60.4088
4.680000 62.398 -61.9056
4.750000 62.425 -63.5323
4.820000 62.430 -65.0694
4.870000 62.421 -66.1020
4.940000 62.394 -67.4342
5.000000 62.359 -68.4517
5.080000 62.296 -69.6080
5.150000 62.220 -70.4738
5.220000 62.128 -71.1882
5.300000 62.012 -71.7785
5.380000 61.893 -72.0825
5.450000 61.781 -72.1058
5.520000 61.657 -71.9245
5.600000 61.515 -71.4636
5.700000 61.364 -70.5009
5.800000 61.248 -69.0489
5.900000 61.152 -67.1069
6.000000 61.110 -64.8739
6.080000 61.138 -62.9985
6.150000 61.205 -61.1838
6.220000 61.306 -59.2421
6.300000 61.462 -57.0058
6.400000 61.718 -54.4183
6.500000 62.058 -52.0122
6.600000 62.466 -49.7479
6.700000 62.909 -47.8068
6.800000 63.368 -46.3122
6.900000 63.865 -45.1855
7.000000 64.370 -44.4027
7.100000 64.857 -43.9530
7.200000 65.337 -43.8798
7.300000 65.806 -44.1205
7.400000 66.249 -44.5823
7.500000 66.662 -45.2724
7.620000 67.126 -46.4140
7.750000 67.577 -47.8616
7.880000 67.973 -49.5282
8.000000 68.290 -51.2234
8.120000 68.560 -52.9391
8.250000 68.798 -54.8765
8.380000 68.985 -56.7869
8.500000 69.113 -58.4447
8.620000 69.198 -60.0396
8.750000 69.256 -61.5703
8.850000 69.275 -62.5827
9.000000 69.270 -63.8537
9.120000 69.260 -64.5896
9.250000 69.236 -65.0809
9.380000 69.219 -65.3205
9.500000 69.232 -65.3418
9.620000 69.262 -65.1432
9.750000 69.331 -64.8696
9.880000 69.448 -64.5795
10.000000 69.591 -64.3034
10.150000 69.803 -64.2037
10.300000 70.062 -64.3508
10.440000 70.311 -64.7815
10.600000 70.600 -65.6919
10.750000 70.858 -66.8708
10.900000 71.083 -68.3480
11.060000 71.290 -70.1964
11.200000 71.429 -71.9222
11.380000 71.554 -74.2961
11.500000 71.603 -75.8424
11.720000 71.622 -78.6239
11.800000 71.612 -79.5469
12.060000 71.515 -82.2259
12.200000 71.441 -83.3722
12.410000 71.310 -84.6950
12.500000 71.258 -85.1094
12.650000 71.173 -85.5875
12.800000 71.106 -85.8667
13.150000 71.050 -85.8560
13.200000 71.056 -85.8114
13.400000 71.113 -85.5588
13.600000 71.219 -85.3468
13.800000 71.367 -85.2083
14.000000 71.545 -85.2274
14.300000 71.838 -85.5563
14.500000 72.036 -85.9556
14.750000 72.273 -86.6119
15.000000 72.491 -87.3363
15.250000 72.691 -88.0553
15.500000 72.876 -88.7168
15.750000 73.056 -89.2909
16.000000 73.238 -89.8123
16.250000 73.420 -90.3313
16.500000 73.600 -90.8919
16.750000 73.767 -91.5334
17.000000 73.909 -92.2226
17.250000 74.019 -92.8849
17.500000 74.096 -93.4346
17.750000 74.148 -93.7531
18.000000 74.198 -93.7860
18.250000 74.266 -93.5693
18.500000 74.370 -93.1786
18.750000 74.524 -92.7922
19.000000 74.715 -92.5921
19.250000 74.928 -92.6732
19.500000 75.140 -93.0938
19.750000 75.326 -93.8121
20.000000 75.475 -94.7046
20.299999 75.603 -95.8536
20.600000 75.686 -96.9196
20.900000 75.746 -97.8197
21.200001 75.803 -98.5793
21.400000 75.843 -99.0559
21.799999 75.922 -100.0340
22.000000 75.951 -100.5370
22.400000 75.978 -101.4503
22.700001 75.974 -101.8774
23.000000 75.973 -101.9692
23.299999 76.003 -101.7344
23.600000 76.092 -101.3127
24.000000 76.309 -100.8626
24.299999 76.515 -100.8543
24.700001 76.784 -101.3764
25.000000 76.948 -102.0162
25.400000 77.108 -102.8782
25.799999 77.232 -103.4893
26.200001 77.364 -103.8773
26.500000 77.477 -104.1696
26.900000 77.626 -104.7217
27.200001 77.715 -105.2506
27.600000 77.790 -105.9083
28.000000 77.836 -106.2795
28.500000 77.925 -106.2982
29.000000 78.101 -106.3668
29.500000 78.310 -107.0419
30.000000 78.455 -108.2121
30.400000 78.508 -109.1020
30.700001 78.534 -109.5795
31.100000 78.586 -109.9733
31.500000 78.679 -110.3018
32.000000 78.829 -110.9471
32.500000 78.960 -111.8537
33.000000 79.054 -112.6662
33.500000 79.150 -113.1662
34.000000 79.288 -113.5268
34.500000 79.457 -114.0494
35.000000 79.613 -114.8157
35.500000 79.725 -115.6503
36.000000 79.796 -116.3146
36.500000 79.854 -116.6786
37.000000 79.930 -116.7772
37.500000 80.049 -116.7981
38.200001 80.271 -117.2007
38.700001 80.416 -117.9376
39.500000 80.534 -119.4512
40.000000 80.546 -120.1683
40.599998 80.563 -120.6131
41.200001 80.636 -120.8355
41.799999 80.769 -121.2206
42.500000 80.945 -122.1989
43.099998 81.052 -123.3486
43.700001 81.111 -124.3788
44.400002 81.185 -125.1765
45.000000 81.291 -125.7016
45.500000 81.407 -126.1756
46.200001 81.595 -126.9895
46.799999 81.757 -127.9463
47.500000 81.880 -129.2756
48.200001 81.919 -130.1245
48.700001 81.966 -130.2149
49.400002 82.133 -130.3297
50.000000 82.284 -131.0088
50.799999 82.343 -132.1610
51.500000 82.328 -132.4882
52.200001 82.371 -132.4604
53.000000 82.465 -132.7663
53.799999 82.532 -133.4233
54.500000 82.561 -134.0922
55.200001 82.576 -134.7206
56.000000 82.611 -135.3628
57.000000 82.692 -136.4334
58.000000 82.750 -137.6835
59.000000 82.818 -138.8163
60.000000 82.887 -140.0446
60.799999 82.915 -140.9220
61.500000 82.938 -141.4609
62.200001 82.987 -141.8529
63.000000 83.076 -142.3506
64.000000 83.193 -143.2221
65.000000 83.281 -144.2032
66.000000 83.342 -145.1115
67.000000 83.402 -145.8662
68.000000 83.476 -146.7121
69.000000 83.512 -147.7386
70.000000 83.511 -148.5303
71.000000 83.538 -149.1389
72.000000 83.586 -149.8762
73.000000 83.635 -150.6951
74.000000 83.680 -151.6110
75.000000 83.695 -152.5292
76.199997 83.693 -153.3199
77.500000 83.719 -153.9935
78.800003 83.750 -154.8247
80.000000 83.756 -155.6688
81.199997 83.754 -156.5018
82.500000 83.747 -157.4301
83.800003 83.747 -158.2772
85.000000 83.762 -159.0969
86.199997 83.770 -159.9713
87.500000 83.764 -160.8310
88.500000 83.758 -161.4103
90.000000 83.753 -162.2221
91.199997 83.750 -162.8538
92.500000 83.748 -163.5593
93.800003 83.745 -164.2949
95.000000 83.738 -165.0018
96.199997 83.729 -165.6638
97.500000 83.732 -166.2905
98.800003 83.754 -166.9900
100.000000 83.750 -167.7775
101.500000 83.692 -168.5220
103.000000 83.642 -169.0125
104.400002 83.609 -169.5212
106.000000 83.575 -170.2063
107.500000 83.542 -170.8557
109.000000 83.513 -171.3886
110.599998 83.505 -171.8712
112.000000 83.499 -172.4608
113.800003 83.443 -173.3334
115.000000 83.389 -173.8262
117.199997 83.309 -174.5610
118.000000 83.290 -174.8116
120.599998 83.228 -175.6736
122.000000 83.187 -176.0973
124.099998 83.135 -176.6738
125.000000 83.118 -176.9117
126.500000 83.099 -177.3191
128.000000 83.077 -177.7416
131.500000 82.993 -178.7025
132.000000 82.976 -178.8522
134.000000 82.904 -179.4117
136.000000 82.843 -179.8976
138.000000 82.792 179.6544
140.000000 82.741 179.2743
143.000000 82.662 178.6573
145.000000 82.601 178.2753
147.500000 82.536 177.9119
150.000000 82.480 177.5673
152.500000 82.422 177.1766
155.000000 82.361 176.7266
157.500000 82.295 176.2929
160.000000 82.235 175.9005
162.500000 82.170 175.5244
165.000000 82.103 175.2117
167.500000 82.044 174.9045
170.000000 81.992 174.5795
172.500000 81.937 174.2759
175.000000 81.867 174.0515
177.500000 81.792 173.8620
180.000000 81.717 173.6752
182.500000 81.645 173.5337
185.000000 81.576 173.4393
187.500000 81.509 173.3496
190.000000 81.444 173.2750
192.500000 81.381 173.1855
195.000000 81.315 173.0381
197.500000 81.252 172.8576
200.000000 81.201 172.7219
203.000000 81.153 172.6829
206.000000 81.112 172.6289
209.000000 81.067 172.4881
212.000000 81.005 172.4064
214.000000 80.958 172.3925
218.000000 80.870 172.3163
220.000000 80.838 172.2910
224.000000 80.786 172.3052
227.000000 80.735 172.2711
230.000000 80.676 172.2087
233.000000 80.619 172.1631
236.000000 80.566 172.1403
240.000000 80.499 172.1273
243.000000 80.450 172.1270
247.000000 80.382 172.1021
250.000000 80.329 172.0893
254.000000 80.256 172.0970
258.000000 80.186 172.0944
262.000000 80.129 172.1062
265.000000 80.089 172.1454
269.000000 80.029 172.1855
272.000000 79.980 172.1823
276.000000 79.907 172.2202
280.000000 79.835 172.2696
285.000000 79.765 172.2075
290.000000 79.685 172.2264
295.000000 79.598 172.2045
300.000000 79.504 172.1425
