* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 10:08:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 Stock - L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 57.671 -132.2824
1.015000 57.664 -133.1831
1.030000 57.650 -134.1796
1.044000 57.632 -135.1956
1.060000 57.604 -136.4450
1.075000 57.572 -137.6891
1.090000 57.533 -138.9910
1.106000 57.484 -140.4292
1.120000 57.435 -141.7182
1.138000 57.364 -143.4004
1.150000 57.310 -144.5278
1.172000 57.200 -146.5829
1.180000 57.156 -147.3204
1.206000 56.998 -149.6504
1.220000 56.904 -150.8463
1.241000 56.750 -152.5356
1.250000 56.679 -153.2139
1.265000 56.554 -154.2737
1.280000 56.421 -155.2342
1.315000 56.077 -157.0199
1.320000 56.024 -157.2162
1.340000 55.802 -157.8362
1.360000 55.558 -158.2514
1.380000 55.277 -158.6628
1.400000 54.961 -159.0558
1.430000 54.435 -159.5476
1.450000 54.057 -159.7686
1.475000 53.562 -159.8742
1.500000 53.052 -159.7379
1.525000 52.536 -159.3037
1.550000 52.024 -158.5155
1.575000 51.526 -157.3174
1.600000 51.053 -155.6533
1.625000 50.613 -153.4672
1.650000 50.217 -150.7030
1.675000 49.875 -147.3048
1.700000 49.574 -143.0827
1.725000 49.266 -137.7232
1.750000 48.954 -131.3876
1.775000 48.648 -124.2637
1.800000 48.358 -116.5389
1.825000 48.091 -108.4007
1.850000 47.858 -100.0368
1.875000 47.667 -91.6347
1.900000 47.527 -83.3820
1.925000 47.446 -75.4661
1.950000 47.436 -68.0746
1.975000 47.503 -61.3952
2.000000 47.657 -55.6154
2.030000 47.975 -50.0564
2.060000 48.485 -45.4149
2.090000 49.168 -41.4557
2.120000 49.990 -38.1253
2.140000 50.597 -36.2281
2.180000 51.906 -33.1381
2.200000 52.587 -31.9136
2.240000 53.951 -30.0271
2.270000 54.933 -29.0421
2.300000 55.842 -28.3664
2.330000 56.641 -27.9466
2.360000 57.297 -27.7383
2.400000 58.025 -28.3870
2.430000 58.503 -29.6490
2.470000 59.064 -32.1174
2.500000 59.434 -34.3889
2.540000 59.876 -37.7294
2.580000 60.272 -41.1427
2.620000 60.638 -44.3194
2.650000 60.903 -46.3605
2.690000 61.256 -48.3786
2.720000 61.514 -49.3691
2.760000 61.824 -50.3152
2.800000 62.099 -50.9225
2.850000 62.401 -51.3527
2.900000 62.664 -51.5940
2.950000 62.899 -51.8354
3.000000 63.114 -52.2659
3.040000 63.277 -52.8673
3.070000 63.388 -53.4489
3.110000 63.515 -54.3344
3.150000 63.624 -55.2979
3.200000 63.738 -56.5328
3.250000 63.834 -57.7066
3.300000 63.919 -58.7178
3.350000 63.998 -59.4647
3.400000 64.070 -59.8979
3.450000 64.119 -60.1226
3.500000 64.153 -60.1679
3.550000 64.179 -60.0559
3.600000 64.206 -59.8089
3.650000 64.240 -59.4488
3.700000 64.292 -58.9979
3.750000 64.353 -58.3995
3.820000 64.442 -57.2576
3.870000 64.513 -56.3007
3.950000 64.653 -54.6798
4.000000 64.764 -53.6978
4.060000 64.929 -52.6260
4.120000 65.127 -51.5525
4.180000 65.352 -50.4699
4.250000 65.640 -49.2492
4.310000 65.902 -48.2852
4.370000 66.171 -47.4397
4.440000 66.502 -46.5749
4.500000 66.806 -45.9005
4.550000 67.068 -45.4083
4.620000 67.436 -44.8610
4.680000 67.744 -44.5560
4.750000 68.085 -44.4384
4.820000 68.423 -44.5912
4.870000 68.661 -44.8254
4.940000 68.985 -45.2660
5.000000 69.250 -45.6934
5.080000 69.581 -46.2624
5.150000 69.852 -46.8288
5.220000 70.107 -47.4630
5.300000 70.381 -48.2412
5.380000 70.636 -49.0435
5.450000 70.843 -49.7767
5.520000 71.033 -50.5581
5.600000 71.234 -51.4700
5.700000 71.467 -52.5700
5.800000 71.681 -53.5834
5.900000 71.871 -54.5522
6.000000 72.047 -55.4699
6.080000 72.182 -56.1616
6.150000 72.294 -56.7330
6.220000 72.400 -57.2763
6.300000 72.517 -57.8689
6.400000 72.659 -58.5767
6.500000 72.799 -59.2431
6.600000 72.933 -59.8689
6.700000 73.065 -60.4687
6.800000 73.194 -61.0497
6.900000 73.321 -61.6041
7.000000 73.446 -62.1407
7.100000 73.567 -62.6688
7.200000 73.685 -63.1912
7.300000 73.800 -63.6985
7.400000 73.913 -64.1803
7.500000 74.023 -64.6341
7.620000 74.151 -65.1467
7.750000 74.291 -65.6583
7.880000 74.431 -66.1169
8.000000 74.563 -66.5039
8.120000 74.701 -66.8710
8.250000 74.858 -67.2305
8.380000 75.023 -67.5927
8.500000 75.184 -67.9573
8.620000 75.353 -68.3376
8.750000 75.540 -68.8121
8.850000 75.688 -69.2328
9.000000 75.912 -69.9422
9.120000 76.087 -70.5886
9.250000 76.273 -71.3773
9.380000 76.452 -72.2328
9.500000 76.605 -73.0670
9.620000 76.748 -73.9541
9.750000 76.891 -74.9263
9.880000 77.019 -75.8963
10.000000 77.126 -76.7907
10.150000 77.247 -77.8512
10.300000 77.353 -78.8538
10.440000 77.445 -79.7198
10.600000 77.544 -80.6103
10.750000 77.634 -81.3677
10.900000 77.727 -82.0532
11.060000 77.829 -82.7199
11.200000 77.923 -83.2807
11.380000 78.049 -83.9673
11.500000 78.136 -84.4321
11.720000 78.297 -85.2934
11.800000 78.355 -85.6123
12.060000 78.537 -86.6736
12.200000 78.628 -87.2367
12.410000 78.757 -88.0623
12.500000 78.810 -88.3921
12.650000 78.894 -88.9145
12.800000 78.977 -89.3904
13.150000 79.173 -90.3041
13.200000 79.203 -90.4154
13.400000 79.329 -90.8234
13.600000 79.467 -91.2169
13.800000 79.617 -91.6176
14.000000 79.776 -92.0682
14.300000 80.022 -92.8787
14.500000 80.185 -93.5147
14.750000 80.378 -94.4118
15.000000 80.553 -95.3731
15.250000 80.710 -96.3525
15.500000 80.850 -97.3098
15.750000 80.976 -98.2071
16.000000 81.094 -99.0293
16.250000 81.209 -99.7826
16.500000 81.323 -100.4793
16.750000 81.440 -101.1429
17.000000 81.559 -101.7983
17.250000 81.677 -102.4563
17.500000 81.792 -103.1223
17.750000 81.903 -103.7909
18.000000 82.007 -104.4445
18.250000 82.107 -105.0691
18.500000 82.203 -105.6526
18.750000 82.299 -106.1889
19.000000 82.399 -106.6898
19.250000 82.503 -107.1726
19.500000 82.612 -107.6582
19.750000 82.725 -108.1733
20.000000 82.839 -108.7291
20.299999 82.970 -109.4488
20.600000 83.093 -110.2060
20.900000 83.205 -110.9655
21.200001 83.308 -111.6944
21.400000 83.375 -112.1554
21.799999 83.510 -113.0421
22.000000 83.579 -113.4877
22.400000 83.716 -114.4254
22.700001 83.811 -115.1839
23.000000 83.891 -115.9632
23.299999 83.956 -116.7114
23.600000 84.007 -117.3699
24.000000 84.071 -118.0456
24.299999 84.129 -118.4206
24.700001 84.235 -118.8575
25.000000 84.333 -119.2398
25.400000 84.473 -119.9147
25.799999 84.599 -120.7644
26.200001 84.700 -121.6700
26.500000 84.761 -122.3083
26.900000 84.837 -123.0662
27.200001 84.897 -123.5849
27.600000 84.985 -124.2798
28.000000 85.073 -125.0281
28.500000 85.171 -126.0182
29.000000 85.254 -126.9669
29.500000 85.337 -127.8425
30.000000 85.425 -128.7198
30.400000 85.492 -129.4519
30.700001 85.537 -129.9966
31.100000 85.591 -130.6696
31.500000 85.649 -131.2587
32.000000 85.741 -131.9531
32.500000 85.851 -132.7625
33.000000 85.953 -133.7646
33.500000 86.019 -134.8388
34.000000 86.052 -135.7617
34.500000 86.079 -136.4125
35.000000 86.133 -136.8706
35.500000 86.224 -137.3445
36.000000 86.334 -138.0247
36.500000 86.429 -138.9498
37.000000 86.485 -139.9760
37.500000 86.506 -140.8964
38.200001 86.523 -141.8629
38.700001 86.549 -142.4535
39.500000 86.595 -143.4773
40.000000 86.612 -144.0740
40.599998 86.642 -144.6489
41.200001 86.704 -145.2450
41.799999 86.776 -146.0801
42.500000 86.823 -147.2723
43.099998 86.828 -148.1911
43.700001 86.833 -148.9045
44.400002 86.868 -149.6763
45.000000 86.909 -150.4647
45.500000 86.932 -151.1812
46.200001 86.952 -152.0997
46.799999 86.982 -152.8241
47.500000 87.023 -153.8582
48.200001 87.008 -154.9665
48.700001 86.968 -155.4395
49.400002 86.969 -155.5546
50.000000 87.070 -155.7512
50.799999 87.218 -156.9066
51.500000 87.244 -158.2099
52.200001 87.221 -159.0895
53.000000 87.227 -159.8301
53.799999 87.234 -160.7115
54.500000 87.213 -161.3995
55.200001 87.196 -161.9071
56.000000 87.202 -162.5034
57.000000 87.202 -163.4348
58.000000 87.180 -164.3240
59.000000 87.162 -165.1319
60.000000 87.151 -165.9425
60.799999 87.147 -166.5854
61.500000 87.149 -167.1927
62.200001 87.144 -167.8425
63.000000 87.128 -168.5385
64.000000 87.113 -169.3103
65.000000 87.103 -170.0918
66.000000 87.088 -170.8231
67.000000 87.079 -171.5141
68.000000 87.066 -172.2451
69.000000 87.037 -172.9491
70.000000 87.002 -173.5356
71.000000 86.976 -174.0874
72.000000 86.948 -174.7170
73.000000 86.907 -175.3097
74.000000 86.873 -175.8318
75.000000 86.851 -176.3914
76.199997 86.823 -177.1055
77.500000 86.790 -177.8266
78.800003 86.761 -178.4889
80.000000 86.733 -179.1127
81.199997 86.692 -179.7435
82.500000 86.636 179.6487
83.800003 86.591 179.0779
85.000000 86.550 178.4666
86.199997 86.500 177.8929
87.500000 86.452 177.3588
88.500000 86.419 176.9666
90.000000 86.369 176.4303
91.199997 86.332 176.0314
92.500000 86.294 175.5664
93.800003 86.251 175.0694
95.000000 86.203 174.6431
96.199997 86.154 174.3156
97.500000 86.111 174.0480
98.800003 86.081 173.7927
100.000000 86.054 173.4280
101.500000 85.987 172.8722
103.000000 85.904 172.4301
104.400002 85.841 172.0505
106.000000 85.785 171.5924
107.500000 85.739 171.1801
109.000000 85.693 170.8057
110.599998 85.635 170.4599
112.000000 85.580 170.1960
113.800003 85.509 169.8626
115.000000 85.464 169.6346
117.199997 85.392 169.2253
118.000000 85.368 169.0757
120.599998 85.283 168.6255
122.000000 85.235 168.4247
124.099998 85.163 168.0877
125.000000 85.131 167.9300
126.500000 85.079 167.6747
128.000000 85.031 167.4120
131.500000 84.906 166.8562
132.000000 84.888 166.7993
134.000000 84.816 166.5841
136.000000 84.747 166.3802
138.000000 84.681 166.1804
140.000000 84.609 166.0170
143.000000 84.499 165.8633
145.000000 84.429 165.7069
147.500000 84.341 165.4138
150.000000 84.251 165.1487
152.500000 84.168 165.0015
155.000000 84.099 164.8725
157.500000 84.036 164.6753
160.000000 83.967 164.4764
162.500000 83.894 164.3463
165.000000 83.824 164.2570
167.500000 83.759 164.1763
170.000000 83.698 164.0831
172.500000 83.632 164.0161
175.000000 83.570 163.9689
177.500000 83.507 163.8910
180.000000 83.443 163.8158
182.500000 83.379 163.7545
185.000000 83.319 163.7148
187.500000 83.262 163.6979
190.000000 83.204 163.7003
192.500000 83.149 163.6653
195.000000 83.099 163.5650
197.500000 83.052 163.5018
200.000000 83.005 163.5428
203.000000 82.935 163.6631
206.000000 82.849 163.7518
209.000000 82.770 163.8643
212.000000 82.708 163.9011
214.000000 82.667 163.9296
218.000000 82.597 164.0524
220.000000 82.559 164.0966
224.000000 82.467 164.1514
227.000000 82.406 164.2224
230.000000 82.352 164.3176
233.000000 82.297 164.4090
236.000000 82.242 164.5188
240.000000 82.183 164.7105
243.000000 82.154 164.8381
247.000000 82.109 164.8779
250.000000 82.057 164.8978
254.000000 81.991 164.9273
258.000000 81.916 165.0239
262.000000 81.837 165.1846
265.000000 81.784 165.3300
269.000000 81.719 165.5776
272.000000 81.668 165.8050
276.000000 81.601 166.1645
280.000000 81.545 166.5306
285.000000 81.493 167.0721
290.000000 81.466 167.7014
