* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 10:03:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 Stock - R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 38.187 161.4620
1.015000 38.322 157.3000
1.030000 38.517 153.2625
1.044000 38.751 149.5726
1.060000 39.075 145.4477
1.075000 39.428 141.6696
1.090000 39.823 137.9771
1.106000 40.286 134.1325
1.120000 40.722 130.8477
1.138000 41.317 126.7325
1.150000 41.731 124.0562
1.172000 42.519 119.2888
1.180000 42.812 117.5996
1.206000 43.775 112.2723
1.220000 44.294 109.5063
1.241000 45.063 105.4908
1.250000 45.385 103.8188
1.265000 45.910 101.0970
1.280000 46.415 98.4559
1.315000 47.485 92.6049
1.320000 47.622 91.8045
1.340000 48.129 88.6907
1.360000 48.569 85.7546
1.380000 48.980 83.0889
1.400000 49.364 80.6732
1.430000 49.897 77.4596
1.450000 50.225 75.5511
1.475000 50.610 73.3813
1.500000 50.970 71.4022
1.525000 51.309 69.5610
1.550000 51.631 67.8052
1.575000 51.939 66.0820
1.600000 52.239 64.3388
1.625000 52.534 62.5229
1.650000 52.827 60.5818
1.675000 53.124 58.4626
1.700000 53.423 56.1667
1.725000 53.709 53.8224
1.750000 53.983 51.4459
1.775000 54.247 49.0454
1.800000 54.499 46.6289
1.825000 54.743 44.2044
1.850000 54.977 41.7801
1.875000 55.203 39.3639
1.900000 55.423 36.9640
1.925000 55.636 34.5883
1.950000 55.843 32.2451
1.975000 56.046 29.9423
2.000000 56.244 27.6879
2.030000 56.478 25.0559
2.060000 56.703 22.4891
2.090000 56.917 19.9764
2.120000 57.122 17.5110
2.140000 57.254 15.8902
2.180000 57.505 12.6947
2.200000 57.626 11.1160
2.240000 57.857 7.9865
2.270000 58.023 5.6559
2.300000 58.182 3.3320
2.330000 58.336 1.0081
2.360000 58.484 -1.3224
2.400000 58.673 -4.4180
2.430000 58.806 -6.7225
2.470000 58.973 -9.7740
2.500000 59.091 -12.0477
2.540000 59.237 -15.0609
2.580000 59.372 -18.0549
2.620000 59.497 -21.0316
2.650000 59.583 -23.2539
2.690000 59.689 -26.2050
2.720000 59.761 -28.4165
2.760000 59.849 -31.3712
2.800000 59.927 -34.3217
2.850000 60.008 -37.9857
2.900000 60.072 -41.6010
2.950000 60.117 -45.1440
3.000000 60.143 -48.5914
3.040000 60.150 -51.2657
3.070000 60.148 -53.2281
3.110000 60.137 -55.7943
3.150000 60.115 -58.3066
3.200000 60.070 -61.3771
3.250000 60.004 -64.3768
3.300000 59.914 -67.3131
3.350000 59.800 -70.1935
3.400000 59.662 -73.0513
3.450000 59.506 -75.9331
3.500000 59.330 -78.7844
3.550000 59.128 -81.5444
3.600000 58.897 -84.1531
3.650000 58.634 -86.5500
3.700000 58.334 -88.6749
3.750000 57.994 -90.7131
3.820000 57.458 -93.5874
3.870000 57.037 -95.4017
3.950000 56.307 -97.3737
4.000000 55.822 -97.7333
4.060000 55.202 -96.9874
4.120000 54.423 -95.0297
4.180000 53.553 -92.0844
4.250000 52.579 -87.6691
4.310000 51.914 -83.2758
4.370000 51.529 -78.5332
4.440000 51.480 -71.9470
4.500000 51.688 -65.1558
4.550000 51.996 -59.1958
4.620000 52.571 -51.1708
4.680000 53.139 -45.3109
4.750000 53.866 -40.3181
4.820000 54.798 -36.5579
4.870000 55.545 -34.4929
4.940000 56.615 -32.3944
5.000000 57.476 -31.2642
5.080000 58.433 -30.7045
5.150000 59.160 -31.5431
5.220000 59.818 -33.2885
5.300000 60.498 -35.7513
5.380000 61.114 -37.9965
5.450000 61.598 -39.6549
5.520000 62.023 -41.3788
5.600000 62.449 -43.3779
5.700000 62.918 -45.8312
5.800000 63.324 -48.2114
5.900000 63.651 -50.5754
6.000000 63.924 -52.7998
6.080000 64.118 -54.3984
6.150000 64.260 -55.6989
6.220000 64.379 -56.9096
6.300000 64.496 -58.1516
6.400000 64.633 -59.4373
6.500000 64.753 -60.3835
6.600000 64.854 -61.0483
6.700000 64.961 -61.5165
6.800000 65.087 -61.8193
6.900000 65.219 -61.9035
7.000000 65.367 -61.8708
7.100000 65.542 -61.8163
7.200000 65.743 -61.6603
7.300000 65.965 -61.4767
7.400000 66.198 -61.3989
7.500000 66.447 -61.4561
7.620000 66.763 -61.6437
7.750000 67.100 -62.0510
7.880000 67.428 -62.7131
8.000000 67.720 -63.4983
8.120000 67.983 -64.3914
8.250000 68.239 -65.5245
8.380000 68.463 -66.7200
8.500000 68.636 -67.8052
8.620000 68.778 -68.9082
8.750000 68.905 -69.9976
8.850000 68.983 -70.7365
9.000000 69.071 -71.7030
9.120000 69.134 -72.2851
9.250000 69.189 -72.7106
9.380000 69.247 -72.9597
9.500000 69.316 -73.0382
9.620000 69.396 -72.9562
9.750000 69.505 -72.8107
9.880000 69.647 -72.6312
10.000000 69.801 -72.4436
10.150000 70.019 -72.3635
10.300000 70.270 -72.4330
10.440000 70.512 -72.7009
10.600000 70.794 -73.3035
10.750000 71.049 -74.1021
10.900000 71.280 -75.1268
11.060000 71.500 -76.4180
11.200000 71.658 -77.6172
11.380000 71.819 -79.2561
11.500000 71.899 -80.2881
11.720000 71.993 -82.0741
11.800000 72.017 -82.6310
12.060000 72.060 -84.0952
12.200000 72.084 -84.6391
12.410000 72.130 -85.1537
12.500000 72.164 -85.3145
12.650000 72.238 -85.4717
12.800000 72.334 -85.6337
13.150000 72.647 -86.2477
13.200000 72.697 -86.3964
13.400000 72.902 -87.1396
13.600000 73.087 -88.1461
13.800000 73.243 -89.3431
14.000000 73.351 -90.6362
14.300000 73.427 -92.4055
14.500000 73.431 -93.3070
14.750000 73.402 -93.9457
15.000000 73.387 -93.9954
15.250000 73.422 -93.6008
15.500000 73.530 -92.9512
15.750000 73.717 -92.3362
16.000000 73.954 -92.0068
16.250000 74.210 -92.0156
16.500000 74.456 -92.3539
16.750000 74.669 -92.9045
17.000000 74.848 -93.4941
17.250000 75.002 -94.0305
17.500000 75.140 -94.4530
17.750000 75.281 -94.7628
18.000000 75.430 -95.0374
18.250000 75.587 -95.3378
18.500000 75.748 -95.7163
18.750000 75.901 -96.1951
19.000000 76.039 -96.7324
19.250000 76.162 -97.2825
19.500000 76.269 -97.7963
19.750000 76.370 -98.2346
20.000000 76.473 -98.6132
20.299999 76.604 -99.0355
20.600000 76.745 -99.5031
20.900000 76.888 -100.0817
21.200001 77.018 -100.7808
21.400000 77.092 -101.2867
21.799999 77.206 -102.2593
22.000000 77.250 -102.6698
22.400000 77.329 -103.2791
22.700001 77.398 -103.5669
23.000000 77.486 -103.7830
23.299999 77.591 -104.0074
23.600000 77.707 -104.2964
24.000000 77.862 -104.7937
24.299999 77.973 -105.2049
24.700001 78.115 -105.7349
25.000000 78.226 -106.1176
25.400000 78.384 -106.6794
25.799999 78.543 -107.4084
26.200001 78.676 -108.3148
26.500000 78.746 -109.0217
26.900000 78.802 -109.8013
27.200001 78.832 -110.1587
27.600000 78.895 -110.3365
28.000000 79.012 -110.3783
28.500000 79.228 -110.7207
29.000000 79.441 -111.6592
29.500000 79.582 -112.9130
30.000000 79.657 -113.9464
30.400000 79.711 -114.4772
30.700001 79.769 -114.7773
31.100000 79.869 -115.2066
31.500000 79.977 -115.7825
32.000000 80.087 -116.6399
32.500000 80.163 -117.3989
33.000000 80.236 -117.9031
33.500000 80.337 -118.2462
34.000000 80.469 -118.6174
34.500000 80.620 -119.1171
35.000000 80.775 -119.7714
35.500000 80.925 -120.5936
36.000000 81.053 -121.5503
36.500000 81.150 -122.5267
37.000000 81.226 -123.3980
37.500000 81.296 -124.1285
38.200001 81.403 -125.0045
38.700001 81.489 -125.5809
39.500000 81.646 -126.5681
40.000000 81.739 -127.3553
40.599998 81.802 -128.3882
41.200001 81.811 -129.1299
41.799999 81.830 -129.3748
42.500000 81.939 -129.4799
43.099998 82.076 -129.9310
43.700001 82.190 -130.7422
44.400002 82.268 -131.7557
45.000000 82.317 -132.4755
45.500000 82.369 -133.0031
46.200001 82.465 -133.8102
46.799999 82.551 -134.6362
47.500000 82.651 -135.6556
48.200001 82.768 -136.8287
48.700001 82.840 -137.9347
49.400002 82.840 -139.5901
50.000000 82.758 -140.3676
50.799999 82.736 -140.1536
51.500000 82.894 -140.0264
52.200001 83.065 -140.7229
53.000000 83.164 -141.6892
53.799999 83.254 -142.3220
54.500000 83.346 -142.9966
55.200001 83.406 -143.7750
56.000000 83.453 -144.5190
57.000000 83.520 -145.4837
58.000000 83.552 -146.5557
59.000000 83.573 -147.4641
60.000000 83.610 -148.4401
60.799999 83.627 -149.2765
61.500000 83.640 -149.9282
62.200001 83.668 -150.5361
63.000000 83.714 -151.3094
64.000000 83.765 -152.3379
65.000000 83.822 -153.2897
66.000000 83.884 -154.3391
67.000000 83.912 -155.4008
68.000000 83.916 -156.2256
69.000000 83.934 -156.8316
70.000000 83.979 -157.4607
71.000000 84.025 -158.2901
72.000000 84.050 -159.2416
73.000000 84.049 -160.2096
74.000000 84.032 -161.0577
75.000000 84.023 -161.7795
76.199997 84.030 -162.6296
77.500000 84.051 -163.6067
78.800003 84.066 -164.7261
80.000000 84.055 -165.7231
81.199997 84.039 -166.5674
82.500000 84.033 -167.3758
83.800003 84.035 -168.1987
85.000000 84.030 -168.9464
86.199997 84.028 -169.7270
87.500000 84.011 -170.6312
88.500000 83.994 -171.2904
90.000000 83.976 -172.2626
91.199997 83.964 -173.0394
92.500000 83.941 -173.8256
93.800003 83.911 -174.5009
95.000000 83.878 -175.0680
96.199997 83.835 -175.6315
97.500000 83.776 -176.2573
98.800003 83.705 -176.8289
100.000000 83.660 -177.2520
101.500000 83.646 -177.9635
103.000000 83.623 -178.8133
104.400002 83.596 -179.5389
106.000000 83.555 179.7029
107.500000 83.511 179.0787
109.000000 83.468 178.4629
110.599998 83.419 177.7787
112.000000 83.376 177.1899
113.800003 83.320 176.4012
115.000000 83.274 175.8831
117.199997 83.184 175.0495
118.000000 83.152 174.7689
120.599998 83.056 173.9586
122.000000 83.007 173.5584
124.099998 82.925 173.0330
125.000000 82.887 172.8099
126.500000 82.818 172.4188
128.000000 82.745 171.9955
131.500000 82.598 170.9860
132.000000 82.582 170.8426
134.000000 82.525 170.2427
136.000000 82.455 169.6438
138.000000 82.375 169.1846
140.000000 82.310 168.7933
143.000000 82.210 168.1273
145.000000 82.124 167.7601
147.500000 82.016 167.3449
150.000000 81.916 166.8572
152.500000 81.832 166.3944
155.000000 81.754 165.9784
157.500000 81.669 165.6455
160.000000 81.578 165.3105
162.500000 81.483 164.9779
165.000000 81.389 164.7075
167.500000 81.300 164.4703
170.000000 81.216 164.2350
172.500000 81.137 164.0092
175.000000 81.057 163.7877
177.500000 80.971 163.5772
180.000000 80.891 163.3892
182.500000 80.818 163.2134
185.000000 80.742 163.1050
187.500000 80.664 163.0404
190.000000 80.591 162.9561
192.500000 80.517 162.8768
195.000000 80.434 162.8478
197.500000 80.340 162.8203
200.000000 80.254 162.7542
203.000000 80.183 162.6144
206.000000 80.120 162.5073
209.000000 80.033 162.4544
212.000000 79.936 162.4462
214.000000 79.885 162.4633
218.000000 79.799 162.4305
220.000000 79.750 162.4161
224.000000 79.650 162.4558
227.000000 79.578 162.5017
230.000000 79.508 162.5269
233.000000 79.436 162.5378
236.000000 79.365 162.5484
240.000000 79.271 162.5701
243.000000 79.196 162.6110
247.000000 79.101 162.6464
250.000000 79.036 162.6682
254.000000 78.958 162.8069
258.000000 78.876 162.9462
262.000000 78.798 163.0832
265.000000 78.740 163.1993
269.000000 78.658 163.3862
272.000000 78.596 163.5479
276.000000 78.511 163.7491
280.000000 78.427 163.8957
285.000000 78.337 164.1512
290.000000 78.254 164.5151
295.000000 78.185 164.7571
300.000000 78.130 165.0005
304.000000 78.059 165.3199
