* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 9:44:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 100ohm SO - L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.588 -83.9715
1.015000 44.789 -81.4576
1.030000 45.037 -79.0779
1.044000 45.312 -76.9442
1.060000 45.672 -74.6096
1.075000 46.050 -72.5226
1.090000 46.463 -70.5345
1.106000 46.936 -68.5239
1.120000 47.374 -66.8585
1.138000 47.965 -64.8469
1.150000 48.373 -63.5875
1.172000 49.140 -61.4497
1.180000 49.423 -60.7276
1.206000 50.350 -58.5860
1.220000 50.846 -57.5640
1.241000 51.579 -56.2047
1.250000 51.886 -55.6863
1.265000 52.384 -54.9087
1.280000 52.863 -54.2396
1.315000 53.878 -53.1043
1.320000 54.009 -52.9912
1.340000 54.492 -52.6628
1.360000 54.914 -52.5922
1.380000 55.304 -52.9227
1.400000 55.665 -53.6196
1.430000 56.159 -55.2531
1.450000 56.460 -56.6682
1.475000 56.808 -58.7245
1.500000 57.129 -61.0175
1.525000 57.427 -63.4591
1.550000 57.706 -65.9609
1.575000 57.971 -68.4345
1.600000 58.227 -70.7917
1.625000 58.477 -72.9439
1.650000 58.727 -74.8031
1.675000 58.980 -76.2807
1.700000 59.235 -77.3577
1.725000 59.478 -78.1992
1.750000 59.708 -78.8488
1.775000 59.927 -79.3397
1.800000 60.135 -79.7053
1.825000 60.332 -79.9791
1.850000 60.519 -80.1945
1.875000 60.698 -80.3848
1.900000 60.868 -80.5834
1.925000 61.031 -80.8238
1.950000 61.186 -81.1393
1.975000 61.336 -81.5633
2.000000 61.479 -82.1292
2.030000 61.645 -83.0313
2.060000 61.800 -84.0916
2.090000 61.943 -85.2660
2.120000 62.075 -86.5372
2.140000 62.157 -87.4297
2.180000 62.307 -89.2994
2.200000 62.375 -90.2662
2.240000 62.498 -92.2375
2.270000 62.579 -93.7287
2.300000 62.650 -95.2111
2.330000 62.712 -96.6673
2.360000 62.766 -98.0814
2.400000 62.824 -100.0146
2.430000 62.857 -101.5240
2.470000 62.887 -103.5805
2.500000 62.898 -105.1317
2.540000 62.897 -107.1760
2.580000 62.878 -109.1526
2.620000 62.838 -111.0173
2.650000 62.794 -112.3157
2.690000 62.717 -113.8780
2.720000 62.648 -114.8518
2.760000 62.545 -115.8326
2.800000 62.428 -116.5648
2.850000 62.252 -117.3214
2.900000 62.038 -118.1298
2.950000 61.777 -119.2347
3.000000 61.461 -120.8807
3.040000 61.166 -122.7785
3.070000 60.940 -124.8292
3.110000 60.634 -128.3018
3.150000 60.310 -132.2871
3.200000 59.852 -137.4400
3.250000 59.306 -142.1249
3.300000 58.642 -145.6367
3.350000 57.826 -147.2705
3.400000 56.748 -146.7906
3.450000 55.260 -145.1264
3.500000 53.544 -142.2875
3.550000 51.801 -138.2134
3.600000 50.229 -132.8436
3.650000 49.029 -126.1176
3.700000 48.399 -117.9748
3.750000 48.417 -107.2614
3.820000 49.247 -87.5961
3.870000 50.231 -71.9431
3.950000 52.111 -47.6365
4.000000 53.265 -34.8878
4.060000 54.447 -23.9287
4.120000 55.673 -16.2375
4.180000 56.972 -10.8913
4.250000 58.477 -7.1426
4.310000 59.668 -5.6552
4.370000 60.688 -5.3846
4.440000 61.632 -7.6086
4.500000 62.294 -12.1120
4.550000 62.766 -16.8661
4.620000 63.342 -23.7782
4.680000 63.789 -28.7589
4.750000 64.283 -32.3120
4.820000 64.701 -34.4319
4.870000 64.955 -35.4561
4.940000 65.259 -36.6185
5.000000 65.485 -37.7269
5.080000 65.747 -39.8953
5.150000 65.924 -42.2101
5.220000 66.054 -44.6702
5.300000 66.155 -47.4633
5.380000 66.217 -50.0171
5.450000 66.238 -52.0619
5.520000 66.219 -54.0450
5.600000 66.162 -56.1204
5.700000 66.053 -58.2310
5.800000 65.903 -59.6284
5.900000 65.702 -60.4292
6.000000 65.487 -60.8079
6.080000 65.329 -60.9180
6.150000 65.184 -60.8614
6.220000 65.037 -60.6372
6.300000 64.887 -60.1667
6.400000 64.762 -59.2402
6.500000 64.708 -57.7357
6.600000 64.711 -55.8397
6.700000 64.778 -54.0174
6.800000 64.920 -52.5490
6.900000 65.140 -51.2106
7.000000 65.403 -50.0947
7.100000 65.676 -49.3126
7.200000 65.980 -48.8514
7.300000 66.301 -48.6705
7.400000 66.609 -48.7452
7.500000 66.899 -49.1143
7.620000 67.236 -49.9101
7.750000 67.572 -50.9767
7.880000 67.871 -52.2365
8.000000 68.121 -53.5504
8.120000 68.349 -54.8807
8.250000 68.571 -56.3665
8.380000 68.771 -57.8840
8.500000 68.943 -59.2883
8.620000 69.099 -60.7069
8.750000 69.256 -62.2365
8.850000 69.368 -63.4031
9.000000 69.521 -65.1409
9.120000 69.629 -66.5124
9.250000 69.732 -67.9968
9.380000 69.820 -69.4326
9.500000 69.886 -70.6788
9.620000 69.939 -71.8674
9.750000 69.986 -73.0294
9.880000 70.022 -74.0356
10.000000 70.049 -74.8354
10.150000 70.091 -75.6180
10.300000 70.139 -76.1445
10.440000 70.206 -76.4894
10.600000 70.319 -76.6946
10.750000 70.459 -76.8246
10.900000 70.639 -77.0018
11.060000 70.865 -77.2630
11.200000 71.078 -77.6949
11.380000 71.370 -78.4904
11.500000 71.554 -79.1951
11.720000 71.871 -80.8417
11.800000 71.968 -81.4940
12.060000 72.223 -83.8333
12.200000 72.315 -85.0399
12.410000 72.397 -86.7352
12.500000 72.418 -87.3358
12.650000 72.432 -88.1880
12.800000 72.441 -88.8233
13.150000 72.481 -89.4320
13.200000 72.495 -89.4458
13.400000 72.576 -89.3693
13.600000 72.701 -89.3102
13.800000 72.859 -89.3256
14.000000 73.033 -89.5646
14.300000 73.274 -90.2679
14.500000 73.403 -90.8698
14.750000 73.517 -91.6082
15.000000 73.595 -92.0817
15.250000 73.667 -92.2280
15.500000 73.763 -92.0685
15.750000 73.911 -91.7522
16.000000 74.111 -91.5656
16.250000 74.341 -91.6628
16.500000 74.572 -92.1320
16.750000 74.770 -92.9513
17.000000 74.913 -93.9253
17.250000 75.000 -94.8770
17.500000 75.040 -95.6447
17.750000 75.054 -96.0897
18.000000 75.073 -96.2206
18.250000 75.114 -96.1182
18.500000 75.190 -95.8897
18.750000 75.300 -95.6934
19.000000 75.430 -95.6163
19.250000 75.570 -95.6797
19.500000 75.707 -95.8780
19.750000 75.837 -96.1578
20.000000 75.959 -96.4805
20.299999 76.101 -96.9069
20.600000 76.242 -97.3865
20.900000 76.378 -97.9510
21.200001 76.504 -98.6136
21.400000 76.578 -99.0946
21.799999 76.698 -100.0446
22.000000 76.748 -100.4655
22.400000 76.843 -101.1448
22.700001 76.928 -101.5319
23.000000 77.032 -101.8922
23.299999 77.155 -102.3116
23.600000 77.285 -102.8476
24.000000 77.450 -103.7382
24.299999 77.558 -104.4619
24.700001 77.681 -105.3708
25.000000 77.768 -105.9647
25.400000 77.889 -106.6633
25.799999 78.017 -107.3469
26.200001 78.141 -108.0644
26.500000 78.221 -108.5906
26.900000 78.314 -109.1802
27.200001 78.382 -109.4963
27.600000 78.486 -109.7851
28.000000 78.616 -110.0517
28.500000 78.796 -110.5667
29.000000 78.955 -111.3044
29.500000 79.079 -112.0699
30.000000 79.188 -112.7184
30.400000 79.282 -113.2003
30.700001 79.356 -113.5956
31.100000 79.452 -114.2005
31.500000 79.537 -114.8671
32.000000 79.628 -115.6984
32.500000 79.708 -116.4736
33.000000 79.784 -117.1835
33.500000 79.855 -117.7715
34.000000 79.940 -118.1572
34.500000 80.068 -118.4124
35.000000 80.243 -118.8093
35.500000 80.426 -119.5576
36.000000 80.565 -120.5443
36.500000 80.650 -121.4343
37.000000 80.715 -122.0127
37.500000 80.799 -122.3625
38.200001 80.948 -122.8444
38.700001 81.056 -123.2360
39.500000 81.244 -123.8676
40.000000 81.376 -124.4540
40.599998 81.502 -125.4759
41.200001 81.562 -126.5008
41.799999 81.599 -127.1840
42.500000 81.687 -127.7943
43.099998 81.777 -128.5255
43.700001 81.834 -129.3151
44.400002 81.883 -129.9546
45.000000 81.949 -130.3331
45.500000 82.020 -130.6446
46.200001 82.140 -131.1422
46.799999 82.252 -131.7811
47.500000 82.329 -132.8082
48.200001 82.326 -133.4534
48.700001 82.354 -133.4290
49.400002 82.529 -133.5192
50.000000 82.709 -134.4904
50.799999 82.789 -136.4764
51.500000 82.757 -137.6176
52.200001 82.777 -138.2408
53.000000 82.873 -139.0981
53.799999 82.984 -140.2531
54.500000 83.059 -141.5019
55.200001 83.067 -142.7230
56.000000 83.028 -143.4152
57.000000 83.093 -143.5511
58.000000 83.230 -144.1516
59.000000 83.313 -145.0526
60.000000 83.348 -145.9873
60.799999 83.348 -146.6718
61.500000 83.345 -147.2129
62.200001 83.345 -147.7521
63.000000 83.353 -148.3540
64.000000 83.393 -149.0973
65.000000 83.468 -149.9837
66.000000 83.544 -151.0704
67.000000 83.589 -152.1436
68.000000 83.616 -153.0097
69.000000 83.631 -153.7487
70.000000 83.633 -154.3309
71.000000 83.647 -154.8619
72.000000 83.665 -155.5515
73.000000 83.671 -156.3677
74.000000 83.667 -157.2329
75.000000 83.659 -158.0338
76.199997 83.666 -158.8607
77.500000 83.692 -159.6929
78.800003 83.726 -160.4637
80.000000 83.759 -161.2505
81.199997 83.770 -162.1590
82.500000 83.760 -163.1066
83.800003 83.765 -163.9781
85.000000 83.783 -164.8456
86.199997 83.788 -165.6572
87.500000 83.788 -166.2896
88.500000 83.795 -166.6938
90.000000 83.789 -167.4564
91.199997 83.737 -168.1017
92.500000 83.674 -168.6185
93.800003 83.647 -169.2055
95.000000 83.633 -169.8560
96.199997 83.623 -170.4576
97.500000 83.624 -170.9836
98.800003 83.640 -171.4617
100.000000 83.643 -172.0396
101.500000 83.588 -172.7612
103.000000 83.523 -173.2874
104.400002 83.484 -173.8426
106.000000 83.445 -174.5601
107.500000 83.414 -175.1742
109.000000 83.390 -175.7519
110.599998 83.354 -176.3502
112.000000 83.313 -176.8159
113.800003 83.259 -177.3345
115.000000 83.230 -177.6450
117.199997 83.188 -178.2428
118.000000 83.171 -178.4798
120.599998 83.096 -179.1799
122.000000 83.058 -179.4866
124.099998 83.008 -179.9713
125.000000 82.987 179.8182
126.500000 82.952 179.4383
128.000000 82.911 179.0328
131.500000 82.810 178.2234
132.000000 82.798 178.1187
134.000000 82.756 177.6910
136.000000 82.708 177.2365
138.000000 82.649 176.8651
140.000000 82.594 176.5752
143.000000 82.519 176.1304
145.000000 82.467 175.8149
147.500000 82.393 175.4080
150.000000 82.323 175.0274
152.500000 82.269 174.6428
155.000000 82.218 174.2549
157.500000 82.158 173.9558
160.000000 82.090 173.7350
162.500000 82.020 173.5215
165.000000 81.947 173.2796
167.500000 81.879 173.0520
170.000000 81.814 172.8271
172.500000 81.750 172.6124
175.000000 81.691 172.4043
177.500000 81.636 172.2188
180.000000 81.588 172.0559
182.500000 81.540 171.8598
185.000000 81.487 171.6582
187.500000 81.436 171.4966
190.000000 81.387 171.3654
192.500000 81.337 171.2575
195.000000 81.295 171.1989
197.500000 81.257 171.1498
200.000000 81.199 171.0291
203.000000 81.105 170.8740
206.000000 81.037 170.8070
209.000000 81.000 170.8526
212.000000 80.957 170.9666
214.000000 80.922 171.0147
218.000000 80.841 170.9637
220.000000 80.804 170.9360
224.000000 80.749 170.8617
227.000000 80.707 170.7376
230.000000 80.665 170.5752
233.000000 80.626 170.4577
236.000000 80.590 170.3870
240.000000 80.556 170.2564
243.000000 80.540 170.2295
247.000000 80.501 170.1991
250.000000 80.449 170.0331
254.000000 80.375 169.6575
258.000000 80.292 169.3904
262.000000 80.217 169.1678
265.000000 80.170 168.9975
269.000000 80.096 168.7593
272.000000 80.026 168.5862
276.000000 79.928 168.4082
280.000000 79.823 168.2578
