* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/10/2022 9:41:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: M4 100ohm SO - R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.448 109.4824
1.015000 40.418 107.4627
1.030000 40.399 105.3927
1.044000 40.391 103.4078
1.060000 40.392 101.0832
1.075000 40.402 98.8560
1.090000 40.421 96.5887
1.106000 40.451 94.1331
1.120000 40.486 91.9586
1.138000 40.540 89.1359
1.150000 40.583 87.2421
1.172000 40.674 83.7571
1.180000 40.711 82.4886
1.206000 40.845 78.3771
1.220000 40.926 76.1782
1.241000 41.057 72.9133
1.250000 41.117 71.5300
1.265000 41.222 69.2505
1.280000 41.333 67.0090
1.315000 41.612 61.9613
1.320000 41.654 61.2643
1.340000 41.827 58.5463
1.360000 42.013 55.9233
1.380000 42.219 53.3289
1.400000 42.446 50.7627
1.430000 42.818 46.9755
1.450000 43.084 44.4983
1.475000 43.434 41.4628
1.500000 43.797 38.5026
1.525000 44.171 35.6259
1.550000 44.551 32.8411
1.575000 44.931 30.1563
1.600000 45.309 27.5797
1.625000 45.678 25.1196
1.650000 46.036 22.7842
1.675000 46.377 20.5817
1.700000 46.703 18.5293
1.725000 47.029 16.6478
1.750000 47.354 14.9217
1.775000 47.678 13.3334
1.800000 48.000 11.8653
1.825000 48.319 10.4999
1.850000 48.635 9.2198
1.875000 48.948 8.0074
1.900000 49.255 6.8451
1.925000 49.558 5.7155
1.950000 49.855 4.6009
1.975000 50.145 3.4840
2.000000 50.428 2.3472
2.030000 50.758 0.9415
2.060000 51.078 -0.4319
2.090000 51.389 -1.7532
2.120000 51.692 -3.0274
2.140000 51.890 -3.8532
2.180000 52.275 -5.4543
2.200000 52.463 -6.2326
2.240000 52.830 -7.7522
2.270000 53.098 -8.8651
2.300000 53.361 -9.9607
2.330000 53.618 -11.0437
2.360000 53.870 -12.1190
2.400000 54.197 -13.5200
2.430000 54.434 -14.5401
2.470000 54.740 -15.8628
2.500000 54.962 -16.8293
2.540000 55.250 -18.0875
2.580000 55.529 -19.3151
2.620000 55.798 -20.5165
2.650000 55.996 -21.4032
2.690000 56.252 -22.5699
2.720000 56.439 -23.4304
2.760000 56.681 -24.5498
2.800000 56.912 -25.6399
2.850000 57.190 -26.9657
2.900000 57.455 -28.2558
2.950000 57.710 -29.5157
3.000000 57.954 -30.7510
3.040000 58.143 -31.7254
3.070000 58.280 -32.4506
3.110000 58.455 -33.4081
3.150000 58.623 -34.3507
3.200000 58.824 -35.5014
3.250000 59.016 -36.6134
3.300000 59.199 -37.6782
3.350000 59.376 -38.6872
3.400000 59.546 -39.6353
3.450000 59.707 -40.5298
3.500000 59.858 -41.3747
3.550000 60.003 -42.1737
3.600000 60.142 -42.9303
3.650000 60.277 -43.6482
3.700000 60.409 -44.3311
3.750000 60.537 -44.9788
3.820000 60.707 -45.8208
3.870000 60.822 -46.3748
3.950000 61.003 -47.1766
4.000000 61.116 -47.6236
4.060000 61.254 -48.1015
4.120000 61.390 -48.4984
4.180000 61.525 -48.8262
4.250000 61.682 -49.1468
4.310000 61.820 -49.3906
4.370000 61.962 -49.6259
4.440000 62.134 -49.8750
4.500000 62.285 -50.0487
4.550000 62.413 -50.1773
4.620000 62.596 -50.3512
4.680000 62.756 -50.5117
4.750000 62.947 -50.7230
4.820000 63.144 -50.9302
4.870000 63.288 -51.0814
4.940000 63.490 -51.3113
5.000000 63.664 -51.5373
5.080000 63.892 -51.8971
5.150000 64.093 -52.2572
5.220000 64.295 -52.6535
5.300000 64.521 -53.1474
5.380000 64.739 -53.6814
5.450000 64.923 -54.1896
5.520000 65.102 -54.7392
5.600000 65.300 -55.3990
5.700000 65.534 -56.2389
5.800000 65.749 -57.0880
5.900000 65.949 -57.9670
6.000000 66.134 -58.8291
6.080000 66.271 -59.4767
6.150000 66.382 -60.0280
6.220000 66.485 -60.5637
6.300000 66.597 -61.1409
6.400000 66.730 -61.7823
6.500000 66.854 -62.3315
6.600000 66.969 -62.8012
6.700000 67.084 -63.1909
6.800000 67.203 -63.4923
6.900000 67.321 -63.7010
7.000000 67.444 -63.8500
7.100000 67.577 -63.9683
7.200000 67.719 -64.0269
7.300000 67.869 -64.0558
7.400000 68.027 -64.1071
7.500000 68.196 -64.1833
7.620000 68.410 -64.2939
7.750000 68.647 -64.5023
7.880000 68.890 -64.8220
8.000000 69.115 -65.2011
8.120000 69.332 -65.6651
8.250000 69.561 -66.2758
8.380000 69.779 -66.9564
8.500000 69.964 -67.6236
8.620000 70.137 -68.3403
8.750000 70.309 -69.1121
8.850000 70.431 -69.6929
9.000000 70.596 -70.5485
9.120000 70.718 -71.1770
9.250000 70.840 -71.8019
9.380000 70.955 -72.3687
9.500000 71.059 -72.8305
9.620000 71.159 -73.2345
9.750000 71.269 -73.6264
9.880000 71.381 -73.9735
10.000000 71.485 -74.2563
10.150000 71.619 -74.5904
10.300000 71.756 -74.8995
10.440000 71.887 -75.1760
10.600000 72.038 -75.4854
10.750000 72.181 -75.7651
10.900000 72.327 -76.0323
11.060000 72.486 -76.3093
11.200000 72.631 -76.5497
11.380000 72.825 -76.8627
11.500000 72.961 -77.1078
11.720000 73.223 -77.6279
11.800000 73.319 -77.8720
12.060000 73.641 -78.8665
12.200000 73.803 -79.5668
12.410000 74.029 -80.8256
12.500000 74.110 -81.4192
12.650000 74.227 -82.5034
12.800000 74.313 -83.5860
13.150000 74.386 -85.9079
13.200000 74.382 -86.1663
13.400000 74.343 -86.9831
13.600000 74.296 -87.2558
13.800000 74.266 -87.0448
14.000000 74.299 -86.3577
14.300000 74.520 -85.1223
14.500000 74.776 -84.5383
14.750000 75.187 -84.5375
15.000000 75.589 -85.6021
15.250000 75.911 -87.5505
15.500000 76.098 -90.0768
15.750000 76.115 -92.6521
16.000000 75.981 -94.5548
16.250000 75.762 -95.3645
16.500000 75.544 -94.8657
16.750000 75.462 -93.1762
17.000000 75.614 -91.1888
17.250000 75.969 -89.6672
17.500000 76.457 -89.2499
17.750000 76.934 -90.2991
18.000000 77.296 -92.4623
18.250000 77.500 -95.2612
18.500000 77.525 -98.1510
18.750000 77.386 -100.4417
19.000000 77.149 -101.6650
19.250000 76.893 -101.6911
19.500000 76.709 -100.5579
19.750000 76.703 -98.7867
20.000000 76.879 -97.0855
20.299999 77.269 -95.7901
20.600000 77.728 -95.7726
20.900000 78.137 -96.9336
21.200001 78.436 -98.8142
21.400000 78.568 -100.2092
21.799999 78.697 -102.8754
22.000000 78.711 -104.0117
22.400000 78.674 -105.7713
22.700001 78.618 -106.6018
23.000000 78.562 -107.0172
23.299999 78.526 -107.0574
23.600000 78.529 -106.8162
24.000000 78.614 -106.3344
24.299999 78.729 -106.0721
24.700001 78.909 -106.0309
25.000000 79.036 -106.1824
25.400000 79.180 -106.4194
25.799999 79.320 -106.5011
26.200001 79.492 -106.4765
26.500000 79.647 -106.5374
26.900000 79.868 -106.8859
27.200001 80.021 -107.3482
27.600000 80.194 -108.0657
28.000000 80.343 -108.7147
28.500000 80.541 -109.3979
29.000000 80.769 -110.2812
29.500000 80.979 -111.6152
30.000000 81.111 -113.1678
30.400000 81.162 -114.2637
30.700001 81.186 -114.9024
31.100000 81.224 -115.5253
31.500000 81.283 -116.0099
32.000000 81.384 -116.6203
32.500000 81.497 -117.3388
33.000000 81.601 -118.1553
33.500000 81.684 -118.9949
34.000000 81.746 -119.7183
34.500000 81.808 -120.2143
35.000000 81.904 -120.5709
35.500000 82.039 -121.0592
36.000000 82.175 -121.8700
36.500000 82.267 -122.8964
37.000000 82.308 -123.8380
37.500000 82.326 -124.4915
38.200001 82.373 -124.9679
38.700001 82.447 -125.1424
39.500000 82.663 -125.5857
40.000000 82.833 -126.3724
40.599998 82.974 -127.9749
41.200001 82.971 -129.6230
41.799999 82.883 -130.4339
42.500000 82.866 -130.3423
43.099998 82.973 -130.3053
43.700001 83.100 -130.6699
44.400002 83.236 -131.0938
45.000000 83.406 -131.4668
45.500000 83.571 -132.1810
46.200001 83.723 -133.8362
46.799999 83.744 -135.1719
47.500000 83.750 -136.1767
48.200001 83.787 -137.2617
48.700001 83.768 -138.2466
49.400002 83.643 -139.1176
50.000000 83.561 -138.9883
50.799999 83.646 -138.6773
51.500000 83.781 -139.2536
52.200001 83.855 -140.1214
53.000000 83.937 -140.8882
53.799999 84.033 -141.8162
54.500000 84.072 -142.5980
55.200001 84.107 -142.9654
56.000000 84.212 -143.2607
57.000000 84.352 -144.1159
58.000000 84.443 -145.2077
59.000000 84.493 -146.6670
60.000000 84.454 -148.2809
60.799999 84.402 -149.3555
61.500000 84.376 -150.1853
62.200001 84.379 -150.9690
63.000000 84.418 -151.8495
64.000000 84.501 -152.9622
65.000000 84.592 -153.9316
66.000000 84.679 -154.6981
67.000000 84.743 -155.2691
68.000000 84.795 -155.7069
69.000000 84.826 -156.3140
70.000000 84.816 -157.0545
71.000000 84.802 -157.8790
72.000000 84.791 -158.8802
73.000000 84.788 -159.8478
74.000000 84.823 -160.7370
75.000000 84.879 -161.6694
76.199997 84.923 -162.7350
77.500000 84.926 -163.5546
78.800003 84.917 -164.1463
80.000000 84.903 -164.7653
81.199997 84.885 -165.5316
82.500000 84.863 -166.4965
83.800003 84.844 -167.4559
85.000000 84.832 -168.2800
86.199997 84.813 -169.0200
87.500000 84.789 -169.6854
88.500000 84.776 -170.1945
90.000000 84.749 -171.0851
91.199997 84.713 -171.7958
92.500000 84.680 -172.4672
93.800003 84.663 -173.1190
95.000000 84.650 -173.7533
96.199997 84.633 -174.3953
97.500000 84.616 -175.1201
98.800003 84.590 -175.9801
100.000000 84.533 -176.6933
101.500000 84.472 -177.1958
103.000000 84.450 -177.6621
104.400002 84.424 -178.1871
106.000000 84.378 -178.7713
107.500000 84.334 -179.3177
109.000000 84.292 -179.8877
110.599998 84.245 179.5333
112.000000 84.206 179.0615
113.800003 84.146 178.4811
115.000000 84.101 178.1206
117.199997 84.022 177.4558
118.000000 83.994 177.1919
120.599998 83.901 176.3737
122.000000 83.861 176.0218
124.099998 83.817 175.4856
125.000000 83.795 175.2469
126.500000 83.749 174.8652
128.000000 83.692 174.5406
131.500000 83.566 173.7795
132.000000 83.549 173.6467
134.000000 83.479 173.0969
136.000000 83.408 172.6160
138.000000 83.344 172.2303
140.000000 83.280 171.8857
143.000000 83.178 171.4505
145.000000 83.110 171.1695
147.500000 83.019 170.8031
150.000000 82.921 170.4947
152.500000 82.834 170.2338
155.000000 82.750 169.9764
157.500000 82.667 169.7373
160.000000 82.582 169.5125
162.500000 82.501 169.3117
165.000000 82.425 169.1191
167.500000 82.351 168.9513
170.000000 82.281 168.8185
172.500000 82.216 168.7063
175.000000 82.156 168.5543
177.500000 82.098 168.3773
180.000000 82.040 168.2341
182.500000 81.983 168.1223
185.000000 81.928 167.9834
187.500000 81.875 167.8470
190.000000 81.829 167.7687
192.500000 81.787 167.7419
195.000000 81.744 167.7675
197.500000 81.688 167.8308
200.000000 81.621 167.8499
203.000000 81.543 167.6750
206.000000 81.489 167.4449
209.000000 81.445 167.3546
212.000000 81.383 167.3561
214.000000 81.336 167.3374
218.000000 81.262 167.2570
220.000000 81.232 167.2341
224.000000 81.162 167.2213
227.000000 81.110 167.2030
230.000000 81.062 167.1629
233.000000 81.013 167.1126
236.000000 80.964 167.0405
240.000000 80.901 166.9487
243.000000 80.861 166.9586
247.000000 80.811 166.9712
250.000000 80.757 166.9614
254.000000 80.680 167.0373
258.000000 80.603 167.0940
262.000000 80.548 167.0727
265.000000 80.508 167.0646
269.000000 80.446 167.0743
272.000000 80.393 167.0569
276.000000 80.322 167.0244
280.000000 80.251 167.0077
285.000000 80.153 167.0379
290.000000 80.061 167.0810
295.000000 79.975 167.1555
300.000000 79.888 167.3191
