* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/08/2022 9:40:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MACH 10 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.725 170.6215
1.015000 68.897 169.8414
1.030000 69.065 169.0723
1.044000 69.219 168.3611
1.060000 69.392 167.5555
1.075000 69.550 166.8069
1.090000 69.706 166.0641
1.106000 69.869 165.2779
1.120000 70.009 164.5944
1.138000 70.186 163.7214
1.150000 70.302 163.1426
1.172000 70.511 162.0871
1.180000 70.586 161.7048
1.206000 70.826 160.4672
1.220000 70.953 159.8032
1.241000 71.141 158.8091
1.250000 71.221 158.3836
1.265000 71.353 157.6746
1.280000 71.484 156.9655
1.315000 71.787 155.3078
1.320000 71.830 155.0704
1.340000 72.001 154.1186
1.360000 72.170 153.1627
1.380000 72.338 152.2039
1.400000 72.502 151.2430
1.430000 72.744 149.7997
1.450000 72.902 148.8378
1.475000 73.096 147.6371
1.500000 73.286 146.4401
1.525000 73.473 145.2487
1.550000 73.656 144.0645
1.575000 73.836 142.8896
1.600000 74.012 141.7255
1.625000 74.184 140.5743
1.650000 74.354 139.4376
1.675000 74.520 138.3173
1.700000 74.683 137.2139
1.725000 74.842 136.1240
1.750000 74.998 135.0468
1.775000 75.149 133.9813
1.800000 75.297 132.9271
1.825000 75.441 131.8833
1.850000 75.583 130.8492
1.875000 75.721 129.8242
1.900000 75.856 128.8074
1.925000 75.989 127.7982
1.950000 76.119 126.7958
1.975000 76.246 125.7996
2.000000 76.372 124.8087
2.030000 76.519 123.6261
2.060000 76.663 122.4524
2.090000 76.802 121.2887
2.120000 76.937 120.1351
2.140000 77.025 119.3719
2.180000 77.195 117.8598
2.200000 77.278 117.1111
2.240000 77.440 115.6290
2.270000 77.557 114.5310
2.300000 77.671 113.4450
2.330000 77.783 112.3713
2.360000 77.892 111.3102
2.400000 78.032 109.9133
2.430000 78.133 108.8785
2.470000 78.263 107.5165
2.500000 78.357 106.5088
2.540000 78.477 105.1839
2.580000 78.593 103.8810
2.620000 78.704 102.6009
2.650000 78.785 101.6560
2.690000 78.890 100.4171
2.720000 78.966 99.5041
2.760000 79.062 98.3079
2.800000 79.154 97.1353
2.850000 79.264 95.7015
2.900000 79.367 94.3017
2.950000 79.465 92.9342
3.000000 79.559 91.5974
3.040000 79.631 90.5491
3.070000 79.684 89.7755
3.110000 79.750 88.7614
3.150000 79.813 87.7674
3.200000 79.888 86.5536
3.250000 79.958 85.3726
3.300000 80.026 84.2247
3.350000 80.092 83.1107
3.400000 80.155 82.0325
3.450000 80.215 80.9929
3.500000 80.271 79.9884
3.550000 80.325 79.0155
3.600000 80.376 78.0706
3.650000 80.427 77.1501
3.700000 80.476 76.2505
3.750000 80.525 75.3746
3.820000 80.590 74.1953
3.870000 80.635 73.3832
3.950000 80.705 72.1296
4.000000 80.748 71.3709
4.060000 80.799 70.4832
4.120000 80.851 69.6296
4.180000 80.901 68.8078
4.250000 80.959 67.8806
4.310000 81.009 67.1056
4.370000 81.058 66.3421
4.440000 81.115 65.4687
4.500000 81.164 64.7406
4.550000 81.205 64.1462
4.620000 81.261 63.3296
4.680000 81.308 62.6411
4.750000 81.362 61.8486
4.820000 81.415 61.0718
4.870000 81.453 60.5265
4.940000 81.504 59.7758
5.000000 81.547 59.1437
5.080000 81.602 58.3158
5.150000 81.648 57.6041
5.220000 81.692 56.9061
5.300000 81.740 56.1288
5.380000 81.786 55.3771
5.450000 81.825 54.7393
5.520000 81.861 54.1181
5.600000 81.900 53.4321
5.700000 81.947 52.6170
5.800000 81.992 51.8531
5.900000 82.035 51.1370
6.000000 82.077 50.4670
6.080000 82.113 49.9641
6.150000 82.144 49.5519
6.220000 82.175 49.1633
6.300000 82.212 48.7423
6.400000 82.263 48.2411
6.500000 82.317 47.7759
6.600000 82.375 47.3429
6.700000 82.437 46.9200
6.800000 82.505 46.4969
6.900000 82.577 46.0863
7.000000 82.652 45.6707
7.100000 82.729 45.2329
7.200000 82.810 44.7802
7.300000 82.892 44.3105
7.400000 82.973 43.8157
7.500000 83.054 43.2914
7.620000 83.149 42.6297
7.750000 83.245 41.8828
7.880000 83.335 41.0989
8.000000 83.411 40.3532
8.120000 83.478 39.6074
8.250000 83.541 38.7892
8.380000 83.595 37.9819
8.500000 83.635 37.2631
8.620000 83.667 36.5620
8.750000 83.694 35.8419
8.850000 83.710 35.3205
9.000000 83.727 34.5869
9.120000 83.736 34.0488
9.250000 83.741 33.5164
9.380000 83.743 33.0320
9.500000 83.744 32.6259
9.620000 83.744 32.2605
9.750000 83.742 31.9028
9.880000 83.741 31.5826
10.000000 83.740 31.3203
10.150000 83.740 31.0287
10.300000 83.741 30.7790
10.440000 83.743 30.5773
10.600000 83.748 30.3837
10.750000 83.755 30.2308
10.900000 83.767 30.1007
11.060000 83.783 29.9816
11.200000 83.801 29.8797
11.380000 83.831 29.7524
11.500000 83.854 29.6522
11.720000 83.902 29.4397
11.800000 83.919 29.3452
12.060000 83.980 28.9742
12.200000 84.010 28.7333
12.410000 84.051 28.3217
12.500000 84.065 28.1356
12.650000 84.085 27.8076
12.800000 84.100 27.4791
13.150000 84.116 26.7445
13.200000 84.117 26.6486
13.400000 84.117 26.2882
13.600000 84.117 25.9734
13.800000 84.118 25.6956
14.000000 84.124 25.4441
14.300000 84.143 25.0717
14.500000 84.161 24.8070
14.750000 84.188 24.4375
15.000000 84.214 24.0227
15.250000 84.237 23.5758
15.500000 84.255 23.1128
15.750000 84.268 22.6552
16.000000 84.278 22.2202
16.250000 84.285 21.8132
16.500000 84.292 21.4365
16.750000 84.299 21.0880
17.000000 84.308 20.7651
17.250000 84.318 20.4669
17.500000 84.330 20.1921
17.750000 84.345 19.9391
18.000000 84.363 19.7001
18.250000 84.385 19.4655
18.500000 84.409 19.2255
18.750000 84.435 18.9686
19.000000 84.460 18.6931
19.250000 84.482 18.4038
19.500000 84.499 18.1094
19.750000 84.511 17.8260
20.000000 84.519 17.5662
20.299999 84.525 17.2930
20.600000 84.531 17.0615
20.900000 84.538 16.8596
21.200001 84.548 16.6708
21.400000 84.556 16.5454
21.799999 84.572 16.2905
22.000000 84.580 16.1605
22.400000 84.597 15.8937
22.700001 84.611 15.6815
23.000000 84.624 15.4510
23.299999 84.635 15.1989
23.600000 84.641 14.9318
24.000000 84.641 14.5862
24.299999 84.635 14.3665
24.700001 84.628 14.1537
25.000000 84.628 14.0436
25.400000 84.642 13.9126
25.799999 84.668 13.7292
26.200001 84.696 13.4587
26.500000 84.710 13.2152
26.900000 84.719 12.8907
27.200001 84.720 12.6810
27.600000 84.720 12.4623
28.000000 84.726 12.2880
28.500000 84.742 12.0576
29.000000 84.756 11.7660
29.500000 84.758 11.4523
30.000000 84.751 11.1984
30.400000 84.746 11.0592
30.700001 84.748 10.9745
31.100000 84.758 10.8450
31.500000 84.774 10.6487
32.000000 84.786 10.2963
32.500000 84.777 9.9111
33.000000 84.751 9.6395
33.500000 84.732 9.5327
34.000000 84.735 9.4854
34.500000 84.758 9.3526
35.000000 84.776 9.1075
35.500000 84.779 8.8569
36.000000 84.775 8.7069
36.500000 84.780 8.6440
37.000000 84.799 8.5693
37.500000 84.819 8.4211
38.200001 84.830 8.1591
38.700001 84.828 8.0106
39.500000 84.825 7.8412
40.000000 84.825 7.7261
40.599998 84.823 7.5605
41.200001 84.819 7.3818
41.799999 84.817 7.1843
42.500000 84.814 6.9073
43.099998 84.808 6.6732
43.700001 84.805 6.5047
44.400002 84.820 6.3391
45.000000 84.841 6.1482
45.500000 84.855 5.9924
46.200001 84.875 5.8594
46.799999 84.895 5.7726
47.500000 84.898 5.7343
48.200001 84.899 6.0768
48.700001 84.949 6.4877
49.400002 85.093 6.5683
50.000000 85.176 5.8708
50.799999 85.106 4.7966
51.500000 84.972 4.6528
52.200001 84.902 4.9014
53.000000 84.874 4.8986
53.799999 84.835 4.7388
54.500000 84.812 4.6369
55.200001 84.806 4.4653
56.000000 84.802 4.2137
57.000000 84.806 3.9561
58.000000 84.819 3.7155
59.000000 84.822 3.5514
60.000000 84.826 3.4926
60.799999 84.831 3.4247
61.500000 84.828 3.3235
62.200001 84.816 3.2223
63.000000 84.802 3.1279
64.000000 84.791 3.0006
65.000000 84.786 2.8398
66.000000 84.784 2.6758
67.000000 84.784 2.5448
68.000000 84.784 2.4308
69.000000 84.778 2.3362
70.000000 84.771 2.2629
71.000000 84.763 2.1486
72.000000 84.750 2.0175
73.000000 84.743 1.9104
74.000000 84.747 1.8097
75.000000 84.759 1.7027
76.199997 84.772 1.6063
77.500000 84.785 1.5441
78.800003 84.770 1.4512
80.000000 84.729 1.4486
81.199997 84.688 1.5653
82.500000 84.685 1.6368
83.800003 84.699 1.4032
85.000000 84.705 1.1243
86.199997 84.711 0.8542
87.500000 84.708 0.5884
88.500000 84.694 0.4390
90.000000 84.665 0.3781
91.199997 84.657 0.4003
92.500000 84.663 0.3837
93.800003 84.671 0.3256
95.000000 84.667 0.2786
96.199997 84.646 0.3058
97.500000 84.606 0.4279
98.800003 84.561 0.6617
100.000000 84.557 0.8606
101.500000 84.582 0.5887
103.000000 84.576 0.1068
104.400002 84.573 -0.1908
106.000000 84.580 -0.3632
107.500000 84.583 -0.4084
109.000000 84.575 -0.4085
110.599998 84.558 -0.4363
112.000000 84.541 -0.4954
113.800003 84.524 -0.5930
115.000000 84.516 -0.6477
117.199997 84.504 -0.7145
118.000000 84.499 -0.7361
120.599998 84.478 -0.8209
122.000000 84.470 -0.8740
124.099998 84.461 -0.9580
125.000000 84.457 -0.9908
126.500000 84.447 -1.0323
128.000000 84.434 -1.0575
131.500000 84.409 -1.1223
132.000000 84.406 -1.1398
134.000000 84.394 -1.2112
136.000000 84.384 -1.2722
138.000000 84.372 -1.3164
140.000000 84.355 -1.3309
143.000000 84.333 -1.3721
145.000000 84.323 -1.3994
147.500000 84.325 -1.3882
150.000000 84.325 -1.4296
152.500000 84.289 -1.4720
155.000000 84.253 -1.4620
157.500000 84.234 -1.5004
160.000000 84.220 -1.5387
162.500000 84.202 -1.5322
165.000000 84.185 -1.5148
167.500000 84.168 -1.5216
170.000000 84.151 -1.5245
172.500000 84.134 -1.5197
175.000000 84.113 -1.5094
177.500000 84.092 -1.5052
180.000000 84.073 -1.4972
182.500000 84.058 -1.4671
185.000000 84.046 -1.4069
187.500000 84.037 -1.3489
190.000000 84.024 -1.3309
192.500000 84.003 -1.3386
195.000000 83.985 -1.3652
197.500000 83.978 -1.4111
200.000000 83.969 -1.4376
203.000000 83.944 -1.3197
206.000000 83.917 -1.1436
209.000000 83.898 -1.0582
212.000000 83.882 -1.0370
214.000000 83.868 -1.0162
218.000000 83.837 -0.9664
220.000000 83.820 -0.9397
224.000000 83.790 -0.8557
227.000000 83.771 -0.7733
230.000000 83.750 -0.6930
233.000000 83.726 -0.5884
236.000000 83.700 -0.4268
240.000000 83.670 -0.1548
243.000000 83.656 0.1026
247.000000 83.656 0.5482
250.000000 83.674 0.8157
254.000000 83.706 0.8394
258.000000 83.724 0.6713
262.000000 83.715 0.5286
265.000000 83.697 0.4960
269.000000 83.672 0.5609
272.000000 83.660 0.6349
276.000000 83.651 0.6794
280.000000 83.638 0.6685
285.000000 83.609 0.6561
290.000000 83.576 0.6827
295.000000 83.535 0.7161
300.000000 83.492 0.7526
304.000000 83.465 0.9222
307.000000 83.446 1.0798
311.000000 83.419 1.2473
315.000000 83.392 1.3905
320.000000 83.356 1.5710
325.000000 83.317 1.7737
330.000000 83.275 2.0208
335.000000 83.235 2.3123
340.000000 83.198 2.6400
345.000000 83.163 3.0365
350.000000 83.130 3.4847
355.000000 83.105 3.8857
360.000000 83.086 4.3162
365.000000 83.072 4.8523
370.000000 83.082 5.5148
375.000000 83.137 6.1698
