* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/08/2022 9:38:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MACH 10 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.653 179.5862
1.015000 68.838 178.4770
1.030000 69.019 177.4252
1.044000 69.184 176.4901
1.060000 69.369 175.4721
1.075000 69.538 174.5627
1.090000 69.704 173.6926
1.106000 69.877 172.8033
1.120000 70.025 172.0541
1.138000 70.212 171.1251
1.150000 70.335 170.5239
1.172000 70.555 169.4515
1.180000 70.633 169.0692
1.206000 70.885 167.8444
1.220000 71.018 167.1908
1.241000 71.214 166.2092
1.250000 71.298 165.7856
1.265000 71.435 165.0725
1.280000 71.572 164.3471
1.315000 71.887 162.5833
1.320000 71.932 162.3210
1.340000 72.111 161.2397
1.360000 72.288 160.1087
1.380000 72.462 158.9489
1.400000 72.633 157.7657
1.430000 72.884 155.9563
1.450000 73.047 154.7332
1.475000 73.248 153.1927
1.500000 73.444 151.6472
1.525000 73.636 150.1048
1.550000 73.824 148.5737
1.575000 74.008 147.0623
1.600000 74.189 145.5789
1.625000 74.366 144.1315
1.650000 74.540 142.7286
1.675000 74.711 141.3783
1.700000 74.878 140.0837
1.725000 75.041 138.8320
1.750000 75.200 137.6183
1.775000 75.355 136.4385
1.800000 75.505 135.2882
1.825000 75.653 134.1632
1.850000 75.797 133.0594
1.875000 75.937 131.9725
1.900000 76.075 130.8983
1.925000 76.209 129.8326
1.950000 76.341 128.7711
1.975000 76.471 127.7097
2.000000 76.598 126.6440
2.030000 76.748 125.3555
2.060000 76.894 124.0689
2.090000 77.035 122.7897
2.120000 77.172 121.5193
2.140000 77.260 120.6779
2.180000 77.433 119.0101
2.200000 77.516 118.1845
2.240000 77.679 116.5522
2.270000 77.798 115.3459
2.300000 77.913 114.1567
2.330000 78.026 112.9857
2.360000 78.136 111.8343
2.400000 78.278 110.3237
2.430000 78.380 109.2074
2.470000 78.511 107.7424
2.500000 78.606 106.6620
2.540000 78.727 105.2470
2.580000 78.844 103.8626
2.620000 78.957 102.5101
2.650000 79.039 101.5175
2.690000 79.146 100.2242
2.720000 79.223 99.2795
2.760000 79.322 98.0557
2.800000 79.417 96.8687
2.850000 79.529 95.4300
2.900000 79.635 94.0330
2.950000 79.737 92.6691
3.000000 79.835 91.3295
3.040000 79.911 90.2698
3.070000 79.966 89.4824
3.110000 80.037 88.4456
3.150000 80.104 87.4260
3.200000 80.185 86.1800
3.250000 80.262 84.9707
3.300000 80.337 83.8036
3.350000 80.409 82.6841
3.400000 80.481 81.6189
3.450000 80.549 80.6107
3.500000 80.614 79.6501
3.550000 80.677 78.7273
3.600000 80.738 77.8326
3.650000 80.798 76.9562
3.700000 80.858 76.0883
3.750000 80.917 75.2307
3.820000 80.997 74.0633
3.870000 81.053 73.2540
3.950000 81.140 72.0035
4.000000 81.195 71.2505
4.060000 81.259 70.3781
4.120000 81.323 69.5479
4.180000 81.386 68.7538
4.250000 81.459 67.8604
4.310000 81.520 67.1120
4.370000 81.580 66.3697
4.440000 81.650 65.5113
4.500000 81.709 64.7904
4.550000 81.757 64.2000
4.620000 81.823 63.3895
4.680000 81.878 62.7095
4.750000 81.941 61.9338
4.820000 82.002 61.1780
4.870000 82.045 60.6497
4.940000 82.103 59.9249
5.000000 82.151 59.3163
5.080000 82.212 58.5216
5.150000 82.263 57.8421
5.220000 82.312 57.1785
5.300000 82.366 56.4409
5.380000 82.417 55.7269
5.450000 82.460 55.1216
5.520000 82.501 54.5336
5.600000 82.545 53.8835
5.700000 82.599 53.1049
5.800000 82.650 52.3672
5.900000 82.699 51.6697
6.000000 82.746 51.0047
6.080000 82.783 50.4914
6.150000 82.815 50.0589
6.220000 82.847 49.6413
6.300000 82.883 49.1790
6.400000 82.928 48.6178
6.500000 82.973 48.0790
6.600000 83.019 47.5611
6.700000 83.063 47.0537
6.800000 83.108 46.5508
6.900000 83.152 46.0576
7.000000 83.196 45.5707
7.100000 83.238 45.0863
7.200000 83.279 44.6055
7.300000 83.319 44.1287
7.400000 83.357 43.6555
7.500000 83.393 43.1847
7.620000 83.433 42.6243
7.750000 83.472 42.0295
7.880000 83.508 41.4470
8.000000 83.537 40.9222
8.120000 83.564 40.4165
8.250000 83.588 39.8880
8.380000 83.611 39.3825
8.500000 83.630 38.9395
8.620000 83.646 38.5178
8.750000 83.664 38.0847
8.850000 83.677 37.7696
9.000000 83.697 37.3239
9.120000 83.713 36.9845
9.250000 83.733 36.6370
9.380000 83.753 36.3028
9.500000 83.774 35.9999
9.620000 83.797 35.7058
9.750000 83.824 35.3850
9.880000 83.853 35.0581
10.000000 83.882 34.7517
10.150000 83.918 34.3503
10.300000 83.955 33.9294
10.440000 83.989 33.5177
10.600000 84.026 33.0208
10.750000 84.058 32.5379
10.900000 84.086 32.0421
11.060000 84.110 31.5054
11.200000 84.127 31.0448
11.380000 84.142 30.4638
11.500000 84.150 30.0999
11.720000 84.158 29.4789
11.800000 84.160 29.2724
12.060000 84.167 28.6754
12.200000 84.174 28.3921
12.410000 84.190 28.0117
12.500000 84.199 27.8528
12.650000 84.218 27.5991
12.800000 84.241 27.3379
13.150000 84.304 26.6682
13.200000 84.313 26.5625
13.400000 84.349 26.1176
13.600000 84.380 25.6461
13.800000 84.404 25.1625
14.000000 84.419 24.6898
14.300000 84.430 24.0511
14.500000 84.432 23.6889
14.750000 84.434 23.3203
15.000000 84.442 23.0233
15.250000 84.458 22.7642
15.500000 84.481 22.5118
15.750000 84.510 22.2332
16.000000 84.538 21.9183
16.250000 84.562 21.5784
16.500000 84.580 21.2299
16.750000 84.592 20.8989
17.000000 84.600 20.6036
17.250000 84.607 20.3445
17.500000 84.616 20.1156
17.750000 84.629 19.8978
18.000000 84.646 19.6696
18.250000 84.663 19.4213
18.500000 84.680 19.1484
18.750000 84.693 18.8575
19.000000 84.703 18.5644
19.250000 84.708 18.2808
19.500000 84.712 18.0164
19.750000 84.715 17.7748
20.000000 84.720 17.5491
20.299999 84.729 17.2882
20.600000 84.740 17.0234
20.900000 84.753 16.7458
21.200001 84.764 16.4565
21.400000 84.771 16.2617
21.799999 84.781 15.8835
22.000000 84.785 15.7062
22.400000 84.792 15.3817
22.700001 84.797 15.1650
23.000000 84.805 14.9677
23.299999 84.815 14.7839
23.600000 84.828 14.6062
24.000000 84.849 14.3627
24.299999 84.866 14.1633
24.700001 84.888 13.8643
25.000000 84.901 13.6191
25.400000 84.910 13.2845
25.799999 84.909 12.9774
26.200001 84.904 12.7268
26.500000 84.900 12.5780
26.900000 84.898 12.4126
27.200001 84.900 12.2951
27.600000 84.907 12.1257
28.000000 84.913 11.9353
28.500000 84.919 11.6824
29.000000 84.921 11.4396
29.500000 84.923 11.2219
30.000000 84.927 11.0284
30.400000 84.935 10.8808
30.700001 84.942 10.7637
31.100000 84.955 10.5842
31.500000 84.966 10.3701
32.000000 84.971 10.0765
32.500000 84.965 9.8154
33.000000 84.955 9.6396
33.500000 84.954 9.5298
34.000000 84.963 9.4087
34.500000 84.976 9.2235
35.000000 84.982 8.9952
35.500000 84.980 8.7818
36.000000 84.977 8.6124
36.500000 84.980 8.4651
37.000000 84.988 8.3016
37.500000 84.995 8.1105
38.200001 85.002 7.8346
38.700001 85.005 7.6559
39.500000 85.011 7.4011
40.000000 85.014 7.2579
40.599998 85.017 7.1091
41.200001 85.021 6.9744
41.799999 85.024 6.8340
42.500000 85.023 6.6690
43.099998 85.018 6.5406
43.700001 85.013 6.4050
44.400002 85.005 6.2260
45.000000 84.998 6.0770
45.500000 84.997 5.9354
46.200001 84.999 5.6500
46.799999 84.992 5.3855
47.500000 84.995 5.1821
48.200001 85.036 4.8696
48.700001 85.062 4.3925
49.400002 85.026 3.6410
50.000000 84.947 3.4478
50.799999 84.905 3.8805
51.500000 84.956 4.1311
52.200001 84.995 4.0376
53.000000 85.000 4.0339
53.799999 85.024 4.1356
54.500000 85.045 4.0488
55.200001 85.039 3.9186
56.000000 85.024 3.8697
57.000000 85.017 3.7822
58.000000 85.009 3.6269
59.000000 85.005 3.4541
60.000000 85.006 3.2618
60.799999 85.007 3.1110
61.500000 85.009 2.9805
62.200001 85.008 2.8618
63.000000 85.005 2.7477
64.000000 85.002 2.6184
65.000000 84.995 2.4894
66.000000 84.988 2.3599
67.000000 84.980 2.2162
68.000000 84.970 2.0865
69.000000 84.964 1.9876
70.000000 84.962 1.8771
71.000000 84.960 1.7574
72.000000 84.957 1.6311
73.000000 84.951 1.5021
74.000000 84.944 1.3862
75.000000 84.940 1.2738
76.199997 84.940 1.0981
77.500000 84.931 0.8823
78.800003 84.918 0.7925
80.000000 84.916 0.7407
81.199997 84.913 0.6664
82.500000 84.903 0.5859
83.800003 84.894 0.4937
85.000000 84.881 0.3466
86.199997 84.862 0.2395
87.500000 84.854 0.1512
88.500000 84.852 0.0583
90.000000 84.847 -0.0580
91.199997 84.843 -0.1093
92.500000 84.838 -0.1570
93.800003 84.827 -0.2139
95.000000 84.814 -0.2892
96.199997 84.799 -0.4144
97.500000 84.781 -0.6273
98.800003 84.750 -0.8759
100.000000 84.715 -0.9210
101.500000 84.719 -0.8033
103.000000 84.745 -0.8428
104.400002 84.753 -0.9127
106.000000 84.749 -0.9663
107.500000 84.736 -1.0140
109.000000 84.722 -1.0778
110.599998 84.706 -1.1595
112.000000 84.694 -1.2175
113.800003 84.682 -1.2732
115.000000 84.675 -1.3067
117.199997 84.662 -1.3839
118.000000 84.657 -1.4189
120.599998 84.641 -1.5225
122.000000 84.632 -1.5684
124.099998 84.616 -1.6348
125.000000 84.608 -1.6620
126.500000 84.597 -1.7090
128.000000 84.585 -1.7596
131.500000 84.558 -1.8643
132.000000 84.554 -1.8773
134.000000 84.539 -1.9331
136.000000 84.526 -1.9956
138.000000 84.513 -2.0450
140.000000 84.499 -2.0782
143.000000 84.472 -2.1282
145.000000 84.457 -2.1698
147.500000 84.448 -2.2333
150.000000 84.436 -2.3116
152.500000 84.408 -2.3152
155.000000 84.382 -2.2921
157.500000 84.362 -2.3094
160.000000 84.344 -2.3281
162.500000 84.322 -2.3312
165.000000 84.300 -2.3348
167.500000 84.279 -2.3461
170.000000 84.260 -2.3487
172.500000 84.240 -2.3394
175.000000 84.220 -2.3292
177.500000 84.199 -2.3262
180.000000 84.178 -2.3229
182.500000 84.155 -2.3080
185.000000 84.133 -2.2789
187.500000 84.111 -2.2526
190.000000 84.089 -2.2372
192.500000 84.066 -2.2134
195.000000 84.039 -2.1501
197.500000 84.006 -2.0385
200.000000 83.972 -1.9125
203.000000 83.935 -1.7982
206.000000 83.899 -1.6218
209.000000 83.861 -1.2888
212.000000 83.835 -0.7923
214.000000 83.837 -0.3939
218.000000 83.914 0.3164
220.000000 83.980 0.4647
224.000000 84.096 0.1918
227.000000 84.129 -0.2679
230.000000 84.123 -0.6852
233.000000 84.097 -0.9810
236.000000 84.065 -1.1636
240.000000 84.020 -1.2917
243.000000 83.988 -1.3253
247.000000 83.941 -1.3002
250.000000 83.909 -1.2589
254.000000 83.878 -1.2460
258.000000 83.848 -1.2143
262.000000 83.817 -1.1364
265.000000 83.794 -1.0640
269.000000 83.765 -0.9551
272.000000 83.745 -0.8668
276.000000 83.723 -0.7463
280.000000 83.702 -0.6417
285.000000 83.674 -0.5410
290.000000 83.644 -0.4432
295.000000 83.606 -0.3105
300.000000 83.566 -0.1675
304.000000 83.546 -0.0815
307.000000 83.532 -0.0183
311.000000 83.508 0.0854
315.000000 83.481 0.2075
320.000000 83.445 0.3785
325.000000 83.408 0.5636
330.000000 83.366 0.7539
335.000000 83.322 0.9626
340.000000 83.276 1.1929
345.000000 83.224 1.4399
350.000000 83.167 1.7401
355.000000 83.112 2.1680
360.000000 83.052 2.7194
365.000000 82.990 3.4428
