* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13/10/2022 9:25:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MD4 10 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 81.316 67.4594
1.015000 81.378 65.8350
1.030000 81.441 64.2702
1.044000 81.501 62.8563
1.060000 81.570 61.2914
1.075000 81.636 59.8694
1.090000 81.703 58.4870
1.106000 81.775 57.0515
1.120000 81.838 55.8247
1.138000 81.921 54.2821
1.150000 81.976 53.2722
1.172000 82.079 51.4515
1.180000 82.116 50.7973
1.206000 82.239 48.6903
1.220000 82.305 47.5625
1.241000 82.405 45.8707
1.250000 82.448 45.1433
1.265000 82.520 43.9245
1.280000 82.591 42.6943
1.315000 82.758 39.7563
1.320000 82.782 39.3267
1.340000 82.877 37.5777
1.360000 82.972 35.7798
1.380000 83.069 33.9509
1.400000 83.166 32.0972
1.430000 83.314 29.2808
1.450000 83.413 27.3866
1.475000 83.537 25.0090
1.500000 83.662 22.6295
1.525000 83.786 20.2578
1.550000 83.910 17.9036
1.575000 84.034 15.5766
1.600000 84.155 13.2867
1.625000 84.276 11.0434
1.650000 84.394 8.8565
1.675000 84.510 6.7357
1.700000 84.623 4.6847
1.725000 84.736 2.6884
1.750000 84.848 0.7411
1.775000 84.960 -1.1623
1.800000 85.070 -3.0267
1.825000 85.179 -4.8571
1.850000 85.286 -6.6586
1.875000 85.392 -8.4361
1.900000 85.496 -10.1946
1.925000 85.599 -11.9392
1.950000 85.699 -13.6748
1.975000 85.797 -15.4065
2.000000 85.892 -17.1392
2.030000 86.004 -19.2248
2.060000 86.112 -21.3011
2.090000 86.219 -23.3618
2.120000 86.322 -25.4058
2.140000 86.390 -26.7587
2.180000 86.521 -29.4394
2.200000 86.584 -30.7666
2.240000 86.707 -33.3928
2.270000 86.795 -35.3367
2.300000 86.880 -37.2571
2.330000 86.961 -39.1530
2.360000 87.038 -41.0234
2.400000 87.136 -43.4839
2.430000 87.205 -45.3058
2.470000 87.293 -47.7017
2.500000 87.354 -49.4726
2.540000 87.431 -51.7972
2.580000 87.502 -54.0779
2.620000 87.566 -56.3125
2.650000 87.610 -57.9568
2.690000 87.663 -60.1054
2.720000 87.698 -61.6830
2.760000 87.740 -63.7427
2.800000 87.775 -65.7541
2.850000 87.810 -68.2036
2.900000 87.835 -70.5847
2.950000 87.852 -72.9013
3.000000 87.859 -75.1573
3.040000 87.859 -76.9220
3.070000 87.854 -78.2294
3.110000 87.842 -79.9495
3.150000 87.823 -81.6356
3.200000 87.792 -83.6823
3.250000 87.753 -85.6463
3.300000 87.708 -87.5112
3.350000 87.657 -89.2604
3.400000 87.599 -90.8873
3.450000 87.531 -92.4110
3.500000 87.456 -93.8341
3.550000 87.374 -95.1577
3.600000 87.291 -96.3833
3.650000 87.206 -97.5119
3.700000 87.125 -98.5448
3.750000 87.041 -99.4778
3.820000 86.916 -100.6125
3.870000 86.826 -101.3064
3.950000 86.690 -102.2265
4.000000 86.617 -102.6894
4.060000 86.545 -103.1308
4.120000 86.483 -103.3907
4.180000 86.430 -103.4984
4.250000 86.385 -103.5024
4.310000 86.363 -103.4625
4.370000 86.362 -103.4387
4.440000 86.388 -103.3926
4.500000 86.433 -103.2880
4.550000 86.483 -103.1860
4.620000 86.568 -103.0682
4.680000 86.650 -103.0350
4.750000 86.755 -103.1110
4.820000 86.882 -103.2527
4.870000 86.982 -103.3944
4.940000 87.127 -103.6595
5.000000 87.250 -103.9575
5.080000 87.403 -104.4734
5.150000 87.538 -105.0504
5.220000 87.672 -105.7198
5.300000 87.817 -106.5594
5.380000 87.945 -107.4355
5.450000 88.043 -108.2449
5.520000 88.130 -109.1187
5.600000 88.218 -110.1487
5.700000 88.307 -111.4014
5.800000 88.371 -112.5825
5.900000 88.409 -113.7429
6.000000 88.431 -114.8152
6.080000 88.442 -115.5642
6.150000 88.442 -116.1507
6.220000 88.435 -116.6795
6.300000 88.424 -117.2086
6.400000 88.416 -117.7495
6.500000 88.419 -118.1277
6.600000 88.423 -118.3716
6.700000 88.426 -118.5459
6.800000 88.450 -118.6740
6.900000 88.496 -118.7154
7.000000 88.555 -118.7480
7.100000 88.628 -118.8481
7.200000 88.720 -118.9795
7.300000 88.822 -119.1577
7.400000 88.926 -119.4272
7.500000 89.031 -119.8083
7.620000 89.162 -120.3820
7.750000 89.291 -121.1143
7.880000 89.404 -121.9839
8.000000 89.494 -122.8679
8.120000 89.564 -123.7508
8.250000 89.618 -124.7402
8.380000 89.653 -125.6965
8.500000 89.662 -126.4921
8.620000 89.668 -127.2288
8.750000 89.671 -127.9252
8.850000 89.667 -128.3710
9.000000 89.657 -128.9200
9.120000 89.657 -129.2859
9.250000 89.665 -129.5894
9.380000 89.683 -129.8485
9.500000 89.710 -130.0945
9.620000 89.748 -130.3265
9.750000 89.794 -130.6108
9.880000 89.847 -130.9569
10.000000 89.899 -131.3160
10.150000 89.958 -131.8216
10.300000 90.012 -132.4008
10.440000 90.053 -132.9526
10.600000 90.085 -133.5905
10.750000 90.104 -134.1552
10.900000 90.114 -134.6388
11.060000 90.116 -135.0720
11.200000 90.120 -135.3471
11.380000 90.127 -135.5744
11.500000 90.142 -135.6683
11.720000 90.188 -135.7189
11.800000 90.212 -135.7358
12.060000 90.322 -135.7793
12.200000 90.393 -135.8670
12.410000 90.515 -136.0917
12.500000 90.567 -136.2333
12.650000 90.656 -136.5321
12.800000 90.739 -136.8819
13.150000 90.905 -137.8508
13.200000 90.924 -137.9929
13.400000 90.995 -138.5602
13.600000 91.056 -139.0741
13.800000 91.109 -139.5356
14.000000 91.161 -139.9329
14.300000 91.243 -140.4648
14.500000 91.302 -140.8077
14.750000 91.378 -141.2628
15.000000 91.451 -141.7735
15.250000 91.513 -142.3269
15.500000 91.562 -142.8995
15.750000 91.594 -143.4485
16.000000 91.615 -143.9276
16.250000 91.629 -144.3222
16.500000 91.643 -144.6311
16.750000 91.663 -144.8756
17.000000 91.693 -145.1037
17.250000 91.730 -145.3504
17.500000 91.772 -145.6436
17.750000 91.814 -145.9994
18.000000 91.850 -146.4014
18.250000 91.879 -146.8262
18.500000 91.900 -147.2484
18.750000 91.917 -147.6400
19.000000 91.933 -147.9976
19.250000 91.951 -148.3317
19.500000 91.975 -148.6594
19.750000 92.002 -149.0093
20.000000 92.028 -149.3911
20.299999 92.056 -149.8807
20.600000 92.073 -150.3663
20.900000 92.083 -150.7930
21.200001 92.094 -151.1246
21.400000 92.106 -151.2975
21.799999 92.155 -151.6329
22.000000 92.188 -151.8522
22.400000 92.256 -152.4741
22.700001 92.285 -153.0859
23.000000 92.281 -153.7072
23.299999 92.245 -154.1850
23.600000 92.192 -154.3888
24.000000 92.148 -154.1934
24.299999 92.165 -153.8651
24.700001 92.265 -153.5816
25.000000 92.367 -153.7046
25.400000 92.479 -154.3562
25.799999 92.517 -155.2498
26.200001 92.486 -155.9326
26.500000 92.449 -156.1521
26.900000 92.428 -156.1418
27.200001 92.449 -156.0751
27.600000 92.510 -156.1510
28.000000 92.575 -156.4808
28.500000 92.629 -157.0567
29.000000 92.667 -157.5770
29.500000 92.712 -158.0986
30.000000 92.749 -158.7506
30.400000 92.755 -159.2800
30.700001 92.750 -159.5885
31.100000 92.747 -159.8410
31.500000 92.770 -160.0221
32.000000 92.826 -160.4306
32.500000 92.860 -161.1278
33.000000 92.839 -161.7897
33.500000 92.795 -162.0891
34.000000 92.786 -162.1161
34.500000 92.820 -162.2208
35.000000 92.855 -162.5455
35.500000 92.863 -162.8987
36.000000 92.864 -163.0849
36.500000 92.890 -163.1770
37.000000 92.937 -163.3807
37.500000 92.977 -163.7472
38.200001 92.997 -164.2653
38.700001 93.003 -164.5094
39.500000 93.026 -164.8134
40.000000 93.043 -165.0223
40.599998 93.059 -165.2712
41.200001 93.076 -165.5237
41.799999 93.088 -165.8134
42.500000 93.090 -166.1605
43.099998 93.088 -166.4071
43.700001 93.094 -166.6379
44.400002 93.107 -166.9760
45.000000 93.113 -167.3027
45.500000 93.116 -167.5516
46.200001 93.128 -167.8713
46.799999 93.140 -168.1483
47.500000 93.150 -168.3732
48.200001 93.189 -168.4459
48.700001 93.247 -168.5901
49.400002 93.318 -169.1838
50.000000 93.315 -169.8384
50.799999 93.239 -170.2147
51.500000 93.203 -170.0594
52.200001 93.216 -169.9536
53.000000 93.232 -170.0636
53.799999 93.236 -170.1984
54.500000 93.245 -170.3445
55.200001 93.252 -170.5580
56.000000 93.255 -170.8173
57.000000 93.263 -171.1391
58.000000 93.272 -171.4695
59.000000 93.283 -171.7775
60.000000 93.293 -172.0845
60.799999 93.294 -172.3080
61.500000 93.294 -172.4697
62.200001 93.296 -172.6185
63.000000 93.300 -172.8044
64.000000 93.301 -173.0570
65.000000 93.302 -173.3082
66.000000 93.304 -173.5567
67.000000 93.310 -173.8028
68.000000 93.316 -174.0477
69.000000 93.322 -174.2858
70.000000 93.326 -174.5099
71.000000 93.329 -174.7127
72.000000 93.333 -174.9035
73.000000 93.337 -175.1016
74.000000 93.339 -175.3024
75.000000 93.341 -175.4934
76.199997 93.343 -175.7177
77.500000 93.345 -175.9438
78.800003 93.348 -176.1814
80.000000 93.348 -176.3991
81.199997 93.353 -176.6094
82.500000 93.358 -176.8795
83.800003 93.358 -177.1370
85.000000 93.356 -177.3550
86.199997 93.350 -177.5504
87.500000 93.344 -177.7419
88.500000 93.340 -177.8893
90.000000 93.339 -178.1312
91.199997 93.340 -178.3487
92.500000 93.340 -178.5630
93.800003 93.339 -178.7332
95.000000 93.335 -178.8704
96.199997 93.324 -179.0324
97.500000 93.296 -179.2643
98.800003 93.249 -179.4516
100.000000 93.225 -179.4666
101.500000 93.257 -179.6409
103.000000 93.289 179.9473
104.400002 93.301 179.6620
106.000000 93.304 179.4943
107.500000 93.296 179.3756
109.000000 93.278 179.2122
110.599998 93.258 178.9794
112.000000 93.246 178.7800
113.800003 93.243 178.6100
115.000000 93.240 178.5666
117.199997 93.227 178.5875
118.000000 93.219 178.5697
120.599998 93.174 178.2741
122.000000 93.146 178.0526
124.099998 93.113 177.7099
125.000000 93.097 177.6046
126.500000 93.072 177.5540
128.000000 93.068 177.6714
131.500000 93.134 177.5209
132.000000 93.131 177.4689
134.000000 93.106 177.5642
136.000000 93.124 177.8335
138.000000 93.167 177.9571
140.000000 93.201 177.9853
143.000000 93.232 178.2184
145.000000 93.283 178.1990
147.500000 93.376 177.6931
150.000000 93.469 176.8477
152.500000 93.480 176.2755
155.000000 93.477 175.9401
157.500000 93.461 175.2320
160.000000 93.449 174.6451
162.500000 93.471 174.2418
165.000000 93.469 173.8151
167.500000 93.444 173.4331
170.000000 93.425 172.9984
172.500000 93.402 172.6060
175.000000 93.378 172.2761
177.500000 93.354 171.9502
180.000000 93.332 171.6523
182.500000 93.309 171.3777
185.000000 93.283 171.1063
187.500000 93.256 170.8461
190.000000 93.233 170.5973
192.500000 93.211 170.3243
195.000000 93.187 170.0550
197.500000 93.170 169.8200
200.000000 93.156 169.6159
203.000000 93.128 169.4173
206.000000 93.093 169.1885
209.000000 93.061 168.9251
212.000000 93.036 168.6855
214.000000 93.021 168.5298
218.000000 92.994 168.2132
220.000000 92.981 168.0527
224.000000 92.952 167.7013
227.000000 92.926 167.4226
230.000000 92.897 167.1554
233.000000 92.867 166.9009
236.000000 92.835 166.6418
240.000000 92.787 166.2921
243.000000 92.748 166.0477
247.000000 92.693 165.7459
250.000000 92.649 165.5439
254.000000 92.587 165.3274
258.000000 92.519 165.1796
262.000000 92.444 165.1363
265.000000 92.388 165.2120
269.000000 92.325 165.5039
272.000000 92.306 165.8820
276.000000 92.346 166.4378
280.000000 92.461 166.6049
285.000000 92.603 165.9064
290.000000 92.639 164.7193
295.000000 92.592 163.6793
300.000000 92.514 162.9429
