* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13/10/2022 10:07:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MD4 11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 70.632 102.4583
1.015000 70.491 100.3482
1.030000 70.352 98.1764
1.044000 70.221 96.0907
1.060000 70.071 93.6427
1.075000 69.930 91.2903
1.090000 69.791 88.8874
1.106000 69.645 86.2741
1.120000 69.520 83.9492
1.138000 69.363 80.9145
1.150000 69.263 78.8665
1.172000 69.087 75.0695
1.180000 69.027 73.6777
1.206000 68.844 69.1247
1.220000 68.755 66.6608
1.241000 68.637 62.9596
1.250000 68.593 61.3743
1.265000 68.527 58.7369
1.280000 68.473 56.1099
1.315000 68.394 50.0476
1.320000 68.389 49.1918
1.340000 68.385 45.8018
1.360000 68.408 42.4316
1.380000 68.460 38.9799
1.400000 68.540 35.4579
1.430000 68.704 30.0826
1.450000 68.840 26.4641
1.475000 69.036 21.9338
1.500000 69.255 17.4286
1.525000 69.492 12.9840
1.550000 69.744 8.6356
1.575000 70.004 4.4190
1.600000 70.269 0.3697
1.625000 70.532 -3.4768
1.650000 70.790 -7.0849
1.675000 71.038 -10.4190
1.700000 71.278 -13.4649
1.725000 71.533 -16.2736
1.750000 71.799 -18.8675
1.775000 72.075 -21.2663
1.800000 72.358 -23.4894
1.825000 72.646 -25.5566
1.850000 72.935 -27.4873
1.875000 73.224 -29.3011
1.900000 73.509 -31.0177
1.925000 73.788 -32.6567
1.950000 74.058 -34.2375
1.975000 74.318 -35.7798
2.000000 74.563 -37.3032
2.030000 74.837 -39.1199
2.060000 75.095 -40.8074
2.090000 75.340 -42.3468
2.120000 75.575 -43.7564
2.140000 75.726 -44.6332
2.180000 76.015 -46.2607
2.200000 76.155 -47.0223
2.240000 76.424 -48.4686
2.270000 76.619 -49.5078
2.300000 76.810 -50.5285
2.330000 76.997 -51.5491
2.360000 77.182 -52.5874
2.400000 77.418 -53.9402
2.430000 77.587 -54.9082
2.470000 77.803 -56.1407
2.500000 77.958 -57.0240
2.540000 78.157 -58.1508
2.580000 78.349 -59.2238
2.620000 78.536 -60.2477
2.650000 78.674 -60.9864
2.690000 78.856 -61.9360
2.720000 78.990 -62.6117
2.760000 79.163 -63.4451
2.800000 79.330 -64.2142
2.850000 79.531 -65.1062
2.900000 79.725 -65.9467
2.950000 79.914 -66.7630
3.000000 80.097 -67.5824
3.040000 80.242 -68.2568
3.070000 80.348 -68.7643
3.110000 80.485 -69.4341
3.150000 80.620 -70.0951
3.200000 80.783 -70.9067
3.250000 80.941 -71.6998
3.300000 81.094 -72.4716
3.350000 81.243 -73.2197
3.400000 81.388 -73.9398
3.450000 81.529 -74.6291
3.500000 81.665 -75.2937
3.550000 81.796 -75.9399
3.600000 81.923 -76.5742
3.650000 82.046 -77.2031
3.700000 82.164 -77.8328
3.750000 82.276 -78.4674
3.820000 82.426 -79.3552
3.870000 82.527 -79.9811
3.950000 82.681 -80.9518
4.000000 82.773 -81.5302
4.060000 82.880 -82.1869
4.120000 82.980 -82.8096
4.180000 83.075 -83.4025
4.250000 83.181 -84.0590
4.310000 83.268 -84.5937
4.370000 83.355 -85.1045
4.440000 83.455 -85.6655
4.500000 83.536 -86.1144
4.550000 83.602 -86.4697
4.620000 83.695 -86.9444
4.680000 83.777 -87.3356
4.750000 83.875 -87.7742
4.820000 83.973 -88.1758
4.870000 84.045 -88.4478
4.940000 84.146 -88.8223
5.000000 84.235 -89.1502
5.080000 84.358 -89.6123
5.150000 84.469 -90.0167
5.220000 84.582 -90.4273
5.300000 84.713 -90.9233
5.380000 84.844 -91.4694
5.450000 84.958 -91.9926
5.520000 85.073 -92.5476
5.600000 85.204 -93.2216
5.700000 85.359 -94.1247
5.800000 85.505 -95.1043
5.900000 85.643 -96.1603
6.000000 85.769 -97.2630
6.080000 85.858 -98.1609
6.150000 85.928 -98.9755
6.220000 85.991 -99.8109
6.300000 86.055 -100.7690
6.400000 86.120 -101.9338
6.500000 86.169 -103.0756
6.600000 86.203 -104.1960
6.700000 86.226 -105.2531
6.800000 86.239 -106.2230
6.900000 86.239 -107.1269
7.000000 86.234 -107.9502
7.100000 86.229 -108.6757
7.200000 86.221 -109.2979
7.300000 86.213 -109.8348
7.400000 86.212 -110.3070
7.500000 86.220 -110.7034
7.620000 86.238 -111.0866
7.750000 86.274 -111.4733
7.880000 86.331 -111.8306
8.000000 86.397 -112.1529
8.120000 86.473 -112.5342
8.250000 86.571 -112.9991
8.380000 86.674 -113.5301
8.500000 86.769 -114.1019
8.620000 86.867 -114.7444
8.750000 86.968 -115.4933
8.850000 87.039 -116.1093
9.000000 87.139 -117.0882
9.120000 87.209 -117.8722
9.250000 87.275 -118.7325
9.380000 87.332 -119.5781
9.500000 87.378 -120.3166
9.620000 87.417 -121.0262
9.750000 87.456 -121.7453
9.880000 87.491 -122.4019
10.000000 87.522 -122.9592
10.150000 87.563 -123.5939
10.300000 87.607 -124.1549
10.440000 87.652 -124.6369
10.600000 87.711 -125.1408
10.750000 87.773 -125.5876
10.900000 87.842 -126.0303
11.060000 87.922 -126.5014
11.200000 87.996 -126.9371
11.380000 88.095 -127.5248
11.500000 88.161 -127.9454
11.720000 88.280 -128.7740
11.800000 88.320 -129.0906
12.060000 88.441 -130.1794
12.200000 88.495 -130.7768
12.410000 88.562 -131.6772
12.500000 88.585 -132.0441
12.650000 88.615 -132.6387
12.800000 88.637 -133.1811
13.150000 88.669 -134.1984
13.200000 88.672 -134.3109
13.400000 88.687 -134.6849
13.600000 88.711 -134.9557
13.800000 88.746 -135.1513
14.000000 88.797 -135.3155
14.300000 88.895 -135.6082
14.500000 88.971 -135.8753
14.750000 89.070 -136.3260
15.000000 89.160 -136.8914
15.250000 89.236 -137.5305
15.500000 89.296 -138.2011
15.750000 89.341 -138.8532
16.000000 89.375 -139.4563
16.250000 89.404 -140.0074
16.500000 89.430 -140.5101
16.750000 89.457 -140.9796
17.000000 89.485 -141.4307
17.250000 89.515 -141.8690
17.500000 89.545 -142.2984
17.750000 89.576 -142.7193
18.000000 89.609 -143.1360
18.250000 89.644 -143.5545
18.500000 89.681 -143.9810
18.750000 89.718 -144.4220
19.000000 89.754 -144.8745
19.250000 89.788 -145.3315
19.500000 89.819 -145.7835
19.750000 89.848 -146.2180
20.000000 89.876 -146.6313
20.299999 89.910 -147.1007
20.600000 89.946 -147.5484
20.900000 89.982 -147.9812
21.200001 90.017 -148.3971
21.400000 90.039 -148.6589
21.799999 90.086 -149.1343
22.000000 90.112 -149.3510
22.400000 90.172 -149.7754
22.700001 90.223 -150.1330
23.000000 90.273 -150.5573
23.299999 90.315 -151.0517
23.600000 90.340 -151.5860
24.000000 90.344 -152.2559
24.299999 90.329 -152.6475
24.700001 90.303 -152.9620
25.000000 90.291 -153.0668
25.400000 90.299 -153.1313
25.799999 90.331 -153.2452
26.200001 90.372 -153.4877
26.500000 90.399 -153.7474
26.900000 90.425 -154.1424
27.200001 90.439 -154.4402
27.600000 90.455 -154.8195
28.000000 90.472 -155.1951
28.500000 90.495 -155.7011
29.000000 90.509 -156.2297
29.500000 90.515 -156.6884
30.000000 90.527 -157.0191
30.400000 90.551 -157.2372
30.700001 90.577 -157.4207
31.100000 90.613 -157.7243
31.500000 90.640 -158.0658
32.000000 90.657 -158.4222
32.500000 90.671 -158.6176
33.000000 90.698 -158.7514
33.500000 90.724 -158.9640
34.000000 90.718 -159.1690
34.500000 90.686 -159.0937
35.000000 90.683 -158.6592
35.500000 90.754 -158.2175
36.000000 90.866 -158.2580
36.500000 90.937 -158.8520
37.000000 90.921 -159.5299
37.500000 90.858 -159.7850
38.200001 90.851 -159.5630
38.700001 90.933 -159.6689
39.500000 91.045 -160.9380
40.000000 91.031 -161.9481
40.599998 90.963 -162.7820
41.200001 90.912 -163.1626
41.799999 90.912 -163.3687
42.500000 90.958 -163.7013
43.099998 91.006 -164.1234
43.700001 91.039 -164.5765
44.400002 91.064 -164.9972
45.000000 91.084 -165.2826
45.500000 91.095 -165.5149
46.200001 91.092 -165.7727
46.799999 91.087 -165.8757
47.500000 91.089 -166.0210
48.200001 91.066 -166.2551
48.700001 91.031 -166.2784
49.400002 91.017 -166.0130
50.000000 91.071 -165.9168
50.799999 91.149 -166.4795
51.500000 91.142 -167.1700
52.200001 91.111 -167.5588
53.000000 91.105 -167.8513
53.799999 91.107 -168.1973
54.500000 91.107 -168.4376
55.200001 91.115 -168.6482
56.000000 91.123 -168.8901
57.000000 91.134 -169.0916
58.000000 91.159 -169.3427
59.000000 91.171 -169.6720
60.000000 91.176 -169.9551
60.799999 91.181 -170.1836
61.500000 91.184 -170.3916
62.200001 91.185 -170.5943
63.000000 91.185 -170.8031
64.000000 91.187 -171.0235
65.000000 91.193 -171.2429
66.000000 91.195 -171.4715
67.000000 91.196 -171.6665
68.000000 91.201 -171.8585
69.000000 91.208 -172.0938
70.000000 91.211 -172.3488
71.000000 91.210 -172.5855
72.000000 91.209 -172.7858
73.000000 91.212 -172.9393
74.000000 91.222 -173.0822
75.000000 91.234 -173.2675
76.199997 91.239 -173.5309
77.500000 91.233 -173.7958
78.800003 91.230 -174.0398
80.000000 91.227 -174.3139
81.199997 91.222 -174.5142
82.500000 91.238 -174.6818
83.800003 91.257 -174.9426
85.000000 91.254 -175.1729
86.199997 91.239 -175.2780
87.500000 91.228 -175.3136
88.500000 91.227 -175.3764
90.000000 91.228 -175.5806
91.199997 91.234 -175.8236
92.500000 91.243 -176.1656
93.800003 91.250 -176.5528
95.000000 91.254 -176.9036
96.199997 91.255 -177.2474
97.500000 91.254 -177.6192
98.800003 91.228 -177.9933
100.000000 91.185 -178.0066
101.500000 91.198 -177.7518
103.000000 91.235 -177.7518
104.400002 91.250 -177.8017
106.000000 91.256 -177.8729
107.500000 91.255 -177.9900
109.000000 91.254 -178.1638
110.599998 91.257 -178.4039
112.000000 91.260 -178.6103
113.800003 91.264 -178.8436
115.000000 91.264 -178.9837
117.199997 91.258 -179.2501
118.000000 91.254 -179.3474
120.599998 91.245 -179.6756
122.000000 91.240 -179.8676
124.099998 91.229 179.9010
125.000000 91.225 179.8214
126.500000 91.219 179.6960
128.000000 91.216 179.5658
131.500000 91.216 179.2153
132.000000 91.215 179.1619
134.000000 91.209 178.9619
136.000000 91.201 178.7949
138.000000 91.196 178.6176
140.000000 91.191 178.4250
143.000000 91.181 178.1593
145.000000 91.173 177.9760
147.500000 91.162 177.7119
150.000000 91.146 177.4465
152.500000 91.136 177.2621
155.000000 91.130 177.0797
157.500000 91.118 176.8781
160.000000 91.104 176.6689
162.500000 91.089 176.4600
165.000000 91.074 176.2771
167.500000 91.061 176.1076
170.000000 91.048 175.9315
172.500000 91.034 175.7487
175.000000 91.019 175.5480
177.500000 91.003 175.3428
180.000000 90.987 175.1529
182.500000 90.969 174.9861
185.000000 90.950 174.8226
187.500000 90.928 174.6398
190.000000 90.903 174.4482
192.500000 90.875 174.2801
195.000000 90.843 174.1606
197.500000 90.808 174.0846
200.000000 90.775 173.9910
203.000000 90.736 173.8044
206.000000 90.689 173.6577
209.000000 90.627 173.6577
212.000000 90.552 173.8181
214.000000 90.500 174.0461
218.000000 90.413 175.0188
220.000000 90.408 175.8021
224.000000 90.585 177.3955
227.000000 90.865 177.6958
230.000000 91.114 176.8329
233.000000 91.229 175.3964
236.000000 91.235 174.0766
240.000000 91.173 172.8417
243.000000 91.113 172.2147
247.000000 91.037 171.6091
250.000000 90.985 171.2656
254.000000 90.924 170.8759
258.000000 90.870 170.5451
262.000000 90.818 170.2509
265.000000 90.781 170.0463
269.000000 90.736 169.7946
272.000000 90.703 169.6175
276.000000 90.661 169.3917
280.000000 90.618 169.1748
285.000000 90.565 168.9166
290.000000 90.513 168.6664
295.000000 90.457 168.4344
