* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.157
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24/02/2025 8:54:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MEMS-3 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.000 143.6601
0.732422 35.279 115.9705
1.098633 30.887 123.6524
1.464844 36.845 173.4152
1.831055 44.815 166.7981
2.197266 50.215 150.2790
2.563477 54.265 133.4002
2.929688 57.525 117.9596
3.295898 60.302 104.2851
3.662109 62.785 92.1340
4.028320 65.070 81.0148
4.394531 67.178 70.4747
4.760742 69.095 60.2990
5.126953 70.799 50.5337
5.493164 72.292 41.3790
5.859375 73.603 33.0422
6.225586 74.783 25.6066
6.591797 75.883 18.9618
6.958008 76.938 12.8394
7.324219 77.948 6.9523
7.690430 78.893 1.1419
8.056641 79.748 -4.5720
8.422852 80.508 -10.0519
8.789062 81.187 -15.1570
9.155273 81.815 -19.8425
9.521484 82.420 -24.1940
9.887695 83.014 -28.3766
10.253906 83.591 -32.5373
10.620117 84.137 -36.7311
10.986328 84.639 -40.9199
11.352539 85.097 -45.0266
11.718750 85.518 -48.9962
12.084961 85.912 -52.8240
12.451172 86.286 -56.5416
12.817383 86.639 -60.1790
13.183594 86.969 -63.7381
13.549805 87.277 -67.1969
13.916016 87.568 -70.5356
14.282227 87.846 -73.7618
14.648438 88.118 -76.9116
15.014648 88.381 -80.0273
15.380859 88.630 -83.1291
15.747070 88.861 -86.2046
16.113281 89.072 -89.2211
16.479492 89.266 -92.1496
16.845703 89.447 -94.9822
17.211914 89.620 -97.7335
17.578125 89.786 -100.4265
17.944336 89.943 -103.0772
18.310547 90.092 -105.6887
18.676758 90.230 -108.2562
19.042969 90.360 -110.7758
19.409180 90.481 -113.2489
19.775391 90.594 -115.6792
20.141602 90.700 -118.0675
20.507812 90.797 -120.4102
20.874023 90.888 -122.7023
21.240234 90.972 -124.9440
21.606445 91.052 -127.1421
21.972656 91.128 -129.3060
22.338867 91.198 -131.4414
22.705078 91.262 -133.5455
23.071289 91.319 -135.6105
23.437500 91.370 -137.6299
23.803711 91.418 -139.6042
24.169922 91.462 -141.5414
24.536133 91.503 -143.4516
24.902344 91.541 -145.3402
25.268555 91.573 -147.2056
25.634766 91.600 -149.0418
26.000977 91.623 -150.8443
26.367188 91.642 -152.6134
26.733398 91.659 -154.3533
27.099609 91.673 -156.0684
27.465820 91.684 -157.7604
27.832031 91.692 -159.4292
28.198242 91.697 -161.0750
28.564453 91.699 -162.6997
28.930664 91.698 -164.3049
29.296875 91.693 -165.8876
29.663086 91.684 -167.4391
30.029297 91.671 -168.9490
30.395508 91.657 -170.4131
30.761719 91.644 -171.8385
31.127930 91.633 -173.2424
31.494141 91.623 -174.6431
31.860352 91.611 -176.0495
32.226562 91.596 -177.4558
32.592773 91.574 -178.8463
32.958984 91.548 179.7953
33.325195 91.520 178.4767
33.691406 91.491 177.1942
34.057617 91.463 175.9362
34.423828 91.436 174.6906
34.790039 91.408 173.4505
35.156250 91.378 172.2166
35.522461 91.346 170.9951
35.888672 91.311 169.7940
36.254883 91.275 168.6178
36.621094 91.238 167.4652
36.987305 91.202 166.3297
37.353516 91.166 165.2036
37.719727 91.128 164.0849
38.085938 91.088 162.9800
38.452148 91.046 161.9003
38.818359 91.003 160.8533
39.184570 90.961 159.8348
39.550781 90.921 158.8295
39.916992 90.883 157.8205
40.283203 90.844 156.8027
40.649414 90.800 155.7869
41.015625 90.751 154.7930
41.381836 90.700 153.8348
41.748047 90.650 152.9104
42.114258 90.602 152.0047
42.480469 90.555 151.1018
42.846680 90.507 150.1975
43.212891 90.458 149.2992
43.579102 90.407 148.4165
43.945312 90.356 147.5507
44.311523 90.306 146.6940
44.677734 90.256 145.8385
45.043945 90.205 144.9856
45.410156 90.152 144.1451
45.776367 90.099 143.3250
46.142578 90.048 142.5220
46.508789 89.998 141.7245
46.875000 89.948 140.9258
47.241211 89.896 140.1350
47.607422 89.843 139.3733
47.973633 89.791 138.6529
48.339844 89.746 137.9585
48.706055 89.710 137.2477
49.072266 89.677 136.4783
49.438477 89.638 135.6420
49.804688 89.585 134.7794
50.170898 89.518 133.9608
50.537109 89.441 133.2462
50.903320 89.368 132.6481
51.269531 89.307 132.1231
51.635742 89.259 131.5995
52.001953 89.220 131.0206
52.368164 89.180 130.3741
52.734375 89.133 129.6902
53.100586 89.075 129.0162
53.466797 89.012 128.3881
53.833008 88.949 127.8155
54.199219 88.890 127.2835
54.565430 88.837 126.7655
54.931641 88.790 126.2355
55.297852 88.746 125.6757
55.664062 88.701 125.0804
56.030273 88.653 124.4573
56.396484 88.598 123.8274
56.762695 88.538 123.2185
57.128906 88.474 122.6535
57.495117 88.411 122.1383
57.861328 88.354 121.6565
58.227539 88.303 121.1787
58.593750 88.255 120.6797
58.959961 88.207 120.1545
59.326172 88.156 119.6197
59.692383 88.101 119.1009
60.058594 88.044 118.6148
60.424805 87.990 118.1577
60.791016 87.940 117.7107
61.157227 87.892 117.2538
61.523438 87.845 116.7798
61.889648 87.796 116.2950
62.255859 87.745 115.8110
62.622070 87.691 115.3354
62.988281 87.635 114.8715
63.354492 87.576 114.4254
63.720703 87.516 114.0117
64.086914 87.456 113.6448
64.453125 87.402 113.3225
64.819336 87.358 113.0144
65.185547 87.323 112.6722
65.551758 87.292 112.2601
65.917969 87.256 111.7824
66.284180 87.208 111.2864
66.650391 87.151 110.8323
67.016602 87.093 110.4528
67.382812 87.041 110.1298
67.749023 86.999 109.8084
68.115234 86.963 109.4398
68.481445 86.924 109.0172
68.847656 86.877 108.5782
69.213867 86.822 108.1729
69.580078 86.766 107.8253
69.946289 86.715 107.5187
70.312500 86.670 107.2142
70.678711 86.628 106.8843
71.044922 86.584 106.5330
71.411133 86.535 106.1858
71.777344 86.485 105.8644
72.143555 86.437 105.5676
72.509766 86.391 105.2756
72.875977 86.348 104.9711
73.242188 86.303 104.6562
73.608398 86.255 104.3491
73.974609 86.207 104.0653
74.340820 86.161 103.8022
74.707031 86.120 103.5398
75.073242 86.081 103.2589
75.439453 86.040 102.9579
75.805664 85.997 102.6554
76.171875 85.951 102.3735
76.538086 85.906 102.1198
76.904297 85.865 101.8806
77.270508 85.828 101.6324
77.636719 85.792 101.3608
78.002930 85.754 101.0718
78.369141 85.712 100.7867
78.735352 85.668 100.5250
79.101562 85.624 100.2906
79.467773 85.584 100.0698
79.833984 85.547 99.8433
80.200195 85.510 99.6009
80.566406 85.472 99.3488
80.932617 85.431 99.1035
81.298828 85.389 98.8786
81.665039 85.348 98.6735
82.031250 85.311 98.4745
82.397461 85.276 98.2642
82.763672 85.242 98.0345
83.129883 85.206 97.7923
83.496094 85.166 97.5540
83.862305 85.125 97.3343
84.228516 85.085 97.1359
84.594727 85.048 96.9496
84.960938 85.013 96.7619
85.327148 84.979 96.5663
85.693359 84.945 96.3663
86.059570 84.910 96.1713
86.425781 84.876 95.9863
86.791992 84.843 95.8069
87.158203 84.812 95.6228
87.524414 84.782 95.4281
87.890625 84.749 95.2279
88.256836 84.715 95.0357
88.623047 84.679 94.8624
88.989258 84.646 94.7056
89.355469 84.614 94.5506
89.721680 84.584 94.3829
90.087891 84.552 94.2032
90.454102 84.516 94.0308
90.820312 84.478 93.8900
91.186523 84.442 93.7888
91.552734 84.414 93.7058
91.918945 84.393 93.6002
92.285156 84.375 93.4384
92.651367 84.354 93.2191
93.017578 84.324 92.9766
93.383789 84.286 92.7583
93.750000 84.244 92.5945
94.116211 84.206 92.4797
94.482422 84.175 92.3802
94.848633 84.149 92.2609
95.214844 84.125 92.1095
95.581055 84.097 91.9408
95.947266 84.066 91.7802
96.313477 84.035 91.6432
96.679688 84.005 91.5261
97.045898 83.979 91.4146
97.412109 83.954 91.2982
97.778320 83.930 91.1771
98.144531 83.907 91.0565
98.510742 83.885 90.9368
98.876953 83.864 90.8099
99.243164 83.843 90.6673
99.609375 83.819 90.5118
99.975586 83.792 90.3605
100.341797 83.761 90.2343
100.708008 83.731 90.1422
101.074219 83.705 90.0731
101.440430 83.684 90.0016
101.806641 83.666 89.9064
102.172852 83.647 89.7835
102.539062 83.625 89.6481
102.905273 83.599 89.5216
103.271484 83.573 89.4160
103.637695 83.548 89.3275
104.003906 83.525 89.2420
104.370117 83.505 89.1469
104.736328 83.484 89.0403
105.102539 83.463 88.9296
105.468750 83.440 88.8239
105.834961 83.418 88.7257
106.201172 83.397 88.6306
106.567383 83.376 88.5324
106.933594 83.355 88.4305
107.299805 83.333 88.3318
107.666016 83.310 88.2458
108.032227 83.287 88.1774
108.398438 83.267 88.1217
108.764648 83.251 88.0662
109.130859 83.237 87.9977
109.497070 83.224 87.9095
109.863281 83.210 87.8044
110.229492 83.194 87.6909
110.595703 83.176 87.5795
110.961914 83.156 87.4777
111.328125 83.135 87.3897
111.694336 83.115 87.3166
112.060547 83.096 87.2549
112.426758 83.080 87.1974
112.792969 83.066 87.1333
113.159180 83.053 87.0543
113.525391 83.039 86.9603
113.891602 83.023 86.8618
114.257812 83.004 86.7757
114.624023 82.985 86.7136
114.990234 82.968 86.6729
115.356445 82.956 86.6360
115.722656 82.948 86.5804
116.088867 82.940 86.4941
116.455078 82.928 86.3835
116.821289 82.912 86.2705
117.187500 82.893 86.1786
117.553711 82.872 86.1190
117.919922 82.855 86.0847
118.286133 82.842 86.0563
118.652344 82.833 86.0143
119.018555 82.825 85.9493
119.384766 82.815 85.8646
119.750977 82.803 85.7724
120.117188 82.789 85.6866
120.483398 82.774 85.6170
120.849609 82.759 85.5652
121.215820 82.748 85.5236
121.582031 82.740 85.4782
121.948242 82.733 85.4158
122.314453 82.726 85.3322
122.680664 82.717 85.2367
123.046875 82.704 85.1480
123.413086 82.689 85.0821
123.779297 82.676 85.0403
124.145508 82.666 85.0076
124.511719 82.659 84.9630
124.877930 82.651 84.8973
125.244141 82.641 84.8201
125.610352 82.628 84.7535
125.976562 82.613 84.7133
126.342773 82.601 84.6951
126.708984 82.593 84.6766
127.075195 82.587 84.6355
127.441406 82.581 84.5679
127.807617 82.570 84.4921
128.173828 82.555 84.4345
128.540039 82.541 84.4080
128.906250 82.532 84.4023
129.272461 82.527 84.3909
129.638672 82.527 84.3511
130.004883 82.526 84.2783
130.371094 82.523 84.1855
130.737305 82.516 84.0908
131.103516 82.508 84.0046
131.469727 82.500 83.9277
131.835938 82.491 83.8576
132.202148 82.483 83.7957
132.568359 82.474 83.7466
132.934570 82.468 83.7109
133.300781 82.465 83.6792
133.666992 82.464 83.6356
134.033203 82.464 83.5688
134.399414 82.461 83.4831
134.765625 82.454 83.3976
135.131836 82.444 83.3347
135.498047 82.434 83.3043
135.864258 82.427 83.2959
136.230469 82.425 83.2849
136.596680 82.425 83.2497
136.962891 82.424 83.1867
137.329102 82.419 83.1122
137.695312 82.411 83.0503
138.061523 82.402 83.0150
138.427734 82.396 82.9998
138.793945 82.394 82.9830
139.160156 82.396 82.9438
139.526367 82.396 82.8778
139.892578 82.394 82.7992
140.258789 82.389 82.7284
140.625000 82.384 82.6762
140.991211 82.381 82.6370
141.357422 82.380 82.5959
141.723633 82.380 82.5421
142.089844 82.380 82.4777
142.456055 82.377 82.4133
142.822266 82.374 82.3575
143.188477 82.370 82.3109
143.554688 82.366 82.2700
143.920898 82.362 82.2336
144.287109 82.359 82.2043
144.653320 82.356 82.1817
145.019531 82.354 82.1559
145.385742 82.354 82.1135
145.751953 82.350 82.0532
146.118164 82.343 81.9945
146.484375 82.332 81.9664
146.850586 82.324 81.9774
147.216797 82.324 81.9955
147.583008 82.333 81.9606
147.949219 82.340 81.8324
148.315430 82.333 81.6350
148.681641 82.307 81.4592
149.047852 82.267 81.4105
149.414062 82.233 81.5336
149.780273 82.222 81.7672
150.146484 82.242 81.9727
150.512695 82.282 82.0236
150.878906 82.320 81.8865
151.245117 82.341 81.6321
151.611328 82.339 81.3774
