* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.157
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24/02/2025 8:53:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MEMS-3 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.941 158.4261
0.732422 38.340 142.8490
1.098633 36.177 147.4445
1.464844 38.718 172.8927
1.831055 44.620 174.3595
2.197266 49.638 161.9362
2.563477 53.712 146.2645
2.929688 57.121 130.5350
3.295898 60.048 115.7942
3.662109 62.616 102.3661
4.028320 64.915 90.2599
4.394531 67.008 79.3188
4.760742 68.938 69.3083
5.126953 70.724 59.9885
5.493164 72.372 51.1741
5.859375 73.880 42.7617
6.225586 75.244 34.7278
6.591797 76.468 27.1050
6.958008 77.561 19.9479
7.324219 78.540 13.3013
7.690430 79.428 7.1745
8.056641 80.247 1.5284
8.422852 81.015 -3.7206
8.789062 81.745 -8.6803
9.155273 82.439 -13.4530
9.521484 83.096 -18.1105
9.887695 83.712 -22.6834
10.253906 84.283 -27.1665
10.620117 84.809 -31.5350
10.986328 85.295 -35.7636
11.352539 85.748 -39.8398
11.718750 86.174 -43.7696
12.084961 86.578 -47.5736
12.451172 86.964 -51.2777
12.817383 87.331 -54.9036
13.183594 87.679 -58.4619
13.549805 88.007 -61.9525
13.916016 88.315 -65.3678
14.282227 88.603 -68.6990
14.648438 88.874 -71.9409
15.014648 89.130 -75.0937
15.380859 89.372 -78.1618
15.747070 89.600 -81.1512
16.113281 89.816 -84.0663
16.479492 90.020 -86.9095
16.845703 90.213 -89.6826
17.211914 90.396 -92.3897
17.578125 90.571 -95.0387
17.944336 90.737 -97.6397
18.310547 90.894 -100.2009
18.676758 91.041 -102.7240
19.042969 91.177 -105.2039
19.409180 91.304 -107.6321
19.775391 91.422 -110.0035
20.141602 91.534 -112.3214
20.507812 91.641 -114.5960
20.874023 91.742 -116.8380
21.240234 91.837 -119.0504
21.606445 91.924 -121.2261
21.972656 92.004 -123.3536
22.338867 92.079 -125.4269
22.705078 92.152 -127.4530
23.071289 92.223 -129.4498
23.437500 92.291 -131.4353
23.803711 92.354 -133.4152
24.169922 92.408 -135.3778
24.536133 92.453 -137.3017
24.902344 92.491 -139.1680
25.268555 92.526 -140.9729
25.634766 92.560 -142.7276
26.000977 92.594 -144.4513
26.367188 92.627 -146.1587
26.733398 92.657 -147.8540
27.099609 92.684 -149.5331
27.465820 92.706 -151.1900
27.832031 92.725 -152.8217
28.198242 92.740 -154.4278
28.564453 92.753 -156.0080
28.930664 92.762 -157.5597
29.296875 92.769 -159.0802
29.663086 92.774 -160.5709
30.029297 92.779 -162.0385
30.395508 92.783 -163.4915
30.761719 92.785 -164.9347
31.127930 92.784 -166.3656
31.494141 92.779 -167.7761
31.860352 92.771 -169.1589
32.226562 92.762 -170.5127
32.592773 92.752 -171.8429
32.958984 92.742 -173.1576
33.325195 92.730 -174.4617
33.691406 92.716 -175.7539
34.057617 92.699 -177.0288
34.423828 92.680 -178.2809
34.790039 92.659 -179.5088
35.156250 92.639 179.2836
35.522461 92.618 178.0902
35.888672 92.596 176.9062
36.254883 92.572 175.7318
36.621094 92.546 174.5728
36.987305 92.517 173.4378
37.353516 92.488 172.3324
37.719727 92.459 171.2536
38.085938 92.433 170.1891
38.452148 92.408 169.1225
38.818359 92.383 168.0437
39.184570 92.354 166.9572
39.550781 92.318 165.8821
39.916992 92.278 164.8430
40.283203 92.237 163.8547
40.649414 92.198 162.9113
41.015625 92.165 161.9875
41.381836 92.137 161.0526
41.748047 92.109 160.0880
42.114258 92.079 159.0984
42.480469 92.042 158.1071
42.846680 92.000 157.1411
43.212891 91.956 156.2148
43.579102 91.914 155.3231
43.945312 91.874 154.4481
44.311523 91.837 153.5725
44.677734 91.799 152.6924
45.043945 91.759 151.8174
45.410156 91.718 150.9606
45.776367 91.677 150.1271
46.142578 91.637 149.3096
46.508789 91.598 148.4954
46.875000 91.559 147.6795
47.241211 91.517 146.8724
47.607422 91.472 146.0934
47.973633 91.428 145.3547
48.339844 91.389 144.6465
48.706055 91.356 143.9366
49.072266 91.326 143.1895
49.438477 91.295 142.3904
49.804688 91.256 141.5587
50.170898 91.205 140.7391
50.537109 91.146 139.9751
50.903320 91.087 139.2832
51.269531 91.032 138.6441
51.635742 90.985 138.0170
52.001953 90.943 137.3671
52.368164 90.901 136.6859
52.734375 90.855 135.9909
53.100586 90.805 135.3090
53.466797 90.754 134.6558
53.833008 90.704 134.0273
54.199219 90.658 133.4061
54.565430 90.615 132.7763
54.931641 90.571 132.1349
55.297852 90.525 131.4916
55.664062 90.477 130.8601
56.030273 90.429 130.2484
56.396484 90.383 129.6537
56.762695 90.338 129.0664
57.128906 90.294 128.4763
57.495117 90.250 127.8800
57.861328 90.204 127.2833
58.227539 90.156 126.6977
58.593750 90.106 126.1342
58.959961 90.057 125.5962
59.326172 90.010 125.0759
59.692383 89.966 124.5583
60.058594 89.923 124.0293
60.424805 89.881 123.4844
60.791016 89.835 122.9319
61.157227 89.787 122.3869
61.523438 89.737 121.8617
61.889648 89.687 121.3581
62.255859 89.640 120.8676
62.622070 89.594 120.3787
62.988281 89.549 119.8860
63.354492 89.503 119.3925
63.720703 89.457 118.9055
64.086914 89.411 118.4291
64.453125 89.367 117.9606
64.819336 89.323 117.4938
65.185547 89.279 117.0250
65.551758 89.234 116.5572
65.917969 89.189 116.0980
66.284180 89.142 115.6534
66.650391 89.097 115.2227
67.016602 89.052 114.7991
67.382812 89.009 114.3744
67.749023 88.966 113.9447
68.115234 88.922 113.5125
68.481445 88.876 113.0845
68.847656 88.830 112.6666
69.213867 88.783 112.2608
69.580078 88.737 111.8645
69.946289 88.692 111.4731
70.312500 88.648 111.0826
70.678711 88.605 110.6913
71.044922 88.562 110.3005
71.411133 88.519 109.9119
71.777344 88.476 109.5259
72.143555 88.434 109.1415
72.509766 88.393 108.7572
72.875977 88.351 108.3751
73.242188 88.308 108.0018
73.608398 88.265 107.6461
73.974609 88.224 107.3107
74.340820 88.188 106.9864
74.707031 88.156 106.6520
75.073242 88.126 106.2852
75.439453 88.095 105.8770
75.805664 88.057 105.4421
76.171875 88.010 105.0144
76.538086 87.956 104.6311
76.904297 87.900 104.3132
77.270508 87.848 104.0547
77.636719 87.804 103.8263
78.002930 87.769 103.5908
78.369141 87.739 103.3197
78.735352 87.711 103.0012
79.101562 87.681 102.6392
79.467773 87.645 102.2481
79.833984 87.603 101.8484
80.200195 87.554 101.4646
80.566406 87.501 101.1204
80.932617 87.447 100.8307
81.298828 87.397 100.5924
81.665039 87.356 100.3817
82.031250 87.325 100.1614
82.397461 87.300 99.8970
82.763672 87.276 99.5735
83.129883 87.248 99.2019
83.496094 87.211 98.8148
83.862305 87.167 98.4510
84.228516 87.118 98.1387
84.594727 87.069 97.8842
84.960938 87.026 97.6699
85.327148 86.990 97.4653
85.693359 86.958 97.2432
86.059570 86.927 96.9940
86.425781 86.893 96.7286
86.791992 86.856 96.4683
87.158203 86.817 96.2293
87.524414 86.779 96.0119
87.890625 86.743 95.8025
88.256836 86.710 95.5853
88.623047 86.677 95.3543
88.989258 86.642 95.1155
89.355469 86.607 94.8780
89.721680 86.571 94.6444
90.087891 86.536 94.4099
90.454102 86.499 94.1709
90.820312 86.461 93.9343
91.186523 86.422 93.7160
91.552734 86.384 93.5262
91.918945 86.350 93.3552
92.285156 86.324 93.1729
92.651367 86.301 92.9481
93.017578 86.276 92.6732
93.383789 86.244 92.3742
93.750000 86.203 92.0963
94.116211 86.159 91.8732
94.482422 86.118 91.7036
94.848633 86.085 91.5526
95.214844 86.058 91.3776
95.581055 86.032 91.1599
95.947266 86.001 90.9150
96.313477 85.964 90.6790
96.679688 85.924 90.4792
97.045898 85.886 90.3160
97.412109 85.852 90.1662
97.778320 85.822 90.0046
98.144531 85.792 89.8242
98.510742 85.760 89.6392
98.876953 85.727 89.4684
99.243164 85.696 89.3162
99.609375 85.670 89.1642
99.975586 85.648 88.9843
100.341797 85.626 88.7615
100.708008 85.598 88.5089
101.074219 85.563 88.2622
101.440430 85.524 88.0579
101.806641 85.485 87.9081
102.172852 85.453 87.7917
102.539062 85.430 87.6671
102.905273 85.411 87.5007
103.271484 85.390 87.2888
103.637695 85.362 87.0589
104.003906 85.329 86.8497
104.370117 85.293 86.6849
104.736328 85.261 86.5582
105.102539 85.235 86.4400
105.468750 85.213 86.3004
105.834961 85.191 86.1297
106.201172 85.166 85.9429
106.567383 85.136 85.7647
106.933594 85.105 85.6111
107.299805 85.075 85.4788
107.666016 85.049 85.3517
108.032227 85.024 85.2158
108.398438 84.999 85.0693
108.764648 84.972 84.9217
109.130859 84.945 84.7819
109.497070 84.919 84.6502
109.863281 84.894 84.5189
110.229492 84.870 84.3810
110.595703 84.845 84.2385
110.961914 84.819 84.1008
111.328125 84.793 83.9754
111.694336 84.769 83.8588
112.060547 84.748 83.7379
112.426758 84.728 83.5996
112.792969 84.707 83.4428
113.159180 84.683 83.2805
113.525391 84.656 83.1310
113.891602 84.628 83.0045
114.257812 84.602 82.8957
114.624023 84.580 82.7881
114.990234 84.559 82.6669
115.356445 84.537 82.5300
115.722656 84.513 82.3885
116.088867 84.487 82.2584
116.455078 84.460 82.1487
116.821289 84.436 82.0560
117.187500 84.415 81.9673
117.553711 84.397 81.8683
117.919922 84.379 81.7515
118.286133 84.361 81.6188
118.652344 84.342 81.4780
119.018555 84.320 81.3389
119.384766 84.297 81.2085
119.750977 84.273 81.0897
120.117188 84.251 80.9813
120.483398 84.229 80.8795
120.849609 84.208 80.7803
121.215820 84.188 80.6815
121.582031 84.168 80.5838
121.948242 84.148 80.4893
122.314453 84.128 80.3987
122.680664 84.110 80.3090
123.046875 84.093 80.2144
123.413086 84.076 80.1104
123.779297 84.057 79.9983
124.145508 84.037 79.8861
124.511719 84.014 79.7844
124.877930 83.992 79.6990
125.244141 83.971 79.6263
125.610352 83.953 79.5548
125.976562 83.936 79.4724
126.342773 83.920 79.3741
126.708984 83.902 79.2658
127.075195 83.882 79.1597
127.441406 83.861 79.0662
127.807617 83.841 78.9876
128.173828 83.823 78.9163
128.540039 83.808 78.8401
128.906250 83.795 78.7502
129.272461 83.781 78.6452
129.638672 83.766 78.5322
130.004883 83.749 78.4216
130.371094 83.731 78.3218
130.737305 83.713 78.2354
131.103516 83.696 78.1594
131.469727 83.681 78.0874
131.835938 83.667 78.0126
132.202148 83.655 77.9298
132.568359 83.643 77.8367
132.934570 83.629 77.7342
133.300781 83.614 77.6281
133.666992 83.596 77.5278
134.033203 83.576 77.4428
134.399414 83.557 77.3773
134.765625 83.540 77.3257
135.131836 83.526 77.2745
135.498047 83.514 77.2098
135.864258 83.502 77.1270
136.230469 83.488 77.0342
136.596680 83.473 76.9457
136.962891 83.456 76.8709
137.329102 83.442 76.8068
137.695312 83.429 76.7405
138.061523 83.418 76.6611
138.427734 83.406 76.5695
138.793945 83.392 76.4781
139.160156 83.376 76.3995
139.526367 83.362 76.3356
139.892578 83.350 76.2752
140.258789 83.340 76.2049
140.625000 83.329 76.1205
140.991211 83.316 76.0317
141.357422 83.300 75.9534
141.723633 83.284 75.8936
142.089844 83.270 75.8470
142.456055 83.259 75.8007
142.822266 83.249 75.7429
143.188477 83.239 75.6704
143.554688 83.228 75.5871
143.920898 83.215 75.5002
144.287109 83.200 75.4178
144.653320 83.183 75.3489
145.019531 83.168 75.2989
145.385742 83.155 75.2628
145.751953 83.148 75.2210
146.118164 83.143 75.1492
146.484375 83.138 75.0385
146.850586 83.126 74.9114
147.216797 83.108 74.8136
147.583008 83.090 74.7792
147.949219 83.082 74.7940
148.315430 83.089 74.7897
148.681641 83.105 74.6858
149.047852 83.115 74.4531
149.414062 83.106 74.1473
149.780273 83.072 73.8847
150.146484 83.023 73.7726
150.512695 82.979 73.8392
150.878906 82.957 74.0123
151.245117 82.958 74.1681
151.611328 82.973 74.2146
