* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.143
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24/02/2025 8:58:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MEMS-3 Sample 2 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 32.921 -169.2274
0.732422 35.686 -154.7079
1.098633 41.269 -156.6165
1.464844 47.240 -171.8777
1.831055 52.851 169.5811
2.197266 57.891 151.7576
2.563477 62.304 135.4797
2.929688 66.124 120.6775
3.295898 69.418 107.1629
3.662109 72.261 94.7928
4.028320 74.726 83.4705
4.394531 76.877 73.1174
4.760742 78.774 63.6493
5.126953 80.466 54.9661
5.493164 81.990 46.9555
5.859375 83.377 39.5061
6.225586 84.645 32.5219
6.591797 85.810 25.9308
6.958008 86.883 19.6836
7.324219 87.872 13.7474
7.690430 88.789 8.0961
8.056641 89.640 2.7053
8.422852 90.433 -2.4501
8.789062 91.175 -7.3940
9.155273 91.868 -12.1476
9.521484 92.519 -16.7278
9.887695 93.129 -21.1482
10.253906 93.703 -25.4204
10.620117 94.242 -29.5553
10.986328 94.751 -33.5632
11.352539 95.230 -37.4543
11.718750 95.682 -41.2377
12.084961 96.108 -44.9210
12.451172 96.510 -48.5095
12.817383 96.888 -52.0063
13.183594 97.245 -55.4127
13.549805 97.581 -58.7285
13.916016 97.898 -61.9547
14.282227 98.199 -65.0945
14.648438 98.486 -68.1554
15.014648 98.759 -71.1476
15.380859 99.019 -74.0821
15.747070 99.267 -76.9662
16.113281 99.500 -79.8011
16.479492 99.720 -82.5822
16.845703 99.926 -85.3019
17.211914 100.121 -87.9559
17.578125 100.306 -90.5462
17.944336 100.483 -93.0812
18.310547 100.652 -95.5714
18.676758 100.812 -98.0241
19.042969 100.963 -100.4397
19.409180 101.105 -102.8132
19.775391 101.238 -105.1389
20.141602 101.364 -107.4147
20.507812 101.483 -109.6448
20.874023 101.597 -111.8373
21.240234 101.705 -113.9991
21.606445 101.807 -116.1331
21.972656 101.902 -118.2366
22.338867 101.990 -120.3051
22.705078 102.071 -122.3354
23.071289 102.148 -124.3277
23.437500 102.220 -126.2853
23.803711 102.288 -128.2122
24.169922 102.351 -130.1112
24.536133 102.410 -131.9826
24.902344 102.464 -133.8249
25.268555 102.513 -135.6362
25.634766 102.559 -137.4155
26.000977 102.601 -139.1637
26.367188 102.640 -140.8833
26.733398 102.676 -142.5779
27.099609 102.710 -144.2509
27.465820 102.740 -145.9038
27.832031 102.766 -147.5362
28.198242 102.789 -149.1455
28.564453 102.808 -150.7291
28.930664 102.825 -152.2855
29.296875 102.839 -153.8159
29.663086 102.850 -155.3231
30.029297 102.860 -156.8102
30.395508 102.867 -158.2789
30.761719 102.872 -159.7289
31.127930 102.874 -161.1584
31.494141 102.874 -162.5663
31.860352 102.872 -163.9530
32.226562 102.868 -165.3202
32.592773 102.863 -166.6705
32.958984 102.857 -168.0056
33.325195 102.848 -169.3257
33.691406 102.837 -170.6298
34.057617 102.824 -171.9164
34.423828 102.809 -173.1843
34.790039 102.793 -174.4332
35.156250 102.775 -175.6639
35.522461 102.756 -176.8778
35.888672 102.736 -178.0767
36.254883 102.715 -179.2621
36.621094 102.693 179.5648
36.987305 102.669 178.4044
37.353516 102.643 177.2582
37.719727 102.616 176.1279
38.085938 102.588 175.0145
38.452148 102.559 173.9172
38.818359 102.529 172.8340
39.184570 102.499 171.7624
39.550781 102.467 170.7015
39.916992 102.435 169.6523
40.283203 102.402 168.6160
40.649414 102.368 167.5928
41.015625 102.334 166.5813
41.381836 102.298 165.5792
41.748047 102.262 164.5859
42.114258 102.224 163.6036
42.480469 102.185 162.6357
42.846680 102.145 161.6849
43.212891 102.105 160.7501
43.579102 102.065 159.8273
43.945312 102.024 158.9127
44.311523 101.983 158.0052
44.677734 101.941 157.1071
45.043945 101.898 156.2208
45.410156 101.855 155.3463
45.776367 101.811 154.4806
46.142578 101.767 153.6204
46.508789 101.723 152.7659
46.875000 101.677 151.9214
47.241211 101.630 151.0908
47.607422 101.584 150.2734
47.973633 101.538 149.4623
48.339844 101.493 148.6487
48.706055 101.447 147.8304
49.072266 101.398 147.0155
49.438477 101.345 146.2191
49.804688 101.292 145.4531
50.170898 101.240 144.7176
50.537109 101.191 143.9993
50.903320 101.145 143.2802
51.269531 101.101 142.5483
51.635742 101.055 141.8053
52.001953 101.006 141.0630
52.368164 100.955 140.3345
52.734375 100.903 139.6260
53.100586 100.852 138.9343
53.466797 100.801 138.2516
53.833008 100.751 137.5718
54.199219 100.700 136.8942
54.565430 100.649 136.2217
54.931641 100.597 135.5571
55.297852 100.544 134.9008
55.664062 100.492 134.2515
56.030273 100.439 133.6080
56.396484 100.386 132.9706
56.762695 100.333 132.3396
57.128906 100.280 131.7144
57.495117 100.227 131.0936
57.861328 100.174 130.4768
58.227539 100.120 129.8655
58.593750 100.066 129.2625
58.959961 100.012 128.6693
59.326172 99.959 128.0837
59.692383 99.906 127.5014
60.058594 99.854 126.9182
60.424805 99.802 126.3344
60.791016 99.748 125.7548
61.157227 99.693 125.1857
61.523438 99.638 124.6304
61.889648 99.583 124.0869
62.255859 99.530 123.5491
62.622070 99.478 123.0114
62.988281 99.425 122.4723
63.354492 99.371 121.9348
63.720703 99.317 121.4036
64.086914 99.262 120.8821
64.453125 99.207 120.3699
64.819336 99.152 119.8642
65.185547 99.098 119.3619
65.551758 99.044 118.8614
65.917969 98.989 118.3633
66.284180 98.935 117.8685
66.650391 98.880 117.3780
67.016602 98.826 116.8915
67.382812 98.771 116.4091
67.749023 98.717 115.9308
68.115234 98.662 115.4570
68.481445 98.608 114.9879
68.847656 98.553 114.5228
69.213867 98.499 114.0606
69.580078 98.445 113.6011
69.946289 98.391 113.1450
70.312500 98.336 112.6940
70.678711 98.282 112.2494
71.044922 98.227 111.8110
71.411133 98.174 111.3774
71.777344 98.120 110.9468
72.143555 98.066 110.5183
72.509766 98.013 110.0923
72.875977 97.959 109.6703
73.242188 97.905 109.2534
73.608398 97.851 108.8414
73.974609 97.797 108.4329
74.340820 97.744 108.0264
74.707031 97.690 107.6216
75.073242 97.636 107.2192
75.439453 97.582 106.8207
75.805664 97.528 106.4271
76.171875 97.474 106.0382
76.538086 97.421 105.6532
76.904297 97.368 105.2707
77.270508 97.315 104.8897
77.636719 97.262 104.5099
78.002930 97.210 104.1313
78.369141 97.157 103.7542
78.735352 97.104 103.3794
79.101562 97.051 103.0079
79.467773 96.998 102.6409
79.833984 96.944 102.2794
80.200195 96.891 101.9238
80.566406 96.838 101.5731
80.932617 96.786 101.2257
81.298828 96.734 100.8799
81.665039 96.682 100.5348
82.031250 96.630 100.1907
82.397461 96.578 99.8489
82.763672 96.526 99.5111
83.129883 96.473 99.1779
83.496094 96.421 98.8487
83.862305 96.369 98.5223
84.228516 96.317 98.1971
84.594727 96.265 97.8724
84.960938 96.214 97.5485
85.327148 96.162 97.2264
85.693359 96.110 96.9070
86.059570 96.058 96.5908
86.425781 96.006 96.2778
86.791992 95.954 95.9680
87.158203 95.903 95.6608
87.524414 95.852 95.3553
87.890625 95.802 95.0501
88.256836 95.751 94.7440
88.623047 95.701 94.4377
88.989258 95.650 94.1339
89.355469 95.598 93.8363
89.721680 95.547 93.5468
90.087891 95.497 93.2632
90.454102 95.448 92.9797
90.820312 95.400 92.6904
91.186523 95.352 92.3932
91.552734 95.302 92.0934
91.918945 95.250 91.8005
92.285156 95.197 91.5225
92.651367 95.144 91.2610
93.017578 95.094 91.0096
93.383789 95.045 90.7586
93.750000 94.998 90.5007
94.116211 94.950 90.2350
94.482422 94.902 89.9656
94.848633 94.853 89.6975
95.214844 94.804 89.4331
95.581055 94.754 89.1718
95.947266 94.705 88.9127
96.313477 94.655 88.6570
96.679688 94.605 88.4067
97.045898 94.555 88.1619
97.412109 94.507 87.9186
97.778320 94.460 87.6710
98.144531 94.412 87.4158
98.510742 94.364 87.1566
98.876953 94.313 86.9021
99.243164 94.262 86.6610
99.609375 94.212 86.4351
99.975586 94.164 86.2171
100.341797 94.119 85.9954
100.708008 94.074 85.7612
101.074219 94.029 85.5145
101.440430 93.983 85.2635
101.806641 93.934 85.0182
102.172852 93.885 84.7846
102.539062 93.837 84.5610
102.905273 93.790 84.3410
103.271484 93.744 84.1181
103.637695 93.698 83.8904
104.003906 93.651 83.6609
104.370117 93.604 83.4347
104.736328 93.556 83.2153
105.102539 93.508 83.0034
105.468750 93.461 82.7969
105.834961 93.415 82.5924
106.201172 93.370 82.3867
106.567383 93.325 82.1776
106.933594 93.280 81.9641
107.299805 93.235 81.7470
107.666016 93.189 81.5297
108.032227 93.142 81.3163
108.398438 93.095 81.1105
108.764648 93.049 80.9128
109.130859 93.003 80.7198
109.497070 92.959 80.5262
109.863281 92.915 80.3278
110.229492 92.871 80.1247
110.595703 92.826 79.9211
110.961914 92.780 79.7224
111.328125 92.735 79.5314
111.694336 92.690 79.3464
112.060547 92.646 79.1621
112.426758 92.602 78.9738
112.792969 92.558 78.7802
113.159180 92.514 78.5849
113.525391 92.468 78.3933
113.891602 92.422 78.2096
114.257812 92.376 78.0340
114.624023 92.331 77.8633
114.990234 92.287 77.6929
115.356445 92.244 77.5194
115.722656 92.201 77.3420
116.088867 92.157 77.1622
116.455078 92.114 76.9818
116.821289 92.070 76.8022
117.187500 92.027 76.6234
117.553711 91.983 76.4446
117.919922 91.939 76.2660
118.286133 91.896 76.0886
118.652344 91.852 75.9142
119.018555 91.808 75.7438
119.384766 91.765 75.5766
119.750977 91.723 75.4098
120.117188 91.681 75.2404
120.483398 91.639 75.0675
120.849609 91.596 74.8934
121.215820 91.553 74.7231
121.582031 91.509 74.5607
121.948242 91.465 74.4077
122.314453 91.423 74.2609
122.680664 91.382 74.1152
123.046875 91.342 73.9657
123.413086 91.302 73.8105
123.779297 91.262 73.6508
124.145508 91.221 73.4894
124.511719 91.180 73.3291
124.877930 91.138 73.1718
125.244141 91.096 73.0180
125.610352 91.053 72.8677
125.976562 91.012 72.7202
126.342773 90.970 72.5742
126.708984 90.929 72.4285
127.075195 90.888 72.2821
127.441406 90.847 72.1350
127.807617 90.806 71.9877
128.173828 90.765 71.8402
128.540039 90.725 71.6923
128.906250 90.683 71.5440
129.272461 90.642 71.3970
129.638672 90.600 71.2542
130.004883 90.558 71.1181
130.371094 90.517 70.9884
130.737305 90.477 70.8612
131.103516 90.439 70.7308
131.469727 90.400 70.5931
131.835938 90.362 70.4489
132.202148 90.322 70.3028
132.568359 90.282 70.1605
132.934570 90.241 70.0248
133.300781 90.201 69.8943
133.666992 90.161 69.7656
134.033203 90.121 69.6363
134.399414 90.082 69.5059
134.765625 90.043 69.3757
135.131836 90.003 69.2465
135.498047 89.964 69.1179
135.864258 89.925 68.9893
136.230469 89.886 68.8612
136.596680 89.847 68.7344
136.962891 89.808 68.6093
137.329102 89.769 68.4842
137.695312 89.731 68.3573
138.061523 89.692 68.2286
138.427734 89.653 68.1013
138.793945 89.613 67.9799
139.160156 89.573 67.8666
139.526367 89.535 67.7584
139.892578 89.498 67.6486
140.258789 89.463 67.5309
140.625000 89.426 67.4042
140.991211 89.389 67.2728
141.357422 89.350 67.1435
141.723633 89.311 67.0211
142.089844 89.271 66.9070
142.456055 89.232 66.7996
142.822266 89.194 66.6963
143.188477 89.156 66.5931
143.554688 89.120 66.4855
143.920898 89.084 66.3698
144.287109 89.047 66.2465
144.653320 89.009 66.1220
145.019531 88.970 66.0052
145.385742 88.931 65.9004
145.751953 88.894 65.8013
146.118164 88.860 65.6944
146.484375 88.825 65.5707
146.850586 88.789 65.4355
147.216797 88.751 65.3073
147.583008 88.711 65.2023
147.949219 88.676 65.1169
148.315430 88.646 65.0240
148.681641 88.619 64.8902
149.047852 88.590 64.7043
149.414062 88.551 64.4930
149.780273 88.501 64.3100
150.146484 88.447 64.2023
150.512695 88.396 64.1777
150.878906 88.356 64.1979
151.245117 88.328 64.2024
