* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -21.0 dBFS, measurement signal peak level -18.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 16/07/2023 4:59:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.1169 ms (40 mm, 1.58 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: MEST3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 79.224 8.8024
1.015000 79.455 6.9114
1.030000 79.683 5.0962
1.044000 79.892 3.4770
1.060000 80.126 1.7232
1.075000 80.342 0.1805
1.090000 80.552 -1.2562
1.106000 80.771 -2.6629
1.120000 80.959 -3.7820
1.138000 81.197 -5.0769
1.150000 81.352 -5.8569
1.172000 81.633 -7.1300
1.180000 81.733 -7.5468
1.206000 82.053 -8.7521
1.220000 82.222 -9.3178
1.241000 82.470 -10.0755
1.250000 82.575 -10.3718
1.265000 82.749 -10.8346
1.280000 82.919 -11.2658
1.315000 83.309 -12.1967
1.320000 83.363 -12.3256
1.340000 83.580 -12.8439
1.360000 83.793 -13.3810
1.380000 84.004 -13.9571
1.400000 84.211 -14.5921
1.430000 84.517 -15.6987
1.450000 84.719 -16.5685
1.475000 84.967 -17.8290
1.500000 85.210 -19.2093
1.525000 85.447 -20.6756
1.550000 85.678 -22.2129
1.575000 85.904 -23.8062
1.600000 86.124 -25.4405
1.625000 86.339 -27.1008
1.650000 86.550 -28.7721
1.675000 86.756 -30.4395
1.700000 86.958 -32.0880
1.725000 87.156 -33.7025
1.750000 87.350 -35.2681
1.775000 87.541 -36.7698
1.800000 87.729 -38.1926
1.825000 87.913 -39.5215
1.850000 88.095 -40.7531
1.875000 88.272 -41.9119
1.900000 88.445 -43.0066
1.925000 88.613 -44.0452
1.950000 88.777 -45.0356
1.975000 88.938 -45.9857
2.000000 89.095 -46.9034
2.030000 89.278 -47.9730
2.060000 89.457 -49.0210
2.090000 89.632 -50.0610
2.120000 89.802 -51.1068
2.140000 89.914 -51.8138
2.180000 90.133 -53.2699
2.200000 90.240 -54.0269
2.240000 90.449 -55.5670
2.270000 90.600 -56.7298
2.300000 90.746 -57.8962
2.330000 90.888 -59.0634
2.360000 91.027 -60.2285
2.400000 91.205 -61.7740
2.430000 91.334 -62.9235
2.470000 91.502 -64.4381
2.500000 91.624 -65.5567
2.540000 91.783 -67.0200
2.580000 91.937 -68.4475
2.620000 92.085 -69.8559
2.650000 92.192 -70.9011
2.690000 92.329 -72.2775
2.720000 92.428 -73.2953
2.760000 92.556 -74.6306
2.800000 92.679 -75.9382
2.850000 92.827 -77.5291
2.900000 92.969 -79.0662
2.950000 93.105 -80.5420
3.000000 93.235 -81.9436
3.040000 93.333 -83.0179
3.070000 93.404 -83.8013
3.110000 93.495 -84.8220
3.150000 93.583 -85.8224
3.200000 93.688 -87.0558
3.250000 93.789 -88.2841
3.300000 93.888 -89.5218
3.350000 93.982 -90.7749
3.400000 94.070 -92.0321
3.450000 94.154 -93.2808
3.500000 94.234 -94.5086
3.550000 94.311 -95.7030
3.600000 94.386 -96.8516
3.650000 94.459 -97.9419
3.700000 94.531 -98.9619
3.750000 94.599 -99.9140
3.820000 94.690 -101.1606
3.870000 94.752 -102.0093
3.950000 94.848 -103.3353
4.000000 94.907 -104.1671
4.060000 94.977 -105.1874
4.120000 95.045 -106.2133
4.180000 95.110 -107.2330
4.250000 95.185 -108.4025
4.310000 95.248 -109.3774
4.370000 95.309 -110.3174
4.440000 95.379 -111.3580
4.500000 95.439 -112.2023
4.550000 95.487 -112.8805
4.620000 95.553 -113.8049
4.680000 95.609 -114.5863
4.750000 95.671 -115.5013
4.820000 95.732 -116.4273
4.870000 95.774 -117.0878
4.940000 95.831 -118.0062
5.000000 95.879 -118.7831
5.080000 95.940 -119.7972
5.150000 95.990 -120.6578
5.220000 96.038 -121.4963
5.300000 96.090 -122.4308
5.380000 96.140 -123.3417
5.450000 96.181 -124.1208
5.520000 96.220 -124.8843
5.600000 96.262 -125.7370
5.700000 96.310 -126.7719
5.800000 96.356 -127.7719
5.900000 96.401 -128.7356
6.000000 96.442 -129.6615
6.080000 96.474 -130.3771
6.150000 96.502 -130.9867
6.220000 96.530 -131.5822
6.300000 96.562 -132.2417
6.400000 96.601 -133.0331
6.500000 96.640 -133.8019
6.600000 96.680 -134.5636
6.700000 96.721 -135.3171
6.800000 96.761 -136.0582
6.900000 96.801 -136.7914
7.000000 96.841 -137.5205
7.100000 96.879 -138.2429
7.200000 96.917 -138.9595
7.300000 96.953 -139.6727
7.400000 96.986 -140.3861
7.500000 97.016 -141.0996
7.620000 97.050 -141.9451
7.750000 97.082 -142.8362
7.880000 97.110 -143.7069
8.000000 97.132 -144.4870
8.120000 97.151 -145.2375
8.250000 97.169 -146.0196
8.380000 97.186 -146.7710
8.500000 97.202 -147.4362
8.620000 97.217 -148.0723
8.750000 97.234 -148.7404
8.850000 97.248 -149.2449
9.000000 97.271 -149.9787
9.120000 97.289 -150.5579
9.250000 97.311 -151.1872
9.380000 97.332 -151.8131
9.500000 97.352 -152.3905
9.620000 97.370 -152.9702
9.750000 97.389 -153.5993
9.880000 97.405 -154.2227
10.000000 97.418 -154.7927
10.150000 97.432 -155.4973
10.300000 97.443 -156.1796
10.440000 97.451 -156.7959
10.600000 97.460 -157.4765
10.750000 97.467 -158.0883
10.900000 97.475 -158.6778
11.060000 97.485 -159.2922
11.200000 97.495 -159.8151
11.380000 97.508 -160.4822
11.500000 97.518 -160.9268
11.720000 97.536 -161.7400
11.800000 97.542 -162.0369
12.060000 97.559 -162.9998
12.200000 97.566 -163.5092
12.410000 97.574 -164.2584
12.500000 97.576 -164.5681
12.650000 97.580 -165.0702
12.800000 97.583 -165.5553
13.150000 97.595 -166.6176
13.200000 97.597 -166.7657
13.400000 97.609 -167.3464
13.600000 97.624 -167.9306
13.800000 97.641 -168.5266
14.000000 97.658 -169.1401
14.300000 97.679 -170.0907
14.500000 97.689 -170.7337
14.750000 97.695 -171.5249
15.000000 97.695 -172.2915
15.250000 97.693 -173.0206
15.500000 97.691 -173.7234
15.750000 97.688 -174.4082
16.000000 97.686 -175.0938
16.250000 97.681 -175.7838
16.500000 97.671 -176.4727
16.750000 97.654 -177.1466
17.000000 97.631 -177.7785
17.250000 97.606 -178.3592
17.500000 97.580 -178.8781
17.750000 97.559 -179.3517
18.000000 97.543 -179.7996
18.250000 97.534 179.7557
18.500000 97.529 179.2874
18.750000 97.525 178.7945
19.000000 97.518 178.2759
19.250000 97.508 177.7508
19.500000 97.494 177.2332
19.750000 97.478 176.7336
20.000000 97.461 176.2581
20.299999 97.443 175.7072
20.600000 97.426 175.1645
20.900000 97.412 174.6159
21.200001 97.396 174.0577
21.400000 97.384 173.6859
21.799999 97.358 172.9573
22.000000 97.344 172.6057
22.400000 97.317 171.9289
22.700001 97.299 171.4343
23.000000 97.282 170.9398
23.299999 97.265 170.4431
23.600000 97.246 169.9489
24.000000 97.220 169.3031
24.299999 97.200 168.8317
24.700001 97.174 168.2133
25.000000 97.155 167.7499
25.400000 97.126 167.1326
25.799999 97.093 166.5353
26.200001 97.058 165.9819
26.500000 97.034 165.5959
26.900000 97.007 165.0970
27.200001 96.991 164.7089
27.600000 96.971 164.1490
28.000000 96.946 163.5480
28.500000 96.900 162.8047
29.000000 96.848 162.1467
29.500000 96.800 161.5705
30.000000 96.764 160.9961
30.400000 96.737 160.4971
30.700001 96.713 160.1049
31.100000 96.675 159.5957
31.500000 96.631 159.1422
32.000000 96.583 158.6688
32.500000 96.551 158.2227
33.000000 96.531 157.6852
33.500000 96.503 157.0309
34.000000 96.454 156.3632
34.500000 96.392 155.7991
35.000000 96.337 155.3308
35.500000 96.293 154.8401
36.000000 96.245 154.2643
36.500000 96.178 153.6932
37.000000 96.099 153.2728
37.500000 96.036 153.0142
38.200001 95.995 152.6283
38.700001 95.979 152.1716
39.500000 95.926 151.2966
40.000000 95.882 150.7996
40.599998 95.834 150.2263
41.200001 95.780 149.6274
41.799999 95.714 149.0887
42.500000 95.641 148.6072
43.099998 95.592 148.1951
43.700001 95.540 147.7090
44.400002 95.464 147.1690
45.000000 95.400 146.7828
45.500000 95.353 146.4423
46.200001 95.285 145.8900
46.799999 95.219 145.4221
47.500000 95.146 144.8875
48.200001 95.068 144.2733
48.700001 94.995 143.8708
49.400002 94.891 143.5695
50.000000 94.838 143.4681
50.799999 94.815 143.1071
51.500000 94.780 142.5442
52.200001 94.718 142.0444
53.000000 94.652 141.6068
53.799999 94.594 141.1464
54.500000 94.541 140.7308
55.200001 94.490 140.3067
56.000000 94.428 139.7789
57.000000 94.337 139.1815
58.000000 94.251 138.7394
59.000000 94.180 138.3673
60.000000 94.113 137.9931
60.799999 94.053 137.6697
61.500000 93.991 137.3817
62.200001 93.918 137.1023
63.000000 93.828 136.7952
64.000000 93.708 136.3726
65.000000 93.571 136.0073
66.000000 93.466 135.8843
67.000000 93.434 135.5899
68.000000 93.405 134.9383
69.000000 93.353 134.2629
70.000000 93.282 133.6391
71.000000 93.181 133.2364
72.000000 93.092 133.0973
73.000000 93.026 132.9250
74.000000 92.958 132.6276
75.000000 92.883 132.2753
76.199997 92.788 131.8367
77.500000 92.691 131.3690
78.800003 92.590 130.9183
80.000000 92.496 130.5903
81.199997 92.410 130.2824
82.500000 92.317 129.9479
83.800003 92.233 129.6399
85.000000 92.161 129.3195
86.199997 92.081 129.0094
87.500000 91.992 128.7031
88.500000 91.925 128.4282
90.000000 91.820 127.9108
91.199997 91.741 127.5484
92.500000 91.686 127.2460
93.800003 91.645 127.0852
95.000000 91.601 127.1197
96.199997 91.510 127.3394
97.500000 91.345 128.0790
98.800003 91.222 129.4065
100.000000 91.272 129.9292
101.500000 91.259 128.1502
103.000000 91.034 126.3360
104.400002 90.885 125.3272
106.000000 90.795 124.6582
107.500000 90.738 124.4766
109.000000 90.656 124.5606
110.599998 90.538 124.7471
112.000000 90.424 124.8208
113.800003 90.313 124.7358
115.000000 90.264 124.5294
117.199997 90.185 124.3049
118.000000 90.159 124.3604
120.599998 90.087 124.6138
122.000000 90.031 124.5570
124.099998 89.961 124.2612
125.000000 89.950 124.0796
126.500000 89.951 123.8210
128.000000 89.949 123.8302
131.500000 89.948 125.7042
132.000000 89.973 125.8707
134.000000 89.986 124.8737
136.000000 89.730 122.9808
138.000000 89.469 121.7787
140.000000 89.323 121.2891
143.000000 89.263 121.6631
145.000000 89.247 121.9464
147.500000 89.175 122.3480
150.000000 89.145 122.6252
152.500000 89.166 122.2197
155.000000 89.175 121.5436
157.500000 89.166 121.0074
160.000000 89.132 120.4342
162.500000 89.085 119.8061
165.000000 89.051 119.1573
167.500000 88.975 118.5432
170.000000 88.861 118.1442
172.500000 88.756 117.7759
175.000000 88.671 117.3957
177.500000 88.591 117.0532
180.000000 88.509 116.7454
182.500000 88.434 116.4485
185.000000 88.365 116.2069
187.500000 88.293 116.0118
190.000000 88.220 115.7755
192.500000 88.160 115.5259
195.000000 88.121 115.4844
197.500000 88.098 115.6384
200.000000 88.051 115.5019
203.000000 87.923 114.9734
206.000000 87.820 114.5461
209.000000 87.759 114.3111
212.000000 87.701 114.1102
214.000000 87.659 113.9360
218.000000 87.582 113.6288
220.000000 87.544 113.5022
224.000000 87.472 113.2426
227.000000 87.420 113.0655
230.000000 87.365 112.9330
233.000000 87.316 112.7821
236.000000 87.277 112.5768
240.000000 87.224 112.3207
243.000000 87.179 112.1232
247.000000 87.127 111.8105
250.000000 87.096 111.5887
254.000000 87.044 111.3988
258.000000 86.989 111.2112
262.000000 86.943 110.8840
265.000000 86.910 110.6260
269.000000 86.864 110.4345
272.000000 86.833 110.3243
276.000000 86.792 110.1243
280.000000 86.751 109.9123
285.000000 86.705 109.6579
290.000000 86.666 109.3968
295.000000 86.624 109.1395
300.000000 86.582 108.8716
