* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/06/2025 6:21:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MK12 Gold L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 46.824 144.4756
0.732422 47.807 107.2331
1.098633 50.007 72.6014
1.464844 52.862 45.2534
1.831055 55.649 24.6968
2.197266 58.067 8.8464
2.563477 60.067 -3.6768
2.929688 61.695 -13.4957
3.295898 63.048 -20.8644
3.662109 64.260 -26.0657
4.028320 65.456 -29.7060
4.394531 66.701 -32.6930
4.760742 67.970 -35.8521
5.126953 69.188 -39.5710
5.493164 70.287 -43.8023
5.859375 71.235 -48.2900
6.225586 72.033 -52.7745
6.591797 72.700 -57.0863
6.958008 73.256 -61.1416
7.324219 73.717 -64.8889
7.690430 74.098 -68.2574
8.056641 74.418 -71.1481
8.422852 74.711 -73.4766
8.789062 75.022 -75.2529
9.155273 75.398 -76.6607
9.521484 75.867 -78.0704
9.887695 76.414 -79.9267
10.253906 76.983 -82.5461
10.620117 77.493 -85.9499
10.986328 77.871 -89.8234
11.352539 78.080 -93.5848
11.718750 78.141 -96.5330
12.084961 78.150 -98.1191
12.451172 78.254 -98.3651
12.817383 78.567 -98.1122
13.183594 79.060 -98.5381
13.549805 79.585 -100.2520
13.916016 79.984 -102.9803
14.282227 80.179 -105.9028
14.648438 80.192 -108.1013
15.014648 80.134 -108.9700
15.380859 80.158 -108.6012
15.747070 80.356 -107.8344
16.113281 80.694 -107.6434
16.479492 81.051 -108.4170
16.845703 81.326 -109.8808
17.211914 81.487 -111.4831
17.578125 81.564 -112.7771
17.944336 81.620 -113.6283
18.310547 81.701 -114.2137
18.676758 81.817 -114.8291
19.042969 81.943 -115.6582
19.409180 82.050 -116.6839
19.775391 82.124 -117.7586
20.141602 82.174 -118.7312
20.507812 82.220 -119.5379
20.874023 82.283 -120.2251
21.240234 82.372 -120.9119
21.606445 82.483 -121.7202
21.972656 82.598 -122.7128
22.338867 82.699 -123.8659
22.705078 82.772 -125.0820
23.071289 82.818 -126.2339
23.437500 82.844 -127.2166
23.803711 82.868 -127.9872
24.169922 82.906 -128.5754
24.536133 82.966 -129.0656
24.902344 83.050 -129.5627
25.268555 83.148 -130.1560
25.634766 83.242 -130.8841
26.000977 83.315 -131.7074
26.367188 83.355 -132.5063
26.733398 83.368 -133.1283
27.099609 83.377 -133.4810
27.465820 83.411 -133.6230
27.832031 83.485 -133.7625
28.198242 83.583 -134.1215
28.564453 83.667 -134.7620
28.930664 83.706 -135.5258
29.296875 83.701 -136.1425
29.663086 83.686 -136.4350
30.029297 83.706 -136.4855
30.395508 83.783 -136.6087
30.761719 83.888 -137.1086
31.127930 83.967 -138.0327
31.494141 83.982 -139.1417
31.860352 83.933 -140.0830
32.226562 83.860 -140.6263
32.592773 83.814 -140.8148
32.958984 83.821 -140.9147
33.325195 83.865 -141.1873
33.691406 83.913 -141.6944
34.057617 83.942 -142.3057
34.423828 83.957 -142.8594
34.790039 83.978 -143.3118
35.156250 84.020 -143.7587
35.522461 84.076 -144.3287
35.888672 84.126 -145.0619
36.254883 84.152 -145.8861
36.621094 84.150 -146.6830
36.987305 84.125 -147.3585
37.353516 84.084 -147.8535
37.719727 84.037 -148.1097
38.085938 83.998 -148.0660
38.452148 83.997 -147.7327
38.818359 84.065 -147.2874
39.184570 84.204 -147.0588
39.550781 84.381 -147.3448
39.916992 84.536 -148.2097
40.283203 84.618 -149.4382
40.649414 84.609 -150.6565
41.015625 84.536 -151.5264
41.381836 84.447 -151.9141
41.748047 84.390 -151.9460
42.114258 84.378 -151.8935
42.480469 84.396 -151.9701
42.846680 84.414 -152.2122
43.212891 84.415 -152.5183
43.579102 84.403 -152.7679
43.945312 84.390 -152.9089
44.311523 84.390 -152.9714
44.677734 84.410 -153.0312
45.043945 84.448 -153.1728
45.410156 84.495 -153.4649
45.776367 84.536 -153.9328
46.142578 84.553 -154.5231
46.508789 84.540 -155.0990
46.875000 84.506 -155.5039
47.241211 84.480 -155.6814
47.607422 84.491 -155.7617
47.973633 84.541 -156.0020
48.339844 84.594 -156.5826
48.706055 84.605 -157.4345
49.072266 84.548 -158.2512
49.438477 84.446 -158.6798
49.804688 84.354 -158.5791
50.170898 84.330 -158.1634
50.537109 84.383 -157.8604
50.903320 84.469 -157.9636
51.269531 84.533 -158.4237
51.635742 84.549 -158.9509
52.001953 84.537 -159.2840
52.368164 84.536 -159.3969
52.734375 84.568 -159.4854
53.100586 84.617 -159.7505
53.466797 84.650 -160.2013
53.833008 84.652 -160.6713
54.199219 84.636 -161.0012
54.565430 84.626 -161.1971
54.931641 84.629 -161.4028
55.297852 84.627 -161.7118
55.664062 84.597 -162.0245
56.030273 84.544 -162.1199
56.396484 84.507 -161.8917
56.762695 84.526 -161.5268
57.128906 84.600 -161.3988
57.495117 84.680 -161.7270
57.861328 84.706 -162.3529
58.227539 84.663 -162.8499
58.593750 84.599 -162.8680
58.959961 84.591 -162.4721
59.326172 84.677 -162.1631
59.692383 84.814 -162.4587
60.058594 84.909 -163.4327
60.424805 84.896 -164.6641
60.791016 84.778 -165.5388
61.157227 84.627 -165.6535
61.523438 84.539 -165.1121
61.889648 84.557 -164.4595
62.255859 84.645 -164.2100
62.622070 84.727 -164.4451
62.988281 84.761 -164.8642
63.354492 84.758 -165.1297
63.720703 84.763 -165.1680
64.086914 84.801 -165.1965
64.453125 84.851 -165.4606
64.819336 84.868 -165.9429
65.185547 84.825 -166.3347
65.551758 84.753 -166.2811
65.917969 84.722 -165.7148
66.284180 84.788 -165.0132
66.650391 84.943 -164.7550
67.016602 85.108 -165.2593
67.382812 85.198 -166.3657
67.749023 85.174 -167.5793
68.115234 85.057 -168.3747
68.481445 84.920 -168.4920
68.847656 84.838 -168.1007
69.213867 84.840 -167.6742
69.580078 84.890 -167.6160
69.946289 84.923 -167.9767
70.312500 84.901 -168.4908
70.678711 84.829 -168.8211
71.044922 84.748 -168.8017
71.411133 84.699 -168.5336
71.777344 84.695 -168.2678
72.143555 84.713 -168.1789
72.509766 84.727 -168.2475
72.875977 84.730 -168.3431
73.242188 84.737 -168.3983
73.608398 84.764 -168.4997
73.974609 84.801 -168.8044
74.340820 84.819 -169.3590
74.707031 84.787 -170.0023
75.073242 84.707 -170.4451
75.439453 84.616 -170.4757
75.805664 84.567 -170.1482
76.171875 84.588 -169.7822
76.538086 84.659 -169.7226
76.904297 84.727 -170.0713
77.270508 84.753 -170.6395
77.636719 84.732 -171.1223
78.002930 84.697 -171.3320
78.369141 84.686 -171.3285
78.735352 84.714 -171.3473
79.101562 84.757 -171.5829
79.467773 84.781 -172.0267
79.833984 84.766 -172.4924
80.200195 84.721 -172.7721
80.566406 84.676 -172.7880
80.932617 84.654 -172.6309
81.298828 84.662 -172.4664
81.665039 84.685 -172.4000
82.031250 84.708 -172.4266
82.397461 84.726 -172.4864
82.763672 84.744 -172.5503
83.129883 84.765 -172.6496
83.496094 84.786 -172.8311
83.862305 84.796 -173.0963
84.228516 84.788 -173.3865
84.594727 84.767 -173.6276
84.960938 84.740 -173.7877
85.327148 84.718 -173.8950
85.693359 84.702 -174.0016
86.059570 84.686 -174.1307
86.425781 84.667 -174.2589
86.791992 84.648 -174.3491
87.158203 84.634 -174.3969
87.524414 84.632 -174.4444
87.890625 84.638 -174.5460
88.256836 84.643 -174.7161
88.623047 84.639 -174.9114
88.989258 84.628 -175.0633
89.355469 84.619 -175.1363
89.721680 84.623 -175.1630
90.087891 84.641 -175.2249
90.454102 84.665 -175.3906
90.820312 84.679 -175.6608
91.186523 84.674 -175.9616
91.552734 84.650 -176.1891
91.918945 84.618 -176.2735
92.285156 84.596 -176.2239
92.651367 84.593 -176.1250
93.017578 84.607 -176.0846
93.383789 84.626 -176.1666
93.750000 84.635 -176.3531
94.116211 84.625 -176.5601
94.482422 84.601 -176.6930
94.848633 84.576 -176.7112
95.214844 84.565 -176.6593
95.581055 84.572 -176.6386
95.947266 84.585 -176.7289
96.313477 84.589 -176.9198
96.679688 84.576 -177.1112
97.045898 84.554 -177.1895
97.412109 84.545 -177.1336
97.778320 84.568 -177.0655
98.144531 84.619 -177.1815
98.510742 84.668 -177.6005
98.876953 84.679 -178.2525
99.243164 84.632 -178.8975
99.609375 84.543 -179.2599
99.975586 84.450 -179.2033
100.341797 84.399 -178.8364
100.708008 84.407 -178.4487
101.074219 84.451 -178.2971
101.440430 84.492 -178.4284
101.806641 84.502 -178.6855
102.172852 84.483 -178.8580
102.539062 84.461 -178.8471
102.905273 84.460 -178.7272
103.271484 84.482 -178.6657
103.637695 84.511 -178.7719
104.003906 84.523 -179.0135
104.370117 84.509 -179.2568
104.736328 84.477 -179.3762
105.102539 84.448 -179.3426
105.468750 84.435 -179.2288
105.834961 84.439 -179.1402
106.201172 84.451 -179.1352
106.567383 84.458 -179.1994
106.933594 84.458 -179.2780
107.299805 84.454 -179.3283
107.666016 84.454 -179.3493
108.032227 84.462 -179.3779
108.398438 84.476 -179.4608
108.764648 84.490 -179.6233
109.130859 84.496 -179.8520
109.497070 84.490 179.8984
109.863281 84.475 179.6761
110.229492 84.457 179.4946
110.595703 84.442 179.3188
110.961914 84.426 179.0980
111.328125 84.395 178.8327
111.694336 84.339 178.6211
112.060547 84.263 178.6282
112.426758 84.195 178.9697
112.792969 84.175 179.5776
113.159180 84.227 -179.8285
113.525391 84.332 -179.5827
113.891602 84.441 -179.8368
114.257812 84.499 179.5464
114.624023 84.486 178.9048
114.990234 84.421 178.5756
115.356445 84.356 178.6904
115.722656 84.339 179.0836
116.088867 84.381 179.4100
116.455078 84.450 179.4052
116.821289 84.496 179.0664
117.187500 84.489 178.6221
117.553711 84.435 178.3609
117.919922 84.371 178.4420
118.286133 84.339 178.7866
118.652344 84.358 179.1263
119.018555 84.409 179.1909
119.384766 84.450 178.8945
119.750977 84.442 178.3865
120.117188 84.376 177.9582
120.483398 84.277 177.8724
120.849609 84.197 178.1879
121.215820 84.180 178.6816
121.582031 84.228 178.9715
121.948242 84.297 178.7901
122.314453 84.330 178.1809
122.680664 84.288 177.4740
123.046875 84.186 177.0853
123.413086 84.081 177.2513
123.779297 84.043 177.8307
124.145508 84.103 178.3584
124.511719 84.223 178.3858
124.877930 84.331 177.8055
125.244141 84.369 176.8813
125.610352 84.323 176.0421
125.976562 84.228 175.6273
126.342773 84.140 175.7124
126.708984 84.101 176.1030
127.075195 84.115 176.5102
127.441406 84.162 176.7568
127.807617 84.216 176.8325
128.173828 84.266 176.7953
128.540039 84.312 176.6629
128.906250 84.348 176.4030
129.272461 84.359 176.0184
129.638672 84.327 175.6216
130.004883 84.254 175.4097
130.371094 84.166 175.5406
130.737305 84.105 175.9935
131.103516 84.097 176.5377
131.469727 84.134 176.8791
131.835938 84.177 176.8748
132.202148 84.187 176.6289
132.568359 84.151 176.4034
132.934570 84.093 176.4281
133.300781 84.057 176.7270
133.666992 84.074 177.0790
134.033203 84.139 177.1714
134.399414 84.210 176.8330
134.765625 84.239 176.1535
135.131836 84.203 175.4205
135.498047 84.117 174.9485
135.864258 84.023 174.8972
136.230469 83.970 175.1699
136.596680 83.976 175.4769
136.962891 84.023 175.5434
137.329102 84.070 175.2939
137.695312 84.082 174.8717
138.061523 84.055 174.5136
138.427734 84.010 174.3873
138.793945 83.978 174.4916
139.160156 83.977 174.6782
139.526367 84.001 174.7795
139.892578 84.028 174.7325
140.258789 84.041 174.6007
140.625000 84.039 174.4949
140.991211 84.034 174.4705
141.357422 84.038 174.4833
141.723633 84.053 174.4352
142.089844 84.064 174.2665
142.456055 84.057 174.0139
142.822266 84.026 173.7884
143.188477 83.980 173.6962
143.554688 83.938 173.7621
143.920898 83.914 173.9149
144.287109 83.911 174.0449
144.653320 83.917 174.0872
145.019531 83.923 174.0572
145.385742 83.925 174.0128
145.751953 83.931 173.9832
