* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/06/2025 6:23:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MK12 Gold R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 32.765 144.0781
0.732422 34.536 77.1962
1.098633 41.912 39.7283
1.464844 47.935 24.6291
1.831055 52.638 14.9130
2.197266 56.429 6.4702
2.563477 59.516 -1.6612
2.929688 62.029 -9.5173
3.295898 64.077 -16.8783
3.662109 65.765 -23.5394
4.028320 67.190 -29.4322
4.394531 68.430 -34.6442
4.760742 69.537 -39.3471
5.126953 70.536 -43.6880
5.493164 71.441 -47.7345
5.859375 72.270 -51.5091
6.225586 73.039 -55.0648
6.591797 73.760 -58.5101
6.958008 74.427 -61.9441
7.324219 75.021 -65.3585
7.690430 75.533 -68.6066
8.056641 75.974 -71.4822
8.422852 76.380 -73.8715
8.789062 76.794 -75.8707
9.155273 77.233 -77.7485
9.521484 77.678 -79.7495
9.887695 78.091 -81.9076
10.253906 78.449 -84.0446
10.620117 78.765 -85.9433
10.986328 79.075 -87.5585
11.352539 79.408 -89.0929
11.718750 79.753 -90.8436
12.084961 80.062 -92.9356
12.451172 80.289 -95.1894
12.817383 80.422 -97.2192
13.183594 80.501 -98.6815
13.549805 80.595 -99.5342
13.916016 80.759 -100.1143
14.282227 80.985 -100.8971
14.648438 81.218 -102.1175
15.014648 81.401 -103.6242
15.380859 81.520 -105.0520
15.747070 81.615 -106.1296
16.113281 81.741 -106.9070
16.479492 81.923 -107.7256
16.845703 82.134 -108.9221
17.211914 82.315 -110.5395
17.578125 82.425 -112.3025
17.944336 82.471 -113.8271
18.310547 82.499 -114.8913
18.676758 82.568 -115.6019
19.042969 82.696 -116.3142
19.409180 82.853 -117.3374
19.775391 82.985 -118.6925
20.141602 83.058 -120.1214
20.507812 83.077 -121.2860
20.874023 83.085 -121.9986
21.240234 83.132 -122.3487
21.606445 83.240 -122.6353
21.972656 83.390 -123.1449
22.338867 83.542 -123.9705
22.705078 83.665 -125.0066
23.071289 83.748 -126.0682
23.437500 83.804 -127.0142
23.803711 83.848 -127.8027
24.169922 83.896 -128.4728
24.536133 83.951 -129.0933
24.902344 84.013 -129.7230
25.268555 84.076 -130.3970
25.634766 84.133 -131.1214
26.000977 84.175 -131.8637
26.367188 84.203 -132.5556
26.733398 84.223 -133.1280
27.099609 84.253 -133.5738
27.465820 84.307 -133.9884
27.832031 84.381 -134.5287
28.198242 84.453 -135.2975
28.564453 84.492 -136.2393
28.930664 84.480 -137.1373
29.296875 84.430 -137.7258
29.663086 84.386 -137.8659
30.029297 84.396 -137.6783
30.395508 84.482 -137.5051
30.761719 84.619 -137.6834
31.127930 84.757 -138.3213
31.494141 84.851 -139.2626
31.860352 84.890 -140.2263
32.226562 84.892 -140.9898
32.592773 84.890 -141.5068
32.958984 84.906 -141.8938
33.325195 84.939 -142.3031
33.691406 84.973 -142.7934
34.057617 84.994 -143.3087
34.423828 85.006 -143.7632
34.790039 85.021 -144.1402
35.156250 85.045 -144.5098
35.522461 85.072 -144.9495
35.888672 85.086 -145.4473
36.254883 85.081 -145.8906
36.621094 85.071 -146.1632
36.987305 85.084 -146.2786
37.353516 85.137 -146.4250
37.719727 85.217 -146.8478
38.085938 85.284 -147.6489
38.452148 85.293 -148.6781
38.818359 85.228 -149.5957
39.184570 85.120 -150.0625
39.550781 85.029 -149.9670
39.916992 85.014 -149.5471
40.283203 85.087 -149.2604
40.649414 85.202 -149.4553
41.015625 85.296 -150.1432
41.381836 85.326 -151.0403
41.748047 85.296 -151.7816
42.114258 85.245 -152.1476
42.480469 85.222 -152.1888
42.846680 85.249 -152.1673
43.212891 85.310 -152.3443
43.579102 85.369 -152.7927
43.945312 85.395 -153.3791
44.311523 85.385 -153.8899
44.677734 85.361 -154.1831
45.043945 85.351 -154.2739
45.410156 85.371 -154.3059
45.776367 85.415 -154.4400
46.142578 85.463 -154.7504
46.508789 85.496 -155.1989
46.875000 85.507 -155.6837
47.241211 85.500 -156.1098
47.607422 85.487 -156.4379
47.973633 85.481 -156.6974
48.339844 85.486 -156.9637
48.706055 85.499 -157.3148
49.072266 85.506 -157.7876
49.438477 85.493 -158.3507
49.804688 85.452 -158.9052
50.170898 85.384 -159.3187
50.537109 85.307 -159.4840
50.903320 85.246 -159.3830
51.269531 85.223 -159.1171
51.635742 85.248 -158.8709
52.001953 85.308 -158.8175
52.368164 85.374 -159.0269
52.734375 85.423 -159.4386
53.100586 85.442 -159.9047
53.466797 85.435 -160.2700
53.833008 85.422 -160.4479
54.199219 85.423 -160.4592
54.565430 85.451 -160.4149
54.931641 85.505 -160.4498
55.297852 85.567 -160.6491
55.664062 85.620 -161.0089
56.030273 85.649 -161.4468
56.396484 85.652 -161.8482
56.762695 85.638 -162.1234
57.128906 85.624 -162.2506
57.495117 85.621 -162.2839
57.861328 85.632 -162.3130
58.227539 85.648 -162.3994
58.593750 85.659 -162.5343
58.959961 85.662 -162.6538
59.326172 85.662 -162.7055
59.692383 85.675 -162.7129
60.058594 85.704 -162.7771
60.424805 85.738 -162.9967
60.791016 85.755 -163.3694
61.157227 85.743 -163.7683
61.523438 85.708 -164.0284
61.889648 85.679 -164.0913
62.255859 85.681 -164.0877
62.622070 85.712 -164.2534
62.988281 85.736 -164.7177
63.354492 85.713 -165.3534
63.720703 85.633 -165.8302
64.086914 85.532 -165.8474
64.453125 85.479 -165.4114
64.819336 85.517 -164.9174
65.185547 85.624 -164.8672
65.551758 85.725 -165.4461
65.917969 85.751 -166.3765
66.284180 85.691 -167.1321
66.650391 85.604 -167.3193
67.016602 85.577 -167.0118
67.382812 85.652 -166.7543
67.749023 85.784 -167.1128
68.115234 85.875 -168.1871
68.481445 85.851 -169.5463
68.847656 85.708 -170.5204
69.213867 85.519 -170.6060
69.580078 85.398 -169.8275
69.946289 85.415 -168.7870
70.312500 85.544 -168.2078
70.678711 85.692 -168.3787
71.044922 85.777 -169.0557
71.411133 85.777 -169.7560
71.777344 85.727 -170.1012
72.143555 85.684 -170.0273
72.509766 85.689 -169.7751
72.875977 85.738 -169.6723
73.242188 85.795 -169.8877
73.608398 85.819 -170.3516
73.974609 85.793 -170.8456
74.340820 85.726 -171.1467
74.707031 85.648 -171.1393
75.073242 85.591 -170.8637
75.439453 85.575 -170.4868
75.805664 85.597 -170.2089
76.171875 85.639 -170.1572
76.538086 85.674 -170.3321
76.904297 85.688 -170.6324
77.270508 85.681 -170.9353
77.636719 85.664 -171.1763
78.002930 85.649 -171.3765
78.369141 85.638 -171.5960
78.735352 85.622 -171.8542
79.101562 85.593 -172.0921
79.467773 85.557 -172.2176
79.833984 85.531 -172.1968
80.200195 85.532 -172.1096
80.566406 85.559 -172.1044
80.932617 85.595 -172.2789
81.298828 85.614 -172.5955
81.665039 85.608 -172.9075
82.031250 85.586 -173.0729
82.397461 85.574 -173.0659
82.763672 85.587 -172.9985
83.129883 85.624 -173.0280
83.496094 85.664 -173.2326
83.862305 85.687 -173.5651
84.228516 85.686 -173.9113
84.594727 85.670 -174.1868
84.960938 85.651 -174.3859
85.327148 85.630 -174.5492
85.693359 85.606 -174.6920
86.059570 85.575 -174.7724
86.425781 85.546 -174.7384
86.791992 85.535 -174.6083
87.158203 85.552 -174.4997
87.524414 85.587 -174.5564
87.890625 85.618 -174.8308
88.256836 85.620 -175.2273
88.623047 85.589 -175.5607
88.989258 85.545 -175.6848
89.355469 85.517 -175.6046
89.721680 85.524 -175.4794
90.087891 85.558 -175.5021
90.454102 85.591 -175.7501
90.820312 85.596 -176.1327
91.186523 85.566 -176.4619
91.552734 85.518 -176.5801
91.918945 85.479 -176.4603
92.285156 85.472 -176.2189
92.651367 85.498 -176.0342
93.017578 85.540 -176.0327
93.383789 85.576 -176.2262
93.750000 85.587 -176.5253
94.116211 85.572 -176.7993
94.482422 85.541 -176.9456
94.848633 85.515 -176.9430
95.214844 85.507 -176.8681
95.581055 85.522 -176.8552
95.947266 85.545 -177.0093
96.313477 85.553 -177.3258
96.679688 85.531 -177.6772
97.045898 85.487 -177.8893
97.412109 85.446 -177.8706
97.778320 85.440 -177.7116
98.144531 85.479 -177.6552
98.510742 85.539 -177.9255
98.876953 85.576 -178.5488
99.243164 85.552 -179.3137
99.609375 85.466 -179.8870
99.975586 85.353 179.9927
100.341797 85.268 -179.6565
100.708008 85.250 -179.0892
101.074219 85.298 -178.6612
101.440430 85.373 -178.5847
101.806641 85.432 -178.8234
102.172852 85.452 -179.1753
102.539062 85.439 -179.4327
102.905273 85.415 -179.5034
103.271484 85.404 -179.4359
103.637695 85.413 -179.3550
104.003906 85.433 -179.3646
104.370117 85.450 -179.4902
104.736328 85.452 -179.6848
105.102539 85.437 -179.8723
105.468750 85.412 -179.9931
105.834961 85.386 179.9686
106.201172 85.367 179.9843
106.567383 85.358 -179.9958
106.933594 85.356 179.9916
107.299805 85.356 179.9428
107.666016 85.358 179.8792
108.032227 85.362 179.8170
108.398438 85.374 179.7437
108.764648 85.393 179.6265
109.130859 85.413 179.4470
109.497070 85.429 179.2257
109.863281 85.441 179.0038
110.229492 85.455 178.7946
110.595703 85.475 178.5523
110.961914 85.494 178.2034
111.328125 85.496 177.7273
111.694336 85.459 177.2166
112.060547 85.381 176.8579
112.426758 85.279 176.8303
112.792969 85.190 177.1797
113.159180 85.147 177.7610
113.525391 85.157 178.3178
113.891602 85.197 178.6498
114.257812 85.237 178.7261
114.624023 85.255 178.6617
114.990234 85.251 178.6065
115.356445 85.239 178.6392
115.722656 85.237 178.7312
116.088867 85.250 178.7874
116.455078 85.271 178.7236
116.821289 85.285 178.5246
117.187500 85.281 178.2556
117.553711 85.257 178.0298
117.919922 85.225 177.9484
118.286133 85.207 178.0304
118.652344 85.223 178.1708
119.018555 85.275 178.1783
119.384766 85.341 177.8951
119.750977 85.385 177.3198
120.117188 85.379 176.6332
120.483398 85.322 176.1046
120.849609 85.246 175.9259
121.215820 85.193 176.0740
121.582031 85.185 176.3168
121.948242 85.211 176.3964
122.314453 85.231 176.2377
122.680664 85.217 175.9927
123.046875 85.171 175.8980
123.413086 85.123 176.0754
123.779297 85.105 176.4291
124.145508 85.125 176.7334
124.511719 85.159 176.8361
124.877930 85.180 176.7753
125.244141 85.179 176.7095
125.610352 85.173 176.7458
125.976562 85.184 176.8290
126.342773 85.214 176.7974
126.708984 85.238 176.5561
127.075195 85.231 176.1958
127.441406 85.186 175.9427
127.807617 85.131 175.9805
128.173828 85.108 176.2802
128.540039 85.141 176.5865
128.906250 85.214 176.6048
129.272461 85.282 176.2279
129.638672 85.304 175.6023
130.004883 85.269 175.0124
130.371094 85.197 174.6976
130.737305 85.126 174.7177
131.103516 85.086 174.9438
131.469727 85.080 175.1795
131.835938 85.091 175.3087
132.202148 85.102 175.3452
132.568359 85.107 175.3669
132.934570 85.114 175.4153
133.300781 85.129 175.4527
133.666992 85.151 175.4061
134.033203 85.167 175.2487
134.399414 85.164 175.0401
134.765625 85.143 174.8873
135.131836 85.118 174.8591
135.498047 85.106 174.9226
135.864258 85.114 174.9602
136.230469 85.131 174.8628
136.596680 85.136 174.6234
136.962891 85.116 174.3508
137.329102 85.075 174.1932
137.695312 85.034 174.2260
138.061523 85.017 174.3837
138.427734 85.032 174.4962
138.793945 85.062 174.4135
139.160156 85.080 174.1172
139.526367 85.065 173.7332
139.892578 85.016 173.4487
140.258789 84.955 173.3928
140.625000 84.909 173.5553
140.991211 84.897 173.7950
141.357422 84.914 173.9368
141.723633 84.940 173.8864
142.089844 84.952 173.6794
142.456055 84.940 173.4425
142.822266 84.909 173.3077
143.188477 84.880 173.3304
143.554688 84.870 173.4550
143.920898 84.886 173.5505
144.287109 84.918 173.4979
144.653320 84.944 173.2703
145.019531 84.947 172.9508
145.385742 84.924 172.6797
145.751953 84.889 172.5651
146.118164 84.862 172.6123
