* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/06/2025 6:31:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MK12 Red L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.965 148.8299
0.732422 38.374 88.0165
1.098633 43.317 27.3491
1.464844 48.568 6.5647
1.831055 52.517 -0.4895
2.197266 56.005 -3.4481
2.563477 59.251 -6.9354
2.929688 62.115 -12.4594
3.295898 64.474 -19.6094
3.662109 66.310 -27.4256
4.028320 67.678 -34.9964
4.394531 68.677 -41.6210
4.760742 69.436 -46.9020
5.126953 70.086 -50.8404
5.493164 70.729 -53.8187
5.859375 71.405 -56.3686
6.225586 72.105 -58.8774
6.591797 72.804 -61.5011
6.958008 73.491 -64.2930
7.324219 74.153 -67.3287
7.690430 74.766 -70.6750
8.056641 75.288 -74.2545
8.422852 75.687 -77.7617
8.789062 75.968 -80.7314
9.155273 76.195 -82.7693
9.521484 76.468 -83.8752
9.887695 76.865 -84.6067
10.253906 77.373 -85.7618
10.620117 77.891 -87.7795
10.986328 78.310 -90.4736
11.352539 78.580 -93.2347
11.718750 78.730 -95.4124
12.084961 78.856 -96.6988
12.451172 79.058 -97.3788
12.817383 79.370 -98.1692
13.183594 79.725 -99.6562
13.549805 80.021 -101.8783
13.916016 80.191 -104.3915
14.282227 80.237 -106.5954
14.648438 80.221 -108.0714
15.014648 80.233 -108.8227
15.380859 80.331 -109.2679
15.747070 80.507 -109.9215
16.113281 80.704 -111.0246
16.479492 80.868 -112.4631
16.845703 80.985 -113.9566
17.211914 81.072 -115.2957
17.578125 81.159 -116.4644
17.944336 81.261 -117.5944
18.310547 81.366 -118.8044
18.676758 81.452 -120.0736
19.042969 81.510 -121.2479
19.409180 81.554 -122.1632
19.775391 81.617 -122.7902
20.141602 81.727 -123.2921
20.507812 81.882 -123.9314
20.874023 82.050 -124.8856
21.240234 82.189 -126.1224
21.606445 82.273 -127.4212
21.972656 82.308 -128.5067
22.338867 82.329 -129.2158
22.705078 82.378 -129.6097
23.071289 82.475 -129.9424
23.437500 82.606 -130.4807
23.803711 82.731 -131.3177
24.169922 82.818 -132.3326
24.536133 82.858 -133.3026
24.902344 82.871 -134.0646
25.268555 82.884 -134.6149
25.634766 82.912 -135.0746
26.000977 82.946 -135.5536
26.367188 82.973 -136.0429
26.733398 82.993 -136.4429
27.099609 83.024 -136.7018
27.465820 83.091 -136.9320
27.832031 83.192 -137.3691
28.198242 83.296 -138.1831
28.564453 83.357 -139.3144
28.930664 83.349 -140.4815
29.296875 83.288 -141.3484
29.663086 83.222 -141.7483
30.029297 83.206 -141.8197
30.395508 83.255 -141.9166
30.761719 83.338 -142.3280
31.127930 83.407 -143.0637
31.494141 83.432 -143.8874
31.860352 83.424 -144.5254
32.226562 83.421 -144.8804
32.592773 83.455 -145.1006
32.958984 83.524 -145.4430
33.325195 83.598 -146.0462
33.691406 83.640 -146.8213
34.057617 83.639 -147.5349
34.423828 83.619 -147.9948
34.790039 83.614 -148.2004
35.156250 83.647 -148.3486
35.522461 83.706 -148.6753
35.888672 83.756 -149.2630
36.254883 83.765 -149.9734
36.621094 83.729 -150.5424
36.987305 83.679 -150.7632
37.353516 83.664 -150.6582
37.719727 83.718 -150.5170
38.085938 83.829 -150.7249
38.452148 83.942 -151.4928
38.818359 83.997 -152.7079
39.184570 83.958 -153.9905
39.550781 83.841 -154.8882
39.916992 83.709 -155.1263
40.283203 83.638 -154.8139
40.649414 83.669 -154.4182
41.015625 83.770 -154.4253
41.381836 83.872 -154.9739
41.748047 83.916 -155.7998
42.114258 83.900 -156.4763
42.480469 83.870 -156.7394
42.846680 83.886 -156.6961
43.212891 83.967 -156.7336
43.579102 84.071 -157.1612
43.945312 84.138 -157.9274
44.311523 84.140 -158.6682
44.677734 84.106 -159.0090
45.043945 84.106 -158.9010
45.410156 84.189 -158.7305
45.776367 84.335 -159.0269
46.142578 84.462 -160.0087
46.508789 84.493 -161.4119
46.875000 84.403 -162.6723
47.241211 84.236 -163.2613
47.607422 84.086 -163.0182
47.973633 84.034 -162.2980
48.339844 84.092 -161.7306
48.706055 84.200 -161.7423
49.072266 84.281 -162.3130
49.438477 84.291 -163.1142
49.804688 84.236 -163.7788
50.170898 84.149 -164.0958
50.537109 84.072 -164.0611
50.903320 84.031 -163.8102
51.269531 84.034 -163.5179
51.635742 84.078 -163.3430
52.001953 84.148 -163.4145
52.368164 84.218 -163.8014
52.734375 84.258 -164.4580
53.100586 84.249 -165.2042
53.466797 84.193 -165.7912
53.833008 84.122 -166.0434
54.199219 84.078 -165.9955
54.565430 84.087 -165.8991
54.931641 84.135 -166.0457
55.297852 84.178 -166.5390
55.664062 84.175 -167.2182
56.030273 84.119 -167.7742
56.396484 84.043 -167.9610
56.762695 83.995 -167.7722
57.128906 84.010 -167.4578
57.495117 84.081 -167.3409
57.861328 84.169 -167.5861
58.227539 84.234 -168.1198
58.593750 84.261 -168.7333
58.959961 84.261 -169.2494
59.326172 84.256 -169.6312
59.692383 84.261 -169.9716
60.058594 84.269 -170.3819
60.424805 84.262 -170.8776
60.791016 84.224 -171.3527
61.157227 84.162 -171.6536
61.523438 84.097 -171.6912
61.889648 84.056 -171.5157
62.255859 84.054 -171.2978
62.622070 84.082 -171.2244
62.988281 84.115 -171.3864
63.354492 84.127 -171.7369
63.720703 84.103 -172.1293
64.086914 84.049 -172.3931
64.453125 83.982 -172.4115
64.819336 83.932 -172.1772
65.185547 83.922 -171.8064
65.551758 83.958 -171.4957
65.917969 84.026 -171.4280
66.284180 84.094 -171.6776
66.650391 84.132 -172.1666
67.016602 84.125 -172.6969
67.382812 84.079 -173.0413
67.749023 84.026 -173.0623
68.115234 84.004 -172.8072
68.481445 84.037 -172.5049
68.847656 84.116 -172.4358
69.213867 84.203 -172.7562
69.580078 84.254 -173.4091
69.946289 84.245 -174.1668
70.312500 84.179 -174.7525
70.678711 84.086 -174.9756
71.044922 84.007 -174.8273
71.411133 83.974 -174.4836
71.777344 83.989 -174.1985
72.143555 84.030 -174.1529
72.509766 84.067 -174.3693
72.875977 84.079 -174.7356
73.242188 84.063 -175.0955
73.608398 84.033 -175.3435
73.974609 84.010 -175.4760
74.340820 84.004 -175.5779
74.707031 84.014 -175.7551
75.073242 84.027 -176.0600
75.439453 84.028 -176.4599
75.805664 84.011 -176.8623
76.171875 83.982 -177.1723
76.538086 83.954 -177.3472
76.904297 83.941 -177.4174
77.270508 83.947 -177.4625
77.636719 83.970 -177.5597
78.002930 83.997 -177.7409
78.369141 84.020 -177.9850
78.735352 84.034 -178.2440
79.101562 84.041 -178.4801
79.467773 84.044 -178.6873
79.833984 84.045 -178.8826
80.200195 84.040 -179.0762
80.566406 84.024 -179.2460
80.932617 84.000 -179.3433
81.298828 83.974 -179.3326
81.665039 83.960 -179.2373
82.031250 83.965 -179.1491
82.397461 83.981 -179.1767
82.763672 83.992 -179.3643
83.129883 83.980 -179.6449
83.496094 83.939 -179.8716
83.862305 83.886 -179.9134
84.228516 83.848 -179.7573
84.594727 83.847 -179.5382
84.960938 83.880 -179.4542
85.327148 83.924 -179.6267
85.693359 83.952 179.9790
86.059570 83.948 179.5151
86.425781 83.919 179.1403
86.791992 83.885 178.9198
87.158203 83.862 178.8047
87.524414 83.853 178.6981
87.890625 83.849 178.5471
88.256836 83.840 178.3773
88.623047 83.826 178.2495
88.989258 83.814 178.1907
89.355469 83.811 178.1663
89.721680 83.817 178.1166
90.087891 83.822 178.0176
90.454102 83.820 177.9020
90.820312 83.813 177.8228
91.186523 83.808 177.7976
91.552734 83.812 177.7861
91.918945 83.824 177.7252
92.285156 83.836 177.5834
92.651367 83.840 177.3839
93.017578 83.835 177.1767
93.383789 83.825 176.9918
93.750000 83.815 176.8198
94.116211 83.804 176.6364
94.482422 83.789 176.4442
94.848633 83.767 176.2837
95.214844 83.743 176.1998
95.581055 83.729 176.1919
95.947266 83.731 176.1964
96.313477 83.746 176.1265
96.679688 83.760 175.9429
97.045898 83.757 175.6952
97.412109 83.732 175.5010
97.778320 83.695 175.4750
98.144531 83.669 175.6503
98.510742 83.673 175.9408
98.876953 83.715 176.1750
99.243164 83.782 176.1869
99.609375 83.845 175.9047
99.975586 83.878 175.3863
100.341797 83.863 174.7899
100.708008 83.802 174.3059
101.074219 83.716 174.0754
101.440430 83.633 174.1261
101.806641 83.575 174.3605
102.172852 83.551 174.6164
102.539062 83.549 174.7660
102.905273 83.553 174.7809
103.271484 83.552 174.7166
103.637695 83.548 174.6384
104.003906 83.548 174.5539
104.370117 83.557 174.4084
104.736328 83.566 174.1491
105.102539 83.559 173.7985
105.468750 83.527 173.4703
105.834961 83.480 173.3051
106.201172 83.438 173.3664
106.567383 83.428 173.5781
106.933594 83.456 173.7640
107.299805 83.506 173.7733
107.666016 83.554 173.5840
108.032227 83.583 173.2964
108.398438 83.594 173.0327
108.764648 83.602 172.8278
109.130859 83.616 172.6035
109.497070 83.627 172.2530
109.863281 83.611 171.7661
110.229492 83.548 171.2857
110.595703 83.440 171.0434
110.961914 83.320 171.2113
111.328125 83.231 171.7626
111.694336 83.205 172.4553
112.060547 83.234 172.9874
112.426758 83.287 173.1989
112.792969 83.328 173.1407
113.159180 83.347 172.9761
113.525391 83.352 172.8260
113.891602 83.361 172.6827
114.257812 83.376 172.4542
114.624023 83.383 172.0895
114.990234 83.364 171.6637
115.356445 83.317 171.3436
115.722656 83.265 171.2601
116.088867 83.238 171.3866
116.455078 83.252 171.5354
116.821289 83.297 171.4948
117.187500 83.339 171.1940
117.553711 83.349 170.7498
117.919922 83.320 170.3745
118.286133 83.271 170.2294
118.652344 83.231 170.3271
119.018555 83.215 170.5483
119.384766 83.224 170.7517
119.750977 83.242 170.8740
120.117188 83.260 170.9335
120.483398 83.276 170.9606
120.849609 83.292 170.9421
121.215820 83.302 170.8411
121.582031 83.296 170.6665
121.948242 83.266 170.5088
122.314453 83.219 170.4873
122.680664 83.180 170.6409
123.046875 83.169 170.8584
123.413086 83.189 170.9370
123.779297 83.212 170.7422
124.145508 83.207 170.3267
124.511719 83.157 169.9025
124.877930 83.080 169.6902
125.244141 83.010 169.7537
125.610352 82.978 169.9455
125.976562 82.984 170.0291
126.342773 82.999 169.8795
126.708984 82.995 169.5744
127.075195 82.966 169.3054
127.441406 82.930 169.2036
127.807617 82.914 169.2267
128.173828 82.924 169.2093
128.540039 82.942 169.0307
128.906250 82.943 168.7371
129.272461 82.917 168.4980
129.638672 82.884 168.4456
130.004883 82.871 168.5405
130.371094 82.886 168.5970
130.737305 82.908 168.4632
131.103516 82.904 168.1832
131.469727 82.861 167.9820
131.835938 82.801 168.0821
132.202148 82.771 168.4913
132.568359 82.801 168.9460
132.934570 82.879 169.1038
133.300781 82.953 168.8235
133.666992 82.978 168.2651
134.033203 82.943 167.7533
134.399414 82.876 167.5412
134.765625 82.824 167.6368
135.131836 82.811 167.8212
135.498047 82.828 167.8558
135.864258 82.839 167.6885
136.230469 82.825 167.4692
136.596680 82.792 167.3900
136.962891 82.770 167.5017
137.329102 82.782 167.6617
137.695312 82.822 167.6625
138.061523 82.858 167.4207
138.427734 82.863 167.0480
138.793945 82.832 166.7567
139.160156 82.789 166.6929
139.526367 82.764 166.8264
139.892578 82.770 166.9816
140.258789 82.795 166.9901
140.625000 82.810 166.8249
140.991211 82.798 166.6075
141.357422 82.763 166.5012
141.723633 82.725 166.5830
142.089844 82.707 166.7863
142.456055 82.714 166.9546
142.822266 82.733 166.9637
143.188477 82.738 166.8121
143.554688 82.716 166.6158
143.920898 82.671 166.5261
144.287109 82.621 166.6280
144.653320 82.592 166.8804
145.019531 82.594 167.1382
145.385742 82.620 167.2481
145.751953 82.648 167.1502
146.118164 82.657 166.9091
146.484375 82.643 166.6600
146.850586 82.617 166.5092
147.216797 82.600 166.4551
147.583008 82.601 166.3883
