* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/06/2025 6:34:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MK12 Red R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 33.478 -132.7371
0.732422 39.162 177.0869
1.098633 44.279 123.9812
1.464844 49.731 82.6661
1.831055 54.343 52.9814
2.197266 57.907 30.3600
2.563477 60.602 12.4192
2.929688 62.642 -1.8273
3.295898 64.234 -12.8554
3.662109 65.567 -21.1353
4.028320 66.796 -27.3740
4.394531 67.996 -32.4456
4.760742 69.170 -37.0846
5.126953 70.273 -41.6605
5.493164 71.268 -46.2064
5.859375 72.139 -50.5836
6.225586 72.893 -54.6256
6.591797 73.556 -58.2228
6.958008 74.162 -61.3689
7.324219 74.742 -64.1827
7.690430 75.309 -66.8798
8.056641 75.852 -69.6721
8.422852 76.338 -72.6344
8.789062 76.737 -75.6274
9.155273 77.039 -78.3367
9.521484 77.280 -80.4336
9.887695 77.534 -81.8163
10.253906 77.872 -82.7921
10.620117 78.313 -83.9721
10.986328 78.797 -85.8621
11.352539 79.230 -88.5230
11.718750 79.540 -91.5717
12.084961 79.713 -94.4139
12.451172 79.798 -96.5349
12.817383 79.888 -97.7790
13.183594 80.065 -98.4880
13.549805 80.345 -99.2943
13.916016 80.668 -100.6575
14.282227 80.948 -102.5803
14.648438 81.133 -104.6943
15.014648 81.228 -106.5334
15.380859 81.281 -107.8013
15.747070 81.359 -108.5353
16.113281 81.501 -109.0702
16.479492 81.696 -109.7930
16.845703 81.898 -110.8844
17.211914 82.064 -112.2572
17.578125 82.177 -113.6813
17.944336 82.250 -114.9539
18.310547 82.309 -116.0066
18.676758 82.375 -116.9034
19.042969 82.454 -117.7525
19.409180 82.541 -118.6154
19.775391 82.630 -119.4908
20.141602 82.724 -120.3680
20.507812 82.825 -121.2777
20.874023 82.929 -122.2755
21.240234 83.021 -123.3663
21.606445 83.087 -124.4501
21.972656 83.133 -125.3584
22.338867 83.185 -125.9841
22.705078 83.278 -126.4128
23.071289 83.427 -126.9247
23.437500 83.607 -127.8103
23.803711 83.762 -129.1429
24.169922 83.843 -130.7033
24.536133 83.839 -132.0979
24.902344 83.785 -132.9846
25.268555 83.746 -133.2972
25.634766 83.772 -133.3192
26.000977 83.864 -133.4868
26.367188 83.973 -134.0573
26.733398 84.043 -134.9497
27.099609 84.052 -135.8598
27.465820 84.021 -136.5032
27.832031 83.992 -136.8119
28.198242 84.000 -136.9595
28.564453 84.043 -137.1938
28.930664 84.096 -137.6289
29.296875 84.135 -138.1907
29.663086 84.160 -138.7355
30.029297 84.189 -139.2070
30.395508 84.238 -139.6909
30.761719 84.301 -140.3208
31.127930 84.355 -141.1345
31.494141 84.382 -142.0194
31.860352 84.382 -142.7949
32.226562 84.379 -143.3535
32.592773 84.398 -143.7474
32.958984 84.448 -144.1417
33.325195 84.512 -144.6689
33.691406 84.567 -145.3233
34.057617 84.600 -145.9827
34.423828 84.619 -146.5272
34.790039 84.640 -146.9430
35.156250 84.672 -147.3224
35.522461 84.705 -147.7567
35.888672 84.721 -148.2252
36.254883 84.715 -148.5929
36.621094 84.704 -148.7319
36.987305 84.721 -148.6730
37.353516 84.786 -148.6478
37.719727 84.884 -148.9432
38.085938 84.966 -149.6736
38.452148 84.986 -150.6723
38.818359 84.928 -151.5768
39.184570 84.823 -152.0405
39.550781 84.737 -151.9662
39.916992 84.724 -151.6130
40.283203 84.791 -151.4354
40.649414 84.892 -151.7439
41.015625 84.964 -152.5011
41.381836 84.973 -153.3959
41.748047 84.930 -154.0773
42.114258 84.880 -154.3810
42.480469 84.867 -154.4217
42.846680 84.903 -154.4805
43.212891 84.964 -154.7690
43.579102 85.013 -155.2823
43.945312 85.031 -155.8479
44.311523 85.027 -156.2900
44.677734 85.025 -156.5680
45.043945 85.043 -156.7922
45.410156 85.075 -157.1135
45.776367 85.100 -157.5886
46.142578 85.098 -158.1382
46.508789 85.067 -158.6183
46.875000 85.024 -158.9325
47.241211 84.989 -159.1033
47.607422 84.972 -159.2492
47.973633 84.963 -159.4852
48.339844 84.944 -159.8260
48.706055 84.901 -160.1656
49.072266 84.837 -160.3420
49.438477 84.777 -160.2492
49.804688 84.756 -159.9332
50.170898 84.792 -159.6011
50.537109 84.879 -159.5108
50.903320 84.981 -159.8090
51.269531 85.059 -160.4418
51.635742 85.090 -161.1947
52.001953 85.081 -161.8221
52.368164 85.062 -162.1924
52.734375 85.065 -162.3652
53.100586 85.103 -162.5392
53.466797 85.160 -162.8951
53.833008 85.207 -163.4656
54.199219 85.223 -164.1349
54.565430 85.206 -164.7441
54.931641 85.171 -165.2032
55.297852 85.133 -165.5247
55.664062 85.096 -165.7612
56.030273 85.058 -165.9244
56.396484 85.021 -165.9767
56.762695 85.000 -165.9117
57.128906 85.009 -165.8333
57.495117 85.044 -165.9204
57.861328 85.077 -166.2798
58.227539 85.076 -166.8217
58.593750 85.028 -167.2877
58.959961 84.961 -167.4312
59.326172 84.927 -167.2385
59.692383 84.963 -167.0059
60.058594 85.055 -167.1407
60.424805 85.142 -167.8273
60.791016 85.159 -168.8678
61.157227 85.083 -169.7965
61.523438 84.953 -170.1536
61.889648 84.849 -169.7874
62.255859 84.849 -169.0168
62.622070 84.965 -168.4485
62.988281 85.139 -168.5370
63.354492 85.288 -169.3101
63.720703 85.356 -170.4469
64.086914 85.334 -171.5232
64.453125 85.254 -172.2283
64.819336 85.161 -172.4775
65.185547 85.092 -172.3894
65.551758 85.055 -172.1544
65.917969 85.044 -171.8975
66.284180 85.047 -171.6431
66.650391 85.062 -171.3760
67.016602 85.093 -171.1135
67.382812 85.142 -170.9155
67.749023 85.200 -170.8373
68.115234 85.259 -170.8872
68.481445 85.314 -171.0381
68.847656 85.365 -171.2781
69.213867 85.412 -171.6378
69.580078 85.445 -172.1549
69.946289 85.447 -172.7994
70.312500 85.406 -173.4357
70.678711 85.329 -173.8730
71.044922 85.245 -173.9933
71.411133 85.193 -173.8683
71.777344 85.188 -173.7448
72.143555 85.209 -173.8638
72.509766 85.216 -174.2593
72.875977 85.179 -174.7209
73.242188 85.107 -174.9543
73.608398 85.044 -174.8242
73.974609 85.038 -174.5067
74.340820 85.094 -174.3804
74.707031 85.167 -174.7079
75.073242 85.194 -175.4077
75.439453 85.148 -176.1085
75.805664 85.052 -176.4100
76.171875 84.973 -176.1798
76.538086 84.969 -175.6881
76.904297 85.041 -175.4135
77.270508 85.135 -175.6500
77.636719 85.185 -176.2974
78.002930 85.161 -176.9806
78.369141 85.088 -177.3329
78.735352 85.021 -177.2463
79.101562 85.005 -176.9365
79.467773 85.042 -176.7529
79.833984 85.094 -176.8923
80.200195 85.118 -177.2785
80.566406 85.099 -177.6744
80.932617 85.058 -177.8855
81.298828 85.024 -177.8970
81.665039 85.017 -177.8590
82.031250 85.029 -177.9420
82.397461 85.036 -178.1956
82.763672 85.021 -178.5271
83.129883 84.982 -178.7899
83.496094 84.938 -178.8969
83.862305 84.909 -178.8762
84.228516 84.904 -178.8401
84.594727 84.916 -178.8993
84.960938 84.932 -179.0940
85.327148 84.938 -179.3855
85.693359 84.928 -179.6937
86.059570 84.907 -179.9440
86.425781 84.883 179.9012
86.791992 84.867 179.8342
87.158203 84.864 179.8085
87.524414 84.877 179.7584
87.890625 84.897 179.6265
88.256836 84.915 179.3935
88.623047 84.919 179.0964
88.989258 84.903 178.8187
89.355469 84.873 178.6506
89.721680 84.844 178.6357
90.087891 84.830 178.7344
90.454102 84.840 178.8375
90.820312 84.867 178.8323
91.186523 84.894 178.6746
91.552734 84.905 178.4141
91.918945 84.895 178.1548
92.285156 84.874 177.9815
92.651367 84.855 177.9030
93.017578 84.848 177.8546
93.383789 84.850 177.7578
93.750000 84.850 177.5873
94.116211 84.840 177.3876
94.482422 84.820 177.2286
94.848633 84.800 177.1429
95.214844 84.789 177.0986
95.581055 84.786 177.0330
95.947266 84.784 176.9155
96.313477 84.774 176.7762
96.679688 84.758 176.6725
97.045898 84.743 176.6256
97.412109 84.735 176.5909
97.778320 84.731 176.5020
98.144531 84.717 176.3533
98.510742 84.681 176.2410
98.876953 84.634 176.3054
99.243164 84.602 176.6024
99.609375 84.615 177.0027
99.975586 84.679 177.2332
100.341797 84.763 177.0668
100.708008 84.819 176.5015
101.074219 84.811 175.7789
101.440430 84.744 175.2392
101.806641 84.657 175.1048
102.172852 84.605 175.3166
102.539062 84.614 175.5629
102.905273 84.661 175.5276
103.271484 84.697 175.1478
103.637695 84.686 174.6492
104.003906 84.633 174.3573
104.370117 84.582 174.4353
104.736328 84.582 174.7317
105.102539 84.640 174.8891
105.468750 84.714 174.6545
105.834961 84.750 174.0967
106.201172 84.721 173.5461
106.567383 84.652 173.3398
106.933594 84.597 173.5526
107.299805 84.600 173.9174
107.666016 84.649 174.0500
108.032227 84.690 173.7985
108.398438 84.675 173.3745
108.764648 84.600 173.1766
109.130859 84.519 173.4602
109.497070 84.498 174.0815
109.863281 84.561 174.5601
110.229492 84.662 174.4764
110.595703 84.721 173.8212
110.961914 84.690 172.9839
111.328125 84.579 172.4712
111.694336 84.455 172.5637
112.060547 84.398 173.0975
112.426758 84.436 173.5707
112.792969 84.527 173.5478
113.159180 84.600 172.9739
113.525391 84.609 172.1377
113.891602 84.553 171.4175
114.257812 84.470 171.0380
114.624023 84.400 170.9724
114.990234 84.363 171.0347
115.356445 84.347 171.0728
115.722656 84.335 171.0829
116.088867 84.321 171.1588
116.455078 84.319 171.3560
116.821289 84.344 171.6063
117.187500 84.399 171.7566
117.553711 84.465 171.6851
117.919922 84.516 171.3850
118.286133 84.532 170.9575
118.652344 84.508 170.5479
119.018555 84.451 170.2853
119.384766 84.377 170.2534
119.750977 84.307 170.4756
120.117188 84.262 170.8983
120.483398 84.260 171.3785
120.849609 84.299 171.7155
121.215820 84.359 171.7423
121.582031 84.406 171.4249
121.948242 84.411 170.8937
122.314453 84.364 170.3829
122.680664 84.284 170.1080
123.046875 84.207 170.1433
123.413086 84.166 170.3719
123.779297 84.170 170.5639
124.145508 84.199 170.5368
124.511719 84.221 170.2737
124.877930 84.213 169.9135
125.244141 84.177 169.6464
125.610352 84.133 169.5917
125.976562 84.106 169.7319
126.342773 84.110 169.9397
126.708984 84.139 170.0762
127.075195 84.177 170.0831
127.441406 84.210 169.9989
127.807617 84.233 169.9024
128.173828 84.254 169.8367
128.540039 84.284 169.7692
128.906250 84.320 169.6163
129.272461 84.353 169.3129
129.638672 84.362 168.8748
130.004883 84.335 168.4094
130.371094 84.273 168.0706
130.737305 84.195 167.9800
131.103516 84.128 168.1530
131.469727 84.096 168.4714
131.835938 84.105 168.7367
132.202148 84.137 168.7802
132.568359 84.163 168.5591
132.934570 84.159 168.1767
133.300781 84.116 167.8218
133.666992 84.049 167.6678
134.033203 83.985 167.7763
134.399414 83.953 168.0591
134.765625 83.961 168.3325
135.131836 83.996 168.4341
135.498047 84.033 168.3163
135.864258 84.053 168.0506
136.230469 84.048 167.7606
136.596680 84.027 167.5427
136.962891 84.001 167.4274
137.329102 83.979 167.3928
137.695312 83.964 167.4029
138.061523 83.958 167.4299
138.427734 83.961 167.4457
138.793945 83.973 167.4072
139.160156 83.986 167.2717
139.526367 83.989 167.0359
139.892578 83.971 166.7638
140.258789 83.932 166.5643
140.625000 83.884 166.5242
140.991211 83.846 166.6438
141.357422 83.831 166.8291
141.723633 83.839 166.9581
142.089844 83.854 166.9662
142.456055 83.864 166.8770
142.822266 83.863 166.7604
143.188477 83.855 166.6671
143.554688 83.847 166.5969
143.920898 83.840 166.5239
144.287109 83.830 166.4406
144.653320 83.816 166.3705
145.019531 83.801 166.3365
145.385742 83.789 166.3250
145.751953 83.783 166.2917
146.118164 83.775 166.2109
146.484375 83.757 166.1140
146.850586 83.731 166.0680
147.216797 83.708 166.1024
147.583008 83.699 166.1580
