* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/06/2025 6:27:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MK12 Silver L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 46.560 113.9703
0.732422 50.322 71.8965
1.098633 53.306 43.0019
1.464844 55.554 21.9154
1.831055 57.309 7.0043
2.197266 58.882 -2.6982
2.563477 60.566 -8.9443
2.929688 62.450 -14.2678
3.295898 64.363 -20.4716
3.662109 66.072 -27.8035
4.028320 67.440 -35.5311
4.394531 68.445 -42.6431
4.760742 69.161 -48.2263
5.126953 69.746 -51.7853
5.493164 70.387 -53.6171
5.859375 71.193 -54.8216
6.225586 72.118 -56.5654
6.591797 73.029 -59.3076
6.958008 73.818 -62.7919
7.324219 74.445 -66.4849
7.690430 74.931 -69.9344
8.056641 75.324 -72.9220
8.422852 75.668 -75.4478
8.789062 75.990 -77.6087
9.155273 76.304 -79.4863
9.521484 76.625 -81.1380
9.887695 76.971 -82.6751
10.253906 77.346 -84.3020
10.620117 77.732 -86.2297
10.986328 78.085 -88.5190
11.352539 78.363 -90.9950
11.718750 78.551 -93.3007
12.084961 78.676 -95.0604
12.451172 78.802 -96.0949
12.817383 79.002 -96.5857
13.183594 79.308 -97.0266
13.549805 79.690 -97.9253
13.916016 80.077 -99.4987
14.282227 80.402 -101.6118
14.648438 80.629 -103.9213
15.014648 80.763 -106.0652
15.380859 80.837 -107.8095
15.747070 80.894 -109.1207
16.113281 80.966 -110.1401
16.479492 81.060 -111.0675
16.845703 81.161 -112.0313
17.211914 81.253 -113.0375
17.578125 81.330 -114.0134
17.944336 81.399 -114.8913
18.310547 81.473 -115.6659
18.676758 81.561 -116.3944
19.042969 81.664 -117.1529
19.409180 81.777 -117.9947
19.775391 81.893 -118.9373
20.141602 82.004 -119.9740
20.507812 82.105 -121.0817
20.874023 82.189 -122.2148
21.240234 82.254 -123.3002
21.606445 82.307 -124.2594
21.972656 82.361 -125.0561
22.338867 82.433 -125.7395
22.705078 82.525 -126.4310
23.071289 82.627 -127.2453
23.437500 82.714 -128.1989
23.803711 82.769 -129.1833
24.169922 82.792 -130.0300
24.536133 82.802 -130.6262
24.902344 82.828 -131.0034
25.268555 82.883 -131.3209
25.634766 82.958 -131.7419
26.000977 83.029 -132.3063
26.367188 83.080 -132.9146
26.733398 83.117 -133.4326
27.099609 83.163 -133.8265
27.465820 83.235 -134.2136
27.832031 83.329 -134.7753
28.198242 83.417 -135.6042
28.564453 83.472 -136.6231
28.930664 83.480 -137.6339
29.296875 83.454 -138.4397
29.663086 83.421 -138.9508
30.029297 83.407 -139.2122
30.395508 83.429 -139.3547
30.761719 83.486 -139.5268
31.127930 83.567 -139.8527
31.494141 83.650 -140.4014
31.860352 83.706 -141.1344
32.226562 83.716 -141.8643
32.592773 83.687 -142.3084
32.958984 83.667 -142.2868
33.325195 83.719 -141.9721
33.691406 83.865 -141.9049
34.057617 84.044 -142.5946
34.423828 84.146 -144.0395
34.790039 84.093 -145.6291
35.156250 83.906 -146.4653
35.522461 83.724 -145.9912
35.888672 83.725 -144.6987
36.254883 83.948 -144.0066
36.621094 84.223 -144.9213
36.987305 84.330 -147.1021
37.353516 84.167 -149.1830
37.719727 83.837 -149.6117
38.085938 83.639 -147.8862
38.452148 83.839 -145.7136
38.818359 84.326 -145.6756
39.184570 84.717 -148.4668
39.550781 84.712 -152.6836
39.916992 84.229 -155.9231
40.283203 83.484 -155.5840
40.649414 83.075 -150.8696
41.015625 83.504 -145.7187
41.381836 84.405 -144.9473
41.748047 85.092 -148.6740
42.114258 85.209 -154.3388
42.480469 84.705 -158.9616
42.846680 83.818 -159.5714
43.212891 83.203 -154.8444
43.579102 83.509 -148.7465
43.945312 84.416 -147.0295
44.311523 85.164 -150.1872
44.677734 85.365 -155.6132
45.043945 84.966 -160.4577
45.410156 84.150 -162.0985
45.776367 83.405 -159.0051
46.142578 83.335 -153.2620
46.508789 83.935 -149.7003
46.875000 84.644 -150.1967
47.241211 85.053 -153.3010
47.607422 85.059 -156.9104
47.973633 84.753 -159.3379
48.339844 84.343 -159.6577
48.706055 84.079 -158.1237
49.072266 84.095 -156.1186
49.438477 84.316 -155.0418
49.804688 84.567 -155.3009
50.170898 84.716 -156.4364
50.537109 84.726 -157.6963
50.903320 84.640 -158.4440
51.269531 84.551 -158.4219
51.635742 84.556 -157.9172
52.001953 84.685 -157.6358
52.368164 84.873 -158.2147
52.734375 85.003 -159.7722
53.100586 84.974 -161.8503
53.466797 84.751 -163.6325
53.833008 84.391 -164.2510
54.199219 84.043 -163.2139
54.565430 83.886 -160.9018
54.931641 84.007 -158.5523
55.297852 84.320 -157.3471
55.664062 84.659 -157.6060
56.030273 84.906 -158.9133
56.396484 85.019 -160.6396
56.762695 85.019 -162.2999
57.128906 84.947 -163.6771
57.495117 84.833 -164.7645
57.861328 84.683 -165.5954
58.227539 84.495 -166.0912
58.593750 84.281 -166.0534
58.959961 84.085 -165.3236
59.326172 83.975 -164.0073
59.692383 83.993 -162.5461
60.058594 84.121 -161.4781
60.424805 84.289 -161.0692
60.791016 84.431 -161.1778
61.157227 84.525 -161.4273
61.523438 84.603 -161.5160
61.889648 84.723 -161.4772
62.255859 84.917 -161.7065
62.622070 85.150 -162.6767
62.988281 85.339 -164.5710
63.354492 85.398 -167.1474
63.720703 85.276 -169.8470
64.086914 84.979 -171.9933
64.453125 84.574 -173.0160
64.819336 84.169 -172.6979
65.185547 83.869 -171.3276
65.551758 83.714 -169.5195
65.917969 83.677 -167.7561
66.284180 83.712 -166.1327
66.650391 83.809 -164.5470
67.016602 83.996 -163.0563
67.382812 84.282 -162.0071
67.749023 84.628 -161.8007
68.115234 84.952 -162.5604
68.481445 85.177 -164.0317
68.847656 85.271 -165.7232
69.213867 85.251 -167.1290
69.580078 85.175 -167.9417
69.946289 85.120 -168.2001
70.312500 85.130 -168.2684
70.678711 85.197 -168.5958
71.044922 85.267 -169.4229
71.411133 85.280 -170.6680
71.777344 85.204 -172.0187
72.143555 85.045 -173.1079
72.509766 84.841 -173.6839
72.875977 84.648 -173.7255
73.242188 84.504 -173.4445
73.608398 84.412 -173.1392
73.974609 84.345 -172.9925
74.340820 84.270 -172.9720
74.707031 84.173 -172.8912
75.073242 84.068 -172.5649
75.439453 83.988 -171.9538
75.805664 83.961 -171.2005
76.171875 83.987 -170.5265
76.538086 84.046 -170.0735
76.904297 84.111 -169.8300
77.270508 84.172 -169.6908
77.636719 84.237 -169.5777
78.002930 84.317 -169.5157
78.369141 84.413 -169.6077
78.735352 84.511 -169.9387
79.101562 84.588 -170.4962
79.467773 84.629 -171.1709
79.833984 84.633 -171.8227
80.200195 84.611 -172.3549
80.566406 84.579 -172.7470
80.932617 84.544 -173.0322
81.298828 84.509 -173.2476
81.665039 84.473 -173.4031
82.031250 84.436 -173.4899
82.397461 84.402 -173.5080
82.763672 84.374 -173.4797
83.129883 84.351 -173.4328
83.496094 84.329 -173.3739
83.862305 84.308 -173.2806
84.228516 84.288 -173.1228
84.594727 84.279 -172.8961
84.960938 84.288 -172.6380
85.327148 84.316 -172.4161
85.693359 84.361 -172.2974
86.059570 84.413 -172.3227
86.425781 84.461 -172.4961
86.791992 84.496 -172.7870
87.158203 84.514 -173.1375
87.524414 84.512 -173.4755
87.890625 84.497 -173.7381
88.256836 84.481 -173.8993
88.623047 84.473 -173.9871
88.989258 84.478 -174.0682
89.355469 84.491 -174.2041
89.721680 84.502 -174.4073
90.087891 84.503 -174.6342
90.454102 84.493 -174.8190
90.820312 84.481 -174.9232
91.186523 84.475 -174.9604
91.552734 84.477 -174.9771
91.918945 84.483 -175.0087
92.285156 84.490 -175.0535
92.651367 84.495 -175.0896
93.017578 84.503 -175.1158
93.383789 84.517 -175.1700
93.750000 84.530 -175.3002
94.116211 84.534 -175.5120
94.482422 84.520 -175.7457
94.848633 84.490 -175.9136
95.214844 84.458 -175.9721
95.581055 84.438 -175.9656
95.947266 84.434 -175.9940
96.313477 84.435 -176.1235
96.679688 84.430 -176.3264
97.045898 84.417 -176.5128
97.412109 84.410 -176.6311
97.778320 84.425 -176.7466
98.144531 84.462 -177.0101
98.510742 84.498 -177.5254
98.876953 84.502 -178.2325
99.243164 84.458 -178.9128
99.609375 84.377 -179.3149
99.975586 84.298 -179.3199
100.341797 84.260 -179.0301
100.708008 84.274 -178.6949
101.074219 84.323 -178.5218
101.440430 84.375 -178.5461
101.806641 84.411 -178.6639
102.172852 84.432 -178.7616
102.539062 84.447 -178.8078
102.905273 84.460 -178.8383
103.271484 84.463 -178.8697
103.637695 84.452 -178.8487
104.003906 84.435 -178.7003
104.370117 84.431 -178.4297
104.736328 84.454 -178.1665
105.102539 84.494 -178.0820
105.468750 84.527 -178.2444
105.834961 84.527 -178.5529
106.201172 84.490 -178.8110
106.567383 84.440 -178.8788
106.933594 84.407 -178.7860
107.299805 84.405 -178.7091
107.666016 84.422 -178.8228
108.032227 84.430 -179.1581
108.398438 84.408 -179.5872
108.764648 84.357 -179.9238
109.130859 84.295 179.9535
109.497070 84.250 -179.9631
109.863281 84.236 -179.7854
110.229492 84.253 -179.6498
110.595703 84.288 -179.6480
110.961914 84.324 -179.8028
111.328125 84.347 179.9271
111.694336 84.347 179.6295
112.060547 84.327 179.4069
112.426758 84.298 179.3239
112.792969 84.278 179.3572
113.159180 84.274 179.3998
113.525391 84.275 179.3431
113.891602 84.263 179.1786
114.257812 84.223 179.0250
114.624023 84.165 179.0421
114.990234 84.118 179.2865
115.356445 84.109 179.6284
115.722656 84.142 179.8268
116.088867 84.189 179.7173
116.455078 84.213 179.3396
116.821289 84.199 178.8929
117.187500 84.156 178.5778
117.553711 84.114 178.4548
117.919922 84.091 178.4304
118.286133 84.084 178.3777
118.652344 84.080 178.2708
119.018555 84.069 178.1942
119.384766 84.064 178.2238
119.750977 84.081 178.3088
120.117188 84.121 178.2869
120.483398 84.160 178.0394
120.849609 84.163 177.6353
121.215820 84.116 177.3216
121.582031 84.040 177.3563
121.948242 83.985 177.7946
122.314453 83.992 178.3959
122.680664 84.058 178.7737
123.046875 84.139 178.6878
123.413086 84.179 178.2069
123.779297 84.151 177.6307
124.145508 84.068 177.2785
124.511719 83.975 177.2880
124.877930 83.915 177.5375
125.244141 83.899 177.7558
125.610352 83.904 177.7443
125.976562 83.895 177.5192
126.342773 83.857 177.2714
126.708984 83.803 177.2039
127.075195 83.767 177.3691
127.441406 83.779 177.6174
127.807617 83.836 177.7072
128.173828 83.910 177.4925
128.540039 83.964 177.0270
128.906250 83.983 176.5128
129.272461 83.978 176.1503
129.638672 83.976 175.9965
130.004883 83.999 175.9306
130.371094 84.043 175.7649
130.737305 84.080 175.4161
131.103516 84.079 174.9905
131.469727 84.035 174.7170
131.835938 83.973 174.7843
132.202148 83.933 175.1911
132.568359 83.943 175.7232
132.934570 83.998 176.0977
133.300781 84.063 176.1587
133.666992 84.104 175.9550
134.033203 84.103 175.6661
134.399414 84.068 175.4678
134.765625 84.020 175.4372
135.131836 83.978 175.5394
135.498047 83.952 175.6815
135.864258 83.940 175.7752
136.230469 83.936 175.7669
136.596680 83.929 175.6404
136.962891 83.909 175.4222
137.329102 83.870 175.1902
137.695312 83.812 175.0575
138.061523 83.754 175.1125
138.427734 83.718 175.3409
138.793945 83.722 175.6031
139.160156 83.760 175.7143
139.526367 83.806 175.5778
139.892578 83.833 175.2561
140.258789 83.829 174.9199
140.625000 83.806 174.7211
140.991211 83.788 174.6884
141.357422 83.787 174.7260
141.723633 83.799 174.7166
142.089844 83.810 174.6331
142.456055 83.807 174.5512
142.822266 83.798 174.5601
143.188477 83.799 174.6596
143.554688 83.819 174.7444
143.920898 83.848 174.6946
144.287109 83.865 174.4885
144.653320 83.854 174.2273
145.019531 83.818 174.0567
145.385742 83.776 174.0540
145.751953 83.746 174.1752
