* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07/06/2025 6:25:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MK12 Silver R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 29.882 -33.1054
0.732422 22.327 -8.1773
1.098633 36.395 60.2862
1.464844 45.523 48.7302
1.831055 51.416 34.1265
2.197266 55.688 20.1637
2.563477 58.922 7.4670
2.929688 61.424 -3.6771
3.295898 63.406 -13.0746
3.662109 65.046 -20.6926
4.028320 66.497 -26.7870
4.394531 67.860 -31.9174
4.760742 69.164 -36.7270
5.126953 70.375 -41.6186
5.493164 71.444 -46.6079
5.859375 72.347 -51.4302
6.225586 73.107 -55.7690
6.591797 73.774 -59.4763
6.958008 74.404 -62.6856
7.324219 75.016 -65.7206
7.690430 75.587 -68.8391
8.056641 76.074 -72.0243
8.422852 76.456 -74.9942
8.789062 76.758 -77.4072
9.155273 77.048 -79.1395
9.521484 77.390 -80.4572
9.887695 77.798 -81.8828
10.253906 78.221 -83.8073
10.620117 78.585 -86.2178
10.986328 78.846 -88.7547
11.352539 79.014 -90.9760
11.718750 79.145 -92.6376
12.084961 79.299 -93.8445
12.451172 79.500 -94.9438
12.817383 79.721 -96.2143
13.183594 79.918 -97.6412
13.549805 80.075 -98.9709
13.916016 80.217 -99.9642
14.282227 80.395 -100.6394
14.648438 80.639 -101.3054
15.014648 80.930 -102.3272
15.380859 81.212 -103.8378
15.747070 81.435 -105.6615
16.113281 81.585 -107.4619
16.479492 81.687 -108.9622
16.845703 81.786 -110.1035
17.211914 81.913 -111.0519
17.578125 82.068 -112.0463
17.944336 82.224 -113.2113
18.310547 82.355 -114.4899
18.676758 82.451 -115.7186
19.042969 82.524 -116.7586
19.409180 82.599 -117.5851
19.775391 82.693 -118.2875
20.141602 82.806 -118.9968
20.507812 82.930 -119.8051
20.874023 83.050 -120.7344
21.240234 83.155 -121.7561
21.606445 83.239 -122.8226
21.972656 83.301 -123.8802
22.338867 83.340 -124.8657
22.705078 83.362 -125.7107
23.071289 83.381 -126.3686
23.437500 83.415 -126.8572
23.803711 83.479 -127.2806
24.169922 83.572 -127.7964
24.536133 83.678 -128.5325
24.902344 83.770 -129.5051
25.268555 83.823 -130.5969
25.634766 83.834 -131.6080
26.000977 83.818 -132.3562
26.367188 83.810 -132.7835
26.733398 83.840 -133.0063
27.099609 83.918 -133.2583
27.465820 84.026 -133.7471
27.832031 84.128 -134.5330
28.198242 84.197 -135.5146
28.564453 84.221 -136.5080
28.930664 84.208 -137.3478
29.296875 84.177 -137.9510
29.663086 84.146 -138.3159
30.029297 84.128 -138.4812
30.395508 84.133 -138.4965
30.761719 84.169 -138.4379
31.127930 84.244 -138.4353
31.494141 84.347 -138.6476
31.860352 84.452 -139.1715
32.226562 84.528 -139.9557
32.592773 84.555 -140.8042
32.958984 84.543 -141.4835
33.325195 84.524 -141.8752
33.691406 84.535 -142.0712
34.057617 84.586 -142.3119
34.423828 84.654 -142.7911
34.790039 84.705 -143.4984
35.156250 84.717 -144.2384
35.522461 84.705 -144.7982
35.888672 84.701 -145.1272
36.254883 84.730 -145.3841
36.621094 84.782 -145.7884
36.987305 84.822 -146.4031
37.353516 84.820 -147.0532
37.719727 84.780 -147.4493
38.085938 84.744 -147.4211
38.452148 84.763 -147.0900
38.818359 84.854 -146.8135
39.184570 84.984 -146.9077
39.550781 85.100 -147.4066
39.916992 85.164 -148.0692
40.283203 85.182 -148.5820
40.649414 85.194 -148.7899
41.015625 85.241 -148.8084
41.381836 85.335 -148.9306
41.748047 85.447 -149.3955
42.114258 85.536 -150.2241
42.480469 85.570 -151.2373
42.846680 85.546 -152.1899
43.212891 85.485 -152.9064
43.579102 85.416 -153.3477
43.945312 85.360 -153.5906
44.311523 85.324 -153.7527
44.677734 85.304 -153.9245
45.043945 85.294 -154.1470
45.410156 85.285 -154.4243
45.776367 85.272 -154.7387
46.142578 85.251 -155.0552
46.508789 85.225 -155.3277
46.875000 85.196 -155.5163
47.241211 85.175 -155.6092
47.607422 85.169 -155.6321
47.973633 85.182 -155.6337
48.339844 85.213 -155.6621
48.706055 85.260 -155.7529
49.072266 85.317 -155.9357
49.438477 85.381 -156.2405
49.804688 85.439 -156.6857
50.170898 85.480 -157.2493
50.537109 85.492 -157.8503
50.903320 85.473 -158.3636
51.269531 85.436 -158.6741
51.635742 85.402 -158.7433
52.001953 85.392 -158.6469
52.368164 85.415 -158.5438
52.734375 85.459 -158.5845
53.100586 85.499 -158.8203
53.466797 85.516 -159.1779
53.833008 85.502 -159.5094
54.199219 85.470 -159.6867
54.565430 85.446 -159.6887
54.931641 85.446 -159.6277
55.297852 85.472 -159.6810
55.664062 85.502 -159.9650
56.030273 85.507 -160.4422
56.396484 85.472 -160.9322
56.762695 85.410 -161.2247
57.128906 85.358 -161.2361
57.495117 85.353 -161.1116
57.861328 85.401 -161.1602
58.227539 85.469 -161.6320
58.593750 85.499 -162.5136
58.959961 85.454 -163.5049
59.326172 85.339 -164.1764
59.692383 85.209 -164.2250
60.058594 85.140 -163.7137
60.424805 85.178 -163.0957
60.791016 85.299 -162.9005
61.157227 85.427 -163.3368
61.523438 85.492 -164.1823
61.889648 85.472 -164.9812
62.255859 85.403 -165.3472
62.622070 85.347 -165.2074
62.988281 85.351 -164.8377
63.354492 85.406 -164.6175
63.720703 85.464 -164.7013
64.086914 85.485 -164.9189
64.453125 85.471 -164.9628
64.819336 85.466 -164.6893
65.185547 85.519 -164.3075
65.551758 85.631 -164.2622
65.917969 85.743 -164.8684
66.284180 85.773 -166.0336
66.650391 85.669 -167.2702
67.016602 85.443 -167.9194
67.382812 85.185 -167.4865
67.749023 85.025 -166.0257
68.115234 85.056 -164.2808
68.481445 85.255 -163.2230
68.847656 85.503 -163.3430
69.213867 85.678 -164.4398
69.580078 85.721 -165.9070
69.946289 85.647 -167.1026
70.312500 85.525 -167.6397
70.678711 85.440 -167.5625
71.044922 85.442 -167.2947
71.411133 85.512 -167.3151
71.777344 85.590 -167.8136
72.143555 85.617 -168.6170
72.509766 85.577 -169.3619
72.875977 85.496 -169.7349
73.242188 85.426 -169.6561
73.608398 85.407 -169.3164
73.974609 85.446 -169.0361
74.340820 85.513 -169.0424
74.707031 85.567 -169.3471
75.073242 85.580 -169.7849
75.439453 85.551 -170.1378
75.805664 85.501 -170.2561
76.171875 85.460 -170.1255
76.538086 85.447 -169.8617
76.904297 85.470 -169.6392
77.270508 85.512 -169.5965
77.636719 85.554 -169.7729
78.002930 85.575 -170.1053
78.369141 85.570 -170.4742
78.735352 85.545 -170.7705
79.101562 85.516 -170.9504
79.467773 85.496 -171.0494
79.833984 85.488 -171.1447
80.200195 85.487 -171.2904
80.566406 85.484 -171.4778
80.932617 85.476 -171.6518
81.298828 85.469 -171.7704
81.665039 85.474 -171.8551
82.031250 85.493 -171.9863
82.397461 85.514 -172.2361
82.763672 85.522 -172.5947
83.129883 85.502 -172.9519
83.496094 85.460 -173.1581
83.862305 85.418 -173.1278
84.228516 85.403 -172.9179
84.594727 85.427 -172.7119
84.960938 85.478 -172.7033
85.327148 85.525 -172.9637
85.693359 85.540 -173.3998
86.059570 85.513 -173.8167
86.425781 85.457 -174.0339
86.791992 85.401 -173.9863
87.158203 85.371 -173.7553
87.524414 85.376 -173.5088
87.890625 85.408 -173.3953
88.256836 85.446 -173.4706
88.623047 85.473 -173.6984
88.989258 85.482 -173.9982
89.355469 85.474 -174.2939
89.721680 85.453 -174.5361
90.087891 85.427 -174.7024
90.454102 85.402 -174.7921
90.820312 85.384 -174.8243
91.186523 85.375 -174.8345
91.552734 85.374 -174.8618
91.918945 85.378 -174.9298
92.285156 85.381 -175.0358
92.651367 85.379 -175.1576
93.017578 85.374 -175.2712
93.383789 85.366 -175.3636
93.750000 85.358 -175.4321
94.116211 85.352 -175.4785
94.482422 85.350 -175.5092
94.848633 85.354 -175.5439
95.214844 85.362 -175.6155
95.581055 85.370 -175.7495
95.947266 85.370 -175.9325
96.313477 85.356 -176.1039
96.679688 85.336 -176.1923
97.045898 85.324 -176.1819
97.412109 85.331 -176.1541
97.778320 85.358 -176.2482
98.144531 85.381 -176.5533
98.510742 85.373 -177.0137
98.876953 85.320 -177.4302
99.243164 85.236 -177.5675
99.609375 85.158 -177.3113
99.975586 85.129 -176.7772
100.341797 85.168 -176.2628
100.708008 85.252 -176.0499
101.074219 85.339 -176.2213
101.440430 85.394 -176.6448
101.806641 85.410 -177.1009
102.172852 85.403 -177.4392
102.539062 85.397 -177.6582
102.905273 85.400 -177.8635
103.271484 85.402 -178.1427
103.637695 85.385 -178.4700
104.003906 85.344 -178.7180
104.370117 85.292 -178.7604
104.736328 85.254 -178.5835
105.102539 85.251 -178.3172
105.468750 85.280 -178.1495
105.834961 85.319 -178.1931
106.201172 85.342 -178.4137
106.567383 85.336 -178.6675
106.933594 85.309 -178.8036
107.299805 85.281 -178.7601
107.666016 85.274 -178.5960
108.032227 85.296 -178.4461
108.398438 85.337 -178.4334
108.764648 85.382 -178.6062
109.130859 85.413 -178.9325
109.497070 85.423 -179.3358
109.863281 85.411 -179.7348
110.229492 85.381 179.9333
110.595703 85.342 179.7071
110.961914 85.301 179.5990
111.328125 85.267 179.5926
111.694336 85.246 179.6437
112.060547 85.236 179.6994
112.426758 85.231 179.7313
112.792969 85.224 179.7598
113.159180 85.215 179.8415
113.525391 85.214 -179.9853
113.891602 85.235 -179.7641
114.257812 85.283 -179.6299
114.624023 85.343 -179.7308
114.990234 85.385 179.8953
115.356445 85.378 179.3894
115.722656 85.317 179.0211
116.088867 85.229 179.0309
116.455078 85.168 179.4384
116.821289 85.173 179.9657
117.187500 85.236 -179.7925
117.553711 85.303 179.9469
117.919922 85.311 179.3309
118.286133 85.238 178.7717
118.652344 85.118 178.6710
119.018555 85.024 179.1207
119.384766 85.013 179.7913
119.750977 85.080 -179.8176
120.117188 85.163 -179.9506
120.483398 85.200 179.5763
120.849609 85.182 179.1726
121.215820 85.153 179.1099
121.582031 85.173 179.2665
121.948242 85.257 179.2172
122.314453 85.353 178.6375
122.680664 85.387 177.6248
123.046875 85.321 176.6501
123.413086 85.188 176.2358
123.779297 85.073 176.5638
124.145508 85.057 177.2736
124.511719 85.139 177.7212
124.877930 85.245 177.5344
125.244141 85.289 176.8829
125.610352 85.239 176.2792
125.976562 85.138 176.1786
126.342773 85.062 176.6443
126.708984 85.065 177.2986
127.075195 85.132 177.6573
127.441406 85.199 177.5403
127.807617 85.213 177.1593
128.173828 85.170 176.8810
128.540039 85.108 176.9253
128.906250 85.076 177.2105
129.272461 85.088 177.4547
129.638672 85.119 177.4410
130.004883 85.134 177.1877
130.371094 85.117 176.8865
130.737305 85.083 176.7065
131.103516 85.062 176.6426
131.469727 85.065 176.5271
131.835938 85.076 176.1968
132.202148 85.059 175.6617
132.568359 84.993 175.1316
132.934570 84.886 174.8933
133.300781 84.780 175.1193
133.666992 84.728 175.7199
134.033203 84.758 176.3602
134.399414 84.849 176.6714
134.765625 84.951 176.4928
135.131836 85.011 175.9475
135.498047 85.006 175.3372
135.864258 84.951 174.9617
136.230469 84.886 174.9575
136.596680 84.851 175.2295
136.962891 84.861 175.5309
137.329102 84.898 175.6469
137.695312 84.931 175.5335
138.061523 84.938 175.3115
138.427734 84.917 175.1489
138.793945 84.890 175.1348
139.160156 84.875 175.2276
139.526367 84.880 175.3067
139.892578 84.894 175.2784
140.258789 84.902 175.1428
140.625000 84.896 174.9755
140.991211 84.879 174.8568
141.357422 84.864 174.8098
141.723633 84.859 174.7932
142.089844 84.862 174.7444
142.456055 84.866 174.6335
142.822266 84.862 174.4848
143.188477 84.848 174.3582
143.554688 84.828 174.3090
143.920898 84.811 174.3538
144.287109 84.806 174.4595
144.653320 84.815 174.5616
145.019531 84.832 174.6028
145.385742 84.847 174.5686
145.751953 84.854 174.4964
