* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -24.6 dBFS, measurement signal peak level -24.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 26/10/2023 9:12:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0294 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: MP145 Balanced L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.330 -44.3835
1.015000 66.160 -44.5316
1.030000 65.993 -44.6046
1.044000 65.843 -44.5997
1.060000 65.676 -44.5013
1.075000 65.527 -44.3131
1.090000 65.386 -44.0258
1.106000 65.242 -43.6021
1.120000 65.113 -43.1222
1.138000 64.941 -42.3628
1.150000 64.824 -41.7736
1.172000 64.605 -40.5361
1.180000 64.524 -40.0395
1.206000 64.262 -38.2726
1.220000 64.123 -37.2348
1.241000 63.917 -35.5817
1.250000 63.831 -34.8424
1.265000 63.691 -33.5753
1.280000 63.556 -32.2713
1.315000 63.269 -29.1288
1.320000 63.231 -28.6727
1.340000 63.092 -26.8417
1.360000 62.971 -25.0142
1.380000 62.871 -23.2084
1.400000 62.795 -21.4429
1.430000 62.731 -18.9102
1.450000 62.725 -17.3257
1.475000 62.763 -15.4700
1.500000 62.854 -13.5663
1.525000 62.994 -11.5875
1.550000 63.178 -9.5579
1.575000 63.400 -7.5018
1.600000 63.653 -5.4434
1.625000 63.934 -3.4071
1.650000 64.236 -1.4171
1.675000 64.554 0.5024
1.700000 64.882 2.3270
1.725000 65.215 4.0325
1.750000 65.548 5.5945
1.775000 65.874 6.9889
1.800000 66.188 8.1913
1.825000 66.485 9.1775
1.850000 66.770 9.9383
1.875000 67.065 10.5059
1.900000 67.370 10.8970
1.925000 67.682 11.1273
1.950000 67.999 11.2122
1.975000 68.319 11.1673
2.000000 68.641 11.0082
2.030000 69.024 10.6883
2.060000 69.403 10.2532
2.090000 69.772 9.7297
2.120000 70.130 9.1447
2.140000 70.359 8.7338
2.180000 70.792 7.8977
2.200000 70.994 7.4876
2.240000 71.375 6.5336
2.270000 71.646 5.6696
2.300000 71.904 4.6994
2.330000 72.151 3.6422
2.360000 72.388 2.5170
2.400000 72.689 0.9439
2.430000 72.906 -0.2658
2.470000 73.183 -1.8822
2.500000 73.383 -3.0724
2.540000 73.643 -4.5937
2.580000 73.895 -6.0111
2.620000 74.133 -7.4048
2.650000 74.301 -8.4488
2.690000 74.515 -9.8375
2.720000 74.666 -10.8756
2.760000 74.859 -12.2539
2.800000 75.042 -13.6239
2.850000 75.259 -15.3220
2.900000 75.466 -17.0010
2.950000 75.665 -18.6609
3.000000 75.848 -20.3257
3.040000 75.985 -21.6572
3.070000 76.081 -22.6508
3.110000 76.204 -23.9630
3.150000 76.319 -25.2542
3.200000 76.457 -26.8275
3.250000 76.587 -28.3420
3.300000 76.713 -29.7838
3.350000 76.831 -31.1630
3.400000 76.938 -32.4927
3.450000 77.037 -33.7717
3.500000 77.129 -34.9987
3.550000 77.218 -36.1725
3.600000 77.304 -37.2920
3.650000 77.390 -38.3557
3.700000 77.475 -39.3600
3.750000 77.555 -40.3009
3.820000 77.661 -41.5220
3.870000 77.735 -42.3331
3.950000 77.855 -43.5407
4.000000 77.933 -44.2478
4.060000 78.032 -45.0505
4.120000 78.133 -45.7780
4.180000 78.235 -46.4397
4.250000 78.358 -47.1486
4.310000 78.468 -47.7192
4.370000 78.584 -48.2715
4.440000 78.729 -48.8937
4.500000 78.860 -49.3756
4.550000 78.973 -49.7514
4.620000 79.137 -50.2596
4.680000 79.282 -50.6980
4.750000 79.455 -51.2386
4.820000 79.634 -51.8123
4.870000 79.767 -52.2250
4.940000 79.957 -52.8132
5.000000 80.122 -53.3329
5.080000 80.343 -54.0587
5.150000 80.534 -54.7330
5.220000 80.727 -55.4390
5.300000 80.950 -56.2806
5.380000 81.171 -57.1592
5.450000 81.360 -57.9581
5.520000 81.544 -58.7861
5.600000 81.751 -59.7763
5.700000 82.003 -61.0677
5.800000 82.245 -62.3969
5.900000 82.474 -63.7452
6.000000 82.691 -65.1327
6.080000 82.857 -66.2614
6.150000 82.994 -67.2516
6.220000 83.126 -68.2350
6.300000 83.267 -69.3569
6.400000 83.431 -70.7671
6.500000 83.582 -72.1615
6.600000 83.722 -73.5139
6.700000 83.847 -74.8336
6.800000 83.959 -76.1225
6.900000 84.062 -77.3567
7.000000 84.156 -78.5164
7.100000 84.238 -79.6155
7.200000 84.312 -80.6491
7.300000 84.382 -81.6057
7.400000 84.450 -82.4760
7.500000 84.513 -83.2645
7.620000 84.587 -84.1163
7.750000 84.676 -84.9326
7.880000 84.769 -85.6172
8.000000 84.863 -86.1826
8.120000 84.971 -86.7255
8.250000 85.101 -87.2530
8.380000 85.242 -87.7856
8.500000 85.382 -88.3329
8.620000 85.534 -88.9055
8.750000 85.703 -89.5923
8.850000 85.832 -90.1934
9.000000 86.029 -91.1966
9.120000 86.181 -92.0757
9.250000 86.334 -93.1081
9.380000 86.477 -94.2263
9.500000 86.596 -95.2879
9.620000 86.700 -96.3652
9.750000 86.796 -97.5634
9.880000 86.876 -98.7271
10.000000 86.936 -99.7546
10.150000 86.991 -100.9871
10.300000 87.035 -102.0912
10.440000 87.063 -103.0037
10.600000 87.090 -103.9096
10.750000 87.120 -104.6061
10.900000 87.152 -105.1739
11.060000 87.203 -105.6945
11.200000 87.260 -106.0609
11.380000 87.353 -106.5212
11.500000 87.428 -106.8322
11.720000 87.586 -107.4643
11.800000 87.648 -107.7410
12.060000 87.860 -108.7846
12.200000 87.970 -109.4621
12.410000 88.126 -110.6090
12.500000 88.185 -111.1279
12.650000 88.275 -112.0465
12.800000 88.351 -112.9786
13.150000 88.473 -115.0902
13.200000 88.486 -115.3686
13.400000 88.522 -116.4220
13.600000 88.550 -117.3452
13.800000 88.571 -118.1180
14.000000 88.598 -118.7731
14.300000 88.655 -119.5695
14.500000 88.711 -120.0438
14.750000 88.796 -120.6547
15.000000 88.895 -121.3255
15.250000 88.997 -122.1008
15.500000 89.092 -122.9568
15.750000 89.177 -123.8714
16.000000 89.247 -124.7936
16.250000 89.306 -125.6789
16.500000 89.357 -126.5110
16.750000 89.407 -127.2762
17.000000 89.460 -127.9992
17.250000 89.516 -128.6994
17.500000 89.578 -129.4041
17.750000 89.639 -130.1335
18.000000 89.699 -130.8843
18.250000 89.754 -131.6521
18.500000 89.803 -132.4087
18.750000 89.846 -133.1374
19.000000 89.885 -133.8227
19.250000 89.924 -134.4576
19.500000 89.966 -135.0551
19.750000 90.012 -135.6264
20.000000 90.063 -136.1987
20.299999 90.126 -136.9071
20.600000 90.187 -137.6477
20.900000 90.241 -138.4111
21.200001 90.284 -139.1670
21.400000 90.308 -139.6453
21.799999 90.348 -140.5210
22.000000 90.367 -140.9181
22.400000 90.411 -141.6598
22.700001 90.447 -142.2125
23.000000 90.484 -142.7939
23.299999 90.515 -143.3976
23.600000 90.537 -143.9940
24.000000 90.558 -144.7238
24.299999 90.576 -145.2065
24.700001 90.612 -145.8147
25.000000 90.650 -146.3184
25.400000 90.702 -147.1298
25.799999 90.734 -148.0696
26.200001 90.735 -148.9726
26.500000 90.725 -149.5190
26.900000 90.720 -150.0399
27.200001 90.737 -150.3468
27.600000 90.790 -150.8026
28.000000 90.853 -151.4254
28.500000 90.905 -152.3113
29.000000 90.934 -152.9628
29.500000 90.999 -153.3267
30.000000 91.123 -153.8324
30.400000 91.224 -154.5967
30.700001 91.271 -155.3458
31.100000 91.278 -156.3291
31.500000 91.237 -157.0326
32.000000 91.186 -157.3981
32.500000 91.191 -157.5433
33.000000 91.230 -157.9390
33.500000 91.242 -158.6218
34.000000 91.208 -159.2825
34.500000 91.162 -159.7336
35.000000 91.135 -160.0948
35.500000 91.123 -160.5525
36.000000 91.108 -161.1061
36.500000 91.089 -161.6478
37.000000 91.080 -162.1533
37.500000 91.087 -162.6964
38.200001 91.105 -163.5737
38.700001 91.116 -164.2180
39.500000 91.134 -165.2006
40.000000 91.141 -165.7744
40.599998 91.143 -166.3493
41.200001 91.152 -166.7753
41.799999 91.177 -167.1847
42.500000 91.200 -167.7887
43.099998 91.190 -168.3236
43.700001 91.162 -168.7342
44.400002 91.131 -169.0554
45.000000 91.123 -169.2972
45.500000 91.132 -169.5689
46.200001 91.157 -170.2083
46.799999 91.157 -171.0263
47.500000 91.098 -171.9686
48.200001 91.018 -172.4633
48.700001 90.998 -172.5760
49.400002 91.044 -172.8591
50.000000 91.099 -173.4971
50.799999 91.103 -174.6052
51.500000 91.051 -175.2704
52.200001 91.010 -175.5759
53.000000 90.997 -175.8382
53.799999 90.985 -176.1301
54.500000 90.974 -176.2941
55.200001 90.981 -176.4114
56.000000 91.011 -176.6584
57.000000 91.054 -177.2573
58.000000 91.063 -178.1912
59.000000 91.001 -179.1053
60.000000 90.925 -179.6446
60.799999 90.888 179.9545
61.500000 90.854 179.5237
62.200001 90.811 179.1332
63.000000 90.771 178.8018
64.000000 90.755 178.3102
65.000000 90.716 177.6656
66.000000 90.643 177.4367
67.000000 90.638 177.6523
68.000000 90.706 177.5533
69.000000 90.747 176.9882
70.000000 90.736 176.3378
71.000000 90.703 175.7790
72.000000 90.673 175.2762
73.000000 90.641 174.8430
74.000000 90.603 174.6136
75.000000 90.559 174.6624
76.199997 90.496 175.0178
77.500000 90.385 175.4614
78.800003 90.229 175.6828
80.000000 90.096 175.0892
81.199997 89.969 173.2823
82.500000 89.827 170.9281
83.800003 89.854 169.4139
85.000000 90.072 169.0989
86.199997 90.436 169.6730
87.500000 90.773 170.4940
88.500000 90.877 171.2474
90.000000 90.726 172.5694
91.199997 90.441 173.6693
92.500000 90.146 173.9781
93.800003 89.931 172.6753
95.000000 89.796 170.6017
96.199997 89.758 168.6982
97.500000 89.842 167.2113
98.800003 89.942 166.1812
100.000000 89.941 165.7841
101.500000 89.883 166.1440
103.000000 89.845 166.2853
104.400002 89.794 166.0770
106.000000 89.762 165.8325
107.500000 89.753 165.6994
109.000000 89.729 165.6007
110.599998 89.659 165.3529
112.000000 89.574 164.9833
113.800003 89.488 164.3432
115.000000 89.458 163.9027
117.199997 89.413 163.4131
118.000000 89.390 163.3725
120.599998 89.284 163.3181
122.000000 89.219 163.1625
124.099998 89.160 162.8966
125.000000 89.147 162.8188
126.500000 89.125 162.8040
128.000000 89.095 162.7708
131.500000 88.945 160.9276
132.000000 88.909 160.4450
134.000000 88.721 159.2343
136.000000 88.736 159.8255
138.000000 88.889 160.1921
140.000000 88.915 160.2282
143.000000 88.792 159.8963
145.000000 88.710 159.4762
147.500000 88.628 159.0506
150.000000 88.542 158.8308
152.500000 88.463 158.5049
155.000000 88.384 158.1458
157.500000 88.304 157.9468
160.000000 88.219 157.8024
162.500000 88.127 157.6985
165.000000 88.023 157.7385
167.500000 87.933 157.8234
170.000000 87.871 157.5564
172.500000 87.805 157.2363
175.000000 87.745 157.1658
177.500000 87.687 157.1707
180.000000 87.627 157.1169
182.500000 87.572 157.0613
185.000000 87.523 157.0027
187.500000 87.476 156.9115
190.000000 87.430 156.7764
192.500000 87.381 156.6190
195.000000 87.328 156.4582
197.500000 87.275 156.2853
200.000000 87.220 156.1068
203.000000 87.143 155.9507
206.000000 87.061 155.8521
209.000000 86.980 155.7430
212.000000 86.901 155.6645
214.000000 86.850 155.6410
218.000000 86.744 155.6257
220.000000 86.692 155.6268
224.000000 86.588 155.6490
227.000000 86.510 155.6681
230.000000 86.435 155.6855
233.000000 86.366 155.7326
236.000000 86.303 155.8111
240.000000 86.226 155.9268
243.000000 86.170 155.9984
247.000000 86.095 156.0357
250.000000 86.041 156.0509
254.000000 85.974 156.0541
258.000000 85.902 156.0562
262.000000 85.828 156.0860
265.000000 85.772 156.1023
269.000000 85.694 156.1183
272.000000 85.633 156.1427
276.000000 85.554 156.1912
