* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -22.9 dBFS, measurement signal peak level -23.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 26/10/2023 9:09:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0363 ms (-12 mm, -0.49 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: MP145 Balanced R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.925 -66.5885
1.015000 67.697 -67.6949
1.030000 67.465 -68.6666
1.044000 67.243 -69.4386
1.060000 66.985 -70.1452
1.075000 66.738 -70.6219
1.090000 66.486 -70.9033
1.106000 66.210 -70.9831
1.120000 65.944 -70.9256
1.138000 65.569 -70.7001
1.150000 65.301 -70.4576
1.172000 64.777 -69.8282
1.180000 64.578 -69.5417
1.206000 63.907 -68.4067
1.220000 63.535 -67.6709
1.241000 62.969 -66.4112
1.250000 62.725 -65.8159
1.265000 62.320 -64.7528
1.280000 61.920 -63.6039
1.315000 61.021 -60.6081
1.320000 60.898 -60.1460
1.340000 60.426 -58.2174
1.360000 59.991 -56.1664
1.380000 59.598 -54.0011
1.400000 59.257 -51.7295
1.430000 58.856 -48.1406
1.450000 58.675 -45.6387
1.475000 58.556 -42.3572
1.500000 58.544 -38.5439
1.525000 58.625 -34.1961
1.550000 58.790 -29.4131
1.575000 59.027 -24.2940
1.600000 59.327 -18.9382
1.625000 59.679 -13.4448
1.650000 60.074 -7.9131
1.675000 60.501 -2.4424
1.700000 60.950 2.8681
1.725000 61.410 7.9193
1.750000 61.871 12.6117
1.775000 62.324 16.8463
1.800000 62.758 20.5238
1.825000 63.162 23.5448
1.850000 63.548 25.9120
1.875000 63.960 27.8364
1.900000 64.394 29.3608
1.925000 64.847 30.5188
1.950000 65.314 31.3439
1.975000 65.788 31.8697
2.000000 66.267 32.1298
2.030000 66.839 32.1385
2.060000 67.401 31.8710
2.090000 67.945 31.3854
2.120000 68.462 30.7396
2.140000 68.788 30.2488
2.180000 69.383 29.1998
2.200000 69.648 28.6739
2.240000 70.125 27.2042
2.270000 70.446 25.6664
2.300000 70.739 23.8297
2.330000 71.008 21.7610
2.360000 71.255 19.5274
2.400000 71.557 16.4084
2.430000 71.767 14.0503
2.470000 72.030 11.0083
2.500000 72.218 8.8903
2.540000 72.465 6.4116
2.580000 72.711 4.4426
2.620000 72.937 2.8080
2.650000 73.092 1.7381
2.690000 73.282 0.4784
2.720000 73.413 -0.3697
2.760000 73.574 -1.4131
2.800000 73.724 -2.4038
2.850000 73.898 -3.6471
2.900000 74.061 -4.9900
2.950000 74.219 -6.5215
3.000000 74.358 -8.1849
3.040000 74.455 -9.5651
3.070000 74.522 -10.6125
3.110000 74.604 -12.0048
3.150000 74.680 -13.3691
3.200000 74.770 -14.9963
3.250000 74.858 -16.4903
3.300000 74.948 -17.8018
3.350000 75.033 -18.9398
3.400000 75.109 -19.9461
3.450000 75.179 -20.8388
3.500000 75.247 -21.6358
3.550000 75.319 -22.3551
3.600000 75.397 -23.0146
3.650000 75.487 -23.6324
3.700000 75.588 -24.1908
3.750000 75.694 -24.6316
3.820000 75.853 -25.1104
3.870000 75.974 -25.4006
3.950000 76.183 -25.8706
4.000000 76.326 -26.2218
4.060000 76.511 -26.7386
4.120000 76.713 -27.2877
4.180000 76.930 -27.8628
4.250000 77.194 -28.5773
4.310000 77.427 -29.2364
4.370000 77.660 -29.9470
4.440000 77.931 -30.8393
4.500000 78.173 -31.6368
4.550000 78.378 -32.3333
4.620000 78.666 -33.3739
4.680000 78.907 -34.3427
4.750000 79.177 -35.5828
4.820000 79.433 -36.9724
4.870000 79.613 -38.0579
4.940000 79.858 -39.6701
5.000000 80.059 -41.1044
5.080000 80.311 -43.0362
5.150000 80.513 -44.6985
5.220000 80.701 -46.3794
5.300000 80.897 -48.3308
5.380000 81.075 -50.2887
5.450000 81.215 -51.9865
5.520000 81.341 -53.6570
5.600000 81.464 -55.5790
5.700000 81.592 -57.9643
5.800000 81.694 -60.2502
5.900000 81.777 -62.3633
6.000000 81.831 -64.3485
6.080000 81.860 -65.8391
6.150000 81.878 -67.0576
6.220000 81.894 -68.1840
6.300000 81.906 -69.3533
6.400000 81.909 -70.6540
6.500000 81.908 -71.7905
6.600000 81.916 -72.7780
6.700000 81.930 -73.5870
6.800000 81.950 -74.2339
6.900000 81.981 -74.7816
7.000000 82.031 -75.2780
7.100000 82.098 -75.6666
7.200000 82.179 -75.9932
7.300000 82.272 -76.3322
7.400000 82.378 -76.7199
7.500000 82.498 -77.1141
7.620000 82.653 -77.6243
7.750000 82.819 -78.2651
7.880000 82.991 -78.9965
8.000000 83.147 -79.7186
8.120000 83.294 -80.4659
8.250000 83.444 -81.3275
8.380000 83.587 -82.1859
8.500000 83.711 -82.9313
8.620000 83.827 -83.6524
8.750000 83.951 -84.3916
8.850000 84.048 -84.9166
9.000000 84.193 -85.6332
9.120000 84.313 -86.1833
9.250000 84.453 -86.7731
9.380000 84.601 -87.3431
9.500000 84.741 -87.9056
9.620000 84.886 -88.5282
9.750000 85.049 -89.2503
9.880000 85.207 -90.0472
10.000000 85.347 -90.8702
10.150000 85.515 -91.9925
10.300000 85.662 -93.1681
10.440000 85.778 -94.3366
10.600000 85.888 -95.6657
10.750000 85.962 -96.8501
10.900000 86.014 -97.9772
11.060000 86.053 -99.0022
11.200000 86.071 -99.7582
11.380000 86.095 -100.5231
11.500000 86.113 -100.8774
11.720000 86.165 -101.3177
11.800000 86.195 -101.4308
12.060000 86.331 -101.6693
12.200000 86.430 -101.8539
12.410000 86.604 -102.2120
12.500000 86.680 -102.4425
12.650000 86.813 -102.9247
12.800000 86.941 -103.5022
13.150000 87.185 -105.1894
13.200000 87.212 -105.4359
13.400000 87.301 -106.4471
13.600000 87.368 -107.3625
13.800000 87.412 -108.1275
14.000000 87.458 -108.7308
14.300000 87.538 -109.3632
14.500000 87.617 -109.6968
14.750000 87.740 -110.1824
15.000000 87.883 -110.8227
15.250000 88.021 -111.7129
15.500000 88.134 -112.7727
15.750000 88.212 -113.9296
16.000000 88.250 -115.0240
16.250000 88.266 -115.9307
16.500000 88.274 -116.6191
16.750000 88.298 -117.0794
17.000000 88.357 -117.4650
17.250000 88.451 -117.8844
17.500000 88.575 -118.4816
17.750000 88.704 -119.3448
18.000000 88.822 -120.4426
18.250000 88.911 -121.7350
18.500000 88.963 -123.0534
18.750000 88.980 -124.2956
19.000000 88.980 -125.3666
19.250000 88.979 -126.2101
19.500000 88.983 -126.8801
19.750000 89.012 -127.4220
20.000000 89.066 -127.9566
20.299999 89.148 -128.6620
20.600000 89.235 -129.4570
20.900000 89.312 -130.2892
21.200001 89.375 -131.0496
21.400000 89.417 -131.4775
21.799999 89.512 -132.1868
22.000000 89.569 -132.5130
22.400000 89.693 -133.2366
22.700001 89.777 -133.8724
23.000000 89.837 -134.5127
23.299999 89.876 -135.0340
23.600000 89.911 -135.3953
24.000000 89.981 -135.7350
24.299999 90.054 -136.0951
24.700001 90.139 -136.9389
25.000000 90.156 -137.7839
25.400000 90.091 -138.8161
25.799999 89.975 -139.2764
26.200001 89.912 -139.2302
26.500000 89.930 -139.2832
26.900000 89.994 -139.9864
27.200001 89.999 -140.9744
27.600000 89.891 -142.2668
28.000000 89.740 -142.5924
28.500000 89.835 -141.8839
29.000000 90.365 -143.0643
29.500000 90.832 -148.7667
30.000000 90.623 -157.2419
30.400000 89.811 -161.8900
30.700001 88.910 -161.7658
31.100000 87.911 -156.1743
31.500000 87.966 -147.9016
32.000000 89.250 -142.0970
32.500000 90.369 -144.4198
33.000000 90.725 -149.6837
33.500000 90.583 -152.6018
34.000000 90.491 -152.3973
34.500000 90.703 -151.7319
35.000000 90.982 -152.4601
35.500000 91.075 -153.9210
36.000000 91.022 -154.7072
36.500000 90.986 -154.7127
37.000000 91.020 -154.7809
37.500000 91.042 -155.2755
38.200001 90.987 -155.9622
38.700001 90.958 -156.2042
39.500000 90.981 -156.9971
40.000000 90.975 -157.8137
40.599998 90.933 -158.6838
41.200001 90.911 -159.2948
41.799999 90.930 -159.8874
42.500000 90.965 -160.7012
43.099998 90.985 -161.3553
43.700001 91.004 -161.8719
44.400002 91.037 -162.3732
45.000000 91.065 -162.8008
45.500000 91.081 -163.1453
46.200001 91.094 -163.5585
46.799999 91.108 -163.8704
47.500000 91.129 -164.2530
48.200001 91.159 -164.6896
48.700001 91.188 -165.0998
49.400002 91.220 -165.9193
50.000000 91.205 -166.7372
50.799999 91.132 -167.5276
51.500000 91.081 -167.8085
52.200001 91.078 -168.0322
53.000000 91.092 -168.5106
53.799999 91.085 -169.0817
54.500000 91.073 -169.5235
55.200001 91.066 -169.9573
56.000000 91.062 -170.5134
57.000000 91.046 -171.2428
58.000000 91.026 -171.8659
59.000000 91.028 -172.4197
60.000000 91.036 -173.0646
60.799999 91.029 -173.5921
61.500000 91.016 -173.9884
62.200001 91.005 -174.3102
63.000000 91.007 -174.6610
64.000000 91.018 -175.2639
65.000000 91.002 -175.9430
66.000000 90.983 -176.4438
67.000000 90.985 -176.9676
68.000000 90.973 -177.5641
69.000000 90.950 -178.0389
70.000000 90.933 -178.4610
71.000000 90.914 -178.8961
72.000000 90.891 -179.3100
73.000000 90.872 -179.7112
74.000000 90.857 179.8505
75.000000 90.840 179.4020
76.199997 90.820 178.8865
77.500000 90.805 178.3314
78.800003 90.782 177.7337
80.000000 90.753 177.2926
81.199997 90.742 176.8181
82.500000 90.710 176.1873
83.800003 90.663 175.7051
85.000000 90.629 175.2893
86.199997 90.589 174.8668
87.500000 90.552 174.4748
88.500000 90.529 174.1398
90.000000 90.489 173.6268
91.199997 90.454 173.2546
92.500000 90.417 172.8890
93.800003 90.386 172.5155
95.000000 90.357 172.0882
96.199997 90.320 171.6219
97.500000 90.280 171.1564
98.800003 90.248 170.6782
100.000000 90.203 170.2592
101.500000 90.141 170.0464
103.000000 90.116 169.8987
104.400002 90.094 169.5787
106.000000 90.044 169.1145
107.500000 89.988 168.7118
109.000000 89.937 168.3218
110.599998 89.887 167.9124
112.000000 89.845 167.6092
113.800003 89.806 167.3554
115.000000 89.790 167.1852
117.199997 89.730 166.7953
118.000000 89.697 166.6501
120.599998 89.582 166.0073
122.000000 89.524 165.6223
124.099998 89.466 165.2884
125.000000 89.448 165.2392
126.500000 89.406 165.1885
128.000000 89.328 165.0307
131.500000 89.095 163.2759
132.000000 89.057 162.8274
134.000000 88.844 161.8397
136.000000 88.793 162.9821
138.000000 88.891 164.1390
140.000000 88.917 164.9647
143.000000 88.923 165.4092
145.000000 88.969 165.1710
147.500000 89.029 164.6046
150.000000 89.022 163.9851
152.500000 88.983 163.4082
155.000000 88.941 162.8766
157.500000 88.894 162.5215
160.000000 88.845 162.1812
162.500000 88.789 161.8558
165.000000 88.718 161.7202
167.500000 88.668 161.5909
170.000000 88.622 160.9064
172.500000 88.550 160.1565
175.000000 88.479 159.7062
177.500000 88.410 159.4590
180.000000 88.337 159.2312
182.500000 88.264 159.0203
185.000000 88.193 158.8324
187.500000 88.119 158.6382
190.000000 88.046 158.4675
192.500000 87.978 158.3244
195.000000 87.910 158.1485
197.500000 87.850 157.8906
200.000000 87.794 157.6234
203.000000 87.716 157.5835
206.000000 87.638 157.6974
209.000000 87.564 157.6353
212.000000 87.496 157.4732
214.000000 87.453 157.3737
218.000000 87.360 157.2067
220.000000 87.314 157.1320
224.000000 87.220 157.0292
227.000000 87.146 156.9866
230.000000 87.070 156.9276
233.000000 86.996 156.8266
236.000000 86.928 156.7432
240.000000 86.850 156.7203
243.000000 86.787 156.7059
247.000000 86.696 156.6467
250.000000 86.629 156.6255
254.000000 86.541 156.6524
258.000000 86.458 156.6868
262.000000 86.377 156.7747
265.000000 86.319 156.8863
269.000000 86.244 156.9797
272.000000 86.187 156.9796
276.000000 86.110 156.9887
