* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -24.2 dBFS, measurement signal peak level -25.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 26/10/2023 9:18:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0302 ms (-10 mm, -0.41 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: MP145 Bass L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.849 -69.3889
1.015000 72.712 -70.5406
1.030000 72.572 -71.6144
1.044000 72.439 -72.5381
1.060000 72.284 -73.4911
1.075000 72.136 -74.2753
1.090000 71.985 -74.9444
1.106000 71.821 -75.5316
1.120000 71.671 -75.9931
1.138000 71.470 -76.5298
1.150000 71.331 -76.8511
1.172000 71.068 -77.3612
1.180000 70.969 -77.5206
1.206000 70.642 -77.9393
1.220000 70.461 -78.0997
1.241000 70.185 -78.2515
1.250000 70.065 -78.2831
1.265000 69.865 -78.2899
1.280000 69.663 -78.2382
1.315000 69.191 -77.8813
1.320000 69.124 -77.8025
1.340000 68.856 -77.4155
1.360000 68.591 -76.9112
1.380000 68.331 -76.2858
1.400000 68.076 -75.5359
1.430000 67.707 -74.1698
1.450000 67.473 -73.0930
1.475000 67.190 -71.5360
1.500000 66.885 -69.5978
1.525000 66.555 -67.2897
1.550000 66.210 -64.6652
1.575000 65.858 -61.7775
1.600000 65.506 -58.6801
1.625000 65.164 -55.4264
1.650000 64.840 -52.0697
1.675000 64.541 -48.6635
1.700000 64.278 -45.2611
1.725000 64.056 -41.9160
1.750000 63.886 -38.6815
1.775000 63.776 -35.6110
1.800000 63.733 -32.7578
1.825000 63.766 -30.1755
1.850000 63.887 -27.8173
1.875000 64.101 -25.4795
1.900000 64.397 -23.1682
1.925000 64.764 -20.8994
1.950000 65.190 -18.6889
1.975000 65.663 -16.5529
2.000000 66.172 -14.5073
2.030000 66.812 -12.1944
2.060000 67.467 -10.0623
2.090000 68.116 -8.1385
2.120000 68.739 -6.4508
2.140000 69.129 -5.4704
2.180000 69.825 -3.8939
2.200000 70.119 -3.3145
2.240000 70.654 -2.6720
2.270000 71.032 -2.6143
2.300000 71.392 -2.8633
2.330000 71.736 -3.3677
2.360000 72.064 -4.0763
2.400000 72.478 -5.2501
2.430000 72.773 -6.2358
2.470000 73.149 -7.5930
2.500000 73.419 -8.5767
2.540000 73.764 -9.7453
2.580000 74.095 -10.6763
2.620000 74.400 -11.6071
2.650000 74.612 -12.3404
2.690000 74.874 -13.3514
2.720000 75.057 -14.1256
2.760000 75.286 -15.1654
2.800000 75.502 -16.1985
2.850000 75.757 -17.4548
2.900000 76.001 -18.6415
2.950000 76.241 -19.7317
3.000000 76.460 -20.7599
3.040000 76.621 -21.5486
3.070000 76.735 -22.1220
3.110000 76.879 -22.8643
3.150000 77.016 -23.5833
3.200000 77.181 -24.4530
3.250000 77.342 -25.2948
3.300000 77.504 -26.1133
3.350000 77.661 -26.9076
3.400000 77.809 -27.6739
3.450000 77.951 -28.4104
3.500000 78.089 -29.1154
3.550000 78.224 -29.7874
3.600000 78.360 -30.4247
3.650000 78.498 -31.0256
3.700000 78.640 -31.5765
3.750000 78.781 -32.0593
3.820000 78.979 -32.6581
3.870000 79.120 -33.0592
3.950000 79.344 -33.7127
4.000000 79.483 -34.1612
4.060000 79.649 -34.7670
4.120000 79.815 -35.4200
4.180000 79.982 -36.1032
4.250000 80.174 -36.9220
4.310000 80.334 -37.6283
4.370000 80.488 -38.3254
4.440000 80.661 -39.1205
4.500000 80.804 -39.8034
4.550000 80.920 -40.3724
4.620000 81.077 -41.1647
4.680000 81.206 -41.8362
4.750000 81.350 -42.6057
4.820000 81.485 -43.3705
4.870000 81.575 -43.9227
4.940000 81.695 -44.6876
5.000000 81.795 -45.3208
5.080000 81.927 -46.1080
5.150000 82.045 -46.7206
5.220000 82.159 -47.2587
5.300000 82.285 -47.8051
5.380000 82.415 -48.3041
5.450000 82.537 -48.7231
5.520000 82.670 -49.1376
5.600000 82.832 -49.5528
5.700000 83.047 -50.0306
5.800000 83.277 -50.5608
5.900000 83.527 -51.2299
6.000000 83.800 -51.9677
6.080000 84.030 -52.6302
6.150000 84.233 -53.2948
6.220000 84.433 -54.0652
6.300000 84.662 -55.0799
6.400000 84.955 -56.5149
6.500000 85.241 -58.1273
6.600000 85.503 -59.9092
6.700000 85.745 -61.8964
6.800000 85.970 -64.0655
6.900000 86.169 -66.3425
7.000000 86.332 -68.6711
7.100000 86.464 -71.1203
7.200000 86.566 -73.6323
7.300000 86.634 -76.1142
7.400000 86.665 -78.5422
7.500000 86.661 -80.9801
7.620000 86.614 -83.7787
7.750000 86.519 -86.4950
7.880000 86.367 -88.9716
8.000000 86.198 -90.9324
8.120000 86.020 -92.4503
8.250000 85.798 -93.6369
8.380000 85.589 -94.3904
8.500000 85.441 -94.6784
8.620000 85.316 -94.5290
8.750000 85.238 -94.1586
8.850000 85.239 -93.8602
9.000000 85.329 -93.2032
9.120000 85.455 -92.7925
9.250000 85.638 -92.6947
9.380000 85.879 -92.8360
9.500000 86.107 -93.2382
9.620000 86.325 -93.9730
9.750000 86.563 -95.1010
9.880000 86.774 -96.4154
10.000000 86.934 -97.7793
10.150000 87.097 -99.6825
10.300000 87.215 -101.5208
10.440000 87.279 -103.2045
10.600000 87.317 -104.9692
10.750000 87.327 -106.3381
10.900000 87.315 -107.4795
11.060000 87.313 -108.4118
11.200000 87.315 -108.9659
11.380000 87.348 -109.5076
11.500000 87.396 -109.7631
11.720000 87.523 -110.1804
11.800000 87.582 -110.3799
12.060000 87.812 -111.1589
12.200000 87.936 -111.7588
12.410000 88.121 -112.8526
12.500000 88.188 -113.3630
12.650000 88.288 -114.2984
12.800000 88.371 -115.2426
13.150000 88.486 -117.2677
13.200000 88.497 -117.5146
13.400000 88.527 -118.3816
13.600000 88.556 -119.0614
13.800000 88.590 -119.5353
14.000000 88.644 -119.9166
14.300000 88.762 -120.3928
14.500000 88.865 -120.7753
14.750000 89.002 -121.3934
15.000000 89.140 -122.1922
15.250000 89.261 -123.1461
15.500000 89.361 -124.1794
15.750000 89.436 -125.2430
16.000000 89.490 -126.2670
16.250000 89.529 -127.2187
16.500000 89.557 -128.0854
16.750000 89.581 -128.8600
17.000000 89.607 -129.5559
17.250000 89.638 -130.1875
17.500000 89.677 -130.7734
17.750000 89.726 -131.3522
18.000000 89.785 -131.9510
18.250000 89.851 -132.5992
18.500000 89.919 -133.3241
18.750000 89.982 -134.1193
19.000000 90.037 -134.9780
19.250000 90.078 -135.8555
19.500000 90.105 -136.7098
19.750000 90.119 -137.5072
20.000000 90.127 -138.2072
20.299999 90.137 -138.9236
20.600000 90.157 -139.5330
20.900000 90.192 -140.0938
21.200001 90.241 -140.6791
21.400000 90.277 -141.1126
21.799999 90.346 -142.0892
22.000000 90.375 -142.6203
22.400000 90.410 -143.7040
22.700001 90.418 -144.4669
23.000000 90.418 -145.1322
23.299999 90.418 -145.6890
23.600000 90.424 -146.1612
24.000000 90.452 -146.7335
24.299999 90.485 -147.1869
24.700001 90.535 -147.8698
25.000000 90.568 -148.4226
25.400000 90.602 -149.1417
25.799999 90.633 -149.7706
26.200001 90.677 -150.3370
26.500000 90.720 -150.7943
26.900000 90.776 -151.5261
27.200001 90.803 -152.1530
27.600000 90.805 -152.9654
28.000000 90.778 -153.5540
28.500000 90.760 -153.9243
29.000000 90.797 -154.3618
29.500000 90.821 -155.3927
30.000000 90.703 -156.7341
30.400000 90.481 -157.2533
30.700001 90.281 -156.9385
31.100000 90.086 -155.5624
31.500000 90.079 -153.6888
32.000000 90.337 -152.0850
32.500000 90.688 -152.2802
33.000000 90.925 -153.8833
33.500000 91.011 -155.8769
34.000000 91.012 -157.6272
34.500000 90.995 -159.1265
35.000000 90.974 -160.5190
35.500000 90.942 -161.7747
36.000000 90.912 -162.7979
36.500000 90.904 -163.6272
37.000000 90.916 -164.3799
37.500000 90.936 -165.0847
38.200001 90.966 -165.9179
38.700001 90.993 -166.4327
39.500000 91.021 -167.2226
40.000000 91.022 -167.6186
40.599998 91.024 -167.9642
41.200001 91.037 -168.3334
41.799999 91.043 -168.8377
42.500000 91.024 -169.4780
43.099998 91.001 -169.9628
43.700001 90.987 -170.4295
44.400002 90.986 -171.0322
45.000000 90.991 -171.6390
45.500000 90.989 -172.1953
46.200001 90.966 -172.8939
46.799999 90.950 -173.2854
47.500000 90.966 -173.6954
48.200001 90.982 -174.3434
48.700001 90.960 -174.8217
49.400002 90.906 -175.1503
50.000000 90.897 -175.2132
50.799999 90.937 -175.6059
51.500000 90.946 -176.2949
52.200001 90.919 -176.9290
53.000000 90.890 -177.4975
53.799999 90.871 -178.0289
54.500000 90.863 -178.4392
55.200001 90.869 -178.8589
56.000000 90.873 -179.4318
57.000000 90.850 179.8908
58.000000 90.816 179.3713
59.000000 90.788 178.9431
60.000000 90.777 178.4071
60.799999 90.756 177.8485
61.500000 90.726 177.3911
62.200001 90.698 177.0167
63.000000 90.683 176.6201
64.000000 90.678 176.0292
65.000000 90.655 175.3820
66.000000 90.616 174.8778
67.000000 90.581 174.4713
68.000000 90.545 174.0987
69.000000 90.512 173.7508
70.000000 90.481 173.4081
71.000000 90.459 173.0587
72.000000 90.439 172.6265
73.000000 90.408 172.2028
74.000000 90.381 171.7784
75.000000 90.344 171.2861
76.199997 90.281 170.7717
77.500000 90.223 170.2864
78.800003 90.178 169.8018
80.000000 90.150 169.3723
81.199997 90.135 168.9392
82.500000 90.104 168.4077
83.800003 90.046 168.0388
85.000000 89.997 167.7426
86.199997 89.947 167.3336
87.500000 89.886 166.6963
88.500000 89.819 166.1938
90.000000 89.738 165.8369
91.199997 89.726 165.6723
92.500000 89.703 165.4517
93.800003 89.637 165.4144
95.000000 89.563 165.4786
96.199997 89.481 165.2897
97.500000 89.366 164.7303
98.800003 89.240 163.8392
100.000000 89.085 163.2319
101.500000 89.033 163.7722
103.000000 89.219 163.9005
104.400002 89.344 163.4260
106.000000 89.380 162.9203
107.500000 89.341 162.5325
109.000000 89.283 162.0643
110.599998 89.211 161.4520
112.000000 89.157 161.0486
113.800003 89.106 160.7134
115.000000 89.070 160.5907
117.199997 88.997 160.3897
118.000000 88.966 160.2593
120.599998 88.858 159.7362
122.000000 88.810 159.3921
124.099998 88.739 158.8472
125.000000 88.703 158.6463
126.500000 88.636 158.4290
128.000000 88.569 158.3300
131.500000 88.360 157.9429
132.000000 88.314 157.8868
134.000000 88.159 157.9341
136.000000 88.128 157.7179
138.000000 88.106 157.1006
140.000000 88.059 156.7335
143.000000 87.933 156.6172
145.000000 87.838 156.6161
147.500000 87.730 156.5886
150.000000 87.638 156.8640
152.500000 87.555 157.4622
155.000000 87.499 158.0077
157.500000 87.503 158.2921
160.000000 87.562 158.4000
162.500000 87.600 158.1373
165.000000 87.559 157.1571
167.500000 87.438 156.0748
170.000000 87.437 155.8177
172.500000 87.494 155.5747
175.000000 87.457 155.3368
177.500000 87.353 155.0287
180.000000 87.255 154.6915
182.500000 87.174 154.4756
185.000000 87.099 154.4123
187.500000 87.035 154.4059
190.000000 86.988 154.3155
192.500000 86.936 154.0852
195.000000 86.875 153.7921
197.500000 86.815 153.5579
200.000000 86.758 153.3812
203.000000 86.664 153.1531
206.000000 86.559 153.0161
209.000000 86.475 152.9227
212.000000 86.397 152.8237
214.000000 86.342 152.7724
218.000000 86.233 152.7008
220.000000 86.179 152.6584
224.000000 86.068 152.5847
227.000000 85.988 152.5674
230.000000 85.906 152.5445
233.000000 85.822 152.5148
236.000000 85.745 152.5453
240.000000 85.658 152.6615
243.000000 85.589 152.7333
247.000000 85.494 152.8295
250.000000 85.427 152.8929
254.000000 85.341 152.9171
258.000000 85.255 152.9431
262.000000 85.170 153.0018
265.000000 85.107 153.0819
269.000000 85.021 153.2053
272.000000 84.954 153.2831
