* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -23.7 dBFS, measurement signal peak level -23.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 26/10/2023 9:21:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0268 ms (-9.2 mm, -0.36 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: MP145 Bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.619 -4.1668
1.015000 69.624 -4.2928
1.030000 69.629 -4.4166
1.044000 69.633 -4.5297
1.060000 69.637 -4.6557
1.075000 69.639 -4.7700
1.090000 69.641 -4.8803
1.106000 69.641 -4.9939
1.120000 69.641 -5.0940
1.138000 69.639 -5.2247
1.150000 69.638 -5.3127
1.172000 69.634 -5.4751
1.180000 69.632 -5.5343
1.206000 69.625 -5.7261
1.220000 69.620 -5.8286
1.241000 69.612 -5.9804
1.250000 69.609 -6.0445
1.265000 69.602 -6.1497
1.280000 69.595 -6.2525
1.315000 69.578 -6.4811
1.320000 69.576 -6.5122
1.340000 69.565 -6.6324
1.360000 69.554 -6.7448
1.380000 69.544 -6.8486
1.400000 69.532 -6.9427
1.430000 69.516 -7.0637
1.450000 69.505 -7.1296
1.475000 69.492 -7.1948
1.500000 69.477 -7.2504
1.525000 69.460 -7.2977
1.550000 69.441 -7.3355
1.575000 69.421 -7.3627
1.600000 69.401 -7.3782
1.625000 69.380 -7.3809
1.650000 69.360 -7.3694
1.675000 69.340 -7.3428
1.700000 69.321 -7.2998
1.725000 69.304 -7.2393
1.750000 69.289 -7.1601
1.775000 69.277 -7.0612
1.800000 69.267 -6.9412
1.825000 69.260 -6.7992
1.850000 69.256 -6.6313
1.875000 69.252 -6.4325
1.900000 69.248 -6.2057
1.925000 69.244 -5.9542
1.950000 69.241 -5.6812
1.975000 69.240 -5.3898
2.000000 69.241 -5.0834
2.030000 69.246 -4.7002
2.060000 69.256 -4.3054
2.090000 69.272 -3.9046
2.120000 69.295 -3.5034
2.140000 69.314 -3.2383
2.180000 69.363 -2.7216
2.200000 69.394 -2.4730
2.240000 69.467 -1.9496
2.270000 69.531 -1.5275
2.300000 69.601 -1.0888
2.330000 69.678 -0.6417
2.360000 69.761 -0.1943
2.400000 69.881 0.3888
2.430000 69.976 0.8057
2.470000 70.111 1.3189
2.500000 70.218 1.6614
2.540000 70.365 2.0461
2.580000 70.519 2.3375
2.620000 70.687 2.5765
2.650000 70.821 2.7265
2.690000 71.008 2.8838
2.720000 71.155 2.9671
2.760000 71.354 3.0284
2.800000 71.557 3.0285
2.850000 71.812 2.9354
2.900000 72.062 2.7304
2.950000 72.304 2.4037
3.000000 72.550 1.9465
3.040000 72.748 1.4942
3.070000 72.898 1.1094
3.110000 73.096 0.5414
3.150000 73.293 -0.0825
3.200000 73.533 -0.9299
3.250000 73.764 -1.8388
3.300000 73.984 -2.7949
3.350000 74.194 -3.8278
3.400000 74.398 -4.9531
3.450000 74.596 -6.1536
3.500000 74.785 -7.4121
3.550000 74.966 -8.7113
3.600000 75.137 -10.0341
3.650000 75.297 -11.3631
3.700000 75.446 -12.7041
3.750000 75.585 -14.0953
3.820000 75.763 -16.1024
3.870000 75.879 -17.5577
3.950000 76.044 -19.8815
4.000000 76.136 -21.3071
4.060000 76.233 -22.9799
4.120000 76.315 -24.6643
4.180000 76.382 -26.3468
4.250000 76.444 -28.2735
4.310000 76.487 -29.8648
4.370000 76.520 -31.3738
4.440000 76.548 -33.0221
4.500000 76.555 -34.3820
4.550000 76.553 -35.4689
4.620000 76.542 -36.8996
4.680000 76.529 -38.0226
4.750000 76.518 -39.1877
4.820000 76.506 -40.1804
4.870000 76.491 -40.7928
4.940000 76.468 -41.5299
5.000000 76.454 -42.0633
5.080000 76.453 -42.6553
5.150000 76.479 -43.0741
5.220000 76.520 -43.3274
5.300000 76.585 -43.4572
5.380000 76.674 -43.5161
5.450000 76.776 -43.5907
5.520000 76.903 -43.7435
5.600000 77.086 -43.8970
5.700000 77.356 -44.1061
5.800000 77.651 -44.4815
5.900000 77.954 -45.1643
6.000000 78.284 -46.1078
6.080000 78.559 -47.0237
6.150000 78.794 -47.9368
6.220000 79.014 -48.9497
6.300000 79.250 -50.2605
6.400000 79.536 -52.1307
6.500000 79.797 -54.1488
6.600000 80.019 -56.1985
6.700000 80.201 -58.3405
6.800000 80.349 -60.5688
6.900000 80.460 -62.7385
7.000000 80.532 -64.7366
7.100000 80.561 -66.6826
7.200000 80.554 -68.4886
7.300000 80.526 -70.0071
7.400000 80.474 -71.1659
7.500000 80.387 -72.0490
7.620000 80.279 -72.6875
7.750000 80.204 -72.7518
7.880000 80.143 -72.0941
8.000000 80.143 -71.1344
8.120000 80.245 -70.0457
8.250000 80.460 -68.5112
8.380000 80.756 -67.0648
8.500000 81.096 -66.1635
8.620000 81.516 -65.5093
8.750000 81.995 -65.2063
8.850000 82.347 -65.3695
9.000000 82.883 -66.2305
9.120000 83.284 -67.2526
9.250000 83.662 -68.5995
9.380000 83.995 -70.2651
9.500000 84.262 -71.8391
9.620000 84.484 -73.3453
9.750000 84.677 -74.9881
9.880000 84.843 -76.4585
10.000000 84.974 -77.5824
10.150000 85.110 -78.7521
10.300000 85.264 -79.6534
10.440000 85.421 -80.1874
10.600000 85.634 -80.6766
10.750000 85.890 -81.1402
10.900000 86.186 -81.6183
11.060000 86.529 -82.4789
11.200000 86.858 -83.4966
11.380000 87.266 -85.2494
11.500000 87.523 -86.7549
11.720000 87.939 -90.0125
11.800000 88.061 -91.3281
12.060000 88.353 -95.9977
12.200000 88.432 -98.5329
12.410000 88.453 -102.3023
12.500000 88.431 -103.7679
12.650000 88.346 -106.0732
12.800000 88.226 -108.0759
13.150000 87.860 -111.2366
13.200000 87.811 -111.5350
13.400000 87.626 -112.2732
13.600000 87.501 -112.6608
13.800000 87.457 -112.7817
14.000000 87.474 -113.0444
14.300000 87.590 -113.8851
14.500000 87.670 -114.9305
14.750000 87.722 -116.5479
15.000000 87.697 -118.3561
15.250000 87.583 -119.9015
15.500000 87.419 -120.8929
15.750000 87.237 -121.2057
16.000000 87.104 -120.7962
16.250000 87.070 -120.0145
16.500000 87.146 -119.1147
16.750000 87.329 -118.4912
17.000000 87.563 -118.3859
17.250000 87.816 -118.8184
17.500000 88.048 -119.7711
17.750000 88.233 -121.0269
18.000000 88.368 -122.4456
18.250000 88.451 -123.8740
18.500000 88.497 -125.1560
18.750000 88.520 -126.2510
19.000000 88.533 -127.1220
19.250000 88.556 -127.8033
19.500000 88.596 -128.3686
19.750000 88.656 -128.8779
20.000000 88.734 -129.4306
20.299999 88.835 -130.1845
20.600000 88.931 -131.0279
20.900000 89.012 -131.8943
21.200001 89.079 -132.6850
21.400000 89.122 -133.1406
21.799999 89.215 -133.9224
22.000000 89.268 -134.2845
22.400000 89.379 -135.0426
22.700001 89.452 -135.6410
23.000000 89.508 -136.1823
23.299999 89.555 -136.5772
23.600000 89.613 -136.8360
24.000000 89.722 -137.1465
24.299999 89.819 -137.5701
24.700001 89.916 -138.5187
25.000000 89.927 -139.3477
25.400000 89.855 -140.1314
25.799999 89.768 -140.1586
26.200001 89.785 -139.7851
26.500000 89.876 -139.8414
26.900000 90.007 -140.9297
27.200001 90.013 -142.3598
27.600000 89.831 -144.1238
28.000000 89.541 -144.4083
28.500000 89.486 -142.8147
29.000000 90.008 -142.9073
29.500000 90.544 -148.1379
30.000000 90.387 -156.9105
30.400000 89.580 -162.1550
30.700001 88.652 -162.5425
31.100000 87.544 -157.4628
31.500000 87.454 -149.3640
32.000000 88.649 -143.5091
32.500000 89.747 -145.9014
33.000000 90.081 -151.3868
33.500000 89.912 -154.4471
34.000000 89.813 -154.2303
34.500000 90.052 -153.5528
35.000000 90.367 -154.3979
35.500000 90.475 -156.0280
36.000000 90.414 -156.8345
36.500000 90.370 -156.5963
37.000000 90.425 -156.2439
37.500000 90.504 -156.3582
38.200001 90.548 -156.8942
38.700001 90.562 -157.2774
39.500000 90.585 -158.2597
40.000000 90.565 -159.0344
40.599998 90.522 -159.8084
41.200001 90.509 -160.4215
41.799999 90.531 -161.0936
42.500000 90.569 -162.0411
43.099998 90.587 -162.8905
43.700001 90.584 -163.6003
44.400002 90.582 -164.1069
45.000000 90.611 -164.4290
45.500000 90.644 -164.8220
46.200001 90.657 -165.5184
46.799999 90.635 -165.9761
47.500000 90.629 -166.3083
48.200001 90.657 -166.7648
48.700001 90.679 -167.2458
49.400002 90.697 -168.0380
50.000000 90.700 -168.7958
50.799999 90.658 -169.7956
51.500000 90.584 -170.2653
52.200001 90.546 -170.2545
53.000000 90.583 -170.2337
53.799999 90.633 -170.5501
54.500000 90.658 -170.9062
55.200001 90.683 -171.3474
56.000000 90.689 -172.0880
57.000000 90.630 -172.9834
58.000000 90.572 -173.5789
59.000000 90.547 -174.1678
60.000000 90.537 -174.7722
60.799999 90.538 -175.2359
61.500000 90.544 -175.6360
62.200001 90.554 -176.0471
63.000000 90.564 -176.5755
64.000000 90.553 -177.3267
65.000000 90.508 -177.9862
66.000000 90.464 -178.4430
67.000000 90.447 -178.8790
68.000000 90.438 -179.4094
69.000000 90.427 -179.9737
70.000000 90.408 179.5017
71.000000 90.386 179.0787
72.000000 90.371 178.7327
73.000000 90.364 178.3907
74.000000 90.356 177.9973
75.000000 90.338 177.5508
76.199997 90.302 177.0310
77.500000 90.263 176.4813
78.800003 90.222 175.8685
80.000000 90.182 175.3438
81.199997 90.161 174.8315
82.500000 90.138 174.2275
83.800003 90.109 173.7660
85.000000 90.091 173.4000
86.199997 90.061 173.0015
87.500000 90.010 172.5815
88.500000 89.969 172.2496
90.000000 89.918 171.7237
91.199997 89.904 171.2648
92.500000 89.899 170.6870
93.800003 89.877 170.2129
95.000000 89.835 169.9305
96.199997 89.752 169.7406
97.500000 89.612 169.7172
98.800003 89.460 169.7045
100.000000 89.322 169.7456
101.500000 89.295 169.7415
103.000000 89.361 168.7065
104.400002 89.378 167.7591
106.000000 89.390 167.3268
107.500000 89.388 167.3497
109.000000 89.377 167.4312
110.599998 89.359 166.9061
112.000000 89.295 165.9958
113.800003 89.197 164.9195
115.000000 89.153 164.7255
117.199997 89.204 164.6657
118.000000 89.205 164.5829
120.599998 89.133 164.2418
122.000000 89.075 163.8236
124.099998 89.012 163.0501
125.000000 88.994 162.7532
126.500000 88.950 162.4080
128.000000 88.871 162.2833
131.500000 88.607 161.4830
132.000000 88.559 161.2104
134.000000 88.357 160.5968
136.000000 88.351 161.0462
138.000000 88.449 161.2217
140.000000 88.454 161.2637
143.000000 88.326 161.1577
145.000000 88.240 161.0228
147.500000 88.179 160.9728
150.000000 88.124 161.0468
152.500000 88.091 161.1583
155.000000 88.090 161.1193
157.500000 88.081 160.9791
160.000000 88.083 160.7712
162.500000 88.120 160.4813
165.000000 88.174 160.4115
167.500000 88.208 160.2226
170.000000 88.130 159.5161
172.500000 88.009 158.7909
175.000000 87.936 158.1063
177.500000 87.875 157.5777
180.000000 87.805 157.2286
182.500000 87.733 156.8928
185.000000 87.658 156.5457
187.500000 87.580 156.2619
190.000000 87.504 156.0408
192.500000 87.433 155.8308
195.000000 87.360 155.6277
197.500000 87.277 155.4448
200.000000 87.194 155.2854
203.000000 87.116 155.0800
206.000000 87.048 154.8777
209.000000 86.974 154.7227
212.000000 86.894 154.5709
214.000000 86.841 154.4763
218.000000 86.738 154.3297
220.000000 86.687 154.2623
224.000000 86.585 154.1071
227.000000 86.508 154.0175
230.000000 86.431 153.9481
233.000000 86.352 153.8633
236.000000 86.277 153.7760
240.000000 86.189 153.6622
243.000000 86.124 153.6368
247.000000 86.033 153.6939
250.000000 85.964 153.7145
254.000000 85.875 153.6605
258.000000 85.788 153.6339
262.000000 85.704 153.6488
265.000000 85.642 153.6872
269.000000 85.556 153.7400
272.000000 85.487 153.7414
