* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -28.6 dBFS, measurement signal peak level -24.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 29/08/2024 7:11:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0754 ms (-26 mm, -1.02 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: MP145 Sample 2 Balanced L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.654 116.0091
1.015000 43.838 114.7910
1.030000 44.023 113.6013
1.044000 44.194 112.5202
1.060000 44.389 111.3236
1.075000 44.570 110.2437
1.090000 44.750 109.2085
1.106000 44.941 108.1561
1.120000 45.108 107.2685
1.138000 45.325 106.1672
1.150000 45.470 105.4563
1.172000 45.739 104.1978
1.180000 45.837 103.7535
1.206000 46.158 102.3540
1.220000 46.331 101.6259
1.241000 46.592 100.5628
1.250000 46.705 100.1167
1.265000 46.892 99.3843
1.280000 47.079 98.6641
1.315000 47.516 97.0198
1.320000 47.578 96.7880
1.340000 47.827 95.8654
1.360000 48.075 94.9469
1.380000 48.322 94.0277
1.400000 48.568 93.1032
1.430000 48.933 91.6962
1.450000 49.174 90.7378
1.475000 49.472 89.5113
1.500000 49.770 88.2709
1.525000 50.066 87.0246
1.550000 50.363 85.7757
1.575000 50.658 84.5272
1.600000 50.952 83.2826
1.625000 51.244 82.0449
1.650000 51.535 80.8175
1.675000 51.824 79.6035
1.700000 52.110 78.4063
1.725000 52.395 77.2289
1.750000 52.676 76.0748
1.775000 52.955 74.9470
1.800000 53.230 73.8488
1.825000 53.502 72.7834
1.850000 53.771 71.7533
1.875000 54.037 70.7564
1.900000 54.301 69.7897
1.925000 54.562 68.8504
1.950000 54.820 67.9354
1.975000 55.076 67.0419
2.000000 55.330 66.1670
2.030000 55.631 65.1373
2.060000 55.928 64.1250
2.090000 56.221 63.1250
2.120000 56.512 62.1322
2.140000 56.703 61.4718
2.180000 57.082 60.1479
2.200000 57.268 59.4814
2.240000 57.637 58.1550
2.270000 57.909 57.1717
2.300000 58.177 56.1982
2.330000 58.442 55.2344
2.360000 58.703 54.2803
2.400000 59.046 53.0231
2.430000 59.299 52.0915
2.470000 59.632 50.8643
2.500000 59.879 49.9550
2.540000 60.203 48.7574
2.580000 60.522 47.5767
2.620000 60.835 46.4132
2.650000 61.066 45.5518
2.690000 61.368 44.4183
2.720000 61.592 43.5793
2.760000 61.885 42.4755
2.800000 62.174 41.3885
2.850000 62.528 40.0533
2.900000 62.876 38.7440
2.950000 63.218 37.4615
3.000000 63.552 36.2132
3.040000 63.813 35.2376
3.070000 64.006 34.5175
3.110000 64.260 33.5707
3.150000 64.510 32.6367
3.200000 64.817 31.4830
3.250000 65.118 30.3398
3.300000 65.415 29.2017
3.350000 65.705 28.0686
3.400000 65.990 26.9447
3.450000 66.269 25.8330
3.500000 66.542 24.7364
3.550000 66.810 23.6577
3.600000 67.074 22.5998
3.650000 67.334 21.5658
3.700000 67.591 20.5589
3.750000 67.842 19.5796
3.820000 68.185 18.2467
3.870000 68.425 17.3159
3.950000 68.802 15.8512
4.000000 69.033 14.9443
4.060000 69.306 13.8591
4.120000 69.574 12.7835
4.180000 69.836 11.7205
4.250000 70.136 10.4992
4.310000 70.389 9.4707
4.370000 70.637 8.4614
4.440000 70.922 7.3115
4.500000 71.162 6.3507
4.550000 71.359 5.5646
4.620000 71.629 4.4819
4.680000 71.857 3.5661
4.750000 72.119 2.5064
4.820000 72.376 1.4547
4.870000 72.557 0.7115
4.940000 72.806 -0.3174
5.000000 73.016 -1.1887
5.080000 73.291 -2.3348
5.150000 73.527 -3.3228
5.220000 73.760 -4.2954
5.300000 74.020 -5.3895
5.380000 74.275 -6.4676
5.450000 74.495 -7.4000
5.520000 74.711 -8.3237
5.600000 74.953 -9.3666
5.700000 75.249 -10.6509
5.800000 75.538 -11.9160
5.900000 75.821 -13.1637
6.000000 76.097 -14.3928
6.080000 76.313 -15.3629
6.150000 76.499 -16.2026
6.220000 76.682 -17.0340
6.300000 76.888 -17.9734
6.400000 77.139 -19.1311
6.500000 77.385 -20.2730
6.600000 77.626 -21.4020
6.700000 77.862 -22.5179
6.800000 78.092 -23.6200
6.900000 78.318 -24.7088
7.000000 78.539 -25.7846
7.100000 78.755 -26.8464
7.200000 78.966 -27.8954
7.300000 79.173 -28.9334
7.400000 79.375 -29.9613
7.500000 79.573 -30.9783
7.620000 79.805 -32.1841
7.750000 80.050 -33.4722
7.880000 80.287 -34.7413
8.000000 80.500 -35.8960
8.120000 80.708 -37.0348
8.250000 80.926 -38.2506
8.380000 81.139 -39.4469
8.500000 81.330 -40.5332
8.620000 81.516 -41.6026
8.750000 81.713 -42.7417
8.850000 81.861 -43.6041
9.000000 82.078 -44.8749
9.120000 82.246 -45.8729
9.250000 82.426 -46.9358
9.380000 82.601 -47.9793
9.500000 82.760 -48.9276
9.620000 82.916 -49.8621
9.750000 83.081 -50.8583
9.880000 83.244 -51.8419
10.000000 83.392 -52.7395
10.150000 83.574 -53.8471
10.300000 83.753 -54.9449
10.440000 83.916 -55.9599
10.600000 84.099 -57.1117
10.750000 84.266 -58.1864
10.900000 84.430 -59.2553
11.060000 84.599 -60.3897
11.200000 84.744 -61.3780
11.380000 84.923 -62.6379
11.500000 85.038 -63.4715
11.720000 85.242 -64.9796
11.800000 85.313 -65.5194
12.060000 85.536 -67.2415
12.200000 85.650 -68.1411
12.410000 85.816 -69.4542
12.500000 85.885 -70.0017
12.650000 85.998 -70.8937
12.800000 86.110 -71.7627
13.150000 86.365 -73.7049
13.200000 86.401 -73.9753
13.400000 86.545 -75.0375
13.600000 86.689 -76.0840
13.800000 86.832 -77.1194
14.000000 86.973 -78.1533
14.300000 87.180 -79.7056
14.500000 87.314 -80.7444
14.750000 87.475 -82.0403
15.000000 87.627 -83.3288
15.250000 87.772 -84.5979
15.500000 87.909 -85.8393
15.750000 88.039 -87.0488
16.000000 88.165 -88.2233
16.250000 88.286 -89.3661
16.500000 88.404 -90.4803
16.750000 88.518 -91.5708
17.000000 88.630 -92.6422
17.250000 88.738 -93.6960
17.500000 88.843 -94.7336
17.750000 88.945 -95.7546
18.000000 89.043 -96.7585
18.250000 89.138 -97.7449
18.500000 89.231 -98.7147
18.750000 89.321 -99.6692
19.000000 89.408 -100.6095
19.250000 89.493 -101.5375
19.500000 89.576 -102.4537
19.750000 89.655 -103.3582
20.000000 89.733 -104.2506
20.299999 89.822 -105.3046
20.600000 89.908 -106.3394
20.900000 89.992 -107.3554
21.200001 90.072 -108.3533
21.400000 90.124 -109.0092
21.799999 90.225 -110.2997
22.000000 90.274 -110.9344
22.400000 90.368 -112.1823
22.700001 90.435 -113.0988
23.000000 90.501 -113.9988
23.299999 90.564 -114.8835
23.600000 90.626 -115.7540
24.000000 90.705 -116.8940
24.299999 90.761 -117.7333
24.700001 90.834 -118.8294
25.000000 90.885 -119.6326
25.400000 90.952 -120.6781
25.799999 91.017 -121.6983
26.200001 91.081 -122.6998
26.500000 91.127 -123.4424
26.900000 91.187 -124.4237
27.200001 91.229 -125.1522
27.600000 91.282 -126.1105
28.000000 91.332 -127.0489
28.500000 91.390 -128.1882
29.000000 91.445 -129.2889
29.500000 91.498 -130.3583
30.000000 91.550 -131.4094
30.400000 91.590 -132.2433
30.700001 91.618 -132.8640
31.100000 91.653 -133.6787
31.500000 91.684 -134.4712
32.000000 91.722 -135.4248
32.500000 91.760 -136.3476
33.000000 91.798 -137.2598
33.500000 91.835 -138.1702
34.000000 91.867 -139.0695
34.500000 91.897 -139.9456
35.000000 91.925 -140.8005
35.500000 91.951 -141.6449
36.000000 91.973 -142.4791
36.500000 91.992 -143.2866
37.000000 92.009 -144.0533
37.500000 92.027 -144.7885
38.200001 92.057 -145.8174
38.700001 92.077 -146.5693
39.500000 92.098 -147.7498
40.000000 92.108 -148.4476
40.599998 92.123 -149.2599
41.200001 92.138 -150.0736
41.799999 92.149 -150.8839
42.500000 92.159 -151.7962
43.099998 92.168 -152.5511
43.700001 92.176 -153.2995
44.400002 92.184 -154.1642
45.000000 92.186 -154.8798
45.500000 92.187 -155.4482
46.200001 92.190 -156.2064
46.799999 92.196 -156.8436
47.500000 92.201 -157.5990
48.200001 92.200 -158.3464
48.700001 92.197 -158.8509
49.400002 92.196 -159.5260
50.000000 92.197 -160.1220
50.799999 92.193 -160.9584
51.500000 92.179 -161.6657
52.200001 92.163 -162.3176
53.000000 92.150 -163.0343
53.799999 92.139 -163.7522
54.500000 92.129 -164.3753
55.200001 92.119 -164.9857
56.000000 92.108 -165.6655
57.000000 92.094 -166.4979
58.000000 92.078 -167.3073
59.000000 92.058 -168.0743
60.000000 92.038 -168.8167
60.799999 92.020 -169.4027
61.500000 92.003 -169.9031
62.200001 91.984 -170.3895
63.000000 91.962 -170.9330
64.000000 91.935 -171.5950
65.000000 91.909 -172.2416
66.000000 91.883 -172.8804
67.000000 91.855 -173.5026
68.000000 91.827 -174.1098
69.000000 91.796 -174.6966
70.000000 91.766 -175.2600
71.000000 91.736 -175.8148
72.000000 91.706 -176.3643
73.000000 91.675 -176.9080
74.000000 91.642 -177.4376
75.000000 91.608 -177.9430
76.199997 91.569 -178.5273
77.500000 91.526 -179.1435
78.800003 91.482 -179.7437
80.000000 91.440 179.7159
81.199997 91.398 179.1942
82.500000 91.352 178.6454
83.800003 91.307 178.1144
85.000000 91.265 177.6385
86.199997 91.223 177.1726
87.500000 91.176 176.6830
88.500000 91.139 176.3210
90.000000 91.085 175.7979
91.199997 91.042 175.3939
92.500000 90.995 174.9655
93.800003 90.948 174.5475
95.000000 90.905 174.1736
96.199997 90.860 173.8096
97.500000 90.811 173.4282
98.800003 90.762 173.0642
100.000000 90.717 172.7428
101.500000 90.664 172.3416
103.000000 90.610 171.9460
104.400002 90.559 171.5955
106.000000 90.501 171.2126
107.500000 90.447 170.8687
109.000000 90.391 170.5358
110.599998 90.332 170.1918
112.000000 90.280 169.9003
113.800003 90.215 169.5397
115.000000 90.173 169.3097
117.199997 90.096 168.9099
118.000000 90.068 168.7717
120.599998 89.974 168.3610
122.000000 89.924 168.1429
124.099998 89.850 167.8080
125.000000 89.818 167.6696
126.500000 89.766 167.4525
128.000000 89.715 167.2498
131.500000 89.594 166.7996
132.000000 89.577 166.7372
134.000000 89.508 166.4924
136.000000 89.441 166.2643
138.000000 89.374 166.0605
140.000000 89.309 165.8730
143.000000 89.210 165.6108
145.000000 89.143 165.4517
147.500000 89.058 165.2437
150.000000 88.972 165.0692
152.500000 88.899 164.9091
155.000000 88.827 164.7503
157.500000 88.750 164.6267
160.000000 88.672 164.5106
162.500000 88.595 164.4004
165.000000 88.521 164.3019
167.500000 88.447 164.2318
170.000000 88.374 164.1663
172.500000 88.301 164.0984
175.000000 88.231 164.0481
177.500000 88.162 164.0089
180.000000 88.094 163.9698
182.500000 88.026 163.9462
185.000000 87.958 163.9371
187.500000 87.889 163.9421
190.000000 87.821 163.9586
192.500000 87.757 163.9650
195.000000 87.691 163.9693
197.500000 87.624 163.9971
200.000000 87.560 164.0473
203.000000 87.490 164.0901
206.000000 87.419 164.1357
209.000000 87.349 164.2332
212.000000 87.287 164.3381
214.000000 87.244 164.3813
218.000000 87.149 164.4761
220.000000 87.103 164.5430
224.000000 87.013 164.6943
227.000000 86.944 164.8130
230.000000 86.878 164.9480
233.000000 86.817 165.1010
236.000000 86.758 165.2588
240.000000 86.676 165.4440
243.000000 86.615 165.5691
247.000000 86.535 165.7740
250.000000 86.476 165.9478
254.000000 86.399 166.1420
258.000000 86.324 166.3415
262.000000 86.253 166.5662
265.000000 86.201 166.7442
269.000000 86.131 166.9988
272.000000 86.080 167.1931
276.000000 86.015 167.4542
280.000000 85.949 167.7182
285.000000 85.866 168.0578
290.000000 85.789 168.4083
295.000000 85.712 168.7742
