* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -30.2 dBFS, measurement signal peak level -24.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 29/08/2024 9:40:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0712 ms (-24 mm, -0.96 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: MP145 Sample 2 Balanced R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.135 126.4119
1.015000 43.311 125.3310
1.030000 43.486 124.2709
1.044000 43.649 123.3033
1.060000 43.834 122.2267
1.075000 44.007 121.2493
1.090000 44.178 120.3061
1.106000 44.358 119.3394
1.120000 44.517 118.5172
1.138000 44.722 117.4878
1.150000 44.859 116.8177
1.172000 45.112 115.6200
1.180000 45.205 115.1938
1.206000 45.506 113.8391
1.220000 45.669 113.1272
1.241000 45.914 112.0794
1.250000 46.019 111.6368
1.265000 46.194 110.9068
1.280000 46.369 110.1852
1.315000 46.778 108.5257
1.320000 46.836 108.2906
1.340000 47.069 107.3536
1.360000 47.301 106.4189
1.380000 47.533 105.4834
1.400000 47.763 104.5437
1.430000 48.107 103.1192
1.450000 48.334 102.1547
1.475000 48.615 100.9280
1.500000 48.896 99.6874
1.525000 49.177 98.4382
1.550000 49.457 97.1840
1.575000 49.737 95.9280
1.600000 50.016 94.6735
1.625000 50.293 93.4237
1.650000 50.569 92.1821
1.675000 50.844 90.9518
1.700000 51.116 89.7361
1.725000 51.387 88.5385
1.750000 51.655 87.3620
1.775000 51.920 86.2102
1.800000 52.182 85.0862
1.825000 52.442 83.9933
1.850000 52.698 82.9329
1.875000 52.951 81.9007
1.900000 53.203 80.8944
1.925000 53.452 79.9119
1.950000 53.699 78.9510
1.975000 53.943 78.0095
2.000000 54.186 77.0853
2.030000 54.474 75.9959
2.060000 54.758 74.9244
2.090000 55.040 73.8672
2.120000 55.318 72.8205
2.140000 55.502 72.1267
2.180000 55.865 70.7435
2.200000 56.045 70.0521
2.240000 56.399 68.6811
2.270000 56.661 67.6675
2.300000 56.919 66.6664
2.330000 57.174 65.6777
2.360000 57.426 64.7013
2.400000 57.757 63.4184
2.430000 58.002 62.4703
2.470000 58.324 61.2248
2.500000 58.563 60.3045
2.540000 58.879 59.0958
2.580000 59.190 57.9082
2.620000 59.496 56.7442
2.650000 59.722 55.8864
2.690000 60.019 54.7622
2.720000 60.239 53.9329
2.760000 60.528 52.8448
2.800000 60.813 51.7758
2.850000 61.165 50.4646
2.900000 61.513 49.1791
2.950000 61.855 47.9189
3.000000 62.193 46.6969
3.040000 62.458 45.7451
3.070000 62.655 45.0438
3.110000 62.914 44.1224
3.150000 63.171 43.2131
3.200000 63.487 42.0879
3.250000 63.800 40.9685
3.300000 64.109 39.8475
3.350000 64.415 38.7298
3.400000 64.716 37.6220
3.450000 65.013 36.5239
3.500000 65.307 35.4352
3.550000 65.596 34.3558
3.600000 65.881 33.2853
3.650000 66.163 32.2235
3.700000 66.441 31.1730
3.750000 66.716 30.1383
3.820000 67.094 28.7086
3.870000 67.359 27.6953
3.950000 67.775 26.0759
4.000000 68.030 25.0586
4.060000 68.330 23.8264
4.120000 68.624 22.5850
4.180000 68.912 21.3394
4.250000 69.240 19.8873
4.310000 69.515 18.6488
4.370000 69.783 17.4209
4.440000 70.086 16.0037
4.500000 70.339 14.7946
4.550000 70.545 13.7922
4.620000 70.825 12.3999
4.680000 71.058 11.2196
4.750000 71.322 9.8616
4.820000 71.577 8.5198
4.870000 71.753 7.5664
4.940000 71.992 6.2461
5.000000 72.190 5.1347
5.080000 72.446 3.6932
5.150000 72.663 2.4792
5.220000 72.871 1.2996
5.300000 73.100 -0.0073
5.380000 73.321 -1.2643
5.450000 73.510 -2.3182
5.520000 73.697 -3.3250
5.600000 73.903 -4.4183
5.700000 74.154 -5.7059
5.800000 74.402 -6.9148
5.900000 74.652 -8.0501
6.000000 74.900 -9.0931
6.080000 75.099 -9.8761
6.150000 75.274 -10.5382
6.220000 75.452 -11.1905
6.300000 75.660 -11.9142
6.400000 75.924 -12.7725
6.500000 76.192 -13.6168
6.600000 76.463 -14.4878
6.700000 76.740 -15.3781
6.800000 77.020 -16.2799
6.900000 77.301 -17.2150
7.000000 77.578 -18.2028
7.100000 77.854 -19.2369
7.200000 78.129 -20.3116
7.300000 78.396 -21.4240
7.400000 78.654 -22.5782
7.500000 78.905 -23.7791
7.620000 79.196 -25.2525
7.750000 79.492 -26.8579
7.880000 79.770 -28.4941
8.000000 80.012 -29.9979
8.120000 80.239 -31.4624
8.250000 80.468 -33.0252
8.380000 80.684 -34.5370
8.500000 80.873 -35.8637
8.620000 81.051 -37.1342
8.750000 81.237 -38.4453
8.850000 81.378 -39.4033
9.000000 81.583 -40.7557
9.120000 81.745 -41.7848
9.250000 81.922 -42.8565
9.380000 82.098 -43.8759
9.500000 82.261 -44.7971
9.620000 82.425 -45.7105
9.750000 82.604 -46.6815
9.880000 82.781 -47.6535
10.000000 82.943 -48.5599
10.150000 83.143 -49.6970
10.300000 83.337 -50.8403
10.440000 83.513 -51.9170
10.600000 83.706 -53.1433
10.750000 83.879 -54.2804
10.900000 84.044 -55.4052
11.060000 84.213 -56.5714
11.200000 84.355 -57.5653
11.380000 84.531 -58.8025
11.500000 84.646 -59.5982
11.720000 84.851 -61.0100
11.800000 84.925 -61.5104
12.060000 85.163 -63.0940
12.200000 85.289 -63.9347
12.410000 85.477 -65.1814
12.500000 85.556 -65.7159
12.650000 85.685 -66.6061
12.800000 85.812 -67.4944
13.150000 86.094 -69.5604
13.200000 86.133 -69.8521
13.400000 86.282 -71.0114
13.600000 86.425 -72.1475
13.800000 86.563 -73.2561
14.000000 86.696 -74.3359
14.300000 86.889 -75.9031
14.500000 87.016 -76.9189
14.750000 87.171 -78.1674
15.000000 87.323 -79.3979
15.250000 87.471 -80.6190
15.500000 87.614 -81.8298
15.750000 87.752 -83.0290
16.000000 87.885 -84.2115
16.250000 88.012 -85.3720
16.500000 88.135 -86.5084
16.750000 88.254 -87.6184
17.000000 88.369 -88.7042
17.250000 88.482 -89.7679
17.500000 88.593 -90.8123
17.750000 88.701 -91.8412
18.000000 88.806 -92.8557
18.250000 88.909 -93.8572
18.500000 89.008 -94.8453
18.750000 89.105 -95.8186
19.000000 89.198 -96.7760
19.250000 89.288 -97.7157
19.500000 89.375 -98.6373
19.750000 89.460 -99.5408
20.000000 89.543 -100.4276
20.299999 89.640 -101.4724
20.600000 89.734 -102.4991
20.900000 89.825 -103.5103
21.200001 89.912 -104.5068
21.400000 89.969 -105.1620
21.799999 90.077 -106.4480
22.000000 90.129 -107.0777
22.400000 90.230 -108.3095
22.700001 90.303 -109.2117
23.000000 90.375 -110.0993
23.299999 90.445 -110.9758
23.600000 90.512 -111.8429
24.000000 90.599 -112.9843
24.299999 90.660 -113.8267
24.700001 90.739 -114.9274
25.000000 90.795 -115.7344
25.400000 90.867 -116.7859
25.799999 90.938 -117.8132
26.200001 91.006 -118.8214
26.500000 91.056 -119.5675
26.900000 91.121 -120.5500
27.200001 91.167 -121.2768
27.600000 91.226 -122.2298
28.000000 91.281 -123.1604
28.500000 91.348 -124.2892
29.000000 91.412 -125.3833
29.500000 91.474 -126.4506
30.000000 91.534 -127.4952
30.400000 91.581 -128.3138
30.700001 91.615 -128.9181
31.100000 91.660 -129.7157
31.500000 91.704 -130.5107
32.000000 91.755 -131.5066
32.500000 91.800 -132.4932
33.000000 91.838 -133.4430
33.500000 91.873 -134.3417
34.000000 91.909 -135.2029
34.500000 91.946 -136.0535
35.000000 91.982 -136.9035
35.500000 92.015 -137.7419
36.000000 92.046 -138.5587
36.500000 92.076 -139.3619
37.000000 92.106 -140.1642
37.500000 92.131 -140.9617
38.200001 92.161 -142.0336
38.700001 92.182 -142.7579
39.500000 92.218 -143.8874
40.000000 92.240 -144.5904
40.599998 92.264 -145.4202
41.200001 92.286 -146.2247
41.799999 92.307 -147.0100
42.500000 92.330 -147.9081
43.099998 92.347 -148.6612
43.700001 92.364 -149.4039
44.400002 92.381 -150.2617
45.000000 92.392 -150.9849
45.500000 92.400 -151.5775
46.200001 92.409 -152.3892
46.799999 92.415 -153.0589
47.500000 92.426 -153.8217
48.200001 92.439 -154.6183
48.700001 92.443 -155.2092
49.400002 92.436 -155.9877
50.000000 92.429 -156.5557
50.799999 92.436 -157.2487
51.500000 92.451 -157.9066
52.200001 92.460 -158.6037
53.000000 92.463 -159.3798
53.799999 92.462 -160.1269
54.500000 92.458 -160.7588
55.200001 92.453 -161.3640
56.000000 92.449 -162.0369
57.000000 92.443 -162.8678
58.000000 92.437 -163.6887
59.000000 92.429 -164.4992
60.000000 92.417 -165.2827
60.799999 92.407 -165.8889
61.500000 92.398 -166.4043
62.200001 92.388 -166.9082
63.000000 92.377 -167.4786
64.000000 92.361 -168.1814
65.000000 92.344 -168.8622
66.000000 92.327 -169.5408
67.000000 92.308 -170.2143
68.000000 92.287 -170.8552
69.000000 92.269 -171.4754
70.000000 92.250 -172.0908
71.000000 92.229 -172.6929
72.000000 92.206 -173.2730
73.000000 92.183 -173.8368
74.000000 92.160 -174.3949
75.000000 92.134 -174.9406
76.199997 92.103 -175.5664
77.500000 92.073 -176.2323
78.800003 92.040 -176.8934
80.000000 92.009 -177.4836
81.199997 91.977 -178.0551
82.500000 91.941 -178.6604
83.800003 91.904 -179.2527
85.000000 91.870 -179.7840
86.199997 91.835 179.6990
87.500000 91.798 179.1515
88.500000 91.768 178.7435
90.000000 91.723 178.1550
91.199997 91.687 177.6976
92.500000 91.648 177.2138
93.800003 91.608 176.7416
95.000000 91.571 176.3142
96.199997 91.533 175.8967
97.500000 91.491 175.4554
98.800003 91.448 175.0307
100.000000 91.410 174.6562
101.500000 91.363 174.1887
103.000000 91.316 173.7225
104.400002 91.271 173.3051
106.000000 91.220 172.8480
107.500000 91.172 172.4348
109.000000 91.123 172.0337
110.599998 91.071 171.6158
112.000000 91.025 171.2602
113.800003 90.966 170.8201
115.000000 90.927 170.5345
117.199997 90.855 170.0272
118.000000 90.828 169.8531
120.599998 90.743 169.3151
122.000000 90.698 169.0289
124.099998 90.629 168.6103
125.000000 90.599 168.4358
126.500000 90.550 168.1520
128.000000 90.502 167.8781
131.500000 90.391 167.2874
132.000000 90.375 167.2091
134.000000 90.313 166.8953
136.000000 90.248 166.5709
138.000000 90.181 166.2712
140.000000 90.115 165.9962
143.000000 90.018 165.6039
145.000000 89.955 165.3504
147.500000 89.881 165.0200
150.000000 89.803 164.6978
152.500000 89.723 164.4562
155.000000 89.644 164.2357
157.500000 89.565 164.0184
160.000000 89.491 163.8028
162.500000 89.418 163.5973
165.000000 89.344 163.4160
167.500000 89.269 163.2490
170.000000 89.196 163.0761
172.500000 89.122 162.9036
175.000000 89.050 162.7543
177.500000 88.979 162.6307
180.000000 88.909 162.5157
182.500000 88.839 162.4009
185.000000 88.770 162.2917
187.500000 88.701 162.2062
190.000000 88.633 162.1479
192.500000 88.566 162.0853
195.000000 88.498 162.0206
197.500000 88.432 161.9716
200.000000 88.365 161.9287
203.000000 88.284 161.8706
206.000000 88.206 161.8224
209.000000 88.131 161.7849
212.000000 88.053 161.7562
214.000000 88.002 161.7533
218.000000 87.905 161.7834
220.000000 87.857 161.8061
224.000000 87.762 161.8480
227.000000 87.692 161.8833
230.000000 87.624 161.9304
233.000000 87.557 161.9766
236.000000 87.491 161.9905
240.000000 87.400 162.0023
243.000000 87.331 162.0886
247.000000 87.235 162.2765
250.000000 87.169 162.4024
254.000000 87.094 162.5030
258.000000 87.013 162.6198
262.000000 86.931 162.7638
265.000000 86.871 162.8769
269.000000 86.791 163.0482
272.000000 86.733 163.1786
276.000000 86.655 163.3495
280.000000 86.577 163.5369
285.000000 86.488 163.8023
290.000000 86.401 164.0666
295.000000 86.311 164.3379
