* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -29.0 dBFS, measurement signal peak level -25.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 29/08/2024 8:05:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0549 ms (-19 mm, -0.74 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: MP145 Sample 2 Bass L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.130 127.7758
1.015000 44.274 126.6285
1.030000 44.419 125.5001
1.044000 44.555 124.4667
1.060000 44.710 123.3128
1.075000 44.855 122.2607
1.090000 45.000 121.2409
1.106000 45.154 120.1898
1.120000 45.291 119.2891
1.138000 45.468 118.1519
1.150000 45.587 117.4062
1.172000 45.808 116.0629
1.180000 45.889 115.5816
1.206000 46.155 114.0417
1.220000 46.300 113.2266
1.241000 46.518 112.0204
1.250000 46.612 111.5089
1.265000 46.770 110.6630
1.280000 46.927 109.8245
1.315000 47.298 107.8913
1.320000 47.351 107.6173
1.340000 47.563 106.5254
1.360000 47.776 105.4382
1.380000 47.988 104.3536
1.400000 48.200 103.2693
1.430000 48.517 101.6387
1.450000 48.728 100.5454
1.475000 48.989 99.1688
1.500000 49.252 97.7848
1.525000 49.516 96.3973
1.550000 49.781 95.0094
1.575000 50.047 93.6239
1.600000 50.314 92.2440
1.625000 50.580 90.8727
1.650000 50.846 89.5130
1.675000 51.112 88.1678
1.700000 51.376 86.8402
1.725000 51.639 85.5333
1.750000 51.899 84.2499
1.775000 52.158 82.9932
1.800000 52.413 81.7661
1.825000 52.666 80.5716
1.850000 52.915 79.4115
1.875000 53.163 78.2828
1.900000 53.410 77.1831
1.925000 53.655 76.1101
1.950000 53.898 75.0613
1.975000 54.140 74.0346
2.000000 54.380 73.0275
2.030000 54.665 71.8416
2.060000 54.948 70.6765
2.090000 55.228 69.5283
2.120000 55.505 68.3928
2.140000 55.688 67.6409
2.180000 56.049 66.1440
2.200000 56.227 65.3966
2.240000 56.580 63.9178
2.270000 56.841 62.8273
2.300000 57.098 61.7523
2.330000 57.353 60.6923
2.360000 57.605 59.6470
2.400000 57.936 58.2751
2.430000 58.181 57.2622
2.470000 58.504 55.9321
2.500000 58.743 54.9493
2.540000 59.057 53.6579
2.580000 59.367 52.3876
2.620000 59.671 51.1422
2.650000 59.896 50.2243
2.690000 60.191 49.0216
2.720000 60.409 48.1347
2.760000 60.696 46.9717
2.800000 60.979 45.8300
2.850000 61.327 44.4315
2.900000 61.669 43.0630
2.950000 62.005 41.7240
3.000000 62.334 40.4241
3.040000 62.593 39.4112
3.070000 62.784 38.6655
3.110000 63.036 37.6876
3.150000 63.284 36.7259
3.200000 63.589 35.5425
3.250000 63.890 34.3748
3.300000 64.187 33.2177
3.350000 64.479 32.0736
3.400000 64.765 30.9471
3.450000 65.046 29.8390
3.500000 65.323 28.7499
3.550000 65.595 27.6804
3.600000 65.864 26.6312
3.650000 66.130 25.6031
3.700000 66.392 24.5988
3.750000 66.650 23.6219
3.820000 67.004 22.2923
3.870000 67.253 21.3636
3.950000 67.644 19.9020
4.000000 67.885 18.9968
4.060000 68.170 17.9137
4.120000 68.451 16.8424
4.180000 68.728 15.7844
4.250000 69.044 14.5671
4.310000 69.312 13.5384
4.370000 69.575 12.5233
4.440000 69.879 11.3582
4.500000 70.134 10.3785
4.550000 70.344 9.5734
4.620000 70.633 8.4595
4.680000 70.878 7.5134
4.750000 71.158 6.4148
4.820000 71.433 5.3205
4.870000 71.627 4.5441
4.940000 71.894 3.4649
5.000000 72.119 2.5474
5.080000 72.414 1.3356
5.150000 72.667 0.2864
5.220000 72.915 -0.7523
5.300000 73.192 -1.9271
5.380000 73.464 -3.0891
5.450000 73.697 -4.0960
5.520000 73.926 -5.0940
5.600000 74.181 -6.2237
5.700000 74.493 -7.6189
5.800000 74.796 -8.9940
5.900000 75.091 -10.3479
6.000000 75.378 -11.6816
6.080000 75.601 -12.7335
6.150000 75.793 -13.6426
6.220000 75.982 -14.5406
6.300000 76.193 -15.5528
6.400000 76.450 -16.7977
6.500000 76.701 -18.0211
6.600000 76.946 -19.2245
6.700000 77.185 -20.4077
6.800000 77.418 -21.5703
6.900000 77.645 -22.7129
7.000000 77.868 -23.8359
7.100000 78.084 -24.9382
7.200000 78.296 -26.0211
7.300000 78.504 -27.0866
7.400000 78.707 -28.1354
7.500000 78.905 -29.1666
7.620000 79.137 -30.3817
7.750000 79.383 -31.6719
7.880000 79.622 -32.9337
8.000000 79.837 -34.0753
8.120000 80.047 -35.1966
8.250000 80.269 -36.3867
8.380000 80.486 -37.5541
8.500000 80.682 -38.6132
8.620000 80.875 -39.6531
8.750000 81.078 -40.7618
8.850000 81.233 -41.6040
9.000000 81.459 -42.8471
9.120000 81.637 -43.8284
9.250000 81.825 -44.8809
9.380000 82.010 -45.9209
9.500000 82.178 -46.8726
9.620000 82.342 -47.8179
9.750000 82.516 -48.8336
9.880000 82.686 -49.8418
10.000000 82.840 -50.7666
10.150000 83.027 -51.9140
10.300000 83.208 -53.0498
10.440000 83.373 -54.1002
10.600000 83.555 -55.2864
10.750000 83.720 -56.3827
10.900000 83.880 -57.4639
11.060000 84.046 -58.5969
11.200000 84.186 -59.5714
11.380000 84.362 -60.8006
11.500000 84.476 -61.6047
11.720000 84.680 -63.0494
11.800000 84.753 -63.5658
12.060000 84.983 -65.2125
12.200000 85.105 -66.0830
12.410000 85.282 -67.3682
12.500000 85.357 -67.9136
12.650000 85.480 -68.8144
12.800000 85.601 -69.7066
13.150000 85.873 -71.7588
13.200000 85.911 -72.0485
13.400000 86.059 -73.1987
13.600000 86.203 -74.3337
13.800000 86.343 -75.4531
14.000000 86.478 -76.5557
14.300000 86.674 -78.1775
14.500000 86.799 -79.2369
14.750000 86.952 -80.5373
15.000000 87.099 -81.8113
15.250000 87.241 -83.0596
15.500000 87.379 -84.2824
15.750000 87.513 -85.4803
16.000000 87.643 -86.6544
16.250000 87.770 -87.8075
16.500000 87.893 -88.9416
16.750000 88.013 -90.0599
17.000000 88.129 -91.1641
17.250000 88.241 -92.2537
17.500000 88.348 -93.3279
17.750000 88.452 -94.3822
18.000000 88.551 -95.4147
18.250000 88.647 -96.4228
18.500000 88.741 -97.4071
18.750000 88.832 -98.3710
19.000000 88.922 -99.3176
19.250000 89.010 -100.2532
19.500000 89.096 -101.1795
19.750000 89.179 -102.0977
20.000000 89.259 -103.0052
20.299999 89.350 -104.0745
20.600000 89.437 -105.1174
20.900000 89.522 -106.1316
21.200001 89.605 -107.1208
21.400000 89.659 -107.7715
21.799999 89.767 -109.0611
22.000000 89.819 -109.7032
22.400000 89.918 -110.9812
22.700001 89.987 -111.9259
23.000000 90.052 -112.8482
23.299999 90.114 -113.7431
23.600000 90.175 -114.6121
24.000000 90.255 -115.7399
24.299999 90.314 -116.5729
24.700001 90.390 -117.6747
25.000000 90.445 -118.4936
25.400000 90.515 -119.5682
25.799999 90.580 -120.6153
26.200001 90.644 -121.6359
26.500000 90.690 -122.3890
26.900000 90.751 -123.3832
27.200001 90.794 -124.1228
27.600000 90.848 -125.0977
28.000000 90.899 -126.0525
28.500000 90.957 -127.2096
29.000000 91.013 -128.3266
29.500000 91.066 -129.4093
30.000000 91.118 -130.4645
30.400000 91.158 -131.2932
30.700001 91.188 -131.9079
31.100000 91.226 -132.7207
31.500000 91.262 -133.5262
32.000000 91.304 -134.5184
32.500000 91.341 -135.4866
33.000000 91.376 -136.4258
33.500000 91.410 -137.3388
34.000000 91.443 -138.2327
34.500000 91.474 -139.1127
35.000000 91.503 -139.9796
35.500000 91.531 -140.8323
36.000000 91.556 -141.6708
36.500000 91.579 -142.4953
37.000000 91.600 -143.3019
37.500000 91.617 -144.0819
38.200001 91.640 -145.1195
38.700001 91.658 -145.8314
39.500000 91.691 -146.9632
40.000000 91.709 -147.6749
40.599998 91.729 -148.5225
41.200001 91.745 -149.3544
41.799999 91.759 -150.1750
42.500000 91.771 -151.1151
43.099998 91.778 -151.8906
43.700001 91.785 -152.6390
44.400002 91.793 -153.5007
45.000000 91.798 -154.2336
45.500000 91.801 -154.8293
46.200001 91.803 -155.6353
46.799999 91.806 -156.3091
47.500000 91.809 -157.0793
48.200001 91.815 -157.8419
48.700001 91.819 -158.4003
49.400002 91.817 -159.2026
50.000000 91.807 -159.8601
50.799999 91.789 -160.6286
51.500000 91.782 -161.2461
52.200001 91.780 -161.8822
53.000000 91.774 -162.6242
53.799999 91.764 -163.3440
54.500000 91.754 -163.9603
55.200001 91.743 -164.5676
56.000000 91.728 -165.2430
57.000000 91.710 -166.0646
58.000000 91.691 -166.8690
59.000000 91.671 -167.6633
60.000000 91.650 -168.4395
60.799999 91.634 -169.0404
61.500000 91.619 -169.5592
62.200001 91.604 -170.0717
63.000000 91.585 -170.6398
64.000000 91.561 -171.3232
65.000000 91.537 -171.9883
66.000000 91.510 -172.6386
67.000000 91.482 -173.2743
68.000000 91.451 -173.8871
69.000000 91.421 -174.4797
70.000000 91.392 -175.0658
71.000000 91.362 -175.6430
72.000000 91.333 -176.2081
73.000000 91.302 -176.7650
74.000000 91.270 -177.2990
75.000000 91.239 -177.8076
76.199997 91.201 -178.4103
77.500000 91.157 -179.0449
78.800003 91.113 -179.6571
80.000000 91.071 179.7935
81.199997 91.028 179.2632
82.500000 90.983 178.7069
83.800003 90.938 178.1612
85.000000 90.895 177.6735
86.199997 90.853 177.2060
87.500000 90.808 176.7076
88.500000 90.773 176.3339
90.000000 90.719 175.7928
91.199997 90.676 175.3695
92.500000 90.628 174.9257
93.800003 90.580 174.4979
95.000000 90.536 174.1125
96.199997 90.493 173.7369
97.500000 90.447 173.3409
98.800003 90.401 172.9533
100.000000 90.357 172.6048
101.500000 90.301 172.1949
103.000000 90.245 171.8090
104.400002 90.193 171.4612
106.000000 90.134 171.0691
107.500000 90.079 170.7030
109.000000 90.023 170.3510
110.599998 89.965 169.9984
112.000000 89.915 169.7051
113.800003 89.852 169.3354
115.000000 89.810 169.0915
117.199997 89.729 168.6710
118.000000 89.700 168.5274
120.599998 89.605 168.0788
122.000000 89.556 167.8482
124.099998 89.484 167.5092
125.000000 89.453 167.3641
126.500000 89.401 167.1315
128.000000 89.348 166.9163
131.500000 89.225 166.4695
132.000000 89.208 166.4117
134.000000 89.141 166.1796
136.000000 89.074 165.9351
138.000000 89.007 165.6998
140.000000 88.941 165.4850
143.000000 88.843 165.2004
145.000000 88.775 165.0215
147.500000 88.688 164.7911
150.000000 88.603 164.5921
152.500000 88.531 164.4224
155.000000 88.460 164.2535
157.500000 88.383 164.1120
160.000000 88.306 163.9809
162.500000 88.231 163.8561
165.000000 88.157 163.7439
167.500000 88.084 163.6494
170.000000 88.012 163.5676
172.500000 87.941 163.4931
175.000000 87.871 163.4286
177.500000 87.801 163.3755
180.000000 87.731 163.3293
182.500000 87.663 163.2869
185.000000 87.596 163.2537
187.500000 87.528 163.2319
190.000000 87.462 163.2228
192.500000 87.397 163.2193
195.000000 87.333 163.2274
197.500000 87.271 163.2580
200.000000 87.210 163.2874
203.000000 87.134 163.3085
206.000000 87.059 163.3375
209.000000 86.988 163.3792
212.000000 86.917 163.4466
214.000000 86.872 163.4993
218.000000 86.782 163.6000
220.000000 86.737 163.6558
224.000000 86.651 163.7827
227.000000 86.588 163.8720
230.000000 86.523 163.9647
233.000000 86.458 164.0692
236.000000 86.395 164.1828
240.000000 86.314 164.3554
243.000000 86.254 164.4788
247.000000 86.173 164.6283
250.000000 86.114 164.7618
254.000000 86.042 164.9755
258.000000 85.968 165.1911
262.000000 85.895 165.4201
265.000000 85.843 165.5955
269.000000 85.775 165.8166
272.000000 85.723 165.9815
276.000000 85.654 166.2194
280.000000 85.587 166.4732
285.000000 85.508 166.8029
290.000000 85.432 167.1348
295.000000 85.359 167.4738
300.000000 85.285 167.8218
