* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -29.7 dBFS, measurement signal peak level -24.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 29/08/2024 8:09:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0669 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: MP145 Sample 2 Bass R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.209 127.7459
1.015000 45.378 126.4746
1.030000 45.546 125.2240
1.044000 45.703 124.0790
1.060000 45.882 122.8006
1.075000 46.049 121.6354
1.090000 46.215 120.5062
1.106000 46.391 119.3426
1.120000 46.547 118.3439
1.138000 46.748 117.0806
1.150000 46.884 116.2508
1.172000 47.134 114.7538
1.180000 47.226 114.2168
1.206000 47.526 112.4969
1.220000 47.688 111.5857
1.241000 47.933 110.2370
1.250000 48.038 109.6651
1.265000 48.214 108.7195
1.280000 48.390 107.7826
1.315000 48.802 105.6263
1.320000 48.861 105.3212
1.340000 49.097 104.1071
1.360000 49.332 102.9016
1.380000 49.566 101.7029
1.400000 49.799 100.5091
1.430000 50.147 98.7235
1.450000 50.376 97.5338
1.475000 50.661 96.0449
1.500000 50.946 94.5580
1.525000 51.232 93.0763
1.550000 51.517 91.6021
1.575000 51.803 90.1376
1.600000 52.087 88.6851
1.625000 52.371 87.2469
1.650000 52.654 85.8251
1.675000 52.935 84.4221
1.700000 53.215 83.0400
1.725000 53.492 81.6812
1.750000 53.766 80.3479
1.775000 54.038 79.0423
1.800000 54.306 77.7667
1.825000 54.571 76.5234
1.850000 54.832 75.3146
1.875000 55.091 74.1404
1.900000 55.347 72.9981
1.925000 55.601 71.8854
1.950000 55.853 70.7996
1.975000 56.102 69.7382
2.000000 56.349 68.6985
2.030000 56.643 67.4762
2.060000 56.932 66.2771
2.090000 57.219 65.0970
2.120000 57.502 63.9313
2.140000 57.688 63.1600
2.180000 58.057 61.6256
2.200000 58.239 60.8600
2.240000 58.598 59.3479
2.270000 58.862 58.2357
2.300000 59.123 57.1413
2.330000 59.381 56.0641
2.360000 59.635 55.0033
2.400000 59.968 53.6131
2.430000 60.215 52.5876
2.470000 60.538 51.2418
2.500000 60.778 50.2476
2.540000 61.093 48.9408
2.580000 61.404 47.6546
2.620000 61.708 46.3947
2.650000 61.933 45.4671
2.690000 62.227 44.2526
2.720000 62.445 43.3575
2.760000 62.730 42.1841
2.800000 63.011 41.0325
2.850000 63.356 39.6213
2.900000 63.696 38.2392
2.950000 64.029 36.8851
3.000000 64.355 35.5697
3.040000 64.610 34.5443
3.070000 64.799 33.7891
3.110000 65.047 32.7983
3.150000 65.292 31.8237
3.200000 65.592 30.6236
3.250000 65.888 29.4390
3.300000 66.179 28.2643
3.350000 66.465 27.1022
3.400000 66.745 25.9574
3.450000 67.019 24.8306
3.500000 67.289 23.7223
3.550000 67.554 22.6332
3.600000 67.815 21.5641
3.650000 68.073 20.5154
3.700000 68.326 19.4899
3.750000 68.575 18.4903
3.820000 68.917 17.1277
3.870000 69.156 16.1754
3.950000 69.531 14.6774
4.000000 69.761 13.7511
4.060000 70.033 12.6452
4.120000 70.300 11.5518
4.180000 70.562 10.4730
4.250000 70.862 9.2336
4.310000 71.114 8.1884
4.370000 71.363 7.1596
4.440000 71.647 5.9821
4.500000 71.887 4.9942
4.550000 72.083 4.1839
4.620000 72.353 3.0660
4.680000 72.581 2.1200
4.750000 72.842 1.0262
4.820000 73.098 -0.0578
4.870000 73.278 -0.8238
4.940000 73.525 -1.8845
5.000000 73.733 -2.7826
5.080000 74.006 -3.9641
5.150000 74.241 -4.9827
5.220000 74.471 -5.9862
5.300000 74.728 -7.1154
5.380000 74.980 -8.2274
5.450000 75.196 -9.1878
5.520000 75.408 -10.1375
5.600000 75.646 -11.2079
5.700000 75.937 -12.5239
5.800000 76.220 -13.8172
5.900000 76.498 -15.0892
6.000000 76.768 -16.3386
6.080000 76.979 -17.3223
6.150000 77.160 -18.1721
6.220000 77.339 -19.0125
6.300000 77.541 -19.9603
6.400000 77.786 -21.1258
6.500000 78.027 -22.2726
6.600000 78.262 -23.4038
6.700000 78.493 -24.5189
6.800000 78.718 -25.6172
6.900000 78.938 -26.7001
7.000000 79.154 -27.7687
7.100000 79.365 -28.8215
7.200000 79.572 -29.8597
7.300000 79.775 -30.8852
7.400000 79.973 -31.8988
7.500000 80.167 -32.8997
7.620000 80.395 -34.0841
7.750000 80.635 -35.3475
7.880000 80.868 -36.5898
8.000000 81.078 -37.7186
8.120000 81.283 -38.8308
8.250000 81.500 -40.0166
8.380000 81.710 -41.1832
8.500000 81.900 -42.2435
8.620000 82.086 -43.2873
8.750000 82.282 -44.4012
8.850000 82.429 -45.2467
9.000000 82.646 -46.4954
9.120000 82.815 -47.4793
9.250000 82.994 -48.5314
9.380000 83.169 -49.5684
9.500000 83.327 -50.5138
9.620000 83.482 -51.4483
9.750000 83.646 -52.4480
9.880000 83.806 -53.4356
10.000000 83.951 -54.3371
10.150000 84.128 -55.4498
10.300000 84.300 -56.5471
10.440000 84.456 -57.5575
10.600000 84.630 -58.6960
10.750000 84.789 -59.7477
10.900000 84.944 -60.7844
11.060000 85.104 -61.8737
11.200000 85.242 -62.8129
11.380000 85.413 -64.0021
11.500000 85.525 -64.7835
11.720000 85.725 -66.1934
11.800000 85.796 -66.6990
12.060000 86.020 -68.3168
12.200000 86.138 -69.1727
12.410000 86.309 -70.4368
12.500000 86.381 -70.9718
12.650000 86.499 -71.8543
12.800000 86.614 -72.7259
13.150000 86.874 -74.7191
13.200000 86.910 -74.9995
13.400000 87.052 -76.1098
13.600000 87.189 -77.2032
13.800000 87.323 -78.2801
14.000000 87.453 -79.3405
14.300000 87.641 -80.8997
14.500000 87.762 -81.9180
14.750000 87.908 -83.1661
15.000000 88.049 -84.3867
15.250000 88.186 -85.5801
15.500000 88.318 -86.7481
15.750000 88.447 -87.8924
16.000000 88.573 -89.0159
16.250000 88.695 -90.1211
16.500000 88.813 -91.2094
16.750000 88.927 -92.2819
17.000000 89.038 -93.3380
17.250000 89.145 -94.3766
17.500000 89.248 -95.3967
17.750000 89.347 -96.3970
18.000000 89.444 -97.3775
18.250000 89.537 -98.3387
18.500000 89.628 -99.2827
18.750000 89.717 -100.2117
19.000000 89.804 -101.1278
19.250000 89.888 -102.0333
19.500000 89.969 -102.9282
19.750000 90.048 -103.8122
20.000000 90.123 -104.6831
20.299999 90.209 -105.7070
20.600000 90.292 -106.7045
20.900000 90.372 -107.6744
21.200001 90.451 -108.6192
21.400000 90.503 -109.2393
21.799999 90.607 -110.4658
22.000000 90.657 -111.0763
22.400000 90.754 -112.2961
22.700001 90.823 -113.2045
23.000000 90.887 -114.0970
23.299999 90.947 -114.9631
23.600000 91.004 -115.7983
24.000000 91.081 -116.8675
24.299999 91.139 -117.6487
24.700001 91.219 -118.6837
25.000000 91.277 -119.4654
25.400000 91.352 -120.5146
25.799999 91.420 -121.5552
26.200001 91.482 -122.5665
26.500000 91.526 -123.3002
26.900000 91.583 -124.2498
27.200001 91.626 -124.9484
27.600000 91.682 -125.8709
28.000000 91.734 -126.7847
28.500000 91.795 -127.9030
29.000000 91.851 -128.9804
29.500000 91.904 -130.0185
30.000000 91.957 -131.0323
30.400000 91.998 -131.8329
30.700001 92.027 -132.4270
31.100000 92.065 -133.2071
31.500000 92.100 -133.9705
32.000000 92.142 -134.9010
32.500000 92.183 -135.8113
33.000000 92.224 -136.7101
33.500000 92.261 -137.5996
34.000000 92.296 -138.4752
34.500000 92.328 -139.3292
35.000000 92.358 -140.1591
35.500000 92.386 -140.9688
36.000000 92.414 -141.7635
36.500000 92.440 -142.5445
37.000000 92.465 -143.3101
37.500000 92.488 -144.0611
38.200001 92.519 -145.0957
38.700001 92.538 -145.8235
39.500000 92.565 -146.9538
40.000000 92.581 -147.6373
40.599998 92.599 -148.4448
41.200001 92.616 -149.2422
41.799999 92.630 -150.0193
42.500000 92.646 -150.8951
43.099998 92.661 -151.6342
43.700001 92.674 -152.3690
44.400002 92.687 -153.2079
45.000000 92.696 -153.9055
45.500000 92.703 -154.4753
46.200001 92.711 -155.2545
46.799999 92.716 -155.9047
47.500000 92.720 -156.6518
48.200001 92.720 -157.3742
48.700001 92.719 -157.8562
49.400002 92.723 -158.4971
50.000000 92.732 -159.0711
50.799999 92.739 -159.9072
51.500000 92.734 -160.6351
52.200001 92.725 -161.3072
53.000000 92.719 -162.0403
53.799999 92.714 -162.7710
54.500000 92.709 -163.3999
55.200001 92.703 -164.0115
56.000000 92.696 -164.6901
57.000000 92.687 -165.5160
58.000000 92.676 -166.3211
59.000000 92.663 -167.0945
60.000000 92.649 -167.8487
60.799999 92.636 -168.4477
61.500000 92.623 -168.9627
62.200001 92.610 -169.4642
63.000000 92.594 -170.0244
64.000000 92.575 -170.7120
65.000000 92.555 -171.3824
66.000000 92.535 -172.0390
67.000000 92.514 -172.6833
68.000000 92.490 -173.3056
69.000000 92.465 -173.9061
70.000000 92.441 -174.4936
71.000000 92.416 -175.0761
72.000000 92.389 -175.6463
73.000000 92.361 -176.1917
74.000000 92.335 -176.7233
75.000000 92.310 -177.2550
76.199997 92.278 -177.8846
77.500000 92.240 -178.5406
78.800003 92.202 -179.1703
80.000000 92.167 -179.7356
81.199997 92.131 179.7086
82.500000 92.091 179.1176
83.800003 92.050 178.5541
85.000000 92.013 178.0487
86.199997 91.976 177.5514
87.500000 91.935 177.0306
88.500000 91.904 176.6431
90.000000 91.856 176.0781
91.199997 91.816 175.6376
92.500000 91.773 175.1747
93.800003 91.729 174.7225
95.000000 91.689 174.3116
96.199997 91.649 173.9072
97.500000 91.606 173.4769
98.800003 91.563 173.0579
100.000000 91.524 172.6813
101.500000 91.473 172.2462
103.000000 91.426 171.8354
104.400002 91.381 171.4517
106.000000 91.327 171.0207
107.500000 91.277 170.6298
109.000000 91.227 170.2415
110.599998 91.174 169.8343
112.000000 91.128 169.4900
113.800003 91.069 169.0623
115.000000 91.030 168.7883
117.199997 90.958 168.3022
118.000000 90.932 168.1306
120.599998 90.845 167.5892
122.000000 90.798 167.3027
124.099998 90.728 166.8832
125.000000 90.698 166.7091
126.500000 90.648 166.4263
128.000000 90.598 166.1559
131.500000 90.477 165.5607
132.000000 90.459 165.4758
134.000000 90.389 165.1489
136.000000 90.322 164.8528
138.000000 90.260 164.5671
140.000000 90.197 164.3058
143.000000 90.099 163.9350
145.000000 90.033 163.6778
147.500000 89.952 163.3422
150.000000 89.870 163.0246
152.500000 89.788 162.8029
155.000000 89.711 162.6014
157.500000 89.632 162.3921
160.000000 89.554 162.1940
162.500000 89.478 162.0052
165.000000 89.400 161.8234
167.500000 89.322 161.6486
170.000000 89.246 161.4888
172.500000 89.173 161.3419
175.000000 89.099 161.2089
177.500000 89.026 161.0871
180.000000 88.953 160.9742
182.500000 88.881 160.8739
185.000000 88.809 160.7855
187.500000 88.738 160.7032
190.000000 88.669 160.6268
192.500000 88.600 160.5617
195.000000 88.532 160.5070
197.500000 88.464 160.4568
200.000000 88.395 160.4206
203.000000 88.316 160.4014
206.000000 88.238 160.3824
209.000000 88.161 160.3703
212.000000 88.085 160.3687
214.000000 88.035 160.3745
218.000000 87.938 160.4038
220.000000 87.890 160.4197
224.000000 87.796 160.4511
227.000000 87.726 160.4785
230.000000 87.655 160.5100
233.000000 87.585 160.5475
236.000000 87.517 160.5961
240.000000 87.426 160.6837
243.000000 87.359 160.7535
247.000000 87.271 160.8358
250.000000 87.207 160.9123
254.000000 87.121 161.0674
258.000000 87.036 161.2264
262.000000 86.953 161.3723
265.000000 86.893 161.4837
269.000000 86.815 161.6431
272.000000 86.756 161.7758
276.000000 86.677 161.9600
280.000000 86.601 162.1442
285.000000 86.508 162.3754
290.000000 86.417 162.6261
295.000000 86.328 162.8940
