* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -28.5 dBFS, measurement signal peak level -25.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 29/08/2024 8:03:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0492 ms (-17 mm, -0.66 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: MP145 Sample 2 Treble L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.702 128.1334
1.015000 43.778 126.9803
1.030000 43.856 125.8441
1.044000 43.931 124.8017
1.060000 44.020 123.6354
1.075000 44.107 122.5695
1.090000 44.197 121.5336
1.106000 44.296 120.4626
1.120000 44.387 119.5398
1.138000 44.508 118.3680
1.150000 44.591 117.5955
1.172000 44.750 116.1967
1.180000 44.809 115.6934
1.206000 45.008 114.0763
1.220000 45.118 113.2167
1.241000 45.288 111.9411
1.250000 45.362 111.3992
1.265000 45.488 110.5020
1.280000 45.616 109.6119
1.315000 45.921 107.5601
1.320000 45.965 107.2697
1.340000 46.144 106.1137
1.360000 46.326 104.9664
1.380000 46.509 103.8267
1.400000 46.694 102.6935
1.430000 46.974 101.0038
1.450000 47.161 99.8823
1.475000 47.396 98.4842
1.500000 47.636 97.0882
1.525000 47.883 95.6963
1.550000 48.135 94.3112
1.575000 48.392 92.9354
1.600000 48.653 91.5717
1.625000 48.917 90.2227
1.650000 49.184 88.8911
1.675000 49.452 87.5795
1.700000 49.721 86.2905
1.725000 49.990 85.0268
1.750000 50.258 83.7911
1.775000 50.525 82.5860
1.800000 50.790 81.4142
1.825000 51.052 80.2782
1.850000 51.312 79.1815
1.875000 51.572 78.1247
1.900000 51.834 77.1048
1.925000 52.095 76.1184
1.950000 52.357 75.1619
1.975000 52.619 74.2322
2.000000 52.881 73.3258
2.030000 53.194 72.2641
2.060000 53.505 71.2252
2.090000 53.814 70.2034
2.120000 54.121 69.1928
2.140000 54.323 68.5225
2.180000 54.724 67.1820
2.200000 54.921 66.5085
2.240000 55.313 65.1775
2.270000 55.604 64.1998
2.300000 55.894 63.2383
2.330000 56.181 62.2917
2.360000 56.465 61.3588
2.400000 56.841 60.1338
2.430000 57.119 59.2277
2.470000 57.486 58.0338
2.500000 57.758 57.1475
2.540000 58.115 55.9755
2.580000 58.467 54.8130
2.620000 58.814 53.6675
2.650000 59.070 52.8203
2.690000 59.408 51.7054
2.720000 59.658 50.8796
2.760000 59.986 49.7912
2.800000 60.310 48.7161
2.850000 60.708 47.3888
2.900000 61.098 46.0775
2.950000 61.480 44.7808
3.000000 61.854 43.5069
3.040000 62.147 42.5039
3.070000 62.364 41.7597
3.110000 62.648 40.7768
3.150000 62.928 39.8028
3.200000 63.272 38.5952
3.250000 63.608 37.3952
3.300000 63.938 36.1991
3.350000 64.261 35.0055
3.400000 64.576 33.8172
3.450000 64.884 32.6372
3.500000 65.185 31.4686
3.550000 65.479 30.3145
3.600000 65.768 29.1779
3.650000 66.051 28.0620
3.700000 66.328 26.9684
3.750000 66.598 25.8947
3.820000 66.965 24.4217
3.870000 67.221 23.3886
3.950000 67.619 21.7639
4.000000 67.862 20.7635
4.060000 68.147 19.5755
4.120000 68.425 18.4012
4.180000 68.694 17.2436
4.250000 69.001 15.9183
4.310000 69.257 14.8076
4.370000 69.508 13.7233
4.440000 69.795 12.4953
4.500000 70.035 11.4732
4.550000 70.230 10.6409
4.620000 70.497 9.5022
4.680000 70.722 8.5479
4.750000 70.980 7.4561
4.820000 71.234 6.3878
4.870000 71.412 5.6421
4.940000 71.656 4.6206
5.000000 71.862 3.7639
5.080000 72.133 2.6460
5.150000 72.368 1.6884
5.220000 72.599 0.7569
5.300000 72.858 -0.2791
5.380000 73.114 -1.2928
5.450000 73.336 -2.1686
5.520000 73.556 -3.0387
5.600000 73.805 -4.0159
5.700000 74.111 -5.2161
5.800000 74.413 -6.4059
5.900000 74.711 -7.5972
6.000000 75.005 -8.7819
6.080000 75.237 -9.7265
6.150000 75.437 -10.5540
6.220000 75.634 -11.3848
6.300000 75.855 -12.3386
6.400000 76.128 -13.5341
6.500000 76.395 -14.7333
6.600000 76.654 -15.9367
6.700000 76.906 -17.1480
6.800000 77.151 -18.3644
6.900000 77.389 -19.5785
7.000000 77.619 -20.7846
7.100000 77.842 -21.9894
7.200000 78.056 -23.1874
7.300000 78.264 -24.3701
7.400000 78.464 -25.5344
7.500000 78.657 -26.6861
7.620000 78.879 -28.0413
7.750000 79.112 -29.4642
7.880000 79.334 -30.8442
8.000000 79.532 -32.0783
8.120000 79.725 -33.2705
8.250000 79.929 -34.5142
8.380000 80.128 -35.7158
8.500000 80.309 -36.7910
8.620000 80.489 -37.8294
8.750000 80.681 -38.9275
8.850000 80.828 -39.7603
9.000000 81.049 -40.9808
9.120000 81.223 -41.9464
9.250000 81.411 -42.9917
9.380000 81.598 -44.0307
9.500000 81.767 -44.9904
9.620000 81.934 -45.9553
9.750000 82.111 -47.0032
9.880000 82.284 -48.0503
10.000000 82.439 -49.0174
10.150000 82.627 -50.2248
10.300000 82.808 -51.4153
10.440000 82.970 -52.5137
10.600000 83.148 -53.7431
10.750000 83.309 -54.8612
10.900000 83.465 -55.9486
11.060000 83.627 -57.0681
11.200000 83.766 -58.0126
11.380000 83.943 -59.1898
11.500000 84.060 -59.9499
11.720000 84.275 -61.3090
11.800000 84.353 -61.7970
12.060000 84.607 -63.3616
12.200000 84.743 -64.2064
12.410000 84.946 -65.4762
12.500000 85.031 -66.0248
12.650000 85.171 -66.9455
12.800000 85.307 -67.8697
13.150000 85.609 -70.0332
13.200000 85.651 -70.3397
13.400000 85.810 -71.5602
13.600000 85.961 -72.7580
13.800000 86.106 -73.9279
14.000000 86.244 -75.0655
14.300000 86.444 -76.7107
14.500000 86.572 -77.7697
14.750000 86.728 -79.0596
15.000000 86.880 -80.3169
15.250000 87.028 -81.5498
15.500000 87.172 -82.7604
15.750000 87.310 -83.9496
16.000000 87.444 -85.1169
16.250000 87.573 -86.2618
16.500000 87.699 -87.3850
16.750000 87.820 -88.4877
17.000000 87.938 -89.5734
17.250000 88.052 -90.6437
17.500000 88.163 -91.7007
17.750000 88.270 -92.7449
18.000000 88.374 -93.7757
18.250000 88.474 -94.7922
18.500000 88.570 -95.7928
18.750000 88.663 -96.7773
19.000000 88.753 -97.7455
19.250000 88.840 -98.6985
19.500000 88.925 -99.6373
19.750000 89.008 -100.5627
20.000000 89.088 -101.4758
20.299999 89.181 -102.5552
20.600000 89.270 -103.6158
20.900000 89.357 -104.6563
21.200001 89.440 -105.6750
21.400000 89.493 -106.3414
21.799999 89.598 -107.6447
22.000000 89.649 -108.2826
22.400000 89.750 -109.5350
22.700001 89.824 -110.4577
23.000000 89.896 -111.3698
23.299999 89.966 -112.2726
23.600000 90.033 -113.1658
24.000000 90.119 -114.3392
24.299999 90.180 -115.2031
24.700001 90.258 -116.3306
25.000000 90.313 -117.1575
25.400000 90.385 -118.2370
25.799999 90.454 -119.2939
26.200001 90.520 -120.3319
26.500000 90.567 -121.0986
26.900000 90.627 -122.1042
27.200001 90.670 -122.8444
27.600000 90.725 -123.8110
28.000000 90.777 -124.7544
28.500000 90.840 -125.9051
29.000000 90.901 -127.0317
29.500000 90.959 -128.1392
30.000000 91.014 -129.2262
30.400000 91.055 -130.0781
30.700001 91.084 -130.7057
31.100000 91.123 -131.5285
31.500000 91.159 -132.3372
32.000000 91.203 -133.3306
32.500000 91.243 -134.3024
33.000000 91.281 -135.2469
33.500000 91.316 -136.1619
34.000000 91.351 -137.0526
34.500000 91.385 -137.9287
35.000000 91.418 -138.7963
35.500000 91.447 -139.6545
36.000000 91.474 -140.4976
36.500000 91.498 -141.3217
37.000000 91.520 -142.1265
37.500000 91.541 -142.9143
38.200001 91.569 -143.9929
38.700001 91.587 -144.7481
39.500000 91.613 -145.9306
40.000000 91.628 -146.6499
40.599998 91.645 -147.4906
41.200001 91.662 -148.3154
41.799999 91.678 -149.1340
42.500000 91.693 -150.0737
43.099998 91.702 -150.8469
43.700001 91.711 -151.5889
44.400002 91.720 -152.4306
45.000000 91.725 -153.1305
45.500000 91.729 -153.6902
46.200001 91.738 -154.4564
46.799999 91.746 -155.1376
47.500000 91.745 -155.9589
48.200001 91.733 -156.7155
48.700001 91.725 -157.1859
49.400002 91.729 -157.8179
50.000000 91.740 -158.4268
50.799999 91.746 -159.3339
51.500000 91.737 -160.1064
52.200001 91.725 -160.8137
53.000000 91.715 -161.5834
53.799999 91.706 -162.3338
54.500000 91.698 -162.9701
55.200001 91.690 -163.5907
56.000000 91.680 -164.2803
57.000000 91.666 -165.1152
58.000000 91.649 -165.9274
59.000000 91.629 -166.7092
60.000000 91.609 -167.4681
60.799999 91.591 -168.0638
61.500000 91.576 -168.5753
62.200001 91.560 -169.0782
63.000000 91.542 -169.6449
64.000000 91.518 -170.3395
65.000000 91.494 -171.0182
66.000000 91.468 -171.6861
67.000000 91.439 -172.3254
68.000000 91.410 -172.9319
69.000000 91.383 -173.5285
70.000000 91.355 -174.1181
71.000000 91.326 -174.6960
72.000000 91.297 -175.2603
73.000000 91.267 -175.8085
74.000000 91.236 -176.3409
75.000000 91.205 -176.8596
76.199997 91.167 -177.4668
77.500000 91.125 -178.1042
78.800003 91.083 -178.7204
80.000000 91.043 -179.2680
81.199997 91.003 -179.7978
82.500000 90.959 179.6409
83.800003 90.915 179.0935
85.000000 90.873 178.6038
86.199997 90.831 178.1277
87.500000 90.785 177.6270
88.500000 90.750 177.2538
90.000000 90.697 176.7147
91.199997 90.655 176.2982
92.500000 90.609 175.8593
93.800003 90.562 175.4315
95.000000 90.520 175.0444
96.199997 90.477 174.6642
97.500000 90.432 174.2623
98.800003 90.386 173.8643
100.000000 90.342 173.5106
101.500000 90.285 173.1133
103.000000 90.232 172.7365
104.400002 90.182 172.3883
106.000000 90.125 171.9926
107.500000 90.071 171.6313
109.000000 90.016 171.2852
110.599998 89.959 170.9312
112.000000 89.909 170.6353
113.800003 89.846 170.2719
115.000000 89.803 170.0382
117.199997 89.726 169.6223
118.000000 89.698 169.4747
120.599998 89.605 169.0191
122.000000 89.556 168.7896
124.099998 89.484 168.4561
125.000000 89.453 168.3165
126.500000 89.401 168.0902
128.000000 89.350 167.8744
131.500000 89.231 167.4124
132.000000 89.214 167.3499
134.000000 89.148 167.1053
136.000000 89.082 166.8724
138.000000 89.017 166.6549
140.000000 88.951 166.4554
143.000000 88.852 166.1762
145.000000 88.787 165.9851
147.500000 88.711 165.7419
150.000000 88.634 165.5188
152.500000 88.553 165.3865
155.000000 88.475 165.2662
157.500000 88.398 165.1237
160.000000 88.323 164.9863
162.500000 88.249 164.8732
165.000000 88.175 164.7794
167.500000 88.102 164.6880
170.000000 88.030 164.6007
172.500000 87.960 164.5272
175.000000 87.890 164.4678
177.500000 87.821 164.4197
180.000000 87.752 164.3798
182.500000 87.684 164.3454
185.000000 87.617 164.3187
187.500000 87.552 164.3028
190.000000 87.486 164.2969
192.500000 87.422 164.2998
195.000000 87.360 164.3055
197.500000 87.300 164.3094
200.000000 87.239 164.3201
203.000000 87.164 164.3734
206.000000 87.091 164.4476
209.000000 87.021 164.5163
212.000000 86.952 164.5831
214.000000 86.906 164.6315
218.000000 86.816 164.7380
220.000000 86.771 164.7983
224.000000 86.684 164.9306
227.000000 86.619 165.0370
230.000000 86.556 165.1523
233.000000 86.495 165.2770
236.000000 86.436 165.4059
240.000000 86.361 165.5731
243.000000 86.306 165.6938
247.000000 86.234 165.8483
250.000000 86.179 165.9754
254.000000 86.105 166.2028
258.000000 86.032 166.4409
262.000000 85.961 166.6651
265.000000 85.910 166.8392
269.000000 85.842 167.0812
272.000000 85.792 167.2609
276.000000 85.727 167.5046
280.000000 85.664 167.7595
285.000000 85.586 168.0862
290.000000 85.511 168.4203
295.000000 85.438 168.7720
300.000000 85.368 169.1340
