* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -29.0 dBFS, measurement signal peak level -24.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 29/08/2024 8:07:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0663 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: MP145 Sample 2 Treble R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 43.496 120.8734
1.015000 43.714 119.5861
1.030000 43.930 118.3273
1.044000 44.130 117.1819
1.060000 44.357 115.9121
1.075000 44.567 114.7643
1.090000 44.774 113.6619
1.106000 44.992 112.5384
1.120000 45.183 111.5872
1.138000 45.428 110.4018
1.150000 45.592 109.6334
1.172000 45.892 108.2673
1.180000 46.001 107.7832
1.206000 46.355 106.2525
1.220000 46.545 105.4529
1.241000 46.830 104.2818
1.250000 46.952 103.7893
1.265000 47.154 102.9795
1.280000 47.357 102.1820
1.315000 47.826 100.3593
1.320000 47.892 100.1023
1.340000 48.158 99.0801
1.360000 48.422 98.0642
1.380000 48.685 97.0502
1.400000 48.945 96.0340
1.430000 49.332 94.4965
1.450000 49.587 93.4565
1.475000 49.901 92.1346
1.500000 50.214 90.8046
1.525000 50.524 89.4735
1.550000 50.832 88.1441
1.575000 51.137 86.8194
1.600000 51.440 85.5021
1.625000 51.741 84.1951
1.650000 52.038 82.9011
1.675000 52.333 81.6231
1.700000 52.625 80.3638
1.725000 52.913 79.1260
1.750000 53.199 77.9126
1.775000 53.482 76.7264
1.800000 53.761 75.5703
1.825000 54.036 74.4471
1.850000 54.308 73.3591
1.875000 54.577 72.3053
1.900000 54.843 71.2828
1.925000 55.105 70.2890
1.950000 55.364 69.3208
1.975000 55.619 68.3756
2.000000 55.872 67.4505
2.030000 56.172 66.3630
2.060000 56.468 65.2955
2.090000 56.759 64.2432
2.120000 57.048 63.2012
2.140000 57.238 62.5099
2.180000 57.613 61.1287
2.200000 57.799 60.4361
2.240000 58.165 59.0629
2.270000 58.435 58.0490
2.300000 58.700 57.0483
2.330000 58.962 56.0606
2.360000 59.219 55.0856
2.400000 59.558 53.8044
2.430000 59.808 52.8573
2.470000 60.136 51.6122
2.500000 60.379 50.6912
2.540000 60.699 49.4796
2.580000 61.015 48.2864
2.620000 61.324 47.1145
2.650000 61.552 46.2495
2.690000 61.852 45.1143
2.720000 62.073 44.2760
2.760000 62.363 43.1752
2.800000 62.648 42.0931
2.850000 62.999 40.7656
2.900000 63.344 39.4645
2.950000 63.683 38.1899
3.000000 64.015 36.9518
3.040000 64.276 35.9861
3.070000 64.468 35.2742
3.110000 64.721 34.3391
3.150000 64.971 33.4173
3.200000 65.277 32.2791
3.250000 65.579 31.1510
3.300000 65.876 30.0271
3.350000 66.168 28.9084
3.400000 66.454 27.8001
3.450000 66.734 26.7043
3.500000 67.010 25.6229
3.550000 67.281 24.5582
3.600000 67.548 23.5121
3.650000 67.811 22.4868
3.700000 68.070 21.4854
3.750000 68.324 20.5092
3.820000 68.672 19.1769
3.870000 68.916 18.2444
3.950000 69.299 16.7736
4.000000 69.534 15.8611
4.060000 69.811 14.7678
4.120000 70.083 13.6817
4.180000 70.350 12.6060
4.250000 70.654 11.3673
4.310000 70.911 10.3221
4.370000 71.163 9.2943
4.440000 71.452 8.1205
4.500000 71.695 7.1362
4.550000 71.894 6.3291
4.620000 72.167 5.2155
4.680000 72.398 4.2729
4.750000 72.662 3.1826
4.820000 72.921 2.1010
4.870000 73.103 1.3361
4.940000 73.353 0.2766
5.000000 73.564 -0.6204
5.080000 73.840 -1.7999
5.150000 74.077 -2.8156
5.220000 74.309 -3.8151
5.300000 74.569 -4.9389
5.380000 74.824 -6.0451
5.450000 75.043 -7.0005
5.520000 75.258 -7.9455
5.600000 75.499 -9.0104
5.700000 75.794 -10.3196
5.800000 76.081 -11.6066
5.900000 76.362 -12.8733
6.000000 76.636 -14.1182
6.080000 76.851 -15.0988
6.150000 77.035 -15.9465
6.220000 77.217 -16.7850
6.300000 77.422 -17.7311
6.400000 77.672 -18.8951
6.500000 77.916 -20.0413
6.600000 78.155 -21.1728
6.700000 78.390 -22.2896
6.800000 78.619 -23.3905
6.900000 78.843 -24.4767
7.000000 79.062 -25.5486
7.100000 79.277 -26.6052
7.200000 79.487 -27.6476
7.300000 79.693 -28.6777
7.400000 79.894 -29.6966
7.500000 80.092 -30.7032
7.620000 80.322 -31.8950
7.750000 80.566 -33.1665
7.880000 80.803 -34.4173
8.000000 81.015 -35.5539
8.120000 81.223 -36.6737
8.250000 81.441 -37.8677
8.380000 81.654 -39.0415
8.500000 81.845 -40.1071
8.620000 82.032 -41.1552
8.750000 82.229 -42.2717
8.850000 82.378 -43.1175
9.000000 82.595 -44.3639
9.120000 82.765 -45.3438
9.250000 82.945 -46.3890
9.380000 83.122 -47.4166
9.500000 83.281 -48.3519
9.620000 83.437 -49.2753
9.750000 83.603 -50.2613
9.880000 83.766 -51.2356
10.000000 83.913 -52.1254
10.150000 84.094 -53.2241
10.300000 84.270 -54.3102
10.440000 84.430 -55.3125
10.600000 84.609 -56.4449
10.750000 84.773 -57.4948
10.900000 84.932 -58.5327
11.060000 85.097 -59.6261
11.200000 85.238 -60.5714
11.380000 85.415 -61.7705
11.500000 85.529 -62.5596
11.720000 85.733 -63.9850
11.800000 85.806 -64.4966
12.060000 86.035 -66.1346
12.200000 86.155 -67.0019
12.410000 86.330 -68.2839
12.500000 86.403 -68.8267
12.650000 86.523 -69.7225
12.800000 86.640 -70.6072
13.150000 86.902 -72.6283
13.200000 86.939 -72.9119
13.400000 87.082 -74.0332
13.600000 87.220 -75.1332
13.800000 87.355 -76.2115
14.000000 87.487 -77.2695
14.300000 87.679 -78.8202
14.500000 87.804 -79.8332
14.750000 87.957 -81.0810
15.000000 88.105 -82.3109
15.250000 88.249 -83.5266
15.500000 88.388 -84.7269
15.750000 88.521 -85.9105
16.000000 88.649 -87.0733
16.250000 88.772 -88.2107
16.500000 88.890 -89.3210
16.750000 89.004 -90.4022
17.000000 89.115 -91.4572
17.250000 89.224 -92.4888
17.500000 89.330 -93.5010
17.750000 89.434 -94.4984
18.000000 89.535 -95.4822
18.250000 89.632 -96.4536
18.500000 89.727 -97.4109
18.750000 89.818 -98.3526
19.000000 89.906 -99.2775
19.250000 89.992 -100.1852
19.500000 90.075 -101.0776
19.750000 90.156 -101.9565
20.000000 90.236 -102.8253
20.299999 90.328 -103.8565
20.600000 90.416 -104.8755
20.900000 90.501 -105.8794
21.200001 90.581 -106.8632
21.400000 90.632 -107.5051
21.799999 90.731 -108.7542
22.000000 90.780 -109.3624
22.400000 90.876 -110.5524
22.700001 90.947 -111.4294
23.000000 91.017 -112.2992
23.299999 91.085 -113.1635
23.600000 91.150 -114.0205
24.000000 91.232 -115.1456
24.299999 91.291 -115.9707
24.700001 91.366 -117.0415
25.000000 91.421 -117.8230
25.400000 91.492 -118.8406
25.799999 91.562 -119.8376
26.200001 91.629 -120.8200
26.500000 91.678 -121.5482
26.900000 91.740 -122.5061
27.200001 91.785 -123.2127
27.600000 91.841 -124.1368
28.000000 91.894 -125.0396
28.500000 91.958 -126.1404
29.000000 92.018 -127.2142
29.500000 92.075 -128.2626
30.000000 92.130 -129.2879
30.400000 92.173 -130.0951
30.700001 92.203 -130.6946
31.100000 92.242 -131.4862
31.500000 92.279 -132.2659
32.000000 92.323 -133.2174
32.500000 92.364 -134.1408
33.000000 92.405 -135.0420
33.500000 92.444 -135.9275
34.000000 92.482 -136.7970
34.500000 92.517 -137.6459
35.000000 92.551 -138.4739
35.500000 92.583 -139.2842
36.000000 92.613 -140.0769
36.500000 92.641 -140.8499
37.000000 92.668 -141.6058
37.500000 92.693 -142.3507
38.200001 92.723 -143.3724
38.700001 92.742 -144.0725
39.500000 92.774 -145.1450
40.000000 92.798 -145.8207
40.599998 92.824 -146.6606
41.200001 92.843 -147.5062
41.799999 92.857 -148.3188
42.500000 92.872 -149.2196
43.099998 92.885 -149.9706
43.700001 92.898 -150.7014
44.400002 92.912 -151.5220
45.000000 92.926 -152.2126
45.500000 92.936 -152.7880
46.200001 92.946 -153.5772
46.799999 92.953 -154.2253
47.500000 92.960 -154.9725
48.200001 92.963 -155.7227
48.700001 92.959 -156.2316
49.400002 92.956 -156.8761
50.000000 92.963 -157.4102
50.799999 92.978 -158.1957
51.500000 92.983 -158.9339
52.200001 92.979 -159.6411
53.000000 92.976 -160.3938
53.799999 92.974 -161.1238
54.500000 92.971 -161.7474
55.200001 92.968 -162.3493
56.000000 92.964 -163.0126
57.000000 92.959 -163.8213
58.000000 92.951 -164.6179
59.000000 92.940 -165.3922
60.000000 92.926 -166.1537
60.799999 92.914 -166.7517
61.500000 92.902 -167.2616
62.200001 92.891 -167.7617
63.000000 92.879 -168.3231
64.000000 92.864 -169.0129
65.000000 92.848 -169.6932
66.000000 92.831 -170.3526
67.000000 92.813 -170.9961
68.000000 92.794 -171.6300
69.000000 92.771 -172.2410
70.000000 92.749 -172.8294
71.000000 92.727 -173.4082
72.000000 92.704 -173.9795
73.000000 92.680 -174.5358
74.000000 92.656 -175.0793
75.000000 92.631 -175.6119
76.199997 92.600 -176.2301
77.500000 92.567 -176.8870
78.800003 92.532 -177.5285
80.000000 92.500 -178.1025
81.199997 92.466 -178.6597
82.500000 92.429 -179.2374
83.800003 92.393 -179.8034
85.000000 92.359 179.6821
86.199997 92.323 179.1782
87.500000 92.284 178.6468
88.500000 92.253 178.2525
90.000000 92.209 177.6729
91.199997 92.173 177.2189
92.500000 92.133 176.7418
93.800003 92.093 176.2775
95.000000 92.056 175.8631
96.199997 92.018 175.4624
97.500000 91.979 175.0392
98.800003 91.940 174.6229
100.000000 91.903 174.2393
101.500000 91.854 173.7759
103.000000 91.803 173.3398
104.400002 91.756 172.9431
106.000000 91.703 172.4991
107.500000 91.654 172.0951
109.000000 91.606 171.7040
110.599998 91.555 171.2988
112.000000 91.510 170.9541
113.800003 91.450 170.5244
115.000000 91.411 170.2493
117.199997 91.340 169.7565
118.000000 91.314 169.5828
120.599998 91.231 169.0421
122.000000 91.186 168.7592
124.099998 91.115 168.3580
125.000000 91.084 168.1954
126.500000 91.035 167.9288
128.000000 90.987 167.6649
131.500000 90.873 167.0677
132.000000 90.857 166.9875
134.000000 90.791 166.6763
136.000000 90.726 166.3736
138.000000 90.660 166.0790
140.000000 90.594 165.7969
143.000000 90.500 165.4127
145.000000 90.440 165.1764
147.500000 90.363 164.9198
150.000000 90.289 164.6613
152.500000 90.209 164.3712
155.000000 90.130 164.1136
157.500000 90.053 163.8796
160.000000 89.978 163.6514
162.500000 89.903 163.4209
165.000000 89.826 163.2320
167.500000 89.753 163.0853
170.000000 89.681 162.9388
172.500000 89.608 162.7998
175.000000 89.536 162.6670
177.500000 89.464 162.5381
180.000000 89.392 162.4213
182.500000 89.322 162.3151
185.000000 89.252 162.2184
187.500000 89.183 162.1338
190.000000 89.115 162.0542
192.500000 89.048 161.9841
195.000000 88.981 161.9314
197.500000 88.915 161.8969
200.000000 88.849 161.8659
203.000000 88.770 161.8153
206.000000 88.691 161.7672
209.000000 88.612 161.7255
212.000000 88.536 161.7002
214.000000 88.487 161.6918
218.000000 88.394 161.6983
220.000000 88.346 161.7121
224.000000 88.250 161.7491
227.000000 88.179 161.7843
230.000000 88.109 161.8309
233.000000 88.039 161.8889
236.000000 87.969 161.9549
240.000000 87.879 162.0588
243.000000 87.814 162.1631
247.000000 87.725 162.3208
250.000000 87.657 162.4077
254.000000 87.572 162.4850
258.000000 87.490 162.5959
262.000000 87.408 162.7313
265.000000 87.348 162.8438
269.000000 87.269 163.0047
272.000000 87.211 163.1293
276.000000 87.134 163.2992
280.000000 87.059 163.4696
285.000000 86.968 163.7147
290.000000 86.876 163.9988
295.000000 86.785 164.2702
