* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -24.4 dBFS, measurement signal peak level -24.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 26/10/2023 9:14:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0271 ms (-9.3 mm, -0.37 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: MP145 Treble L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 48.057 -37.0998
1.015000 47.721 -35.7959
1.030000 47.429 -34.4285
1.044000 47.201 -33.0958
1.060000 46.999 -31.5067
1.075000 46.871 -29.9537
1.090000 46.808 -28.3405
1.106000 46.817 -26.5336
1.120000 46.885 -24.7691
1.138000 47.048 -22.2419
1.150000 47.201 -20.4116
1.172000 47.565 -16.7932
1.180000 47.722 -15.4034
1.206000 48.312 -10.6643
1.220000 48.675 -7.9990
1.241000 49.269 -3.8979
1.250000 49.540 -2.1145
1.265000 50.008 0.8758
1.280000 50.495 3.8706
1.315000 51.680 10.7600
1.320000 51.853 11.7217
1.340000 52.544 15.4821
1.360000 53.231 19.0670
1.380000 53.903 22.4277
1.400000 54.549 25.5153
1.430000 55.451 29.5274
1.450000 55.991 31.7181
1.475000 56.589 33.8506
1.500000 57.164 35.4836
1.525000 57.731 36.7000
1.550000 58.290 37.5377
1.575000 58.840 38.0347
1.600000 59.382 38.2291
1.625000 59.912 38.1587
1.650000 60.433 37.8615
1.675000 60.941 37.3756
1.700000 61.438 36.7389
1.725000 61.921 35.9893
1.750000 62.391 35.1650
1.775000 62.847 34.3037
1.800000 63.288 33.4436
1.825000 63.713 32.6225
1.850000 64.122 31.7853
1.875000 64.512 30.7428
1.900000 64.885 29.5137
1.925000 65.242 28.1259
1.950000 65.584 26.6075
1.975000 65.913 24.9863
2.000000 66.231 23.2905
2.030000 66.597 21.1964
2.060000 66.951 19.0835
2.090000 67.293 17.0000
2.120000 67.627 14.9945
2.140000 67.846 13.7246
2.180000 68.278 11.4106
2.200000 68.492 10.3946
2.240000 68.907 8.5570
2.270000 69.203 7.2959
2.300000 69.489 6.1164
2.330000 69.764 5.0017
2.360000 70.030 3.9351
2.400000 70.371 2.5587
2.430000 70.618 1.5389
2.470000 70.937 0.1641
2.500000 71.169 -0.9002
2.540000 71.472 -2.3953
2.580000 71.768 -4.0087
2.620000 72.051 -5.7143
2.650000 72.255 -7.0358
2.690000 72.517 -8.8360
2.720000 72.705 -10.2023
2.760000 72.948 -12.0276
2.800000 73.180 -13.8360
2.850000 73.460 -16.0381
2.900000 73.727 -18.1341
2.950000 73.985 -20.0873
3.000000 74.228 -21.9414
3.040000 74.412 -23.3687
3.070000 74.545 -24.4093
3.110000 74.714 -25.7603
3.150000 74.877 -27.0736
3.200000 75.071 -28.6685
3.250000 75.256 -30.2194
3.300000 75.433 -31.7344
3.350000 75.601 -33.2131
3.400000 75.756 -34.6486
3.450000 75.902 -36.0371
3.500000 76.039 -37.3747
3.550000 76.169 -38.6575
3.600000 76.293 -39.8816
3.650000 76.414 -41.0432
3.700000 76.530 -42.1441
3.750000 76.637 -43.1938
3.820000 76.776 -44.5703
3.870000 76.870 -45.4810
3.950000 77.015 -46.8002
4.000000 77.107 -47.5317
4.060000 77.219 -48.3039
4.120000 77.326 -48.9454
4.180000 77.431 -49.4759
4.250000 77.554 -49.9868
4.310000 77.663 -50.3596
4.370000 77.780 -50.6976
4.440000 77.928 -51.0549
4.500000 78.060 -51.2865
4.550000 78.175 -51.4367
4.620000 78.341 -51.6034
4.680000 78.492 -51.7262
4.750000 78.679 -51.8722
4.820000 78.878 -52.0063
4.870000 79.029 -52.0685
4.940000 79.249 -52.1388
5.000000 79.444 -52.2113
5.080000 79.708 -52.3724
5.150000 79.942 -52.6134
5.220000 80.183 -52.9218
5.300000 80.466 -53.3411
5.380000 80.751 -53.8346
5.450000 80.995 -54.3296
5.520000 81.232 -54.8869
5.600000 81.499 -55.6103
5.700000 81.827 -56.6253
5.800000 82.140 -57.7315
5.900000 82.428 -58.9048
6.000000 82.697 -60.1874
6.080000 82.898 -61.2645
6.150000 83.063 -62.2155
6.220000 83.215 -63.1510
6.300000 83.374 -64.2166
6.400000 83.551 -65.5711
6.500000 83.707 -66.8902
6.600000 83.845 -68.1088
6.700000 83.962 -69.2408
6.800000 84.058 -70.2971
6.900000 84.146 -71.2382
7.000000 84.231 -72.0272
7.100000 84.304 -72.6692
7.200000 84.374 -73.1854
7.300000 84.455 -73.5946
7.400000 84.552 -73.8824
7.500000 84.658 -74.0256
7.620000 84.806 -74.1294
7.750000 85.007 -74.2898
7.880000 85.249 -74.4114
8.000000 85.498 -74.6258
8.120000 85.766 -75.0776
8.250000 86.087 -75.7630
8.380000 86.414 -76.7073
8.500000 86.703 -77.8748
8.620000 86.993 -79.3115
8.750000 87.285 -81.1101
8.850000 87.482 -82.6445
9.000000 87.747 -85.2421
9.120000 87.920 -87.4539
9.250000 88.061 -89.9168
9.380000 88.157 -92.4955
9.500000 88.207 -94.8372
9.620000 88.214 -97.0948
9.750000 88.178 -99.4905
9.880000 88.106 -101.6687
10.000000 88.006 -103.4418
10.150000 87.842 -105.3715
10.300000 87.670 -106.8304
10.440000 87.493 -107.7359
10.600000 87.311 -108.3366
10.750000 87.192 -108.4667
10.900000 87.117 -108.2474
11.060000 87.117 -107.9780
11.200000 87.188 -107.6437
11.380000 87.339 -107.4567
11.500000 87.481 -107.5643
11.720000 87.775 -108.2100
11.800000 87.877 -108.6352
12.060000 88.193 -110.5709
12.200000 88.318 -111.8223
12.410000 88.449 -113.9001
12.500000 88.482 -114.7316
12.650000 88.503 -116.1021
12.800000 88.498 -117.3123
13.150000 88.412 -119.1647
13.200000 88.402 -119.3217
13.400000 88.365 -119.6284
13.600000 88.369 -119.6562
13.800000 88.431 -119.4478
14.000000 88.545 -119.3041
14.300000 88.797 -119.3605
14.500000 88.985 -119.7605
14.750000 89.203 -120.5915
15.000000 89.382 -121.7330
15.250000 89.506 -122.9622
15.500000 89.584 -124.1218
15.750000 89.627 -125.1302
16.000000 89.654 -125.9280
16.250000 89.681 -126.5822
16.500000 89.713 -127.1419
16.750000 89.753 -127.6896
17.000000 89.794 -128.2709
17.250000 89.831 -128.8860
17.500000 89.860 -129.5251
17.750000 89.882 -130.1488
18.000000 89.902 -130.7516
18.250000 89.923 -131.3277
18.500000 89.952 -131.9142
18.750000 89.987 -132.5422
19.000000 90.028 -133.2408
19.250000 90.067 -134.0309
19.500000 90.100 -134.8917
19.750000 90.122 -135.8043
20.000000 90.132 -136.7137
20.299999 90.132 -137.7414
20.600000 90.126 -138.6529
20.900000 90.124 -139.4279
21.200001 90.138 -140.0895
21.400000 90.159 -140.5033
21.799999 90.223 -141.3369
22.000000 90.262 -141.7854
22.400000 90.338 -142.7627
22.700001 90.383 -143.5164
23.000000 90.414 -144.2077
23.299999 90.437 -144.7760
23.600000 90.462 -145.2143
24.000000 90.510 -145.6637
24.299999 90.558 -145.9987
24.700001 90.625 -146.5390
25.000000 90.661 -147.0003
25.400000 90.682 -147.5727
25.799999 90.690 -147.9646
26.200001 90.720 -148.2280
26.500000 90.765 -148.4990
26.900000 90.839 -149.1627
27.200001 90.877 -149.9256
27.600000 90.875 -151.1453
28.000000 90.813 -152.2689
28.500000 90.717 -153.2558
29.000000 90.680 -154.1291
29.500000 90.672 -155.4846
30.000000 90.578 -157.2062
30.400000 90.414 -158.2015
30.700001 90.274 -158.4109
31.100000 90.153 -157.9797
31.500000 90.178 -157.2089
32.000000 90.387 -156.7815
32.500000 90.635 -157.4566
33.000000 90.789 -158.7159
33.500000 90.853 -159.8013
34.000000 90.897 -160.4661
34.500000 90.958 -160.9488
35.000000 91.018 -161.4413
35.500000 91.061 -161.9120
36.000000 91.094 -162.3114
36.500000 91.122 -162.7142
37.000000 91.136 -163.1853
37.500000 91.126 -163.6561
38.200001 91.097 -164.1697
38.700001 91.089 -164.5272
39.500000 91.077 -165.3661
40.000000 91.047 -165.9487
40.599998 91.003 -166.4996
41.200001 90.984 -166.9061
41.799999 90.998 -167.3568
42.500000 91.026 -168.0570
43.099998 91.040 -168.7104
43.700001 91.045 -169.3046
44.400002 91.053 -169.9071
45.000000 91.063 -170.3882
45.500000 91.074 -170.7939
46.200001 91.088 -171.4055
46.799999 91.091 -171.9780
47.500000 91.077 -172.6350
48.200001 91.056 -173.2119
48.700001 91.044 -173.5969
49.400002 91.025 -174.1457
50.000000 91.000 -174.5740
50.799999 90.969 -174.9724
51.500000 90.964 -175.2538
52.200001 90.965 -175.6321
53.000000 90.944 -176.1047
53.799999 90.909 -176.4284
54.500000 90.891 -176.6705
55.200001 90.874 -176.9814
56.000000 90.851 -177.3202
57.000000 90.853 -177.8071
58.000000 90.834 -178.6242
59.000000 90.767 -179.0308
60.000000 90.777 -179.1383
60.799999 90.796 -179.4942
61.500000 90.783 -179.8011
62.200001 90.763 179.9899
63.000000 90.739 179.7436
64.000000 90.700 179.3624
65.000000 90.642 178.7004
66.000000 90.516 178.1719
67.000000 90.455 178.2689
68.000000 90.528 177.9509
69.000000 90.584 177.0585
70.000000 90.604 176.2566
71.000000 90.605 175.6371
72.000000 90.592 175.2935
73.000000 90.582 175.0802
74.000000 90.561 174.9001
75.000000 90.548 174.7352
76.199997 90.546 174.2808
77.500000 90.547 173.4499
78.800003 90.507 172.2238
80.000000 90.385 171.5330
81.199997 90.323 171.6261
82.500000 90.352 171.4709
83.800003 90.336 170.9136
85.000000 90.269 170.4812
86.199997 90.189 170.2639
87.500000 90.138 170.0677
88.500000 90.109 169.7617
90.000000 90.080 169.1978
91.199997 90.054 168.5013
92.500000 89.996 167.8995
93.800003 89.968 167.5173
95.000000 89.950 167.0913
96.199997 89.894 166.7364
97.500000 89.800 166.7245
98.800003 89.719 167.0742
100.000000 89.702 167.4474
101.500000 89.738 167.0789
103.000000 89.690 166.0724
104.400002 89.621 165.3140
106.000000 89.568 164.6244
107.500000 89.538 164.2091
109.000000 89.516 163.9155
110.599998 89.469 163.6549
112.000000 89.408 163.4796
113.800003 89.325 163.1850
115.000000 89.269 162.9106
117.199997 89.169 162.4722
118.000000 89.142 162.3763
120.599998 89.057 162.1454
122.000000 88.999 162.1021
124.099998 88.917 161.9969
125.000000 88.884 161.9196
126.500000 88.839 161.8469
128.000000 88.811 161.8863
131.500000 88.711 162.5828
132.000000 88.691 162.7602
134.000000 88.663 163.2979
136.000000 88.678 162.6109
138.000000 88.637 161.4739
140.000000 88.614 160.6913
143.000000 88.592 160.1001
145.000000 88.560 159.8615
147.500000 88.510 159.4423
150.000000 88.437 158.9897
152.500000 88.347 158.6819
155.000000 88.267 158.4204
157.500000 88.192 158.1610
160.000000 88.111 157.9141
162.500000 88.042 157.5961
165.000000 88.014 157.1821
167.500000 87.973 156.7304
170.000000 87.856 156.7186
172.500000 87.737 156.8652
175.000000 87.635 156.7956
177.500000 87.555 156.6721
180.000000 87.482 156.6064
182.500000 87.409 156.5600
185.000000 87.337 156.5286
187.500000 87.270 156.5671
190.000000 87.201 156.6797
192.500000 87.142 156.7938
195.000000 87.108 156.7770
197.500000 87.079 156.6490
200.000000 87.038 156.5894
203.000000 86.984 156.5298
206.000000 86.915 156.3308
209.000000 86.846 156.1184
212.000000 86.781 155.9626
214.000000 86.734 155.8879
218.000000 86.626 155.7722
220.000000 86.572 155.7350
224.000000 86.468 155.6706
227.000000 86.390 155.6511
230.000000 86.314 155.6845
233.000000 86.243 155.7593
236.000000 86.174 155.7915
240.000000 86.073 155.7798
243.000000 86.000 155.8507
247.000000 85.911 156.0251
250.000000 85.847 156.1471
254.000000 85.763 156.2414
258.000000 85.684 156.3561
262.000000 85.614 156.5394
265.000000 85.568 156.6872
269.000000 85.512 156.8512
272.000000 85.471 156.9351
276.000000 85.414 157.0007
280.000000 85.352 157.0491
