* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/08/2025 9:06:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MS2 Pro L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.157 121.6870
0.732422 43.209 85.8420
1.098633 47.012 64.1172
1.464844 50.543 49.8549
1.831055 53.887 39.0628
2.197266 56.980 29.4487
2.563477 59.712 20.2923
2.929688 62.036 11.8504
3.295898 63.993 4.6991
3.662109 65.705 -0.7552
4.028320 67.331 -4.6591
4.394531 68.983 -7.8079
4.760742 70.659 -11.1909
5.126953 72.265 -15.3479
5.493164 73.699 -20.1865
5.859375 74.911 -25.2403
6.225586 75.908 -29.9849
6.591797 76.745 -34.0562
6.958008 77.491 -37.3673
7.324219 78.205 -40.1029
7.690430 78.910 -42.5755
8.056641 79.597 -45.0310
8.422852 80.246 -47.5505
8.789062 80.843 -50.0886
9.155273 81.389 -52.5719
9.521484 81.894 -54.9635
9.887695 82.365 -57.2669
10.253906 82.808 -59.4933
10.620117 83.228 -61.6443
10.986328 83.632 -63.7269
11.352539 84.027 -65.7799
11.718750 84.415 -67.8724
12.084961 84.786 -70.0605
12.451172 85.127 -72.3367
12.817383 85.427 -74.6155
13.183594 85.688 -76.7729
13.549805 85.923 -78.7157
13.916016 86.154 -80.4383
14.282227 86.394 -82.0253
14.648438 86.645 -83.5955
15.014648 86.895 -85.2260
15.380859 87.130 -86.9144
15.747070 87.344 -88.5984
16.113281 87.537 -90.2088
16.479492 87.718 -91.7158
16.845703 87.896 -93.1415
17.211914 88.074 -94.5370
17.578125 88.249 -95.9445
17.944336 88.414 -97.3727
18.310547 88.565 -98.7978
18.676758 88.701 -100.1837
19.042969 88.829 -101.5057
19.409180 88.952 -102.7634
19.775391 89.074 -103.9785
20.141602 89.196 -105.1793
20.507812 89.316 -106.3840
20.874023 89.430 -107.5904
21.240234 89.536 -108.7803
21.606445 89.636 -109.9327
21.972656 89.732 -111.0387
22.338867 89.828 -112.1073
22.705078 89.924 -113.1586
23.071289 90.018 -114.2092
23.437500 90.107 -115.2605
23.803711 90.188 -116.2975
24.169922 90.262 -117.2988
24.536133 90.331 -118.2506
24.902344 90.399 -119.1542
25.268555 90.467 -120.0254
25.634766 90.536 -120.8846
26.000977 90.604 -121.7473
26.367188 90.669 -122.6177
26.733398 90.728 -123.4882
27.099609 90.781 -124.3444
27.465820 90.829 -125.1723
27.832031 90.875 -125.9660
28.198242 90.920 -126.7306
28.564453 90.967 -127.4801
28.930664 91.015 -128.2289
29.296875 91.061 -128.9835
29.663086 91.105 -129.7390
30.029297 91.146 -130.4835
30.395508 91.184 -131.2075
30.761719 91.223 -131.9111
31.127930 91.262 -132.6032
31.494141 91.302 -133.2942
31.860352 91.340 -133.9877
32.226562 91.376 -134.6781
32.592773 91.409 -135.3559
32.958984 91.439 -136.0139
33.325195 91.468 -136.6518
33.691406 91.497 -137.2739
34.057617 91.525 -137.8845
34.423828 91.553 -138.4854
34.790039 91.580 -139.0763
35.156250 91.606 -139.6586
35.522461 91.632 -140.2359
35.888672 91.657 -140.8126
36.254883 91.680 -141.3889
36.621094 91.702 -141.9603
36.987305 91.721 -142.5195
37.353516 91.739 -143.0616
37.719727 91.758 -143.5890
38.085938 91.778 -144.1098
38.452148 91.799 -144.6336
38.818359 91.818 -145.1644
39.184570 91.836 -145.6972
39.550781 91.851 -146.2206
39.916992 91.863 -146.7237
40.283203 91.875 -147.2030
40.649414 91.889 -147.6653
41.015625 91.904 -148.1224
41.381836 91.920 -148.5833
41.748047 91.934 -149.0482
42.114258 91.946 -149.5093
42.480469 91.956 -149.9578
42.846680 91.965 -150.3914
43.212891 91.974 -150.8151
43.579102 91.983 -151.2352
43.945312 91.992 -151.6532
44.311523 91.999 -152.0649
44.677734 92.007 -152.4678
45.043945 92.017 -152.8692
45.410156 92.027 -153.2846
45.776367 92.037 -153.7248
46.142578 92.042 -154.1815
46.508789 92.041 -154.6263
46.875000 92.038 -155.0289
47.241211 92.038 -155.3843
47.607422 92.046 -155.7265
47.973633 92.063 -156.1102
48.339844 92.079 -156.5708
48.706055 92.086 -157.0910
49.072266 92.078 -157.6033
49.438477 92.059 -158.0306
49.804688 92.040 -158.3389
50.170898 92.034 -158.5639
50.537109 92.045 -158.7888
50.903320 92.065 -159.0857
51.269531 92.083 -159.4663
51.635742 92.090 -159.8799
52.001953 92.086 -160.2552
52.368164 92.080 -160.5529
52.734375 92.080 -160.7906
53.100586 92.091 -161.0247
53.466797 92.108 -161.3057
53.833008 92.122 -161.6447
54.199219 92.130 -162.0131
54.565430 92.130 -162.3709
54.931641 92.125 -162.6958
55.297852 92.122 -162.9944
55.664062 92.120 -163.2894
56.030273 92.118 -163.5981
56.396484 92.112 -163.9184
56.762695 92.102 -164.2300
57.128906 92.088 -164.5093
57.495117 92.076 -164.7462
57.861328 92.069 -164.9542
58.227539 92.070 -165.1670
58.593750 92.077 -165.4218
58.959961 92.085 -165.7367
59.326172 92.086 -166.0977
59.692383 92.079 -166.4648
60.058594 92.066 -166.7970
60.424805 92.052 -167.0792
60.791016 92.044 -167.3308
61.157227 92.040 -167.5854
61.523438 92.038 -167.8597
61.889648 92.034 -168.1385
62.255859 92.030 -168.3927
62.622070 92.029 -168.6151
62.988281 92.037 -168.8407
63.354492 92.052 -169.1239
63.720703 92.064 -169.4901
64.086914 92.062 -169.9016
64.453125 92.044 -170.2747
64.819336 92.019 -170.5385
65.185547 92.000 -170.6919
65.551758 91.998 -170.8109
65.917969 92.008 -170.9911
66.284180 92.017 -171.2723
66.650391 92.013 -171.6082
67.016602 91.992 -171.9047
67.382812 91.965 -172.0938
67.749023 91.946 -172.1842
68.115234 91.942 -172.2514
68.481445 91.949 -172.3741
68.847656 91.956 -172.5760
69.213867 91.954 -172.8179
69.580078 91.945 -173.0414
69.946289 91.935 -173.2205
70.312500 91.930 -173.3792
70.678711 91.931 -173.5644
71.044922 91.931 -173.8022
71.411133 91.925 -174.0753
71.777344 91.911 -174.3387
72.143555 91.891 -174.5545
72.509766 91.874 -174.7177
72.875977 91.863 -174.8550
73.242188 91.858 -175.0019
73.608398 91.857 -175.1805
73.974609 91.856 -175.3919
74.340820 91.852 -175.6235
74.707031 91.844 -175.8606
75.073242 91.834 -176.0912
75.439453 91.821 -176.3064
75.805664 91.808 -176.5004
76.171875 91.795 -176.6732
76.538086 91.785 -176.8330
76.904297 91.779 -176.9935
77.270508 91.774 -177.1660
77.636719 91.768 -177.3518
78.002930 91.761 -177.5419
78.369141 91.753 -177.7251
78.735352 91.745 -177.8977
79.101562 91.739 -178.0661
79.467773 91.733 -178.2411
79.833984 91.727 -178.4271
80.200195 91.719 -178.6167
80.566406 91.709 -178.7962
80.932617 91.699 -178.9568
81.298828 91.691 -179.1036
81.665039 91.686 -179.2537
82.031250 91.682 -179.4227
82.397461 91.677 -179.6123
82.763672 91.667 -179.8066
83.129883 91.654 -179.9831
83.496094 91.640 179.8712
83.862305 91.629 179.7496
84.228516 91.622 179.6297
84.594727 91.619 179.4896
84.960938 91.614 179.3225
85.327148 91.607 179.1402
85.693359 91.596 178.9630
86.059570 91.583 178.8046
86.425781 91.571 178.6637
86.791992 91.561 178.5272
87.158203 91.553 178.3820
87.524414 91.544 178.2250
87.890625 91.534 178.0655
88.256836 91.522 177.9157
88.623047 91.510 177.7809
88.989258 91.501 177.6532
89.355469 91.495 177.5162
89.721680 91.489 177.3565
90.087891 91.481 177.1751
90.454102 91.467 176.9902
90.820312 91.449 176.8282
91.186523 91.429 176.7078
91.552734 91.413 176.6260
91.918945 91.403 176.5576
92.285156 91.400 176.4683
92.651367 91.398 176.3362
93.017578 91.393 176.1660
93.383789 91.381 175.9862
93.750000 91.363 175.8310
94.116211 91.345 175.7182
94.482422 91.332 175.6373
94.848633 91.325 175.5554
95.214844 91.324 175.4371
95.581055 91.322 175.2664
95.947266 91.315 175.0564
96.313477 91.299 174.8428
96.679688 91.276 174.6646
97.045898 91.252 174.5443
97.412109 91.232 174.4751
97.778320 91.221 174.4251
98.144531 91.219 174.3546
98.510742 91.220 174.2374
98.876953 91.219 174.0745
99.243164 91.212 173.8899
99.609375 91.200 173.7144
99.975586 91.184 173.5679
100.341797 91.168 173.4539
100.708008 91.153 173.3655
101.074219 91.140 173.2969
101.440430 91.131 173.2457
101.806641 91.125 173.2044
102.172852 91.125 173.1514
102.539062 91.129 173.0573
102.905273 91.130 172.9066
103.271484 91.123 172.7197
103.637695 91.103 172.5519
104.003906 91.075 172.4624
104.370117 91.051 172.4707
104.736328 91.042 172.5322
105.102539 91.049 172.5589
105.468750 91.066 172.4752
105.834961 91.077 172.2682
106.201172 91.071 171.9950
106.567383 91.048 171.7433
106.933594 91.016 171.5774
107.299805 90.985 171.5030
107.666016 90.964 171.4749
108.032227 90.952 171.4368
108.398438 90.944 171.3595
108.764648 90.934 171.2515
109.130859 90.922 171.1393
109.497070 90.908 171.0410
109.863281 90.896 170.9536
110.229492 90.887 170.8622
110.595703 90.879 170.7566
110.961914 90.870 170.6398
111.328125 90.859 170.5231
111.694336 90.847 170.4146
112.060547 90.836 170.3140
112.426758 90.824 170.2166
112.792969 90.813 170.1211
113.159180 90.800 170.0320
113.525391 90.788 169.9554
113.891602 90.777 169.8905
114.257812 90.769 169.8279
114.624023 90.763 169.7548
114.990234 90.757 169.6639
115.356445 90.749 169.5592
115.722656 90.739 169.4526
116.088867 90.727 169.3560
116.455078 90.714 169.2737
116.821289 90.703 169.2001
117.187500 90.694 169.1241
117.553711 90.686 169.0361
117.919922 90.677 168.9343
118.286133 90.665 168.8260
118.652344 90.651 168.7238
119.018555 90.635 168.6394
119.384766 90.620 168.5766
119.750977 90.607 168.5291
120.117188 90.598 168.4832
120.483398 90.591 168.4253
120.849609 90.585 168.3489
121.215820 90.578 168.2578
121.582031 90.569 168.1625
121.948242 90.558 168.0726
122.314453 90.547 167.9910
122.680664 90.537 167.9133
123.046875 90.527 167.8325
123.413086 90.517 167.7454
123.779297 90.505 167.6559
124.145508 90.492 167.5721
124.511719 90.477 167.5007
124.877930 90.463 167.4427
125.244141 90.451 167.3930
125.610352 90.440 167.3429
125.976562 90.431 167.2847
126.342773 90.422 167.2141
126.708984 90.413 167.1320
127.075195 90.401 167.0452
127.441406 90.387 166.9648
127.807617 90.371 166.9021
128.173828 90.357 166.8613
128.540039 90.347 166.8336
128.906250 90.341 166.7990
129.272461 90.338 166.7368
129.638672 90.334 166.6398
130.004883 90.325 166.5224
130.371094 90.311 166.4131
130.737305 90.293 166.3375
131.103516 90.277 166.3005
131.469727 90.266 166.2832
131.835938 90.260 166.2559
132.202148 90.256 166.1993
132.568359 90.250 166.1158
132.934570 90.240 166.0241
133.300781 90.228 165.9421
133.666992 90.215 165.8744
134.033203 90.202 165.8132
134.399414 90.190 165.7505
134.765625 90.176 165.6883
135.131836 90.162 165.6358
135.498047 90.148 165.5973
135.864258 90.138 165.5628
136.230469 90.130 165.5135
136.596680 90.123 165.4375
136.962891 90.113 165.3426
137.329102 90.098 165.2522
137.695312 90.082 165.1867
138.061523 90.068 165.1461
138.427734 90.059 165.1102
138.793945 90.052 165.0576
139.160156 90.044 164.9850
139.526367 90.033 164.9110
139.892578 90.021 164.8569
140.258789 90.011 164.8253
140.625000 90.005 164.7963
140.991211 90.001 164.7458
141.357422 89.995 164.6720
141.723633 89.983 164.6014
142.089844 89.968 164.5684
142.456055 89.955 164.5823
142.822266 89.951 164.6124
143.188477 89.954 164.6071
143.554688 89.957 164.5350
143.920898 89.953 164.4124
144.287109 89.937 164.2930
144.653320 89.915 164.2285
145.019531 89.895 164.2283
145.385742 89.883 164.2523
145.751953 89.880 164.2416
146.118164 89.877 164.1649
146.484375 89.868 164.0403
146.850586 89.848 163.9199
147.216797 89.824 163.8495
147.583008 89.802 163.8365
147.949219 89.789 163.8468
