* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/08/2025 9:05:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MS2 Pro R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 38.727 136.7660
0.732422 39.408 78.1883
1.098633 43.779 38.5877
1.464844 47.926 23.8203
1.831055 51.649 20.0482
2.197266 55.320 18.5413
2.563477 58.735 15.2489
2.929688 61.641 10.0831
3.295898 63.986 4.2770
3.662109 65.862 -1.0435
4.028320 67.433 -5.2733
4.394531 68.865 -8.4707
4.760742 70.262 -11.2384
5.126953 71.629 -14.2480
5.493164 72.906 -17.7741
5.859375 74.041 -21.6314
6.225586 75.024 -25.4227
6.591797 75.894 -28.8260
6.958008 76.710 -31.7761
7.324219 77.515 -34.4735
7.690430 78.315 -37.2142
8.056641 79.082 -40.1720
8.422852 79.780 -43.3037
8.789062 80.393 -46.4119
9.155273 80.931 -49.2815
9.521484 81.421 -51.7975
9.887695 81.895 -53.9931
10.253906 82.370 -56.0111
10.620117 82.845 -58.0085
10.986328 83.307 -60.0754
11.352539 83.742 -62.2132
11.718750 84.142 -64.3685
12.084961 84.507 -66.4808
12.451172 84.843 -68.5155
12.817383 85.157 -70.4695
13.183594 85.453 -72.3599
13.549805 85.733 -74.2060
13.916016 85.997 -76.0173
14.282227 86.245 -77.7897
14.648438 86.477 -79.5104
15.014648 86.697 -81.1673
15.380859 86.910 -82.7591
15.747070 87.118 -84.3008
16.113281 87.325 -85.8200
16.479492 87.528 -87.3436
16.845703 87.724 -88.8834
17.211914 87.909 -90.4285
17.578125 88.080 -91.9512
17.944336 88.241 -93.4234
18.310547 88.393 -94.8313
18.676758 88.542 -96.1816
19.042969 88.688 -97.4934
19.409180 88.831 -98.7838
19.775391 88.970 -100.0581
20.141602 89.102 -101.3111
20.507812 89.229 -102.5367
20.874023 89.351 -103.7373
21.240234 89.469 -104.9233
21.606445 89.582 -106.1031
21.972656 89.687 -107.2729
22.338867 89.784 -108.4150
22.705078 89.874 -109.5083
23.071289 89.962 -110.5454
23.437500 90.051 -111.5419
23.803711 90.143 -112.5297
24.169922 90.236 -113.5371
24.536133 90.324 -114.5697
24.902344 90.404 -115.6060
25.268555 90.475 -116.6122
25.634766 90.542 -117.5652
26.000977 90.608 -118.4677
26.367188 90.677 -119.3450
26.733398 90.747 -120.2247
27.099609 90.815 -121.1164
27.465820 90.877 -122.0057
27.832031 90.933 -122.8677
28.198242 90.986 -123.6874
28.564453 91.038 -124.4716
28.930664 91.093 -125.2430
29.296875 91.147 -126.0218
29.663086 91.197 -126.8098
30.029297 91.241 -127.5899
30.395508 91.281 -128.3407
30.761719 91.317 -129.0532
31.127930 91.355 -129.7372
31.494141 91.395 -130.4129
31.860352 91.435 -131.0951
32.226562 91.472 -131.7835
32.592773 91.507 -132.4672
32.958984 91.540 -133.1368
33.325195 91.572 -133.7941
33.691406 91.605 -134.4500
34.057617 91.636 -135.1127
34.423828 91.664 -135.7769
34.790039 91.687 -136.4244
35.156250 91.708 -137.0369
35.522461 91.730 -137.6115
35.888672 91.757 -138.1660
36.254883 91.788 -138.7285
36.621094 91.821 -139.3174
36.987305 91.850 -139.9285
37.353516 91.874 -140.5387
37.719727 91.894 -141.1238
38.085938 91.913 -141.6774
38.452148 91.934 -142.2134
38.818359 91.957 -142.7527
39.184570 91.978 -143.3028
39.550781 91.994 -143.8495
39.916992 92.006 -144.3684
40.283203 92.018 -144.8461
40.649414 92.033 -145.2941
41.015625 92.053 -145.7412
41.381836 92.074 -146.2115
41.748047 92.093 -146.7048
42.114258 92.107 -147.1992
42.480469 92.118 -147.6715
42.846680 92.129 -148.1187
43.212891 92.142 -148.5594
43.579102 92.155 -149.0148
43.945312 92.166 -149.4858
44.311523 92.172 -149.9496
44.677734 92.174 -150.3804
45.043945 92.179 -150.7769
45.410156 92.190 -151.1699
45.776367 92.204 -151.5984
46.142578 92.213 -152.0729
46.508789 92.213 -152.5573
46.875000 92.204 -152.9907
47.241211 92.193 -153.3336
47.607422 92.194 -153.6067
47.973633 92.210 -153.8864
48.339844 92.236 -154.2548
48.706055 92.257 -154.7387
49.072266 92.262 -155.2862
49.438477 92.246 -155.7943
49.804688 92.219 -156.1706
50.170898 92.196 -156.3915
50.537109 92.193 -156.5194
50.903320 92.214 -156.6676
51.269531 92.250 -156.9332
51.635742 92.284 -157.3437
52.001953 92.304 -157.8496
52.368164 92.303 -158.3599
52.734375 92.289 -158.7945
53.100586 92.273 -159.1253
53.466797 92.264 -159.3855
53.833008 92.267 -159.6417
54.199219 92.276 -159.9467
54.565430 92.282 -160.3065
54.931641 92.280 -160.6814
55.297852 92.270 -161.0194
55.664062 92.260 -161.2966
56.030273 92.257 -161.5351
56.396484 92.262 -161.7849
56.762695 92.272 -162.0839
57.128906 92.277 -162.4295
57.495117 92.276 -162.7838
57.861328 92.269 -163.1059
58.227539 92.263 -163.3848
58.593750 92.263 -163.6442
58.959961 92.267 -163.9181
59.326172 92.273 -164.2209
59.692383 92.276 -164.5395
60.058594 92.276 -164.8531
60.424805 92.278 -165.1576
60.791016 92.281 -165.4695
61.157227 92.283 -165.8033
61.523438 92.280 -166.1473
61.889648 92.271 -166.4645
62.255859 92.262 -166.7251
62.622070 92.259 -166.9416
62.988281 92.268 -167.1711
63.354492 92.283 -167.4740
63.720703 92.292 -167.8618
64.086914 92.286 -168.2807
64.453125 92.265 -168.6490
64.819336 92.241 -168.9187
65.185547 92.223 -169.1122
65.551758 92.216 -169.2997
65.917969 92.212 -169.5356
66.284180 92.202 -169.8081
66.650391 92.180 -170.0494
67.016602 92.155 -170.1961
67.382812 92.139 -170.2490
67.749023 92.141 -170.2809
68.115234 92.157 -170.3829
68.481445 92.175 -170.5954
68.847656 92.184 -170.8852
69.213867 92.180 -171.1813
69.580078 92.169 -171.4342
69.946289 92.161 -171.6489
70.312500 92.156 -171.8666
70.678711 92.152 -172.1183
71.044922 92.142 -172.3930
71.411133 92.125 -172.6487
71.777344 92.105 -172.8521
72.143555 92.090 -173.0087
72.509766 92.083 -173.1573
72.875977 92.081 -173.3366
73.242188 92.079 -173.5543
73.608398 92.072 -173.7867
73.974609 92.063 -174.0042
74.340820 92.054 -174.1972
74.707031 92.048 -174.3808
75.073242 92.045 -174.5765
75.439453 92.041 -174.7909
75.805664 92.035 -175.0101
76.171875 92.025 -175.2136
76.538086 92.016 -175.3915
76.904297 92.010 -175.5520
77.270508 92.008 -175.7144
77.636719 92.008 -175.8952
78.002930 92.008 -176.1003
78.369141 92.006 -176.3246
78.735352 91.999 -176.5568
79.101562 91.989 -176.7833
79.467773 91.975 -176.9912
79.833984 91.960 -177.1717
80.200195 91.946 -177.3249
80.566406 91.935 -177.4613
80.932617 91.927 -177.5974
81.298828 91.922 -177.7471
81.665039 91.918 -177.9146
82.031250 91.912 -178.0947
82.397461 91.904 -178.2792
82.763672 91.895 -178.4623
83.129883 91.884 -178.6413
83.496094 91.872 -178.8129
83.862305 91.860 -178.9704
84.228516 91.847 -179.1087
84.594727 91.837 -179.2307
84.960938 91.830 -179.3500
85.327148 91.826 -179.4845
85.693359 91.823 -179.6440
86.059570 91.818 -179.8222
86.425781 91.809 179.9989
86.791992 91.798 179.8353
87.158203 91.787 179.6886
87.524414 91.780 179.5443
87.890625 91.774 179.3836
88.256836 91.768 179.1988
88.623047 91.758 179.0009
88.989258 91.743 178.8132
89.355469 91.726 178.6558
89.721680 91.710 178.5319
90.087891 91.699 178.4255
90.454102 91.693 178.3118
90.820312 91.690 178.1725
91.186523 91.685 178.0072
91.552734 91.677 177.8314
91.918945 91.667 177.6647
92.285156 91.655 177.5172
92.651367 91.645 177.3831
93.017578 91.637 177.2469
93.383789 91.629 177.0984
93.750000 91.619 176.9431
94.116211 91.605 176.7992
94.482422 91.591 176.6827
94.848633 91.579 176.5894
95.214844 91.573 176.4920
95.581055 91.570 176.3582
95.947266 91.564 176.1782
96.313477 91.550 175.9794
96.679688 91.527 175.8124
97.045898 91.501 175.7155
97.412109 91.482 175.6810
97.778320 91.476 175.6534
98.144531 91.479 175.5657
98.510742 91.481 175.3889
98.876953 91.473 175.1562
99.243164 91.451 174.9413
99.609375 91.422 174.8080
99.975586 91.398 174.7656
100.341797 91.387 174.7648
100.708008 91.388 174.7354
101.074219 91.395 174.6370
101.440430 91.397 174.4803
101.806641 91.393 174.3090
102.172852 91.382 174.1624
102.539062 91.371 174.0512
102.905273 91.362 173.9639
103.271484 91.355 173.8885
103.637695 91.351 173.8247
104.003906 91.350 173.7731
104.370117 91.356 173.7148
104.736328 91.368 173.6077
105.102539 91.381 173.4120
105.468750 91.385 173.1270
105.834961 91.369 172.8066
106.201172 91.335 172.5362
106.567383 91.290 172.3847
106.933594 91.248 172.3623
107.299805 91.220 172.4156
107.666016 91.208 172.4635
108.032227 91.206 172.4481
108.398438 91.204 172.3605
108.764648 91.196 172.2312
109.130859 91.183 172.0975
109.497070 91.167 171.9800
109.863281 91.151 171.8789
110.229492 91.137 171.7863
110.595703 91.123 171.6974
110.961914 91.112 171.6115
111.328125 91.102 171.5247
111.694336 91.095 171.4277
112.060547 91.088 171.3120
112.426758 91.079 171.1796
112.792969 91.067 171.0466
113.159180 91.051 170.9339
113.525391 91.035 170.8538
113.891602 91.023 170.7998
114.257812 91.016 170.7504
114.624023 91.012 170.6808
114.990234 91.010 170.5778
115.356445 91.004 170.4463
115.722656 90.992 170.3065
116.088867 90.975 170.1843
116.455078 90.955 170.0991
116.821289 90.937 170.0547
117.187500 90.923 170.0359
117.553711 90.916 170.0153
117.919922 90.914 169.9664
118.286133 90.912 169.8778
118.652344 90.907 169.7579
119.018555 90.898 169.6283
119.384766 90.885 169.5089
119.750977 90.871 169.4067
120.117188 90.858 169.3153
120.483398 90.845 169.2249
120.849609 90.833 169.1335
121.215820 90.819 169.0489
121.582031 90.805 168.9800
121.948242 90.793 168.9254
122.314453 90.785 168.8705
122.680664 90.779 168.7972
123.046875 90.773 168.6996
123.413086 90.762 168.5906
123.779297 90.747 168.4945
124.145508 90.731 168.4294
124.511719 90.717 168.3931
124.877930 90.708 168.3637
125.244141 90.703 168.3151
125.610352 90.698 168.2350
125.976562 90.690 168.1332
126.342773 90.678 168.0321
126.708984 90.663 167.9505
127.075195 90.649 167.8900
127.441406 90.638 167.8359
127.807617 90.629 167.7694
128.173828 90.621 167.6822
128.540039 90.609 167.5818
128.906250 90.595 167.4850
129.272461 90.579 167.4057
129.638672 90.564 167.3466
130.004883 90.551 167.2989
130.371094 90.541 167.2504
130.737305 90.532 167.1931
131.103516 90.524 167.1261
131.469727 90.516 167.0524
131.835938 90.507 166.9753
132.202148 90.498 166.8964
132.568359 90.488 166.8179
132.934570 90.477 166.7434
133.300781 90.465 166.6769
133.666992 90.453 166.6194
134.033203 90.441 166.5671
134.399414 90.431 166.5146
134.765625 90.420 166.4595
135.131836 90.408 166.4044
135.498047 90.396 166.3544
135.864258 90.384 166.3113
136.230469 90.373 166.2705
136.596680 90.363 166.2246
136.962891 90.353 166.1698
137.329102 90.343 166.1089
137.695312 90.332 166.0477
138.061523 90.321 165.9876
138.427734 90.311 165.9230
138.793945 90.301 165.8467
139.160156 90.289 165.7600
139.526367 90.276 165.6752
139.892578 90.261 165.6070
140.258789 90.247 165.5584
140.625000 90.238 165.5149
140.991211 90.231 165.4556
141.357422 90.223 165.3740
141.723633 90.212 165.2889
142.089844 90.198 165.2328
142.456055 90.186 165.2225
142.822266 90.184 165.2359
143.188477 90.192 165.2173
143.554688 90.204 165.1146
143.920898 90.210 164.9197
144.287109 90.201 164.6816
144.653320 90.174 164.4810
145.019531 90.138 164.3821
145.385742 90.104 164.3962
145.751953 90.081 164.4786
146.118164 90.071 164.5626
146.484375 90.069 164.6015
146.850586 90.068 164.5887
147.216797 90.064 164.5462
147.583008 90.056 164.4979
