* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01/04/2023 11:26:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MS5 Treble L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 78.656 -27.3667
1.015000 78.907 -28.8009
1.030000 79.152 -30.0422
1.044000 79.374 -31.0334
1.060000 79.622 -31.9849
1.075000 79.848 -32.7177
1.090000 80.068 -33.3124
1.106000 80.297 -33.8122
1.120000 80.492 -34.1504
1.138000 80.737 -34.4705
1.150000 80.897 -34.6246
1.172000 81.183 -34.8140
1.180000 81.284 -34.8609
1.206000 81.608 -34.9704
1.220000 81.777 -35.0231
1.241000 82.027 -35.1288
1.250000 82.132 -35.1932
1.265000 82.306 -35.3383
1.280000 82.477 -35.5444
1.315000 82.868 -36.3511
1.320000 82.923 -36.5120
1.340000 83.142 -37.2936
1.360000 83.358 -38.2904
1.380000 83.568 -39.4205
1.400000 83.771 -40.6633
1.430000 84.065 -42.7034
1.450000 84.253 -44.1575
1.475000 84.482 -46.0527
1.500000 84.703 -48.0049
1.525000 84.916 -49.9828
1.550000 85.124 -51.9552
1.575000 85.325 -53.8907
1.600000 85.521 -55.7581
1.625000 85.713 -57.5261
1.650000 85.901 -59.1635
1.675000 86.085 -60.6388
1.700000 86.266 -61.9423
1.725000 86.440 -63.1255
1.750000 86.608 -64.2060
1.775000 86.769 -65.1984
1.800000 86.926 -66.1174
1.825000 87.077 -66.9776
1.850000 87.223 -67.7937
1.875000 87.364 -68.5803
1.900000 87.502 -69.3521
1.925000 87.635 -70.1238
1.950000 87.765 -70.9099
1.975000 87.892 -71.7252
2.000000 88.016 -72.5843
2.030000 88.161 -73.6883
2.060000 88.300 -74.8316
2.090000 88.433 -75.9953
2.120000 88.560 -77.1729
2.140000 88.641 -77.9627
2.180000 88.796 -79.5448
2.200000 88.871 -80.3334
2.240000 89.014 -81.8962
2.270000 89.117 -83.0484
2.300000 89.217 -84.1764
2.330000 89.314 -85.2738
2.360000 89.408 -86.3347
2.400000 89.527 -87.7185
2.430000 89.610 -88.7414
2.470000 89.715 -90.0808
2.500000 89.789 -91.0638
2.540000 89.883 -92.3413
2.580000 89.972 -93.5756
2.620000 90.056 -94.7612
2.650000 90.117 -95.6149
2.690000 90.197 -96.7014
2.720000 90.254 -97.4690
2.760000 90.325 -98.4236
2.800000 90.391 -99.3130
2.850000 90.467 -100.3561
2.900000 90.538 -101.3500
2.950000 90.606 -102.3238
3.000000 90.672 -103.3068
3.040000 90.724 -104.1189
3.070000 90.761 -104.7430
3.110000 90.809 -105.5852
3.150000 90.854 -106.4288
3.200000 90.908 -107.4687
3.250000 90.960 -108.4723
3.300000 91.012 -109.4182
3.350000 91.065 -110.2850
3.400000 91.118 -111.0496
3.450000 91.170 -111.7109
3.500000 91.222 -112.2975
3.550000 91.274 -112.8393
3.600000 91.325 -113.3659
3.650000 91.378 -113.9071
3.700000 91.431 -114.4927
3.750000 91.485 -115.1254
3.820000 91.562 -116.0447
3.870000 91.617 -116.7109
3.950000 91.706 -117.7639
4.000000 91.761 -118.3976
4.060000 91.826 -119.1157
4.120000 91.891 -119.7854
4.180000 91.957 -120.4233
4.250000 92.032 -121.1519
4.310000 92.095 -121.7839
4.370000 92.155 -122.4421
4.440000 92.221 -123.2535
4.500000 92.277 -123.9720
4.550000 92.321 -124.5779
4.620000 92.380 -125.4235
4.680000 92.428 -126.1330
4.750000 92.478 -126.9323
4.820000 92.525 -127.7169
4.870000 92.555 -128.2689
4.940000 92.595 -129.0277
5.000000 92.626 -129.6635
5.080000 92.663 -130.4887
5.150000 92.691 -131.1942
5.220000 92.715 -131.8820
5.300000 92.740 -132.6411
5.380000 92.763 -133.3657
5.450000 92.781 -133.9702
5.520000 92.796 -134.5498
5.600000 92.812 -135.1819
5.700000 92.833 -135.9271
5.800000 92.855 -136.6151
5.900000 92.876 -137.2453
6.000000 92.900 -137.8432
6.080000 92.921 -138.3149
6.150000 92.941 -138.7165
6.220000 92.963 -139.1069
6.300000 92.989 -139.5448
6.400000 93.023 -140.0887
6.500000 93.059 -140.6245
6.600000 93.098 -141.1527
6.700000 93.136 -141.6863
6.800000 93.174 -142.2355
6.900000 93.212 -142.7953
7.000000 93.249 -143.3587
7.100000 93.283 -143.9196
7.200000 93.315 -144.4827
7.300000 93.344 -145.0439
7.400000 93.371 -145.5956
7.500000 93.396 -146.1383
7.620000 93.421 -146.7788
7.750000 93.446 -147.4463
7.880000 93.468 -148.0824
8.000000 93.487 -148.6450
8.120000 93.505 -149.1839
8.250000 93.525 -149.7382
8.380000 93.544 -150.2711
8.500000 93.563 -150.7499
8.620000 93.583 -151.2135
8.750000 93.604 -151.7074
8.850000 93.621 -152.0835
9.000000 93.647 -152.6393
9.120000 93.667 -153.0809
9.250000 93.687 -153.5580
9.380000 93.707 -154.0291
9.500000 93.723 -154.4559
9.620000 93.738 -154.8763
9.750000 93.753 -155.3201
9.880000 93.767 -155.7500
10.000000 93.778 -156.1351
10.150000 93.792 -156.5988
10.300000 93.805 -157.0415
10.440000 93.818 -157.4417
10.600000 93.833 -157.8840
10.750000 93.847 -158.2886
10.900000 93.862 -158.6886
11.060000 93.878 -159.1098
11.200000 93.892 -159.4782
11.380000 93.908 -159.9498
11.500000 93.918 -160.2612
11.720000 93.934 -160.8260
11.800000 93.939 -161.0265
12.060000 93.952 -161.6606
12.200000 93.958 -161.9865
12.410000 93.966 -162.4554
12.500000 93.969 -162.6497
12.650000 93.975 -162.9639
12.800000 93.981 -163.2709
13.150000 93.996 -163.9673
13.200000 93.999 -164.0660
13.400000 94.008 -164.4587
13.600000 94.017 -164.8503
13.800000 94.026 -165.2386
14.000000 94.033 -165.6208
14.300000 94.042 -166.1755
14.500000 94.048 -166.5326
14.750000 94.058 -166.9655
15.000000 94.069 -167.3949
15.250000 94.081 -167.8306
15.500000 94.094 -168.2797
15.750000 94.106 -168.7466
16.000000 94.114 -169.2229
16.250000 94.118 -169.6965
16.500000 94.118 -170.1551
16.750000 94.115 -170.5846
17.000000 94.111 -170.9803
17.250000 94.108 -171.3464
17.500000 94.108 -171.6900
17.750000 94.111 -172.0249
18.000000 94.117 -172.3634
18.250000 94.123 -172.7099
18.500000 94.129 -173.0661
18.750000 94.133 -173.4265
19.000000 94.135 -173.7811
19.250000 94.134 -174.1226
19.500000 94.132 -174.4447
19.750000 94.130 -174.7446
20.000000 94.129 -175.0262
20.299999 94.130 -175.3478
20.600000 94.134 -175.6640
20.900000 94.140 -175.9866
21.200001 94.146 -176.3227
21.400000 94.150 -176.5547
21.799999 94.154 -177.0288
22.000000 94.155 -177.2651
22.400000 94.151 -177.7229
22.700001 94.147 -178.0449
23.000000 94.143 -178.3482
23.299999 94.140 -178.6387
23.600000 94.139 -178.9260
24.000000 94.139 -179.3199
24.299999 94.140 -179.6281
24.700001 94.138 179.9499
25.000000 94.133 179.6352
25.400000 94.125 179.2304
25.799999 94.116 178.8469
26.200001 94.108 178.4793
26.500000 94.102 178.2099
26.900000 94.094 177.8583
27.200001 94.088 177.6022
27.600000 94.081 177.2715
28.000000 94.075 176.9469
28.500000 94.069 176.5336
29.000000 94.062 176.1064
29.500000 94.050 175.6862
30.000000 94.035 175.3007
30.400000 94.025 175.0176
30.700001 94.019 174.8110
31.100000 94.014 174.5291
31.500000 94.009 174.2307
32.000000 94.001 173.8397
32.500000 93.989 173.4521
33.000000 93.974 173.0890
33.500000 93.962 172.7469
34.000000 93.952 172.4032
34.500000 93.942 172.0436
35.000000 93.929 171.6815
35.500000 93.914 171.3380
36.000000 93.901 171.0072
36.500000 93.889 170.6570
37.000000 93.872 170.2795
37.500000 93.845 169.9235
38.200001 93.802 169.5694
38.700001 93.786 169.3918
39.500000 93.786 168.9972
40.000000 93.785 168.6335
40.599998 93.771 168.1723
41.200001 93.751 167.7567
41.799999 93.736 167.3606
42.500000 93.719 166.8792
43.099998 93.701 166.4887
43.700001 93.685 166.1454
44.400002 93.673 165.7592
45.000000 93.661 165.4327
45.500000 93.650 165.1985
46.200001 93.640 164.9189
46.799999 93.636 164.6371
47.500000 93.610 164.2779
48.200001 93.567 164.1241
48.700001 93.556 164.1575
49.400002 93.587 164.0565
50.000000 93.614 163.6008
50.799999 93.579 162.7697
51.500000 93.505 162.2980
52.200001 93.448 162.0334
53.000000 93.408 161.6830
53.799999 93.371 161.2827
54.500000 93.343 160.9472
55.200001 93.322 160.5959
56.000000 93.297 160.1936
57.000000 93.268 159.7244
58.000000 93.236 159.2803
59.000000 93.202 158.8956
60.000000 93.170 158.5289
60.799999 93.145 158.2286
61.500000 93.123 157.9536
62.200001 93.102 157.6564
63.000000 93.075 157.3002
64.000000 93.041 156.8609
65.000000 93.009 156.4247
66.000000 92.978 155.9973
67.000000 92.946 155.5760
68.000000 92.909 155.1697
69.000000 92.869 154.8240
70.000000 92.833 154.4791
71.000000 92.792 154.1309
72.000000 92.754 153.8052
73.000000 92.716 153.4331
74.000000 92.670 153.0709
75.000000 92.626 152.7930
76.199997 92.592 152.4459
77.500000 92.557 151.9689
78.800003 92.517 151.4762
80.000000 92.475 151.0103
81.199997 92.426 150.5978
82.500000 92.374 150.2267
83.800003 92.329 149.8733
85.000000 92.281 149.5320
86.199997 92.233 149.2290
87.500000 92.188 148.8671
88.500000 92.154 148.5410
90.000000 92.098 148.0319
91.199997 92.053 147.6512
92.500000 92.006 147.2572
93.800003 91.956 146.8759
95.000000 91.906 146.5434
96.199997 91.855 146.2167
97.500000 91.797 145.8525
98.800003 91.738 145.4816
100.000000 91.685 145.1739
101.500000 91.631 144.8144
103.000000 91.579 144.4283
104.400002 91.524 144.1009
106.000000 91.461 143.7667
107.500000 91.399 143.4223
109.000000 91.330 143.0676
110.599998 91.253 142.7111
112.000000 91.185 142.4287
113.800003 91.096 142.1188
115.000000 91.034 141.9440
117.199997 90.916 141.7120
118.000000 90.873 141.6593
120.599998 90.744 141.6237
122.000000 90.686 141.7192
124.099998 90.629 141.9836
125.000000 90.618 142.0990
126.500000 90.619 142.2306
128.000000 90.636 142.2343
131.500000 90.691 141.6996
132.000000 90.696 141.5717
134.000000 90.700 140.9821
136.000000 90.684 140.3215
138.000000 90.652 139.6600
140.000000 90.608 139.0652
143.000000 90.517 138.2815
145.000000 90.450 137.7234
147.500000 90.377 136.8665
150.000000 90.287 136.1029
152.500000 90.205 135.8846
155.000000 90.136 135.6799
157.500000 90.053 135.3151
160.000000 89.973 134.8706
162.500000 89.896 134.4572
165.000000 89.818 134.0919
167.500000 89.738 133.7253
170.000000 89.661 133.3653
172.500000 89.586 133.0385
175.000000 89.512 132.7256
177.500000 89.438 132.4127
180.000000 89.365 132.1100
182.500000 89.293 131.8273
185.000000 89.223 131.5492
187.500000 89.154 131.2676
190.000000 89.085 130.9969
192.500000 89.016 130.7358
195.000000 88.949 130.4753
197.500000 88.884 130.2149
200.000000 88.819 129.9751
203.000000 88.740 129.7315
206.000000 88.665 129.4866
209.000000 88.591 129.2213
212.000000 88.519 128.9609
214.000000 88.471 128.7881
218.000000 88.378 128.4453
220.000000 88.333 128.2819
224.000000 88.242 127.9639
227.000000 88.173 127.7264
230.000000 88.104 127.4982
233.000000 88.039 127.2716
236.000000 87.976 127.0434
240.000000 87.893 126.7465
243.000000 87.833 126.5238
247.000000 87.770 126.2582
250.000000 87.719 126.0595
254.000000 87.620 125.7723
258.000000 87.524 125.4861
262.000000 87.441 125.2264
265.000000 87.380 125.0383
269.000000 87.303 124.7817
272.000000 87.247 124.5954
276.000000 87.171 124.3599
280.000000 87.096 124.1311
285.000000 87.003 123.8502
290.000000 86.909 123.5750
295.000000 86.817 123.2976
300.000000 86.727 123.0413
304.000000 86.652 122.8445
307.000000 86.596 122.7047
311.000000 86.521 122.5359
315.000000 86.447 122.3926
