* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -25.2 dBFS, measurement signal peak level -18.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/03/2024 9:20:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0410 ms (-14 mm, -0.55 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Maestro Mini L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.190 -122.9059
1.015000 66.433 -124.4558
1.030000 66.673 -125.9507
1.044000 66.895 -127.2911
1.060000 67.144 -128.7519
1.075000 67.374 -130.0464
1.090000 67.599 -131.2623
1.106000 67.834 -132.4664
1.120000 68.038 -133.4417
1.138000 68.298 -134.5962
1.150000 68.470 -135.3081
1.172000 68.782 -136.5044
1.180000 68.894 -136.9073
1.206000 69.257 -138.1124
1.220000 69.450 -138.7030
1.241000 69.737 -139.5248
1.250000 69.859 -139.8568
1.265000 70.062 -140.3880
1.280000 70.262 -140.8963
1.315000 70.724 -142.0255
1.320000 70.789 -142.1835
1.340000 71.048 -142.8154
1.360000 71.305 -143.4575
1.380000 71.558 -144.1235
1.400000 71.809 -144.8270
1.430000 72.180 -145.9822
1.450000 72.424 -146.8388
1.475000 72.725 -148.0235
1.500000 73.021 -149.2839
1.525000 73.313 -150.5971
1.550000 73.600 -151.9534
1.575000 73.882 -153.3431
1.600000 74.160 -154.7564
1.625000 74.434 -156.1837
1.650000 74.703 -157.6151
1.675000 74.968 -159.0411
1.700000 75.230 -160.4519
1.725000 75.487 -161.8377
1.750000 75.741 -163.1888
1.775000 75.991 -164.4956
1.800000 76.237 -165.7482
1.825000 76.480 -166.9371
1.850000 76.720 -168.0597
1.875000 76.955 -169.1313
1.900000 77.185 -170.1578
1.925000 77.412 -171.1446
1.950000 77.634 -172.0970
1.975000 77.853 -173.0203
2.000000 78.068 -173.9199
2.030000 78.321 -174.9754
2.060000 78.569 -176.0135
2.090000 78.813 -177.0434
2.120000 79.053 -178.0743
2.140000 79.211 -178.7666
2.180000 79.521 179.8242
2.200000 79.673 179.1021
2.240000 79.972 177.6442
2.270000 80.191 176.5490
2.300000 80.404 175.4544
2.330000 80.613 174.3622
2.360000 80.818 173.2741
2.400000 81.085 171.8331
2.430000 81.280 170.7620
2.470000 81.535 169.3502
2.500000 81.723 168.3059
2.540000 81.969 166.9366
2.580000 82.209 165.5958
2.620000 82.443 164.2723
2.650000 82.614 163.2903
2.690000 82.836 161.9966
2.720000 82.998 161.0392
2.760000 83.210 159.7814
2.800000 83.416 158.5470
2.850000 83.668 157.0399
2.900000 83.914 155.5766
2.950000 84.153 154.1620
3.000000 84.385 152.8058
3.040000 84.565 151.7582
3.070000 84.696 150.9907
3.110000 84.868 149.9874
3.150000 85.036 149.0021
3.200000 85.241 147.7877
3.250000 85.441 146.5825
3.300000 85.638 145.3762
3.350000 85.830 144.1658
3.400000 86.016 142.9597
3.450000 86.197 141.7654
3.500000 86.373 140.5910
3.550000 86.545 139.4441
3.600000 86.715 138.3325
3.650000 86.882 137.2641
3.700000 87.047 136.2473
3.750000 87.207 135.2816
3.820000 87.427 133.9962
3.870000 87.580 133.1113
3.950000 87.820 131.7239
4.000000 87.968 130.8582
4.060000 88.143 129.8073
4.120000 88.315 128.7579
4.180000 88.484 127.7175
4.250000 88.678 126.5222
4.310000 88.841 125.5194
4.370000 89.002 124.5422
4.440000 89.188 123.4423
4.500000 89.345 122.5354
4.550000 89.474 121.7988
4.620000 89.651 120.7870
4.680000 89.801 119.9285
4.750000 89.973 118.9250
4.820000 90.142 117.9150
4.870000 90.261 117.1956
4.940000 90.425 116.1941
5.000000 90.563 115.3427
5.080000 90.744 114.2213
5.150000 90.898 113.2558
5.220000 91.049 112.3047
5.300000 91.218 111.2330
5.380000 91.382 110.1753
5.450000 91.523 109.2597
5.520000 91.661 108.3517
5.600000 91.814 107.3242
5.700000 91.999 106.0566
5.800000 92.178 104.8095
5.900000 92.352 103.5844
6.000000 92.520 102.3796
6.080000 92.650 101.4312
6.150000 92.761 100.6136
6.220000 92.870 99.8084
6.300000 92.992 98.9046
6.400000 93.139 97.7981
6.500000 93.283 96.7133
6.600000 93.422 95.6459
6.700000 93.558 94.5957
6.800000 93.690 93.5641
6.900000 93.819 92.5508
7.000000 93.945 91.5557
7.100000 94.068 90.5809
7.200000 94.187 89.6233
7.300000 94.304 88.6786
7.400000 94.418 87.7445
7.500000 94.530 86.8232
7.620000 94.660 85.7342
7.750000 94.796 84.5739
7.880000 94.929 83.4351
8.000000 95.047 82.4003
8.120000 95.163 81.3792
8.250000 95.284 80.2896
8.380000 95.401 79.2162
8.500000 95.507 78.2389
8.620000 95.609 77.2752
8.750000 95.717 76.2450
8.850000 95.798 75.4613
9.000000 95.916 74.3014
9.120000 96.007 73.3851
9.250000 96.103 72.4027
9.380000 96.196 71.4318
9.500000 96.280 70.5452
9.620000 96.361 69.6676
9.750000 96.446 68.7272
9.880000 96.529 67.7971
10.000000 96.603 66.9474
10.150000 96.692 65.8976
10.300000 96.779 64.8621
10.440000 96.856 63.9088
10.600000 96.942 62.8340
10.750000 97.020 61.8405
10.900000 97.094 60.8607
11.060000 97.172 59.8292
11.200000 97.237 58.9387
11.380000 97.319 57.8079
11.500000 97.372 57.0624
11.720000 97.465 55.7125
11.800000 97.498 55.2265
12.060000 97.601 53.6654
12.200000 97.653 52.8360
12.410000 97.729 51.6071
12.500000 97.760 51.0865
12.650000 97.810 50.2264
12.800000 97.858 49.3773
13.150000 97.963 47.4406
13.200000 97.977 47.1693
13.400000 98.031 46.0978
13.600000 98.084 45.0477
13.800000 98.133 44.0193
14.000000 98.181 43.0103
14.300000 98.249 41.5315
14.500000 98.293 40.5659
14.750000 98.344 39.3782
15.000000 98.394 38.2106
15.250000 98.439 37.0609
15.500000 98.482 35.9296
15.750000 98.521 34.8170
16.000000 98.557 33.7245
16.250000 98.589 32.6534
16.500000 98.619 31.6039
16.750000 98.645 30.5764
17.000000 98.669 29.5693
17.250000 98.691 28.5817
17.500000 98.711 27.6119
17.750000 98.729 26.6578
18.000000 98.745 25.7184
18.250000 98.759 24.7926
18.500000 98.771 23.8801
18.750000 98.781 22.9816
19.000000 98.789 22.0977
19.250000 98.794 21.2296
19.500000 98.798 20.3776
19.750000 98.801 19.5414
20.000000 98.803 18.7199
20.299999 98.803 17.7504
20.600000 98.803 16.7959
20.900000 98.801 15.8541
21.200001 98.796 14.9255
21.400000 98.792 14.3159
21.799999 98.780 13.1240
22.000000 98.773 12.5435
22.400000 98.757 11.4143
22.700001 98.745 10.5908
23.000000 98.732 9.7806
23.299999 98.719 8.9800
23.600000 98.704 8.1901
24.000000 98.680 7.1616
24.299999 98.660 6.4174
24.700001 98.633 5.4662
25.000000 98.613 4.7775
25.400000 98.590 3.8738
25.799999 98.568 2.9636
26.200001 98.543 2.0381
26.500000 98.521 1.3417
26.900000 98.485 0.4285
27.200001 98.455 -0.2325
27.600000 98.412 -1.0739
28.000000 98.370 -1.8744
28.500000 98.319 -2.8401
29.000000 98.270 -3.7936
29.500000 98.220 -4.7441
30.000000 98.166 -5.6777
30.400000 98.121 -6.3959
30.700001 98.088 -6.9135
31.100000 98.045 -7.5835
31.500000 98.005 -8.2502
32.000000 97.956 -9.1083
32.500000 97.900 -9.9854
33.000000 97.831 -10.8168
33.500000 97.758 -11.5434
34.000000 97.692 -12.1765
34.500000 97.639 -12.7921
35.000000 97.592 -13.4476
35.500000 97.540 -14.1343
36.000000 97.483 -14.8054
36.500000 97.424 -15.4408
37.000000 97.366 -16.0586
37.500000 97.309 -16.6761
38.200001 97.222 -17.5151
38.700001 97.159 -18.0711
39.500000 97.063 -18.9145
40.000000 97.005 -19.4412
40.599998 96.932 -20.0652
41.200001 96.855 -20.6492
41.799999 96.780 -21.1824
42.500000 96.696 -21.7625
43.099998 96.628 -22.2475
43.700001 96.562 -22.7255
44.400002 96.487 -23.2678
45.000000 96.426 -23.7272
45.500000 96.378 -24.1202
46.200001 96.311 -24.6899
46.799999 96.254 -25.1842
47.500000 96.192 -25.7787
48.200001 96.129 -26.4326
48.700001 96.076 -26.9243
49.400002 95.991 -27.5646
50.000000 95.915 -28.0198
50.799999 95.825 -28.5490
51.500000 95.756 -29.0260
52.200001 95.686 -29.5280
53.000000 95.599 -30.0966
53.799999 95.507 -30.6294
54.500000 95.424 -31.0507
55.200001 95.343 -31.4451
56.000000 95.252 -31.8961
57.000000 95.135 -32.4478
58.000000 95.019 -32.9568
59.000000 94.908 -33.4520
60.000000 94.799 -33.9440
60.799999 94.711 -34.3165
61.500000 94.635 -34.6185
62.200001 94.562 -34.9117
63.000000 94.479 -35.2523
64.000000 94.372 -35.6598
65.000000 94.264 -36.0154
66.000000 94.162 -36.3547
67.000000 94.061 -36.7048
68.000000 93.959 -37.0534
69.000000 93.855 -37.3778
70.000000 93.755 -37.6774
71.000000 93.656 -37.9686
72.000000 93.559 -38.2485
73.000000 93.462 -38.5117
74.000000 93.366 -38.7646
75.000000 93.271 -39.0106
76.199997 93.157 -39.2860
77.500000 93.037 -39.5630
78.800003 92.919 -39.8374
80.000000 92.811 -40.0803
81.199997 92.704 -40.3077
82.500000 92.588 -40.5299
83.800003 92.474 -40.7355
85.000000 92.371 -40.9139
86.199997 92.269 -41.0844
87.500000 92.161 -41.2637
88.500000 92.078 -41.4009
90.000000 91.953 -41.5958
91.199997 91.853 -41.7334
92.500000 91.746 -41.8629
93.800003 91.640 -41.9718
95.000000 91.544 -42.0609
96.199997 91.451 -42.1439
97.500000 91.353 -42.2288
98.800003 91.257 -42.3193
100.000000 91.167 -42.4096
101.500000 91.050 -42.4894
103.000000 90.935 -42.5265
104.400002 90.830 -42.5510
106.000000 90.712 -42.5737
107.500000 90.602 -42.5830
109.000000 90.494 -42.5815
110.599998 90.381 -42.5691
112.000000 90.283 -42.5429
113.800003 90.161 -42.4837
115.000000 90.082 -42.4211
117.199997 89.946 -42.2699
118.000000 89.899 -42.2085
120.599998 89.755 -41.9997
122.000000 89.681 -41.8953
124.099998 89.573 -41.7853
125.000000 89.526 -41.7623
126.500000 89.448 -41.7482
128.000000 89.371 -41.7476
131.500000 89.205 -41.7188
132.000000 89.183 -41.7044
134.000000 89.093 -41.6768
136.000000 88.976 -41.6780
138.000000 88.845 -41.5754
140.000000 88.725 -41.4512
143.000000 88.561 -41.2863
145.000000 88.454 -41.1778
147.500000 88.318 -41.0654
150.000000 88.180 -40.9164
152.500000 88.056 -40.6310
155.000000 87.939 -40.3394
157.500000 87.815 -40.0528
160.000000 87.693 -39.7834
162.500000 87.574 -39.5063
165.000000 87.455 -39.2032
167.500000 87.336 -38.8800
170.000000 87.220 -38.5209
172.500000 87.110 -38.1308
175.000000 86.999 -37.7236
177.500000 86.888 -37.2883
180.000000 86.781 -36.8082
182.500000 86.679 -36.2778
185.000000 86.581 -35.7023
187.500000 86.493 -35.0803
190.000000 86.420 -34.3974
192.500000 86.365 -33.6616
195.000000 86.334 -32.9521
197.500000 86.331 -32.3992
200.000000 86.346 -32.0392
203.000000 86.362 -31.7626
206.000000 86.356 -31.5844
209.000000 86.321 -31.5739
212.000000 86.258 -31.6299
214.000000 86.207 -31.6356
218.000000 86.095 -31.5225
220.000000 86.035 -31.4195
224.000000 85.912 -31.1436
227.000000 85.822 -30.8704
230.000000 85.734 -30.5845
233.000000 85.647 -30.3276
236.000000 85.563 -30.0146
240.000000 85.468 -29.4121
243.000000 85.400 -28.9489
247.000000 85.314 -28.3727
250.000000 85.252 -27.9559
254.000000 85.168 -27.4560
258.000000 85.088 -26.9551
262.000000 85.013 -26.4069
265.000000 84.961 -25.9650
269.000000 84.896 -25.3738
272.000000 84.847 -24.9844
276.000000 84.781 -24.4914
280.000000 84.720 -23.9554
285.000000 84.649 -23.2727
290.000000 84.581 -22.6089
