* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -26.1 dBFS, measurement signal peak level -18.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/03/2024 9:21:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0300 ms (-10 mm, -0.41 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Maestro Mini R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 68.441 -132.6698
1.015000 68.660 -134.2243
1.030000 68.878 -135.7224
1.044000 69.078 -137.0642
1.060000 69.303 -138.5247
1.075000 69.511 -139.8170
1.090000 69.714 -141.0288
1.106000 69.927 -142.2262
1.120000 70.111 -143.1930
1.138000 70.346 -144.3330
1.150000 70.500 -145.0332
1.172000 70.781 -146.2041
1.180000 70.882 -146.5966
1.206000 71.208 -147.7645
1.220000 71.381 -148.3328
1.241000 71.638 -149.1191
1.250000 71.747 -149.4352
1.265000 71.928 -149.9390
1.280000 72.107 -150.4192
1.315000 72.520 -151.4809
1.320000 72.578 -151.6291
1.340000 72.810 -152.2220
1.360000 73.039 -152.8257
1.380000 73.266 -153.4541
1.400000 73.491 -154.1214
1.430000 73.824 -155.2261
1.450000 74.043 -156.0522
1.475000 74.315 -157.2031
1.500000 74.583 -158.4328
1.525000 74.846 -159.7177
1.550000 75.106 -161.0475
1.575000 75.362 -162.4121
1.600000 75.614 -163.8013
1.625000 75.863 -165.2051
1.650000 76.108 -166.6132
1.675000 76.349 -168.0154
1.700000 76.587 -169.4017
1.725000 76.822 -170.7620
1.750000 77.053 -172.0859
1.775000 77.282 -173.3634
1.800000 77.507 -174.5843
1.825000 77.729 -175.7385
1.850000 77.948 -176.8233
1.875000 78.163 -177.8543
1.900000 78.375 -178.8378
1.925000 78.583 -179.7796
1.950000 78.787 179.3148
1.975000 78.989 178.4396
2.000000 79.187 177.5892
2.030000 79.420 176.5936
2.060000 79.650 175.6158
2.090000 79.875 174.6459
2.120000 80.097 173.6744
2.140000 80.243 173.0208
2.180000 80.530 171.6867
2.200000 80.672 171.0005
2.240000 80.950 169.6131
2.270000 81.153 168.5702
2.300000 81.352 167.5272
2.330000 81.547 166.4862
2.360000 81.738 165.4489
2.400000 81.988 164.0747
2.430000 82.171 163.0532
2.470000 82.411 161.7069
2.500000 82.587 160.7112
2.540000 82.818 159.4059
2.580000 83.045 158.1284
2.620000 83.265 156.8677
2.650000 83.426 155.9322
2.690000 83.636 154.6998
2.720000 83.790 153.7879
2.760000 83.991 152.5900
2.800000 84.188 151.4146
2.850000 84.427 149.9799
2.900000 84.661 148.5873
2.950000 84.890 147.2420
3.000000 85.112 145.9541
3.040000 85.284 144.9604
3.070000 85.410 144.2328
3.110000 85.575 143.2817
3.150000 85.736 142.3474
3.200000 85.934 141.1944
3.250000 86.127 140.0478
3.300000 86.318 138.8968
3.350000 86.503 137.7381
3.400000 86.684 136.5804
3.450000 86.859 135.4319
3.500000 87.031 134.3008
3.550000 87.199 133.1954
3.600000 87.364 132.1238
3.650000 87.527 131.0944
3.700000 87.688 130.1158
3.750000 87.846 129.1873
3.820000 88.060 127.9516
3.870000 88.211 127.1001
3.950000 88.447 125.7619
4.000000 88.592 124.9238
4.060000 88.764 123.9026
4.120000 88.933 122.8788
4.180000 89.100 121.8605
4.250000 89.290 120.6875
4.310000 89.451 119.7015
4.370000 89.610 118.7396
4.440000 89.792 117.6562
4.500000 89.947 116.7614
4.550000 90.073 116.0336
4.620000 90.248 115.0319
4.680000 90.395 114.1801
4.750000 90.563 113.1825
4.820000 90.728 112.1756
4.870000 90.844 111.4565
4.940000 91.004 110.4532
5.000000 91.138 109.5992
5.080000 91.313 108.4734
5.150000 91.462 107.5042
5.220000 91.607 106.5484
5.300000 91.769 105.4700
5.380000 91.927 104.4055
5.450000 92.061 103.4845
5.520000 92.191 102.5725
5.600000 92.335 101.5404
5.700000 92.510 100.2682
5.800000 92.677 99.0190
5.900000 92.839 97.7960
6.000000 92.995 96.5967
6.080000 93.114 95.6550
6.150000 93.217 94.8452
6.220000 93.317 94.0495
6.300000 93.429 93.1592
6.400000 93.564 92.0734
6.500000 93.696 91.0119
6.600000 93.824 89.9687
6.700000 93.949 88.9446
6.800000 94.071 87.9410
6.900000 94.190 86.9548
7.000000 94.307 85.9840
7.100000 94.421 85.0325
7.200000 94.533 84.0961
7.300000 94.642 83.1685
7.400000 94.748 82.2462
7.500000 94.853 81.3326
7.620000 94.974 80.2471
7.750000 95.101 79.0833
7.880000 95.224 77.9326
8.000000 95.333 76.8819
8.120000 95.438 75.8420
8.250000 95.548 74.7270
8.380000 95.652 73.6266
8.500000 95.746 72.6258
8.620000 95.835 71.6384
8.750000 95.928 70.5842
8.850000 95.998 69.7846
9.000000 96.099 68.6040
9.120000 96.176 67.6735
9.250000 96.258 66.6779
9.380000 96.338 65.6963
9.500000 96.409 64.7999
9.620000 96.478 63.9119
9.750000 96.551 62.9602
9.880000 96.622 62.0169
10.000000 96.686 61.1523
10.150000 96.762 60.0813
10.300000 96.835 59.0218
10.440000 96.901 58.0427
10.600000 96.973 56.9372
10.750000 97.037 55.9149
10.900000 97.099 54.9061
11.060000 97.162 53.8472
11.200000 97.214 52.9353
11.380000 97.280 51.7813
11.500000 97.322 51.0239
11.720000 97.397 49.6569
11.800000 97.424 49.1660
12.060000 97.507 47.5929
12.200000 97.550 46.7570
12.410000 97.612 45.5184
12.500000 97.638 44.9929
12.650000 97.679 44.1237
12.800000 97.718 43.2646
13.150000 97.802 41.3026
13.200000 97.813 41.0281
13.400000 97.855 39.9442
13.600000 97.895 38.8850
13.800000 97.932 37.8516
14.000000 97.968 36.8416
14.300000 98.017 35.3683
14.500000 98.049 34.4091
14.750000 98.086 33.2311
15.000000 98.121 32.0739
15.250000 98.152 30.9351
15.500000 98.180 29.8161
15.750000 98.205 28.7181
16.000000 98.225 27.6429
16.250000 98.243 26.5912
16.500000 98.258 25.5624
16.750000 98.271 24.5549
17.000000 98.282 23.5657
17.250000 98.290 22.5933
17.500000 98.297 21.6358
17.750000 98.301 20.6929
18.000000 98.304 19.7645
18.250000 98.304 18.8507
18.500000 98.303 17.9518
18.750000 98.300 17.0673
19.000000 98.295 16.1968
19.250000 98.289 15.3397
19.500000 98.282 14.4965
19.750000 98.274 13.6674
20.000000 98.264 12.8536
20.299999 98.252 11.8973
20.600000 98.238 10.9622
20.900000 98.224 10.0458
21.200001 98.209 9.1453
21.400000 98.198 8.5529
21.799999 98.175 7.3885
22.000000 98.162 6.8185
22.400000 98.134 5.7071
22.700001 98.112 4.8998
23.000000 98.089 4.1118
23.299999 98.065 3.3373
23.600000 98.041 2.5727
24.000000 98.004 1.5702
24.299999 97.973 0.8395
24.700001 97.929 -0.0927
25.000000 97.896 -0.7571
25.400000 97.853 -1.6089
25.799999 97.815 -2.4523
26.200001 97.779 -3.3148
26.500000 97.749 -3.9755
26.900000 97.705 -4.8590
27.200001 97.668 -5.5080
27.600000 97.616 -6.3428
28.000000 97.563 -7.1447
28.500000 97.499 -8.1140
29.000000 97.434 -9.0459
29.500000 97.372 -9.9327
30.000000 97.316 -10.7968
30.400000 97.273 -11.4945
30.700001 97.238 -12.0192
31.100000 97.187 -12.6886
31.500000 97.133 -13.2879
32.000000 97.078 -13.9406
32.500000 97.042 -14.6016
33.000000 97.013 -15.4096
33.500000 96.962 -16.3441
34.000000 96.876 -17.2157
34.500000 96.777 -17.8665
35.000000 96.692 -18.3360
35.500000 96.631 -18.8019
36.000000 96.578 -19.3734
36.500000 96.516 -20.0075
37.000000 96.444 -20.6091
37.500000 96.374 -21.1591
38.200001 96.285 -21.9386
38.700001 96.221 -22.5302
39.500000 96.110 -23.4400
40.000000 96.043 -23.9658
40.599998 95.969 -24.5923
41.200001 95.896 -25.2333
41.799999 95.820 -25.8622
42.500000 95.729 -26.5502
43.099998 95.652 -27.1057
43.700001 95.575 -27.6381
44.400002 95.485 -28.2318
45.000000 95.408 -28.7220
45.500000 95.342 -29.1196
46.200001 95.249 -29.6524
46.799999 95.170 -30.0883
47.500000 95.079 -30.5953
48.200001 94.983 -31.0944
48.700001 94.913 -31.4149
49.400002 94.823 -31.8070
50.000000 94.757 -32.1582
50.799999 94.672 -32.7312
51.500000 94.585 -33.2610
52.200001 94.492 -33.7266
53.000000 94.390 -34.2016
53.799999 94.293 -34.6669
54.500000 94.208 -35.0575
55.200001 94.124 -35.4297
56.000000 94.031 -35.8438
57.000000 93.914 -36.3401
58.000000 93.798 -36.8102
59.000000 93.683 -37.2588
60.000000 93.570 -37.6902
60.799999 93.479 -38.0223
61.500000 93.400 -38.3029
62.200001 93.322 -38.5769
63.000000 93.233 -38.8840
64.000000 93.123 -39.2538
65.000000 93.014 -39.6091
66.000000 92.905 -39.9500
67.000000 92.797 -40.2669
68.000000 92.692 -40.5674
69.000000 92.588 -40.8630
70.000000 92.485 -41.1496
71.000000 92.382 -41.4285
72.000000 92.280 -41.6947
73.000000 92.178 -41.9413
74.000000 92.079 -42.1776
75.000000 91.980 -42.4064
76.199997 91.862 -42.6649
77.500000 91.735 -42.9259
78.800003 91.610 -43.1687
80.000000 91.495 -43.3804
81.199997 91.383 -43.5875
82.500000 91.262 -43.8032
83.800003 91.143 -43.9981
85.000000 91.035 -44.1608
86.199997 90.929 -44.3115
87.500000 90.813 -44.4652
88.500000 90.724 -44.5739
90.000000 90.592 -44.7239
91.199997 90.488 -44.8408
92.500000 90.377 -44.9572
93.800003 90.269 -45.0607
95.000000 90.171 -45.1462
96.199997 90.073 -45.2194
97.500000 89.967 -45.2842
98.800003 89.860 -45.3217
100.000000 89.765 -45.3480
101.500000 89.648 -45.4176
103.000000 89.527 -45.4932
104.400002 89.416 -45.5447
106.000000 89.291 -45.5774
107.500000 89.176 -45.5774
109.000000 89.063 -45.5617
110.599998 88.944 -45.5498
112.000000 88.839 -45.5396
113.800003 88.704 -45.5179
115.000000 88.614 -45.4923
117.199997 88.451 -45.4037
118.000000 88.393 -45.3600
120.599998 88.204 -45.1858
122.000000 88.103 -45.0763
124.099998 87.954 -44.8861
125.000000 87.891 -44.7944
126.500000 87.786 -44.6246
128.000000 87.682 -44.4298
131.500000 87.442 -43.8483
132.000000 87.409 -43.7466
134.000000 87.279 -43.2940
136.000000 87.159 -42.8240
138.000000 87.045 -42.3105
140.000000 86.947 -41.7145
143.000000 86.844 -40.7501
145.000000 86.801 -40.1714
147.500000 86.773 -39.6865
150.000000 86.756 -39.4588
152.500000 86.750 -39.3779
155.000000 86.727 -39.4910
157.500000 86.665 -39.6837
160.000000 86.574 -39.8678
162.500000 86.468 -39.9978
165.000000 86.354 -40.0659
167.500000 86.236 -40.0659
170.000000 86.116 -39.9569
172.500000 86.002 -39.7777
175.000000 85.889 -39.5829
177.500000 85.777 -39.3583
180.000000 85.669 -39.1001
182.500000 85.566 -38.8245
185.000000 85.464 -38.5449
187.500000 85.365 -38.2560
190.000000 85.271 -37.9495
192.500000 85.184 -37.6180
195.000000 85.101 -37.2720
197.500000 85.022 -36.9603
200.000000 84.942 -36.7197
203.000000 84.837 -36.3932
206.000000 84.739 -35.9519
209.000000 84.645 -35.5337
212.000000 84.552 -35.1523
214.000000 84.492 -34.9001
218.000000 84.368 -34.3698
220.000000 84.305 -34.0865
224.000000 84.183 -33.4458
227.000000 84.103 -32.9327
230.000000 84.028 -32.4858
233.000000 83.949 -32.0981
236.000000 83.868 -31.6707
240.000000 83.769 -30.9901
243.000000 83.694 -30.4227
247.000000 83.592 -29.5946
250.000000 83.522 -28.9558
254.000000 83.460 -28.1169
258.000000 83.426 -27.3000
262.000000 83.409 -26.5591
265.000000 83.409 -26.1150
269.000000 83.411 -25.6794
272.000000 83.395 -25.4081
276.000000 83.352 -25.0668
280.000000 83.303 -24.7473
285.000000 83.234 -24.3038
290.000000 83.159 -23.8021
