* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -27.1 dBFS, measurement signal peak level -27.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 09/12/2023 12:01:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0964 ms (-33 mm, -1.3 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Magic One L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 37.391 -98.2594
1.015000 37.552 -102.6050
1.030000 37.732 -106.8019
1.044000 37.915 -110.5641
1.060000 38.144 -114.6552
1.075000 38.379 -118.2644
1.090000 38.633 -121.6304
1.106000 38.930 -124.9502
1.120000 39.222 -127.7470
1.138000 39.644 -131.2320
1.150000 39.951 -133.4859
1.172000 40.564 -137.4732
1.180000 40.801 -138.8765
1.206000 41.615 -143.2650
1.220000 42.078 -145.5186
1.241000 42.797 -148.7548
1.250000 43.113 -150.0885
1.265000 43.646 -152.2405
1.280000 44.187 -154.3034
1.315000 45.457 -158.7693
1.320000 45.638 -159.3674
1.340000 46.356 -161.6599
1.360000 47.059 -163.7917
1.380000 47.739 -165.7625
1.400000 48.391 -167.5716
1.430000 49.298 -169.9807
1.450000 49.845 -171.3828
1.475000 50.457 -172.8779
1.500000 51.020 -173.8693
1.525000 51.548 -174.3651
1.550000 52.043 -174.4357
1.575000 52.509 -174.1515
1.600000 52.948 -173.5829
1.625000 53.365 -172.8001
1.650000 53.761 -171.8736
1.675000 54.141 -170.8737
1.700000 54.507 -169.8707
1.725000 54.863 -168.9349
1.750000 55.211 -168.1368
1.775000 55.555 -167.5467
1.800000 55.899 -167.2349
1.825000 56.245 -167.2718
1.850000 56.590 -167.6619
1.875000 56.923 -168.2681
1.900000 57.245 -169.0561
1.925000 57.555 -169.9973
1.950000 57.856 -171.0632
1.975000 58.146 -172.2252
2.000000 58.429 -173.4548
2.030000 58.757 -174.9793
2.060000 59.076 -176.5107
2.090000 59.387 -177.9997
2.120000 59.691 -179.3969
2.140000 59.891 179.7470
2.180000 60.285 178.2813
2.200000 60.480 177.7005
2.240000 60.860 176.7572
2.270000 61.134 176.1865
2.300000 61.399 175.7130
2.330000 61.656 175.3186
2.360000 61.907 174.9852
2.400000 62.230 174.6042
2.430000 62.466 174.3428
2.470000 62.773 173.9922
2.500000 62.999 173.7042
2.540000 63.296 173.2526
2.580000 63.587 172.6955
2.620000 63.870 172.1017
2.650000 64.075 171.6468
2.690000 64.341 171.0291
2.720000 64.535 170.5586
2.760000 64.788 169.9235
2.800000 65.034 169.2814
2.850000 65.335 168.4724
2.900000 65.630 167.6600
2.950000 65.920 166.8435
3.000000 66.201 165.9857
3.040000 66.420 165.2765
3.070000 66.580 164.7387
3.110000 66.790 164.0234
3.150000 66.996 163.3209
3.200000 67.248 162.4785
3.250000 67.496 161.6972
3.300000 67.741 161.0001
3.350000 67.981 160.4185
3.400000 68.216 159.9377
3.450000 68.446 159.5198
3.500000 68.671 159.1266
3.550000 68.892 158.7202
3.600000 69.109 158.2625
3.650000 69.323 157.7155
3.700000 69.534 157.0529
3.750000 69.742 156.2983
3.820000 70.026 155.1425
3.870000 70.225 154.2842
3.950000 70.535 152.9329
4.000000 70.725 152.1461
4.060000 70.948 151.3032
4.120000 71.166 150.5571
4.180000 71.379 149.8676
4.250000 71.622 149.0818
4.310000 71.824 148.3789
4.370000 72.020 147.6071
4.440000 72.243 146.5792
4.500000 72.428 145.6112
4.550000 72.578 144.7641
4.620000 72.782 143.5471
4.680000 72.951 142.5036
4.750000 73.140 141.3225
4.820000 73.321 140.1984
4.870000 73.446 139.4131
4.940000 73.614 138.3257
5.000000 73.752 137.3939
5.080000 73.927 136.1340
5.150000 74.071 134.9981
5.220000 74.207 133.8262
5.300000 74.353 132.4611
5.380000 74.488 131.0918
5.450000 74.598 129.9090
5.520000 74.700 128.7543
5.600000 74.806 127.4462
5.700000 74.925 125.8333
5.800000 75.028 124.2676
5.900000 75.118 122.7684
6.000000 75.192 121.3155
6.080000 75.241 120.1958
6.150000 75.279 119.2582
6.220000 75.313 118.3691
6.300000 75.345 117.4051
6.400000 75.375 116.2678
6.500000 75.398 115.2329
6.600000 75.424 114.3301
6.700000 75.448 113.5747
6.800000 75.470 112.9459
6.900000 75.501 112.4180
7.000000 75.547 111.9735
7.100000 75.604 111.6480
7.200000 75.674 111.4028
7.300000 75.762 111.1810
7.400000 75.875 110.9721
7.500000 76.008 110.8173
7.620000 76.190 110.5974
7.750000 76.410 110.1920
7.880000 76.663 109.6632
8.000000 76.908 109.0305
8.120000 77.149 108.2055
8.250000 77.419 107.1053
8.380000 77.678 105.8331
8.500000 77.895 104.5185
8.620000 78.096 103.0439
8.750000 78.289 101.3701
8.850000 78.412 100.0772
9.000000 78.562 98.0562
9.120000 78.652 96.4936
9.250000 78.717 94.9350
9.380000 78.749 93.4670
9.500000 78.762 92.2934
9.620000 78.759 91.3472
9.750000 78.737 90.5378
9.880000 78.721 89.9804
10.000000 78.726 89.7316
10.150000 78.741 89.7266
10.300000 78.766 89.9069
10.440000 78.854 90.2962
10.600000 79.001 90.7896
10.750000 79.192 91.1494
10.900000 79.426 91.4358
11.060000 79.692 91.4594
11.200000 79.945 91.2506
11.380000 80.263 90.7040
11.500000 80.463 90.1395
11.720000 80.799 88.8404
11.800000 80.905 88.3193
12.060000 81.200 86.4682
12.200000 81.326 85.5089
12.410000 81.479 84.1219
12.500000 81.537 83.5871
12.650000 81.620 82.7685
12.800000 81.696 82.0290
13.150000 81.873 80.6056
13.200000 81.899 80.4165
13.400000 82.007 79.7021
13.600000 82.116 78.9794
13.800000 82.226 78.2172
14.000000 82.326 77.4176
14.300000 82.455 76.1665
14.500000 82.521 75.3499
14.750000 82.588 74.4178
15.000000 82.641 73.6134
15.250000 82.696 72.9587
15.500000 82.762 72.4011
15.750000 82.842 71.9000
16.000000 82.940 71.3784
16.250000 83.047 70.7875
16.500000 83.160 70.1124
16.750000 83.270 69.3473
17.000000 83.372 68.5261
17.250000 83.465 67.6720
17.500000 83.548 66.8145
17.750000 83.624 65.9810
18.000000 83.694 65.1815
18.250000 83.759 64.4260
18.500000 83.823 63.7183
18.750000 83.887 63.0554
19.000000 83.952 62.4343
19.250000 84.020 61.8432
19.500000 84.091 61.2711
19.750000 84.163 60.7092
20.000000 84.237 60.1462
20.299999 84.325 59.4672
20.600000 84.410 58.7848
20.900000 84.491 58.1027
21.200001 84.568 57.4233
21.400000 84.616 56.9708
21.799999 84.704 56.0685
22.000000 84.742 55.6240
22.400000 84.808 54.7712
22.700001 84.849 54.1900
23.000000 84.889 53.6765
23.299999 84.933 53.2175
23.600000 84.986 52.7775
24.000000 85.069 52.1476
24.299999 85.135 51.5990
24.700001 85.216 50.7662
25.000000 85.265 50.1111
25.400000 85.317 49.2777
25.799999 85.365 48.5451
26.200001 85.423 47.8873
26.500000 85.474 47.3942
26.900000 85.549 46.6891
27.200001 85.602 46.1237
27.600000 85.663 45.3643
28.000000 85.713 44.6677
28.500000 85.774 43.9300
29.000000 85.845 43.2670
29.500000 85.919 42.5670
30.000000 85.976 41.8148
30.400000 86.001 41.2463
30.700001 86.010 40.8814
31.100000 86.016 40.4985
31.500000 86.025 40.2115
32.000000 86.046 39.9089
32.500000 86.077 39.5936
33.000000 86.116 39.2303
33.500000 86.165 38.7804
34.000000 86.222 38.1642
34.500000 86.270 37.3398
35.000000 86.296 36.3751
35.500000 86.298 35.4095
36.000000 86.288 34.5328
36.500000 86.281 33.7568
37.000000 86.283 33.0697
37.500000 86.300 32.4568
38.200001 86.346 31.6437
38.700001 86.380 31.0953
39.500000 86.440 30.6310
40.000000 86.533 30.6174
40.599998 86.730 30.3634
41.200001 86.928 29.3201
41.799999 87.007 27.7979
42.500000 86.938 26.5474
43.099998 86.859 26.3538
43.700001 86.849 26.5060
44.400002 86.895 26.4286
45.000000 86.909 26.0873
45.500000 86.888 25.9121
46.200001 86.884 26.1208
46.799999 86.988 26.2898
47.500000 87.169 25.4322
48.200001 87.213 23.5977
48.700001 87.130 22.4827
49.400002 86.984 21.8298
50.000000 86.931 21.6581
50.799999 86.922 21.1838
51.500000 86.909 20.6613
52.200001 86.904 20.1763
53.000000 86.899 19.5516
53.799999 86.882 19.0118
54.500000 86.881 18.6228
55.200001 86.887 18.1768
56.000000 86.885 17.6883
57.000000 86.898 17.1747
58.000000 86.918 16.5285
59.000000 86.915 15.9183
60.000000 86.916 15.4340
60.799999 86.922 15.0220
61.500000 86.921 14.6514
62.200001 86.916 14.3090
63.000000 86.911 13.9307
64.000000 86.901 13.4470
65.000000 86.888 13.0076
66.000000 86.885 12.5759
67.000000 86.882 12.0970
68.000000 86.874 11.6230
69.000000 86.864 11.1982
70.000000 86.857 10.7971
71.000000 86.849 10.3799
72.000000 86.833 9.9656
73.000000 86.813 9.6029
74.000000 86.800 9.2536
75.000000 86.790 8.8557
76.199997 86.770 8.3516
77.500000 86.740 7.8873
78.800003 86.719 7.5442
80.000000 86.711 7.1841
81.199997 86.692 6.7680
82.500000 86.655 6.3697
83.800003 86.622 6.0537
85.000000 86.605 5.7314
86.199997 86.584 5.3214
87.500000 86.551 4.9413
88.500000 86.529 4.7168
90.000000 86.502 4.4219
91.199997 86.482 4.1818
92.500000 86.450 3.8785
93.800003 86.401 3.5828
95.000000 86.346 3.3826
96.199997 86.301 3.2878
97.500000 86.284 3.0978
98.800003 86.260 2.7410
100.000000 86.224 2.4581
101.500000 86.179 2.2312
103.000000 86.139 2.0730
104.400002 86.092 1.9552
106.000000 86.029 1.9341
107.500000 85.975 2.0051
109.000000 85.925 2.1122
110.599998 85.878 2.3546
112.000000 85.857 2.6884
113.800003 85.866 3.1143
115.000000 85.880 3.4097
117.199997 85.963 4.0536
118.000000 86.018 4.2028
120.599998 86.219 3.9374
122.000000 86.302 3.4163
124.099998 86.399 2.3947
125.000000 86.428 1.8807
126.500000 86.446 1.0327
128.000000 86.432 0.3842
131.500000 86.404 -0.6113
132.000000 86.397 -0.7567
134.000000 86.360 -1.2343
136.000000 86.325 -1.6046
138.000000 86.273 -2.0054
140.000000 86.183 -2.4359
143.000000 86.073 -3.0139
145.000000 86.040 -3.3884
147.500000 85.999 -3.5803
150.000000 85.934 -3.6404
152.500000 85.859 -3.9686
155.000000 85.796 -4.2671
157.500000 85.749 -4.4521
160.000000 85.685 -4.7385
162.500000 85.624 -4.9974
165.000000 85.598 -4.7411
167.500000 85.560 -4.1750
170.000000 85.517 -3.7644
172.500000 85.510 -4.4856
175.000000 85.421 -5.5977
177.500000 85.340 -6.0424
180.000000 85.313 -6.0578
182.500000 85.309 -5.9997
185.000000 85.276 -6.2415
187.500000 85.272 -6.8016
190.000000 85.406 -7.1576
192.500000 85.640 -7.0603
195.000000 85.685 -7.3164
197.500000 85.392 -7.5244
200.000000 85.110 -7.5165
203.000000 84.985 -7.6908
206.000000 84.926 -7.6808
209.000000 84.851 -7.7540
212.000000 84.791 -7.8989
214.000000 84.755 -7.9655
218.000000 84.664 -8.1653
220.000000 84.614 -8.2726
224.000000 84.519 -8.3491
227.000000 84.445 -8.3640
230.000000 84.369 -8.3802
233.000000 84.289 -8.3706
236.000000 84.210 -8.3456
240.000000 84.111 -8.2120
243.000000 84.036 -8.0248
247.000000 83.935 -7.8837
250.000000 83.861 -7.8106
254.000000 83.775 -7.5867
258.000000 83.690 -7.2804
262.000000 83.597 -6.9733
265.000000 83.535 -6.7445
269.000000 83.465 -6.4329
272.000000 83.415 -6.1733
276.000000 83.350 -5.8021
280.000000 83.285 -5.4358
285.000000 83.210 -4.9824
290.000000 83.145 -4.5170
295.000000 83.081 -4.0689
300.000000 83.014 -3.6145
304.000000 82.970 -3.2145
307.000000 82.942 -2.9142
311.000000 82.904 -2.5211
315.000000 82.862 -2.1165
320.000000 82.815 -1.5717
325.000000 82.781 -0.9838
