* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -23.2 dBFS, measurement signal peak level -23.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 23/10/2022 8:44:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1356 ms (-47 mm, -1.83 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Master L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.469 -31.8296
1.015000 51.566 -32.7129
1.030000 51.660 -33.5851
1.044000 51.744 -34.3868
1.060000 51.838 -35.2859
1.075000 51.921 -36.1098
1.090000 52.001 -36.9128
1.106000 52.082 -37.7457
1.120000 52.149 -38.4655
1.138000 52.234 -39.3824
1.150000 52.288 -39.9886
1.172000 52.384 -41.0896
1.180000 52.417 -41.4868
1.206000 52.522 -42.7666
1.220000 52.576 -43.4491
1.241000 52.653 -44.4647
1.250000 52.685 -44.8970
1.265000 52.736 -45.6140
1.280000 52.785 -46.3267
1.315000 52.893 -47.9741
1.320000 52.908 -48.2078
1.340000 52.964 -49.1390
1.360000 53.017 -50.0646
1.380000 53.067 -50.9854
1.400000 53.114 -51.9018
1.430000 53.180 -53.2696
1.450000 53.220 -54.1777
1.475000 53.266 -55.3122
1.500000 53.309 -56.4653
1.525000 53.346 -57.6353
1.550000 53.379 -58.8149
1.575000 53.408 -59.9969
1.600000 53.431 -61.1739
1.625000 53.450 -62.3386
1.650000 53.463 -63.4837
1.675000 53.471 -64.6020
1.700000 53.474 -65.6860
1.725000 53.472 -66.7285
1.750000 53.464 -67.7222
1.775000 53.450 -68.6598
1.800000 53.431 -69.5339
1.825000 53.406 -70.3373
1.850000 53.373 -71.0820
1.875000 53.331 -71.8070
1.900000 53.279 -72.5078
1.925000 53.218 -73.1781
1.950000 53.152 -73.8115
1.975000 53.079 -74.4015
2.000000 53.002 -74.9418
2.030000 52.906 -75.5155
2.060000 52.807 -75.9973
2.090000 52.708 -76.3762
2.120000 52.611 -76.6410
2.140000 52.548 -76.7488
2.180000 52.430 -76.7844
2.200000 52.376 -76.7057
2.240000 52.255 -76.3256
2.270000 52.151 -75.8570
2.300000 52.039 -75.2508
2.330000 51.925 -74.5247
2.360000 51.813 -73.6962
2.400000 51.676 -72.4632
2.430000 51.588 -71.4649
2.470000 51.499 -70.0695
2.500000 51.460 -68.9977
2.540000 51.453 -67.5685
2.580000 51.507 -66.1483
2.620000 51.614 -64.5344
2.650000 51.724 -63.2003
2.690000 51.906 -61.3139
2.720000 52.066 -59.8578
2.760000 52.304 -57.9187
2.800000 52.564 -56.0481
2.850000 52.913 -53.9154
2.900000 53.276 -52.1420
2.950000 53.646 -50.8402
3.000000 54.062 -49.8505
3.040000 54.425 -49.2402
3.070000 54.709 -48.8848
3.110000 55.098 -48.5431
3.150000 55.490 -48.3475
3.200000 55.972 -48.3004
3.250000 56.429 -48.4630
3.300000 56.845 -48.8255
3.350000 57.232 -49.4729
3.400000 57.606 -50.4249
3.450000 57.965 -51.6156
3.500000 58.306 -52.9793
3.550000 58.627 -54.4501
3.600000 58.926 -55.9622
3.650000 59.199 -57.4497
3.700000 59.448 -58.9133
3.750000 59.673 -60.4666
3.820000 59.952 -62.7555
3.870000 60.125 -64.4383
3.950000 60.357 -67.1454
4.000000 60.475 -68.8078
4.060000 60.588 -70.7580
4.120000 60.669 -72.7565
4.180000 60.720 -74.7727
4.250000 60.740 -77.0779
4.310000 60.725 -78.9535
4.370000 60.680 -80.6816
4.440000 60.589 -82.5270
4.500000 60.470 -84.1063
4.550000 60.347 -85.3600
4.620000 60.144 -86.9031
4.680000 59.949 -87.9202
4.750000 59.705 -88.6098
4.820000 59.421 -88.7234
4.870000 59.178 -88.5316
4.940000 58.813 -87.8905
5.000000 58.508 -87.0010
5.080000 58.164 -85.3365
5.150000 57.961 -83.4106
5.220000 57.805 -80.7477
5.300000 57.682 -77.0431
5.380000 57.649 -73.1055
5.450000 57.720 -69.8567
5.520000 57.909 -67.0697
5.600000 58.305 -63.9686
5.700000 58.979 -60.3392
5.800000 59.712 -57.4869
5.900000 60.376 -55.9241
6.000000 61.054 -55.6504
6.080000 61.592 -56.1033
6.150000 62.032 -56.8235
6.220000 62.420 -57.7100
6.300000 62.797 -59.0128
6.400000 63.203 -61.2387
6.500000 63.527 -63.7881
6.600000 63.762 -66.2970
6.700000 63.906 -68.8842
6.800000 63.963 -71.5818
6.900000 63.934 -74.0830
7.000000 63.816 -76.1692
7.100000 63.594 -78.1977
7.200000 63.292 -79.8129
7.300000 62.946 -80.4785
7.400000 62.530 -79.8417
7.500000 62.006 -78.1596
7.620000 61.442 -74.9967
7.750000 61.165 -70.2267
7.880000 61.149 -63.4582
8.000000 61.389 -57.0711
8.120000 61.962 -52.0302
8.250000 63.008 -47.3025
8.380000 64.173 -44.0016
8.500000 65.121 -43.0046
8.620000 66.057 -43.8150
8.750000 66.981 -45.9226
8.850000 67.574 -48.0424
9.000000 68.314 -52.4981
9.120000 68.780 -56.5462
9.250000 69.156 -60.9523
9.380000 69.400 -65.6358
9.500000 69.509 -69.9523
9.620000 69.508 -74.2240
9.750000 69.382 -78.8637
9.880000 69.126 -82.9582
10.000000 68.760 -86.2615
10.150000 68.148 -89.6475
10.300000 67.421 -90.8156
10.440000 66.549 -89.7474
10.600000 65.668 -86.4506
10.750000 65.185 -80.9256
10.900000 64.982 -73.7434
11.060000 65.350 -67.1972
11.200000 66.223 -62.0068
11.380000 67.462 -57.8395
11.500000 68.264 -57.3273
11.720000 69.633 -59.3556
11.800000 70.023 -60.8138
12.060000 70.992 -67.8816
12.200000 71.318 -71.9081
12.410000 71.563 -78.2265
12.500000 71.594 -80.7114
12.650000 71.534 -84.7102
12.800000 71.376 -88.1936
13.150000 70.710 -93.4935
13.200000 70.608 -93.9153
13.400000 70.174 -94.6029
13.600000 69.824 -94.3969
13.800000 69.617 -93.4295
14.000000 69.510 -92.5961
14.300000 69.479 -91.8736
14.500000 69.394 -91.9409
14.750000 69.159 -91.3188
15.000000 68.800 -89.2933
15.250000 68.543 -84.6435
15.500000 68.732 -78.8238
15.750000 69.444 -73.0186
16.000000 70.538 -69.7957
16.250000 71.585 -69.7839
16.500000 72.413 -72.7087
16.750000 72.861 -77.5784
17.000000 72.910 -82.4478
17.250000 72.597 -86.0612
17.500000 71.967 -86.7975
17.750000 71.398 -83.8801
18.000000 71.199 -78.5722
18.250000 71.735 -72.3803
18.500000 72.718 -68.8033
18.750000 73.805 -68.4208
19.000000 74.680 -71.7406
19.250000 75.175 -77.2314
19.500000 75.280 -83.4640
19.750000 74.985 -89.2159
20.000000 74.311 -92.4565
20.299999 73.257 -91.5341
20.600000 72.482 -85.5539
20.900000 72.630 -76.9745
21.200001 73.829 -70.5638
21.400000 74.718 -69.2360
21.799999 76.244 -72.8365
22.000000 76.723 -76.7958
22.400000 77.077 -85.9734
22.700001 76.870 -92.1421
23.000000 76.329 -96.3231
23.299999 75.572 -97.5714
23.600000 74.809 -95.5940
24.000000 74.254 -88.8676
24.299999 74.473 -82.7840
24.700001 75.526 -76.4341
25.000000 76.551 -74.4658
25.400000 77.835 -75.9078
25.799999 78.782 -81.0029
26.200001 79.269 -88.3274
26.500000 79.291 -94.3652
26.900000 78.829 -101.7825
27.200001 78.113 -105.4532
27.600000 76.757 -105.5639
28.000000 75.430 -98.7842
28.500000 75.268 -84.8678
29.000000 76.845 -75.5298
29.500000 78.493 -75.5992
30.000000 79.468 -81.5455
30.400000 79.766 -87.3053
30.700001 79.762 -91.2454
31.100000 79.546 -95.3454
31.500000 79.192 -97.8833
32.000000 78.714 -98.9800
32.500000 78.334 -98.2998
33.000000 78.139 -96.5515
33.500000 78.160 -94.4433
34.000000 78.366 -92.7449
34.500000 78.652 -91.9756
35.000000 78.906 -92.1110
35.500000 79.066 -92.6609
36.000000 79.145 -93.0916
36.500000 79.200 -93.1959
37.000000 79.276 -93.1060
37.500000 79.379 -93.0090
38.200001 79.566 -92.8980
38.700001 79.756 -92.8792
39.500000 80.141 -93.6737
40.000000 80.334 -94.7866
40.599998 80.453 -96.0155
41.200001 80.542 -96.3677
41.799999 80.731 -96.1897
42.500000 81.039 -96.4756
43.099998 81.230 -97.2570
43.700001 81.318 -97.8419
44.400002 81.382 -97.8274
45.000000 81.479 -97.5395
45.500000 81.582 -97.4960
46.200001 81.685 -97.7954
46.799999 81.732 -97.9321
47.500000 81.866 -98.0011
48.200001 82.045 -99.2738
48.700001 82.026 -100.8909
49.400002 81.706 -101.8450
50.000000 81.472 -99.9904
50.799999 81.773 -96.5800
51.500000 82.288 -96.2341
52.200001 82.604 -97.5769
53.000000 82.799 -98.7745
53.799999 83.014 -99.7035
54.500000 83.191 -100.7813
55.200001 83.341 -101.8274
56.000000 83.541 -102.8162
57.000000 83.845 -104.0653
58.000000 84.226 -104.7508
59.000000 84.844 -105.9855
60.000000 85.148 -109.8549
60.799999 84.865 -111.4170
61.500000 84.582 -109.7708
62.200001 84.592 -107.1597
63.000000 84.785 -105.5139
64.000000 84.880 -104.8862
65.000000 84.905 -104.3744
66.000000 84.943 -104.4966
67.000000 84.971 -104.9457
68.000000 85.081 -105.5129
69.000000 85.236 -106.4680
70.000000 85.384 -107.2928
71.000000 85.549 -107.8313
72.000000 85.701 -108.1959
73.000000 85.841 -108.3476
74.000000 85.980 -108.5227
75.000000 86.110 -108.8402
76.199997 86.257 -109.4543
77.500000 86.392 -110.2135
78.800003 86.548 -110.7011
80.000000 86.735 -111.1627
81.199997 86.903 -111.8792
82.500000 87.015 -112.6267
83.800003 87.109 -113.1111
85.000000 87.223 -113.5467
86.199997 87.355 -114.1481
87.500000 87.496 -114.9272
88.500000 87.598 -115.5207
90.000000 87.742 -116.3196
91.199997 87.856 -116.8722
92.500000 87.982 -117.4800
93.800003 88.108 -118.1099
95.000000 88.225 -118.7389
96.199997 88.341 -119.3980
97.500000 88.465 -120.1651
98.800003 88.577 -120.9589
100.000000 88.672 -121.6256
101.500000 88.794 -122.3467
103.000000 88.922 -123.0283
104.400002 89.034 -123.6934
106.000000 89.140 -124.4662
107.500000 89.233 -125.1901
109.000000 89.330 -125.9984
110.599998 89.433 -126.8915
112.000000 89.531 -127.6462
113.800003 89.657 -128.6540
115.000000 89.727 -129.3821
117.199997 89.825 -130.7788
118.000000 89.858 -131.3162
120.599998 89.946 -132.9375
122.000000 90.012 -133.5430
124.099998 90.135 -134.4077
125.000000 90.179 -134.8002
126.500000 90.239 -135.4864
128.000000 90.285 -136.2421
131.500000 90.383 -138.1380
132.000000 90.398 -138.4083
134.000000 90.454 -139.4509
136.000000 90.498 -140.4100
138.000000 90.532 -141.3881
140.000000 90.561 -142.3591
143.000000 90.629 -143.6859
145.000000 90.666 -144.4961
147.500000 90.668 -145.3768
150.000000 90.681 -146.1990
152.500000 90.722 -147.4709
155.000000 90.747 -148.7532
157.500000 90.770 -149.8541
160.000000 90.775 -150.8808
162.500000 90.770 -151.8510
165.000000 90.764 -152.8293
167.500000 90.752 -153.7997
170.000000 90.739 -154.6986
172.500000 90.727 -155.5414
175.000000 90.705 -156.3566
177.500000 90.673 -157.1565
180.000000 90.639 -157.9528
182.500000 90.610 -158.7200
185.000000 90.582 -159.4665
187.500000 90.551 -160.2005
190.000000 90.518 -160.9190
192.500000 90.480 -161.5947
195.000000 90.435 -162.2210
197.500000 90.385 -162.7664
200.000000 90.339 -163.2539
203.000000 90.286 -163.8577
206.000000 90.229 -164.4998
209.000000 90.176 -165.1559
212.000000 90.118 -165.7726
214.000000 90.074 -166.1410
218.000000 89.979 -166.8211
220.000000 89.936 -167.1142
224.000000 89.864 -167.6621
227.000000 89.808 -168.0590
230.000000 89.746 -168.4364
233.000000 89.682 -168.7992
236.000000 89.620 -169.1555
240.000000 89.545 -169.5917
243.000000 89.482 -169.8567
247.000000 89.376 -170.1425
