* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -23.7 dBFS, measurement signal peak level -23.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 23/10/2022 8:48:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0906 ms (-31 mm, -1.22 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Master R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 56.578 -179.4930
1.015000 56.630 179.4265
1.030000 56.678 178.3415
1.044000 56.718 177.3264
1.060000 56.758 176.1651
1.075000 56.790 175.0768
1.090000 56.817 173.9907
1.106000 56.840 172.8356
1.120000 56.854 171.8248
1.138000 56.864 170.5228
1.150000 56.867 169.6525
1.172000 56.863 168.0503
1.180000 56.859 167.4650
1.206000 56.837 165.5508
1.220000 56.820 164.5110
1.241000 56.787 162.9373
1.250000 56.771 162.2571
1.265000 56.742 161.1150
1.280000 56.710 159.9615
1.315000 56.623 157.2200
1.320000 56.610 156.8221
1.340000 56.554 155.2134
1.360000 56.495 153.5756
1.380000 56.433 151.9062
1.400000 56.370 150.2029
1.430000 56.274 147.5795
1.450000 56.209 145.7813
1.475000 56.129 143.4768
1.500000 56.041 141.1302
1.525000 55.946 138.7450
1.550000 55.844 136.3190
1.575000 55.735 133.8502
1.600000 55.622 131.3364
1.625000 55.505 128.7753
1.650000 55.384 126.1650
1.675000 55.261 123.5032
1.700000 55.136 120.7877
1.725000 55.011 118.0165
1.750000 54.887 115.1873
1.775000 54.763 112.2981
1.800000 54.642 109.3466
1.825000 54.523 106.3307
1.850000 54.405 103.2354
1.875000 54.278 100.0348
1.900000 54.145 96.7397
1.925000 54.007 93.3622
1.950000 53.867 89.9144
1.975000 53.726 86.4086
2.000000 53.587 82.8569
2.030000 53.424 78.5514
2.060000 53.271 74.2182
2.090000 53.129 69.8784
2.120000 53.003 65.5530
2.140000 52.930 62.6877
2.180000 52.812 57.0293
2.200000 52.771 54.2478
2.240000 52.720 48.6274
2.270000 52.707 44.3367
2.300000 52.713 40.0090
2.330000 52.734 35.6693
2.360000 52.769 31.3424
2.400000 52.830 25.6363
2.430000 52.884 21.4364
2.470000 52.961 15.9902
2.500000 53.019 12.0531
2.540000 53.092 7.0477
2.580000 53.157 2.3554
2.620000 53.237 -2.1528
2.650000 53.307 -5.4287
2.690000 53.408 -9.6434
2.720000 53.488 -12.6813
2.760000 53.592 -16.5546
2.800000 53.691 -20.2113
2.850000 53.794 -24.4538
2.900000 53.866 -28.3027
2.950000 53.894 -31.7370
3.000000 53.881 -34.8148
3.040000 53.848 -37.0240
3.070000 53.812 -38.5284
3.110000 53.754 -40.3249
3.150000 53.690 -41.8751
3.200000 53.606 -43.4551
3.250000 53.528 -44.6238
3.300000 53.465 -45.3655
3.350000 53.383 -45.5564
3.400000 53.272 -45.1923
3.450000 53.154 -44.3843
3.500000 53.051 -43.2442
3.550000 52.985 -41.8833
3.600000 52.979 -40.4130
3.650000 53.056 -38.9449
3.700000 53.231 -37.4094
3.750000 53.486 -35.5074
3.820000 53.952 -32.4843
3.870000 54.340 -30.2726
3.950000 55.017 -27.0610
4.000000 55.451 -25.4934
4.060000 55.972 -24.2401
4.120000 56.549 -23.4282
4.180000 57.166 -22.9753
4.250000 57.900 -22.8519
4.310000 58.511 -23.0510
4.370000 59.077 -23.4927
4.440000 59.661 -24.3508
4.500000 60.129 -25.5225
4.550000 60.497 -26.7321
4.620000 60.978 -28.6426
4.680000 61.357 -30.3528
4.750000 61.759 -32.2656
4.820000 62.115 -34.0875
4.870000 62.339 -35.4518
4.940000 62.617 -37.3951
5.000000 62.825 -39.0382
5.080000 63.068 -41.1075
5.150000 63.251 -42.7338
5.220000 63.393 -44.2883
5.300000 63.512 -45.9646
5.380000 63.601 -47.4465
5.450000 63.669 -48.5123
5.520000 63.735 -49.3038
5.600000 63.781 -49.8969
5.700000 63.815 -50.2451
5.800000 63.872 -50.2323
5.900000 63.995 -49.9002
6.000000 64.160 -49.0574
6.080000 64.324 -48.1749
6.150000 64.498 -47.4016
6.220000 64.705 -46.7515
6.300000 64.996 -46.1095
6.400000 65.430 -45.3063
6.500000 65.905 -44.7128
6.600000 66.382 -44.5553
6.700000 66.875 -44.8781
6.800000 67.387 -45.5758
6.900000 67.882 -46.5989
7.000000 68.332 -47.9180
7.100000 68.753 -49.6208
7.200000 69.144 -51.6011
7.300000 69.492 -53.7085
7.400000 69.790 -55.8898
7.500000 70.046 -58.2413
7.620000 70.297 -61.1302
7.750000 70.500 -64.1613
7.880000 70.627 -67.1896
8.000000 70.689 -69.8571
8.120000 70.702 -72.2726
8.250000 70.655 -74.6874
8.380000 70.565 -76.7833
8.500000 70.455 -78.3397
8.620000 70.310 -79.5742
8.750000 70.141 -80.5347
8.850000 70.019 -80.9827
9.000000 69.829 -81.1659
9.120000 69.696 -81.0095
9.250000 69.593 -80.5898
9.380000 69.521 -79.8676
9.500000 69.488 -79.1066
9.620000 69.494 -78.3274
9.750000 69.539 -77.4011
9.880000 69.613 -76.5212
10.000000 69.704 -75.7977
10.150000 69.851 -74.9697
10.300000 70.015 -74.2817
10.440000 70.186 -73.7625
10.600000 70.397 -73.3312
10.750000 70.606 -73.0933
10.900000 70.824 -73.0229
11.060000 71.057 -73.1908
11.200000 71.263 -73.5377
11.380000 71.505 -74.2731
11.500000 71.653 -74.9695
11.720000 71.871 -76.5596
11.800000 71.926 -77.2249
12.060000 72.019 -79.6170
12.200000 71.998 -80.8701
12.410000 71.878 -82.6138
12.500000 71.798 -83.1478
12.650000 71.615 -83.8362
12.800000 71.410 -84.0794
13.150000 70.913 -82.4177
13.200000 70.866 -81.9778
13.400000 70.735 -79.5607
13.600000 70.768 -76.9183
13.800000 71.007 -74.2573
14.000000 71.366 -72.3286
14.300000 72.062 -71.0920
14.500000 72.503 -71.5651
14.750000 72.953 -73.0906
15.000000 73.258 -75.3494
15.250000 73.405 -77.6242
15.500000 73.438 -79.4771
15.750000 73.392 -80.6722
16.000000 73.340 -81.0206
16.250000 73.351 -80.7945
16.500000 73.445 -80.2310
16.750000 73.640 -79.7345
17.000000 73.882 -79.6057
17.250000 74.141 -79.8712
17.500000 74.374 -80.5168
17.750000 74.562 -81.2742
18.000000 74.713 -82.0061
18.250000 74.836 -82.5623
18.500000 74.962 -82.9170
18.750000 75.099 -83.1602
19.000000 75.258 -83.3759
19.250000 75.427 -83.7213
19.500000 75.589 -84.2133
19.750000 75.731 -84.8574
20.000000 75.834 -85.5543
20.299999 75.910 -86.2910
20.600000 75.945 -86.7707
20.900000 75.964 -86.8970
21.200001 75.997 -86.6829
21.400000 76.038 -86.4205
21.799999 76.174 -85.7775
22.000000 76.268 -85.4853
22.400000 76.498 -85.1093
22.700001 76.693 -85.0808
23.000000 76.894 -85.3155
23.299999 77.085 -85.8246
23.600000 77.253 -86.5826
24.000000 77.419 -87.8654
24.299999 77.488 -88.8672
24.700001 77.513 -89.9871
25.000000 77.499 -90.4871
25.400000 77.484 -90.5792
25.799999 77.533 -90.1160
26.200001 77.688 -89.4529
26.500000 77.871 -89.1025
26.900000 78.165 -89.0944
27.200001 78.384 -89.4883
27.600000 78.629 -90.4224
28.000000 78.793 -91.4822
28.500000 78.907 -92.4164
29.000000 79.005 -92.6324
29.500000 79.164 -92.4182
30.000000 79.385 -92.3232
30.400000 79.565 -92.5128
30.700001 79.684 -92.7764
31.100000 79.816 -93.1785
31.500000 79.919 -93.5558
32.000000 80.017 -93.9385
32.500000 80.085 -94.1668
33.000000 80.140 -94.1227
33.500000 80.216 -93.7817
34.000000 80.347 -93.3668
34.500000 80.518 -93.1875
35.000000 80.685 -93.3087
35.500000 80.823 -93.4996
36.000000 80.954 -93.5261
36.500000 81.119 -93.4307
37.000000 81.327 -93.4980
37.500000 81.541 -93.9564
38.200001 81.755 -95.1307
38.700001 81.810 -95.9159
39.500000 81.808 -96.0747
40.000000 81.860 -95.4083
40.599998 82.070 -94.5032
41.200001 82.381 -94.5005
41.799999 82.622 -95.6390
42.500000 82.690 -97.2195
43.099998 82.673 -97.7018
43.700001 82.748 -97.7469
44.400002 82.907 -98.4491
45.000000 82.949 -99.4543
45.500000 82.924 -99.7912
46.200001 82.969 -99.2628
46.799999 83.158 -98.6536
47.500000 83.486 -98.3939
48.200001 83.901 -98.7986
48.700001 84.200 -99.9110
49.400002 84.416 -102.5840
50.000000 84.323 -104.3585
50.799999 84.121 -103.8351
51.500000 84.259 -102.1862
52.200001 84.559 -101.8410
53.000000 84.752 -102.5978
53.799999 84.837 -102.8546
54.500000 84.959 -102.8508
55.200001 85.094 -103.2362
56.000000 85.165 -103.9250
57.000000 85.189 -103.9808
58.000000 85.363 -103.6416
59.000000 85.551 -104.2424
60.000000 85.631 -104.5598
60.799999 85.756 -104.3842
61.500000 85.910 -104.4810
62.200001 86.048 -104.8207
63.000000 86.186 -105.2587
64.000000 86.333 -105.8823
65.000000 86.441 -106.2776
66.000000 86.599 -106.4421
67.000000 86.773 -107.0258
68.000000 86.888 -107.7145
69.000000 86.996 -108.2202
70.000000 87.111 -108.7570
71.000000 87.221 -109.2863
72.000000 87.348 -109.7427
73.000000 87.500 -110.2936
74.000000 87.643 -110.9683
75.000000 87.771 -111.5331
76.199997 87.940 -112.0461
77.500000 88.122 -112.6813
78.800003 88.274 -113.2590
80.000000 88.408 -113.7136
81.199997 88.544 -114.1456
82.500000 88.702 -114.7135
83.800003 88.847 -115.4019
85.000000 88.971 -116.0150
86.199997 89.094 -116.6130
87.500000 89.230 -117.2797
88.500000 89.334 -117.8531
90.000000 89.477 -118.7749
91.199997 89.591 -119.4774
92.500000 89.732 -120.2499
93.800003 89.875 -121.1302
95.000000 89.996 -121.9293
96.199997 90.116 -122.6583
97.500000 90.250 -123.4376
98.800003 90.376 -124.2422
100.000000 90.483 -124.9827
101.500000 90.609 -125.8696
103.000000 90.735 -126.7561
104.400002 90.849 -127.5958
106.000000 90.978 -128.5876
107.500000 91.087 -129.5577
109.000000 91.183 -130.4977
110.599998 91.281 -131.4240
112.000000 91.375 -132.2280
113.800003 91.498 -133.3507
115.000000 91.574 -134.1416
117.199997 91.701 -135.5787
118.000000 91.746 -136.0944
120.599998 91.883 -137.8955
122.000000 91.942 -138.8713
124.099998 92.038 -140.2750
125.000000 92.082 -140.8826
126.500000 92.153 -141.8989
128.000000 92.218 -142.8845
131.500000 92.335 -145.1073
132.000000 92.348 -145.4202
134.000000 92.396 -146.6551
136.000000 92.443 -147.8474
138.000000 92.488 -149.0076
140.000000 92.520 -150.1597
143.000000 92.554 -151.9042
145.000000 92.583 -153.1000
147.500000 92.635 -154.4451
150.000000 92.684 -155.8524
152.500000 92.652 -157.2821
155.000000 92.608 -158.6110
157.500000 92.589 -159.9714
160.000000 92.578 -161.3056
162.500000 92.556 -162.5323
165.000000 92.533 -163.7112
167.500000 92.504 -164.9038
170.000000 92.462 -166.0260
172.500000 92.415 -167.0530
175.000000 92.364 -168.0242
177.500000 92.306 -168.9315
180.000000 92.245 -169.7742
182.500000 92.186 -170.5879
185.000000 92.126 -171.3976
187.500000 92.059 -172.2059
190.000000 91.986 -173.0025
192.500000 91.917 -173.7231
195.000000 91.857 -174.3494
197.500000 91.799 -174.9554
200.000000 91.736 -175.5832
203.000000 91.652 -176.3576
206.000000 91.563 -177.1123
209.000000 91.478 -177.8833
212.000000 91.394 -178.5268
214.000000 91.336 -178.8362
218.000000 91.216 -179.4725
220.000000 91.150 -179.8395
224.000000 91.027 179.5150
227.000000 90.939 179.0894
230.000000 90.848 178.6671
233.000000 90.760 178.2471
236.000000 90.675 177.8377
240.000000 90.573 177.3661
243.000000 90.493 177.0300
247.000000 90.373 176.5427
250.000000 90.288 176.2231
254.000000 90.200 175.9539
258.000000 90.110 175.7039
262.000000 90.014 175.4242
265.000000 89.944 175.2151
