* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -17.5 dBFS, measurement signal peak level -17.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 9:03:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0460 ms (-16 mm, -0.62 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Metallic L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.038 -10.5581
1.015000 83.255 -12.2298
1.030000 83.469 -13.8397
1.044000 83.666 -15.2808
1.060000 83.888 -16.8484
1.075000 84.092 -18.2345
1.090000 84.293 -19.5335
1.106000 84.503 -20.8154
1.120000 84.683 -21.8460
1.138000 84.908 -23.0543
1.150000 85.055 -23.7921
1.172000 85.318 -25.0177
1.180000 85.411 -25.4259
1.206000 85.708 -26.6317
1.220000 85.863 -27.2136
1.241000 86.091 -28.0131
1.250000 86.186 -28.3328
1.265000 86.343 -28.8408
1.280000 86.497 -29.3236
1.315000 86.847 -30.3906
1.320000 86.896 -30.5399
1.340000 87.089 -31.1400
1.360000 87.278 -31.7566
1.380000 87.465 -32.4058
1.400000 87.648 -33.1042
1.430000 87.919 -34.2796
1.450000 88.097 -35.1722
1.475000 88.317 -36.4314
1.500000 88.532 -37.7943
1.525000 88.739 -39.2330
1.550000 88.941 -40.7342
1.575000 89.136 -42.2845
1.600000 89.326 -43.8703
1.625000 89.510 -45.4782
1.650000 89.690 -47.0949
1.675000 89.864 -48.7069
1.700000 90.035 -50.3007
1.725000 90.201 -51.8630
1.750000 90.363 -53.3802
1.775000 90.522 -54.8389
1.800000 90.677 -56.2258
1.825000 90.830 -57.5274
1.850000 90.979 -58.7413
1.875000 91.123 -59.8909
1.900000 91.263 -60.9838
1.925000 91.398 -62.0263
1.950000 91.528 -63.0251
1.975000 91.655 -63.9867
2.000000 91.778 -64.9176
2.030000 91.921 -66.0033
2.060000 92.059 -67.0655
2.090000 92.192 -68.1154
2.120000 92.322 -69.1643
2.140000 92.407 -69.8687
2.180000 92.571 -71.3045
2.200000 92.652 -72.0424
2.240000 92.807 -73.5334
2.270000 92.917 -74.6523
2.300000 93.023 -75.7689
2.330000 93.124 -76.8806
2.360000 93.221 -77.9848
2.400000 93.345 -79.4411
2.430000 93.434 -80.5180
2.470000 93.548 -81.9284
2.500000 93.631 -82.9638
2.540000 93.738 -84.3097
2.580000 93.841 -85.6125
2.620000 93.939 -86.8861
2.650000 94.007 -87.8236
2.690000 94.094 -89.0486
2.720000 94.156 -89.9475
2.760000 94.235 -91.1179
2.800000 94.310 -92.2545
2.850000 94.399 -93.6247
2.900000 94.485 -94.9352
2.950000 94.568 -96.1801
3.000000 94.645 -97.3428
3.040000 94.703 -98.2200
3.070000 94.744 -98.8522
3.110000 94.797 -99.6673
3.150000 94.847 -100.4578
3.200000 94.908 -101.4233
3.250000 94.967 -102.3782
3.300000 95.027 -103.3378
3.350000 95.084 -104.3010
3.400000 95.139 -105.2550
3.450000 95.192 -106.1927
3.500000 95.243 -107.1073
3.550000 95.293 -107.9917
3.600000 95.343 -108.8389
3.650000 95.393 -109.6420
3.700000 95.443 -110.3903
3.750000 95.493 -111.0788
3.820000 95.562 -111.9693
3.870000 95.611 -112.5726
3.950000 95.688 -113.5216
4.000000 95.735 -114.1272
4.060000 95.792 -114.8855
4.120000 95.849 -115.6596
4.180000 95.906 -116.4377
4.250000 95.971 -117.3392
4.310000 96.025 -118.0966
4.370000 96.078 -118.8308
4.440000 96.137 -119.6489
4.500000 96.186 -120.3217
4.550000 96.226 -120.8671
4.620000 96.280 -121.6147
4.680000 96.324 -122.2474
4.750000 96.372 -122.9848
4.820000 96.417 -123.7290
4.870000 96.448 -124.2622
4.940000 96.487 -125.0034
5.000000 96.519 -125.6271
5.080000 96.559 -126.4305
5.150000 96.592 -127.0974
5.220000 96.621 -127.7357
5.300000 96.651 -128.4351
5.380000 96.679 -129.1034
5.450000 96.703 -129.6637
5.520000 96.726 -130.2016
5.600000 96.751 -130.7844
5.700000 96.781 -131.4700
5.800000 96.810 -132.1175
5.900000 96.843 -132.7344
6.000000 96.877 -133.3096
6.080000 96.905 -133.7465
6.150000 96.931 -134.1186
6.220000 96.958 -134.4871
6.300000 96.991 -134.8995
6.400000 97.034 -135.3953
6.500000 97.080 -135.8854
6.600000 97.125 -136.3876
6.700000 97.172 -136.9037
6.800000 97.220 -137.4267
6.900000 97.267 -137.9558
7.000000 97.310 -138.4910
7.100000 97.353 -139.0352
7.200000 97.393 -139.5842
7.300000 97.430 -140.1320
7.400000 97.463 -140.6783
7.500000 97.492 -141.2282
7.620000 97.523 -141.8766
7.750000 97.552 -142.5462
7.880000 97.574 -143.1893
8.000000 97.591 -143.7539
8.120000 97.607 -144.2829
8.250000 97.621 -144.8179
8.380000 97.634 -145.3175
8.500000 97.647 -145.7479
8.620000 97.661 -146.1458
8.750000 97.677 -146.5543
8.850000 97.692 -146.8591
9.000000 97.717 -147.2917
9.120000 97.739 -147.6313
9.250000 97.764 -148.0035
9.380000 97.792 -148.3739
9.500000 97.818 -148.7215
9.620000 97.844 -149.0790
9.750000 97.872 -149.4742
9.880000 97.899 -149.8758
10.000000 97.922 -150.2542
10.150000 97.949 -150.7346
10.300000 97.972 -151.2087
10.440000 97.989 -151.6483
10.600000 98.006 -152.1357
10.750000 98.018 -152.5683
10.900000 98.028 -152.9798
11.060000 98.038 -153.3859
11.200000 98.045 -153.7127
11.380000 98.058 -154.1052
11.500000 98.068 -154.3473
11.720000 98.090 -154.7726
11.800000 98.100 -154.9274
12.060000 98.138 -155.4334
12.200000 98.160 -155.7296
12.410000 98.195 -156.2022
12.500000 98.208 -156.4177
12.650000 98.229 -156.7975
12.800000 98.246 -157.1860
13.150000 98.264 -158.0947
13.200000 98.264 -158.2147
13.400000 98.259 -158.6713
13.600000 98.251 -159.0587
13.800000 98.240 -159.3607
14.000000 98.236 -159.5930
14.300000 98.245 -159.8344
14.500000 98.267 -159.9758
14.750000 98.309 -160.2026
15.000000 98.363 -160.5188
15.250000 98.416 -160.9609
15.500000 98.460 -161.4917
15.750000 98.489 -162.0788
16.000000 98.501 -162.6538
16.250000 98.502 -163.1657
16.500000 98.496 -163.6002
16.750000 98.492 -163.9519
17.000000 98.494 -164.2657
17.250000 98.503 -164.5677
17.500000 98.515 -164.8928
17.750000 98.526 -165.2459
18.000000 98.531 -165.6084
18.250000 98.530 -165.9580
18.500000 98.524 -166.2548
18.750000 98.519 -166.4962
19.000000 98.518 -166.6807
19.250000 98.527 -166.8451
19.500000 98.544 -167.0245
19.750000 98.568 -167.2453
20.000000 98.592 -167.5319
20.299999 98.615 -167.9403
20.600000 98.626 -168.3822
20.900000 98.624 -168.8058
21.200001 98.614 -169.1673
21.400000 98.607 -169.3689
21.799999 98.596 -169.7029
22.000000 98.594 -169.8523
22.400000 98.596 -170.1529
22.700001 98.600 -170.3902
23.000000 98.602 -170.6301
23.299999 98.603 -170.8586
23.600000 98.605 -171.0705
24.000000 98.611 -171.3329
24.299999 98.620 -171.5292
24.700001 98.635 -171.8101
25.000000 98.648 -172.0423
25.400000 98.663 -172.3801
25.799999 98.675 -172.7404
26.200001 98.681 -173.1075
26.500000 98.682 -173.3738
26.900000 98.679 -173.6994
27.200001 98.676 -173.9138
27.600000 98.673 -174.1630
28.000000 98.675 -174.3926
28.500000 98.682 -174.6919
29.000000 98.688 -175.0168
29.500000 98.690 -175.3408
30.000000 98.690 -175.6426
30.400000 98.692 -175.8759
30.700001 98.694 -176.0542
31.100000 98.697 -176.3014
31.500000 98.699 -176.5585
32.000000 98.700 -176.8932
32.500000 98.698 -177.2438
33.000000 98.689 -177.5914
33.500000 98.673 -177.8916
34.000000 98.660 -178.1159
34.500000 98.656 -178.2974
35.000000 98.662 -178.4953
35.500000 98.670 -178.7287
36.000000 98.676 -178.9682
36.500000 98.683 -179.2021
37.000000 98.690 -179.4563
37.500000 98.688 -179.7292
38.200001 98.669 -179.9962
38.700001 98.663 179.9562
39.500000 98.700 179.8131
40.000000 98.725 179.4958
40.599998 98.720 178.9945
41.200001 98.686 178.6330
41.799999 98.658 178.4383
42.500000 98.649 178.1840
43.099998 98.640 177.8762
43.700001 98.624 177.5866
44.400002 98.612 177.3058
45.000000 98.612 177.0760
45.500000 98.620 176.8833
46.200001 98.643 176.5590
46.799999 98.661 176.1735
47.500000 98.658 175.7402
48.200001 98.654 175.5177
48.700001 98.673 175.3826
49.400002 98.706 174.9568
50.000000 98.695 174.4636
50.799999 98.632 174.1255
51.500000 98.599 174.1508
52.200001 98.599 174.1109
53.000000 98.596 173.8801
53.799999 98.577 173.6479
54.500000 98.561 173.4705
55.200001 98.547 173.2830
56.000000 98.534 173.0510
57.000000 98.517 172.7368
58.000000 98.502 172.4464
59.000000 98.500 172.1342
60.000000 98.496 171.7118
60.799999 98.478 171.3590
61.500000 98.455 171.1199
62.200001 98.438 170.9548
63.000000 98.430 170.7813
64.000000 98.429 170.4912
65.000000 98.423 170.1553
66.000000 98.409 169.8486
67.000000 98.396 169.5938
68.000000 98.390 169.3348
69.000000 98.380 169.0410
70.000000 98.367 168.7564
71.000000 98.354 168.4576
72.000000 98.336 168.1472
73.000000 98.317 167.8828
74.000000 98.305 167.6204
75.000000 98.291 167.3337
76.199997 98.270 167.0197
77.500000 98.251 166.7124
78.800003 98.233 166.3877
80.000000 98.216 166.0565
81.199997 98.193 165.7033
82.500000 98.166 165.3555
83.800003 98.142 165.0374
85.000000 98.121 164.7672
86.199997 98.105 164.4903
87.500000 98.081 164.1534
88.500000 98.056 163.9263
90.000000 98.028 163.6448
91.199997 98.014 163.3623
92.500000 97.995 163.0185
93.800003 97.973 162.7013
95.000000 97.949 162.4354
96.199997 97.924 162.2070
97.500000 97.897 161.9785
98.800003 97.872 161.7471
100.000000 97.851 161.5046
101.500000 97.823 161.1547
103.000000 97.794 160.8054
104.400002 97.769 160.4967
106.000000 97.741 160.1601
107.500000 97.712 159.8603
109.000000 97.681 159.5701
110.599998 97.647 159.2605
112.000000 97.617 158.9816
113.800003 97.580 158.6245
115.000000 97.556 158.3961
117.199997 97.514 158.0034
118.000000 97.500 157.8622
120.599998 97.449 157.3770
122.000000 97.419 157.1148
124.099998 97.372 156.7246
125.000000 97.352 156.5638
126.500000 97.321 156.3025
128.000000 97.294 156.0392
131.500000 97.225 155.4413
132.000000 97.214 155.3635
134.000000 97.170 155.0507
136.000000 97.124 154.7258
138.000000 97.080 154.3966
140.000000 97.036 154.0859
143.000000 96.970 153.6434
145.000000 96.925 153.3126
147.500000 96.872 152.8094
150.000000 96.813 152.3216
152.500000 96.755 152.0807
155.000000 96.704 151.8586
157.500000 96.645 151.5391
160.000000 96.588 151.1712
162.500000 96.533 150.8245
165.000000 96.476 150.5123
167.500000 96.418 150.1952
170.000000 96.359 149.8655
172.500000 96.300 149.5508
175.000000 96.240 149.2554
177.500000 96.181 148.9632
180.000000 96.122 148.6590
182.500000 96.064 148.3609
185.000000 96.004 148.0814
187.500000 95.942 147.8222
190.000000 95.878 147.5696
192.500000 95.815 147.3104
195.000000 95.755 147.0450
197.500000 95.694 146.7815
200.000000 95.631 146.5285
203.000000 95.553 146.2447
206.000000 95.477 145.9816
209.000000 95.402 145.7227
212.000000 95.322 145.4669
214.000000 95.266 145.3000
218.000000 95.153 144.9988
220.000000 95.096 144.8670
224.000000 94.982 144.6213
227.000000 94.892 144.4617
230.000000 94.801 144.3387
233.000000 94.709 144.2415
236.000000 94.618 144.1740
240.000000 94.491 144.1740
243.000000 94.392 144.2529
247.000000 94.266 144.5352
250.000000 94.181 144.9280
254.000000 94.088 145.6841
258.000000 94.075 146.6019
262.000000 94.168 147.2864
265.000000 94.274 147.3594
269.000000 94.399 146.8013
272.000000 94.446 146.0730
276.000000 94.439 145.0094
280.000000 94.380 144.0604
