* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -28.5 dBFS, measurement signal peak level -26.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 31/03/2024 9:45:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0235 ms (-8.1 mm, -0.32 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Meteor L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 51.358 90.6516
1.015000 51.500 89.6421
1.030000 51.640 88.6658
1.044000 51.770 87.7879
1.060000 51.917 86.8277
1.075000 52.052 85.9733
1.090000 52.186 85.1667
1.106000 52.326 84.3632
1.120000 52.447 83.7086
1.138000 52.601 82.9287
1.150000 52.703 82.4446
1.172000 52.888 81.6241
1.180000 52.954 81.3455
1.206000 53.169 80.5036
1.220000 53.284 80.0857
1.241000 53.454 79.4973
1.250000 53.527 79.2570
1.265000 53.648 78.8696
1.280000 53.768 78.4952
1.315000 54.048 77.6516
1.320000 54.087 77.5326
1.340000 54.246 77.0544
1.360000 54.405 76.5667
1.380000 54.565 76.0608
1.400000 54.724 75.5279
1.430000 54.965 74.6590
1.450000 55.126 74.0205
1.475000 55.329 73.1453
1.500000 55.533 72.2171
1.525000 55.736 71.2507
1.550000 55.940 70.2523
1.575000 56.144 69.2280
1.600000 56.349 68.1840
1.625000 56.553 67.1265
1.650000 56.756 66.0616
1.675000 56.960 64.9954
1.700000 57.163 63.9343
1.725000 57.366 62.8843
1.750000 57.568 61.8515
1.775000 57.769 60.8423
1.800000 57.970 59.8627
1.825000 58.170 58.9188
1.850000 58.369 58.0127
1.875000 58.568 57.1351
1.900000 58.767 56.2821
1.925000 58.965 55.4501
1.950000 59.162 54.6355
1.975000 59.360 53.8347
2.000000 59.557 53.0441
2.030000 59.792 52.1038
2.060000 60.026 51.1667
2.090000 60.260 50.2267
2.120000 60.492 49.2775
2.140000 60.646 48.6366
2.180000 60.953 47.3267
2.200000 61.105 46.6543
2.240000 61.409 45.2879
2.270000 61.636 44.2512
2.300000 61.862 43.2060
2.330000 62.087 42.1538
2.360000 62.311 41.0960
2.400000 62.608 39.6794
2.430000 62.829 38.6143
2.470000 63.121 37.1934
2.500000 63.338 36.1291
2.540000 63.625 34.7145
2.580000 63.907 33.3068
2.620000 64.187 31.8951
2.650000 64.396 30.8331
2.690000 64.671 29.4152
2.720000 64.876 28.3516
2.760000 65.146 26.9356
2.800000 65.413 25.5244
2.850000 65.741 23.7712
2.900000 66.064 22.0349
2.950000 66.380 20.3202
3.000000 66.691 18.6248
3.040000 66.935 17.2798
3.070000 67.116 16.2767
3.110000 67.354 14.9454
3.150000 67.589 13.6199
3.200000 67.876 11.9687
3.250000 68.158 10.3209
3.300000 68.433 8.6736
3.350000 68.701 7.0173
3.400000 68.964 5.3532
3.450000 69.220 3.6908
3.500000 69.471 2.0395
3.550000 69.715 0.4088
3.600000 69.953 -1.1919
3.650000 70.186 -2.7530
3.700000 70.412 -4.2709
3.750000 70.632 -5.7562
3.820000 70.930 -7.7859
3.870000 71.136 -9.2036
3.950000 71.454 -11.4230
4.000000 71.647 -12.7833
4.060000 71.872 -14.3936
4.120000 72.088 -15.9838
4.180000 72.297 -17.5464
4.250000 72.531 -19.3228
4.310000 72.726 -20.7954
4.370000 72.917 -22.2125
4.440000 73.133 -23.7871
4.500000 73.311 -25.0754
4.550000 73.455 -26.1096
4.620000 73.651 -27.5027
4.680000 73.816 -28.6512
4.750000 74.005 -29.9445
4.820000 74.192 -31.1864
4.870000 74.322 -32.0366
4.940000 74.501 -33.1795
5.000000 74.652 -34.1186
5.080000 74.853 -35.3191
5.150000 75.029 -36.3251
5.220000 75.204 -37.2743
5.300000 75.403 -38.2974
5.380000 75.602 -39.2741
5.450000 75.775 -40.1067
5.520000 75.950 -40.9299
5.600000 76.150 -41.8363
5.700000 76.401 -42.9272
5.800000 76.651 -43.9997
5.900000 76.899 -45.0798
6.000000 77.146 -46.1526
6.080000 77.343 -47.0066
6.150000 77.512 -47.7553
6.220000 77.678 -48.5090
6.300000 77.864 -49.3781
6.400000 78.093 -50.4713
6.500000 78.314 -51.5674
6.600000 78.527 -52.6617
6.700000 78.730 -53.7617
6.800000 78.925 -54.8634
6.900000 79.112 -55.9510
7.000000 79.289 -57.0112
7.100000 79.457 -58.0545
7.200000 79.616 -59.0757
7.300000 79.769 -60.0650
7.400000 79.915 -61.0169
7.500000 80.053 -61.9369
7.620000 80.213 -62.9971
7.750000 80.380 -64.0870
7.880000 80.541 -65.1119
8.000000 80.686 -66.0155
8.120000 80.830 -66.8896
8.250000 80.984 -67.7928
8.380000 81.136 -68.6724
8.500000 81.276 -69.4790
8.620000 81.416 -70.2712
8.750000 81.565 -71.1281
8.850000 81.679 -71.7951
9.000000 81.847 -72.8010
9.120000 81.978 -73.6122
9.250000 82.115 -74.5011
9.380000 82.249 -75.3992
9.500000 82.368 -76.2299
9.620000 82.483 -77.0599
9.750000 82.603 -77.9603
9.880000 82.720 -78.8552
10.000000 82.824 -79.6736
10.150000 82.949 -80.6889
10.300000 83.072 -81.6949
10.440000 83.184 -82.6234
10.600000 83.309 -83.6800
10.750000 83.424 -84.6705
10.900000 83.538 -85.6609
11.060000 83.656 -86.7262
11.200000 83.758 -87.6655
11.380000 83.884 -88.8810
11.500000 83.965 -89.6989
11.720000 84.106 -91.1995
11.800000 84.154 -91.7427
12.060000 84.303 -93.4940
12.200000 84.377 -94.4117
12.410000 84.481 -95.7530
12.500000 84.524 -96.3079
12.650000 84.594 -97.2078
12.800000 84.662 -98.0761
13.150000 84.823 -99.9744
13.200000 84.846 -100.2344
13.400000 84.942 -101.2438
13.600000 85.040 -102.2257
13.800000 85.143 -103.1866
14.000000 85.247 -104.1410
14.300000 85.406 -105.5663
14.500000 85.512 -106.5172
14.750000 85.642 -107.6983
15.000000 85.768 -108.8664
15.250000 85.891 -110.0087
15.500000 86.012 -111.1211
15.750000 86.132 -112.2032
16.000000 86.252 -113.2595
16.250000 86.374 -114.3039
16.500000 86.497 -115.3459
16.750000 86.620 -116.3986
17.000000 86.742 -117.4712
17.250000 86.861 -118.5647
17.500000 86.975 -119.6793
17.750000 87.083 -120.8042
18.000000 87.183 -121.9290
18.250000 87.276 -123.0420
18.500000 87.362 -124.1255
18.750000 87.443 -125.1719
19.000000 87.521 -126.1740
19.250000 87.598 -127.1315
19.500000 87.676 -128.0536
19.750000 87.757 -128.9487
20.000000 87.840 -129.8353
20.299999 87.941 -130.9034
20.600000 88.040 -131.9842
20.900000 88.134 -133.0730
21.200001 88.219 -134.1488
21.400000 88.271 -134.8418
21.799999 88.367 -136.1489
22.000000 88.413 -136.7594
22.400000 88.508 -137.9103
22.700001 88.582 -138.7458
23.000000 88.656 -139.5895
23.299999 88.725 -140.4478
23.600000 88.785 -141.3039
24.000000 88.851 -142.3958
24.299999 88.894 -143.1449
24.700001 88.953 -144.0514
25.000000 89.004 -144.7032
25.400000 89.081 -145.6151
25.799999 89.157 -146.6398
26.200001 89.217 -147.7598
26.500000 89.248 -148.6083
26.900000 89.275 -149.6818
27.200001 89.293 -150.4243
27.600000 89.324 -151.3589
28.000000 89.366 -152.3045
28.500000 89.422 -153.5784
29.000000 89.467 -154.9103
29.500000 89.500 -156.1868
30.000000 89.538 -157.3682
30.400000 89.576 -158.2895
30.700001 89.607 -158.9912
31.100000 89.646 -159.9387
31.500000 89.679 -160.8663
32.000000 89.717 -161.9466
32.500000 89.760 -162.9561
33.000000 89.810 -163.9866
33.500000 89.854 -165.0895
34.000000 89.876 -166.2085
34.500000 89.880 -167.2384
35.000000 89.880 -168.1445
35.500000 89.888 -168.9919
36.000000 89.903 -169.8691
36.500000 89.916 -170.8021
37.000000 89.923 -171.7545
37.500000 89.925 -172.6899
38.200001 89.931 -173.9814
38.700001 89.937 -174.9165
39.500000 89.945 -176.4099
40.000000 89.950 -177.3151
40.599998 89.960 -178.3822
41.200001 89.971 -179.4485
41.799999 89.978 179.5010
42.500000 89.982 178.3292
43.099998 89.985 177.3661
43.700001 89.988 176.4209
44.400002 89.986 175.3431
45.000000 89.983 174.4533
45.500000 89.980 173.7313
46.200001 89.980 172.7222
46.799999 89.978 171.8412
47.500000 89.970 170.8216
48.200001 89.961 169.8566
48.700001 89.959 169.1892
49.400002 89.963 168.2202
50.000000 89.961 167.3434
50.799999 89.945 166.2024
51.500000 89.930 165.2831
52.200001 89.921 164.3835
53.000000 89.912 163.3308
53.799999 89.902 162.2755
54.500000 89.893 161.3521
55.200001 89.883 160.4230
56.000000 89.869 159.3689
57.000000 89.848 158.0733
58.000000 89.823 156.8093
59.000000 89.792 155.5909
60.000000 89.756 154.4064
60.799999 89.724 153.4916
61.500000 89.698 152.7134
62.200001 89.674 151.9265
63.000000 89.646 151.0003
64.000000 89.607 149.8608
65.000000 89.572 148.7590
66.000000 89.535 147.6704
67.000000 89.496 146.6942
68.000000 89.472 145.8234
69.000000 89.462 144.8940
70.000000 89.444 143.8898
71.000000 89.415 142.8619
72.000000 89.376 141.8337
73.000000 89.335 140.8323
74.000000 89.296 139.8106
75.000000 89.253 138.7691
76.199997 89.197 137.5750
77.500000 89.141 136.3363
78.800003 89.083 135.1196
80.000000 89.023 134.0316
81.199997 88.960 132.9905
82.500000 88.893 131.8832
83.800003 88.824 130.7969
85.000000 88.765 129.8004
86.199997 88.703 128.8128
87.500000 88.638 127.7690
88.500000 88.584 126.9747
90.000000 88.506 125.8694
91.199997 88.452 124.9709
92.500000 88.388 123.9809
93.800003 88.321 123.0111
95.000000 88.255 122.1512
96.199997 88.190 121.3285
97.500000 88.122 120.4444
98.800003 88.053 119.5648
100.000000 87.988 118.7591
101.500000 87.901 117.8171
103.000000 87.821 116.9440
104.400002 87.747 116.1685
106.000000 87.672 115.3290
107.500000 87.608 114.5036
109.000000 87.549 113.6622
110.599998 87.491 112.6985
112.000000 87.432 111.8304
113.800003 87.348 110.7632
115.000000 87.287 110.0833
117.199997 87.181 108.9769
118.000000 87.153 108.5644
120.599998 87.056 107.0396
122.000000 86.994 106.2214
124.099998 86.890 104.9556
125.000000 86.837 104.4201
126.500000 86.746 103.6078
128.000000 86.669 102.8623
131.500000 86.505 101.0717
132.000000 86.475 100.8281
134.000000 86.342 100.0209
136.000000 86.222 99.2582
138.000000 86.095 98.4282
140.000000 85.979 97.6860
143.000000 85.828 96.4688
145.000000 85.699 95.6877
147.500000 85.535 94.9871
150.000000 85.404 94.3221
152.500000 85.255 93.5199
155.000000 85.057 92.9128
157.500000 84.850 92.7856
160.000000 84.689 93.0889
162.500000 84.591 93.6404
165.000000 84.568 94.3459
167.500000 84.652 95.0277
170.000000 84.852 95.1404
172.500000 85.074 94.1371
175.000000 85.190 92.2357
177.500000 85.167 90.1504
180.000000 85.046 88.3861
182.500000 84.876 87.0471
185.000000 84.686 86.0610
187.500000 84.490 85.2867
190.000000 84.293 84.6057
192.500000 84.100 83.9286
195.000000 83.914 83.2048
197.500000 83.748 82.4085
200.000000 83.612 81.5497
203.000000 83.492 80.6469
206.000000 83.405 80.0677
209.000000 83.294 79.8449
212.000000 83.144 79.6465
214.000000 83.034 79.4049
218.000000 82.853 79.0246
220.000000 82.777 79.0031
224.000000 82.594 79.2189
227.000000 82.461 79.6223
230.000000 82.373 80.2594
233.000000 82.328 81.1190
236.000000 82.356 82.1433
240.000000 82.581 83.2123
243.000000 82.827 83.1491
247.000000 83.088 81.8179
250.000000 83.182 80.3848
254.000000 83.201 78.5435
258.000000 83.150 76.9676
262.000000 83.058 75.7245
265.000000 82.982 74.9501
269.000000 82.879 74.0580
272.000000 82.803 73.5318
276.000000 82.707 72.9708
280.000000 82.616 72.4777
285.000000 82.508 71.9586
290.000000 82.412 71.5289
295.000000 82.332 71.1301
300.000000 82.266 70.7627
304.000000 82.215 70.5098
307.000000 82.177 70.3365
