* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -30.7 dBFS, measurement signal peak level -27.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 31/03/2024 9:47:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0239 ms (-8.2 mm, -0.32 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Meteor R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.426 93.9646
1.015000 44.863 94.1518
1.030000 45.291 94.2419
1.044000 45.681 94.2355
1.060000 46.112 94.1175
1.075000 46.502 93.8962
1.090000 46.875 93.5644
1.106000 47.255 93.0717
1.120000 47.579 92.4511
1.138000 47.985 91.3937
1.150000 48.250 90.5400
1.172000 48.725 88.6990
1.180000 48.894 87.9496
1.206000 49.430 85.2619
1.220000 49.711 83.6778
1.241000 50.124 81.1602
1.250000 50.298 80.0393
1.265000 50.584 78.1293
1.280000 50.865 76.1818
1.315000 51.504 71.5885
1.320000 51.594 70.9361
1.340000 51.948 68.3614
1.360000 52.297 65.8734
1.380000 52.642 63.5130
1.400000 52.982 61.3210
1.430000 53.486 58.4383
1.450000 53.819 56.8463
1.475000 54.232 55.2826
1.500000 54.636 54.0778
1.525000 55.029 53.1618
1.550000 55.412 52.4929
1.575000 55.785 52.0296
1.600000 56.150 51.7303
1.625000 56.506 51.5536
1.650000 56.855 51.4579
1.675000 57.196 51.4015
1.700000 57.532 51.3431
1.725000 57.861 51.2409
1.750000 58.186 51.0536
1.775000 58.506 50.7394
1.800000 58.822 50.2570
1.825000 59.135 49.5647
1.850000 59.444 48.6585
1.875000 59.746 47.6166
1.900000 60.042 46.4602
1.925000 60.332 45.2071
1.950000 60.616 43.8754
1.975000 60.895 42.4828
2.000000 61.168 41.0472
2.030000 61.489 39.2930
2.060000 61.804 37.5337
2.090000 62.112 35.8001
2.120000 62.415 34.1232
2.140000 62.614 33.0520
2.180000 63.006 31.0630
2.200000 63.199 30.1632
2.240000 63.577 28.4895
2.270000 63.852 27.3103
2.300000 64.121 26.1867
2.330000 64.384 25.1101
2.360000 64.642 24.0719
2.400000 64.976 22.7323
2.430000 65.221 21.7499
2.470000 65.540 20.4534
2.500000 65.775 19.4798
2.540000 66.081 18.1637
2.580000 66.381 16.8151
2.620000 66.672 15.4776
2.650000 66.885 14.4873
2.690000 67.160 13.1800
2.720000 67.362 12.2067
2.760000 67.624 10.9148
2.800000 67.878 9.6249
2.850000 68.188 8.0082
2.900000 68.488 6.3778
2.950000 68.780 4.7202
3.000000 69.060 3.0036
3.040000 69.277 1.6012
3.070000 69.435 0.5430
3.110000 69.640 -0.8635
3.150000 69.840 -2.2502
3.200000 70.082 -3.9310
3.250000 70.317 -5.5240
3.300000 70.546 -6.9976
3.350000 70.767 -8.3340
3.400000 70.979 -9.5564
3.450000 71.183 -10.6964
3.500000 71.380 -11.7851
3.550000 71.571 -12.8538
3.600000 71.757 -13.9340
3.650000 71.940 -15.0569
3.700000 72.117 -16.2456
3.750000 72.288 -17.4824
3.820000 72.518 -19.2461
3.870000 72.677 -20.4944
3.950000 72.925 -22.4011
4.000000 73.077 -23.4967
4.060000 73.257 -24.6749
4.120000 73.432 -25.7134
4.180000 73.603 -26.6505
4.250000 73.798 -27.6673
4.310000 73.964 -28.5173
4.370000 74.129 -29.3885
4.440000 74.323 -30.4631
4.500000 74.487 -31.4001
4.550000 74.622 -32.1813
4.620000 74.811 -33.2628
4.680000 74.973 -34.1667
4.750000 75.162 -35.1791
4.820000 75.352 -36.1280
4.870000 75.488 -36.7684
4.940000 75.679 -37.6335
5.000000 75.842 -38.3642
5.080000 76.057 -39.3539
5.150000 76.244 -40.2612
5.220000 76.431 -41.1936
5.300000 76.643 -42.2764
5.380000 76.853 -43.3731
5.450000 77.032 -44.3405
5.520000 77.207 -45.3128
5.600000 77.403 -46.4373
5.700000 77.642 -47.8576
5.800000 77.871 -49.2825
5.900000 78.088 -50.7021
6.000000 78.294 -52.1294
6.080000 78.452 -53.2695
6.150000 78.584 -54.2579
6.220000 78.710 -55.2312
6.300000 78.847 -56.3326
6.400000 79.008 -57.7002
6.500000 79.160 -59.0297
6.600000 79.304 -60.2912
6.700000 79.440 -61.4809
6.800000 79.567 -62.6112
6.900000 79.691 -63.6844
7.000000 79.814 -64.7018
7.100000 79.933 -65.6578
7.200000 80.051 -66.5596
7.300000 80.171 -67.4172
7.400000 80.296 -68.2273
7.500000 80.422 -68.9800
7.620000 80.579 -69.8508
7.750000 80.755 -70.8034
7.880000 80.940 -71.7411
8.000000 81.114 -72.6204
8.120000 81.289 -73.5438
8.250000 81.482 -74.5795
8.380000 81.673 -75.6582
8.500000 81.841 -76.7038
8.620000 82.006 -77.7978
8.750000 82.175 -79.0109
8.850000 82.295 -79.9533
9.000000 82.462 -81.4018
9.120000 82.584 -82.5492
9.250000 82.703 -83.7542
9.380000 82.808 -84.9358
9.500000 82.896 -85.9740
9.620000 82.977 -86.9458
9.750000 83.056 -87.9361
9.880000 83.132 -88.8503
10.000000 83.201 -89.6154
10.150000 83.286 -90.4790
10.300000 83.377 -91.2719
10.440000 83.468 -91.9364
10.600000 83.579 -92.6530
10.750000 83.694 -93.3133
10.900000 83.817 -93.9599
11.060000 83.953 -94.6894
11.200000 84.077 -95.3564
11.380000 84.235 -96.2640
11.500000 84.339 -96.9085
11.720000 84.524 -98.1441
11.800000 84.587 -98.6066
12.060000 84.780 -100.1468
12.200000 84.874 -100.9678
12.410000 85.004 -102.1855
12.500000 85.056 -102.6894
12.650000 85.140 -103.5088
12.800000 85.220 -104.3012
13.150000 85.402 -106.0376
13.200000 85.428 -106.2777
13.400000 85.532 -107.2155
13.600000 85.637 -108.1419
13.800000 85.742 -109.0653
14.000000 85.845 -109.9953
14.300000 85.995 -111.4045
14.500000 86.089 -112.3489
14.750000 86.200 -113.5189
15.000000 86.305 -114.6690
15.250000 86.404 -115.7854
15.500000 86.499 -116.8694
15.750000 86.593 -117.9234
16.000000 86.685 -118.9563
16.250000 86.777 -119.9777
16.500000 86.866 -120.9913
16.750000 86.954 -122.0006
17.000000 87.037 -123.0011
17.250000 87.118 -123.9894
17.500000 87.195 -124.9605
17.750000 87.271 -125.9111
18.000000 87.344 -126.8427
18.250000 87.416 -127.7570
18.500000 87.488 -128.6608
18.750000 87.559 -129.5577
19.000000 87.628 -130.4512
19.250000 87.694 -131.3419
19.500000 87.758 -132.2259
19.750000 87.818 -133.0999
20.000000 87.875 -133.9563
20.299999 87.941 -134.9555
20.600000 88.004 -135.9222
20.900000 88.068 -136.8611
21.200001 88.132 -137.7843
21.400000 88.176 -138.3999
21.799999 88.262 -139.6424
22.000000 88.303 -140.2715
22.400000 88.378 -141.5379
22.700001 88.427 -142.4767
23.000000 88.471 -143.3856
23.299999 88.511 -144.2536
23.600000 88.552 -145.0833
24.000000 88.610 -146.1523
24.299999 88.657 -146.9551
24.700001 88.720 -148.0601
25.000000 88.764 -148.9199
25.400000 88.811 -150.0833
25.799999 88.843 -151.2080
26.200001 88.867 -152.2391
26.500000 88.886 -152.9440
26.900000 88.918 -153.8214
27.200001 88.950 -154.4704
27.600000 89.000 -155.3693
28.000000 89.050 -156.3248
28.500000 89.103 -157.5599
29.000000 89.146 -158.7700
29.500000 89.187 -159.9408
30.000000 89.227 -161.1098
30.400000 89.255 -162.0484
30.700001 89.271 -162.7368
31.100000 89.290 -163.6059
31.500000 89.312 -164.4195
32.000000 89.351 -165.4253
32.500000 89.396 -166.5181
33.000000 89.423 -167.6976
33.500000 89.424 -168.8265
34.000000 89.412 -169.7593
34.500000 89.415 -170.5091
35.000000 89.447 -171.2328
35.500000 89.492 -172.0842
36.000000 89.529 -173.0708
36.500000 89.546 -174.0872
37.000000 89.549 -175.0327
37.500000 89.551 -175.8970
38.200001 89.561 -177.0690
38.700001 89.568 -177.9225
39.500000 89.567 -179.2514
40.000000 89.564 179.9896
40.599998 89.570 179.1396
41.200001 89.590 178.2853
41.799999 89.618 177.3651
42.500000 89.648 176.1989
43.099998 89.665 175.1632
43.700001 89.673 174.1377
44.400002 89.679 172.9730
45.000000 89.682 171.9922
45.500000 89.682 171.1804
46.200001 89.678 170.0619
46.799999 89.670 169.1351
47.500000 89.658 168.0963
48.200001 89.645 167.0999
48.700001 89.636 166.4130
49.400002 89.626 165.4734
50.000000 89.620 164.6671
50.799999 89.609 163.5772
51.500000 89.596 162.6267
52.200001 89.578 161.6942
53.000000 89.557 160.6514
53.799999 89.535 159.6295
54.500000 89.516 158.7469
55.200001 89.496 157.8724
56.000000 89.474 156.8855
57.000000 89.445 155.6684
58.000000 89.415 154.4684
59.000000 89.384 153.2936
60.000000 89.351 152.1415
60.799999 89.324 151.2349
61.500000 89.299 150.4499
62.200001 89.274 149.6706
63.000000 89.244 148.7909
64.000000 89.206 147.7145
65.000000 89.167 146.6667
66.000000 89.130 145.6404
67.000000 89.092 144.6063
68.000000 89.048 143.5904
69.000000 89.001 142.6328
70.000000 88.958 141.6986
71.000000 88.913 140.7661
72.000000 88.867 139.8554
73.000000 88.822 138.9771
74.000000 88.783 138.1161
75.000000 88.749 137.2333
76.199997 88.705 136.1240
77.500000 88.647 134.9539
78.800003 88.586 133.8143
80.000000 88.521 132.7954
81.199997 88.452 131.8569
82.500000 88.382 130.9177
83.800003 88.316 130.0287
85.000000 88.263 129.2806
86.199997 88.228 128.5509
87.500000 88.207 127.6809
88.500000 88.194 126.9158
90.000000 88.167 125.6761
91.199997 88.140 124.6128
92.500000 88.092 123.4187
93.800003 88.026 122.2948
95.000000 87.960 121.3387
96.199997 87.892 120.4357
97.500000 87.816 119.4965
98.800003 87.736 118.6022
100.000000 87.662 117.8162
101.500000 87.572 116.8604
103.000000 87.485 115.9202
104.400002 87.404 115.0752
106.000000 87.313 114.1576
107.500000 87.227 113.3501
109.000000 87.141 112.5930
110.599998 87.050 111.8081
112.000000 86.968 111.1267
113.800003 86.860 110.2966
115.000000 86.789 109.7941
117.199997 86.662 109.0267
118.000000 86.619 108.8048
120.599998 86.507 108.2783
122.000000 86.473 108.0655
124.099998 86.465 107.7280
125.000000 86.477 107.5266
126.500000 86.511 107.0390
128.000000 86.548 106.3260
131.500000 86.599 103.9146
132.000000 86.600 103.5159
134.000000 86.571 101.9136
136.000000 86.492 100.6270
138.000000 86.410 99.6371
140.000000 86.321 98.6336
143.000000 86.171 97.0798
145.000000 86.073 96.0950
147.500000 85.954 94.9797
150.000000 85.832 93.9711
152.500000 85.709 93.0574
155.000000 85.594 92.2165
157.500000 85.488 91.4341
160.000000 85.391 90.6957
162.500000 85.304 89.9609
165.000000 85.223 89.1919
167.500000 85.141 88.3923
170.000000 85.053 87.5793
172.500000 84.957 86.7876
175.000000 84.854 86.0482
177.500000 84.748 85.3691
180.000000 84.640 84.7457
182.500000 84.531 84.1756
185.000000 84.422 83.6607
187.500000 84.314 83.2059
190.000000 84.206 82.8147
192.500000 84.096 82.4963
195.000000 83.988 82.2605
197.500000 83.885 82.1237
200.000000 83.790 82.0976
203.000000 83.684 82.2297
206.000000 83.597 82.5884
209.000000 83.562 83.1222
212.000000 83.598 83.6748
214.000000 83.663 83.9358
218.000000 83.854 83.8614
220.000000 83.955 83.4595
224.000000 84.104 82.0890
227.000000 84.152 80.8271
230.000000 84.151 79.5845
233.000000 84.114 78.4628
236.000000 84.058 77.4809
240.000000 83.971 76.3505
243.000000 83.903 75.6249
247.000000 83.811 74.7914
250.000000 83.745 74.2457
254.000000 83.660 73.6133
258.000000 83.579 73.0580
262.000000 83.502 72.5558
265.000000 83.448 72.2095
269.000000 83.380 71.7892
272.000000 83.333 71.5002
276.000000 83.274 71.1341
280.000000 83.219 70.7870
285.000000 83.155 70.3834
290.000000 83.097 70.0095
295.000000 83.044 69.6464
300.000000 82.996 69.2981
304.000000 82.958 69.0315
