* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27/08/2022 3:20:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Monarch MkII L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.519 -147.0089
1.015000 67.732 -147.9730
1.030000 67.942 -148.8731
1.044000 68.135 -149.6597
1.060000 68.352 -150.5007
1.075000 68.552 -151.2381
1.090000 68.749 -151.9310
1.106000 68.956 -152.6265
1.120000 69.135 -153.2029
1.138000 69.361 -153.9062
1.150000 69.510 -154.3555
1.172000 69.780 -155.1476
1.180000 69.877 -155.4280
1.206000 70.189 -156.3229
1.220000 70.354 -156.8009
1.241000 70.600 -157.5238
1.250000 70.704 -157.8385
1.265000 70.877 -158.3737
1.280000 71.049 -158.9263
1.315000 71.446 -160.3109
1.320000 71.502 -160.5222
1.340000 71.727 -161.4086
1.360000 71.951 -162.3591
1.380000 72.171 -163.3479
1.400000 72.389 -164.3686
1.430000 72.711 -165.9488
1.450000 72.922 -167.0279
1.475000 73.182 -168.3970
1.500000 73.438 -169.7796
1.525000 73.690 -171.1663
1.550000 73.939 -172.5474
1.575000 74.183 -173.9135
1.600000 74.424 -175.2549
1.625000 74.662 -176.5621
1.650000 74.896 -177.8256
1.675000 75.127 -179.0358
1.700000 75.354 179.8105
1.725000 75.577 178.6984
1.750000 75.796 177.6222
1.775000 76.012 176.5771
1.800000 76.223 175.5586
1.825000 76.431 174.5617
1.850000 76.635 173.5819
1.875000 76.836 172.6143
1.900000 77.034 171.6542
1.925000 77.229 170.6968
1.950000 77.421 169.7376
1.975000 77.610 168.7716
2.000000 77.796 167.7942
2.030000 78.016 166.6013
2.060000 78.232 165.3999
2.090000 78.442 164.1960
2.120000 78.648 162.9916
2.140000 78.783 162.1894
2.180000 79.047 160.5893
2.200000 79.176 159.7925
2.240000 79.430 158.2087
2.270000 79.615 157.0315
2.300000 79.797 155.8657
2.330000 79.976 154.7132
2.360000 80.151 153.5759
2.400000 80.379 152.0739
2.430000 80.545 150.9555
2.470000 80.760 149.4775
2.500000 80.917 148.3801
2.540000 81.121 146.9339
2.580000 81.319 145.5093
2.620000 81.512 144.1089
2.650000 81.653 143.0760
2.690000 81.838 141.7242
2.720000 81.972 140.7311
2.760000 82.146 139.4349
2.800000 82.315 138.1671
2.850000 82.517 136.6165
2.900000 82.712 135.0966
2.950000 82.900 133.6002
3.000000 83.083 132.1195
3.040000 83.225 130.9413
3.070000 83.328 130.0594
3.110000 83.461 128.8886
3.150000 83.590 127.7277
3.200000 83.746 126.2975
3.250000 83.896 124.8990
3.300000 84.041 123.5412
3.350000 84.183 122.2331
3.400000 84.321 120.9824
3.450000 84.453 119.7861
3.500000 84.581 118.6357
3.550000 84.704 117.5222
3.600000 84.824 116.4371
3.650000 84.941 115.3715
3.700000 85.057 114.3168
3.750000 85.170 113.2733
3.820000 85.323 111.8453
3.870000 85.430 110.8512
3.950000 85.596 109.3100
4.000000 85.698 108.3804
4.060000 85.821 107.3031
4.120000 85.941 106.2765
4.180000 86.060 105.2925
4.250000 86.197 104.1820
4.310000 86.312 103.2483
4.370000 86.428 102.3185
4.440000 86.562 101.2415
4.500000 86.676 100.3356
4.550000 86.770 99.5909
4.620000 86.901 98.5602
4.680000 87.011 97.6848
4.750000 87.139 96.6712
4.820000 87.265 95.6729
4.870000 87.354 94.9671
4.940000 87.477 93.9853
5.000000 87.581 93.1461
5.080000 87.714 92.0254
5.150000 87.828 91.0453
5.220000 87.940 90.0680
5.300000 88.063 88.9568
5.380000 88.181 87.8539
5.450000 88.279 86.8932
5.520000 88.374 85.9349
5.600000 88.477 84.8492
5.700000 88.599 83.5174
5.800000 88.712 82.2180
5.900000 88.816 80.9441
6.000000 88.914 79.7052
6.080000 88.987 78.7455
6.150000 89.047 77.9257
6.220000 89.103 77.1245
6.300000 89.165 76.2348
6.400000 89.238 75.1667
6.500000 89.308 74.1515
6.600000 89.374 73.1838
6.700000 89.438 72.2562
6.800000 89.503 71.3667
6.900000 89.566 70.5205
7.000000 89.629 69.7053
7.100000 89.693 68.9097
7.200000 89.759 68.1434
7.300000 89.825 67.3973
7.400000 89.893 66.6546
7.500000 89.961 65.9143
7.620000 90.045 65.0338
7.750000 90.134 64.0698
7.880000 90.222 63.0899
8.000000 90.302 62.1750
8.120000 90.377 61.2472
8.250000 90.453 60.2239
8.380000 90.524 59.1949
8.500000 90.581 58.2455
8.620000 90.632 57.2931
8.750000 90.679 56.2822
8.850000 90.710 55.5217
9.000000 90.747 54.4095
9.120000 90.770 53.5674
9.250000 90.788 52.7003
9.380000 90.803 51.8869
9.500000 90.815 51.1945
9.620000 90.824 50.5553
9.750000 90.836 49.9159
9.880000 90.851 49.3355
10.000000 90.868 48.8462
10.150000 90.897 48.2667
10.300000 90.935 47.7321
10.440000 90.978 47.2345
10.600000 91.038 46.6569
10.750000 91.101 46.0905
10.900000 91.169 45.4733
11.060000 91.244 44.7665
11.200000 91.308 44.0967
11.380000 91.387 43.1727
11.500000 91.434 42.5347
11.720000 91.508 41.3173
11.800000 91.531 40.8799
12.060000 91.588 39.4747
12.200000 91.611 38.7655
12.410000 91.639 37.7679
12.500000 91.650 37.3697
12.650000 91.669 36.7476
12.800000 91.691 36.1568
13.150000 91.758 34.8671
13.200000 91.770 34.6829
13.400000 91.820 33.9403
13.600000 91.871 33.1541
13.800000 91.920 32.3322
14.000000 91.961 31.4758
14.300000 92.006 30.2045
14.500000 92.024 29.4036
14.750000 92.039 28.4998
15.000000 92.056 27.7124
15.250000 92.082 26.9960
15.500000 92.121 26.2959
15.750000 92.170 25.5321
16.000000 92.215 24.6561
16.250000 92.243 23.6941
16.500000 92.246 22.6995
16.750000 92.217 21.7824
17.000000 92.165 21.0758
17.250000 92.108 20.6293
17.500000 92.065 20.4521
17.750000 92.060 20.4635
18.000000 92.103 20.4702
18.250000 92.185 20.3221
18.500000 92.291 19.8903
18.750000 92.390 19.1038
19.000000 92.454 18.0491
19.250000 92.470 16.8575
19.500000 92.428 15.6889
19.750000 92.338 14.7601
20.000000 92.224 14.1896
20.299999 92.092 14.0094
20.600000 92.011 14.2634
20.900000 92.011 14.6677
21.200001 92.087 14.8904
21.400000 92.163 14.8110
21.799999 92.315 14.0789
22.000000 92.371 13.4929
22.400000 92.424 12.1404
22.700001 92.420 11.2021
23.000000 92.401 10.4250
23.299999 92.387 9.7858
23.600000 92.388 9.1849
24.000000 92.407 8.2544
24.299999 92.413 7.4147
24.700001 92.386 6.2072
25.000000 92.338 5.3757
25.400000 92.252 4.5115
25.799999 92.174 3.9236
26.200001 92.120 3.4681
26.500000 92.092 3.1366
26.900000 92.059 2.7111
27.200001 92.038 2.4440
27.600000 92.027 2.1665
28.000000 92.045 1.8649
28.500000 92.089 1.2013
29.000000 92.091 0.2885
29.500000 92.036 -0.3517
30.000000 92.017 -0.4340
30.400000 92.091 -0.4655
30.700001 92.186 -0.8124
31.100000 92.300 -1.9192
31.500000 92.317 -3.5268
32.000000 92.163 -5.2367
32.500000 91.924 -5.6453
33.000000 91.807 -4.9924
33.500000 91.881 -4.5350
34.000000 91.998 -5.1171
34.500000 92.002 -6.3240
35.000000 91.888 -7.1471
35.500000 91.772 -7.1528
36.000000 91.760 -6.8211
36.500000 91.843 -6.9071
37.000000 91.929 -7.7297
37.500000 91.935 -9.0500
38.200001 91.775 -10.7589
38.700001 91.596 -11.3352
39.500000 91.391 -11.1518
40.000000 91.375 -10.9480
40.599998 91.420 -11.2357
41.200001 91.444 -12.0847
41.799999 91.410 -13.0659
42.500000 91.337 -13.9790
43.099998 91.281 -14.6272
43.700001 91.226 -15.2660
44.400002 91.149 -15.8726
45.000000 91.097 -16.2117
45.500000 91.077 -16.5167
46.200001 91.046 -17.1754
46.799999 90.977 -17.7742
47.500000 90.871 -18.1084
48.200001 90.810 -18.1486
48.700001 90.802 -18.2731
49.400002 90.791 -18.7541
50.000000 90.749 -19.2751
50.799999 90.661 -19.6684
51.500000 90.632 -19.6882
52.200001 90.679 -19.9646
53.000000 90.710 -21.0464
53.799999 90.612 -22.1744
54.500000 90.489 -22.5643
55.200001 90.409 -22.6508
56.000000 90.350 -22.7913
57.000000 90.288 -22.9622
58.000000 90.247 -23.2996
59.000000 90.165 -23.7777
60.000000 90.074 -23.9465
60.799999 90.047 -24.1321
61.500000 90.024 -24.5652
62.200001 89.972 -25.0710
63.000000 89.906 -25.5459
64.000000 89.837 -26.3136
65.000000 89.708 -27.1752
66.000000 89.553 -27.5647
67.000000 89.438 -27.7152
68.000000 89.349 -27.8587
69.000000 89.266 -28.0856
70.000000 89.169 -28.3256
71.000000 89.073 -28.4926
72.000000 88.991 -28.7172
73.000000 88.918 -29.0427
74.000000 88.850 -29.4603
75.000000 88.779 -29.8890
76.199997 88.701 -30.2374
77.500000 88.636 -30.4957
78.800003 88.564 -30.6876
80.000000 88.481 -30.8907
81.199997 88.357 -31.1760
82.500000 88.195 -31.3800
83.800003 88.059 -31.6492
85.000000 87.953 -32.0311
86.199997 87.867 -32.4326
87.500000 87.786 -32.7729
88.500000 87.735 -32.9221
90.000000 87.655 -33.0669
91.199997 87.572 -33.1318
92.500000 87.461 -33.1732
93.800003 87.345 -33.1560
95.000000 87.256 -33.3014
96.199997 87.136 -33.6375
97.500000 86.986 -33.6365
98.800003 86.923 -33.4583
100.000000 86.902 -33.8453
101.500000 86.751 -34.3428
103.000000 86.630 -34.0110
104.400002 86.562 -33.9509
106.000000 86.445 -33.7512
107.500000 86.384 -33.4930
109.000000 86.330 -33.8222
110.599998 86.175 -34.3058
112.000000 86.018 -34.1636
113.800003 85.896 -33.7242
115.000000 85.825 -33.4852
117.199997 85.702 -32.9763
118.000000 85.666 -32.8280
120.599998 85.564 -32.6683
122.000000 85.500 -32.6340
124.099998 85.403 -32.4827
125.000000 85.360 -32.4420
126.500000 85.274 -32.4616
128.000000 85.164 -32.4579
131.500000 84.957 -32.1454
132.000000 84.933 -32.1079
134.000000 84.828 -31.9089
136.000000 84.713 -31.6661
138.000000 84.585 -31.5128
140.000000 84.455 -31.3914
143.000000 84.303 -30.9987
145.000000 84.243 -30.5942
147.500000 84.167 -30.0869
150.000000 84.060 -29.6577
152.500000 83.951 -29.2426
155.000000 83.875 -28.8129
157.500000 83.794 -28.3033
160.000000 83.689 -27.8257
162.500000 83.588 -27.5615
165.000000 83.527 -27.4633
167.500000 83.444 -27.1887
170.000000 83.326 -26.3199
172.500000 83.250 -25.5775
175.000000 83.178 -25.2811
177.500000 83.104 -24.9360
180.000000 83.030 -24.4497
182.500000 82.974 -23.9055
185.000000 82.943 -23.3915
187.500000 82.901 -22.9042
190.000000 82.837 -22.3858
192.500000 82.794 -21.7391
195.000000 82.756 -20.8509
197.500000 82.642 -20.0070
200.000000 82.450 -19.7668
203.000000 82.330 -20.2034
206.000000 82.416 -20.3089
209.000000 82.452 -19.2034
212.000000 82.403 -17.9614
214.000000 82.372 -17.6443
218.000000 82.356 -17.4407
220.000000 82.343 -17.1755
224.000000 82.315 -16.6041
227.000000 82.272 -16.3577
230.000000 82.219 -15.9451
233.000000 82.190 -15.3917
236.000000 82.174 -14.7722
240.000000 82.127 -14.0250
243.000000 82.092 -13.4156
247.000000 82.073 -12.5887
250.000000 82.058 -12.1349
254.000000 82.018 -11.7725
258.000000 81.986 -11.3188
262.000000 81.949 -10.9620
265.000000 81.917 -10.6478
269.000000 81.913 -9.8633
272.000000 81.920 -9.2109
276.000000 81.892 -8.6712
280.000000 81.873 -8.1063
285.000000 81.935 -7.4106
290.000000 82.020 -6.8494
295.000000 82.023 -6.4300
300.000000 81.992 -5.3920
304.000000 81.978 -4.7943
307.000000 81.974 -4.6154
311.000000 81.983 -4.4366
315.000000 81.968 -4.2127
320.000000 81.922 -3.7183
325.000000 81.939 -3.0334
