* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -53.2 dBFS, measurement signal peak level -18.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 23/10/2022 8:53:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.1827 ms (-406 mm, -(1 ft 3.97 in)) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Monk Plus L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 39.164 -86.7444
1.015000 39.421 -83.6209
1.030000 39.677 -80.6483
1.044000 39.912 -78.0268
1.060000 40.177 -75.2320
1.075000 40.418 -72.8264
1.090000 40.652 -70.6481
1.106000 40.893 -68.5840
1.120000 41.112 -66.9365
1.138000 41.408 -65.0076
1.150000 41.613 -63.8346
1.172000 42.003 -61.9056
1.180000 42.149 -61.2717
1.206000 42.634 -59.4435
1.220000 42.900 -58.5969
1.241000 43.305 -57.4925
1.250000 43.479 -57.0759
1.265000 43.770 -56.4517
1.280000 44.060 -55.9090
1.315000 44.727 -54.9213
1.320000 44.821 -54.8083
1.340000 45.189 -54.4160
1.360000 45.545 -54.1072
1.380000 45.885 -53.8655
1.400000 46.208 -53.6744
1.430000 46.651 -53.4469
1.450000 46.916 -53.3106
1.475000 47.208 -53.1606
1.500000 47.466 -53.2808
1.525000 47.695 -53.6925
1.550000 47.897 -54.3486
1.575000 48.076 -55.2015
1.600000 48.234 -56.2039
1.625000 48.373 -57.3085
1.650000 48.497 -58.4677
1.675000 48.608 -59.6343
1.700000 48.708 -60.7608
1.725000 48.802 -61.7999
1.750000 48.891 -62.7041
1.775000 48.978 -63.4261
1.800000 49.065 -63.9186
1.825000 49.156 -64.1341
1.850000 49.247 -64.0702
1.875000 49.325 -63.8210
1.900000 49.390 -63.4090
1.925000 49.445 -62.8529
1.950000 49.492 -62.1713
1.975000 49.532 -61.3830
2.000000 49.567 -60.5064
2.030000 49.606 -59.3646
2.060000 49.643 -58.1548
2.090000 49.682 -56.9095
2.120000 49.727 -55.6609
2.140000 49.762 -54.8424
2.180000 49.846 -53.2823
2.200000 49.897 -52.5591
2.240000 50.004 -51.1056
2.270000 50.083 -49.9728
2.300000 50.164 -48.8102
2.330000 50.247 -47.6244
2.360000 50.335 -46.4216
2.400000 50.461 -44.8021
2.430000 50.565 -43.5841
2.470000 50.717 -41.9673
2.500000 50.845 -40.7684
2.540000 51.034 -39.2001
2.580000 51.250 -37.6685
2.620000 51.496 -36.0927
2.650000 51.699 -34.8841
2.690000 51.987 -33.2614
2.720000 52.215 -32.0523
2.760000 52.530 -30.4752
2.800000 52.851 -28.9658
2.850000 53.255 -27.2203
2.900000 53.650 -25.6869
2.950000 54.030 -24.4158
3.000000 54.416 -23.3602
3.040000 54.730 -22.6477
3.070000 54.967 -22.1837
3.110000 55.281 -21.6513
3.150000 55.592 -21.2082
3.200000 55.971 -20.7650
3.250000 56.334 -20.4269
3.300000 56.674 -20.1753
3.350000 56.996 -20.0811
3.400000 57.304 -20.1696
3.450000 57.598 -20.3911
3.500000 57.880 -20.6959
3.550000 58.149 -21.0342
3.600000 58.406 -21.3565
3.650000 58.652 -21.6130
3.700000 58.885 -21.7898
3.750000 59.103 -21.9501
3.820000 59.385 -22.1602
3.870000 59.573 -22.3058
3.950000 59.859 -22.5427
4.000000 60.031 -22.6998
4.060000 60.233 -22.9072
4.120000 60.421 -23.1461
4.180000 60.599 -23.4005
4.250000 60.796 -23.6917
4.310000 60.963 -23.9144
4.370000 61.130 -24.0925
4.440000 61.329 -24.2141
4.500000 61.496 -24.2381
4.550000 61.635 -24.2247
4.620000 61.828 -24.1931
4.680000 61.995 -24.1895
4.750000 62.192 -24.2584
4.820000 62.394 -24.4137
4.870000 62.541 -24.5488
4.940000 62.749 -24.7764
5.000000 62.927 -25.0127
5.080000 63.161 -25.3961
5.150000 63.361 -25.8031
5.220000 63.560 -26.2712
5.300000 63.787 -26.8785
5.380000 64.007 -27.5647
5.450000 64.190 -28.2313
5.520000 64.362 -28.9633
5.600000 64.549 -29.9015
5.700000 64.767 -31.1924
5.800000 64.965 -32.5552
5.900000 65.138 -33.9397
6.000000 65.286 -35.4001
6.080000 65.390 -36.5971
6.150000 65.470 -37.6353
6.220000 65.542 -38.6399
6.300000 65.612 -39.7540
6.400000 65.680 -41.1266
6.500000 65.734 -42.4448
6.600000 65.783 -43.6743
6.700000 65.823 -44.8107
6.800000 65.854 -45.8683
6.900000 65.886 -46.8498
7.000000 65.926 -47.7530
7.100000 65.970 -48.5553
7.200000 66.019 -49.2916
7.300000 66.077 -50.0083
7.400000 66.148 -50.7235
7.500000 66.229 -51.4084
7.620000 66.337 -52.2308
7.750000 66.463 -53.1746
7.880000 66.600 -54.1628
8.000000 66.731 -55.0994
8.120000 66.856 -56.0587
8.250000 66.991 -57.1415
8.380000 67.121 -58.2043
8.500000 67.235 -59.1229
8.620000 67.343 -60.0074
8.750000 67.460 -60.8873
8.850000 67.552 -61.4806
9.000000 67.691 -62.2480
9.120000 67.810 -62.7859
9.250000 67.954 -63.2989
9.380000 68.109 -63.7298
9.500000 68.262 -64.1236
9.620000 68.425 -64.5437
9.750000 68.613 -65.0035
9.880000 68.798 -65.5100
10.000000 68.966 -66.0502
10.150000 69.170 -66.7875
10.300000 69.349 -67.5253
10.440000 69.494 -68.2485
10.600000 69.634 -68.9828
10.750000 69.734 -69.4934
10.900000 69.812 -69.8452
11.060000 69.892 -69.9076
11.200000 69.954 -69.6938
11.380000 70.063 -69.1585
11.500000 70.161 -68.6038
11.720000 70.394 -67.4506
11.800000 70.503 -67.0626
12.060000 70.924 -65.9309
12.200000 71.169 -65.6465
12.410000 71.551 -65.6045
12.500000 71.698 -65.7401
12.650000 71.928 -66.2037
12.800000 72.125 -66.8099
13.150000 72.411 -68.4766
13.200000 72.435 -68.6728
13.400000 72.480 -69.3553
13.600000 72.491 -69.6766
13.800000 72.476 -69.5330
14.000000 72.488 -69.0441
14.300000 72.579 -67.8142
14.500000 72.716 -66.9886
14.750000 72.936 -66.2880
15.000000 73.189 -66.0974
15.250000 73.410 -66.4709
15.500000 73.576 -67.1581
15.750000 73.677 -67.9891
16.000000 73.720 -68.6739
16.250000 73.741 -69.1011
16.500000 73.762 -69.2723
16.750000 73.813 -69.2555
17.000000 73.901 -69.2599
17.250000 74.018 -69.3765
17.500000 74.152 -69.7144
17.750000 74.277 -70.2449
18.000000 74.387 -70.8970
18.250000 74.475 -71.5880
18.500000 74.547 -72.1995
18.750000 74.611 -72.6975
19.000000 74.673 -73.0506
19.250000 74.745 -73.2640
19.500000 74.830 -73.3574
19.750000 74.933 -73.3482
20.000000 75.057 -73.2707
20.299999 75.236 -73.1516
20.600000 75.443 -73.0852
20.900000 75.669 -73.1552
21.200001 75.892 -73.4119
21.400000 76.027 -73.6607
21.799999 76.253 -74.1904
22.000000 76.345 -74.3807
22.400000 76.506 -74.4432
22.700001 76.636 -74.2099
23.000000 76.797 -73.8693
23.299999 76.985 -73.6143
23.600000 77.179 -73.5534
24.000000 77.405 -73.7698
24.299999 77.532 -73.9844
24.700001 77.656 -74.0547
25.000000 77.748 -73.8640
25.400000 77.912 -73.4442
25.799999 78.126 -73.2476
26.200001 78.333 -73.5562
26.500000 78.442 -74.0306
26.900000 78.506 -74.6243
27.200001 78.512 -74.7554
27.600000 78.526 -74.3447
28.000000 78.622 -73.5070
28.500000 78.882 -72.6736
29.000000 79.191 -72.7237
29.500000 79.435 -73.4637
30.000000 79.591 -74.2763
30.400000 79.684 -74.7600
30.700001 79.746 -75.0405
31.100000 79.820 -75.3465
31.500000 79.878 -75.5348
32.000000 79.942 -75.4516
32.500000 80.044 -75.0102
33.000000 80.217 -74.5721
33.500000 80.425 -74.5190
34.000000 80.602 -74.8540
34.500000 80.724 -75.2544
35.000000 80.811 -75.5027
35.500000 80.884 -75.6062
36.000000 80.939 -75.5617
36.500000 80.985 -75.2104
37.000000 81.071 -74.5002
37.500000 81.237 -73.7444
38.200001 81.538 -73.3839
38.700001 81.714 -73.5863
39.500000 81.927 -73.6884
40.000000 82.091 -73.6140
40.599998 82.307 -73.8633
41.200001 82.460 -74.4158
41.799999 82.549 -74.6595
42.500000 82.686 -74.3568
43.099998 82.863 -74.1415
43.700001 83.030 -74.1734
44.400002 83.186 -74.1940
45.000000 83.311 -74.0733
45.500000 83.414 -73.9534
46.200001 83.546 -73.8159
46.799999 83.634 -73.7791
47.500000 83.657 -73.6517
48.200001 83.626 -72.5483
48.700001 83.707 -70.9972
49.400002 84.103 -69.1772
50.000000 84.525 -69.4131
50.799999 84.813 -71.6363
51.500000 84.813 -73.0199
52.200001 84.820 -73.2768
53.000000 84.933 -73.3215
53.799999 85.076 -73.4650
54.500000 85.219 -73.5910
55.200001 85.353 -73.8321
56.000000 85.464 -73.8655
57.000000 85.670 -73.2832
58.000000 85.957 -73.1865
59.000000 86.177 -73.5486
60.000000 86.340 -73.9288
60.799999 86.413 -74.1280
61.500000 86.460 -73.9128
62.200001 86.551 -73.3859
63.000000 86.724 -72.8394
64.000000 86.984 -72.5986
65.000000 87.237 -72.9000
66.000000 87.417 -73.5522
67.000000 87.533 -74.0177
68.000000 87.642 -74.2051
69.000000 87.762 -74.1812
70.000000 87.918 -73.9946
71.000000 88.108 -73.8891
72.000000 88.296 -73.8954
73.000000 88.469 -73.9041
74.000000 88.629 -73.8766
75.000000 88.784 -73.7903
76.199997 88.980 -73.7739
77.500000 89.177 -74.0267
78.800003 89.366 -74.3360
80.000000 89.549 -74.7186
81.199997 89.725 -75.1038
82.500000 89.911 -75.3925
83.800003 90.090 -75.5020
85.000000 90.261 -75.5115
86.199997 90.429 -75.5994
87.500000 90.595 -75.8196
88.500000 90.712 -76.0386
90.000000 90.886 -76.3837
91.199997 91.035 -76.6625
92.500000 91.203 -76.9842
93.800003 91.373 -77.3076
95.000000 91.524 -77.6216
96.199997 91.665 -77.9364
97.500000 91.815 -78.2356
98.800003 91.973 -78.5571
100.000000 92.117 -78.9341
101.500000 92.283 -79.4226
103.000000 92.440 -79.8877
104.400002 92.580 -80.3098
106.000000 92.741 -80.8511
107.500000 92.883 -81.4470
109.000000 93.014 -81.9716
110.599998 93.166 -82.4697
112.000000 93.295 -83.0144
113.800003 93.427 -83.8085
115.000000 93.508 -84.3067
117.199997 93.671 -85.2307
118.000000 93.736 -85.5575
120.599998 93.946 -86.6206
122.000000 94.031 -87.1835
124.099998 94.126 -88.0057
125.000000 94.162 -88.3801
126.500000 94.224 -89.0492
128.000000 94.291 -89.7538
131.500000 94.444 -91.2697
132.000000 94.463 -91.4711
134.000000 94.523 -92.2683
136.000000 94.565 -93.0720
138.000000 94.597 -93.8770
140.000000 94.623 -94.6553
143.000000 94.650 -95.7469
145.000000 94.656 -96.4130
147.500000 94.647 -97.1202
150.000000 94.640 -97.8065
152.500000 94.617 -98.6894
155.000000 94.577 -99.5098
157.500000 94.532 -100.1622
160.000000 94.479 -100.7102
162.500000 94.415 -101.2293
165.000000 94.350 -101.7207
167.500000 94.284 -102.1510
170.000000 94.213 -102.4885
172.500000 94.134 -102.7452
175.000000 94.048 -102.9574
177.500000 93.954 -103.1348
180.000000 93.858 -103.2573
182.500000 93.763 -103.3173
185.000000 93.665 -103.3107
187.500000 93.563 -103.2433
190.000000 93.457 -103.1370
192.500000 93.349 -102.9788
195.000000 93.237 -102.7550
197.500000 93.123 -102.5105
200.000000 93.014 -102.2583
203.000000 92.899 -101.9018
206.000000 92.785 -101.4496
209.000000 92.655 -100.9510
212.000000 92.524 -100.4470
214.000000 92.446 -100.0928
218.000000 92.298 -99.3137
220.000000 92.215 -98.8941
224.000000 92.042 -97.9457
227.000000 91.920 -97.1846
230.000000 91.801 -96.3971
233.000000 91.684 -95.6011
236.000000 91.563 -94.7858
240.000000 91.397 -93.5787
243.000000 91.274 -92.6091
