* Measurement data measured by REW V5.31.3
* Source: A [plughw:0,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09/12/2024 9:24:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NX8 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.537 136.0489
0.732422 44.461 79.2765
1.098633 51.740 47.4522
1.464844 57.554 28.7810
1.831055 61.980 14.4677
2.197266 65.378 2.3182
2.563477 68.020 -8.1758
2.929688 70.113 -17.1202
3.295898 71.827 -24.6145
3.662109 73.296 -30.9015
4.028320 74.611 -36.3648
4.394531 75.811 -41.4033
4.760742 76.902 -46.2794
5.126953 77.873 -51.0592
5.493164 78.721 -55.6653
5.859375 79.459 -59.9809
6.225586 80.112 -63.9377
6.591797 80.705 -67.5510
6.958008 81.255 -70.8970
7.324219 81.769 -74.0575
7.690430 82.246 -77.0763
8.056641 82.687 -79.9533
8.422852 83.096 -82.6732
8.789062 83.479 -85.2376
9.155273 83.843 -87.6764
9.521484 84.190 -90.0311
9.887695 84.518 -92.3291
10.253906 84.824 -94.5699
10.620117 85.107 -96.7330
10.986328 85.371 -98.8010
11.352539 85.620 -100.7768
11.718750 85.857 -102.6838
12.084961 86.083 -104.5486
12.451172 86.294 -106.3826
12.817383 86.488 -108.1745
13.183594 86.665 -109.9014
13.549805 86.829 -111.5457
13.916016 86.984 -113.1076
14.282227 87.133 -114.6035
14.648438 87.277 -116.0544
15.014648 87.417 -117.4736
15.380859 87.550 -118.8651
15.747070 87.678 -120.2293
16.113281 87.801 -121.5711
16.479492 87.918 -122.8998
16.845703 88.030 -124.2215
17.211914 88.132 -125.5310
17.578125 88.226 -126.8113
17.944336 88.312 -128.0444
18.310547 88.394 -129.2242
18.676758 88.475 -130.3631
19.042969 88.556 -131.4852
19.409180 88.635 -132.6107
19.775391 88.709 -133.7428
20.141602 88.775 -134.8658
20.507812 88.833 -135.9559
20.874023 88.885 -136.9966
21.240234 88.934 -137.9876
21.606445 88.984 -138.9430
21.972656 89.035 -139.8812
22.338867 89.084 -140.8144
22.705078 89.130 -141.7440
23.071289 89.173 -142.6640
23.437500 89.211 -143.5667
23.803711 89.247 -144.4480
24.169922 89.280 -145.3082
24.536133 89.311 -146.1500
24.902344 89.340 -146.9763
25.268555 89.368 -147.7885
25.634766 89.393 -148.5870
26.000977 89.416 -149.3707
26.367188 89.437 -150.1375
26.733398 89.457 -150.8852
27.099609 89.476 -151.6131
27.465820 89.494 -152.3240
27.832031 89.513 -153.0245
28.198242 89.532 -153.7229
28.564453 89.550 -154.4252
28.930664 89.566 -155.1302
29.296875 89.577 -155.8289
29.663086 89.584 -156.5078
30.029297 89.588 -157.1561
30.395508 89.593 -157.7721
30.761719 89.598 -158.3646
31.127930 89.606 -158.9487
31.494141 89.615 -159.5369
31.860352 89.622 -160.1332
32.226562 89.627 -160.7321
32.592773 89.629 -161.3234
32.958984 89.628 -161.8983
33.325195 89.627 -162.4541
33.691406 89.624 -162.9931
34.057617 89.623 -163.5207
34.423828 89.621 -164.0424
34.790039 89.620 -164.5629
35.156250 89.619 -165.0849
35.522461 89.616 -165.6081
35.888672 89.611 -166.1281
36.254883 89.605 -166.6383
36.621094 89.597 -167.1335
36.987305 89.589 -167.6136
37.353516 89.582 -168.0826
37.719727 89.575 -168.5445
38.085938 89.567 -168.9993
38.452148 89.559 -169.4430
38.818359 89.552 -169.8735
39.184570 89.546 -170.2956
39.550781 89.541 -170.7198
39.916992 89.537 -171.1537
40.283203 89.529 -171.5948
40.649414 89.519 -172.0304
41.015625 89.505 -172.4464
41.381836 89.491 -172.8378
41.748047 89.478 -173.2111
42.114258 89.466 -173.5771
42.480469 89.454 -173.9418
42.846680 89.443 -174.3056
43.212891 89.431 -174.6681
43.579102 89.420 -175.0341
43.945312 89.408 -175.4091
44.311523 89.393 -175.7903
44.677734 89.375 -176.1631
45.043945 89.356 -176.5129
45.410156 89.339 -176.8423
45.776367 89.326 -177.1770
46.142578 89.315 -177.5451
46.508789 89.298 -177.9459
46.875000 89.272 -178.3362
47.241211 89.240 -178.6550
47.607422 89.212 -178.8760
47.973633 89.202 -179.0457
48.339844 89.210 -179.2667
48.706055 89.226 -179.6271
49.072266 89.231 179.8704
49.438477 89.211 179.3210
49.804688 89.168 178.8604
50.170898 89.117 178.5762
50.537109 89.079 178.4466
50.903320 89.067 178.3544
51.269531 89.073 178.1712
51.635742 89.079 177.8456
52.001953 89.070 177.4300
52.368164 89.039 177.0347
52.734375 88.996 176.7532
53.100586 88.955 176.6084
53.466797 88.930 176.5467
53.833008 88.923 176.4786
54.199219 88.929 176.3312
54.565430 88.935 176.0800
54.931641 88.934 175.7490
55.297852 88.919 175.3901
55.664062 88.893 175.0577
56.030273 88.861 174.7871
56.396484 88.829 174.5821
56.762695 88.804 174.4161
57.128906 88.787 174.2487
57.495117 88.774 174.0501
57.861328 88.760 173.8171
58.227539 88.742 173.5703
58.593750 88.720 173.3354
58.959961 88.697 173.1244
59.326172 88.677 172.9298
59.692383 88.658 172.7364
60.058594 88.641 172.5364
60.424805 88.623 172.3341
60.791016 88.604 172.1371
61.157227 88.586 171.9459
61.523438 88.570 171.7515
61.889648 88.553 171.5455
62.255859 88.535 171.3307
62.622070 88.514 171.1205
62.988281 88.491 170.9281
63.354492 88.469 170.7540
63.720703 88.449 170.5857
64.086914 88.432 170.4085
64.453125 88.413 170.2175
64.819336 88.393 170.0208
65.185547 88.370 169.8309
65.551758 88.347 169.6546
65.917969 88.324 169.4896
66.284180 88.302 169.3306
66.650391 88.280 169.1760
67.016602 88.260 169.0286
67.382812 88.240 168.8886
67.749023 88.224 168.7486
68.115234 88.209 168.5965
68.481445 88.194 168.4250
68.847656 88.177 168.2399
69.213867 88.156 168.0574
69.580078 88.134 167.8936
69.946289 88.112 167.7524
70.312500 88.092 167.6226
70.678711 88.075 167.4865
71.044922 88.058 167.3332
71.411133 88.039 167.1667
71.777344 88.016 167.0035
72.143555 87.990 166.8621
72.509766 87.964 166.7514
72.875977 87.941 166.6657
73.242188 87.923 166.5864
73.608398 87.909 166.4904
73.974609 87.898 166.3613
74.340820 87.884 166.1965
74.707031 87.865 166.0109
75.073242 87.841 165.8309
75.439453 87.811 165.6837
75.805664 87.781 165.5835
76.171875 87.756 165.5231
76.538086 87.739 165.4752
76.904297 87.728 165.4056
77.270508 87.721 165.2908
77.636719 87.711 165.1300
78.002930 87.696 164.9443
78.369141 87.675 164.7652
78.735352 87.649 164.6187
79.101562 87.623 164.5134
79.467773 87.600 164.4396
79.833984 87.582 164.3768
80.200195 87.568 164.3052
80.566406 87.555 164.2144
80.932617 87.542 164.1064
81.298828 87.527 163.9909
81.665039 87.510 163.8792
82.031250 87.493 163.7769
82.397461 87.476 163.6812
82.763672 87.459 163.5831
83.129883 87.443 163.4742
83.496094 87.425 163.3542
83.862305 87.403 163.2340
84.228516 87.378 163.1304
84.594727 87.352 163.0556
84.960938 87.328 163.0080
85.327148 87.309 162.9709
85.693359 87.294 162.9223
86.059570 87.280 162.8484
86.425781 87.266 162.7514
86.791992 87.249 162.6456
87.158203 87.230 162.5447
87.524414 87.212 162.4518
87.890625 87.194 162.3579
88.256836 87.177 162.2521
88.623047 87.157 162.1340
88.989258 87.134 162.0184
89.355469 87.107 161.9283
89.721680 87.079 161.8801
90.087891 87.055 161.8717
90.454102 87.039 161.8820
90.820312 87.029 161.8807
91.186523 87.024 161.8437
91.552734 87.021 161.7625
91.918945 87.014 161.6446
92.285156 87.004 161.5042
92.651367 86.989 161.3541
93.017578 86.969 161.2018
93.383789 86.945 161.0548
93.750000 86.914 160.9268
94.116211 86.879 160.8386
94.482422 86.843 160.8088
94.848633 86.810 160.8400
95.214844 86.787 160.9090
95.581055 86.774 160.9742
95.947266 86.770 160.9964
96.313477 86.768 160.9604
96.679688 86.764 160.8794
97.045898 86.756 160.7800
97.412109 86.746 160.6779
97.778320 86.737 160.5650
98.144531 86.728 160.4194
98.510742 86.715 160.2310
98.876953 86.691 160.0225
99.243164 86.655 159.8447
99.609375 86.612 159.7491
99.975586 86.570 159.7538
100.341797 86.539 159.8301
100.708008 86.521 159.9196
101.074219 86.513 159.9714
101.440430 86.508 159.9710
101.806641 86.500 159.9392
102.172852 86.489 159.9068
102.539062 86.479 159.8866
102.905273 86.472 159.8649
103.271484 86.468 159.8168
103.637695 86.462 159.7316
104.003906 86.450 159.6249
104.370117 86.432 159.5282
104.736328 86.411 159.4659
105.102539 86.391 159.4374
105.468750 86.375 159.4189
105.834961 86.363 159.3839
106.201172 86.349 159.3239
106.567383 86.332 159.2539
106.933594 86.312 159.1979
107.299805 86.291 159.1679
107.666016 86.274 159.1534
108.032227 86.260 159.1303
108.398438 86.247 159.0812
108.764648 86.232 159.0111
109.130859 86.212 158.9432
109.497070 86.190 158.9005
109.863281 86.171 158.8856
110.229492 86.156 158.8776
110.595703 86.145 158.8476
110.961914 86.134 158.7811
111.328125 86.119 158.6895
111.694336 86.098 158.6027
112.060547 86.073 158.5483
112.426758 86.049 158.5339
112.792969 86.029 158.5450
113.159180 86.014 158.5569
113.525391 86.001 158.5520
113.891602 85.989 158.5280
114.257812 85.975 158.4951
114.624023 85.959 158.4656
114.990234 85.942 158.4473
115.356445 85.926 158.4416
115.722656 85.910 158.4465
116.088867 85.897 158.4590
116.455078 85.885 158.4754
116.821289 85.876 158.4894
117.187500 85.869 158.4930
117.553711 85.863 158.4799
117.919922 85.857 158.4485
118.286133 85.849 158.4040
118.652344 85.839 158.3543
119.018555 85.828 158.3064
119.384766 85.817 158.2619
119.750977 85.805 158.2174
120.117188 85.793 158.1680
120.483398 85.779 158.1129
120.849609 85.764 158.0585
121.215820 85.746 158.0165
121.582031 85.728 157.9957
121.948242 85.713 157.9939
122.314453 85.701 157.9951
122.680664 85.693 157.9768
123.046875 85.686 157.9247
123.413086 85.675 157.8436
123.779297 85.659 157.7567
124.145508 85.638 157.6913
124.511719 85.617 157.6600
124.877930 85.599 157.6527
125.244141 85.584 157.6437
125.610352 85.572 157.6124
125.976562 85.557 157.5598
126.342773 85.538 157.5082
126.708984 85.515 157.4851
127.075195 85.493 157.5027
127.441406 85.476 157.5479
127.807617 85.466 157.5898
128.173828 85.460 157.5997
128.540039 85.453 157.5684
128.906250 85.441 157.5106
129.272461 85.423 157.4563
129.638672 85.400 157.4344
130.004883 85.377 157.4586
130.371094 85.358 157.5211
130.737305 85.346 157.5949
131.103516 85.340 157.6467
131.469727 85.338 157.6528
131.835938 85.333 157.6130
132.202148 85.322 157.5507
132.568359 85.305 157.4998
132.934570 85.285 157.4841
133.300781 85.267 157.5007
133.666992 85.255 157.5230
134.033203 85.247 157.5201
134.399414 85.238 157.4809
134.765625 85.224 157.4235
135.131836 85.203 157.3838
135.498047 85.181 157.3903
135.864258 85.163 157.4441
136.230469 85.152 157.5175
136.596680 85.150 157.5714
136.962891 85.151 157.5784
137.329102 85.150 157.5362
137.695312 85.144 157.4658
138.061523 85.130 157.3991
138.427734 85.111 157.3651
138.793945 85.090 157.3781
139.160156 85.072 157.4321
139.526367 85.061 157.5018
139.892578 85.055 157.5540
140.258789 85.052 157.5642
140.625000 85.046 157.5316
140.991211 85.032 157.4802
141.357422 85.013 157.4435
141.723633 84.990 157.4425
142.089844 84.969 157.4728
142.456055 84.953 157.5104
142.822266 84.941 157.5311
143.188477 84.929 157.5259
143.554688 84.917 157.5014
143.920898 84.903 157.4666
144.287109 84.888 157.4252
144.653320 84.873 157.3795
145.019531 84.855 157.3403
145.385742 84.836 157.3262
145.751953 84.821 157.3462
146.118164 84.814 157.3796
146.484375 84.816 157.3819
146.850586 84.819 157.3193
147.216797 84.815 157.2092
147.583008 84.798 157.1239
147.949219 84.776 157.1430
148.315430 84.764 157.2820
148.681641 84.776 157.4546
149.047852 84.812 157.5165
149.414062 84.850 157.3687
149.780273 84.867 157.0391
150.146484 84.845 156.6768
