* Measurement data measured by REW V5.31.3
* Source: A [plughw:0,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09/12/2024 9:26:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NX8 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 46.191 149.4933
0.732422 46.603 94.6947
1.098633 52.436 47.4947
1.464844 58.250 24.2782
1.831055 62.747 9.4797
2.197266 66.245 -2.1788
2.563477 69.015 -12.1810
2.929688 71.245 -20.9943
3.295898 73.069 -28.8013
3.662109 74.587 -35.7206
4.028320 75.875 -41.8705
4.394531 76.987 -47.3728
4.760742 77.962 -52.3379
5.126953 78.827 -56.8533
5.493164 79.602 -60.9855
5.859375 80.304 -64.7899
6.225586 80.947 -68.3188
6.591797 81.541 -71.6245
6.958008 82.091 -74.7561
7.324219 82.604 -77.7537
7.690430 83.078 -80.6434
8.056641 83.516 -83.4343
8.422852 83.918 -86.1189
8.789062 84.287 -88.6808
9.155273 84.628 -91.1076
9.521484 84.948 -93.4049
9.887695 85.253 -95.6002
10.253906 85.545 -97.7323
10.620117 85.821 -99.8300
10.986328 86.079 -101.8968
11.352539 86.316 -103.9131
11.718750 86.535 -105.8549
12.084961 86.741 -107.7161
12.451172 86.937 -109.5149
12.817383 87.125 -111.2803
13.183594 87.301 -113.0283
13.549805 87.463 -114.7480
13.916016 87.609 -116.4108
14.282227 87.743 -117.9934
14.648438 87.872 -119.4970
15.014648 87.999 -120.9471
15.380859 88.122 -122.3726
15.747070 88.239 -123.7833
16.113281 88.347 -125.1646
16.479492 88.447 -126.4937
16.845703 88.543 -127.7620
17.211914 88.639 -128.9862
17.578125 88.735 -130.1966
17.944336 88.829 -131.4145
18.310547 88.914 -132.6359
18.676758 88.991 -133.8363
19.042969 89.059 -134.9904
19.409180 89.123 -136.0910
19.775391 89.186 -137.1529
20.141602 89.249 -138.1988
20.507812 89.307 -139.2408
20.874023 89.360 -140.2717
21.240234 89.407 -141.2726
21.606445 89.450 -142.2302
21.972656 89.492 -143.1492
22.338867 89.535 -144.0504
22.705078 89.579 -144.9563
23.071289 89.619 -145.8754
23.437500 89.654 -146.7972
23.803711 89.682 -147.7003
24.169922 89.705 -148.5683
24.536133 89.727 -149.4006
24.902344 89.749 -150.2107
25.268555 89.770 -151.0133
25.634766 89.790 -151.8117
26.000977 89.805 -152.5943
26.367188 89.818 -153.3456
26.733398 89.831 -154.0609
27.099609 89.847 -154.7547
27.465820 89.866 -155.4520
27.832031 89.885 -156.1707
28.198242 89.899 -156.9071
28.564453 89.908 -157.6369
28.930664 89.911 -158.3336
29.296875 89.913 -158.9876
29.663086 89.918 -159.6139
30.029297 89.925 -160.2397
30.395508 89.932 -160.8823
30.761719 89.934 -161.5342
31.127930 89.930 -162.1689
31.494141 89.923 -162.7613
31.860352 89.917 -163.3082
32.226562 89.916 -163.8314
32.592773 89.919 -164.3621
32.958984 89.922 -164.9178
33.325195 89.922 -165.4910
33.691406 89.917 -166.0571
34.057617 89.908 -166.5941
34.423828 89.900 -167.0990
34.790039 89.895 -167.5876
35.156250 89.892 -168.0799
35.522461 89.888 -168.5840
35.888672 89.882 -169.0911
36.254883 89.874 -169.5860
36.621094 89.865 -170.0614
36.987305 89.857 -170.5252
37.353516 89.850 -170.9924
37.719727 89.843 -171.4710
38.085938 89.832 -171.9527
38.452148 89.816 -172.4182
38.818359 89.799 -172.8515
39.184570 89.783 -173.2523
39.550781 89.770 -173.6351
39.916992 89.760 -174.0181
40.283203 89.751 -174.4108
40.649414 89.741 -174.8119
41.015625 89.731 -175.2158
41.381836 89.719 -175.6198
41.748047 89.705 -176.0238
42.114258 89.689 -176.4230
42.480469 89.670 -176.8061
42.846680 89.650 -177.1623
43.212891 89.632 -177.4944
43.579102 89.617 -177.8220
43.945312 89.605 -178.1682
44.311523 89.591 -178.5375
44.677734 89.571 -178.9082
45.043945 89.548 -179.2491
45.410156 89.527 -179.5500
45.776367 89.511 -179.8382
46.142578 89.501 179.8416
46.508789 89.488 179.4693
46.875000 89.466 179.0776
47.241211 89.435 178.7334
47.607422 89.403 178.4812
47.973633 89.385 178.2919
48.339844 89.384 178.0689
48.706055 89.391 177.7182
49.072266 89.388 177.2293
49.438477 89.358 176.6982
49.804688 89.305 176.2693
50.170898 89.245 176.0366
50.537109 89.202 175.9730
50.903320 89.189 175.9447
51.269531 89.197 175.8093
51.635742 89.207 175.5164
52.001953 89.201 175.1291
52.368164 89.177 174.7604
52.734375 89.146 174.4845
53.100586 89.120 174.2903
53.466797 89.105 174.1085
53.833008 89.095 173.8806
54.199219 89.082 173.6073
54.565430 89.062 173.3361
54.931641 89.038 173.1081
55.297852 89.018 172.9167
55.664062 89.004 172.7148
56.030273 88.992 172.4620
56.396484 88.973 172.1670
56.762695 88.943 171.8845
57.128906 88.907 171.6708
57.495117 88.875 171.5364
57.861328 88.853 171.4346
58.227539 88.843 171.2976
58.593750 88.835 171.0879
58.959961 88.821 170.8232
59.326172 88.796 170.5576
59.692383 88.766 170.3378
60.058594 88.738 170.1709
60.424805 88.716 170.0256
60.791016 88.700 169.8624
61.157227 88.684 169.6645
61.523438 88.665 169.4464
61.889648 88.641 169.2364
62.255859 88.617 169.0519
62.622070 88.594 168.8879
62.988281 88.573 168.7256
63.354492 88.554 168.5515
63.720703 88.533 168.3693
64.086914 88.510 168.1950
64.453125 88.487 168.0413
64.819336 88.466 167.9051
65.185547 88.449 167.7681
65.551758 88.434 167.6096
65.917969 88.419 167.4222
66.284180 88.400 167.2169
66.650391 88.375 167.0164
67.016602 88.348 166.8418
67.382812 88.319 166.7017
67.749023 88.294 166.5891
68.115234 88.273 166.4871
68.481445 88.256 166.3773
68.847656 88.242 166.2463
69.213867 88.228 166.0893
69.580078 88.212 165.9106
69.946289 88.193 165.7225
70.312500 88.169 165.5414
70.678711 88.143 165.3813
71.044922 88.117 165.2473
71.411133 88.093 165.1332
71.777344 88.072 165.0250
72.143555 88.053 164.9096
72.509766 88.034 164.7826
72.875977 88.014 164.6505
73.242188 87.992 164.5249
73.608398 87.969 164.4140
73.974609 87.948 164.3171
74.340820 87.929 164.2264
74.707031 87.911 164.1323
75.073242 87.895 164.0292
75.439453 87.879 163.9166
75.805664 87.863 163.7959
76.171875 87.846 163.6683
76.538086 87.827 163.5349
76.904297 87.807 163.3990
77.270508 87.784 163.2681
77.636719 87.759 163.1510
78.002930 87.734 163.0526
78.369141 87.711 162.9698
78.735352 87.690 162.8923
79.101562 87.672 162.8085
79.467773 87.654 162.7123
79.833984 87.635 162.6071
80.200195 87.614 162.5019
80.566406 87.593 162.4052
80.932617 87.572 162.3188
81.298828 87.552 162.2376
81.665039 87.534 162.1534
82.031250 87.517 162.0611
82.397461 87.499 161.9628
82.763672 87.480 161.8654
83.129883 87.461 161.7755
83.496094 87.442 161.6929
83.862305 87.425 161.6102
84.228516 87.409 161.5172
84.594727 87.392 161.4094
84.960938 87.372 161.2939
85.327148 87.349 161.1872
85.693359 87.324 161.1058
86.059570 87.300 161.0546
86.425781 87.279 161.0220
86.791992 87.263 160.9860
87.158203 87.250 160.9282
87.524414 87.236 160.8456
87.890625 87.219 160.7514
88.256836 87.200 160.6642
88.623047 87.179 160.5950
88.989258 87.160 160.5399
89.355469 87.143 160.4858
89.721680 87.127 160.4211
90.087891 87.111 160.3439
90.454102 87.094 160.2614
90.820312 87.075 160.1821
91.186523 87.055 160.1100
91.552734 87.036 160.0440
91.918945 87.016 159.9822
92.285156 86.997 159.9238
92.651367 86.978 159.8685
93.017578 86.960 159.8129
93.383789 86.943 159.7525
93.750000 86.924 159.6859
94.116211 86.904 159.6192
94.482422 86.883 159.5629
94.848633 86.862 159.5221
95.214844 86.843 159.4899
95.581055 86.826 159.4510
95.947266 86.811 159.3946
96.313477 86.793 159.3256
96.679688 86.773 159.2613
97.045898 86.752 159.2147
97.412109 86.735 159.1785
97.778320 86.721 159.1270
98.144531 86.708 159.0384
98.510742 86.688 158.9192
98.876953 86.661 158.8092
99.243164 86.627 158.7581
99.609375 86.596 158.7875
99.975586 86.576 158.8694
100.341797 86.570 158.9387
100.708008 86.573 158.9358
101.074219 86.574 158.8458
101.440430 86.567 158.7053
101.806641 86.548 158.5735
102.172852 86.524 158.4927
102.539062 86.502 158.4636
102.905273 86.486 158.4542
103.271484 86.474 158.4286
103.637695 86.463 158.3748
104.003906 86.447 158.3083
104.370117 86.428 158.2554
104.736328 86.408 158.2298
105.102539 86.391 158.2243
105.468750 86.378 158.2178
105.834961 86.367 158.1927
106.201172 86.355 158.1466
106.567383 86.340 158.0903
106.933594 86.323 158.0380
107.299805 86.305 157.9968
107.666016 86.288 157.9639
108.032227 86.271 157.9322
108.398438 86.255 157.8973
108.764648 86.238 157.8611
109.130859 86.221 157.8293
109.497070 86.203 157.8060
109.863281 86.187 157.7892
110.229492 86.173 157.7717
110.595703 86.160 157.7452
110.961914 86.147 157.7067
111.328125 86.132 157.6605
111.694336 86.115 157.6166
112.060547 86.097 157.5847
112.426758 86.080 157.5677
112.792969 86.064 157.5599
113.159180 86.051 157.5498
113.525391 86.039 157.5262
113.891602 86.027 157.4855
114.257812 86.012 157.4337
114.624023 85.995 157.3833
114.990234 85.976 157.3463
115.356445 85.958 157.3267
115.722656 85.941 157.3184
116.088867 85.927 157.3083
116.455078 85.915 157.2851
116.821289 85.902 157.2462
117.187500 85.887 157.1995
117.553711 85.871 157.1579
117.919922 85.853 157.1307
118.286133 85.837 157.1180
118.652344 85.822 157.1122
119.018555 85.809 157.1055
119.384766 85.797 157.0955
119.750977 85.784 157.0856
120.117188 85.773 157.0782
120.483398 85.763 157.0690
120.849609 85.754 157.0486
121.215820 85.743 157.0115
121.582031 85.729 156.9657
121.948242 85.711 156.9316
122.314453 85.691 156.9290
122.680664 85.673 156.9601
123.046875 85.660 157.0031
123.413086 85.653 157.0244
123.779297 85.646 157.0026
124.145508 85.635 156.9457
124.511719 85.617 156.8876
124.877930 85.594 156.8635
125.244141 85.573 156.8846
125.610352 85.557 156.9280
125.976562 85.548 156.9545
126.342773 85.541 156.9376
126.708984 85.531 156.8836
127.075195 85.515 156.8253
127.441406 85.495 156.7961
127.807617 85.477 156.8042
128.173828 85.464 156.8278
128.540039 85.457 156.8329
128.906250 85.450 156.8012
129.272461 85.440 156.7436
129.638672 85.423 156.6915
130.004883 85.404 156.6734
130.371094 85.386 156.6947
130.737305 85.373 156.7355
131.103516 85.366 156.7665
131.469727 85.360 156.7691
131.835938 85.353 156.7459
132.202148 85.342 156.7142
132.568359 85.329 156.6915
132.934570 85.314 156.6839
133.300781 85.301 156.6848
133.666992 85.289 156.6835
134.033203 85.277 156.6739
134.399414 85.264 156.6576
134.765625 85.249 156.6408
135.131836 85.234 156.6285
135.498047 85.219 156.6223
135.864258 85.205 156.6219
136.230469 85.191 156.6264
136.596680 85.178 156.6343
136.962891 85.167 156.6414
137.329102 85.158 156.6405
137.695312 85.149 156.6266
138.061523 85.139 156.6023
138.427734 85.126 156.5785
138.793945 85.112 156.5684
139.160156 85.098 156.5768
139.526367 85.086 156.5956
139.892578 85.076 156.6098
140.258789 85.067 156.6100
140.625000 85.056 156.6001
140.991211 85.042 156.5933
141.357422 85.028 156.5986
141.723633 85.014 156.6127
142.089844 85.001 156.6237
142.456055 84.988 156.6245
142.822266 84.974 156.6215
143.188477 84.958 156.6274
143.554688 84.943 156.6456
143.920898 84.931 156.6626
144.287109 84.922 156.6586
144.653320 84.911 156.6298
145.019531 84.896 156.5969
145.385742 84.879 156.5890
145.751953 84.866 156.6119
146.118164 84.860 156.6352
146.484375 84.859 156.6152
146.850586 84.855 156.5406
147.216797 84.842 156.4572
147.583008 84.820 156.4390
147.949219 84.804 156.5222
148.315430 84.807 156.6533
148.681641 84.831 156.7072
149.047852 84.861 156.5782
149.414062 84.873 156.2712
149.780273 84.849 155.9180
150.146484 84.791 155.7037
150.512695 84.722 155.7516
