* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -27.0 dBFS, measurement signal peak level -25.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/01/2024 4:54:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0238 ms (-8.2 mm, -0.32 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Neo5 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.958 -73.0667
1.015000 45.179 -74.2423
1.030000 45.398 -75.3860
1.044000 45.601 -76.4213
1.060000 45.830 -77.5618
1.075000 46.042 -78.5858
1.090000 46.251 -79.5616
1.106000 46.470 -80.5463
1.120000 46.661 -81.3667
1.138000 46.906 -82.3707
1.150000 47.069 -83.0104
1.172000 47.366 -84.1270
1.180000 47.474 -84.5163
1.206000 47.823 -85.7272
1.220000 48.010 -86.3483
1.241000 48.290 -87.2455
1.250000 48.409 -87.6190
1.265000 48.608 -88.2289
1.280000 48.806 -88.8257
1.315000 49.263 -90.1824
1.320000 49.328 -90.3736
1.340000 49.588 -91.1362
1.360000 49.845 -91.8998
1.380000 50.101 -92.6712
1.400000 50.355 -93.4568
1.430000 50.733 -94.6763
1.450000 50.982 -95.5264
1.475000 51.291 -96.6386
1.500000 51.598 -97.7817
1.525000 51.902 -98.9446
1.550000 52.203 -100.1226
1.575000 52.502 -101.3108
1.600000 52.799 -102.5045
1.625000 53.093 -103.6988
1.650000 53.384 -104.8891
1.675000 53.673 -106.0706
1.700000 53.959 -107.2384
1.725000 54.242 -108.3877
1.750000 54.523 -109.5139
1.775000 54.800 -110.6121
1.800000 55.075 -111.6775
1.825000 55.348 -112.7054
1.850000 55.617 -113.6937
1.875000 55.883 -114.6479
1.900000 56.147 -115.5718
1.925000 56.407 -116.4684
1.950000 56.665 -117.3412
1.975000 56.920 -118.1935
2.000000 57.172 -119.0285
2.030000 57.472 -120.0124
2.060000 57.768 -120.9819
2.090000 58.060 -121.9428
2.120000 58.350 -122.9007
2.140000 58.541 -123.5404
2.180000 58.919 -124.8304
2.200000 59.106 -125.4839
2.240000 59.476 -126.7913
2.270000 59.749 -127.7660
2.300000 60.018 -128.7353
2.330000 60.284 -129.6989
2.360000 60.547 -130.6567
2.400000 60.892 -131.9242
2.430000 61.148 -132.8674
2.470000 61.484 -134.1145
2.500000 61.733 -135.0416
2.540000 62.061 -136.2664
2.580000 62.384 -137.4780
2.620000 62.702 -138.6777
2.650000 62.937 -139.5698
2.690000 63.245 -140.7489
2.720000 63.473 -141.6253
2.760000 63.773 -142.7831
2.800000 64.068 -143.9284
2.850000 64.430 -145.3421
2.900000 64.786 -146.7354
2.950000 65.135 -148.1069
3.000000 65.477 -149.4496
3.040000 65.746 -150.5049
3.070000 65.944 -151.2873
3.110000 66.204 -152.3207
3.150000 66.460 -153.3454
3.200000 66.775 -154.6185
3.250000 67.083 -155.8881
3.300000 67.386 -157.1597
3.350000 67.683 -158.4364
3.400000 67.972 -159.7143
3.450000 68.256 -160.9877
3.500000 68.533 -162.2511
3.550000 68.805 -163.4991
3.600000 69.071 -164.7261
3.650000 69.332 -165.9267
3.700000 69.588 -167.0974
3.750000 69.838 -168.2420
3.820000 70.178 -169.8080
3.870000 70.415 -170.9051
3.950000 70.783 -172.6334
4.000000 71.008 -173.7022
4.060000 71.273 -174.9785
4.120000 71.530 -176.2468
4.180000 71.780 -177.5018
4.250000 72.064 -178.9417
4.310000 72.302 179.8510
4.370000 72.535 178.6743
4.440000 72.800 177.3458
4.500000 73.022 176.2425
4.550000 73.203 175.3448
4.620000 73.450 174.1167
4.680000 73.658 173.0863
4.750000 73.897 171.9047
4.820000 74.131 170.7443
4.870000 74.294 169.9320
4.940000 74.519 168.8173
5.000000 74.709 167.8817
5.080000 74.957 166.6613
5.150000 75.172 165.6180
5.220000 75.382 164.6033
5.300000 75.619 163.4753
5.380000 75.852 162.3729
5.450000 76.052 161.4229
5.520000 76.250 160.4817
5.600000 76.474 159.4256
5.700000 76.748 158.1320
5.800000 77.016 156.8580
5.900000 77.279 155.5943
6.000000 77.537 154.3460
6.080000 77.739 153.3582
6.150000 77.912 152.5007
6.220000 78.082 151.6485
6.300000 78.273 150.6805
6.400000 78.506 149.4810
6.500000 78.732 148.2942
6.600000 78.951 147.1210
6.700000 79.164 145.9584
6.800000 79.369 144.8082
6.900000 79.568 143.6774
7.000000 79.760 142.5715
7.100000 79.946 141.4865
7.200000 80.126 140.4240
7.300000 80.300 139.3877
7.400000 80.470 138.3793
7.500000 80.634 137.3969
7.620000 80.825 136.2536
7.750000 81.028 135.0613
7.880000 81.224 133.9193
8.000000 81.403 132.9019
8.120000 81.579 131.9144
8.250000 81.768 130.8843
8.380000 81.955 129.8816
8.500000 82.128 128.9710
8.620000 82.300 128.0817
8.750000 82.485 127.1268
8.850000 82.627 126.3901
9.000000 82.840 125.2910
9.120000 83.009 124.4061
9.250000 83.190 123.4332
9.380000 83.368 122.4500
9.500000 83.529 121.5314
9.620000 83.687 120.5992
9.750000 83.853 119.5758
9.880000 84.013 118.5467
10.000000 84.155 117.5908
10.150000 84.325 116.3904
10.300000 84.486 115.2067
10.440000 84.628 114.1127
10.600000 84.781 112.8928
10.750000 84.917 111.7929
10.900000 85.046 110.7320
11.060000 85.181 109.6580
11.200000 85.295 108.7678
11.380000 85.442 107.6771
11.500000 85.541 106.9877
11.720000 85.727 105.7690
11.800000 85.797 105.3321
12.060000 86.031 103.9277
12.200000 86.160 103.1451
12.410000 86.357 101.9354
12.500000 86.440 101.3922
12.650000 86.576 100.4547
12.800000 86.708 99.4855
13.150000 86.983 97.1107
13.200000 87.017 96.7698
13.400000 87.145 95.3948
13.600000 87.254 94.0648
13.800000 87.345 92.7995
14.000000 87.425 91.6377
14.300000 87.530 90.1024
14.500000 87.599 89.2242
14.750000 87.692 88.2434
15.000000 87.796 87.3631
15.250000 87.915 86.5101
15.500000 88.042 85.6384
15.750000 88.174 84.7234
16.000000 88.305 83.7479
16.250000 88.428 82.7303
16.500000 88.544 81.6854
16.750000 88.648 80.6376
17.000000 88.744 79.6081
17.250000 88.834 78.6041
17.500000 88.918 77.6326
17.750000 88.999 76.6899
18.000000 89.078 75.7719
18.250000 89.156 74.8735
18.500000 89.233 73.9868
18.750000 89.310 73.1069
19.000000 89.387 72.2292
19.250000 89.462 71.3484
19.500000 89.536 70.4641
19.750000 89.608 69.5760
20.000000 89.676 68.6881
20.299999 89.753 67.6318
20.600000 89.825 66.5949
20.900000 89.894 65.5864
21.200001 89.959 64.6109
21.400000 90.002 63.9786
21.799999 90.087 62.7541
22.000000 90.129 62.1601
22.400000 90.212 61.0058
22.700001 90.275 60.1673
23.000000 90.337 59.3477
23.299999 90.400 58.5390
23.600000 90.462 57.7325
24.000000 90.542 56.6512
24.299999 90.596 55.8382
24.700001 90.659 54.7712
25.000000 90.699 54.0059
25.400000 90.746 53.0568
25.799999 90.794 52.1915
26.200001 90.848 51.3735
26.500000 90.895 50.7540
26.900000 90.961 49.8783
27.200001 91.007 49.1724
27.600000 91.060 48.1833
28.000000 91.098 47.1959
28.500000 91.131 46.0546
29.000000 91.166 45.0357
29.500000 91.216 44.0515
30.000000 91.272 43.0065
30.400000 91.311 42.1393
30.700001 91.335 41.5057
31.100000 91.368 40.7152
31.500000 91.409 39.9626
32.000000 91.473 38.9561
32.500000 91.529 37.7788
33.000000 91.544 36.5504
33.500000 91.517 35.5468
34.000000 91.491 34.9284
34.500000 91.508 34.5263
35.000000 91.569 34.0228
35.500000 91.634 33.2591
36.000000 91.669 32.3713
36.500000 91.677 31.5716
37.000000 91.685 30.9163
37.500000 91.707 30.2949
38.200001 91.741 29.3210
38.700001 91.754 28.6033
39.500000 91.774 27.5493
40.000000 91.793 26.8843
40.599998 91.812 26.0255
41.200001 91.818 25.1788
41.799999 91.820 24.4199
42.500000 91.833 23.5898
43.099998 91.845 22.8455
43.700001 91.850 22.0937
44.400002 91.847 21.2795
45.000000 91.846 20.6333
45.500000 91.846 20.0984
46.200001 91.843 19.3375
46.799999 91.836 18.6913
47.500000 91.823 17.9604
48.200001 91.807 17.2490
48.700001 91.792 16.7615
49.400002 91.769 16.1443
50.000000 91.754 15.6918
50.799999 91.752 15.1410
51.500000 91.765 14.6158
52.200001 91.780 14.0150
53.000000 91.787 13.2981
53.799999 91.786 12.6490
54.500000 91.790 12.1483
55.200001 91.804 11.6454
56.000000 91.824 10.9999
57.000000 91.841 10.1111
58.000000 91.846 9.1948
59.000000 91.839 8.2679
60.000000 91.820 7.3821
60.799999 91.802 6.7026
61.500000 91.782 6.1176
62.200001 91.757 5.5585
63.000000 91.726 4.9659
64.000000 91.687 4.2901
65.000000 91.653 3.6693
66.000000 91.620 3.0648
67.000000 91.590 2.5623
68.000000 91.587 2.1251
69.000000 91.604 1.5264
70.000000 91.610 0.8077
71.000000 91.603 0.0760
72.000000 91.585 -0.6454
73.000000 91.559 -1.3197
74.000000 91.533 -1.9628
75.000000 91.507 -2.5948
76.199997 91.474 -3.3465
77.500000 91.437 -4.1558
78.800003 91.395 -4.9510
80.000000 91.351 -5.6568
81.199997 91.303 -6.3388
82.500000 91.244 -7.0481
83.800003 91.185 -7.7121
85.000000 91.130 -8.3121
86.199997 91.077 -8.8937
87.500000 91.020 -9.5120
88.500000 90.976 -9.9788
90.000000 90.906 -10.6634
91.199997 90.845 -11.1796
92.500000 90.779 -11.6837
93.800003 90.719 -12.1917
95.000000 90.660 -12.6763
96.199997 90.597 -13.1298
97.500000 90.527 -13.5884
98.800003 90.452 -13.9940
100.000000 90.382 -14.3143
101.500000 90.299 -14.6632
103.000000 90.228 -14.9802
104.400002 90.172 -15.3151
106.000000 90.109 -15.7305
107.500000 90.045 -16.1249
109.000000 89.967 -16.4738
110.599998 89.875 -16.7119
112.000000 89.793 -16.8199
113.800003 89.701 -16.7612
115.000000 89.666 -16.6356
117.199997 89.663 -16.4993
118.000000 89.676 -16.5219
120.599998 89.736 -17.0265
122.000000 89.751 -17.5532
124.099998 89.738 -18.4588
125.000000 89.722 -18.8530
126.500000 89.685 -19.4898
128.000000 89.636 -20.0829
131.500000 89.492 -21.3351
132.000000 89.469 -21.5045
134.000000 89.369 -22.1276
136.000000 89.275 -22.6442
138.000000 89.191 -23.1362
140.000000 89.100 -23.6078
143.000000 88.955 -24.2498
145.000000 88.856 -24.6713
147.500000 88.738 -25.1886
150.000000 88.620 -25.6570
152.500000 88.504 -25.9888
155.000000 88.392 -26.3267
157.500000 88.270 -26.6707
160.000000 88.145 -26.9493
162.500000 88.026 -27.2018
165.000000 87.910 -27.4358
167.500000 87.794 -27.6543
170.000000 87.678 -27.8494
172.500000 87.560 -28.0292
175.000000 87.442 -28.1981
177.500000 87.326 -28.3417
180.000000 87.210 -28.4563
182.500000 87.093 -28.5486
185.000000 86.976 -28.6212
187.500000 86.860 -28.6729
190.000000 86.747 -28.6953
192.500000 86.634 -28.6990
195.000000 86.519 -28.6920
197.500000 86.404 -28.6609
200.000000 86.287 -28.5872
203.000000 86.145 -28.4652
206.000000 86.001 -28.3414
209.000000 85.854 -28.1864
212.000000 85.706 -27.9513
214.000000 85.605 -27.7388
218.000000 85.400 -27.1797
220.000000 85.298 -26.8209
224.000000 85.102 -25.8361
227.000000 84.973 -24.8577
230.000000 84.888 -23.6581
233.000000 84.867 -22.4627
236.000000 84.906 -21.4438
240.000000 85.021 -20.6677
243.000000 85.101 -20.6029
247.000000 85.138 -20.8405
250.000000 85.135 -21.1073
254.000000 85.083 -21.5436
258.000000 84.996 -21.7649
262.000000 84.897 -21.8186
265.000000 84.822 -21.7474
269.000000 84.725 -21.6239
272.000000 84.645 -21.5340
276.000000 84.537 -21.2898
280.000000 84.446 -20.9594
285.000000 84.335 -20.5700
290.000000 84.222 -20.1183
295.000000 84.120 -19.5920
