* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -27.9 dBFS, measurement signal peak level -24.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/01/2024 4:53:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0206 ms (-7.1 mm, -0.28 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Neo5 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.081 -63.5284
1.015000 40.395 -64.4619
1.030000 40.706 -65.3758
1.044000 40.995 -66.2086
1.060000 41.322 -67.1335
1.075000 41.626 -67.9716
1.090000 41.929 -68.7787
1.106000 42.250 -69.6034
1.120000 42.527 -70.2993
1.138000 42.877 -71.1627
1.150000 43.107 -71.7202
1.172000 43.522 -72.7080
1.180000 43.671 -73.0572
1.206000 44.147 -74.1594
1.220000 44.399 -74.7348
1.241000 44.771 -75.5780
1.250000 44.928 -75.9332
1.265000 45.188 -76.5185
1.280000 45.445 -77.0968
1.315000 46.035 -78.4299
1.320000 46.118 -78.6195
1.340000 46.447 -79.3782
1.360000 46.772 -80.1411
1.380000 47.094 -80.9124
1.400000 47.413 -81.6966
1.430000 47.886 -82.9063
1.450000 48.198 -83.7415
1.475000 48.586 -84.8236
1.500000 48.967 -85.9348
1.525000 49.341 -87.0676
1.550000 49.708 -88.2180
1.575000 50.068 -89.3817
1.600000 50.423 -90.5548
1.625000 50.771 -91.7331
1.650000 51.114 -92.9125
1.675000 51.452 -94.0889
1.700000 51.784 -95.2581
1.725000 52.112 -96.4161
1.750000 52.436 -97.5587
1.775000 52.756 -98.6819
1.800000 53.071 -99.7815
1.825000 53.384 -100.8534
1.850000 53.693 -101.8973
1.875000 53.996 -102.9207
1.900000 54.294 -103.9260
1.925000 54.587 -104.9147
1.950000 54.876 -105.8888
1.975000 55.160 -106.8499
2.000000 55.439 -107.7999
2.030000 55.769 -108.9275
2.060000 56.094 -110.0447
2.090000 56.413 -111.1545
2.120000 56.727 -112.2599
2.140000 56.934 -112.9960
2.180000 57.342 -114.4699
2.200000 57.543 -115.2096
2.240000 57.939 -116.6884
2.270000 58.229 -117.7936
2.300000 58.513 -118.8945
2.330000 58.792 -119.9901
2.360000 59.066 -121.0794
2.400000 59.424 -122.5207
2.430000 59.688 -123.5920
2.470000 60.033 -125.0059
2.500000 60.287 -126.0541
2.540000 60.621 -127.4338
2.580000 60.950 -128.7919
2.620000 61.270 -130.1338
2.650000 61.505 -131.1301
2.690000 61.812 -132.4443
2.720000 62.037 -133.4186
2.760000 62.332 -134.7020
2.800000 62.622 -135.9664
2.850000 62.975 -137.5188
2.900000 63.322 -139.0381
2.950000 63.662 -140.5220
3.000000 63.993 -141.9666
3.040000 64.251 -143.0960
3.070000 64.441 -143.9292
3.110000 64.689 -145.0237
3.150000 64.934 -146.1016
3.200000 65.234 -147.4290
3.250000 65.528 -148.7386
3.300000 65.818 -150.0350
3.350000 66.102 -151.3167
3.400000 66.380 -152.5801
3.450000 66.651 -153.8237
3.500000 66.917 -155.0462
3.550000 67.179 -156.2465
3.600000 67.436 -157.4231
3.650000 67.690 -158.5748
3.700000 67.941 -159.6977
3.750000 68.187 -160.7881
3.820000 68.525 -162.2700
3.870000 68.761 -163.3045
3.950000 69.132 -164.9339
4.000000 69.360 -165.9450
4.060000 69.630 -167.1577
4.120000 69.895 -168.3597
4.180000 70.156 -169.5484
4.250000 70.454 -170.9177
4.310000 70.704 -172.0756
4.370000 70.950 -173.2181
4.440000 71.231 -174.5302
4.500000 71.467 -175.6362
4.550000 71.661 -176.5460
4.620000 71.926 -177.8037
4.680000 72.148 -178.8691
4.750000 72.402 179.9002
4.820000 72.649 178.6790
4.870000 72.821 177.8127
4.940000 73.057 176.6122
5.000000 73.254 175.5986
5.080000 73.511 174.2756
5.150000 73.729 173.1500
5.220000 73.941 172.0488
5.300000 74.176 170.8197
5.380000 74.405 169.6250
5.450000 74.601 168.6105
5.520000 74.795 167.6270
5.600000 75.010 166.5419
5.700000 75.271 165.2387
5.800000 75.529 163.9875
5.900000 75.785 162.7838
6.000000 76.038 161.6414
6.080000 76.239 160.7609
6.150000 76.414 160.0044
6.220000 76.590 159.2524
6.300000 76.792 158.4052
6.400000 77.045 157.3743
6.500000 77.297 156.3492
6.600000 77.546 155.3028
6.700000 77.796 154.2366
6.800000 78.045 153.1583
6.900000 78.288 152.0596
7.000000 78.524 150.9321
7.100000 78.755 149.7719
7.200000 78.979 148.5911
7.300000 79.193 147.4038
7.400000 79.395 146.2102
7.500000 79.587 144.9987
7.620000 79.804 143.5596
7.750000 80.023 142.0616
7.880000 80.222 140.6042
8.000000 80.393 139.3230
8.120000 80.558 138.1362
8.250000 80.724 136.9462
8.380000 80.887 135.8462
8.500000 81.042 134.9153
8.620000 81.196 134.0742
8.750000 81.368 133.2098
8.850000 81.508 132.5527
9.000000 81.727 131.6166
9.120000 81.908 130.8500
9.250000 82.109 129.9558
9.380000 82.316 129.0201
9.500000 82.503 128.1014
9.620000 82.683 127.1103
9.750000 82.873 125.9669
9.880000 83.050 124.7932
10.000000 83.199 123.6819
10.150000 83.367 122.2632
10.300000 83.516 120.9142
10.440000 83.635 119.7090
10.600000 83.759 118.4374
10.750000 83.870 117.4027
10.900000 83.976 116.4919
11.060000 84.104 115.6302
11.200000 84.226 114.9888
11.380000 84.403 114.1696
11.500000 84.539 113.6169
11.720000 84.807 112.5000
11.800000 84.908 112.0179
12.060000 85.243 110.2231
12.200000 85.407 109.0827
12.410000 85.629 107.1914
12.500000 85.707 106.3676
12.650000 85.816 104.9369
12.800000 85.902 103.5543
13.150000 86.011 100.7841
13.200000 86.023 100.4643
13.400000 86.056 99.4038
13.600000 86.104 98.6255
13.800000 86.182 98.1440
14.000000 86.304 97.7162
14.300000 86.567 97.0198
14.500000 86.777 96.2722
14.750000 87.033 94.9776
15.000000 87.256 93.2958
15.250000 87.408 91.4353
15.500000 87.493 89.6901
15.750000 87.519 88.2366
16.000000 87.520 87.3050
16.250000 87.545 86.8417
16.500000 87.620 86.7259
16.750000 87.774 86.7170
17.000000 87.990 86.4703
17.250000 88.244 85.8633
17.500000 88.499 84.7635
17.750000 88.716 83.2704
18.000000 88.881 81.5155
18.250000 88.983 79.6485
18.500000 89.028 77.8843
18.750000 89.029 76.3033
19.000000 88.998 74.9809
19.250000 88.958 73.9330
19.500000 88.919 73.1201
19.750000 88.891 72.5101
20.000000 88.879 72.0382
20.299999 88.891 71.6002
20.600000 88.932 71.2451
20.900000 89.004 70.9174
21.200001 89.108 70.5563
21.400000 89.192 70.2594
21.799999 89.388 69.4758
22.000000 89.494 68.9697
22.400000 89.705 67.7235
22.700001 89.853 66.6188
23.000000 89.986 65.4165
23.299999 90.101 64.1612
23.600000 90.199 62.8881
24.000000 90.302 61.2130
24.299999 90.362 60.0048
24.700001 90.421 58.4865
25.000000 90.453 57.4269
25.400000 90.483 56.1182
25.799999 90.501 54.9147
26.200001 90.509 53.8027
26.500000 90.509 53.0245
26.900000 90.503 52.0569
27.200001 90.497 51.3770
27.600000 90.487 50.5182
28.000000 90.478 49.6985
28.500000 90.472 48.7110
29.000000 90.481 47.7354
29.500000 90.510 46.7142
30.000000 90.554 45.5967
30.400000 90.594 44.6536
30.700001 90.626 43.9510
31.100000 90.678 43.0580
31.500000 90.749 42.2061
32.000000 90.865 41.1052
32.500000 90.993 39.8660
33.000000 91.095 38.5688
33.500000 91.160 37.4617
34.000000 91.212 36.7457
34.500000 91.287 36.3569
35.000000 91.391 36.0526
35.500000 91.498 35.6461
36.000000 91.578 35.1631
36.500000 91.624 34.7267
37.000000 91.650 34.3869
37.500000 91.668 34.0772
38.200001 91.676 33.5408
38.700001 91.666 33.0623
39.500000 91.629 32.1764
40.000000 91.604 31.5392
40.599998 91.576 30.6798
41.200001 91.556 29.7388
41.799999 91.547 28.7474
42.500000 91.552 27.5709
43.099998 91.570 26.5940
43.700001 91.598 25.6801
44.400002 91.641 24.7048
45.000000 91.680 23.9479
45.500000 91.710 23.3679
46.200001 91.744 22.6157
46.799999 91.760 22.0217
47.500000 91.767 21.3883
48.200001 91.770 20.7491
48.700001 91.768 20.2330
49.400002 91.747 19.4455
50.000000 91.717 18.8077
50.799999 91.689 18.0571
51.500000 91.689 17.3776
52.200001 91.699 16.6235
53.000000 91.709 15.7589
53.799999 91.720 14.9558
54.500000 91.725 14.3131
55.200001 91.727 13.7401
56.000000 91.726 13.1457
57.000000 91.721 12.4042
58.000000 91.705 11.6230
59.000000 91.683 10.7965
60.000000 91.661 9.9291
60.799999 91.645 9.2303
61.500000 91.634 8.6321
62.200001 91.624 8.0506
63.000000 91.614 7.4136
64.000000 91.599 6.6732
65.000000 91.580 5.9825
66.000000 91.558 5.2864
67.000000 91.522 4.5743
68.000000 91.478 3.9222
69.000000 91.441 3.2976
70.000000 91.406 2.6533
71.000000 91.367 2.0447
72.000000 91.327 1.4873
73.000000 91.282 0.9995
74.000000 91.238 0.6097
75.000000 91.202 0.2708
76.199997 91.172 -0.1403
77.500000 91.158 -0.6400
78.800003 91.159 -1.2374
80.000000 91.166 -1.8624
81.199997 91.172 -2.5663
82.500000 91.163 -3.3677
83.800003 91.137 -4.1405
85.000000 91.103 -4.8314
86.199997 91.062 -5.5071
87.500000 91.013 -6.2188
88.500000 90.974 -6.7565
90.000000 90.912 -7.5209
91.199997 90.862 -8.0923
92.500000 90.806 -8.6838
93.800003 90.748 -9.2559
95.000000 90.693 -9.7728
96.199997 90.638 -10.3097
97.500000 90.573 -10.9084
98.800003 90.501 -11.4683
100.000000 90.433 -11.9115
101.500000 90.354 -12.3679
103.000000 90.281 -12.7869
104.400002 90.205 -13.1588
106.000000 90.110 -13.5170
107.500000 90.018 -13.7832
109.000000 89.927 -13.9766
110.599998 89.839 -14.0460
112.000000 89.780 -13.9924
113.800003 89.742 -13.8627
115.000000 89.740 -13.8186
117.199997 89.767 -14.0055
118.000000 89.780 -14.1755
120.599998 89.804 -15.0209
122.000000 89.797 -15.5779
124.099998 89.761 -16.4324
125.000000 89.738 -16.7911
126.500000 89.692 -17.3652
128.000000 89.639 -17.9044
131.500000 89.507 -19.0782
132.000000 89.488 -19.2400
134.000000 89.407 -19.8693
136.000000 89.317 -20.3995
138.000000 89.230 -20.8386
140.000000 89.141 -21.2821
143.000000 89.002 -21.9305
145.000000 88.914 -22.3080
147.500000 88.805 -22.6908
150.000000 88.699 -23.0507
152.500000 88.581 -23.5061
155.000000 88.457 -23.9258
157.500000 88.341 -24.2813
160.000000 88.227 -24.6029
162.500000 88.110 -24.8965
165.000000 87.994 -25.1593
167.500000 87.882 -25.3882
170.000000 87.771 -25.5887
172.500000 87.659 -25.7708
175.000000 87.547 -25.9298
177.500000 87.434 -26.0680
180.000000 87.322 -26.1935
182.500000 87.210 -26.3036
185.000000 87.098 -26.3875
187.500000 86.986 -26.4521
190.000000 86.874 -26.5048
192.500000 86.762 -26.5480
195.000000 86.650 -26.5652
197.500000 86.538 -26.5498
200.000000 86.424 -26.5150
203.000000 86.282 -26.4529
206.000000 86.138 -26.3560
209.000000 85.992 -26.2218
212.000000 85.840 -26.0234
214.000000 85.736 -25.8463
218.000000 85.519 -25.3428
220.000000 85.408 -24.9884
224.000000 85.183 -23.9952
227.000000 85.031 -22.9260
230.000000 84.922 -21.5559
233.000000 84.886 -20.0143
236.000000 84.942 -18.5872
240.000000 85.113 -17.4004
243.000000 85.247 -17.2018
247.000000 85.367 -17.5737
250.000000 85.397 -18.0513
254.000000 85.362 -18.6505
258.000000 85.285 -19.0506
262.000000 85.194 -19.2469
265.000000 85.120 -19.2828
269.000000 85.021 -19.2352
272.000000 84.948 -19.1495
276.000000 84.853 -18.9718
280.000000 84.763 -18.7355
285.000000 84.657 -18.3880
290.000000 84.558 -18.0098
295.000000 84.464 -17.6000
