* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/07/2022 11:47:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nio L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.209 -162.1539
1.015000 69.366 -162.0115
1.030000 69.526 -161.9020
1.044000 69.679 -161.8261
1.060000 69.857 -161.7690
1.075000 70.027 -161.7432
1.090000 70.200 -161.7428
1.106000 70.387 -161.7692
1.120000 70.552 -161.8138
1.138000 70.767 -161.8992
1.150000 70.911 -161.9726
1.172000 71.178 -162.1393
1.180000 71.275 -162.2097
1.206000 71.591 -162.4712
1.220000 71.762 -162.6312
1.241000 72.016 -162.8939
1.250000 72.125 -163.0141
1.265000 72.305 -163.2237
1.280000 72.483 -163.4438
1.315000 72.893 -163.9914
1.320000 72.950 -164.0729
1.340000 73.176 -164.4052
1.360000 73.399 -164.7526
1.380000 73.620 -165.1321
1.400000 73.841 -165.5427
1.430000 74.170 -166.2126
1.450000 74.388 -166.6920
1.475000 74.659 -167.3246
1.500000 74.927 -167.9905
1.525000 75.193 -168.6856
1.550000 75.455 -169.4058
1.575000 75.715 -170.1470
1.600000 75.970 -170.9052
1.625000 76.222 -171.6764
1.650000 76.469 -172.4564
1.675000 76.712 -173.2411
1.700000 76.950 -174.0348
1.725000 77.184 -174.8567
1.750000 77.414 -175.7050
1.775000 77.641 -176.5767
1.800000 77.864 -177.4687
1.825000 78.083 -178.3776
1.850000 78.299 -179.3006
1.875000 78.511 179.7657
1.900000 78.720 178.8243
1.925000 78.926 177.8783
1.950000 79.128 176.9309
1.975000 79.327 175.9852
2.000000 79.522 175.0444
2.030000 79.753 173.9242
2.060000 79.978 172.7963
2.090000 80.198 171.6575
2.120000 80.412 170.5101
2.140000 80.552 169.7416
2.180000 80.827 168.1992
2.200000 80.961 167.4266
2.240000 81.223 165.8821
2.270000 81.415 164.7271
2.300000 81.603 163.5775
2.330000 81.787 162.4357
2.360000 81.968 161.3040
2.400000 82.202 159.7996
2.430000 82.372 158.6718
2.470000 82.592 157.1712
2.500000 82.752 156.0497
2.540000 82.960 154.5618
2.580000 83.161 153.0853
2.620000 83.356 151.6230
2.650000 83.499 150.5374
2.690000 83.685 149.1070
2.720000 83.820 148.0450
2.760000 83.995 146.6370
2.800000 84.164 145.2407
2.850000 84.366 143.5151
2.900000 84.560 141.8161
2.950000 84.746 140.1486
3.000000 84.927 138.5172
3.040000 85.067 137.2410
3.070000 85.169 136.2987
3.110000 85.300 135.0606
3.150000 85.426 133.8435
3.200000 85.578 132.3518
3.250000 85.724 130.8932
3.300000 85.865 129.4680
3.350000 86.003 128.0762
3.400000 86.137 126.7182
3.450000 86.265 125.3942
3.500000 86.387 124.1039
3.550000 86.506 122.8466
3.600000 86.621 121.6219
3.650000 86.734 120.4291
3.700000 86.846 119.2678
3.750000 86.956 118.1418
3.820000 87.104 116.6273
3.870000 87.206 115.5841
3.950000 87.367 113.9702
4.000000 87.467 112.9896
4.060000 87.586 111.8364
4.120000 87.704 110.7212
4.180000 87.820 109.6423
4.250000 87.954 108.4203
4.310000 88.068 107.3965
4.370000 88.182 106.3871
4.440000 88.314 105.2335
4.500000 88.428 104.2715
4.550000 88.521 103.4844
4.620000 88.652 102.3979
4.680000 88.762 101.4745
4.750000 88.890 100.4016
4.820000 89.017 99.3425
4.870000 89.106 98.5939
4.940000 89.230 97.5544
5.000000 89.335 96.6692
5.080000 89.471 95.4939
5.150000 89.587 94.4715
5.220000 89.701 93.4562
5.300000 89.828 92.3061
5.380000 89.950 91.1686
5.450000 90.053 90.1824
5.520000 90.153 89.2036
5.600000 90.264 88.0975
5.700000 90.396 86.7393
5.800000 90.522 85.4107
5.900000 90.640 84.1080
6.000000 90.753 82.8362
6.080000 90.841 81.8444
6.150000 90.914 80.9951
6.220000 90.985 80.1621
6.300000 91.063 79.2297
6.400000 91.158 78.0927
6.500000 91.249 76.9893
6.600000 91.338 75.9181
6.700000 91.423 74.8736
6.800000 91.507 73.8538
6.900000 91.588 72.8619
7.000000 91.668 71.8922
7.100000 91.745 70.9391
7.200000 91.821 70.0055
7.300000 91.895 69.0898
7.400000 91.967 68.1884
7.500000 92.037 67.3005
7.620000 92.119 66.2545
7.750000 92.204 65.1429
7.880000 92.286 64.0534
8.000000 92.358 63.0675
8.120000 92.429 62.1001
8.250000 92.502 61.0737
8.380000 92.573 60.0677
8.500000 92.637 59.1560
8.620000 92.698 58.2612
8.750000 92.764 57.3062
8.850000 92.813 56.5812
9.000000 92.884 55.5093
9.120000 92.939 54.6607
9.250000 92.998 53.7507
9.380000 93.054 52.8498
9.500000 93.104 52.0247
9.620000 93.151 51.2064
9.750000 93.200 50.3297
9.880000 93.247 49.4634
10.000000 93.287 48.6736
10.150000 93.334 47.7049
10.300000 93.378 46.7558
10.440000 93.417 45.8912
10.600000 93.458 44.9299
10.750000 93.494 44.0539
10.900000 93.529 43.2034
11.060000 93.566 42.3227
11.200000 93.597 41.5719
11.380000 93.637 40.6337
11.500000 93.663 40.0211
11.720000 93.712 38.9253
11.800000 93.730 38.5331
12.060000 93.788 37.2813
12.200000 93.819 36.6178
12.410000 93.866 35.6352
12.500000 93.885 35.2173
12.650000 93.918 34.5256
12.800000 93.950 33.8391
13.150000 94.021 32.2558
13.200000 94.030 32.0320
13.400000 94.068 31.1434
13.600000 94.103 30.2680
13.800000 94.136 29.4060
14.000000 94.168 28.5594
14.300000 94.214 27.3115
14.500000 94.244 26.4880
14.750000 94.280 25.4601
15.000000 94.312 24.4219
15.250000 94.339 23.3749
15.500000 94.357 22.3277
15.750000 94.364 21.3003
16.000000 94.361 20.3295
16.250000 94.351 19.4381
16.500000 94.339 18.6394
16.750000 94.333 17.9315
17.000000 94.336 17.2740
17.250000 94.352 16.6232
17.500000 94.376 15.9377
17.750000 94.404 15.1783
18.000000 94.425 14.3519
18.250000 94.435 13.4918
18.500000 94.430 12.6418
18.750000 94.411 11.8699
19.000000 94.388 11.2157
19.250000 94.369 10.6802
19.500000 94.362 10.2462
19.750000 94.374 9.8483
20.000000 94.404 9.4155
20.299999 94.455 8.7886
20.600000 94.509 8.0092
20.900000 94.550 7.1074
21.200001 94.574 6.1587
21.400000 94.579 5.5416
21.799999 94.579 4.3916
22.000000 94.577 3.8564
22.400000 94.576 2.8190
22.700001 94.575 2.0260
23.000000 94.568 1.2162
23.299999 94.550 0.4210
23.600000 94.523 -0.3116
24.000000 94.484 -1.1353
24.299999 94.466 -1.6604
24.700001 94.467 -2.3476
25.000000 94.481 -2.9447
25.400000 94.502 -3.9162
25.799999 94.502 -5.0389
26.200001 94.472 -6.1674
26.500000 94.433 -6.9315
26.900000 94.374 -7.7903
27.200001 94.335 -8.3246
27.600000 94.299 -8.9543
28.000000 94.281 -9.5620
28.500000 94.276 -10.3696
29.000000 94.277 -11.2539
29.500000 94.275 -12.1904
30.000000 94.264 -13.1314
30.400000 94.251 -13.8608
30.700001 94.239 -14.3871
31.100000 94.221 -15.0617
31.500000 94.203 -15.7114
32.000000 94.180 -16.4967
32.500000 94.156 -17.2597
33.000000 94.131 -18.0098
33.500000 94.105 -18.7539
34.000000 94.078 -19.4957
34.500000 94.050 -20.2478
35.000000 94.020 -21.0322
35.500000 93.980 -21.8389
36.000000 93.927 -22.5958
36.500000 93.871 -23.2310
37.000000 93.829 -23.7723
37.500000 93.806 -24.3386
38.200001 93.776 -25.2893
38.700001 93.740 -25.9796
39.500000 93.682 -26.9054
40.000000 93.664 -27.4837
40.599998 93.641 -28.3176
41.200001 93.596 -29.2082
41.799999 93.535 -29.9973
42.500000 93.472 -30.8094
43.099998 93.427 -31.5383
43.700001 93.378 -32.3049
44.400002 93.316 -33.1436
45.000000 93.272 -33.7965
45.500000 93.248 -34.3508
46.200001 93.221 -35.2246
46.799999 93.186 -36.0159
47.500000 93.131 -36.7985
48.200001 93.094 -37.4214
48.700001 93.083 -37.9192
49.400002 93.049 -38.7775
50.000000 92.979 -39.4454
50.799999 92.874 -39.9078
51.500000 92.831 -40.1309
52.200001 92.828 -40.6044
53.000000 92.815 -41.5842
53.799999 92.754 -42.8436
54.500000 92.655 -43.9382
55.200001 92.536 -44.8248
56.000000 92.418 -45.6146
57.000000 92.297 -46.5338
58.000000 92.192 -47.1194
59.000000 92.164 -47.6145
60.000000 92.116 -48.4310
60.799999 92.040 -48.7503
61.500000 92.016 -48.8234
62.200001 92.034 -49.1664
63.000000 92.032 -50.0048
64.000000 91.964 -51.2058
65.000000 91.876 -52.3613
66.000000 91.785 -53.4669
67.000000 91.713 -54.4295
68.000000 91.670 -55.3737
69.000000 91.623 -56.2914
70.000000 91.565 -57.0055
71.000000 91.508 -57.5739
72.000000 91.445 -58.1121
73.000000 91.374 -58.6736
74.000000 91.291 -59.3020
75.000000 91.206 -59.9478
76.199997 91.117 -60.7631
77.500000 91.047 -61.6860
78.800003 90.990 -62.7296
80.000000 90.916 -63.6022
81.199997 90.839 -64.3133
82.500000 90.751 -65.0293
83.800003 90.663 -65.7318
85.000000 90.582 -66.4409
86.199997 90.500 -67.1537
87.500000 90.426 -67.9197
88.500000 90.371 -68.5538
90.000000 90.281 -69.4767
91.199997 90.204 -70.1394
92.500000 90.125 -70.7760
93.800003 90.052 -71.3875
95.000000 89.987 -71.9448
96.199997 89.925 -72.5170
97.500000 89.853 -73.2069
98.800003 89.773 -73.8640
100.000000 89.713 -74.4642
101.500000 89.641 -75.3235
103.000000 89.555 -76.1189
104.400002 89.473 -76.7525
106.000000 89.375 -77.4714
107.500000 89.279 -78.2188
109.000000 89.184 -79.0735
110.599998 89.089 -79.9700
112.000000 89.027 -80.5652
113.800003 88.991 -81.0361
115.000000 88.985 -81.3830
117.199997 88.893 -82.3289
118.000000 88.834 -82.6812
120.599998 88.634 -83.8652
122.000000 88.549 -84.5449
124.099998 88.449 -85.4836
125.000000 88.412 -85.8448
126.500000 88.349 -86.4304
128.000000 88.277 -87.0111
131.500000 88.106 -88.3705
132.000000 88.084 -88.5605
134.000000 88.002 -89.2944
136.000000 87.919 -90.0096
138.000000 87.831 -90.7235
140.000000 87.748 -91.4514
143.000000 87.634 -92.5477
145.000000 87.557 -93.2497
147.500000 87.454 -94.0847
150.000000 87.358 -94.9163
152.500000 87.269 -95.7815
155.000000 87.178 -96.6627
157.500000 87.079 -97.5220
160.000000 86.982 -98.2624
162.500000 86.897 -99.0118
165.000000 86.811 -99.7504
167.500000 86.728 -100.4299
170.000000 86.659 -101.1609
172.500000 86.577 -102.0312
175.000000 86.487 -102.8829
177.500000 86.395 -103.5675
180.000000 86.325 -104.1516
182.500000 86.254 -104.8492
185.000000 86.185 -105.6200
187.500000 86.108 -106.3704
190.000000 86.028 -106.9359
192.500000 85.961 -107.5168
195.000000 85.900 -108.2188
197.500000 85.843 -108.9384
200.000000 85.780 -109.5615
203.000000 85.708 -110.1752
206.000000 85.650 -110.9476
209.000000 85.556 -111.7626
212.000000 85.455 -112.3015
214.000000 85.419 -112.6171
218.000000 85.366 -113.9353
220.000000 85.286 -114.6838
224.000000 85.125 -115.4303
227.000000 85.062 -115.7502
230.000000 85.001 -116.5059
233.000000 84.922 -117.3104
236.000000 84.908 -117.7399
240.000000 84.911 -118.3065
243.000000 84.844 -118.8488
247.000000 84.785 -119.6670
250.000000 84.777 -120.5527
254.000000 84.692 -121.7402
258.000000 84.597 -122.3590
262.000000 84.545 -123.0565
265.000000 84.473 -123.5377
269.000000 84.378 -124.2310
272.000000 84.317 -124.9374
276.000000 84.268 -125.8455
280.000000 84.234 -126.5467
285.000000 84.143 -127.3543
290.000000 84.043 -128.3046
295.000000 83.938 -128.8981
300.000000 83.879 -129.7585
304.000000 83.840 -130.5732
307.000000 83.802 -131.1069
311.000000 83.753 -131.6994
315.000000 83.712 -132.2089
