* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/07/2022 11:43:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nio R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 65.439 -142.6291
1.015000 65.699 -142.7858
1.030000 65.955 -143.0143
1.044000 66.192 -143.2909
1.060000 66.461 -143.6763
1.075000 66.711 -144.0993
1.090000 66.959 -144.5765
1.106000 67.222 -145.1393
1.120000 67.449 -145.6725
1.138000 67.740 -146.4065
1.150000 67.931 -146.9221
1.172000 68.279 -147.9116
1.180000 68.405 -148.2830
1.206000 68.808 -149.5199
1.220000 69.022 -150.1977
1.241000 69.340 -151.2183
1.250000 69.475 -151.6541
1.265000 69.698 -152.3738
1.280000 69.919 -153.0808
1.315000 70.425 -154.6517
1.320000 70.496 -154.8642
1.340000 70.779 -155.6767
1.360000 71.057 -156.4351
1.380000 71.330 -157.1771
1.400000 71.599 -157.9075
1.430000 71.994 -158.9861
1.450000 72.252 -159.6971
1.475000 72.569 -160.5807
1.500000 72.880 -161.4629
1.525000 73.186 -162.3478
1.550000 73.485 -163.2400
1.575000 73.779 -164.1438
1.600000 74.068 -165.0636
1.625000 74.353 -166.0038
1.650000 74.632 -166.9688
1.675000 74.907 -167.9631
1.700000 75.178 -168.9905
1.725000 75.442 -170.0503
1.750000 75.701 -171.1378
1.775000 75.954 -172.2487
1.800000 76.202 -173.3782
1.825000 76.444 -174.5219
1.850000 76.682 -175.6751
1.875000 76.915 -176.8334
1.900000 77.143 -177.9922
1.925000 77.368 -179.1469
1.950000 77.588 179.7071
1.975000 77.805 178.5743
2.000000 78.018 177.4592
2.030000 78.269 176.1489
2.060000 78.514 174.8521
2.090000 78.752 173.5632
2.120000 78.983 172.2822
2.140000 79.134 171.4325
2.180000 79.428 169.7430
2.200000 79.572 168.9032
2.240000 79.852 167.2332
2.270000 80.056 165.9890
2.300000 80.255 164.7515
2.330000 80.450 163.5207
2.360000 80.642 162.2964
2.400000 80.889 160.6744
2.430000 81.067 159.4660
2.470000 81.298 157.8655
2.500000 81.465 156.6732
2.540000 81.681 155.0946
2.580000 81.889 153.5286
2.620000 82.091 151.9754
2.650000 82.237 150.8190
2.690000 82.428 149.2885
2.720000 82.566 148.1461
2.760000 82.744 146.6255
2.800000 82.914 145.1125
2.850000 83.117 143.2391
2.900000 83.310 141.3944
2.950000 83.494 139.5879
3.000000 83.670 137.8290
3.040000 83.806 136.4623
3.070000 83.904 135.4600
3.110000 84.029 134.1504
3.150000 84.148 132.8693
3.200000 84.290 131.3037
3.250000 84.424 129.7732
3.300000 84.552 128.2723
3.350000 84.676 126.7960
3.400000 84.794 125.3395
3.450000 84.904 123.9041
3.500000 85.008 122.4954
3.550000 85.106 121.1187
3.600000 85.200 119.7794
3.650000 85.290 118.4831
3.700000 85.377 117.2352
3.750000 85.461 116.0399
3.820000 85.571 114.4478
3.870000 85.645 113.3607
3.950000 85.758 111.6915
4.000000 85.827 110.6829
4.060000 85.909 109.4995
4.120000 85.988 108.3560
4.180000 86.064 107.2546
4.250000 86.151 106.0197
4.310000 86.224 105.0013
4.370000 86.298 104.0178
4.440000 86.384 102.9219
4.500000 86.458 102.0297
4.550000 86.519 101.3130
4.620000 86.604 100.3408
4.680000 86.678 99.5271
4.750000 86.765 98.5942
4.820000 86.853 97.6930
4.870000 86.916 97.0671
4.940000 87.004 96.2112
5.000000 87.081 95.4924
5.080000 87.184 94.5504
5.150000 87.275 93.7481
5.220000 87.366 92.9652
5.300000 87.471 92.0892
5.380000 87.577 91.2279
5.450000 87.670 90.4870
5.520000 87.764 89.7611
5.600000 87.871 88.9454
5.700000 88.006 87.9395
5.800000 88.143 86.9466
5.900000 88.280 85.9712
6.000000 88.419 85.0049
6.080000 88.530 84.2329
6.150000 88.629 83.5629
6.220000 88.728 82.8965
6.300000 88.841 82.1338
6.400000 88.982 81.1689
6.500000 89.124 80.1916
6.600000 89.265 79.2051
6.700000 89.404 78.2057
6.800000 89.539 77.1897
6.900000 89.672 76.1578
7.000000 89.800 75.1160
7.100000 89.923 74.0690
7.200000 90.039 73.0081
7.300000 90.150 71.9445
7.400000 90.253 70.8954
7.500000 90.349 69.8590
7.620000 90.454 68.6305
7.750000 90.559 67.3536
7.880000 90.653 66.1372
8.000000 90.731 65.0693
8.120000 90.806 64.0713
8.250000 90.882 63.0702
8.380000 90.956 62.1391
8.500000 91.028 61.3402
8.620000 91.100 60.6020
8.750000 91.182 59.8317
8.850000 91.250 59.2569
9.000000 91.356 58.4211
9.120000 91.443 57.7343
9.250000 91.541 56.9749
9.380000 91.639 56.1921
9.500000 91.725 55.4327
9.620000 91.809 54.6415
9.750000 91.893 53.7656
9.880000 91.966 52.8676
10.000000 92.025 52.0263
10.150000 92.086 51.0049
10.300000 92.131 50.0071
10.440000 92.163 49.1359
10.600000 92.188 48.2298
10.750000 92.205 47.4651
10.900000 92.221 46.8010
11.060000 92.239 46.1828
11.200000 92.262 45.6954
11.380000 92.301 45.1380
11.500000 92.333 44.7607
11.720000 92.407 44.0654
11.800000 92.436 43.7870
12.060000 92.537 42.7859
12.200000 92.587 42.1814
12.410000 92.655 41.1973
12.500000 92.678 40.7684
12.650000 92.710 40.0334
12.800000 92.734 39.3190
13.150000 92.768 37.8011
13.200000 92.772 37.6093
13.400000 92.791 36.8967
13.600000 92.823 36.2499
13.800000 92.870 35.6306
14.000000 92.937 34.9778
14.300000 93.063 33.8040
14.500000 93.154 32.8499
14.750000 93.260 31.4343
15.000000 93.341 29.8354
15.250000 93.387 28.1490
15.500000 93.398 26.4703
15.750000 93.375 24.9082
16.000000 93.332 23.5372
16.250000 93.278 22.3712
16.500000 93.224 21.4070
16.750000 93.178 20.6112
17.000000 93.141 19.9415
17.250000 93.113 19.3792
17.500000 93.094 18.9120
17.750000 93.084 18.5411
18.000000 93.085 18.2635
18.250000 93.101 18.0590
18.500000 93.134 17.8999
18.750000 93.185 17.7347
19.000000 93.249 17.5168
19.250000 93.322 17.2228
19.500000 93.395 16.8394
19.750000 93.465 16.3756
20.000000 93.527 15.8502
20.299999 93.591 15.1524
20.600000 93.642 14.3872
20.900000 93.677 13.5498
21.200001 93.690 12.6464
21.400000 93.683 12.0278
21.799999 93.626 10.8867
22.000000 93.583 10.4329
22.400000 93.490 9.8510
22.700001 93.450 9.6686
23.000000 93.460 9.5383
23.299999 93.521 9.2383
23.600000 93.613 8.5665
24.000000 93.719 6.9613
24.299999 93.741 5.3722
24.700001 93.660 3.1946
25.000000 93.530 1.8780
25.400000 93.324 0.8623
25.799999 93.174 0.6501
26.200001 93.143 0.7064
26.500000 93.193 0.6249
26.900000 93.309 0.0734
27.200001 93.396 -0.6870
27.600000 93.478 -2.0037
28.000000 93.505 -3.4531
28.500000 93.462 -5.1444
29.000000 93.356 -6.3971
29.500000 93.236 -7.0357
30.000000 93.168 -7.2388
30.400000 93.166 -7.4086
30.700001 93.180 -7.6856
31.100000 93.189 -8.2723
31.500000 93.167 -8.9470
32.000000 93.114 -9.6451
32.500000 93.083 -10.2123
33.000000 93.081 -10.9969
33.500000 93.056 -12.1023
34.000000 92.977 -13.1504
34.500000 92.890 -13.7888
35.000000 92.867 -14.1908
35.500000 92.906 -14.8150
36.000000 92.943 -15.7922
36.500000 92.939 -16.8082
37.000000 92.921 -17.5665
37.500000 92.927 -18.1282
38.200001 92.966 -18.9821
38.700001 92.979 -19.6289
39.500000 92.986 -20.3910
40.000000 93.011 -20.8015
40.599998 93.050 -21.5072
41.200001 93.056 -22.4837
41.799999 93.001 -23.4999
42.500000 92.885 -24.3375
43.099998 92.806 -24.7258
43.700001 92.776 -25.1429
44.400002 92.755 -25.9058
45.000000 92.732 -26.5884
45.500000 92.730 -27.1397
46.200001 92.751 -28.1885
46.799999 92.730 -29.3525
47.500000 92.629 -30.4049
48.200001 92.534 -30.7859
48.700001 92.512 -30.8165
49.400002 92.564 -30.8484
50.000000 92.688 -31.2815
50.799999 92.832 -33.2404
51.500000 92.731 -35.5715
52.200001 92.453 -36.6296
53.000000 92.289 -36.2216
53.799999 92.364 -36.5161
54.500000 92.386 -37.6840
55.200001 92.332 -38.7192
56.000000 92.266 -39.5681
57.000000 92.174 -40.1821
58.000000 92.172 -40.3339
59.000000 92.169 -41.1180
60.000000 92.067 -41.4714
60.799999 92.038 -41.6731
61.500000 91.989 -42.2131
62.200001 91.898 -42.6562
63.000000 91.828 -43.1168
64.000000 91.734 -44.3351
65.000000 91.570 -45.2896
66.000000 91.507 -45.9840
67.000000 91.490 -47.0616
68.000000 91.480 -48.0908
69.000000 91.488 -49.0962
70.000000 91.488 -50.0588
71.000000 91.455 -50.9951
72.000000 91.380 -51.5612
73.000000 91.358 -51.8948
74.000000 91.351 -52.8364
75.000000 91.234 -53.9532
76.199997 91.070 -54.4387
77.500000 91.038 -54.9915
78.800003 90.987 -56.1620
80.000000 90.905 -56.9778
81.199997 90.842 -57.8302
82.500000 90.733 -58.8010
83.800003 90.629 -59.5784
85.000000 90.561 -60.3715
86.199997 90.511 -61.2103
87.500000 90.473 -62.1099
88.500000 90.452 -62.7852
90.000000 90.390 -63.7230
91.199997 90.335 -64.2349
92.500000 90.280 -65.0122
93.800003 90.171 -65.8236
95.000000 90.091 -66.2905
96.199997 90.079 -66.8988
97.500000 90.063 -67.9636
98.800003 89.997 -69.0144
100.000000 89.900 -69.8302
101.500000 89.755 -70.4926
103.000000 89.662 -71.0090
104.400002 89.617 -71.7273
106.000000 89.557 -72.7039
107.500000 89.450 -73.3208
109.000000 89.329 -73.5419
110.599998 89.217 -73.8049
112.000000 89.156 -74.7111
113.800003 89.006 -76.6415
115.000000 88.911 -77.4969
117.199997 88.911 -78.4067
118.000000 88.927 -78.6595
120.599998 88.910 -79.2987
122.000000 88.851 -79.8011
124.099998 88.743 -80.8290
125.000000 88.700 -81.3128
126.500000 88.638 -81.9985
128.000000 88.593 -82.4999
131.500000 88.461 -83.9358
132.000000 88.435 -84.2073
134.000000 88.320 -85.3455
136.000000 88.231 -86.1198
138.000000 88.204 -86.7289
140.000000 88.149 -87.4198
143.000000 87.999 -88.2964
145.000000 87.935 -88.8685
147.500000 87.870 -89.8171
150.000000 87.776 -90.8194
152.500000 87.658 -91.8688
155.000000 87.547 -92.9808
157.500000 87.468 -94.0024
160.000000 87.410 -94.8922
162.500000 87.330 -95.7386
165.000000 87.227 -96.4832
167.500000 87.149 -97.2928
170.000000 87.090 -98.2493
172.500000 87.029 -99.1815
175.000000 86.949 -99.8639
177.500000 86.869 -100.3323
180.000000 86.798 -101.0259
182.500000 86.721 -102.0086
185.000000 86.645 -102.9423
187.500000 86.575 -103.6180
190.000000 86.515 -104.2042
192.500000 86.453 -104.9077
195.000000 86.385 -105.6332
197.500000 86.316 -106.2587
200.000000 86.253 -106.8209
203.000000 86.173 -107.5014
206.000000 86.087 -108.1857
209.000000 86.006 -108.9858
212.000000 85.934 -109.8268
214.000000 85.888 -110.3565
218.000000 85.810 -111.3506
220.000000 85.792 -111.7874
224.000000 85.744 -112.5132
227.000000 85.652 -113.1705
230.000000 85.563 -114.1409
233.000000 85.520 -115.1063
236.000000 85.484 -115.7726
240.000000 85.390 -116.5636
243.000000 85.325 -117.2571
247.000000 85.255 -117.9924
250.000000 85.181 -118.5887
254.000000 85.088 -119.6348
258.000000 85.043 -120.3594
262.000000 85.015 -120.7496
265.000000 84.984 -121.4466
269.000000 84.919 -122.6091
272.000000 84.868 -123.2836
276.000000 84.808 -124.0141
280.000000 84.764 -124.7480
285.000000 84.692 -125.6276
290.000000 84.661 -126.2377
295.000000 84.601 -126.7626
300.000000 84.464 -128.0763
304.000000 84.406 -129.1163
307.000000 84.373 -129.7260
311.000000 84.320 -130.4813
315.000000 84.261 -131.0695
320.000000 84.188 -131.6555
