* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/03/2023 10:04:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Orchestra Lite R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.634 93.3419
1.015000 58.726 92.2729
1.030000 58.818 91.2577
1.044000 58.904 90.3538
1.060000 59.003 89.3682
1.075000 59.097 88.4861
1.090000 59.191 87.6408
1.106000 59.291 86.7753
1.120000 59.379 86.0450
1.138000 59.493 85.1380
1.150000 59.570 84.5503
1.172000 59.710 83.5006
1.180000 59.762 83.1259
1.206000 59.930 81.9248
1.220000 60.021 81.2834
1.241000 60.158 80.3199
1.250000 60.217 79.9042
1.265000 60.316 79.2046
1.280000 60.416 78.4933
1.315000 60.650 76.7665
1.320000 60.684 76.5101
1.340000 60.819 75.4543
1.360000 60.956 74.3521
1.380000 61.094 73.2244
1.400000 61.233 72.0762
1.430000 61.445 70.3231
1.450000 61.587 69.1390
1.475000 61.766 67.6480
1.500000 61.947 66.1512
1.525000 62.128 64.6559
1.550000 62.310 63.1687
1.575000 62.493 61.6969
1.600000 62.675 60.2473
1.625000 62.857 58.8269
1.650000 63.039 57.4428
1.675000 63.220 56.1018
1.700000 63.401 54.8072
1.725000 63.582 53.5501
1.750000 63.764 52.3257
1.775000 63.946 51.1298
1.800000 64.129 49.9581
1.825000 64.312 48.8064
1.850000 64.494 47.6703
1.875000 64.677 46.5456
1.900000 64.859 45.4280
1.925000 65.040 44.3133
1.950000 65.221 43.1972
1.975000 65.401 42.0754
2.000000 65.580 40.9437
2.030000 65.793 39.5682
2.060000 66.006 38.1868
2.090000 66.219 36.8051
2.120000 66.431 35.4241
2.140000 66.572 34.5046
2.180000 66.853 32.6696
2.200000 66.992 31.7550
2.240000 67.270 29.9333
2.270000 67.476 28.5750
2.300000 67.680 27.2250
2.330000 67.882 25.8844
2.360000 68.081 24.5546
2.400000 68.345 22.7910
2.430000 68.541 21.4739
2.470000 68.800 19.7271
2.500000 68.992 18.4253
2.540000 69.245 16.7025
2.580000 69.495 14.9968
2.620000 69.741 13.3105
2.650000 69.923 12.0599
2.690000 70.161 10.4133
2.720000 70.337 9.1950
2.760000 70.569 7.5917
2.800000 70.796 6.0104
2.850000 71.076 4.0610
2.900000 71.349 2.1377
2.950000 71.616 0.2356
3.000000 71.877 -1.6498
3.040000 72.081 -3.1495
3.070000 72.232 -4.2724
3.110000 72.429 -5.7652
3.150000 72.621 -7.2490
3.200000 72.857 -9.0836
3.250000 73.087 -10.8875
3.300000 73.311 -12.6517
3.350000 73.531 -14.3670
3.400000 73.744 -16.0273
3.450000 73.952 -17.6392
3.500000 74.154 -19.2080
3.550000 74.350 -20.7391
3.600000 74.542 -22.2375
3.650000 74.730 -23.7084
3.700000 74.915 -25.1571
3.750000 75.095 -26.5848
3.820000 75.339 -28.5406
3.870000 75.508 -29.9032
3.950000 75.772 -32.0165
4.000000 75.933 -33.2912
4.060000 76.123 -34.7689
4.120000 76.310 -36.1850
4.180000 76.491 -37.5466
4.250000 76.698 -39.0786
4.310000 76.873 -40.3541
4.370000 77.045 -41.6047
4.440000 77.243 -43.0290
4.500000 77.409 -44.2115
4.550000 77.546 -45.1727
4.620000 77.735 -46.4855
4.680000 77.894 -47.5840
4.750000 78.077 -48.8365
4.820000 78.257 -50.0489
4.870000 78.383 -50.8930
4.940000 78.558 -52.0490
5.000000 78.704 -53.0206
5.080000 78.894 -54.2945
5.150000 79.057 -55.3851
5.220000 79.216 -56.4513
5.300000 79.393 -57.6394
5.380000 79.563 -58.7943
5.450000 79.707 -59.7803
5.520000 79.846 -60.7440
5.600000 80.000 -61.8124
5.700000 80.186 -63.0882
5.800000 80.362 -64.2928
5.900000 80.530 -65.4326
6.000000 80.691 -66.5017
6.080000 80.819 -67.3021
6.150000 80.927 -67.9606
6.220000 81.033 -68.5824
6.300000 81.152 -69.2520
6.400000 81.304 -70.0335
6.500000 81.457 -70.7403
6.600000 81.611 -71.3819
6.700000 81.770 -71.9906
6.800000 81.934 -72.5796
6.900000 82.103 -73.1294
7.000000 82.276 -73.6731
7.100000 82.453 -74.2429
7.200000 82.635 -74.8219
7.300000 82.820 -75.4192
7.400000 83.004 -76.0576
7.500000 83.187 -76.7447
7.620000 83.406 -77.6207
7.750000 83.634 -78.6297
7.880000 83.852 -79.7121
8.000000 84.044 -80.7592
8.120000 84.223 -81.8233
8.250000 84.402 -83.0101
8.380000 84.567 -84.2003
8.500000 84.707 -85.2771
8.620000 84.836 -86.3438
8.750000 84.965 -87.4656
8.850000 85.059 -88.2965
9.000000 85.189 -89.5011
9.120000 85.290 -90.4323
9.250000 85.394 -91.4022
9.380000 85.495 -92.3483
9.500000 85.587 -93.2141
9.620000 85.676 -94.0664
9.750000 85.769 -94.9899
9.880000 85.858 -95.9238
10.000000 85.936 -96.7883
10.150000 86.024 -97.8665
10.300000 86.101 -98.9491
10.440000 86.162 -99.9281
10.600000 86.218 -101.0063
10.750000 86.259 -101.9502
10.900000 86.292 -102.7967
11.060000 86.319 -103.5964
11.200000 86.345 -104.1846
11.380000 86.379 -104.8008
11.500000 86.412 -105.1446
11.720000 86.489 -105.6338
11.800000 86.526 -105.8040
12.060000 86.676 -106.3218
12.200000 86.772 -106.6610
12.410000 86.934 -107.2618
12.500000 87.004 -107.5733
12.650000 87.124 -108.1641
12.800000 87.239 -108.8254
13.150000 87.475 -110.6089
13.200000 87.503 -110.8765
13.400000 87.606 -111.9633
13.600000 87.690 -113.0029
13.800000 87.760 -113.9834
14.000000 87.820 -114.8685
14.300000 87.906 -116.0420
14.500000 87.966 -116.7454
14.750000 88.047 -117.5741
15.000000 88.132 -118.3997
15.250000 88.216 -119.2364
15.500000 88.296 -120.0855
15.750000 88.367 -120.9281
16.000000 88.431 -121.7324
16.250000 88.490 -122.4878
16.500000 88.549 -123.1928
16.750000 88.612 -123.8634
17.000000 88.678 -124.5337
17.250000 88.747 -125.2248
17.500000 88.815 -125.9515
17.750000 88.877 -126.7156
18.000000 88.932 -127.4955
18.250000 88.978 -128.2698
18.500000 89.016 -129.0175
18.750000 89.050 -129.7202
19.000000 89.082 -130.3787
19.250000 89.116 -131.0015
19.500000 89.152 -131.6009
19.750000 89.191 -132.1947
20.000000 89.231 -132.7911
20.299999 89.279 -133.5120
20.600000 89.324 -134.2318
20.900000 89.367 -134.9376
21.200001 89.409 -135.6195
21.400000 89.436 -136.0599
21.799999 89.493 -136.9185
22.000000 89.521 -137.3432
22.400000 89.579 -138.1940
22.700001 89.620 -138.8363
23.000000 89.659 -139.4775
23.299999 89.693 -140.1099
23.600000 89.723 -140.7262
24.000000 89.760 -141.5150
24.299999 89.785 -142.0811
24.700001 89.817 -142.8070
25.000000 89.842 -143.3371
25.400000 89.874 -144.0385
25.799999 89.904 -144.7465
26.200001 89.928 -145.4579
26.500000 89.940 -145.9775
26.900000 89.951 -146.6174
27.200001 89.958 -147.0408
27.600000 89.973 -147.5350
28.000000 90.000 -147.9905
28.500000 90.047 -148.5930
29.000000 90.097 -149.2686
29.500000 90.139 -149.9642
30.000000 90.179 -150.6390
30.400000 90.212 -151.1944
30.700001 90.233 -151.6395
31.100000 90.248 -152.2541
31.500000 90.245 -152.8111
32.000000 90.230 -153.2849
32.500000 90.240 -153.5177
33.000000 90.297 -153.7787
33.500000 90.377 -154.3369
34.000000 90.430 -155.1659
34.500000 90.439 -155.9823
35.000000 90.437 -156.5656
35.500000 90.463 -156.9993
36.000000 90.520 -157.5574
36.500000 90.570 -158.3626
37.000000 90.579 -159.2191
37.500000 90.558 -159.8125
38.200001 90.570 -160.1183
38.700001 90.644 -160.3756
39.500000 90.765 -161.5793
40.000000 90.762 -162.5638
40.599998 90.685 -163.3757
41.200001 90.607 -163.6817
41.799999 90.567 -163.8371
42.500000 90.537 -164.1255
43.099998 90.513 -164.3752
43.700001 90.508 -164.6471
44.400002 90.522 -165.1946
45.000000 90.526 -165.8395
45.500000 90.522 -166.4120
46.200001 90.506 -167.1917
46.799999 90.487 -167.7038
47.500000 90.500 -167.9716
48.200001 90.599 -168.2711
48.700001 90.689 -168.8340
49.400002 90.746 -169.9573
50.000000 90.723 -170.7115
50.799999 90.681 -171.1494
51.500000 90.670 -171.4126
52.200001 90.645 -171.7297
53.000000 90.596 -171.9442
53.799999 90.569 -172.0552
54.500000 90.568 -172.3049
55.200001 90.565 -172.7714
56.000000 90.543 -173.4182
57.000000 90.509 -174.1732
58.000000 90.485 -174.9155
59.000000 90.464 -175.5313
60.000000 90.460 -176.0927
60.799999 90.446 -176.5309
61.500000 90.426 -176.7974
62.200001 90.415 -177.0006
63.000000 90.408 -177.2441
64.000000 90.409 -177.6326
65.000000 90.397 -178.2753
66.000000 90.342 -178.8405
67.000000 90.311 -179.1878
68.000000 90.300 -179.7122
69.000000 90.266 179.7871
70.000000 90.243 179.4540
71.000000 90.236 179.0588
72.000000 90.211 178.5893
73.000000 90.170 178.2730
74.000000 90.153 178.0702
75.000000 90.154 177.6989
76.199997 90.134 177.0916
77.500000 90.093 176.5507
78.800003 90.067 176.1635
80.000000 90.059 175.8076
81.199997 90.051 175.4579
82.500000 90.035 175.0814
83.800003 90.009 174.7149
85.000000 89.971 174.2932
86.199997 89.905 173.8889
87.500000 89.845 173.5383
88.500000 89.815 173.1667
90.000000 89.765 172.5270
91.199997 89.729 172.1195
92.500000 89.701 171.7902
93.800003 89.674 171.5294
95.000000 89.637 171.3259
96.199997 89.584 171.0842
97.500000 89.493 170.7561
98.800003 89.372 170.6364
100.000000 89.317 170.8127
101.500000 89.351 170.5315
103.000000 89.348 169.8137
104.400002 89.314 169.3681
106.000000 89.268 169.0874
107.500000 89.216 168.8755
109.000000 89.156 168.6439
110.599998 89.095 168.3397
112.000000 89.047 168.0363
113.800003 88.985 167.7260
115.000000 88.947 167.5860
117.199997 88.870 167.3583
118.000000 88.839 167.2788
120.599998 88.745 167.0001
122.000000 88.701 166.8316
124.099998 88.637 166.6654
125.000000 88.609 166.6037
126.500000 88.553 166.5040
128.000000 88.487 166.4496
131.500000 88.359 166.3673
132.000000 88.343 166.3426
134.000000 88.272 166.2914
136.000000 88.201 166.4258
138.000000 88.151 166.6343
140.000000 88.118 166.8181
143.000000 88.076 167.2191
145.000000 88.065 167.5013
147.500000 88.067 167.6334
150.000000 88.097 167.5244
152.500000 88.152 167.1737
155.000000 88.164 166.6580
157.500000 88.122 166.1690
160.000000 88.064 165.7051
162.500000 88.002 165.2272
165.000000 87.925 164.8617
167.500000 87.834 164.5978
170.000000 87.735 164.3914
172.500000 87.645 164.2703
175.000000 87.563 164.1952
177.500000 87.481 164.1683
180.000000 87.405 164.2076
182.500000 87.332 164.3063
185.000000 87.254 164.4426
187.500000 87.180 164.5911
190.000000 87.124 164.7620
192.500000 87.073 164.9707
195.000000 87.010 165.1205
197.500000 86.940 165.0748
200.000000 86.888 165.0765
203.000000 86.903 165.4183
206.000000 86.931 165.7139
209.000000 86.910 165.7747
212.000000 86.862 165.7175
214.000000 86.826 165.7094
218.000000 86.742 165.7618
220.000000 86.701 165.7747
224.000000 86.625 165.8041
227.000000 86.570 165.8738
230.000000 86.515 165.9683
233.000000 86.462 166.0906
236.000000 86.408 166.2460
240.000000 86.340 166.4916
243.000000 86.293 166.6802
247.000000 86.232 166.9045
250.000000 86.189 167.0709
254.000000 86.134 167.3553
258.000000 86.082 167.6672
262.000000 86.033 167.9723
265.000000 85.998 168.2053
269.000000 85.953 168.5037
272.000000 85.920 168.7251
276.000000 85.877 169.0359
280.000000 85.839 169.3482
285.000000 85.794 169.7352
290.000000 85.754 170.1279
295.000000 85.716 170.5119
300.000000 85.683 170.8809
304.000000 85.659 171.1815
307.000000 85.643 171.4114
311.000000 85.621 171.7211
315.000000 85.601 172.0373
