* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/01/2023 7:29:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL P5 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 71.062 40.5334
1.015000 71.200 39.2311
1.030000 71.334 38.0188
1.044000 71.458 36.9618
1.060000 71.596 35.8351
1.075000 71.724 34.8508
1.090000 71.849 33.9297
1.106000 71.981 33.0095
1.120000 72.094 32.2510
1.138000 72.237 31.3310
1.150000 72.332 30.7472
1.172000 72.501 29.7256
1.180000 72.562 29.3665
1.206000 72.758 28.2296
1.220000 72.862 27.6278
1.241000 73.016 26.7245
1.250000 73.081 26.3334
1.265000 73.190 25.6710
1.280000 73.297 24.9898
1.315000 73.546 23.2909
1.320000 73.581 23.0323
1.340000 73.722 21.9479
1.360000 73.863 20.7866
1.380000 74.001 19.5826
1.400000 74.138 18.3444
1.430000 74.339 16.4369
1.450000 74.471 15.1410
1.475000 74.634 13.5052
1.500000 74.794 11.8632
1.525000 74.951 10.2274
1.550000 75.105 8.6104
1.575000 75.257 7.0246
1.600000 75.407 5.4825
1.625000 75.553 3.9964
1.650000 75.697 2.5789
1.675000 75.839 1.2423
1.700000 75.978 -0.0084
1.725000 76.113 -1.1915
1.750000 76.246 -2.3148
1.775000 76.375 -3.3850
1.800000 76.502 -4.4088
1.825000 76.626 -5.3928
1.850000 76.747 -6.3438
1.875000 76.867 -7.2685
1.900000 76.984 -8.1736
1.925000 77.100 -9.0658
1.950000 77.214 -9.9519
1.975000 77.327 -10.8384
2.000000 77.439 -11.7322
2.030000 77.572 -12.8208
2.060000 77.701 -13.9046
2.090000 77.828 -14.9752
2.120000 77.952 -16.0315
2.140000 78.033 -16.7271
2.180000 78.192 -18.0961
2.200000 78.270 -18.7687
2.240000 78.424 -20.0885
2.270000 78.538 -21.0547
2.300000 78.650 -21.9991
2.330000 78.763 -22.9206
2.360000 78.874 -23.8180
2.400000 79.021 -24.9783
2.430000 79.128 -25.8226
2.470000 79.269 -26.9153
2.500000 79.373 -27.7107
2.540000 79.511 -28.7405
2.580000 79.647 -29.7364
2.620000 79.783 -30.7000
2.650000 79.884 -31.4024
2.690000 80.020 -32.3131
2.720000 80.122 -32.9694
2.760000 80.257 -33.7973
2.800000 80.391 -34.5809
2.850000 80.558 -35.5148
2.900000 80.724 -36.4178
2.950000 80.891 -37.3108
3.000000 81.057 -38.2150
3.040000 81.192 -38.9595
3.070000 81.293 -39.5240
3.110000 81.428 -40.2780
3.150000 81.563 -41.0315
3.200000 81.732 -41.9696
3.250000 81.901 -42.8997
3.300000 82.070 -43.8177
3.350000 82.238 -44.7197
3.400000 82.405 -45.5977
3.450000 82.572 -46.4446
3.500000 82.739 -47.2725
3.550000 82.906 -48.0941
3.600000 83.070 -48.9223
3.650000 83.233 -49.7698
3.700000 83.392 -50.6494
3.750000 83.549 -51.5655
3.820000 83.766 -52.8908
3.870000 83.919 -53.8571
3.950000 84.156 -55.4155
4.000000 84.300 -56.3848
4.060000 84.466 -57.5318
4.120000 84.627 -58.6722
4.180000 84.783 -59.8107
4.250000 84.958 -61.1366
4.310000 85.102 -62.2715
4.370000 85.239 -63.4051
4.440000 85.390 -64.7364
4.500000 85.513 -65.8861
4.550000 85.611 -66.8415
4.620000 85.741 -68.1617
4.680000 85.847 -69.2649
4.750000 85.963 -70.5097
4.820000 86.071 -71.7271
4.870000 86.143 -72.5783
4.940000 86.239 -73.7389
5.000000 86.318 -74.7001
5.080000 86.418 -75.9269
5.150000 86.499 -76.9544
5.220000 86.575 -77.9400
5.300000 86.659 -79.0136
5.380000 86.743 -80.0294
5.450000 86.815 -80.8657
5.520000 86.886 -81.6531
5.600000 86.966 -82.5032
5.700000 87.071 -83.5081
5.800000 87.182 -84.4477
5.900000 87.297 -85.3104
6.000000 87.418 -86.1404
6.080000 87.520 -86.8089
6.150000 87.614 -87.3832
6.220000 87.711 -87.9484
6.300000 87.825 -88.5973
6.400000 87.970 -89.4372
6.500000 88.120 -90.3065
6.600000 88.273 -91.1987
6.700000 88.425 -92.1267
6.800000 88.572 -93.1022
6.900000 88.719 -94.1215
7.000000 88.861 -95.1701
7.100000 88.995 -96.2361
7.200000 89.122 -97.3325
7.300000 89.242 -98.4452
7.400000 89.354 -99.5500
7.500000 89.456 -100.6480
7.620000 89.568 -101.9607
7.750000 89.678 -103.3345
7.880000 89.776 -104.6516
8.000000 89.858 -105.8179
8.120000 89.935 -106.9204
8.250000 90.013 -108.0419
8.380000 90.088 -109.1000
8.500000 90.158 -110.0235
8.620000 90.228 -110.8934
8.750000 90.306 -111.8034
8.850000 90.368 -112.4834
9.000000 90.463 -113.4714
9.120000 90.540 -114.2606
9.250000 90.625 -115.1133
9.380000 90.709 -115.9661
9.500000 90.784 -116.7613
9.620000 90.858 -117.5624
9.750000 90.934 -118.4277
9.880000 91.004 -119.2903
10.000000 91.065 -120.0816
10.150000 91.136 -121.0432
10.300000 91.200 -121.9772
10.440000 91.256 -122.8147
10.600000 91.316 -123.7237
10.750000 91.370 -124.5368
10.900000 91.425 -125.3120
11.060000 91.484 -126.1053
11.200000 91.537 -126.7871
11.380000 91.607 -127.6457
11.500000 91.654 -128.2234
11.720000 91.741 -129.2910
11.800000 91.772 -129.6852
12.060000 91.867 -130.9908
12.200000 91.913 -131.6985
12.410000 91.974 -132.7620
12.500000 91.998 -133.2088
12.650000 92.034 -133.9448
12.800000 92.067 -134.6604
13.150000 92.137 -136.2385
13.200000 92.147 -136.4545
13.400000 92.187 -137.3002
13.600000 92.230 -138.1382
13.800000 92.274 -138.9784
14.000000 92.318 -139.8421
14.300000 92.379 -141.1893
14.500000 92.412 -142.1134
14.750000 92.441 -143.2799
15.000000 92.454 -144.4068
15.250000 92.456 -145.4568
15.500000 92.451 -146.4048
15.750000 92.447 -147.2387
16.000000 92.451 -147.9865
16.250000 92.466 -148.6874
16.500000 92.492 -149.3800
16.750000 92.526 -150.1069
17.000000 92.562 -150.8833
17.250000 92.594 -151.6994
17.500000 92.620 -152.5376
17.750000 92.637 -153.3638
18.000000 92.648 -154.1487
18.250000 92.655 -154.8828
18.500000 92.663 -155.5636
18.750000 92.675 -156.2067
19.000000 92.691 -156.8366
19.250000 92.711 -157.4697
19.500000 92.732 -158.1194
19.750000 92.752 -158.7893
20.000000 92.768 -159.4696
20.299999 92.781 -160.2857
20.600000 92.788 -161.0840
20.900000 92.791 -161.8531
21.200001 92.792 -162.5914
21.400000 92.791 -163.0682
21.799999 92.788 -163.9892
22.000000 92.786 -164.4336
22.400000 92.782 -165.2901
22.700001 92.780 -165.9064
23.000000 92.780 -166.5074
23.299999 92.782 -167.1021
23.600000 92.786 -167.6988
24.000000 92.791 -168.5026
24.299999 92.794 -169.1075
24.700001 92.795 -169.9046
25.000000 92.795 -170.4883
25.400000 92.794 -171.2420
25.799999 92.792 -171.9645
26.200001 92.793 -172.6560
26.500000 92.796 -173.1602
26.900000 92.804 -173.8336
27.200001 92.812 -174.3557
27.600000 92.820 -175.0852
28.000000 92.818 -175.8306
28.500000 92.801 -176.6989
29.000000 92.782 -177.4228
29.500000 92.782 -178.0660
30.000000 92.798 -178.8040
30.400000 92.806 -179.5224
30.700001 92.799 179.8934
31.100000 92.770 179.1373
31.500000 92.723 178.4985
32.000000 92.664 177.9084
32.500000 92.624 177.4600
33.000000 92.606 177.0004
33.500000 92.597 176.4471
34.000000 92.584 175.8064
34.500000 92.558 175.1282
35.000000 92.520 174.4749
35.500000 92.478 173.8867
36.000000 92.440 173.3462
36.500000 92.408 172.7920
37.000000 92.375 172.1934
37.500000 92.332 171.6018
38.200001 92.272 170.9179
38.700001 92.248 170.4880
39.500000 92.237 169.5877
40.000000 92.215 168.8859
40.599998 92.161 168.1462
41.200001 92.111 167.6619
41.799999 92.099 167.2661
42.500000 92.114 166.5776
43.099998 92.107 165.8125
43.700001 92.075 165.0993
44.400002 92.030 164.4149
45.000000 91.993 163.8823
45.500000 91.959 163.4740
46.200001 91.911 162.9764
46.799999 91.872 162.5762
47.500000 91.816 162.1953
48.200001 91.778 162.0652
48.700001 91.793 161.9868
49.400002 91.850 161.4189
50.000000 91.856 160.4829
50.799999 91.754 159.3671
51.500000 91.648 158.9331
52.200001 91.593 158.6514
53.000000 91.561 158.1073
53.799999 91.522 157.3818
54.500000 91.478 156.6870
55.200001 91.422 155.9918
56.000000 91.349 155.2809
57.000000 91.265 154.6035
58.000000 91.215 153.9844
59.000000 91.145 153.2251
60.000000 91.044 152.8627
60.799999 91.010 152.7291
61.500000 90.996 152.3840
62.200001 90.959 151.9305
63.000000 90.909 151.5043
64.000000 90.880 150.8905
65.000000 90.847 150.0018
66.000000 90.802 149.1471
67.000000 90.765 148.2717
68.000000 90.688 147.4536
69.000000 90.592 147.1353
70.000000 90.543 147.0540
71.000000 90.514 146.7545
72.000000 90.456 146.1939
73.000000 90.358 145.5441
74.000000 90.237 144.8907
75.000000 90.097 144.3395
76.199997 89.974 144.2044
77.500000 89.991 143.7836
78.800003 89.942 142.8901
80.000000 89.906 142.8311
81.199997 89.953 142.3522
82.500000 89.902 141.3965
83.800003 89.785 140.8379
85.000000 89.696 140.6170
86.199997 89.632 140.2910
87.500000 89.543 139.8875
88.500000 89.468 139.5779
90.000000 89.331 139.1343
91.199997 89.228 138.9316
92.500000 89.168 138.6333
93.800003 89.132 138.0352
95.000000 89.090 137.3931
96.199997 89.042 136.8629
97.500000 89.002 136.4135
98.800003 88.967 135.9028
100.000000 88.908 135.3314
101.500000 88.794 134.8236
103.000000 88.694 134.5143
104.400002 88.602 134.3051
106.000000 88.507 134.2160
107.500000 88.430 134.0638
109.000000 88.339 133.7875
110.599998 88.254 133.5508
112.000000 88.233 133.2404
113.800003 88.221 132.4479
115.000000 88.182 131.9471
117.199997 88.081 131.5740
118.000000 88.047 131.5293
120.599998 87.929 131.1896
122.000000 87.844 130.8711
124.099998 87.718 130.3943
125.000000 87.671 130.1682
126.500000 87.599 129.7779
128.000000 87.532 129.3908
131.500000 87.376 128.6007
132.000000 87.353 128.5090
134.000000 87.256 128.1666
136.000000 87.151 127.8759
138.000000 87.051 127.5887
140.000000 86.957 127.2404
143.000000 86.824 126.7267
145.000000 86.730 126.5266
147.500000 86.611 126.3694
150.000000 86.479 126.1654
152.500000 86.338 125.8868
155.000000 86.199 125.6636
157.500000 86.072 125.6004
160.000000 85.957 125.7210
162.500000 85.843 126.1566
165.000000 85.751 127.0080
167.500000 85.715 128.0236
170.000000 85.748 128.8312
172.500000 85.856 129.1909
175.000000 85.997 128.9600
177.500000 86.109 128.3033
180.000000 86.173 127.4183
182.500000 86.200 126.3922
185.000000 86.196 125.3322
187.500000 86.156 124.3534
190.000000 86.081 123.5439
192.500000 85.999 122.8906
195.000000 85.923 122.2962
197.500000 85.842 121.7609
200.000000 85.759 121.3140
203.000000 85.670 120.7933
206.000000 85.586 120.3540
209.000000 85.507 119.9661
212.000000 85.428 119.5552
214.000000 85.378 119.2797
218.000000 85.280 118.7619
220.000000 85.232 118.5389
224.000000 85.141 118.1264
227.000000 85.072 117.8087
230.000000 85.005 117.4916
233.000000 84.941 117.1883
236.000000 84.880 116.9046
240.000000 84.796 116.5725
243.000000 84.736 116.3463
247.000000 84.659 116.0275
250.000000 84.604 115.7795
254.000000 84.530 115.4359
258.000000 84.458 115.1093
262.000000 84.395 114.7896
265.000000 84.350 114.5479
269.000000 84.292 114.2394
272.000000 84.249 114.0186
276.000000 84.190 113.7445
280.000000 84.126 113.4803
285.000000 84.056 113.0905
290.000000 83.996 112.7366
295.000000 83.935 112.4468
300.000000 83.882 112.0691
304.000000 83.840 111.7917
307.000000 83.807 111.6030
311.000000 83.765 111.3430
315.000000 83.725 111.0845
320.000000 83.673 110.7538
325.000000 83.627 110.4363
