* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/06/2023 12:42:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: P8 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 64.647 66.1075
1.015000 64.805 64.3918
1.030000 64.967 62.7536
1.044000 65.125 61.2844
1.060000 65.310 59.6716
1.075000 65.488 58.2195
1.090000 65.671 56.8212
1.106000 65.871 55.3845
1.120000 66.049 54.1698
1.138000 66.281 52.6608
1.150000 66.437 51.6846
1.172000 66.728 49.9486
1.180000 66.834 49.3327
1.206000 67.181 47.3769
1.220000 67.368 46.3476
1.241000 67.648 44.8258
1.250000 67.768 44.1794
1.265000 67.966 43.1063
1.280000 68.163 42.0352
1.315000 68.611 39.5204
1.320000 68.674 39.1572
1.340000 68.921 37.6880
1.360000 69.162 36.1986
1.380000 69.403 34.7202
1.400000 69.643 33.2559
1.430000 70.001 31.0885
1.450000 70.239 29.6646
1.475000 70.534 27.9104
1.500000 70.827 26.1868
1.525000 71.117 24.4962
1.550000 71.404 22.8407
1.575000 71.688 21.2225
1.600000 71.968 19.6441
1.625000 72.243 18.1075
1.650000 72.514 16.6150
1.675000 72.780 15.1690
1.700000 73.041 13.7757
1.725000 73.298 12.4450
1.750000 73.550 11.1712
1.775000 73.799 9.9480
1.800000 74.044 8.7690
1.825000 74.285 7.6277
1.850000 74.523 6.5178
1.875000 74.757 5.4330
1.900000 74.987 4.3667
1.925000 75.214 3.3126
1.950000 75.438 2.2643
1.975000 75.658 1.2155
2.000000 75.875 0.1596
2.030000 76.131 -1.1225
2.060000 76.382 -2.3957
2.090000 76.628 -3.6525
2.120000 76.868 -4.8935
2.140000 77.025 -5.7123
2.180000 77.333 -7.3301
2.200000 77.484 -8.1293
2.240000 77.780 -9.7094
2.270000 77.997 -10.8790
2.300000 78.211 -12.0358
2.330000 78.421 -13.1804
2.360000 78.627 -14.3133
2.400000 78.896 -15.8042
2.430000 79.092 -16.9068
2.470000 79.347 -18.3564
2.500000 79.533 -19.4283
2.540000 79.776 -20.8369
2.580000 80.012 -22.2222
2.620000 80.243 -23.5842
2.650000 80.412 -24.5904
2.690000 80.634 -25.9118
2.720000 80.797 -26.8847
2.760000 81.008 -28.1536
2.800000 81.213 -29.3942
2.850000 81.460 -30.9122
2.900000 81.700 -32.4019
2.950000 81.932 -33.8722
3.000000 82.158 -35.3318
3.040000 82.334 -36.4976
3.070000 82.463 -37.3709
3.110000 82.630 -38.5307
3.150000 82.793 -39.6824
3.200000 82.989 -41.1056
3.250000 83.180 -42.5045
3.300000 83.365 -43.8727
3.350000 83.545 -45.2037
3.400000 83.721 -46.4918
3.450000 83.890 -47.7381
3.500000 84.053 -48.9498
3.550000 84.211 -50.1337
3.600000 84.364 -51.2968
3.650000 84.514 -52.4463
3.700000 84.660 -53.5889
3.750000 84.803 -54.7257
3.820000 84.994 -56.2967
3.870000 85.126 -57.4005
3.950000 85.330 -59.1271
4.000000 85.454 -60.1773
4.060000 85.600 -61.4035
4.120000 85.741 -62.5894
4.180000 85.878 -63.7409
4.250000 86.033 -65.0505
4.310000 86.162 -66.1523
4.370000 86.289 -67.2425
4.440000 86.434 -68.4990
4.500000 86.554 -69.5565
4.550000 86.653 -70.4247
4.620000 86.787 -71.6209
4.680000 86.900 -72.6293
4.750000 87.030 -73.7855
4.820000 87.156 -74.9159
4.870000 87.244 -75.7097
4.940000 87.366 -76.8058
5.000000 87.467 -77.7345
5.080000 87.600 -78.9617
5.150000 87.714 -80.0204
5.220000 87.825 -81.0652
5.300000 87.948 -82.2449
5.380000 88.068 -83.4123
5.450000 88.171 -84.4244
5.520000 88.270 -85.4264
5.600000 88.381 -86.5589
5.700000 88.514 -87.9549
5.800000 88.641 -89.3293
5.900000 88.763 -90.6824
6.000000 88.880 -92.0130
6.080000 88.969 -93.0609
6.150000 89.044 -93.9675
6.220000 89.116 -94.8636
6.300000 89.196 -95.8718
6.400000 89.291 -97.1036
6.500000 89.381 -98.3040
6.600000 89.466 -99.4744
6.700000 89.548 -100.6129
6.800000 89.626 -101.7182
6.900000 89.700 -102.7913
7.000000 89.772 -103.8319
7.100000 89.842 -104.8395
7.200000 89.910 -105.8118
7.300000 89.976 -106.7528
7.400000 90.042 -107.6680
7.500000 90.107 -108.5561
7.620000 90.185 -109.5864
7.750000 90.269 -110.6737
7.880000 90.353 -111.7309
8.000000 90.431 -112.6836
8.120000 90.509 -113.6259
8.250000 90.593 -114.6318
8.380000 90.676 -115.6266
8.500000 90.750 -116.5405
8.620000 90.823 -117.4482
8.750000 90.900 -118.4222
8.850000 90.956 -119.1657
9.000000 91.037 -120.2697
9.120000 91.098 -121.1366
9.250000 91.161 -122.0608
9.380000 91.220 -122.9657
9.500000 91.272 -123.7794
9.620000 91.322 -124.5737
9.750000 91.374 -125.4135
9.880000 91.425 -126.2302
10.000000 91.470 -126.9655
10.150000 91.526 -127.8680
10.300000 91.581 -128.7498
10.440000 91.631 -129.5638
10.600000 91.687 -130.4875
10.750000 91.737 -131.3474
10.900000 91.783 -132.2065
11.060000 91.829 -133.1171
11.200000 91.864 -133.9042
11.380000 91.904 -134.9013
11.500000 91.926 -135.5440
11.720000 91.959 -136.6785
11.800000 91.970 -137.0698
12.060000 91.999 -138.2628
12.200000 92.015 -138.8540
12.410000 92.041 -139.6773
12.500000 92.055 -140.0160
12.650000 92.081 -140.5563
12.800000 92.111 -141.0916
13.150000 92.197 -142.3614
13.200000 92.211 -142.5521
13.400000 92.268 -143.3400
13.600000 92.324 -144.1823
13.800000 92.375 -145.0700
14.000000 92.419 -145.9946
14.300000 92.469 -147.3950
14.500000 92.491 -148.3095
14.750000 92.508 -149.3993
15.000000 92.519 -150.4084
15.250000 92.529 -151.3406
15.500000 92.542 -152.2071
15.750000 92.561 -153.0314
16.000000 92.585 -153.8422
16.250000 92.612 -154.6534
16.500000 92.640 -155.4734
16.750000 92.667 -156.3024
17.000000 92.691 -157.1295
17.250000 92.711 -157.9449
17.500000 92.727 -158.7396
17.750000 92.740 -159.5057
18.000000 92.751 -160.2414
18.250000 92.762 -160.9481
18.500000 92.772 -161.6286
18.750000 92.783 -162.2885
19.000000 92.793 -162.9333
19.250000 92.803 -163.5665
19.500000 92.813 -164.1908
19.750000 92.822 -164.8071
20.000000 92.829 -165.4134
20.299999 92.836 -166.1259
20.600000 92.841 -166.8205
20.900000 92.847 -167.5004
21.200001 92.852 -168.1738
21.400000 92.856 -168.6251
21.799999 92.863 -169.5427
22.000000 92.864 -170.0087
22.400000 92.859 -170.9400
22.700001 92.849 -171.6150
23.000000 92.836 -172.2514
23.299999 92.824 -172.8425
23.600000 92.815 -173.3960
24.000000 92.812 -174.1119
24.299999 92.815 -174.6627
24.700001 92.823 -175.4409
25.000000 92.826 -176.0514
25.400000 92.824 -176.8703
25.799999 92.816 -177.6547
26.200001 92.806 -178.3882
26.500000 92.801 -178.9141
26.900000 92.798 -179.6075
27.200001 92.796 179.8663
27.600000 92.792 179.1563
28.000000 92.783 178.4519
28.500000 92.766 177.6096
29.000000 92.747 176.8211
29.500000 92.730 176.0693
30.000000 92.715 175.3293
30.400000 92.703 174.7364
30.700001 92.693 174.2895
31.100000 92.679 173.6914
31.500000 92.662 173.0952
32.000000 92.638 172.3661
32.500000 92.611 171.6697
33.000000 92.586 171.0056
33.500000 92.564 170.3542
34.000000 92.545 169.6934
34.500000 92.525 169.0209
35.000000 92.502 168.3522
35.500000 92.479 167.6987
36.000000 92.457 167.0571
36.500000 92.435 166.4190
37.000000 92.412 165.7852
37.500000 92.388 165.1662
38.200001 92.354 164.3385
38.700001 92.332 163.7688
39.500000 92.301 162.8602
40.000000 92.281 162.2848
40.599998 92.251 161.5997
41.200001 92.215 160.9454
41.799999 92.176 160.3394
42.500000 92.134 159.6835
43.099998 92.103 159.1174
43.700001 92.073 158.4971
44.400002 92.027 157.7252
45.000000 91.981 157.0992
45.500000 91.946 156.6101
46.200001 91.908 155.8968
46.799999 91.877 155.2477
47.500000 91.847 154.5340
48.200001 91.842 153.7616
48.700001 91.840 153.0319
49.400002 91.784 151.8939
50.000000 91.687 151.2151
50.799999 91.580 150.9560
51.500000 91.561 150.8103
52.200001 91.555 150.3715
53.000000 91.512 149.7647
53.799999 91.454 149.2515
54.500000 91.405 148.7806
55.200001 91.350 148.2644
56.000000 91.283 147.6583
57.000000 91.199 146.8747
58.000000 91.120 146.0997
59.000000 91.047 145.3586
60.000000 90.973 144.6477
60.799999 90.902 144.1456
61.500000 90.830 143.8242
62.200001 90.759 143.5967
63.000000 90.672 143.3780
64.000000 90.543 143.3530
65.000000 90.469 143.6507
66.000000 90.461 143.6032
67.000000 90.434 143.3322
68.000000 90.436 143.2487
69.000000 90.510 142.9554
70.000000 90.594 142.1588
71.000000 90.620 141.1551
72.000000 90.615 140.3806
73.000000 90.622 139.6575
74.000000 90.610 138.8278
75.000000 90.574 138.0254
76.199997 90.505 137.1516
77.500000 90.436 136.4008
78.800003 90.393 135.5138
80.000000 90.344 134.6078
81.199997 90.290 133.6806
82.500000 90.215 132.6995
83.800003 90.113 131.8323
85.000000 90.003 131.2989
86.199997 89.918 130.8557
87.500000 89.828 130.2108
88.500000 89.748 129.6521
90.000000 89.614 128.9893
91.199997 89.542 128.6831
92.500000 89.487 128.2979
93.800003 89.403 128.0214
95.000000 89.311 128.0229
96.199997 89.223 128.0387
97.500000 89.107 127.8492
98.800003 88.940 127.7956
100.000000 88.853 128.4384
101.500000 88.994 128.8771
103.000000 89.188 128.2621
104.400002 89.343 127.4603
106.000000 89.464 126.3545
107.500000 89.495 125.1969
109.000000 89.463 124.0623
110.599998 89.406 122.8736
112.000000 89.350 121.8759
113.800003 89.276 120.7298
115.000000 89.220 120.0756
117.199997 89.107 119.0450
118.000000 89.066 118.6873
120.599998 88.941 117.4839
122.000000 88.881 116.8407
124.099998 88.794 115.9545
125.000000 88.756 115.6180
126.500000 88.696 115.0946
128.000000 88.638 114.5839
131.500000 88.508 113.4158
132.000000 88.489 113.2517
134.000000 88.408 112.6064
136.000000 88.327 111.9460
138.000000 88.252 111.3055
140.000000 88.183 110.7011
143.000000 88.066 109.8470
145.000000 87.986 109.1746
147.500000 87.902 108.0192
150.000000 87.798 106.9458
152.500000 87.722 106.6696
155.000000 87.672 106.3891
157.500000 87.592 105.8657
160.000000 87.510 105.2113
162.500000 87.439 104.5805
165.000000 87.369 103.9909
167.500000 87.295 103.4022
170.000000 87.223 102.8233
172.500000 87.153 102.2697
175.000000 87.084 101.7225
177.500000 87.015 101.1766
180.000000 86.948 100.6433
182.500000 86.883 100.1176
185.000000 86.818 99.6062
187.500000 86.754 99.1123
190.000000 86.690 98.6380
192.500000 86.627 98.1868
195.000000 86.564 97.7728
197.500000 86.499 97.4156
200.000000 86.434 97.0563
203.000000 86.356 96.5378
206.000000 86.281 96.0494
209.000000 86.210 95.6529
212.000000 86.140 95.3558
214.000000 86.098 95.2092
218.000000 86.036 94.9671
220.000000 86.016 94.8394
224.000000 86.001 94.5010
227.000000 86.002 94.1233
230.000000 85.998 93.6343
233.000000 85.983 93.0911
236.000000 85.959 92.5404
240.000000 85.913 91.8161
243.000000 85.873 91.3265
247.000000 85.799 90.8251
250.000000 85.748 90.4675
254.000000 85.715 89.8009
258.000000 85.684 89.1655
262.000000 85.640 88.6413
265.000000 85.606 88.2601
269.000000 85.561 87.7554
272.000000 85.528 87.3824
276.000000 85.483 86.9160
280.000000 85.440 86.4820
285.000000 85.387 85.9667
290.000000 85.338 85.4842
295.000000 85.291 85.0279
300.000000 85.246 84.5930
304.000000 85.212 84.2728
307.000000 85.189 84.0426
311.000000 85.159 83.7484
315.000000 85.133 83.4655
320.000000 85.104 83.1253
325.000000 85.079 82.8059
330.000000 85.056 82.4919
