* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -30.2 dBFS, measurement signal peak level -29.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/02/2024 1:47:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0185 ms (-6.3 mm, -0.25 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: PA02 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.026 114.5373
1.015000 45.245 112.8552
1.030000 45.465 111.2089
1.044000 45.669 109.7097
1.060000 45.901 108.0465
1.075000 46.117 106.5419
1.090000 46.331 105.0959
1.106000 46.558 103.6204
1.120000 46.758 102.3645
1.138000 47.019 100.7894
1.150000 47.194 99.7629
1.172000 47.518 97.9273
1.180000 47.637 97.2740
1.206000 48.026 95.1988
1.220000 48.237 94.1100
1.241000 48.555 92.5110
1.250000 48.691 91.8375
1.265000 48.919 90.7294
1.280000 49.146 89.6380
1.315000 49.677 87.1481
1.320000 49.752 86.7981
1.340000 50.054 85.4101
1.360000 50.353 84.0387
1.380000 50.650 82.6802
1.400000 50.944 81.3313
1.430000 51.377 79.3181
1.450000 51.661 77.9775
1.475000 52.009 76.3002
1.500000 52.354 74.6415
1.525000 52.697 73.0072
1.550000 53.037 71.3974
1.575000 53.374 69.8124
1.600000 53.708 68.2525
1.625000 54.039 66.7177
1.650000 54.367 65.2084
1.675000 54.691 63.7248
1.700000 55.011 62.2670
1.725000 55.327 60.8353
1.750000 55.639 59.4299
1.775000 55.946 58.0511
1.800000 56.249 56.6990
1.825000 56.547 55.3738
1.850000 56.839 54.0797
1.875000 57.128 52.8245
1.900000 57.411 51.6055
1.925000 57.690 50.4194
1.950000 57.965 49.2630
1.975000 58.236 48.1332
2.000000 58.503 47.0268
2.030000 58.818 45.7254
2.060000 59.127 44.4477
2.090000 59.432 43.1879
2.120000 59.731 41.9408
2.140000 59.928 41.1136
2.180000 60.317 39.4621
2.200000 60.508 38.6346
2.240000 60.883 36.9953
2.270000 61.157 35.7858
2.300000 61.426 34.5927
2.330000 61.690 33.4153
2.360000 61.949 32.2529
2.400000 62.287 30.7253
2.430000 62.536 29.5954
2.470000 62.861 28.1086
2.500000 63.100 27.0076
2.540000 63.413 25.5569
2.580000 63.721 24.1251
2.620000 64.020 22.7158
2.650000 64.240 21.6739
2.690000 64.526 20.3045
2.720000 64.736 19.2921
2.760000 65.009 17.9615
2.800000 65.277 16.6524
2.850000 65.604 15.0457
2.900000 65.922 13.4712
2.950000 66.234 11.9291
3.000000 66.536 10.4266
3.040000 66.770 9.2517
3.070000 66.943 8.3850
3.110000 67.167 7.2467
3.150000 67.387 6.1262
3.200000 67.656 4.7470
3.250000 67.918 3.3877
3.300000 68.176 2.0438
3.350000 68.426 0.7157
3.400000 68.669 -0.5931
3.450000 68.905 -1.8804
3.500000 69.134 -3.1444
3.550000 69.359 -4.3829
3.600000 69.579 -5.5939
3.650000 69.795 -6.7755
3.700000 70.006 -7.9245
3.750000 70.212 -9.0395
3.820000 70.492 -10.5512
3.870000 70.687 -11.6014
3.950000 70.991 -13.2425
4.000000 71.177 -14.2501
4.060000 71.398 -15.4455
4.120000 71.612 -16.6175
4.180000 71.822 -17.7649
4.250000 72.062 -19.0738
4.310000 72.263 -20.1709
4.370000 72.462 -21.2462
4.440000 72.691 -22.4704
4.500000 72.883 -23.4879
4.550000 73.041 -24.3172
4.620000 73.259 -25.4566
4.680000 73.442 -26.4195
4.750000 73.654 -27.5353
4.820000 73.863 -28.6431
4.870000 74.010 -29.4238
4.940000 74.213 -30.5042
5.000000 74.385 -31.4211
5.080000 74.610 -32.6341
5.150000 74.804 -33.6898
5.220000 74.995 -34.7358
5.300000 75.209 -35.9198
5.380000 75.419 -37.0954
5.450000 75.599 -38.1200
5.520000 75.775 -39.1433
5.600000 75.972 -40.3098
5.700000 76.211 -41.7610
5.800000 76.443 -43.2020
5.900000 76.666 -44.6314
6.000000 76.881 -46.0540
6.080000 77.047 -47.1834
6.150000 77.188 -48.1618
6.220000 77.325 -49.1280
6.300000 77.477 -50.2190
6.400000 77.660 -51.5662
6.500000 77.835 -52.8890
6.600000 78.004 -54.1808
6.700000 78.165 -55.4428
6.800000 78.320 -56.6763
6.900000 78.470 -57.8775
7.000000 78.616 -59.0428
7.100000 78.757 -60.1714
7.200000 78.894 -61.2673
7.300000 79.028 -62.3347
7.400000 79.161 -63.3737
7.500000 79.291 -64.3810
7.620000 79.445 -65.5588
7.750000 79.610 -66.8087
7.880000 79.773 -68.0236
8.000000 79.922 -69.1259
8.120000 80.069 -70.2220
8.250000 80.227 -71.3962
8.380000 80.381 -72.5610
8.500000 80.519 -73.6335
8.620000 80.654 -74.7024
8.750000 80.795 -75.8494
8.850000 80.899 -76.7213
9.000000 81.050 -78.0180
9.120000 81.165 -79.0324
9.250000 81.284 -80.0998
9.380000 81.398 -81.1395
9.500000 81.501 -82.0656
9.620000 81.601 -82.9532
9.750000 81.706 -83.8757
9.880000 81.812 -84.7624
10.000000 81.911 -85.5459
10.150000 82.035 -86.4832
10.300000 82.164 -87.4023
10.440000 82.288 -88.2367
10.600000 82.433 -89.1907
10.750000 82.573 -90.1067
10.900000 82.715 -91.0395
11.060000 82.865 -92.0781
11.200000 82.996 -93.0232
11.380000 83.156 -94.2785
11.500000 83.257 -95.1455
11.720000 83.429 -96.7637
11.800000 83.485 -97.3535
12.060000 83.651 -99.2664
12.200000 83.728 -100.2572
12.410000 83.828 -101.6886
12.500000 83.868 -102.2676
12.650000 83.929 -103.1899
12.800000 83.987 -104.0591
13.150000 84.120 -105.8744
13.200000 84.140 -106.1169
13.400000 84.221 -107.0392
13.600000 84.307 -107.9291
13.800000 84.399 -108.8002
14.000000 84.492 -109.6792
14.300000 84.632 -111.0235
14.500000 84.723 -111.9434
14.750000 84.829 -113.1042
15.000000 84.927 -114.2680
15.250000 85.016 -115.4133
15.500000 85.099 -116.5322
15.750000 85.176 -117.6219
16.000000 85.249 -118.6850
16.250000 85.320 -119.7310
16.500000 85.389 -120.7651
16.750000 85.455 -121.7941
17.000000 85.519 -122.8198
17.250000 85.579 -123.8412
17.500000 85.636 -124.8564
17.750000 85.690 -125.8616
18.000000 85.741 -126.8550
18.250000 85.791 -127.8351
18.500000 85.840 -128.8024
18.750000 85.888 -129.7582
19.000000 85.935 -130.7039
19.250000 85.982 -131.6410
19.500000 86.028 -132.5682
19.750000 86.073 -133.4840
20.000000 86.117 -134.3832
20.299999 86.168 -135.4334
20.600000 86.218 -136.4464
20.900000 86.268 -137.4194
21.200001 86.318 -138.3549
21.400000 86.353 -138.9615
21.799999 86.423 -140.1391
22.000000 86.458 -140.7123
22.400000 86.526 -141.8291
22.700001 86.576 -142.6436
23.000000 86.624 -143.4459
23.299999 86.669 -144.2473
23.600000 86.710 -145.0531
24.000000 86.751 -146.1257
24.299999 86.771 -146.9050
24.700001 86.788 -147.8760
25.000000 86.798 -148.5515
25.400000 86.817 -149.4282
25.799999 86.842 -150.3712
26.200001 86.860 -151.4359
26.500000 86.860 -152.2837
26.900000 86.843 -153.3890
27.200001 86.826 -154.1475
27.600000 86.816 -155.0806
28.000000 86.832 -156.0622
28.500000 86.864 -157.5681
29.000000 86.857 -159.2820
29.500000 86.795 -160.7514
30.000000 86.739 -161.6469
30.400000 86.745 -162.0687
30.700001 86.782 -162.3575
31.100000 86.855 -162.8052
31.500000 86.937 -163.2670
32.000000 87.060 -163.6939
32.500000 87.245 -164.0654
33.000000 87.485 -164.8975
33.500000 87.690 -166.5107
34.000000 87.764 -168.5873
34.500000 87.692 -170.4199
35.000000 87.538 -171.5869
35.500000 87.380 -172.1862
36.000000 87.246 -172.5610
36.500000 87.122 -172.8862
37.000000 87.002 -173.1488
37.500000 86.899 -173.3580
38.200001 86.802 -173.7800
38.700001 86.753 -174.2718
39.500000 86.692 -175.2715
40.000000 86.668 -175.9491
40.599998 86.661 -176.7850
41.200001 86.680 -177.6461
41.799999 86.721 -178.5755
42.500000 86.772 -179.7756
43.099998 86.797 179.1959
43.700001 86.806 178.2814
44.400002 86.808 177.3470
45.000000 86.800 176.5901
45.500000 86.781 175.9861
46.200001 86.741 175.2092
46.799999 86.703 174.5807
47.500000 86.656 173.8096
48.200001 86.598 173.0132
48.700001 86.555 172.4911
49.400002 86.510 171.8318
50.000000 86.495 171.2116
50.799999 86.478 170.1843
51.500000 86.441 169.2530
52.200001 86.392 168.4651
53.000000 86.343 167.7020
53.799999 86.300 166.9767
54.500000 86.261 166.3581
55.200001 86.220 165.7465
56.000000 86.170 165.0499
57.000000 86.106 164.1959
58.000000 86.047 163.3494
59.000000 85.991 162.5170
60.000000 85.940 161.7059
60.799999 85.899 161.0705
61.500000 85.862 160.5331
62.200001 85.823 160.0186
63.000000 85.777 159.4504
64.000000 85.717 158.7516
65.000000 85.655 158.0714
66.000000 85.596 157.4009
67.000000 85.538 156.7108
68.000000 85.476 156.0504
69.000000 85.420 155.4323
70.000000 85.365 154.7998
71.000000 85.304 154.1848
72.000000 85.241 153.6101
73.000000 85.180 153.0484
74.000000 85.119 152.4977
75.000000 85.061 151.9546
76.199997 84.991 151.3076
77.500000 84.913 150.6246
78.800003 84.832 149.9828
80.000000 84.760 149.4372
81.199997 84.694 148.8868
82.500000 84.628 148.2722
83.800003 84.562 147.6637
85.000000 84.502 147.1336
86.199997 84.441 146.6096
87.500000 84.371 146.0718
88.500000 84.316 145.6514
90.000000 84.233 145.0208
91.199997 84.172 144.5465
92.500000 84.115 144.0514
93.800003 84.057 143.5833
95.000000 83.993 143.2120
96.199997 83.918 142.8937
97.500000 83.816 142.5900
98.800003 83.705 142.4384
100.000000 83.650 142.3263
101.500000 83.622 141.6411
103.000000 83.557 140.7425
104.400002 83.492 140.0988
106.000000 83.427 139.5430
107.500000 83.363 139.1204
109.000000 83.294 138.7331
110.599998 83.214 138.3016
112.000000 83.144 137.9061
113.800003 83.060 137.3998
115.000000 83.006 137.0764
117.199997 82.906 136.5248
118.000000 82.868 136.3307
120.599998 82.741 135.7165
122.000000 82.674 135.3989
124.099998 82.576 134.9420
125.000000 82.534 134.7559
126.500000 82.463 134.4653
128.000000 82.390 134.2071
131.500000 82.221 133.7727
132.000000 82.198 133.7238
134.000000 82.106 133.5513
136.000000 82.026 133.3285
138.000000 81.952 133.0505
140.000000 81.878 132.8005
143.000000 81.749 132.5957
145.000000 81.651 132.5476
147.500000 81.522 132.5641
150.000000 81.404 132.9623
152.500000 81.366 133.6605
155.000000 81.413 134.2453
157.500000 81.530 134.4747
160.000000 81.668 134.2679
162.500000 81.798 133.6399
165.000000 81.896 132.5664
167.500000 81.943 131.2745
170.000000 81.905 130.0277
172.500000 81.806 129.0819
175.000000 81.704 128.2582
177.500000 81.611 127.5640
180.000000 81.532 127.0816
182.500000 81.466 126.7058
185.000000 81.412 126.2887
187.500000 81.362 125.8196
190.000000 81.308 125.3620
192.500000 81.249 124.9213
195.000000 81.191 124.4953
197.500000 81.134 124.1136
200.000000 81.079 123.7983
203.000000 81.017 123.4064
206.000000 80.956 122.9303
209.000000 80.899 122.4784
212.000000 80.847 122.0793
214.000000 80.813 121.8257
218.000000 80.744 121.3185
220.000000 80.710 121.0710
224.000000 80.645 120.5858
227.000000 80.597 120.2242
230.000000 80.549 119.8778
233.000000 80.504 119.5433
236.000000 80.461 119.2168
240.000000 80.407 118.7971
243.000000 80.367 118.4901
247.000000 80.316 118.1093
250.000000 80.279 117.8226
254.000000 80.229 117.3967
258.000000 80.181 116.9841
262.000000 80.136 116.6062
265.000000 80.103 116.3243
269.000000 80.062 115.9482
272.000000 80.033 115.6835
276.000000 79.997 115.3460
280.000000 79.959 115.0149
285.000000 79.913 114.6006
290.000000 79.875 114.1948
295.000000 79.837 113.7747
300.000000 79.798 113.3774
304.000000 79.767 113.0874
