* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -31.2 dBFS, measurement signal peak level -29.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/02/2024 1:46:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0106 ms (-3.6 mm, -0.14 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: PA02 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 45.694 115.9815
1.015000 45.917 114.1695
1.030000 46.141 112.3951
1.044000 46.349 110.7785
1.060000 46.587 108.9842
1.075000 46.808 107.3599
1.090000 47.028 105.7982
1.106000 47.260 104.2031
1.120000 47.466 102.8421
1.138000 47.735 101.1305
1.150000 47.915 100.0122
1.172000 48.251 98.0074
1.180000 48.374 97.2923
1.206000 48.777 95.0164
1.220000 48.996 93.8199
1.241000 49.326 92.0604
1.250000 49.468 91.3186
1.265000 49.705 90.0977
1.280000 49.942 88.8949
1.315000 50.494 86.1522
1.320000 50.573 85.7670
1.340000 50.886 84.2411
1.360000 51.197 82.7366
1.380000 51.506 81.2507
1.400000 51.811 79.7805
1.430000 52.261 77.5984
1.450000 52.554 76.1549
1.475000 52.913 74.3608
1.500000 53.269 72.5991
1.525000 53.622 70.8742
1.550000 53.971 69.1851
1.575000 54.318 67.5306
1.600000 54.661 65.9095
1.625000 55.001 64.3208
1.650000 55.337 62.7633
1.675000 55.669 61.2359
1.700000 55.996 59.7374
1.725000 56.319 58.2667
1.750000 56.638 56.8227
1.775000 56.951 55.4043
1.800000 57.260 54.0103
1.825000 57.563 52.6396
1.850000 57.861 51.2969
1.875000 58.154 49.9942
1.900000 58.441 48.7289
1.925000 58.724 47.4978
1.950000 59.002 46.2976
1.975000 59.276 45.1253
2.000000 59.545 43.9776
2.030000 59.863 42.6283
2.060000 60.174 41.3044
2.090000 60.480 40.0003
2.120000 60.781 38.7105
2.140000 60.979 37.8559
2.180000 61.369 36.1517
2.200000 61.561 35.2991
2.240000 61.936 33.6127
2.270000 62.211 32.3708
2.300000 62.480 31.1474
2.330000 62.743 29.9417
2.360000 63.001 28.7526
2.400000 63.338 27.1916
2.430000 63.585 26.0378
2.470000 63.907 24.5205
2.500000 64.145 23.3971
2.540000 64.455 21.9168
2.580000 64.760 20.4554
2.620000 65.057 19.0179
2.650000 65.273 17.9560
2.690000 65.556 16.5612
2.720000 65.762 15.5306
2.760000 66.032 14.1764
2.800000 66.295 12.8446
2.850000 66.616 11.2101
2.900000 66.929 9.6081
2.950000 67.234 8.0384
3.000000 67.530 6.5082
3.040000 67.759 5.3116
3.070000 67.927 4.4287
3.110000 68.147 3.2694
3.150000 68.361 2.1285
3.200000 68.622 0.7250
3.250000 68.877 -0.6573
3.300000 69.127 -2.0223
3.350000 69.370 -3.3694
3.400000 69.605 -4.6949
3.450000 69.833 -5.9975
3.500000 70.055 -7.2757
3.550000 70.271 -8.5281
3.600000 70.483 -9.7534
3.650000 70.691 -10.9501
3.700000 70.894 -12.1155
3.750000 71.092 -13.2477
3.820000 71.360 -14.7842
3.870000 71.546 -15.8521
3.950000 71.836 -17.5200
4.000000 72.013 -18.5429
4.060000 72.222 -19.7547
4.120000 72.426 -20.9414
4.180000 72.625 -22.1023
4.250000 72.851 -23.4254
4.310000 73.041 -24.5336
4.370000 73.227 -25.6191
4.440000 73.442 -26.8547
4.500000 73.622 -27.8821
4.550000 73.769 -28.7191
4.620000 73.972 -29.8676
4.680000 74.143 -30.8358
4.750000 74.339 -31.9537
4.820000 74.533 -33.0592
4.870000 74.669 -33.8363
4.940000 74.856 -34.9088
5.000000 75.014 -35.8158
5.080000 75.222 -37.0108
5.150000 75.400 -38.0456
5.220000 75.575 -39.0665
5.300000 75.772 -40.2168
5.380000 75.964 -41.3529
5.450000 76.129 -42.3382
5.520000 76.291 -43.3175
5.600000 76.472 -44.4273
5.700000 76.693 -45.7992
5.800000 76.907 -47.1539
5.900000 77.114 -48.4920
6.000000 77.315 -49.8150
6.080000 77.471 -50.8608
6.150000 77.604 -51.7652
6.220000 77.735 -52.6584
6.300000 77.880 -53.6658
6.400000 78.056 -54.9065
6.500000 78.226 -56.1250
6.600000 78.392 -57.3195
6.700000 78.552 -58.4902
6.800000 78.707 -59.6374
6.900000 78.858 -60.7605
7.000000 79.006 -61.8585
7.100000 79.149 -62.9302
7.200000 79.289 -63.9780
7.300000 79.426 -65.0048
7.400000 79.560 -66.0114
7.500000 79.692 -66.9956
7.620000 79.847 -68.1518
7.750000 80.011 -69.3785
7.880000 80.172 -70.5752
8.000000 80.317 -71.6581
8.120000 80.460 -72.7248
8.250000 80.612 -73.8593
8.380000 80.760 -74.9752
8.500000 80.895 -75.9916
8.620000 81.026 -76.9934
8.750000 81.166 -78.0640
8.850000 81.271 -78.8783
9.000000 81.425 -80.0835
9.120000 81.545 -81.0344
9.250000 81.671 -82.0522
9.380000 81.795 -83.0566
9.500000 81.906 -83.9721
9.620000 82.015 -84.8765
9.750000 82.129 -85.8437
9.880000 82.240 -86.7976
10.000000 82.340 -87.6662
10.150000 82.461 -88.7360
10.300000 82.578 -89.7862
10.440000 82.683 -90.7491
10.600000 82.800 -91.8282
10.750000 82.906 -92.8184
10.900000 83.008 -93.7882
11.060000 83.114 -94.8007
11.200000 83.205 -95.6674
11.380000 83.319 -96.7593
11.500000 83.393 -97.4731
11.720000 83.526 -98.7562
11.800000 83.574 -99.2158
12.060000 83.725 -100.6842
12.200000 83.804 -101.4624
12.410000 83.921 -102.6138
12.500000 83.971 -103.1026
12.650000 84.051 -103.9104
12.800000 84.131 -104.7113
13.150000 84.311 -106.5558
13.200000 84.336 -106.8173
13.400000 84.435 -107.8577
13.600000 84.532 -108.8935
13.800000 84.626 -109.9260
14.000000 84.717 -110.9559
14.300000 84.847 -112.4943
14.500000 84.928 -113.5118
14.750000 85.023 -114.7638
15.000000 85.112 -115.9878
15.250000 85.196 -117.1724
15.500000 85.277 -118.3166
15.750000 85.356 -119.4212
16.000000 85.434 -120.4927
16.250000 85.512 -121.5414
16.500000 85.590 -122.5729
16.750000 85.667 -123.5937
17.000000 85.742 -124.6047
17.250000 85.815 -125.6055
17.500000 85.885 -126.5950
17.750000 85.952 -127.5725
18.000000 86.015 -128.5378
18.250000 86.075 -129.4909
18.500000 86.130 -130.4290
18.750000 86.181 -131.3481
19.000000 86.227 -132.2441
19.250000 86.270 -133.1115
19.500000 86.311 -133.9519
19.750000 86.350 -134.7670
20.000000 86.389 -135.5659
20.299999 86.433 -136.5130
20.600000 86.476 -137.4534
20.900000 86.514 -138.3868
21.200001 86.549 -139.3058
21.400000 86.571 -139.9069
21.799999 86.614 -141.0883
22.000000 86.635 -141.6744
22.400000 86.676 -142.8528
22.700001 86.703 -143.7391
23.000000 86.725 -144.6047
23.299999 86.745 -145.4196
23.600000 86.768 -146.1750
24.000000 86.815 -147.1198
24.299999 86.863 -147.8430
24.700001 86.939 -148.9064
25.000000 86.993 -149.7893
25.400000 87.050 -151.0213
25.799999 87.090 -152.2153
26.200001 87.123 -153.3396
26.500000 87.143 -154.1677
26.900000 87.156 -155.2684
27.200001 87.147 -156.0305
27.600000 87.114 -156.8076
28.000000 87.096 -157.2127
28.500000 87.165 -157.5487
29.000000 87.310 -158.5805
29.500000 87.372 -160.6264
30.000000 87.231 -162.7091
30.400000 87.024 -163.5423
30.700001 86.891 -163.6174
31.100000 86.808 -163.5828
31.500000 86.790 -164.0478
32.000000 86.648 -165.3946
32.500000 86.267 -165.6046
33.000000 85.991 -162.8785
33.500000 86.356 -159.0213
34.000000 87.230 -158.2415
34.500000 87.940 -162.1348
35.000000 88.119 -168.3823
35.500000 87.796 -173.3294
36.000000 87.290 -175.1430
36.500000 86.983 -174.7208
37.000000 86.974 -174.2533
37.500000 87.059 -174.7384
38.200001 87.079 -175.9426
38.700001 87.070 -176.4674
39.500000 87.109 -177.3596
40.000000 87.110 -178.1355
40.599998 87.065 -178.9444
41.200001 87.022 -179.5517
41.799999 86.993 179.7864
42.500000 86.943 178.8878
43.099998 86.889 178.1581
43.700001 86.844 177.4471
44.400002 86.798 176.5726
45.000000 86.757 175.8479
45.500000 86.729 175.3090
46.200001 86.709 174.6171
46.799999 86.709 174.0170
47.500000 86.715 173.2807
48.200001 86.721 172.5114
48.700001 86.721 171.9298
49.400002 86.704 171.0767
50.000000 86.666 170.3919
50.799999 86.602 169.6660
51.500000 86.559 169.1244
52.200001 86.526 168.5266
53.000000 86.485 167.7657
53.799999 86.440 166.9893
54.500000 86.400 166.3156
55.200001 86.361 165.6573
56.000000 86.316 164.9313
57.000000 86.262 164.0735
58.000000 86.209 163.2550
59.000000 86.152 162.4405
60.000000 86.089 161.6608
60.799999 86.038 161.0562
61.500000 85.992 160.5339
62.200001 85.948 160.0269
63.000000 85.900 159.4615
64.000000 85.843 158.7577
65.000000 85.786 158.0718
66.000000 85.728 157.4122
67.000000 85.667 156.7864
68.000000 85.606 156.1977
69.000000 85.545 155.6165
70.000000 85.484 155.0357
71.000000 85.423 154.4610
72.000000 85.361 153.9057
73.000000 85.302 153.3747
74.000000 85.245 152.8525
75.000000 85.190 152.3358
76.199997 85.125 151.7108
77.500000 85.051 151.0380
78.800003 84.979 150.4006
80.000000 84.914 149.8218
81.199997 84.850 149.2896
82.500000 84.785 148.7618
83.800003 84.721 148.2460
85.000000 84.660 147.7649
86.199997 84.592 147.2606
87.500000 84.515 146.7444
88.500000 84.460 146.3492
90.000000 84.385 145.7383
91.199997 84.328 145.2469
92.500000 84.266 144.7569
93.800003 84.205 144.3087
95.000000 84.146 143.8906
96.199997 84.080 143.4418
97.500000 83.998 142.9214
98.800003 83.903 142.4276
100.000000 83.825 142.1203
101.500000 83.773 141.7261
103.000000 83.729 141.1910
104.400002 83.676 140.7263
106.000000 83.606 140.2764
107.500000 83.535 139.8872
109.000000 83.462 139.4894
110.599998 83.385 139.0527
112.000000 83.321 138.6766
113.800003 83.243 138.2222
115.000000 83.191 137.9305
117.199997 83.092 137.4032
118.000000 83.056 137.2135
120.599998 82.940 136.6099
122.000000 82.881 136.3007
124.099998 82.792 135.8507
125.000000 82.753 135.6639
126.500000 82.688 135.3602
128.000000 82.624 135.0614
131.500000 82.485 134.4207
132.000000 82.467 134.3456
134.000000 82.396 134.0415
136.000000 82.312 133.6596
138.000000 82.208 133.3170
140.000000 82.112 133.0135
143.000000 81.982 132.6358
145.000000 81.893 132.4702
147.500000 81.761 132.3724
150.000000 81.647 132.4192
152.500000 81.571 132.2792
155.000000 81.477 132.1774
157.500000 81.376 132.3780
160.000000 81.310 132.8282
162.500000 81.314 133.3668
165.000000 81.367 133.8251
167.500000 81.446 134.0363
170.000000 81.537 133.6472
172.500000 81.592 132.7630
175.000000 81.607 131.8563
177.500000 81.585 131.1504
180.000000 81.559 130.6457
182.500000 81.553 130.1161
185.000000 81.549 129.4547
187.500000 81.521 128.7353
190.000000 81.473 128.0527
192.500000 81.416 127.4442
195.000000 81.354 126.9201
197.500000 81.287 126.4404
200.000000 81.219 125.9769
203.000000 81.146 125.5131
206.000000 81.092 125.1502
209.000000 81.036 124.7913
212.000000 80.975 124.4263
214.000000 80.937 124.1934
218.000000 80.872 123.7542
220.000000 80.841 123.5368
224.000000 80.780 123.0963
227.000000 80.734 122.7758
230.000000 80.689 122.4672
233.000000 80.645 122.1561
236.000000 80.602 121.8372
240.000000 80.550 121.4140
243.000000 80.512 121.1273
247.000000 80.461 120.7850
250.000000 80.425 120.5187
254.000000 80.382 120.1272
258.000000 80.338 119.7689
262.000000 80.293 119.4393
265.000000 80.258 119.1770
269.000000 80.212 118.8342
272.000000 80.183 118.6248
276.000000 80.150 118.3708
280.000000 80.119 118.1032
285.000000 80.086 117.7863
290.000000 80.055 117.5244
295.000000 80.031 117.2615
300.000000 80.023 116.9750
304.000000 80.024 116.7306
